Orthogroup	MHP_133A_genes	MHP_TB1_genes
OG0000027	NB626_RS03540	B5M19_RS00565
OG0000027	NB626_RS03555	B5M19_RS00550
OG0000029	NB626_RS01205	B5M19_RS03200
OG0000029	NB626_RS00710	B5M19_RS04520, B5M19_RS03510
OG0000030	NB626_RS03530	B5M19_RS00570
OG0000030	NB626_RS03550	B5M19_RS00555
OG0000031	NB626_RS00435	B5M19_RS04360
OG0000031	NB626_RS01710	B5M19_RS03305
OG0000032	NB626_RS03545	B5M19_RS00560
OG0000035	NB626_RS03395	B5M19_RS01610
OG0000035	NB626_RS03380	B5M19_RS04235
OG0000036	NB626_RS00115, NB626_RS00130	B5M19_RS00040
OG0000039	NB626_RS01720	B5M19_RS03320
OG0000040	NB626_RS03470	B5M19_RS02985
OG0000041	NB626_RS00770	B5M19_RS03050
OG0000041	NB626_RS01305	B5M19_RS04355
OG0000042	NB626_RS03120	B5M19_RS01320
OG0000043	NB626_RS02045	B5M19_RS00735
OG0000043	NB626_RS02045	B5M19_RS02270
OG0000044	NB626_RS01915	B5M19_RS00620
OG0000045	NB626_RS01725	B5M19_RS03325
OG0000046	NB626_RS03475	B5M19_RS03125
OG0000047	NB626_RS00500	B5M19_RS03245
OG0000048	NB626_RS02235	B5M19_RS03695
OG0000049	NB626_RS03235	B5M19_RS01455
OG0000050	NB626_RS02625	B5M19_RS02825
OG0000051	NB626_RS02835	B5M19_RS04110
OG0000052	NB626_RS00075	B5M19_RS00005
OG0000053	NB626_RS01570	B5M19_RS01120
OG0000054	NB626_RS02650	B5M19_RS02800
OG0000055	NB626_RS00135	B5M19_RS00045
OG0000056	NB626_RS03740	B5M19_RS00375
OG0000057	NB626_RS03105	B5M19_RS01340
OG0000058	NB626_RS00430	B5M19_RS02905
OG0000059	NB626_RS00455	B5M19_RS02265
OG0000060	NB626_RS00080	B5M19_RS03995
OG0000062	NB626_RS03790	B5M19_RS01970
OG0000063	NB626_RS03785	B5M19_RS01975
OG0000064	NB626_RS03775	B5M19_RS01990
OG0000065	NB626_RS02405	B5M19_RS02925
OG0000066	NB626_RS01470	B5M19_RS01220
OG0000068	NB626_RS00745	B5M19_RS04480
OG0000069	NB626_RS03000	B5M19_RS03520
OG0000070	NB626_RS02655	B5M19_RS02795
OG0000071	NB626_RS03460	B5M19_RS02995
OG0000072	NB626_RS03465	B5M19_RS02990
OG0000073	NB626_RS00810	B5M19_RS01840
OG0000074	NB626_RS01020, NB626_RS01025	B5M19_RS01645
OG0000075	NB626_RS00340	B5M19_RS00265
OG0000076	NB626_RS00355	B5M19_RS00280
OG0000077	NB626_RS00540	B5M19_RS03440
OG0000079	NB626_RS02740	B5M19_RS01010
OG0000080	NB626_RS02790	B5M19_RS03900
OG0000081	NB626_RS00335	B5M19_RS00260
OG0000083	NB626_RS02155	B5M19_RS00845
OG0000084	NB626_RS02185	B5M19_RS02760
OG0000085	NB626_RS02190	B5M19_RS02755
OG0000086	NB626_RS02200	B5M19_RS02745
OG0000087	NB626_RS02215	B5M19_RS02730
OG0000088	NB626_RS02220	B5M19_RS02725
OG0000089	NB626_RS02230	B5M19_RS03690
OG0000090	NB626_RS00070	B5M19_RS03775
OG0000091	NB626_RS00055	B5M19_RS04280
OG0000092	NB626_RS00045	B5M19_RS01895
OG0000093	NB626_RS00035	B5M19_RS01900
OG0000094	NB626_RS00030	B5M19_RS01905
OG0000095	NB626_RS00005	B5M19_RS04290
OG0000096	NB626_RS03825	B5M19_RS01935
OG0000097	NB626_RS03805	B5M19_RS01955
OG0000098	NB626_RS03795	B5M19_RS04295
OG0000099	NB626_RS03745	B5M19_RS00370
OG0000100	NB626_RS03730	B5M19_RS00385
OG0000101	NB626_RS03725	B5M19_RS00390
OG0000102	NB626_RS01820	B5M19_RS02080
OG0000103	NB626_RS02370	B5M19_RS02960
OG0000104	NB626_RS02375	B5M19_RS04460
OG0000105	NB626_RS02395	B5M19_RS02940
OG0000106	NB626_RS02400	B5M19_RS02930
OG0000107	NB626_RS02410	B5M19_RS04455
OG0000108	NB626_RS02415	B5M19_RS04620
OG0000109	NB626_RS02420	B5M19_RS02910
OG0000110	NB626_RS02550	B5M19_RS02660
OG0000111	NB626_RS02545	B5M19_RS02665
OG0000112	NB626_RS02535	B5M19_RS02675
OG0000113	NB626_RS02510	B5M19_RS02700
OG0000114	NB626_RS02500	B5M19_RS02710
OG0000115	NB626_RS02490	B5M19_RS03610
OG0000116	NB626_RS01415	B5M19_RS02580
OG0000117	NB626_RS01420	B5M19_RS02575
OG0000118	NB626_RS01455	B5M19_RS01235
OG0000119	NB626_RS01460	B5M19_RS01230
OG0000120	NB626_RS01475	B5M19_RS01215
OG0000121	NB626_RS01505	B5M19_RS01190
OG0000122	NB626_RS01510	B5M19_RS01185
OG0000123	NB626_RS01530	B5M19_RS01165
OG0000124	NB626_RS01535	B5M19_RS01160
OG0000125	NB626_RS01540	B5M19_RS01155
OG0000126	NB626_RS01550	B5M19_RS01145
OG0000127	NB626_RS01560	B5M19_RS01135
OG0000128	NB626_RS01575	B5M19_RS01115
OG0000129	NB626_RS01580	B5M19_RS01110
OG0000130	NB626_RS01590	B5M19_RS01100
OG0000131	NB626_RS01620	B5M19_RS01075
OG0000132	NB626_RS01635	B5M19_RS01060
OG0000133	NB626_RS00630	B5M19_RS02380
OG0000134	NB626_RS00635	B5M19_RS02385
OG0000135	NB626_RS00650	B5M19_RS02400
OG0000136	NB626_RS00655	B5M19_RS02405
OG0000137	NB626_RS00685	B5M19_RS02445
OG0000138	NB626_RS00720	B5M19_RS03090
OG0000139	NB626_RS00750	B5M19_RS03070
OG0000140	NB626_RS00755	B5M19_RS03065
OG0000141	NB626_RS03115	B5M19_RS01330
OG0000142	NB626_RS03110	B5M19_RS01335
OG0000143	NB626_RS03095	B5M19_RS01360
OG0000144	NB626_RS03080	B5M19_RS01370
OG0000145	NB626_RS03070	B5M19_RS01380
OG0000146	NB626_RS03060	B5M19_RS01390
OG0000147	NB626_RS03055	B5M19_RS01395
OG0000148	NB626_RS03040	B5M19_RS01410
OG0000149	NB626_RS03030	B5M19_RS01420
OG0000150	NB626_RS03025	B5M19_RS04180
OG0000151	NB626_RS02965	B5M19_RS02540
OG0000152	NB626_RS02960	B5M19_RS02535
OG0000153	NB626_RS02955	B5M19_RS02530
OG0000154	NB626_RS02945	B5M19_RS02520
OG0000155	NB626_RS02905	B5M19_RS02480
OG0000156	NB626_RS02895	B5M19_RS00860
OG0000157	NB626_RS02890	B5M19_RS00865
OG0000158	NB626_RS02880	B5M19_RS04580
OG0000159	NB626_RS02640	B5M19_RS02810
OG0000160	NB626_RS02635	B5M19_RS02815
OG0000161	NB626_RS02630	B5M19_RS02820
OG0000162	NB626_RS02620	B5M19_RS02830
OG0000163	NB626_RS02615	B5M19_RS02835
OG0000164	NB626_RS01715	B5M19_RS04495
OG0000165	NB626_RS02075	B5M19_RS00760
OG0000166	NB626_RS02090	B5M19_RS00785
OG0000167	NB626_RS02105	B5M19_RS00800
OG0000168	NB626_RS02110	B5M19_RS00805
OG0000169	NB626_RS03230	B5M19_RS01450
OG0000170	NB626_RS03245	B5M19_RS01465
OG0000171	NB626_RS03255	B5M19_RS01475
OG0000172	NB626_RS03260	B5M19_RS01480
OG0000173	NB626_RS03265	B5M19_RS01490
OG0000174	NB626_RS03270	B5M19_RS01495
OG0000175	NB626_RS03290	B5M19_RS01510
OG0000176	NB626_RS03345	B5M19_RS01560
OG0000177	NB626_RS03350	B5M19_RS01565
OG0000178	NB626_RS03355	B5M19_RS04200
OG0000179	NB626_RS03365	B5M19_RS01580
OG0000180	NB626_RS03370	B5M19_RS01585
OG0000181	NB626_RS03410	B5M19_RS03045
OG0000182	NB626_RS03420	B5M19_RS03035
OG0000183	NB626_RS03455	B5M19_RS03000
OG0000184	NB626_RS03500	B5M19_RS03105
OG0000185	NB626_RS03485	B5M19_RS03120
OG0000186	NB626_RS01645	B5M19_RS03550
OG0000187	NB626_RS01660	B5M19_RS03535
OG0000188	NB626_RS01670	B5M19_RS03525
OG0000189	NB626_RS02460	B5M19_RS03210
OG0000190	NB626_RS02455	B5M19_RS03215
OG0000191	NB626_RS02430	B5M19_RS03235
OG0000192	NB626_RS01335	B5M19_RS03675
OG0000193	NB626_RS01320	B5M19_RS02360
OG0000194	NB626_RS00790	B5M19_RS01855
OG0000195	NB626_RS00795	B5M19_RS01850
OG0000196	NB626_RS00820	B5M19_RS01830
OG0000197	NB626_RS00830	B5M19_RS01825
OG0000198	NB626_RS00840	B5M19_RS01810
OG0000199	NB626_RS00845	B5M19_RS01805
OG0000200	NB626_RS00860	B5M19_RS01790
OG0000201	NB626_RS00870	B5M19_RS01780
OG0000202	NB626_RS00940	B5M19_RS01725
OG0000203	NB626_RS00945	B5M19_RS01720
OG0000204	NB626_RS00950	B5M19_RS01715
OG0000205	NB626_RS00955	B5M19_RS01710
OG0000206	NB626_RS00975	B5M19_RS01690
OG0000207	NB626_RS00990	B5M19_RS01675
OG0000208	NB626_RS00995	B5M19_RS01670
OG0000209	NB626_RS01000	B5M19_RS01665
OG0000210	NB626_RS01050	B5M19_RS01620
OG0000211	NB626_RS01065	B5M19_RS03415
OG0000212	NB626_RS01070	B5M19_RS03405
OG0000213	NB626_RS01075	B5M19_RS03400
OG0000214	NB626_RS01080	B5M19_RS03395
OG0000215	NB626_RS01085	B5M19_RS03390
OG0000216	NB626_RS01090	B5M19_RS03385
OG0000217	NB626_RS01095	B5M19_RS03380
OG0000218	NB626_RS01105	B5M19_RS03370
OG0000219	NB626_RS01110	B5M19_RS03365
OG0000220	NB626_RS01115	B5M19_RS03360
OG0000221	NB626_RS01120	B5M19_RS03355
OG0000222	NB626_RS01125	B5M19_RS03350
OG0000223	NB626_RS01130	B5M19_RS03345
OG0000224	NB626_RS01140	B5M19_RS03130
OG0000225	NB626_RS01150	B5M19_RS03140
OG0000226	NB626_RS01155	B5M19_RS03145
OG0000227	NB626_RS01160	B5M19_RS03150
OG0000228	NB626_RS01165	B5M19_RS04630
OG0000229	NB626_RS01170	B5M19_RS03160
OG0000230	NB626_RS01180	B5M19_RS03165
OG0000231	NB626_RS01185	B5M19_RS03175
OG0000232	NB626_RS01195	B5M19_RS03185
OG0000233	NB626_RS01215	B5M19_RS02225
OG0000234	NB626_RS01250	B5M19_RS04335
OG0000235	NB626_RS01260	B5M19_RS02175
OG0000236	NB626_RS01265	B5M19_RS02170
OG0000237	NB626_RS01270	B5M19_RS02165
OG0000238	NB626_RS01275	B5M19_RS02155
OG0000239	NB626_RS03125	B5M19_RS01315
OG0000240	NB626_RS03130	B5M19_RS01310
OG0000241	NB626_RS03140	B5M19_RS01300
OG0000242	NB626_RS03145	B5M19_RS04160
OG0000243	NB626_RS03150	B5M19_RS01290
OG0000244	NB626_RS03160	B5M19_RS01280
OG0000245	NB626_RS03170	B5M19_RS01270
OG0000246	NB626_RS00140	B5M19_RS00050
OG0000247	NB626_RS00150	B5M19_RS00060
OG0000248	NB626_RS00160	B5M19_RS00070
OG0000249	NB626_RS00165	B5M19_RS00075
OG0000250	NB626_RS00180	B5M19_RS03880
OG0000251	NB626_RS00215	B5M19_RS00125
OG0000252	NB626_RS00220	B5M19_RS00135
OG0000253	NB626_RS00225	B5M19_RS00140
OG0000254	NB626_RS00235	B5M19_RS00150
OG0000255	NB626_RS00240	B5M19_RS00160
OG0000256	NB626_RS00250	B5M19_RS00165
OG0000257	NB626_RS00270	B5M19_RS00190
OG0000258	NB626_RS00280	B5M19_RS04020
OG0000259	NB626_RS00310	B5M19_RS00230
OG0000260	NB626_RS00320	B5M19_RS00240
OG0000261	NB626_RS00330	B5M19_RS00250
OG0000262	NB626_RS00350	B5M19_RS00270
OG0000263	NB626_RS00365	B5M19_RS00285
OG0000264	NB626_RS00380	B5M19_RS04030
OG0000265	NB626_RS00390	B5M19_RS00315
OG0000266	NB626_RS00405	B5M19_RS00335
OG0000267	NB626_RS00420	B5M19_RS04035
OG0000268	NB626_RS00520	B5M19_RS00355
OG0000269	NB626_RS00535	B5M19_RS03680
OG0000270	NB626_RS03700	B5M19_RS00415
OG0000271	NB626_RS03695	B5M19_RS00420
OG0000272	NB626_RS03690	B5M19_RS00425
OG0000273	NB626_RS03685	B5M19_RS00430
OG0000274	NB626_RS03670	B5M19_RS00450
OG0000275	NB626_RS03660	B5M19_RS00455
OG0000276	NB626_RS03655	B5M19_RS00460
OG0000277	NB626_RS03645	B5M19_RS00470
OG0000278	NB626_RS03640	B5M19_RS00475
OG0000279	NB626_RS03630	B5M19_RS00485
OG0000280	NB626_RS03620	B5M19_RS00490
OG0000281	NB626_RS03615	B5M19_RS00495
OG0000282	NB626_RS03590	B5M19_RS00520
OG0000283	NB626_RS03585	B5M19_RS00525
OG0000284	NB626_RS03580	B5M19_RS00530
OG0000285	NB626_RS03575	B5M19_RS00535
OG0000286	NB626_RS02600	B5M19_RS02850
OG0000287	NB626_RS02700	B5M19_RS01050
OG0000288	NB626_RS02710	B5M19_RS01040
OG0000289	NB626_RS02715	B5M19_RS01035
OG0000290	NB626_RS02830	B5M19_RS04120
OG0000291	NB626_RS02820	B5M19_RS00935
OG0000292	NB626_RS02815	B5M19_RS00940
OG0000293	NB626_RS02810	B5M19_RS00945
OG0000294	NB626_RS02800	B5M19_RS00955
OG0000295	NB626_RS02795	B5M19_RS00960
OG0000296	NB626_RS02750	B5M19_RS01000
OG0000297	NB626_RS02745	B5M19_RS01005
OG0000298	NB626_RS00175	B5M19_RS00085
OG0000299	NB626_RS00195	B5M19_RS00110
OG0000300	NB626_RS00375	B5M19_RS00300
OG0000301	NB626_RS00410	B5M19_RS00340
OG0000302	NB626_RS00415	B5M19_RS00345
OG0000303	NB626_RS00660	B5M19_RS02410
OG0000304	NB626_RS01200	B5M19_RS03190
OG0000305	NB626_RS03065	B5M19_RS01385
OG0000306	NB626_RS02990	B5M19_RS02560
OG0000307	NB626_RS02950	B5M19_RS02525
OG0000308	NB626_RS02850	B5M19_RS00905
OG0000309	NB626_RS02785	B5M19_RS00970
OG0000310	NB626_RS02705	B5M19_RS01045
OG0000311	NB626_RS02660	B5M19_RS02790
OG0000312	NB626_RS02645	B5M19_RS02805
OG0000313	NB626_RS01705	B5M19_RS03300
OG0000314	NB626_RS02085	B5M19_RS00780
OG0000315	NB626_RS02115	B5M19_RS00810
OG0000316	NB626_RS02125	B5M19_RS00820
OG0000317	NB626_RS02225	B5M19_RS02720
OG0000318	NB626_RS02130	B5M19_RS00825
OG0000319	NB626_RS02385	B5M19_RS02945
OG0000320	NB626_RS02525	B5M19_RS04425
OG0000321	NB626_RS01450	B5M19_RS01240
OG0000322	NB626_RS01500	B5M19_RS01195
OG0000323	NB626_RS01630	B5M19_RS01065
OG0000324	NB626_RS02425	B5M19_RS03240
OG0000325	NB626_RS00805	B5M19_RS01845
OG0000326	NB626_RS00910	B5M19_RS01750
OG0000327	NB626_RS00915	B5M19_RS01745
OG0000328	NB626_RS01005	B5M19_RS01660
OG0000329	NB626_RS01035	B5M19_RS01640
OG0000330	NB626_RS01225	B5M19_RS02210
OG0000331	NB626_RS03155	B5M19_RS01285
OG0000332	NB626_RS03300	B5M19_RS01520
OG0000333	NB626_RS03310	B5M19_RS01530
OG0000334	NB626_RS03415	B5M19_RS03040
OG0000335	NB626_RS03425	B5M19_RS03030
OG0000336	NB626_RS03605	B5M19_RS00505
OG0000337	NB626_RS03780	B5M19_RS01985
OG0000338	NB626_RS03820	B5M19_RS01940
OG0000339	NB626_RS02495	B5M19_RS03615
OG0000340	NB626_RS01430	B5M19_RS02565
OG0000341	NB626_RS02450	B5M19_RS03220
OG0000342	NB626_RS00835	B5M19_RS01815
OG0000343	NB626_RS03320	B5M19_RS04195
OG0000344	NB626_RS00675	B5M19_RS02425
OG0000345	NB626_RS01145	B5M19_RS03135
OG0000346	NB626_RS03610	B5M19_RS04590
OG0000347	NB626_RS01525	B5M19_RS01170
OG0000348	NB626_RS00920	B5M19_RS01740
OG0000349	NB626_RS03675	B5M19_RS00440
OG0000350	NB626_RS02940	B5M19_RS02515
OG0000351	NB626_RS00590	B5M19_RS03490
OG0000352	NB626_RS02065	B5M19_RS00755
OG0000353	NB626_RS01490	B5M19_RS01200
OG0000354	NB626_RS00735	B5M19_RS03080
OG0000355	NB626_RS02040	B5M19_RS00725
OG0000356	NB626_RS02120	B5M19_RS00815
OG0000357	NB626_RS03275	B5M19_RS01500
OG0000358	NB626_RS03280	B5M19_RS01505
OG0000359	NB626_RS00880	B5M19_RS01770
OG0000360	NB626_RS00275	B5M19_RS00195
OG0000361	NB626_RS00305	B5M19_RS00225
OG0000362	NB626_RS02725	B5M19_RS01025
OG0000363	NB626_RS01565	B5M19_RS01125
OG0000364	NB626_RS02015	B5M19_RS00700
OG0000365	NB626_RS02175	B5M19_RS02775
OG0000366	NB626_RS02195	B5M19_RS02750
OG0000367	NB626_RS02205	B5M19_RS02740
OG0000368	NB626_RS00060	B5M19_RS04270
OG0000369	NB626_RS00025	B5M19_RS01910
OG0000370	NB626_RS00020	B5M19_RS01915
OG0000371	NB626_RS00015	B5M19_RS01920
OG0000372	NB626_RS00010	B5M19_RS01925
OG0000373	NB626_RS03810	B5M19_RS01950
OG0000374	NB626_RS03800	B5M19_RS01960
OG0000375	NB626_RS02380	B5M19_RS02950
OG0000376	NB626_RS02540	B5M19_RS02670
OG0000377	NB626_RS02530	B5M19_RS02680
OG0000379	NB626_RS01485	B5M19_RS01205
OG0000380	NB626_RS01520	B5M19_RS01180
OG0000381	NB626_RS01555	B5M19_RS01140
OG0000382	NB626_RS01585	B5M19_RS01105
OG0000383	NB626_RS01625	B5M19_RS01070
OG0000384	NB626_RS00615	B5M19_RS02365
OG0000385	NB626_RS00625	B5M19_RS02370
OG0000386	NB626_RS00640	B5M19_RS02390
OG0000387	NB626_RS00665	B5M19_RS02415
OG0000388	NB626_RS00670	B5M19_RS02420
OG0000389	NB626_RS00715	B5M19_RS03095
OG0000390	NB626_RS03085	B5M19_RS01365
OG0000391	NB626_RS03075	B5M19_RS01375
OG0000392	NB626_RS03050	B5M19_RS01400
OG0000393	NB626_RS02995	B5M19_RS03515
OG0000394	NB626_RS02915	B5M19_RS02490
OG0000395	NB626_RS02910	B5M19_RS02485
OG0000396	NB626_RS02605	B5M19_RS02845
OG0000397	NB626_RS02050	B5M19_RS00740
OG0000398	NB626_RS02060	B5M19_RS00745
OG0000399	NB626_RS02100	B5M19_RS00795
OG0000400	NB626_RS03240	B5M19_RS01460
OG0000401	NB626_RS03305	B5M19_RS01525
OG0000402	NB626_RS03315	B5M19_RS01535
OG0000404	NB626_RS03360	B5M19_RS04205
OG0000405	NB626_RS03375	B5M19_RS01590
OG0000406	NB626_RS03430	B5M19_RS03025
OG0000407	NB626_RS03435	B5M19_RS03020
OG0000408	NB626_RS03440	B5M19_RS03015
OG0000409	NB626_RS03445	B5M19_RS03010
OG0000410	NB626_RS03510	B5M19_RS03100
OG0000411	NB626_RS03495	B5M19_RS03110
OG0000412	NB626_RS03490	B5M19_RS03115
OG0000413	NB626_RS01640	B5M19_RS03555
OG0000414	NB626_RS01650	B5M19_RS03545
OG0000415	NB626_RS01655	B5M19_RS03540
OG0000416	NB626_RS01665	B5M19_RS03530
OG0000417	NB626_RS02445	B5M19_RS03225
OG0000418	NB626_RS02435	B5M19_RS03230
OG0000419	NB626_RS00815	B5M19_RS01835
OG0000420	NB626_RS00850	B5M19_RS01800
OG0000421	NB626_RS00895	B5M19_RS01765
OG0000422	NB626_RS00905	B5M19_RS01755
OG0000423	NB626_RS00965	B5M19_RS01700
OG0000424	NB626_RS00970	B5M19_RS01695
OG0000425	NB626_RS00980	B5M19_RS01685
OG0000426	NB626_RS00985	B5M19_RS01680
OG0000427	NB626_RS01010	B5M19_RS01655
OG0000428	NB626_RS01040	B5M19_RS01630
OG0000431	NB626_RS01190	B5M19_RS03180
OG0000432	NB626_RS01220	B5M19_RS04345
OG0000433	NB626_RS01235	B5M19_RS02200
OG0000434	NB626_RS01245	B5M19_RS02195
OG0000435	NB626_RS01255	B5M19_RS02180
OG0000436	NB626_RS01280	B5M19_RS02150
OG0000437	NB626_RS01290	B5M19_RS02140
OG0000438	NB626_RS01295	B5M19_RS02135
OG0000439	NB626_RS01300	B5M19_RS02130
OG0000440	NB626_RS03135	B5M19_RS04165
OG0000441	NB626_RS03180	B5M19_RS01265
OG0000442	NB626_RS00145	B5M19_RS00055
OG0000443	NB626_RS00190	B5M19_RS00105
OG0000444	NB626_RS00205	B5M19_RS00120
OG0000445	NB626_RS00230	B5M19_RS00145
OG0000446	NB626_RS00255	B5M19_RS00175
OG0000447	NB626_RS00265	B5M19_RS00180
OG0000448	NB626_RS00290	B5M19_RS00210
OG0000449	NB626_RS00315	B5M19_RS00235
OG0000450	NB626_RS00325	B5M19_RS00245
OG0000451	NB626_RS00370	B5M19_RS00295
OG0000452	NB626_RS00395	B5M19_RS00330
OG0000453	NB626_RS00525	B5M19_RS04040
OG0000454	NB626_RS01685	B5M19_RS03255
OG0000455	NB626_RS03720	B5M19_RS00395
OG0000456	NB626_RS03595	B5M19_RS00515
OG0000457	NB626_RS03565	B5M19_RS00540
OG0000458	NB626_RS02695	B5M19_RS01055
OG0000459	NB626_RS02720	B5M19_RS01030
OG0000460	NB626_RS02730	B5M19_RS01020
OG0000461	NB626_RS02775	B5M19_RS04125
OG0000462	NB626_RS02770	B5M19_RS00980
OG0000463	NB626_RS02765	B5M19_RS04130
OG0000464	NB626_RS02760	B5M19_RS00990
OG0000465	NB626_RS02755	B5M19_RS00995
OG0000467	NB626_RS02860	B5M19_RS00895
OG0000468	NB626_RS02095	B5M19_RS00790
OG0000469	NB626_RS02160	B5M19_RS00850
OG0000470	NB626_RS00960	B5M19_RS03910
OG0000471	NB626_RS01045	B5M19_RS01625
OG0000472	NB626_RS03515	B5M19_RS00580
OG0000473	NB626_RS03705	B5M19_RS00410
OG0000474	NB626_RS03710	B5M19_RS00405
OG0000475	NB626_RS03715	B5M19_RS00400
OG0000476	NB626_RS01675	B5M19_RS03280
OG0000477	NB626_RS02805	B5M19_RS00950
OG0000478	NB626_RS03650	B5M19_RS00465
OG0000479	NB626_RS01445	B5M19_RS04145
OG0000480	NB626_RS02165	B5M19_RS03895
OG0000481	NB626_RS00935	B5M19_RS01730
OG0000482	NB626_RS01325	B5M19_RS03730
OG0000483	NB626_RS02210	B5M19_RS02735
OG0000484	NB626_RS00200	B5M19_RS00115
OG0000485	NB626_RS01285	B5M19_RS02145
OG0000486	NB626_RS02465	B5M19_RS03205
OG0000487	NB626_RS02150	B5M19_RS00830
OG0000488	NB626_RS02180	B5M19_RS02770
OG0000489	NB626_RS00050	B5M19_RS01885
OG0000490	NB626_RS03815	B5M19_RS01945
OG0000491	NB626_RS01465	B5M19_RS01225
OG0000492	NB626_RS01545	B5M19_RS04140
OG0000493	NB626_RS00680	B5M19_RS02430
OG0000494	NB626_RS00740	B5M19_RS03075
OG0000497	NB626_RS03005	B5M19_RS01445
OG0000498	NB626_RS02920	B5M19_RS02495
OG0000499	NB626_RS02885	B5M19_RS00870
OG0000501	NB626_RS03250	B5M19_RS01470
OG0000502	NB626_RS01315	B5M19_RS02350
OG0000503	NB626_RS00865	B5M19_RS04250
OG0000504	NB626_RS01015	B5M19_RS01650
OG0000505	NB626_RS01055	B5M19_RS03420
OG0000507	NB626_RS01100	B5M19_RS03375
OG0000509	NB626_RS00285	B5M19_RS00205
OG0000510	NB626_RS00295	B5M19_RS00215
OG0000511	NB626_RS00530	B5M19_RS03685
OG0000512	NB626_RS02735	B5M19_RS01015
OG0000513	NB626_RS03635	B5M19_RS00480
OG0000514	NB626_RS03045	B5M19_RS01405
OG0000517	NB626_RS00065	B5M19_RS01870
OG0000518	NB626_RS03295	B5M19_RS01515
OG0000519	NB626_RS00900	B5M19_RS01760
OG0000522	NB626_RS00300	B5M19_RS00220
OG0000523	NB626_RS03560	B5M19_RS00545
OG0000524	NB626_RS02855	B5M19_RS00900
OG0000525	NB626_RS03520	B5M19_RS00575
OG0000526	NB626_RS01960	B5M19_RS04070
OG0000527	NB626_RS01900	B5M19_RS04065
OG0000530	NB626_RS02505	B5M19_RS02705
OG0000532	NB626_RS01735	B5M19_RS04500
OG0000533	NB626_RS00700	B5M19_RS04515
OG0000536	NB626_RS03750	B5M19_RS00365
OG0000540	NB626_RS02825	B5M19_RS00930
OG0000541	NB626_RS02900	B5M19_RS00855
OG0000543	NB626_RS00510	B5M19_RS04430
OG0000544	NB626_RS01370	B5M19_RS04410, B5M19_RS04405
OG0000545	NB626_RS01945	B5M19_RS00645
OG0000546	NB626_RS02970	B5M19_RS02545
OG0000551	NB626_RS03165	B5M19_RS01275
OG0000553	NB626_RS02870	B5M19_RS00885
OG0000554	NB626_RS02560	B5M19_RS02655
OG0000555	NB626_RS03100	B5M19_RS01350
OG0000556	NB626_RS00450	B5M19_RS02885
OG0000557	NB626_RS01380	B5M19_RS02615
OG0000558	NB626_RS01350	B5M19_RS03655
OG0000559	NB626_RS01815	B5M19_RS02075
OG0000560	NB626_RS01930	B5M19_RS00635
OG0000561	NB626_RS01230	B5M19_RS02205
OG0000562	NB626_RS01935	B5M19_RS00640
OG0000563	NB626_RS01925	B5M19_RS00625
OG0000564	NB626_RS01410	B5M19_RS03930
OG0000565	NB626_RS02000	B5M19_RS00685
OG0000566	NB626_RS01980	B5M19_RS00675
OG0000567	NB626_RS01950	B5M19_RS00650
