Orthogroup	MHP_133A_genes	MFC_ATCC27716_genes
OG0000135	NB626_RS00650	MFC_RS00825
OG0000136	NB626_RS00655	MFC_RS00830
OG0000137	NB626_RS00685	MFC_RS00860
OG0000138	NB626_RS00720	MFC_RS00885
OG0000139	NB626_RS00750	MFC_RS00915
OG0000140	NB626_RS00755	MFC_RS00920
OG0000141	NB626_RS03115	MFC_RS00955
OG0000142	NB626_RS03110	MFC_RS00960
OG0000143	NB626_RS03095	MFC_RS00985
OG0000144	NB626_RS03080	MFC_RS00995
OG0000145	NB626_RS03070	MFC_RS01005
OG0000146	NB626_RS03060	MFC_RS01015
OG0000147	NB626_RS03055	MFC_RS01020
OG0000148	NB626_RS03040	MFC_RS01035
OG0000149	NB626_RS03030	MFC_RS01045
OG0000150	NB626_RS03025	MFC_RS01060
OG0000151	NB626_RS02965	MFC_RS01115
OG0000152	NB626_RS02960	MFC_RS01120
OG0000153	NB626_RS02955	MFC_RS01125
OG0000154	NB626_RS02945	MFC_RS01135
OG0000155	NB626_RS02905	MFC_RS01155
OG0000156	NB626_RS02895	MFC_RS01175
OG0000157	NB626_RS02890	MFC_RS01180
OG0000158	NB626_RS02880	MFC_RS01190
OG0000159	NB626_RS02640	MFC_RS01245
OG0000160	NB626_RS02635	MFC_RS01250
OG0000161	NB626_RS02630	MFC_RS01255
OG0000162	NB626_RS02620	MFC_RS01265
OG0000163	NB626_RS02615	MFC_RS01270
OG0000164	NB626_RS01715	MFC_RS01300
OG0000165	NB626_RS02075	MFC_RS01345
OG0000166	NB626_RS02090	MFC_RS01365
OG0000167	NB626_RS02105	MFC_RS01380
OG0000168	NB626_RS02110	MFC_RS01385
OG0000169	NB626_RS03230	MFC_RS01430
OG0000170	NB626_RS03245	MFC_RS01455
OG0000171	NB626_RS03255	MFC_RS01465
OG0000172	NB626_RS03260	MFC_RS01470
OG0000173	NB626_RS03265	MFC_RS01475
OG0000174	NB626_RS03270	MFC_RS01480
OG0000175	NB626_RS03290	MFC_RS01495
OG0000176	NB626_RS03345	MFC_RS01540
OG0000177	NB626_RS03350	MFC_RS01545
OG0000178	NB626_RS03355	MFC_RS01550
OG0000179	NB626_RS03365	MFC_RS01560
OG0000180	NB626_RS03370	MFC_RS01565
OG0000181	NB626_RS03410	MFC_RS01580
OG0000182	NB626_RS03420	MFC_RS01590
OG0000183	NB626_RS03455	MFC_RS01625
OG0000184	NB626_RS03500	MFC_RS01655
OG0000185	NB626_RS03485	MFC_RS01670
OG0000186	NB626_RS01645	MFC_RS01710
OG0000187	NB626_RS01660	MFC_RS01725
OG0000188	NB626_RS01670	MFC_RS01735
OG0000189	NB626_RS02460	MFC_RS03385
OG0000190	NB626_RS02455	MFC_RS01750
OG0000191	NB626_RS02430	MFC_RS01770
OG0000192	NB626_RS01335	MFC_RS01780
OG0000193	NB626_RS01320	MFC_RS01795
OG0000194	NB626_RS00790	MFC_RS01805
OG0000195	NB626_RS00795	MFC_RS01810
OG0000196	NB626_RS00820	MFC_RS01830
OG0000197	NB626_RS00830	MFC_RS01835
OG0000198	NB626_RS00840	MFC_RS01850
OG0000199	NB626_RS00845	MFC_RS01855
OG0000200	NB626_RS00860	MFC_RS01865
OG0000201	NB626_RS00870	MFC_RS01875
OG0000202	NB626_RS00940	MFC_RS01930
OG0000203	NB626_RS00945	MFC_RS01935
OG0000204	NB626_RS00950	MFC_RS01940
OG0000205	NB626_RS00955	MFC_RS01945
OG0000206	NB626_RS00975	MFC_RS01965
OG0000207	NB626_RS00990	MFC_RS01980
OG0000208	NB626_RS00995	MFC_RS01985
OG0000209	NB626_RS01000	MFC_RS01990
OG0000210	NB626_RS01050	MFC_RS02040
OG0000211	NB626_RS01065	MFC_RS02050
OG0000212	NB626_RS01070	MFC_RS02060
OG0000213	NB626_RS01075	MFC_RS02065
OG0000214	NB626_RS01080	MFC_RS02070
OG0000215	NB626_RS01085	MFC_RS02075
OG0000216	NB626_RS01090	MFC_RS02080
OG0000217	NB626_RS01095	MFC_RS02085
OG0000218	NB626_RS01105	MFC_RS02095
OG0000219	NB626_RS01110	MFC_RS02100
OG0000220	NB626_RS01115	MFC_RS02105
OG0000221	NB626_RS01120	MFC_RS02110
OG0000222	NB626_RS01125	MFC_RS03235
OG0000223	NB626_RS01130	MFC_RS02115
OG0000224	NB626_RS01140	MFC_RS02125
OG0000225	NB626_RS01150	MFC_RS02135
OG0000226	NB626_RS01155	MFC_RS02140
OG0000227	NB626_RS01160	MFC_RS02145
OG0000228	NB626_RS01165	MFC_RS03530
OG0000229	NB626_RS01170	MFC_RS02155
OG0000230	NB626_RS01180	MFC_RS02160
OG0000231	NB626_RS01185	MFC_RS02170
OG0000232	NB626_RS01195	MFC_RS02180
OG0000233	NB626_RS01215	MFC_RS02190
OG0000234	NB626_RS01250	MFC_RS02220
OG0000235	NB626_RS01260	MFC_RS02230
OG0000236	NB626_RS01265	MFC_RS02235
OG0000237	NB626_RS01270	MFC_RS02250
OG0000238	NB626_RS01275	MFC_RS02255
OG0000239	NB626_RS03125	MFC_RS02285
OG0000240	NB626_RS03130	MFC_RS02290
OG0000241	NB626_RS03140	MFC_RS02300
OG0000242	NB626_RS03145	MFC_RS02305
OG0000243	NB626_RS03150	MFC_RS02310
OG0000244	NB626_RS03160	MFC_RS02320
OG0000245	NB626_RS03170	MFC_RS02330
OG0000246	NB626_RS00140	MFC_RS02345
OG0000247	NB626_RS00150	MFC_RS02355
OG0000248	NB626_RS00160	MFC_RS02380
OG0000249	NB626_RS00165	MFC_RS02385
OG0000250	NB626_RS00180	MFC_RS02400
OG0000251	NB626_RS00215	MFC_RS02430
OG0000252	NB626_RS00220	MFC_RS02440
OG0000253	NB626_RS00225	MFC_RS02445
OG0000254	NB626_RS00235	MFC_RS02455
OG0000255	NB626_RS00240	MFC_RS02465
OG0000256	NB626_RS00250	MFC_RS02470
OG0000257	NB626_RS00270	MFC_RS02495
OG0000258	NB626_RS00280	MFC_RS02505
OG0000259	NB626_RS00310	MFC_RS02535
OG0000260	NB626_RS00320	MFC_RS02545
OG0000261	NB626_RS00330	MFC_RS02555
OG0000262	NB626_RS00350	MFC_RS02570
OG0000263	NB626_RS00365	MFC_RS02585
OG0000264	NB626_RS00380	MFC_RS02600
OG0000265	NB626_RS00390	MFC_RS02610
OG0000266	NB626_RS00405	MFC_RS02625
OG0000267	NB626_RS00420	MFC_RS02640
OG0000268	NB626_RS00520	MFC_RS02645
OG0000269	NB626_RS00535	MFC_RS02660
OG0000270	NB626_RS03700	MFC_RS02720
OG0000271	NB626_RS03695	MFC_RS02725
OG0000272	NB626_RS03690	MFC_RS02730
OG0000273	NB626_RS03685	MFC_RS02735
OG0000274	NB626_RS03670	MFC_RS02755
OG0000275	NB626_RS03660	MFC_RS03455
OG0000276	NB626_RS03655	MFC_RS02765
OG0000277	NB626_RS03645	MFC_RS02775
OG0000278	NB626_RS03640	MFC_RS02780
OG0000279	NB626_RS03630	MFC_RS02790
OG0000280	NB626_RS03620	MFC_RS02795
OG0000281	NB626_RS03615	MFC_RS03255
OG0000282	NB626_RS03590	MFC_RS02820
OG0000283	NB626_RS03585	MFC_RS02825
OG0000284	NB626_RS03580	MFC_RS02830
OG0000285	NB626_RS03575	MFC_RS02835
OG0000286	NB626_RS02600	MFC_RS02865
OG0000287	NB626_RS02700	MFC_RS02890
OG0000288	NB626_RS02710	MFC_RS02900
OG0000289	NB626_RS02715	MFC_RS02905
OG0000290	NB626_RS02830	MFC_RS03030
OG0000291	NB626_RS02820	MFC_RS03040
OG0000292	NB626_RS02815	MFC_RS03045
OG0000293	NB626_RS02810	MFC_RS03050
OG0000294	NB626_RS02800	MFC_RS03060
OG0000295	NB626_RS02795	MFC_RS03065
OG0000296	NB626_RS02750	MFC_RS03110
OG0000297	NB626_RS02745	MFC_RS03115
OG0000298	NB626_RS00175	MFC_RS02395
OG0000299	NB626_RS00195	MFC_RS02415
OG0000300	NB626_RS00375	MFC_RS02595
OG0000301	NB626_RS00410	MFC_RS02630
OG0000302	NB626_RS00415	MFC_RS02635
OG0000303	NB626_RS00660	MFC_RS00835
OG0000304	NB626_RS01200	MFC_RS00865
OG0000305	NB626_RS03065	MFC_RS01010
OG0000306	NB626_RS02990	MFC_RS01090
OG0000307	NB626_RS02950	MFC_RS01130
OG0000308	NB626_RS02850	MFC_RS03020
OG0000309	NB626_RS02785	MFC_RS03075
OG0000310	NB626_RS02705	MFC_RS02895
OG0000311	NB626_RS02660	MFC_RS01220
OG0000312	NB626_RS02645	MFC_RS01240
OG0000313	NB626_RS01705	MFC_RS01290
OG0000314	NB626_RS02085	MFC_RS01360
OG0000315	NB626_RS02115	MFC_RS01390
OG0000316	NB626_RS02125	MFC_RS01400
OG0000317	NB626_RS02225	MFC_RS00110
OG0000318	NB626_RS02130	MFC_RS00020
OG0000319	NB626_RS02385	MFC_RS00420
OG0000320	NB626_RS02525	MFC_RS00485
OG0000321	NB626_RS01450	MFC_RS00550
OG0000322	NB626_RS01500	MFC_RS00595
OG0000323	NB626_RS01630	MFC_RS00725
OG0000324	NB626_RS02425	MFC_RS01775
OG0000325	NB626_RS00805	MFC_RS01815
OG0000326	NB626_RS00910	MFC_RS01905
OG0000327	NB626_RS00915	MFC_RS01910
OG0000328	NB626_RS01005	MFC_RS01995
OG0000329	NB626_RS01035	MFC_RS02020
OG0000330	NB626_RS01225	MFC_RS02200
OG0000331	NB626_RS03155	MFC_RS02315
OG0000332	NB626_RS03300	MFC_RS01505
OG0000333	NB626_RS03310	MFC_RS01515
OG0000334	NB626_RS03415	MFC_RS01585
OG0000335	NB626_RS03425	MFC_RS01595
OG0000336	NB626_RS03605	MFC_RS02805
OG0000337	NB626_RS03780	MFC_RS00280
OG0000338	NB626_RS03820	MFC_RS00240
OG0000339	NB626_RS02495	MFC_RS00505
OG0000340	NB626_RS01430	MFC_RS00530
OG0000341	NB626_RS02450	MFC_RS01755
OG0000342	NB626_RS00835	MFC_RS01845
OG0000343	NB626_RS03320	MFC_RS01525
OG0000344	NB626_RS00675	MFC_RS00850
OG0000345	NB626_RS01145	MFC_RS02130
OG0000346	NB626_RS03610	MFC_RS02800
OG0000347	NB626_RS01525	MFC_RS00620
OG0000348	NB626_RS00920	MFC_RS01915
OG0000349	NB626_RS03675	MFC_RS02745
OG0000350	NB626_RS02940	MFC_RS03345
OG0000351	NB626_RS00590	MFC_RS00785
OG0000352	NB626_RS02065	MFC_RS01340
OG0000353	NB626_RS01490	MFC_RS00590
OG0000354	NB626_RS00735	MFC_RS00900
OG0000355	NB626_RS02040	MFC_RS01315
OG0000356	NB626_RS02120	MFC_RS01395
OG0000357	NB626_RS03275	MFC_RS01485
OG0000358	NB626_RS03280	MFC_RS01490
OG0000359	NB626_RS00880	MFC_RS01885
OG0000360	NB626_RS00275	MFC_RS02500
OG0000361	NB626_RS00305	MFC_RS02530
OG0000362	NB626_RS02725	MFC_RS02915
OG0000363	NB626_RS01565	MFC_RS00660
OG0000365	NB626_RS02175	MFC_RS00050
OG0000366	NB626_RS02195	MFC_RS00080
OG0000367	NB626_RS02205	MFC_RS00090
OG0000368	NB626_RS00060	MFC_RS00175
OG0000369	NB626_RS00025	MFC_RS00210
OG0000370	NB626_RS00020	MFC_RS00215
OG0000371	NB626_RS00015	MFC_RS00220
OG0000372	NB626_RS00010	MFC_RS00225
OG0000373	NB626_RS03810	MFC_RS00250
OG0000374	NB626_RS03800	MFC_RS00260
OG0000375	NB626_RS02380	MFC_RS00415
OG0000376	NB626_RS02540	MFC_RS00470
OG0000377	NB626_RS02530	MFC_RS00480
OG0000379	NB626_RS01485	MFC_RS00585
OG0000380	NB626_RS01520	MFC_RS00610
OG0000381	NB626_RS01555	MFC_RS00650
OG0000382	NB626_RS01585	MFC_RS00680
OG0000383	NB626_RS01625	MFC_RS00720
OG0000384	NB626_RS00615	MFC_RS00790
OG0000385	NB626_RS00625	MFC_RS00795
OG0000386	NB626_RS00640	MFC_RS00815
OG0000387	NB626_RS00665	MFC_RS00840
OG0000388	NB626_RS00670	MFC_RS00845
OG0000389	NB626_RS00715	MFC_RS00880
OG0000390	NB626_RS03085	MFC_RS00990
OG0000391	NB626_RS03075	MFC_RS01000
OG0000392	NB626_RS03050	MFC_RS01030
OG0000393	NB626_RS02995	MFC_RS01080
OG0000394	NB626_RS02915	MFC_RS01145
OG0000395	NB626_RS02910	MFC_RS01150
OG0000396	NB626_RS02605	MFC_RS01280
OG0000397	NB626_RS02050	MFC_RS01325
OG0000398	NB626_RS02060	MFC_RS01330
OG0000399	NB626_RS02100	MFC_RS01375
OG0000400	NB626_RS03240	MFC_RS01450
OG0000401	NB626_RS03305	MFC_RS01510
OG0000402	NB626_RS03315	MFC_RS01520
OG0000403	NB626_RS03325	MFC_RS01530
OG0000404	NB626_RS03360	MFC_RS03375, MFC_RS01555
OG0000405	NB626_RS03375	MFC_RS01570
OG0000406	NB626_RS03430	MFC_RS01600
OG0000407	NB626_RS03435	MFC_RS01605
OG0000408	NB626_RS03440	MFC_RS01610
OG0000409	NB626_RS03445	MFC_RS01615
OG0000410	NB626_RS03510	MFC_RS01650
OG0000411	NB626_RS03495	MFC_RS01660
OG0000412	NB626_RS03490	MFC_RS01665
OG0000413	NB626_RS01640	MFC_RS01705
OG0000414	NB626_RS01650	MFC_RS01715
OG0000415	NB626_RS01655	MFC_RS01720
OG0000416	NB626_RS01665	MFC_RS01730
OG0000417	NB626_RS02445	MFC_RS01760
OG0000418	NB626_RS02435	MFC_RS01765
OG0000419	NB626_RS00815	MFC_RS01825
OG0000420	NB626_RS00850	MFC_RS01860
OG0000421	NB626_RS00895	MFC_RS01890
OG0000422	NB626_RS00905	MFC_RS01900
OG0000423	NB626_RS00965	MFC_RS01955
OG0000424	NB626_RS00970	MFC_RS01960
OG0000425	NB626_RS00980	MFC_RS01970
OG0000426	NB626_RS00985	MFC_RS01975
OG0000427	NB626_RS01010	MFC_RS02000
OG0000428	NB626_RS01040	MFC_RS02030
OG0000429	NB626_RS01135	MFC_RS02120
OG0000431	NB626_RS01190	MFC_RS02175
OG0000432	NB626_RS01220	MFC_RS02195
OG0000433	NB626_RS01235	MFC_RS02205
OG0000434	NB626_RS01245	MFC_RS02210
OG0000435	NB626_RS01255	MFC_RS02225
OG0000436	NB626_RS01280	MFC_RS03535
OG0000437	NB626_RS01290	MFC_RS02270
OG0000438	NB626_RS01295	MFC_RS02275
OG0000439	NB626_RS01300	MFC_RS02280
OG0000440	NB626_RS03135	MFC_RS02295
OG0000441	NB626_RS03180	MFC_RS02335
OG0000442	NB626_RS00145	MFC_RS02350
OG0000443	NB626_RS00190	MFC_RS02410
OG0000444	NB626_RS00205	MFC_RS02425
OG0000445	NB626_RS00230	MFC_RS02450
OG0000446	NB626_RS00255	MFC_RS02480
OG0000447	NB626_RS00265	MFC_RS02485
OG0000448	NB626_RS00290	MFC_RS02515
OG0000449	NB626_RS00315	MFC_RS02540
OG0000450	NB626_RS00325	MFC_RS02550
OG0000451	NB626_RS00370	MFC_RS02590
OG0000452	NB626_RS00395	MFC_RS02615
OG0000453	NB626_RS00525	MFC_RS02650
OG0000454	NB626_RS01685	MFC_RS03435
OG0000455	NB626_RS03720	MFC_RS02700
OG0000456	NB626_RS03595	MFC_RS02815
OG0000457	NB626_RS03565	MFC_RS02840
OG0000458	NB626_RS02695	MFC_RS02885
OG0000459	NB626_RS02720	MFC_RS02910
OG0000460	NB626_RS02730	MFC_RS02920
OG0000461	NB626_RS02775	MFC_RS03080
OG0000462	NB626_RS02770	MFC_RS03085
OG0000463	NB626_RS02765	MFC_RS03090
OG0000464	NB626_RS02760	MFC_RS03100
OG0000465	NB626_RS02755	MFC_RS03105
OG0000466	NB626_RS00400	MFC_RS02620
OG0000467	NB626_RS02860	MFC_RS03500
OG0000468	NB626_RS02095	MFC_RS01370
OG0000469	NB626_RS02160	MFC_RS00045
OG0000470	NB626_RS00960	MFC_RS01950
OG0000471	NB626_RS01045	MFC_RS02035
OG0000472	NB626_RS03515	MFC_RS01680
OG0000473	NB626_RS03705	MFC_RS02715
OG0000474	NB626_RS03710	MFC_RS02710
OG0000475	NB626_RS03715	MFC_RS02705
OG0000476	NB626_RS01675	MFC_RS00345
OG0000477	NB626_RS02805	MFC_RS03055
OG0000478	NB626_RS03650	MFC_RS02770
OG0000479	NB626_RS01445	MFC_RS00545
OG0000480	NB626_RS02165	MFC_RS03300
OG0000481	NB626_RS00935	MFC_RS01925
OG0000482	NB626_RS01325	MFC_RS01790
OG0000483	NB626_RS02210	MFC_RS00095
OG0000484	NB626_RS00200	MFC_RS02420
OG0000487	NB626_RS02150	MFC_RS00025
OG0000488	NB626_RS02180	MFC_RS00065
OG0000489	NB626_RS00050	MFC_RS00185
OG0000490	NB626_RS03815	MFC_RS00245
OG0000491	NB626_RS01465	MFC_RS00565
OG0000492	NB626_RS01545	MFC_RS00640
OG0000493	NB626_RS00680	MFC_RS00855
OG0000494	NB626_RS00740	MFC_RS00905
OG0000496	NB626_RS03010	MFC_RS01065
OG0000497	NB626_RS03005	MFC_RS01070
OG0000498	NB626_RS02920	MFC_RS01140
OG0000499	NB626_RS02885	MFC_RS01185
OG0000501	NB626_RS03250	MFC_RS01460
OG0000502	NB626_RS01315	MFC_RS01800
OG0000503	NB626_RS00865	MFC_RS01870
OG0000504	NB626_RS01015	MFC_RS02005
OG0000505	NB626_RS01055	MFC_RS02045
OG0000507	NB626_RS01100	MFC_RS02090
OG0000509	NB626_RS00285	MFC_RS02510
OG0000510	NB626_RS00295	MFC_RS02520
OG0000511	NB626_RS00530	MFC_RS02655
OG0000512	NB626_RS02735	MFC_RS02925
OG0000513	NB626_RS03635	MFC_RS02785
OG0000517	NB626_RS00065	MFC_RS00170
OG0000518	NB626_RS03295	MFC_RS01500
OG0000519	NB626_RS00900	MFC_RS01895
OG0000522	NB626_RS00300	MFC_RS02525
OG0000523	NB626_RS03560	MFC_RS02845
OG0000524	NB626_RS02855	MFC_RS03015
OG0000525	NB626_RS03520	MFC_RS01685
OG0000530	NB626_RS02505	MFC_RS00495
OG0000532	NB626_RS01735	MFC_RS00940
OG0000533	NB626_RS00700	MFC_RS02185
OG0000534	NB626_RS00385	MFC_RS02605
OG0000536	NB626_RS03750	MFC_RS00315
OG0000540	NB626_RS02825	MFC_RS03035
OG0000541	NB626_RS02900	MFC_RS01170
OG0000551	NB626_RS03165	MFC_RS02325
OG0000555	NB626_RS03100	MFC_RS03340
OG0000589	NB626_RS02290	MFC_RS03260
OG0000595	NB626_RS03190	MFC_RS01440
OG0000596	NB626_RS01860	MFC_RS02370
OG0000597	NB626_RS03185	MFC_RS01435
OG0000598	NB626_RS01865	MFC_RS02365
OG0000599	NB626_RS01870	MFC_RS02360
OG0000627	NB626_RS03755	MFC_RS00310
