Orthogroup	MHP_133A_genes	MHP_112B_genes
OG0000126	NB626_RS01550	NBX26_RS01560
OG0000127	NB626_RS01560	NBX26_RS01570
OG0000128	NB626_RS01575	NBX26_RS01585
OG0000129	NB626_RS01580	NBX26_RS01590
OG0000130	NB626_RS01590	NBX26_RS01600
OG0000131	NB626_RS01620	NBX26_RS01630
OG0000132	NB626_RS01635	NBX26_RS01645
OG0000133	NB626_RS00630	NBX26_RS00530
OG0000134	NB626_RS00635	NBX26_RS00535
OG0000135	NB626_RS00650	NBX26_RS00550
OG0000136	NB626_RS00655	NBX26_RS00555
OG0000137	NB626_RS00685	NBX26_RS00595
OG0000138	NB626_RS00720	NBX26_RS00620
OG0000139	NB626_RS00750	NBX26_RS00650
OG0000140	NB626_RS00755	NBX26_RS00655
OG0000141	NB626_RS03115	NBX26_RS03105
OG0000142	NB626_RS03110	NBX26_RS03100
OG0000143	NB626_RS03095	NBX26_RS03085
OG0000144	NB626_RS03080	NBX26_RS03070
OG0000145	NB626_RS03070	NBX26_RS03060
OG0000146	NB626_RS03060	NBX26_RS03050
OG0000147	NB626_RS03055	NBX26_RS03045
OG0000148	NB626_RS03040	NBX26_RS03030
OG0000149	NB626_RS03030	NBX26_RS03020
OG0000150	NB626_RS03025	NBX26_RS03005
OG0000151	NB626_RS02965	NBX26_RS02955
OG0000152	NB626_RS02960	NBX26_RS02950
OG0000153	NB626_RS02955	NBX26_RS02945
OG0000154	NB626_RS02945	NBX26_RS02935
OG0000155	NB626_RS02905	NBX26_RS02895
OG0000156	NB626_RS02895	NBX26_RS02890
OG0000157	NB626_RS02890	NBX26_RS02880
OG0000158	NB626_RS02880	NBX26_RS02870
OG0000159	NB626_RS02640	NBX26_RS02625
OG0000160	NB626_RS02635	NBX26_RS02620
OG0000161	NB626_RS02630	NBX26_RS02615
OG0000162	NB626_RS02620	NBX26_RS02605
OG0000163	NB626_RS02615	NBX26_RS02600
OG0000164	NB626_RS01715	NBX26_RS01730
OG0000165	NB626_RS02075	NBX26_RS02160
OG0000166	NB626_RS02090	NBX26_RS02140
OG0000167	NB626_RS02105	NBX26_RS02125
OG0000168	NB626_RS02110	NBX26_RS02120
OG0000169	NB626_RS03230	NBX26_RS03215
OG0000170	NB626_RS03245	NBX26_RS03230
OG0000171	NB626_RS03255	NBX26_RS03240
OG0000172	NB626_RS03260	NBX26_RS03245
OG0000173	NB626_RS03265	NBX26_RS03250
OG0000174	NB626_RS03270	NBX26_RS03255
OG0000175	NB626_RS03290	NBX26_RS03270
OG0000176	NB626_RS03345	NBX26_RS03330
OG0000177	NB626_RS03350	NBX26_RS03335
OG0000178	NB626_RS03355	NBX26_RS03340
OG0000179	NB626_RS03365	NBX26_RS03350
OG0000180	NB626_RS03370	NBX26_RS03355
OG0000181	NB626_RS03410	NBX26_RS03395
OG0000182	NB626_RS03420	NBX26_RS03405
OG0000183	NB626_RS03455	NBX26_RS03440
OG0000184	NB626_RS03500	NBX26_RS03495
OG0000185	NB626_RS03485	NBX26_RS03480
OG0000186	NB626_RS01645	NBX26_RS01655
OG0000187	NB626_RS01660	NBX26_RS01670
OG0000188	NB626_RS01670	NBX26_RS01680
OG0000189	NB626_RS02460	NBX26_RS02455
OG0000190	NB626_RS02455	NBX26_RS02450
OG0000191	NB626_RS02430	NBX26_RS02425
OG0000192	NB626_RS01335	NBX26_RS01345
OG0000193	NB626_RS01320	NBX26_RS01330
OG0000194	NB626_RS00790	NBX26_RS00695
OG0000195	NB626_RS00795	NBX26_RS00700
OG0000196	NB626_RS00820	NBX26_RS00725
OG0000197	NB626_RS00830	NBX26_RS00735
OG0000198	NB626_RS00840	NBX26_RS00745
OG0000199	NB626_RS00845	NBX26_RS00750
OG0000200	NB626_RS00860	NBX26_RS00765
OG0000201	NB626_RS00870	NBX26_RS00775
OG0000202	NB626_RS00940	NBX26_RS00830
OG0000203	NB626_RS00945	NBX26_RS00835
OG0000204	NB626_RS00950	NBX26_RS00840
OG0000205	NB626_RS00955	NBX26_RS00845
OG0000206	NB626_RS00975	NBX26_RS00865
OG0000207	NB626_RS00990	NBX26_RS00880
OG0000208	NB626_RS00995	NBX26_RS00885
OG0000209	NB626_RS01000	NBX26_RS00890
OG0000210	NB626_RS01050	NBX26_RS00935
OG0000211	NB626_RS01065	NBX26_RS01080
OG0000212	NB626_RS01070	NBX26_RS01085
OG0000213	NB626_RS01075	NBX26_RS01090
OG0000214	NB626_RS01080	NBX26_RS01095
OG0000215	NB626_RS01085	NBX26_RS01100
OG0000216	NB626_RS01090	NBX26_RS01105
OG0000217	NB626_RS01095	NBX26_RS01110
OG0000218	NB626_RS01105	NBX26_RS01120
OG0000219	NB626_RS01110	NBX26_RS01125
OG0000220	NB626_RS01115	NBX26_RS01130
OG0000221	NB626_RS01120	NBX26_RS01135
OG0000222	NB626_RS01125	NBX26_RS01140
OG0000223	NB626_RS01130	NBX26_RS01145
OG0000224	NB626_RS01140	NBX26_RS01155
OG0000225	NB626_RS01150	NBX26_RS01165
OG0000226	NB626_RS01155	NBX26_RS01170
OG0000227	NB626_RS01160	NBX26_RS01175
OG0000228	NB626_RS01165	NBX26_RS01180
OG0000229	NB626_RS01170	NBX26_RS01185
OG0000230	NB626_RS01180	NBX26_RS01190
OG0000231	NB626_RS01185	NBX26_RS01200
OG0000232	NB626_RS01195	NBX26_RS01210
OG0000233	NB626_RS01215	NBX26_RS01230
OG0000234	NB626_RS01250	NBX26_RS01265
OG0000235	NB626_RS01260	NBX26_RS01275
OG0000236	NB626_RS01265	NBX26_RS01280
OG0000237	NB626_RS01270	NBX26_RS01285
OG0000238	NB626_RS01275	NBX26_RS01295
OG0000239	NB626_RS03125	NBX26_RS03115
OG0000240	NB626_RS03130	NBX26_RS03120
OG0000241	NB626_RS03140	NBX26_RS03130
OG0000242	NB626_RS03145	NBX26_RS03135
OG0000243	NB626_RS03150	NBX26_RS03140
OG0000244	NB626_RS03160	NBX26_RS03150
OG0000245	NB626_RS03170	NBX26_RS03160
OG0000246	NB626_RS00140	NBX26_RS00130
OG0000247	NB626_RS00150	NBX26_RS00140
OG0000248	NB626_RS00160	NBX26_RS00150
OG0000249	NB626_RS00165	NBX26_RS00155
OG0000250	NB626_RS00180	NBX26_RS00180
OG0000251	NB626_RS00215	NBX26_RS00210
OG0000252	NB626_RS00220	NBX26_RS00215
OG0000253	NB626_RS00225	NBX26_RS00220
OG0000254	NB626_RS00235	NBX26_RS00230
OG0000255	NB626_RS00240	NBX26_RS00235
OG0000256	NB626_RS00250	NBX26_RS00240
OG0000257	NB626_RS00270	NBX26_RS00265
OG0000258	NB626_RS00280	NBX26_RS00280
OG0000259	NB626_RS00310	NBX26_RS00305
OG0000260	NB626_RS00320	NBX26_RS00315
OG0000261	NB626_RS00330	NBX26_RS00325
OG0000262	NB626_RS00350	NBX26_RS00340
OG0000263	NB626_RS00365	NBX26_RS00355
OG0000264	NB626_RS00380	NBX26_RS00370
OG0000265	NB626_RS00390	NBX26_RS00380
OG0000266	NB626_RS00405	NBX26_RS00395
OG0000267	NB626_RS00420	NBX26_RS00410
OG0000268	NB626_RS00520	NBX26_RS00415
OG0000269	NB626_RS00535	NBX26_RS00430
OG0000270	NB626_RS03700	NBX26_RS03690
OG0000271	NB626_RS03695	NBX26_RS03685
OG0000272	NB626_RS03690	NBX26_RS03680
OG0000273	NB626_RS03685	NBX26_RS03675
OG0000274	NB626_RS03670	NBX26_RS03660
OG0000275	NB626_RS03660	NBX26_RS03650
OG0000276	NB626_RS03655	NBX26_RS03645
OG0000277	NB626_RS03645	NBX26_RS03635
OG0000278	NB626_RS03640	NBX26_RS03630
OG0000279	NB626_RS03630	NBX26_RS03620
OG0000280	NB626_RS03620	NBX26_RS03615
OG0000281	NB626_RS03615	NBX26_RS03610
OG0000282	NB626_RS03590	NBX26_RS03585
OG0000283	NB626_RS03585	NBX26_RS03580
OG0000284	NB626_RS03580	NBX26_RS03575
OG0000285	NB626_RS03575	NBX26_RS03570
OG0000286	NB626_RS02600	NBX26_RS02585
OG0000287	NB626_RS02700	NBX26_RS02680
OG0000288	NB626_RS02710	NBX26_RS02690
OG0000289	NB626_RS02715	NBX26_RS02695
OG0000290	NB626_RS02830	NBX26_RS02815
OG0000291	NB626_RS02820	NBX26_RS02800
OG0000292	NB626_RS02815	NBX26_RS02795
OG0000293	NB626_RS02810	NBX26_RS02785
OG0000294	NB626_RS02800	NBX26_RS02775
OG0000295	NB626_RS02795	NBX26_RS02770
OG0000296	NB626_RS02750	NBX26_RS02730
OG0000297	NB626_RS02745	NBX26_RS02725
OG0000298	NB626_RS00175	NBX26_RS00165
OG0000299	NB626_RS00195	NBX26_RS00190
OG0000300	NB626_RS00375	NBX26_RS00365
OG0000301	NB626_RS00410	NBX26_RS00400
OG0000302	NB626_RS00415	NBX26_RS00405
OG0000303	NB626_RS00660	NBX26_RS00560
OG0000304	NB626_RS01200	NBX26_RS01215
OG0000305	NB626_RS03065	NBX26_RS03055
OG0000306	NB626_RS02990	NBX26_RS02980
OG0000307	NB626_RS02950	NBX26_RS02940
OG0000308	NB626_RS02850	NBX26_RS02850
OG0000309	NB626_RS02785	NBX26_RS02760
OG0000310	NB626_RS02705	NBX26_RS02685
OG0000311	NB626_RS02660	NBX26_RS02645
OG0000312	NB626_RS02645	NBX26_RS02630
OG0000313	NB626_RS01705	NBX26_RS01720
OG0000314	NB626_RS02085	NBX26_RS02145
OG0000315	NB626_RS02115	NBX26_RS02115
OG0000316	NB626_RS02125	NBX26_RS02105
OG0000317	NB626_RS02225	NBX26_RS02005
OG0000318	NB626_RS02130	NBX26_RS02100
OG0000319	NB626_RS02385	NBX26_RS02380
OG0000320	NB626_RS02525	NBX26_RS02510
OG0000321	NB626_RS01450	NBX26_RS01455
OG0000322	NB626_RS01500	NBX26_RS01510
OG0000323	NB626_RS01630	NBX26_RS01640
OG0000324	NB626_RS02425	NBX26_RS02420
OG0000325	NB626_RS00805	NBX26_RS00710
OG0000326	NB626_RS00910	NBX26_RS00805
OG0000327	NB626_RS00915	NBX26_RS00810
OG0000328	NB626_RS01005	NBX26_RS00895
OG0000329	NB626_RS01035	NBX26_RS00920
OG0000330	NB626_RS01225	NBX26_RS01240
OG0000331	NB626_RS03155	NBX26_RS03145
OG0000332	NB626_RS03300	NBX26_RS03285
OG0000333	NB626_RS03310	NBX26_RS03295
OG0000334	NB626_RS03415	NBX26_RS03400
OG0000335	NB626_RS03425	NBX26_RS03410
OG0000336	NB626_RS03605	NBX26_RS03600
OG0000337	NB626_RS03780	NBX26_RS03765
OG0000338	NB626_RS03820	NBX26_RS03805
OG0000339	NB626_RS02495	NBX26_RS02485
OG0000340	NB626_RS01430	NBX26_RS01435
OG0000341	NB626_RS02450	NBX26_RS02445
OG0000342	NB626_RS00835	NBX26_RS00740
OG0000343	NB626_RS03320	NBX26_RS03305
OG0000344	NB626_RS00675	NBX26_RS00575
OG0000345	NB626_RS01145	NBX26_RS01160
OG0000346	NB626_RS03610	NBX26_RS03605
OG0000347	NB626_RS01525	NBX26_RS01535
OG0000348	NB626_RS00920	NBX26_RS00815
OG0000349	NB626_RS03675	NBX26_RS03665
OG0000350	NB626_RS02940	NBX26_RS02930
OG0000351	NB626_RS00590	NBX26_RS00485
OG0000352	NB626_RS02065	NBX26_RS02165
OG0000353	NB626_RS01490	NBX26_RS01500
OG0000354	NB626_RS00735	NBX26_RS00635
OG0000355	NB626_RS02040	NBX26_RS02190
OG0000356	NB626_RS02120	NBX26_RS02110
OG0000357	NB626_RS03275	NBX26_RS03260
OG0000358	NB626_RS03280	NBX26_RS03265
OG0000359	NB626_RS00880	NBX26_RS00785
OG0000360	NB626_RS00275	NBX26_RS00270
OG0000361	NB626_RS00305	NBX26_RS00300
OG0000362	NB626_RS02725	NBX26_RS02705
OG0000363	NB626_RS01565	NBX26_RS01575
OG0000364	NB626_RS02015	NBX26_RS02215
OG0000365	NB626_RS02175	NBX26_RS02065
OG0000366	NB626_RS02195	NBX26_RS02040
OG0000367	NB626_RS02205	NBX26_RS02025
OG0000368	NB626_RS00060	NBX26_RS00060
OG0000369	NB626_RS00025	NBX26_RS00025
OG0000370	NB626_RS00020	NBX26_RS00020
OG0000371	NB626_RS00015	NBX26_RS00015
OG0000372	NB626_RS00010	NBX26_RS00010
OG0000373	NB626_RS03810	NBX26_RS03795
OG0000374	NB626_RS03800	NBX26_RS03785
OG0000375	NB626_RS02380	NBX26_RS02375
OG0000376	NB626_RS02540	NBX26_RS02525
OG0000377	NB626_RS02530	NBX26_RS02515
OG0000379	NB626_RS01485	NBX26_RS01495
OG0000380	NB626_RS01520	NBX26_RS01530
OG0000381	NB626_RS01555	NBX26_RS01565
OG0000382	NB626_RS01585	NBX26_RS01595
OG0000383	NB626_RS01625	NBX26_RS01635
OG0000384	NB626_RS00615	NBX26_RS00515
OG0000385	NB626_RS00625	NBX26_RS00525
OG0000386	NB626_RS00640	NBX26_RS00540
OG0000387	NB626_RS00665	NBX26_RS00565
OG0000388	NB626_RS00670	NBX26_RS00570
OG0000389	NB626_RS00715	NBX26_RS00615
OG0000390	NB626_RS03085	NBX26_RS03075
OG0000391	NB626_RS03075	NBX26_RS03065
OG0000392	NB626_RS03050	NBX26_RS03040
OG0000393	NB626_RS02995	NBX26_RS02985
OG0000394	NB626_RS02915	NBX26_RS02905
OG0000395	NB626_RS02910	NBX26_RS02900
OG0000396	NB626_RS02605	NBX26_RS02590
OG0000397	NB626_RS02050	NBX26_RS02180
OG0000398	NB626_RS02060	NBX26_RS02175
OG0000399	NB626_RS02100	NBX26_RS02130
OG0000400	NB626_RS03240	NBX26_RS03225
OG0000401	NB626_RS03305	NBX26_RS03290
OG0000402	NB626_RS03315	NBX26_RS03300
OG0000403	NB626_RS03325	NBX26_RS03310
OG0000404	NB626_RS03360	NBX26_RS03345
OG0000405	NB626_RS03375	NBX26_RS03360
OG0000406	NB626_RS03430	NBX26_RS03415
OG0000407	NB626_RS03435	NBX26_RS03420
OG0000408	NB626_RS03440	NBX26_RS03425
OG0000409	NB626_RS03445	NBX26_RS03430
OG0000410	NB626_RS03510	NBX26_RS03505
OG0000411	NB626_RS03495	NBX26_RS03490
OG0000412	NB626_RS03490	NBX26_RS03485
OG0000413	NB626_RS01640	NBX26_RS01650
OG0000414	NB626_RS01650	NBX26_RS01660
OG0000415	NB626_RS01655	NBX26_RS01665
OG0000416	NB626_RS01665	NBX26_RS01675
OG0000417	NB626_RS02445	NBX26_RS02440
OG0000418	NB626_RS02435	NBX26_RS02430
OG0000419	NB626_RS00815	NBX26_RS00720
OG0000420	NB626_RS00850	NBX26_RS00755
OG0000421	NB626_RS00895	NBX26_RS00795
OG0000422	NB626_RS00905	NBX26_RS00800
OG0000423	NB626_RS00965	NBX26_RS00855
OG0000424	NB626_RS00970	NBX26_RS00860
OG0000425	NB626_RS00980	NBX26_RS00870
OG0000426	NB626_RS00985	NBX26_RS00875
OG0000427	NB626_RS01010	NBX26_RS00900
OG0000428	NB626_RS01040	NBX26_RS00925
OG0000429	NB626_RS01135	NBX26_RS01150
OG0000431	NB626_RS01190	NBX26_RS01205
OG0000432	NB626_RS01220	NBX26_RS01235
OG0000433	NB626_RS01235	NBX26_RS01260
OG0000435	NB626_RS01255	NBX26_RS01270
OG0000437	NB626_RS01290	NBX26_RS01305
OG0000438	NB626_RS01295	NBX26_RS01310
OG0000439	NB626_RS01300	NBX26_RS01315
OG0000440	NB626_RS03135	NBX26_RS03125
OG0000441	NB626_RS03180	NBX26_RS03165
OG0000442	NB626_RS00145	NBX26_RS00135
OG0000443	NB626_RS00190	NBX26_RS00185
OG0000444	NB626_RS00205	NBX26_RS00200
OG0000445	NB626_RS00230	NBX26_RS00225
OG0000446	NB626_RS00255	NBX26_RS00250
OG0000447	NB626_RS00265	NBX26_RS00255
OG0000448	NB626_RS00290	NBX26_RS00290
OG0000449	NB626_RS00315	NBX26_RS00310
OG0000450	NB626_RS00325	NBX26_RS00320
OG0000451	NB626_RS00370	NBX26_RS00360
OG0000452	NB626_RS00395	NBX26_RS00385
OG0000453	NB626_RS00525	NBX26_RS00420
OG0000454	NB626_RS01685	NBX26_RS01695
OG0000455	NB626_RS03720	NBX26_RS03710
OG0000456	NB626_RS03595	NBX26_RS03590
OG0000457	NB626_RS03565	NBX26_RS03565
OG0000458	NB626_RS02695	NBX26_RS02675
OG0000459	NB626_RS02720	NBX26_RS02700
OG0000460	NB626_RS02730	NBX26_RS02710
OG0000461	NB626_RS02775	NBX26_RS02755
OG0000462	NB626_RS02770	NBX26_RS02750
OG0000463	NB626_RS02765	NBX26_RS02745
OG0000464	NB626_RS02760	NBX26_RS02740
OG0000465	NB626_RS02755	NBX26_RS02735
OG0000466	NB626_RS00400	NBX26_RS00390
OG0000467	NB626_RS02860	NBX26_RS02855
OG0000468	NB626_RS02095	NBX26_RS02135
OG0000469	NB626_RS02160	NBX26_RS02075
OG0000470	NB626_RS00960	NBX26_RS00850
OG0000471	NB626_RS01045	NBX26_RS00930
OG0000472	NB626_RS03515	NBX26_RS03515
OG0000473	NB626_RS03705	NBX26_RS03695
OG0000474	NB626_RS03710	NBX26_RS03700
OG0000475	NB626_RS03715	NBX26_RS03705
OG0000476	NB626_RS01675	NBX26_RS01685
OG0000477	NB626_RS02805	NBX26_RS02780
OG0000478	NB626_RS03650	NBX26_RS03640
OG0000479	NB626_RS01445	NBX26_RS01450
OG0000480	NB626_RS02165	NBX26_RS02070
OG0000481	NB626_RS00935	NBX26_RS00825
OG0000482	NB626_RS01325	NBX26_RS01335
OG0000483	NB626_RS02210	NBX26_RS02020
OG0000484	NB626_RS00200	NBX26_RS00195
OG0000485	NB626_RS01285	NBX26_RS01300
OG0000486	NB626_RS02465	NBX26_RS02460
OG0000487	NB626_RS02150	NBX26_RS02095
OG0000488	NB626_RS02180	NBX26_RS02055
OG0000489	NB626_RS00050	NBX26_RS00050
OG0000490	NB626_RS03815	NBX26_RS03800
OG0000492	NB626_RS01545	NBX26_RS01555
OG0000493	NB626_RS00680	NBX26_RS00580
OG0000494	NB626_RS00740	NBX26_RS00640
OG0000496	NB626_RS03010	NBX26_RS03000
OG0000497	NB626_RS03005	NBX26_RS02995
OG0000498	NB626_RS02920	NBX26_RS02910
OG0000499	NB626_RS02885	NBX26_RS02875
OG0000501	NB626_RS03250	NBX26_RS03235
OG0000502	NB626_RS01315	NBX26_RS01325
OG0000503	NB626_RS00865	NBX26_RS00770
OG0000504	NB626_RS01015	NBX26_RS00905
OG0000505	NB626_RS01055	NBX26_RS01070
OG0000507	NB626_RS01100	NBX26_RS01115
OG0000511	NB626_RS00530	NBX26_RS00425
OG0000512	NB626_RS02735	NBX26_RS02715
OG0000513	NB626_RS03635	NBX26_RS03625
OG0000514	NB626_RS03045	NBX26_RS03035
OG0000517	NB626_RS00065	NBX26_RS00065
OG0000518	NB626_RS03295	NBX26_RS03275
OG0000522	NB626_RS00300	NBX26_RS00295
OG0000523	NB626_RS03560	NBX26_RS03560
OG0000525	NB626_RS03520	NBX26_RS03520
OG0000526	NB626_RS01960	NBX26_RS02270
OG0000527	NB626_RS01900	NBX26_RS02325
OG0000530	NB626_RS02505	NBX26_RS02495
OG0000532	NB626_RS01730, NB626_RS01735	NBX26_RS01750
OG0000534	NB626_RS00385	NBX26_RS00375
OG0000536	NB626_RS03750	NBX26_RS03740
OG0000540	NB626_RS02825	NBX26_RS02805
OG0000543	NB626_RS00510	NBX26_RS01930
OG0000544	NB626_RS01370	NBX26_RS01380
OG0000545	NB626_RS01945	NBX26_RS02280
OG0000546	NB626_RS02970	NBX26_RS02960
OG0000551	NB626_RS03165	NBX26_RS03155
OG0000552	NB626_RS03335	NBX26_RS03320
OG0000553	NB626_RS02870	NBX26_RS02865
OG0000554	NB626_RS02560	NBX26_RS02545
OG0000555	NB626_RS03100	NBX26_RS03090
OG0000556	NB626_RS00450	NBX26_RS01975
OG0000557	NB626_RS01380	NBX26_RS01390
OG0000558	NB626_RS01350	NBX26_RS01360
