Orthogroup	MHP_168L_protein	MFC_MF22_protein
OG0000126	WP_228365385.1	WP_160583949.1
OG0000127	WP_011206271.1	WP_160583951.1
OG0000128	WP_014579864.1	WP_002557528.1
OG0000129	WP_044278010.1	WP_002557530.1
OG0000130	WP_014579859.1	WP_160583957.1
OG0000131	WP_014579711.1	WP_160583959.1
OG0000132	WP_014579712.1	WP_160583961.1
OG0000133	WP_014579713.1	WP_160581178.1
OG0000134	WP_014579716.1	WP_160583963.1
OG0000135	WP_014579717.1	WP_160581182.1
OG0000136	WP_011284023.1	WP_002557540.1
OG0000137	WP_044277984.1	WP_160581187.1
OG0000138	WP_014579721.1	WP_002557542.1
OG0000139	WP_011205965.1	WP_002557543.1
OG0000140	WP_011284027.1	WP_160581189.1
OG0000141	WP_044284614.1	WP_160581190.1
OG0000142	WP_011290114.1	WP_160583971.1
OG0000143	WP_014579725.1	WP_002557549.1
OG0000144	WP_011205956.1	WP_002557551.1
OG0000145	WP_016340201.1	WP_160581199.1
OG0000146	WP_014579726.1	WP_002557554.1
OG0000147	WP_011205952.1	WP_160581203.1
OG0000148	WP_011290120.1	WP_160581207.1
OG0000149	WP_016340202.1	WP_160583974.1
OG0000150	WP_011284040.1	WP_160583976.1
OG0000151	WP_014579730.1	WP_308704670.1
OG0000152	WP_014579731.1	WP_160584036.1
OG0000153	WP_014579732.1	WP_160581459.1
OG0000154	WP_014579733.1	WP_160581461.1
OG0000155	WP_011284046.1	WP_002557565.1
OG0000156	WP_014579734.1	WP_002557566.1
OG0000157	WP_014579735.1	WP_002557567.1
OG0000158	WP_014579737.1	WP_160584038.1
OG0000159	WP_014579586.1	WP_160581005.1
OG0000160	WP_014579588.1	WP_160583697.1
OG0000161	WP_014579589.1	WP_002557574.1
OG0000162	WP_228365407.1	WP_160583695.1
OG0000163	WP_014579591.1	WP_002557576.1
OG0000164	WP_011206120.1	WP_002557577.1
OG0000165	WP_014579592.1	WP_160583693.1
OG0000166	WP_016340187.1	WP_160583691.1
OG0000167	WP_014579595.1	WP_160583690.1
OG0000168	WP_014579598.1	WP_160583687.1
OG0000169	WP_014579657.1	WP_002557589.1
OG0000170	WP_014579656.1	WP_160583684.1
OG0000171	WP_016340195.1	WP_160583681.1
OG0000172	WP_011206101.1	WP_160583679.1
OG0000173	WP_016340242.1	WP_160583675.1
OG0000174	WP_016340241.1	WP_002557603.1
OG0000175	WP_014579948.1	WP_160580878.1
OG0000176	WP_011206391.1	WP_160580880.1
OG0000177	WP_011206390.1	WP_160583674.1
OG0000178	WP_014579946.1	WP_002557609.1
OG0000179	WP_014579945.1	WP_160583673.1
OG0000180	WP_011206385.1	WP_002557613.1
OG0000181	WP_011206384.1	WP_002557614.1
OG0000182	WP_014579942.1	WP_160583670.1
OG0000183	WP_016340240.1	WP_160583667.1
OG0000184	WP_011290331.1	WP_002557620.1
OG0000185	WP_014579937.1	WP_160580902.1
OG0000186	WP_011284272.1	WP_160580903.1
OG0000187	WP_011206376.1	WP_002557623.1
OG0000188	WP_016340239.1	WP_160583663.1
OG0000189	WP_014579931.1	WP_160580918.1
OG0000190	WP_014579930.1	WP_160583657.1
OG0000191	WP_014579929.1	WP_160580922.1
OG0000192	WP_044278028.1	WP_002557638.1
OG0000193	WP_014579920.1	WP_160583653.1
OG0000194	WP_011206337.1	WP_002557642.1
OG0000195	WP_014579919.1	WP_160583649.1
OG0000196	WP_011206335.1	WP_160583648.1
OG0000197	WP_014579918.1	WP_160583646.1
OG0000198	WP_014579917.1	WP_160583643.1
OG0000199	WP_011206289.1	WP_002557667.1
OG0000200	WP_044278019.1	WP_002557668.1
OG0000201	WP_014579880.1	WP_160580994.1
OG0000202	WP_014579777.1	WP_160581410.1
OG0000203	WP_011284063.1	WP_160584009.1
OG0000204	WP_014579775.1	WP_002557677.1
OG0000205	WP_014579804.1	WP_160581416.1
OG0000206	WP_014579805.1	WP_258556605.1
OG0000207	WP_011206197.1	WP_160584013.1
OG0000208	WP_016340211.1	WP_160584015.1
OG0000209	WP_016340213.1	WP_002557684.1
OG0000210	WP_014579811.1	WP_002557689.1
OG0000211	WP_016340214.1	WP_220190081.1
OG0000212	WP_014579814.1	WP_160581429.1
OG0000213	WP_014579815.1	WP_160584058.1
OG0000214	WP_014579962.1	WP_002557703.1
OG0000215	WP_014579966.1	WP_160581256.1
OG0000216	WP_011206424.1	WP_160583901.1
OG0000217	WP_011206425.1	WP_002557708.1
OG0000218	WP_014579967.1	WP_160583903.1
OG0000219	WP_014579970.1	WP_160583907.1
OG0000220	WP_014579971.1	WP_160581263.1
OG0000221	WP_014579972.1	WP_160581265.1
OG0000222	WP_014579976.1	WP_160583912.1
OG0000223	WP_014579977.1	WP_160581270.1
OG0000224	WP_011206441.1	WP_002557721.1
OG0000225	WP_016340247.1	WP_039387689.1
OG0000226	WP_014579979.1	WP_160581274.1
OG0000227	WP_011206445.1	WP_002557725.1
OG0000228	WP_014579980.1	WP_002557726.1
OG0000229	WP_014579985.1	WP_039387691.1
OG0000230	WP_014579987.1	WP_002557729.1
OG0000231	WP_014579989.1	WP_002557731.1
OG0000232	WP_014579990.1	WP_160583916.1
OG0000233	WP_011206457.1	WP_002557733.1
OG0000234	WP_011206458.1	WP_002557734.1
OG0000235	WP_011206459.1	WP_002557735.1
OG0000236	WP_014579992.1	WP_160583918.1
OG0000237	WP_011206469.1	WP_002557739.1
OG0000238	WP_011206468.1	WP_160584044.1
OG0000239	WP_014579996.1	WP_160584046.1
OG0000240	WP_014579995.1	WP_002557742.1
OG0000241	WP_011206465.1	WP_160584048.1
OG0000242	WP_014579997.1	WP_160583822.1
OG0000243	WP_014579738.1	WP_002557749.1
OG0000244	WP_014579739.1	WP_160583995.1
OG0000245	WP_011284053.1	WP_002557751.1
OG0000246	WP_014579740.1	WP_002557752.1
OG0000247	WP_014579741.1	WP_002557753.1
OG0000248	WP_011284056.1	WP_002557754.1
OG0000249	WP_011205932.1	WP_002557755.1
OG0000250	WP_014579854.1	WP_160583993.1
OG0000251	WP_011206256.1	WP_002557757.1
OG0000252	WP_228365384.1	WP_002557760.1
OG0000253	WP_014579850.1	WP_255454511.1
OG0000254	WP_011284001.1	WP_002557763.1
OG0000255	WP_011283999.1	WP_002557766.1
OG0000256	WP_014579694.1	WP_160583987.1
OG0000257	WP_011283923.1	WP_002557768.1
OG0000258	WP_011283924.1	WP_002557769.1
OG0000259	WP_011206093.1	WP_039387630.1
OG0000260	WP_014579649.1	WP_002557773.1
OG0000261	WP_014579648.1	WP_002557774.1
OG0000262	WP_014579647.1	WP_002557775.1
OG0000263	WP_014579645.1	WP_002557778.1
OG0000264	WP_011206086.1	WP_002557779.1
OG0000265	WP_011206085.1	WP_220190229.1
OG0000266	WP_014579644.1	WP_002557781.1
OG0000267	WP_016340193.1	WP_002557782.1
OG0000268	WP_011283934.1	WP_002557783.1
OG0000269	WP_044277971.1	WP_160583985.1
OG0000270	WP_014579639.1	WP_002557785.1
OG0000271	WP_014579638.1	WP_160581307.1
OG0000272	WP_014579634.1	WP_002557791.1
OG0000273	WP_011206072.1	WP_160583979.1
OG0000274	WP_014579633.1	WP_160583845.1
OG0000275	WP_014579632.1	WP_160583847.1
OG0000276	WP_016340192.1	WP_002557796.1
OG0000277	WP_011206067.1	WP_160583849.1
OG0000278	WP_011206066.1	WP_002557798.1
OG0000279	WP_044277967.1	WP_160583851.1
OG0000280	WP_011206064.1	WP_308507107.1
OG0000281	WP_014579629.1	WP_160583853.1
OG0000282	WP_011206062.1	WP_002557802.1
OG0000283	WP_014579628.1	WP_002557803.1
OG0000284	WP_014579623.1	WP_160583859.1
OG0000285	WP_014579621.1	WP_160581347.1
OG0000286	WP_011206050.1	WP_002557813.1
OG0000287	WP_011206049.1	WP_002557814.1
OG0000288	WP_014579618.1	WP_002557815.1
OG0000289	WP_011283963.1	WP_002557816.1
OG0000290	WP_011206047.1	WP_002557817.1
OG0000291	WP_014579616.1	WP_160583861.1
OG0000292	WP_011206044.1	WP_160583863.1
OG0000293	WP_014579615.1	WP_160581339.1
OG0000294	WP_020835591.1	WP_160583865.1
OG0000295	WP_011206040.1	WP_160583867.1
OG0000296	WP_011206039.1	WP_002557825.1
OG0000297	WP_011206038.1	WP_002557826.1
OG0000298	WP_041361589.1	WP_002557827.1
OG0000299	WP_014579610.1	WP_002557831.1
OG0000300	WP_014579609.1	WP_002557832.1
OG0000301	WP_014579608.1	WP_002557833.1
OG0000302	WP_014579607.1	WP_002557834.1
OG0000303	WP_011206028.1	WP_002557835.1
OG0000304	WP_014579605.1	WP_002557836.1
OG0000305	WP_014579604.1	WP_002557837.1
OG0000306	WP_014579603.1	WP_160581334.1
OG0000307	WP_014579602.1	WP_002557839.1
OG0000308	WP_014579601.1	WP_002557840.1
OG0000309	WP_011290071.1	WP_002557842.1
OG0000310	WP_014579662.1	WP_160583869.1
OG0000311	WP_011206014.1	WP_002557845.1
OG0000312	WP_011206013.1	WP_160583871.1
OG0000313	WP_014579664.1	WP_318026338.1
OG0000314	WP_011283987.1	WP_002557849.1
OG0000315	WP_014579665.1	WP_002557850.1
OG0000316	WP_016340197.1	WP_160581215.1
OG0000317	WP_014579667.1	WP_160583882.1
OG0000318	WP_011206006.1	WP_002557856.1
OG0000319	WP_011206005.1	WP_002557857.1
OG0000320	WP_014579672.1	WP_160581219.1
OG0000321	WP_014579673.1	WP_160583883.1
OG0000322	WP_014579674.1	WP_160583885.1
OG0000323	WP_011206399.1	WP_160583887.1
OG0000324	WP_011206400.1	WP_160583889.1
OG0000325	WP_014579953.1	WP_160583891.1
OG0000326	WP_011206402.1	WP_002557866.1
OG0000327	WP_044278032.1	WP_160583893.1
OG0000328	WP_014579955.1	WP_002557868.1
OG0000329	WP_014579956.1	WP_002557870.1
OG0000330	WP_011206408.1	WP_002557872.1
OG0000331	WP_044278034.1	WP_308704669.1
OG0000332	WP_014579532.1	WP_002557875.1
OG0000333	WP_014579533.1	WP_002557876.1
OG0000334	WP_014579534.1	WP_160583749.1
OG0000335	WP_228365403.1	WP_160583745.1
OG0000336	WP_044889030.1	WP_160583739.1
OG0000337	WP_011289957.1	WP_002557886.1
OG0000338	WP_014579542.1	WP_002557888.1
OG0000339	WP_011205880.1	WP_002557890.1
OG0000340	WP_014579544.1	WP_002557891.1
OG0000341	WP_011205882.1	WP_002557892.1
OG0000342	WP_011205883.1	WP_160581051.1
OG0000343	WP_014579546.1	WP_160583733.1
OG0000344	WP_014579547.1	WP_002557895.1
OG0000345	WP_014579548.1	WP_160583731.1
OG0000346	WP_014579550.1	WP_002557898.1
OG0000347	WP_011283865.1	WP_002557899.1
OG0000348	WP_044277952.1	WP_002557900.1
OG0000349	WP_014579552.1	WP_002557901.1
OG0000350	WP_014579553.1	WP_160583729.1
OG0000351	WP_014579554.1	WP_160583727.1
OG0000352	WP_014579555.1	WP_160583725.1
OG0000353	WP_011283871.1	WP_002557905.1
OG0000354	WP_187286314.1	WP_220190183.1
OG0000355	WP_044277955.1	WP_160583723.1
OG0000356	WP_014579560.1	WP_002557908.1
OG0000357	WP_011205899.1	WP_002557909.1
OG0000358	WP_014579562.1	WP_160583721.1
OG0000359	WP_014579563.1	WP_160583719.1
OG0000360	WP_011205903.1	WP_160583717.1
OG0000361	WP_044277956.1	WP_160583715.1
OG0000362	WP_016340180.1	WP_160583713.1
OG0000363	WP_014579569.1	WP_160583709.1
OG0000364	WP_011289987.1	WP_002557921.1
OG0000365	WP_011283885.1	WP_002557922.1
OG0000366	WP_011283887.1	WP_160581017.1
OG0000367	WP_014579574.1	WP_160583707.1
OG0000368	WP_011205921.1	WP_002557928.1
OG0000369	WP_044277957.1	WP_002557930.1
OG0000370	WP_014579577.1	WP_160581015.1
OG0000371	WP_016340183.1	WP_160583705.1
OG0000372	WP_016340185.1	WP_002557935.1
OG0000373	WP_014579579.1	WP_160583703.1
OG0000374	WP_014580026.1	WP_160583788.1
OG0000375	WP_014580022.1	WP_160583792.1
OG0000376	WP_014580021.1	WP_002557946.1
OG0000377	WP_011284373.1	WP_002557947.1
OG0000378	WP_011206502.1	WP_002557948.1
OG0000379	WP_187286326.1	WP_002557950.1
OG0000380	WP_014580018.1	WP_160583796.1
OG0000381	WP_233417356.1	WP_160581377.1
OG0000382	WP_011284368.1	WP_160583798.1
OG0000383	WP_011206494.1	WP_160581382.1
OG0000384	WP_014580014.1	WP_002557959.1
OG0000385	WP_014580013.1	WP_002557960.1
OG0000386	WP_014580012.1	WP_002557961.1
OG0000387	WP_011206487.1	WP_160583804.1
OG0000388	WP_014580010.1	WP_160583806.1
OG0000389	WP_014580009.1	WP_002557965.1
OG0000390	WP_014580008.1	WP_002557966.1
OG0000391	WP_014580007.1	WP_160583808.1
OG0000392	WP_016340251.1	WP_160583810.1
OG0000393	WP_014579875.1	WP_002557972.1
OG0000394	WP_011206297.1	WP_002557978.1
OG0000395	WP_011284218.1	WP_002557980.1
OG0000396	WP_014579889.1	WP_160583616.1
OG0000397	WP_014579891.1	WP_160583620.1
OG0000398	WP_014579908.1	WP_002558003.1
OG0000399	WP_011206320.1	WP_002558005.1
OG0000400	WP_014579905.1	WP_160583633.1
OG0000401	WP_014579904.1	WP_160583631.1
OG0000402	WP_014579902.1	WP_160583629.1
OG0000403	WP_014579901.1	WP_160580958.1
OG0000404	WP_016340234.1	WP_160583627.1
OG0000405	WP_014579898.1	WP_160583626.1
OG0000406	WP_014579895.1	WP_160583624.1
OG0000407	WP_014579894.1	WP_160580964.1
OG0000408	WP_014579893.1	WP_160580966.1
OG0000409	WP_014579538.1	WP_160583737.1
OG0000410	WP_011205878.1	WP_039387487.1
OG0000411	WP_014579572.1	WP_039387496.1
OG0000412	WP_011283891.1	WP_039387501.1
OG0000413	WP_014579576.1	WP_039387504.1
OG0000414	WP_014579593.1	WP_160580856.1
OG0000415	WP_044277963.1	WP_160580864.1
OG0000416	WP_014579943.1	WP_160580890.1
OG0000417	WP_014579928.1	WP_160583655.1
OG0000418	WP_016340236.1	WP_220190176.1
OG0000419	WP_014579911.1	WP_160583637.1
OG0000420	WP_011206313.1	WP_160580960.1
OG0000421	WP_011206298.1	WP_160583614.1
OG0000422	WP_014579885.1	WP_039387548.1
OG0000423	WP_014579776.1	WP_039387554.1
OG0000424	WP_014579810.1	WP_160584054.1
OG0000425	WP_014579816.1	WP_160581431.1
OG0000426	WP_014579818.1	WP_160581432.1
OG0000427	WP_016340221.1	WP_160581441.1
OG0000428	WP_014579824.1	WP_039387592.1
OG0000429	WP_233417345.1	WP_160584033.1
OG0000430	WP_014579833.1	WP_039387606.1
OG0000431	WP_016340226.1	WP_160583953.1
OG0000432	WP_011205969.1	WP_160583967.1
OG0000433	WP_014579724.1	WP_039387613.1
OG0000434	WP_014579736.1	WP_039387619.1
OG0000435	WP_014579849.1	WP_160581297.1
OG0000436	WP_011206094.1	WP_039387628.1
OG0000437	WP_014579637.1	WP_039387636.1
OG0000438	WP_011206076.1	WP_039387638.1
OG0000439	WP_011206069.1	WP_039387641.1
OG0000440	WP_014579627.1	WP_039387644.1
OG0000441	WP_011206056.1	WP_160583857.1
OG0000442	WP_014579622.1	WP_039387651.1
OG0000443	WP_011206016.1	WP_039387658.1
OG0000444	WP_011206405.1	WP_039387665.1
OG0000445	WP_011290372.1	WP_039387681.1
OG0000446	WP_011206433.1	WP_039387683.1
OG0000447	WP_014579986.1	WP_039387693.1
OG0000448	WP_016340248.1	WP_160583914.1
OG0000449	WP_011206488.1	WP_039387704.1
OG0000450	WP_014580015.1	WP_039387707.1
OG0000451	WP_014580023.1	WP_039387713.1
OG0000452	WP_014579742.1	WP_039387719.1
OG0000453	WP_011206520.1	WP_160581112.1
OG0000454	WP_014580051.1	WP_039387723.1
OG0000455	WP_014579903.1	WP_039387750.1
OG0000456	WP_014579838.1	WP_160581439.1
OG0000457	WP_014579860.1	WP_160583955.1
OG0000458	WP_011205973.1	WP_039387777.1
OG0000459	WP_014579853.1	WP_039387782.1
OG0000460	WP_014579646.1	WP_039387785.1
OG0000461	WP_011206435.1	WP_039387808.1
OG0000462	WP_011284367.1	WP_160583800.1
OG0000463	WP_014579718.1	WP_160583965.1
OG0000464	WP_014579596.1	WP_160583688.1
OG0000465	WP_014579611.1	WP_051054304.1
OG0000466	WP_014580011.1	WP_081605287.1
OG0000467	WP_143826159.1	WP_160583779.1
OG0000468	WP_011205955.1	WP_081605280.1
OG0000469	WP_225973015.1	WP_160583983.1
OG0000470	WP_014579938.1	WP_160583665.1
OG0000471	WP_014580020.1	WP_155897264.1
OG0000472	WP_011206218.1	WP_169742226.1
OG0000473	WP_044277969.1	WP_308507115.1
OG0000474	WP_228365390.1	WP_220190179.1
OG0000475	WP_014579582.1	WP_220190182.1
OG0000476	WP_016340212.1	WP_220190084.1
OG0000477	WP_014579841.1	WP_258556607.1
OG0000478	WP_014579723.1	WP_308507110.1
OG0000479	WP_233417361.1	WP_220190180.1
OG0000480	WP_011206194.1	WP_231237866.1
OG0000481	WP_233417344.1	WP_308507120.1
OG0000482	WP_228366113.1	WP_002557710.1
OG0000483	WP_014579968.1	WP_160583905.1
OG0000484	WP_228365405.1	WP_308704668.1
OG0000485	WP_228365406.1	WP_231237879.1
OG0000486	WP_014579561.1	WP_255454451.1
OG0000487	WP_011206302.1	WP_258556596.1
OG0000488	WP_014579961.1	WP_258556603.1
OG0000489	WP_233417364.1	WP_334199004.1
OG0000491	WP_011283834.1	WP_002557466.1
OG0000492	WP_011205844.1	WP_160583756.1
OG0000493	WP_011205843.1	WP_002557476.1
OG0000494	WP_014580050.1	WP_002557481.1
OG0000495	WP_014580041.1	WP_160583771.1
OG0000496	WP_011284186.1	WP_002557529.1
OG0000497	WP_011205962.1	WP_002557546.1
OG0000498	WP_011205957.1	WP_002557550.1
OG0000499	WP_014579727.1	WP_160583973.1
OG0000500	WP_014579587.1	WP_160580848.1
OG0000501	WP_044277961.1	WP_160580862.1
OG0000503	WP_014579949.1	WP_255454458.1
OG0000504	WP_011206375.1	WP_160583664.1
OG0000505	WP_011290314.1	WP_002557639.1
OG0000506	WP_014579921.1	WP_002557640.1
OG0000507	WP_011206333.1	WP_160583644.1
OG0000508	WP_014579876.1	WP_002557673.1
OG0000509	WP_014579965.1	WP_160583899.1
OG0000510	WP_200859210.1	WP_160583910.1
OG0000512	WP_044889038.1	WP_160583991.1
OG0000513	WP_011283957.1	WP_160581350.1
OG0000514	WP_044277964.1	WP_160581345.1
OG0000515	WP_016340190.1	WP_002557821.1
OG0000516	WP_011290062.1	WP_160581337.1
OG0000517	WP_011289986.1	WP_160581026.1
OG0000518	WP_014579571.1	WP_002557923.1
OG0000519	WP_014579573.1	WP_002557926.1
OG0000520	WP_016340184.1	WP_002557934.1
OG0000522	WP_014580004.1	WP_160583814.1
OG0000523	WP_014580003.1	WP_160583816.1
OG0000524	WP_014579890.1	WP_160580973.1
OG0000525	WP_016340233.1	WP_160583622.1
OG0000526	WP_014579897.1	WP_002558014.1
OG0000527	WP_044278026.1	WP_002558016.1
OG0000528	WP_011205922.1	WP_039387498.1
OG0000529	WP_016340235.1	WP_220190175.1
OG0000530	WP_014579812.1	WP_308704671.1
OG0000532	WP_044889046.1	WP_220190185.1
OG0000533	WP_014579695.1	WP_334296058.1
OG0000534	WP_014579671.1	WP_039387661.1
OG0000535	WP_014579941.1	WP_160583668.1
OG0000536	WP_044278009.1	WP_255454510.1
OG0000537	WP_014579659.1	WP_160583685.1
OG0000538	WP_011206235.1	WP_160584066.1, WP_160584060.1
OG0000540	WP_014579999.1	WP_160583818.1
OG0000542	WP_016340256.1	WP_160583775.1
OG0000543	WP_011206110.1	WP_160581332.1
OG0000546	WP_016340244.1	WP_258556254.1
OG0000549	WP_318023914.1	WP_308704674.1
OG0000550	WP_016340222.1	WP_160584017.1
OG0000555	WP_014579752.1	WP_160583747.1
OG0000556	WP_014579750.1	WP_039387482.1
OG0000563	WP_020835684.1	WP_160581073.1
OG0000668	WP_014580040.1	WP_160583773.1
