Gene clusters,Quantity of genomes of gene cluster has hits,Quantity of genes in gene cluster,Quantity maxima of paralogs,SCG,Functional homogeneity index,Geometric homogeneity index,Combined homogeneity index,Distribution layer,Copy-number class,Conservation pattern,Diversity type
GC_00000130,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000131,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000132,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000133,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000134,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000135,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000136,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000137,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000138,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000139,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000140,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000141,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000142,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000143,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000144,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000145,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000146,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000147,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000148,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000149,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000150,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000151,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000152,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000153,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000154,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000155,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000156,8,8,1,1,0.998466257668712,1.0,0.999232540291635,Core,Single copies-gene,Heterogeneous,Functional
GC_00000157,8,8,1,1,0.999831309041835,1.0,0.999915647406158,Core,Single copies-gene,Heterogeneous,Functional
GC_00000158,8,8,1,1,0.999255952380952,1.0,0.999627837737253,Core,Single copies-gene,Heterogeneous,Functional
GC_00000159,8,8,1,1,0.999186495830791,0.996973473384369,0.998078757885167,Core,Single copies-gene,Heterogeneous,Functioal and Geometric
GC_00000160,8,8,1,1,0.998263888888889,1.0,0.999131190269331,Core,Single copies-gene,Heterogeneous,Functional
GC_00000161,8,8,1,1,0.99975272007913,1.0,0.999876344750835,Core,Single copies-gene,Heterogeneous,Functional
GC_00000162,8,8,1,1,0.999433106575964,1.0,0.999716472923164,Core,Single copies-gene,Heterogeneous,Functional
GC_00000163,8,8,1,1,0.999619482496195,1.0,0.999809705042816,Core,Single copies-gene,Heterogeneous,Functional
GC_00000164,8,8,1,1,0.999589490968801,1.0,0.999794703346335,Core,Single copies-gene,Heterogeneous,Functional
GC_00000165,8,8,1,1,0.99981765134938,1.0,0.999908817361175,Core,Single copies-gene,Heterogeneous,Functional
GC_00000166,8,8,1,1,0.997787610619469,1.0,0.998892580287929,Core,Single copies-gene,Heterogeneous,Functional
GC_00000167,8,8,1,1,0.999221183800623,1.0,0.999610440202571,Core,Single copies-gene,Heterogeneous,Functional
GC_00000168,8,8,1,1,0.99964234620887,1.0,0.999821141119657,Core,Single copies-gene,Heterogeneous,Functional
GC_00000169,8,8,1,1,0.999077490774908,1.0,0.999538532533456,Core,Single copies-gene,Heterogeneous,Functional
GC_00000170,8,8,1,1,0.999534450651769,1.0,0.99976717112922,Core,Single copies-gene,Heterogeneous,Functional
GC_00000171,8,8,1,1,0.999506903353057,1.0,0.999753390875462,Core,Single copies-gene,Heterogeneous,Functional
GC_00000172,8,8,1,1,0.999531835205993,1.0,0.999765862795598,Core,Single copies-gene,Heterogeneous,Functional
GC_00000173,8,8,1,1,0.99972497249725,1.0,0.999862467335992,Core,Single copies-gene,Heterogeneous,Functional
GC_00000174,8,8,1,1,0.999488752556237,1.0,0.999744310917924,Core,Single copies-gene,Heterogeneous,Functional
GC_00000175,8,8,1,1,0.998953974895398,1.0,0.999476713762428,Core,Single copies-gene,Heterogeneous,Functional
GC_00000176,8,8,1,1,0.999378109452736,1.0,0.999688958009331,Core,Single copies-gene,Heterogeneous,Functional
GC_00000177,8,8,1,1,0.9995865816206,1.0,0.999793248072777,Core,Single copies-gene,Heterogeneous,Functional
GC_00000178,8,8,1,1,0.997422680412371,1.0,0.998709677419355,Core,Single copies-gene,Heterogeneous,Functional
GC_00000179,8,8,1,1,0.999666666666667,1.0,0.999833305550925,Core,Single copies-gene,Heterogeneous,Functional
GC_00000180,8,8,1,1,0.999242424242424,1.0,0.999621068586586,Core,Single copies-gene,Heterogeneous,Functional
GC_00000181,8,8,1,1,0.997767857142857,1.0,0.998882681564246,Core,Single copies-gene,Heterogeneous,Functional
GC_00000182,8,8,1,1,0.999433106575964,1.0,0.999716472923164,Core,Single copies-gene,Heterogeneous,Functional
GC_00000183,8,8,1,1,0.998760842627014,1.0,0.999380037197768,Core,Single copies-gene,Heterogeneous,Functional
GC_00000184,8,8,1,1,0.999322493224932,1.0,0.999661131819722,Core,Single copies-gene,Heterogeneous,Functional
GC_00000185,8,8,1,1,0.998137802607076,1.0,0.999068033550792,Core,Single copies-gene,Heterogeneous,Functional
GC_00000186,8,8,1,1,0.999529190207156,1.0,0.999764539675065,Core,Single copies-gene,Heterogeneous,Functional
GC_00000187,8,8,1,1,0.999113475177305,1.0,0.999556541019956,Core,Single copies-gene,Heterogeneous,Functional
GC_00000188,8,8,1,1,0.998762376237624,1.0,0.99938080495356,Core,Single copies-gene,Heterogeneous,Functional
GC_00000189,8,8,1,1,0.998756218905473,1.0,0.999377722464219,Core,Single copies-gene,Heterogeneous,Functional
GC_00000190,8,8,1,1,0.996527777777778,1.0,0.998260869565217,Core,Single copies-gene,Heterogeneous,Functional
GC_00000191,8,8,1,1,0.999387254901961,1.0,0.999693533558075,Core,Single copies-gene,Heterogeneous,Functional
GC_00000192,8,8,1,1,0.999027237354086,1.0,0.999513381995134,Core,Single copies-gene,Heterogeneous,Functional
GC_00000193,8,8,1,1,0.99965564738292,1.0,0.999827794041674,Core,Single copies-gene,Heterogeneous,Functional
GC_00000194,8,8,1,1,0.99975272007913,1.0,0.999876344750835,Core,Single copies-gene,Heterogeneous,Functional
GC_00000195,8,8,1,1,0.999904434250764,1.0,0.99995221484207,Core,Single copies-gene,Heterogeneous,Functional
GC_00000196,8,8,1,1,0.998908296943231,1.0,0.999453850354997,Core,Single copies-gene,Heterogeneous,Functional
GC_00000197,8,8,1,1,0.999343832020997,1.0,0.999671808336068,Core,Single copies-gene,Heterogeneous,Functional
GC_00000198,8,8,1,1,0.998412698412698,1.0,0.999205718824464,Core,Single copies-gene,Heterogeneous,Functional
GC_00000199,8,8,1,1,0.995670995670996,1.0,0.997830802603037,Core,Single copies-gene,Heterogeneous,Functional
GC_00000200,8,8,1,1,0.99881160870653,1.0,0.999405451074882,Core,Single copies-gene,Heterogeneous,Functional
GC_00000201,8,8,1,1,0.999223602484472,1.0,0.999611650485437,Core,Single copies-gene,Heterogeneous,Functional
GC_00000202,8,8,1,1,0.999356499356499,1.0,0.999678146121661,Core,Single copies-gene,Heterogeneous,Functional
GC_00000203,8,8,1,1,0.99910007199424,1.0,0.999549833438372,Core,Single copies-gene,Heterogeneous,Functional
GC_00000204,8,8,1,1,0.997619047619048,1.0,0.99880810488677,Core,Single copies-gene,Heterogeneous,Functional
GC_00000205,8,8,1,1,0.99818401937046,1.0,0.999091184489549,Core,Single copies-gene,Heterogeneous,Functional
GC_00000206,8,8,1,1,0.998406193078324,0.994578174979265,0.996488507702276,Core,Single copies-gene,Heterogeneous,Functioal and Geometric
GC_00000207,8,8,1,1,0.998055555555556,1.0,0.999026831641874,Core,Single copies-gene,Heterogeneous,Functional
GC_00000208,8,8,1,1,0.999356499356499,1.0,0.999678146121661,Core,Single copies-gene,Heterogeneous,Functional
GC_00000209,8,8,1,1,0.999278499278499,1.0,0.999639119451462,Core,Single copies-gene,Heterogeneous,Functional
GC_00000210,8,8,1,1,0.998998998998999,1.0,0.99949924887331,Core,Single copies-gene,Heterogeneous,Functional
GC_00000211,8,8,1,1,0.998229043683589,1.0,0.999113737075332,Core,Single copies-gene,Heterogeneous,Functional
GC_00000212,8,8,1,1,0.998661311914324,1.0,0.999330207635633,Core,Single copies-gene,Heterogeneous,Functional
GC_00000213,8,8,1,1,0.998325892857143,1.0,0.99916224518291,Core,Single copies-gene,Heterogeneous,Functional
GC_00000214,8,8,1,1,0.997287522603978,1.0,0.998641919420552,Core,Single copies-gene,Heterogeneous,Functional
GC_00000215,8,8,1,1,0.999557717823972,1.0,0.999778809997788,Core,Single copies-gene,Heterogeneous,Functional
GC_00000216,8,8,1,1,0.999174236168456,1.0,0.999586947542338,Core,Single copies-gene,Heterogeneous,Functional
GC_00000217,8,8,1,1,0.997440273037543,1.0,0.998718496369073,Core,Single copies-gene,Heterogeneous,Functional
GC_00000218,8,8,1,1,0.999113475177305,1.0,0.999556541019956,Core,Single copies-gene,Heterogeneous,Functional
GC_00000219,8,8,1,1,0.993833504624872,1.0,0.996907216494845,Core,Single copies-gene,Heterogeneous,Functional
GC_00000220,8,8,1,1,0.995073891625616,1.0,0.997530864197531,Core,Single copies-gene,Heterogeneous,Functional
GC_00000221,8,8,1,1,0.998366013071895,1.0,0.999182338511856,Core,Single copies-gene,Heterogeneous,Functional
GC_00000222,8,8,1,1,0.997797356828194,1.0,0.998897464167585,Core,Single copies-gene,Heterogeneous,Functional
GC_00000223,8,8,1,1,0.998901098901099,1.0,0.999450247388675,Core,Single copies-gene,Heterogeneous,Functional
GC_00000224,8,8,1,1,0.999554962171785,1.0,0.999777431560205,Core,Single copies-gene,Heterogeneous,Functional
GC_00000225,8,8,1,1,0.999285714285714,1.0,0.999642729546267,Core,Single copies-gene,Heterogeneous,Functional
GC_00000226,8,8,1,1,0.998194945848375,1.0,0.999096657633243,Core,Single copies-gene,Heterogeneous,Functional
GC_00000227,8,8,1,1,0.997532270311314,1.0,0.998764610852419,Core,Single copies-gene,Heterogeneous,Functional
GC_00000228,8,8,1,1,0.998073217726397,1.0,0.999035679845709,Core,Single copies-gene,Heterogeneous,Functional
GC_00000229,8,8,1,1,0.999452654625068,1.0,0.999726252395292,Core,Single copies-gene,Heterogeneous,Functional
GC_00000230,8,8,1,1,0.99701343952215,1.0,0.998504486540379,Core,Single copies-gene,Heterogeneous,Functional
GC_00000231,8,8,1,1,0.994360902255639,1.0,0.997172478793591,Core,Single copies-gene,Heterogeneous,Functional
GC_00000232,8,8,1,1,0.997670807453416,1.0,0.998834045860863,Core,Single copies-gene,Heterogeneous,Functional
GC_00000233,8,8,1,1,0.999321880650995,1.0,0.999660825325042,Core,Single copies-gene,Heterogeneous,Functional
GC_00000234,8,8,1,1,0.998424369747899,1.0,0.999211563731932,Core,Single copies-gene,Heterogeneous,Functional
GC_00000235,8,8,1,1,0.995798319327731,1.0,0.997894736842105,Core,Single copies-gene,Heterogeneous,Functional
GC_00000236,8,8,1,1,0.998917748917749,1.0,0.999458581483487,Core,Single copies-gene,Heterogeneous,Functional
GC_00000237,8,8,1,1,0.999554962171785,1.0,0.999777431560205,Core,Single copies-gene,Heterogeneous,Functional
GC_00000238,8,8,1,1,0.996491228070175,0.917316908331286,0.955266345801373,Core,Single copies-gene,Heterogeneous,Functioal and Geometric
GC_00000239,8,8,1,1,0.998656294200849,1.0,0.999327695410637,Core,Single copies-gene,Heterogeneous,Functional
GC_00000240,8,8,1,1,0.998234811165846,1.0,0.999116625921893,Core,Single copies-gene,Heterogeneous,Functional
GC_00000241,8,8,1,1,0.999284521822084,1.0,0.999642132887988,Core,Single copies-gene,Heterogeneous,Functional
GC_00000242,8,8,1,1,0.997559095580678,1.0,0.998778056466654,Core,Single copies-gene,Heterogeneous,Functional
GC_00000243,8,8,1,1,0.998664886515354,1.0,0.999331997327989,Core,Single copies-gene,Heterogeneous,Functional
GC_00000244,8,8,1,1,0.998712998712999,1.0,0.99935608499678,Core,Single copies-gene,Heterogeneous,Functional
GC_00000245,8,8,1,1,0.996428571428571,1.0,0.998211091234347,Core,Single copies-gene,Heterogeneous,Functional
GC_00000246,8,8,1,1,0.991663508904888,0.929207119741102,0.959419941270483,Core,Single copies-gene,Heterogeneous,Functioal and Geometric
GC_00000247,8,8,1,1,0.999465355004277,1.0,0.999732606021712,Core,Single copies-gene,Heterogeneous,Functional
GC_00000248,8,8,1,1,0.99854376001165,1.0,0.999271349460799,Core,Single copies-gene,Heterogeneous,Functional
GC_00000249,8,8,1,1,0.997370727432077,1.0,0.998683633172444,Core,Single copies-gene,Heterogeneous,Functional
GC_00000250,8,8,1,1,0.998719918074757,1.0,0.999359549122582,Core,Single copies-gene,Heterogeneous,Functional
GC_00000251,8,8,1,1,0.995327102803738,0.962677388836329,0.978730028920965,Core,Single copies-gene,Heterogeneous,Functioal and Geometric
