Orthogroup	MHP_232_genes	MHP_NCTC10127_genes
OG0000140	MHP_RS01335	EXC50_RS03430
OG0000141	MHP_RS02880	EXC50_RS01775
OG0000142	MHP_RS02875	EXC50_RS01770
OG0000143	MHP_RS02850	EXC50_RS01745
OG0000144	MHP_RS02840	EXC50_RS01735
OG0000145	MHP_RS02830	EXC50_RS01725
OG0000146	MHP_RS02820	EXC50_RS01715
OG0000147	MHP_RS02815	EXC50_RS01710
OG0000148	MHP_RS02800	EXC50_RS01695
OG0000149	MHP_RS02790	EXC50_RS01685
OG0000150	MHP_RS02775	EXC50_RS01670
OG0000151	MHP_RS02645	EXC50_RS01625
OG0000152	MHP_RS02640	EXC50_RS01620
OG0000153	MHP_RS02635	EXC50_RS01615
OG0000154	MHP_RS02625	EXC50_RS01605
OG0000155	MHP_RS02585	EXC50_RS01565
OG0000156	MHP_RS02575	EXC50_RS01555
OG0000157	MHP_RS02570	EXC50_RS01550
OG0000158	MHP_RS04005	EXC50_RS04235
OG0000159	MHP_RS04015	EXC50_RS03825
OG0000160	MHP_RS02325	EXC50_RS03820
OG0000161	MHP_RS02320	EXC50_RS03815
OG0000162	MHP_RS02310	EXC50_RS01290
OG0000163	MHP_RS02305	EXC50_RS01285
OG0000164	MHP_RS01605	EXC50_RS00550
OG0000165	MHP_RS01905	EXC50_RS00885
OG0000166	MHP_RS01925	EXC50_RS00905
OG0000167	MHP_RS01940	EXC50_RS00920
OG0000168	MHP_RS01945	EXC50_RS00925
OG0000169	MHP_RS02980	EXC50_RS01885
OG0000170	MHP_RS02995	EXC50_RS01900
OG0000171	MHP_RS03005	EXC50_RS01910
OG0000172	MHP_RS03010	EXC50_RS01915
OG0000173	MHP_RS03015	EXC50_RS01920
OG0000174	MHP_RS03020	EXC50_RS01925
OG0000175	MHP_RS03035	EXC50_RS01940
OG0000176	MHP_RS03085	EXC50_RS01990
OG0000177	MHP_RS03090	EXC50_RS01995
OG0000178	MHP_RS03095	EXC50_RS02000
OG0000179	MHP_RS03105	EXC50_RS02010
OG0000180	MHP_RS03110	EXC50_RS02015
OG0000181	MHP_RS03145	EXC50_RS02060
OG0000182	MHP_RS03155	EXC50_RS02070
OG0000183	MHP_RS03190	EXC50_RS02105
OG0000184	MHP_RS03235	EXC50_RS02150
OG0000185	MHP_RS03220	EXC50_RS02135
OG0000186	MHP_RS00480	EXC50_RS02565
OG0000187	MHP_RS00465	EXC50_RS02550
OG0000188	MHP_RS00455	EXC50_RS02540
OG0000189	MHP_RS02175	EXC50_RS01150
OG0000190	MHP_RS02170	EXC50_RS01145
OG0000191	MHP_RS02150	EXC50_RS01125
OG0000192	MHP_RS00790	EXC50_RS02870
OG0000193	MHP_RS00800	EXC50_RS02880
OG0000194	MHP_RS01305	EXC50_RS03395
OG0000195	MHP_RS01300	EXC50_RS03390
OG0000196	MHP_RS01280	EXC50_RS03370
OG0000197	MHP_RS01275	EXC50_RS03365
OG0000198	MHP_RS01260	EXC50_RS03350
OG0000199	MHP_RS01255	EXC50_RS03345
OG0000200	MHP_RS01245	EXC50_RS03330
OG0000201	MHP_RS01235	EXC50_RS03320
OG0000202	MHP_RS01180	EXC50_RS03265
OG0000203	MHP_RS01175	EXC50_RS03260
OG0000204	MHP_RS01170	EXC50_RS03255
OG0000205	MHP_RS01165	EXC50_RS03250
OG0000206	MHP_RS01145	EXC50_RS03230
OG0000207	MHP_RS01130	EXC50_RS03215
OG0000208	MHP_RS01125	EXC50_RS03210
OG0000209	MHP_RS01120	EXC50_RS03205
OG0000210	MHP_RS01075	EXC50_RS03160
OG0000211	MHP_RS01065	EXC50_RS03150
OG0000212	MHP_RS01055	EXC50_RS03140
OG0000213	MHP_RS03600	EXC50_RS03135
OG0000214	MHP_RS01050	EXC50_RS03130
OG0000215	MHP_RS01045	EXC50_RS03125
OG0000216	MHP_RS01040	EXC50_RS03120
OG0000217	MHP_RS01035	EXC50_RS03115
OG0000218	MHP_RS01025	EXC50_RS03105
OG0000219	MHP_RS01020	EXC50_RS03100
OG0000220	MHP_RS01015	EXC50_RS03095
OG0000221	MHP_RS01010	EXC50_RS03090
OG0000222	MHP_RS01005	EXC50_RS03085
OG0000223	MHP_RS01000	EXC50_RS03080
OG0000224	MHP_RS00990	EXC50_RS03070
OG0000225	MHP_RS00980	EXC50_RS03060
OG0000226	MHP_RS00975	EXC50_RS03055
OG0000227	MHP_RS00970	EXC50_RS03050
OG0000228	MHP_RS04010	EXC50_RS03045
OG0000229	MHP_RS00960	EXC50_RS03040
OG0000230	MHP_RS00955	EXC50_RS03035
OG0000231	MHP_RS00945	EXC50_RS03025
OG0000232	MHP_RS00935	EXC50_RS03015
OG0000233	MHP_RS00915	EXC50_RS02995
OG0000234	MHP_RS00880	EXC50_RS02960
OG0000235	MHP_RS00870	EXC50_RS02950
OG0000236	MHP_RS00865	EXC50_RS02945
OG0000237	MHP_RS00860	EXC50_RS02940
OG0000238	MHP_RS00850	EXC50_RS02930
OG0000239	MHP_RS02890	EXC50_RS01785
OG0000240	MHP_RS02895	EXC50_RS01790
OG0000241	MHP_RS02905	EXC50_RS01800
OG0000242	MHP_RS02910	EXC50_RS01805
OG0000243	MHP_RS02915	EXC50_RS01810
OG0000244	MHP_RS02925	EXC50_RS01820
OG0000245	MHP_RS02935	EXC50_RS01830
OG0000246	MHP_RS00150	EXC50_RS00140
OG0000247	MHP_RS00160	EXC50_RS00150
OG0000248	MHP_RS00170	EXC50_RS00160
OG0000249	MHP_RS00175	EXC50_RS00165
OG0000250	MHP_RS00190	EXC50_RS00180
OG0000251	MHP_RS00215	EXC50_RS00215
OG0000252	MHP_RS00225	EXC50_RS00225
OG0000253	MHP_RS00230	EXC50_RS00230
OG0000254	MHP_RS00240	EXC50_RS00240
OG0000255	MHP_RS00250	EXC50_RS00250
OG0000256	MHP_RS00255	EXC50_RS00255
OG0000257	MHP_RS00280	EXC50_RS00280
OG0000258	MHP_RS00290	EXC50_RS00290
OG0000259	MHP_RS00320	EXC50_RS00320
OG0000260	MHP_RS00330	EXC50_RS00330
OG0000261	MHP_RS00340	EXC50_RS00340
OG0000262	MHP_RS00355	EXC50_RS00360
OG0000263	MHP_RS00370	EXC50_RS00375
OG0000264	MHP_RS00385	EXC50_RS00390
OG0000265	MHP_RS00395	EXC50_RS00400
OG0000266	MHP_RS00415	EXC50_RS00420
OG0000267	MHP_RS00430	EXC50_RS00435
OG0000268	MHP_RS01570	EXC50_RS03665
OG0000269	MHP_RS01555	EXC50_RS03650
OG0000270	MHP_RS03410	EXC50_RS02335
OG0000271	MHP_RS03405	EXC50_RS02330
OG0000272	MHP_RS03400	EXC50_RS02325
OG0000273	MHP_RS03395	EXC50_RS02320
OG0000274	MHP_RS03375	EXC50_RS02300
OG0000275	MHP_RS03370	EXC50_RS02295
OG0000276	MHP_RS03365	EXC50_RS02290
OG0000277	MHP_RS03355	EXC50_RS02280
OG0000278	MHP_RS03350	EXC50_RS02275
OG0000279	MHP_RS03340	EXC50_RS02265
OG0000280	MHP_RS03335	EXC50_RS02260
OG0000281	MHP_RS03680	EXC50_RS02255
OG0000282	MHP_RS03310	EXC50_RS02230
OG0000283	MHP_RS03305	EXC50_RS02225
OG0000284	MHP_RS03300	EXC50_RS02220
OG0000285	MHP_RS03295	EXC50_RS02215
OG0000286	MHP_RS02290	EXC50_RS01270
OG0000287	MHP_RS02380	EXC50_RS01365
OG0000288	MHP_RS02390	EXC50_RS01375
OG0000289	MHP_RS02395	EXC50_RS01380
OG0000290	MHP_RS02510	EXC50_RS01490
OG0000291	MHP_RS02500	EXC50_RS01480
OG0000292	MHP_RS02495	EXC50_RS01475
OG0000293	MHP_RS02490	EXC50_RS01470
OG0000294	MHP_RS02475	EXC50_RS01460
OG0000295	MHP_RS02470	EXC50_RS01455
OG0000296	MHP_RS02430	EXC50_RS01415
OG0000297	MHP_RS02425	EXC50_RS01410
OG0000298	MHP_RS00185	EXC50_RS00175
OG0000299	MHP_RS03590	EXC50_RS00200
OG0000300	MHP_RS00380	EXC50_RS00385
OG0000301	MHP_RS00420	EXC50_RS00425
OG0000302	MHP_RS00425	EXC50_RS00430
OG0000303	MHP_RS01425	EXC50_RS03525
OG0000304	MHP_RS00930	EXC50_RS03010
OG0000305	MHP_RS02825	EXC50_RS01720
OG0000306	MHP_RS02665	EXC50_RS01645
OG0000307	MHP_RS02630	EXC50_RS01610
OG0000308	MHP_RS02530	EXC50_RS01510
OG0000309	MHP_RS02460	EXC50_RS01445
OG0000310	MHP_RS02385	EXC50_RS01370
OG0000311	MHP_RS02350	EXC50_RS01330
OG0000312	MHP_RS02335	EXC50_RS01315
OG0000313	MHP_RS01595	EXC50_RS00540
OG0000314	MHP_RS01920	EXC50_RS00900
OG0000315	MHP_RS01950	EXC50_RS00930
OG0000316	MHP_RS01960	EXC50_RS00940
OG0000317	MHP_RS02050	EXC50_RS01030
OG0000318	MHP_RS01965	EXC50_RS00945
OG0000319	MHP_RS02105	EXC50_RS01080
OG0000320	MHP_RS02235	EXC50_RS01215
OG0000321	MHP_RS00670	EXC50_RS02755
OG0000322	MHP_RS00625	EXC50_RS02710
OG0000323	MHP_RS00495	EXC50_RS02580
OG0000324	MHP_RS02145	EXC50_RS01120
OG0000325	MHP_RS01295	EXC50_RS03385
OG0000326	MHP_RS01205	EXC50_RS03290
OG0000327	MHP_RS01200	EXC50_RS03285
OG0000328	MHP_RS01115	EXC50_RS03200
OG0000329	MHP_RS01095	EXC50_RS03180
OG0000330	MHP_RS00905	EXC50_RS02985
OG0000331	MHP_RS02920	EXC50_RS01815
OG0000332	MHP_RS03045	EXC50_RS01950
OG0000333	MHP_RS03055	EXC50_RS01960
OG0000334	MHP_RS03150	EXC50_RS02065
OG0000335	MHP_RS03160	EXC50_RS02075
OG0000336	MHP_RS03325	EXC50_RS02245
OG0000337	MHP_RS03495	EXC50_RS02415
OG0000338	MHP_RS03535	EXC50_RS02455
OG0000339	MHP_RS02210	EXC50_RS01185
OG0000340	MHP_RS00690	EXC50_RS02775
OG0000341	MHP_RS02165	EXC50_RS01140
OG0000342	MHP_RS01265	EXC50_RS03355
OG0000343	MHP_RS03065	EXC50_RS01970
OG0000344	MHP_RS01410	EXC50_RS03510
OG0000345	MHP_RS00985	EXC50_RS03065
OG0000346	MHP_RS03330	EXC50_RS02250
OG0000347	MHP_RS00600	EXC50_RS02685
OG0000348	MHP_RS01195	EXC50_RS03280
OG0000349	MHP_RS03385	EXC50_RS02310
OG0000350	MHP_RS02620	EXC50_RS01600
OG0000351	MHP_RS01495	EXC50_RS03590
OG0000352	MHP_RS01900	EXC50_RS00880
OG0000353	MHP_RS00630	EXC50_RS02715
OG0000354	MHP_RS01355	EXC50_RS03450
OG0000355	MHP_RS01875	EXC50_RS00850
OG0000356	MHP_RS01955	EXC50_RS00935
OG0000357	MHP_RS03025	EXC50_RS01930
OG0000358	MHP_RS03030	EXC50_RS01935
OG0000359	MHP_RS01225	EXC50_RS03310
OG0000360	MHP_RS00285	EXC50_RS00285
OG0000361	MHP_RS00315	EXC50_RS00315
OG0000362	MHP_RS02405	EXC50_RS01390
OG0000363	MHP_RS03990	EXC50_RS02645
OG0000364	MHP_RS03780	EXC50_RS03915
OG0000364	MHP_RS03785	EXC50_RS03920
OG0000365	MHP_RS01995	EXC50_RS00975
OG0000366	MHP_RS02020	EXC50_RS01000
OG0000367	MHP_RS02030	EXC50_RS01010
OG0000368	MHP_RS00060	EXC50_RS00060
OG0000369	MHP_RS00025	EXC50_RS00025
OG0000370	MHP_RS00020	EXC50_RS00020
OG0000371	MHP_RS00015	EXC50_RS00015
OG0000372	MHP_RS00010	EXC50_RS00010
OG0000373	MHP_RS03525	EXC50_RS02445
OG0000374	MHP_RS03515	EXC50_RS02435
OG0000375	MHP_RS02100	EXC50_RS01075
OG0000376	MHP_RS02250	EXC50_RS01230
OG0000377	MHP_RS02240	EXC50_RS01220
OG0000378	MHP_RS00710	EXC50_RS02795
OG0000379	MHP_RS00635	EXC50_RS02720
OG0000380	MHP_RS00610	EXC50_RS02695
OG0000381	MHP_RS00570	EXC50_RS02655
OG0000382	MHP_RS00540	EXC50_RS02625
OG0000383	MHP_RS00500	EXC50_RS02585
OG0000384	MHP_RS01470	EXC50_RS03570
OG0000385	MHP_RS01465	EXC50_RS03565
OG0000386	MHP_RS01445	EXC50_RS03545
OG0000387	MHP_RS01420	EXC50_RS03520
OG0000388	MHP_RS01415	EXC50_RS03515
OG0000389	MHP_RS01375	EXC50_RS03470
OG0000390	MHP_RS02845	EXC50_RS01740
OG0000391	MHP_RS02835	EXC50_RS01730
OG0000392	MHP_RS02810	EXC50_RS01705
OG0000393	MHP_RS02755	EXC50_RS01650
OG0000394	MHP_RS02595	EXC50_RS01575
OG0000395	MHP_RS02590	EXC50_RS01570
OG0000396	MHP_RS02295	EXC50_RS01275
OG0000397	MHP_RS01885	EXC50_RS00865
OG0000398	MHP_RS01890	EXC50_RS00870
OG0000399	MHP_RS01935	EXC50_RS00915
OG0000400	MHP_RS02990	EXC50_RS01895
OG0000401	MHP_RS03050	EXC50_RS01955
OG0000402	MHP_RS03060	EXC50_RS01965
OG0000403	MHP_RS03070	EXC50_RS01975
OG0000404	MHP_RS03100	EXC50_RS02005
OG0000405	MHP_RS03115	EXC50_RS02020
OG0000406	MHP_RS03165	EXC50_RS02080
OG0000407	MHP_RS03170	EXC50_RS02085
OG0000408	MHP_RS03175	EXC50_RS02090
OG0000409	MHP_RS03180	EXC50_RS02095
OG0000410	MHP_RS03240	EXC50_RS02155
OG0000411	MHP_RS03230	EXC50_RS02145
OG0000412	MHP_RS03225	EXC50_RS02140
OG0000413	MHP_RS00485	EXC50_RS02570
OG0000414	MHP_RS00475	EXC50_RS02560
OG0000415	MHP_RS00470	EXC50_RS02555
OG0000416	MHP_RS00460	EXC50_RS02545
OG0000417	MHP_RS02160	EXC50_RS01135
OG0000418	MHP_RS02155	EXC50_RS01130
OG0000419	MHP_RS01285	EXC50_RS03375
OG0000420	MHP_RS01250	EXC50_RS03340
OG0000421	MHP_RS01220	EXC50_RS03305
OG0000422	MHP_RS01210	EXC50_RS03295
OG0000423	MHP_RS01155	EXC50_RS03240
OG0000424	MHP_RS01150	EXC50_RS03235
OG0000425	MHP_RS01140	EXC50_RS03225
OG0000426	MHP_RS01135	EXC50_RS03220
OG0000427	MHP_RS01110	EXC50_RS03195
OG0000428	MHP_RS01085	EXC50_RS03170
OG0000429	MHP_RS00995	EXC50_RS03075
OG0000430	MHP_RS00950	EXC50_RS03030
OG0000431	MHP_RS00940	EXC50_RS03020
OG0000432	MHP_RS00910	EXC50_RS02990
OG0000433	MHP_RS00895	EXC50_RS02975
OG0000434	MHP_RS00890	EXC50_RS02970
OG0000435	MHP_RS00875	EXC50_RS02955
OG0000436	MHP_RS00845	EXC50_RS02925
OG0000437	MHP_RS00835	EXC50_RS02915
OG0000438	MHP_RS00830	EXC50_RS02910
OG0000439	MHP_RS00825	EXC50_RS02905
OG0000440	MHP_RS02900	EXC50_RS01795
OG0000441	MHP_RS02940	EXC50_RS01835
OG0000442	MHP_RS00155	EXC50_RS00145
OG0000443	MHP_RS00200	EXC50_RS00195
OG0000444	MHP_RS00210	EXC50_RS00210
OG0000445	MHP_RS00235	EXC50_RS00235
OG0000446	MHP_RS00265	EXC50_RS00265
OG0000447	MHP_RS00270	EXC50_RS00270
OG0000448	MHP_RS00300	EXC50_RS00300
OG0000449	MHP_RS00325	EXC50_RS00325
OG0000450	MHP_RS00335	EXC50_RS00335
OG0000451	MHP_RS00375	EXC50_RS00380
OG0000452	MHP_RS00405	EXC50_RS00410
OG0000453	MHP_RS01565	EXC50_RS03660
OG0000454	MHP_RS01635	EXC50_RS00585
OG0000454	MHP_RS02745	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	MHP_RS03430	EXC50_RS02355
OG0000456	MHP_RS03315	EXC50_RS02235
OG0000457	MHP_RS03290	EXC50_RS02210
OG0000458	MHP_RS02375	EXC50_RS01360
OG0000459	MHP_RS02400	EXC50_RS01385
OG0000460	MHP_RS02410	EXC50_RS01395
OG0000461	MHP_RS02455	EXC50_RS01440
OG0000462	MHP_RS02450	EXC50_RS01435
OG0000463	MHP_RS02445	EXC50_RS01430
OG0000464	MHP_RS02440	EXC50_RS01425
OG0000465	MHP_RS02435	EXC50_RS01420
OG0000466	MHP_RS00410	EXC50_RS00415
OG0000467	MHP_RS02540	EXC50_RS01520
OG0000468	MHP_RS01930	EXC50_RS00910
OG0000469	MHP_RS01990	EXC50_RS00970
OG0000470	MHP_RS03750	EXC50_RS03950
OG0000471	MHP_RS01080	EXC50_RS03165
OG0000472	MHP_RS03250	EXC50_RS02165
OG0000473	MHP_RS03415	EXC50_RS02340
OG0000474	MHP_RS03420	EXC50_RS02345
OG0000475	MHP_RS03425	EXC50_RS02350
OG0000476	MHP_RS00450	EXC50_RS02535
OG0000477	MHP_RS02485	EXC50_RS01465
OG0000478	MHP_RS03360	EXC50_RS02285
OG0000479	MHP_RS00675	EXC50_RS02760
OG0000480	MHP_RS03795	EXC50_RS03895
OG0000481	MHP_RS01185	EXC50_RS03270
OG0000482	MHP_RS00795	EXC50_RS02875
OG0000483	MHP_RS02035	EXC50_RS01015
OG0000484	MHP_RS00205	EXC50_RS00205
OG0000485	MHP_RS00840	EXC50_RS02920
OG0000486	MHP_RS02180	EXC50_RS01155
OG0000487	MHP_RS01970	EXC50_RS00950
OG0000488	MHP_RS02005	EXC50_RS00985
OG0000489	MHP_RS00050	EXC50_RS00050
OG0000490	MHP_RS03530	EXC50_RS02450
OG0000491	MHP_RS00655	EXC50_RS02740
OG0000492	MHP_RS00580	EXC50_RS02665
OG0000493	MHP_RS01405	EXC50_RS03505
OG0000494	MHP_RS01350	EXC50_RS03445
OG0000495	MHP_RS02780	EXC50_RS01675
OG0000496	MHP_RS02770	EXC50_RS01665
OG0000497	MHP_RS02765	EXC50_RS01660
OG0000498	MHP_RS02600	EXC50_RS01580
