#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_WTQC01000003.1:78966-79757|+ -            264 1679at2085           -            265   6.1e-79  260.4  12.3   1   1   7.6e-81   6.6e-79  260.2  12.3    12   256     1   255     1   263 0.90 NZ_WTQC01000003.1_66 # 78966 # 79757 # 1 # ID=13_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
NZ_WTQC01000018.1:2141-3244|-   -            368 1679at2085           -            265   1.3e-05   20.0   0.1   1   1   3.4e-07     3e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_WTQC01000018.1_3 # 2141 # 3244 # -1 # ID=10_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.301
NZ_WTQC01000003.1:21670-22929|+ -            420 1679at2085           -            265   2.2e-05   19.2  10.6   1   2     5e-07   4.3e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_WTQC01000003.1_18 # 21670 # 22929 # 1 # ID=13_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
NZ_WTQC01000003.1:21670-22929|+ -            420 1679at2085           -            265   2.2e-05   19.2  10.6   2   2     0.042       3.6    2.1   7.2    39   121   257   343   253   346 0.84 NZ_WTQC01000003.1_18 # 21670 # 22929 # 1 # ID=13_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
NZ_WTQC01000001.1:52764-53621|- -            286 1679at2085           -            265   2.7e-05   18.9   7.9   1   1   5.7e-05     0.005   11.5   7.9    19   173    65   212    57   231 0.60 NZ_WTQC01000001.1_53 # 52764 # 53621 # -1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/98/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/98/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/98/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/98/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/98/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/98/Use
# Date:            Thu Nov 28 19:31:59 2024
# [ok]
