Orthogroup	MHP_98_protein	MHP_MHP650_protein
OG0000049	WP_179695928.1, WP_179696086.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_135619210.1
OG0000052	WP_094521716.1	WP_160600721.1
OG0000053	WP_179221201.1	WP_002557698.1
OG0000054	WP_014579964.1	WP_011206420.1
OG0000055	WP_160585645.1	WP_160588054.1
OG0000056	WP_179695896.1	WP_160601125.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_135618593.1	WP_135618593.1
OG0000059	WP_044284596.1	WP_011206057.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_179696065.1	WP_160600998.1
OG0000063	WP_052259122.1	WP_160600703.1
OG0000064	WP_179695933.1	WP_160600651.1
OG0000065	WP_179695946.1	WP_014579568.1
OG0000066	WP_179695954.1	WP_160601219.1
OG0000067	WP_011206493.1	WP_160600739.1
OG0000068	WP_179695884.1	WP_160601213.1
OG0000069	WP_179695977.1	WP_160600955.1
OG0000070	WP_179695982.1	WP_160600966.1
OG0000071	WP_179696084.1	WP_160600769.1
OG0000072	WP_179695890.1	WP_160601175.1
OG0000073	WP_179695988.1	WP_011206314.1
OG0000074	WP_020835847.1	WP_258556625.1
OG0000075	WP_011205981.1	WP_160600862.1
OG0000076	WP_179695843.1	WP_160600876.1
OG0000077	WP_179695945.1	WP_160600689.1
OG0000078	WP_258556526.1	WP_308704765.1
OG0000079	WP_220200502.1	WP_220200855.1
OG0000080	WP_179696009.1	WP_160600916.1
OG0000081	WP_094521681.1	WP_014579823.1
OG0000082	WP_179696010.1	WP_160600917.1
OG0000083	WP_179696012.1	WP_160601154.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206224.1	WP_160601150.1
OG0000086	WP_179696014.1	WP_160601147.1
OG0000087	WP_179696015.1	WP_220200893.1
OG0000088	WP_020835732.1	WP_160601142.1
OG0000089	WP_020835733.1	WP_020835733.1
OG0000090	WP_011290212.1	WP_011206231.1
OG0000091	WP_011289937.1	WP_011283836.1
OG0000092	WP_094521535.1	WP_011283835.1
OG0000093	WP_179695877.1	WP_160600824.1
OG0000094	WP_179695876.1	WP_160600822.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_179695875.1	WP_160600820.1
OG0000097	WP_179695874.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_020835484.1
OG0000099	WP_179695873.1	WP_014579519.1
OG0000100	WP_179695872.1	WP_160600818.1
OG0000101	WP_179695871.1	WP_160584860.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_179695869.1	WP_160585758.1
OG0000105	WP_258556515.1	WP_146379771.1
OG0000106	WP_179695868.1	WP_160590174.1
OG0000107	WP_135619170.1	WP_160600816.1
OG0000108	WP_011206522.1	WP_160588098.1
OG0000109	WP_179695867.1	WP_041361715.1
OG0000110	WP_160588095.1	WP_011290440.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_179696071.1	WP_135619192.1
OG0000113	WP_179696070.1	WP_160601016.1
OG0000114	WP_011290156.1	WP_160601018.1
OG0000115	WP_179696017.1	WP_160601114.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_135618878.1	WP_011284163.1
OG0000118	WP_179696018.1	WP_160588282.1
OG0000119	WP_179696019.1	WP_011206243.1
OG0000120	WP_146379631.1	WP_011284167.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_179696020.1	WP_011206247.1
OG0000123	WP_179696032.1	WP_160601201.1
OG0000124	WP_258556555.1	WP_258556696.1
OG0000125	WP_179696030.1	WP_160601197.1
OG0000126	WP_258556554.1	WP_258556695.1
OG0000127	WP_011206271.1	WP_011206271.1
OG0000128	WP_020835765.1	WP_160601227.1
OG0000129	WP_258556553.1	WP_258555507.1
OG0000130	WP_011284183.1	WP_011290245.1
OG0000131	WP_011205977.1	WP_011205977.1
OG0000132	WP_094521621.1	WP_160600860.1
OG0000133	WP_179696060.1	WP_160600858.1
OG0000134	WP_179696059.1	WP_258556636.1
OG0000135	WP_179696058.1	WP_135618680.1
OG0000136	WP_179696056.1	WP_011284023.1
OG0000137	WP_179696055.1	WP_160600850.1
OG0000138	WP_179696054.1	WP_160600848.1
OG0000139	WP_179696053.1	WP_160600846.1
OG0000140	WP_011284027.1	WP_160600844.1
OG0000141	WP_179696052.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_011205958.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011205953.1	WP_160600842.1
OG0000147	WP_179696050.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_146379560.1
OG0000149	WP_179696049.1	WP_160600838.1
OG0000150	WP_011284040.1	WP_011290122.1
OG0000151	WP_020835649.1	WP_160600836.1
OG0000152	WP_160585095.1	WP_160600834.1
OG0000153	WP_179696048.1	WP_160600832.1
OG0000154	WP_179696047.1	WP_160600830.1
OG0000155	WP_011284046.1	WP_160600828.1
OG0000156	WP_179696046.1	WP_146379566.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_179696044.1	WP_094521636.1
OG0000159	WP_179695956.1	WP_160601065.1
OG0000160	WP_179695958.1	WP_160601069.1
OG0000161	WP_179695959.1	WP_011206123.1
OG0000162	WP_308705284.1	WP_308704761.1
OG0000163	WP_011206121.1	WP_160601071.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_179695961.1	WP_135618546.1
OG0000166	WP_179695962.1	WP_160601073.1
OG0000167	WP_179695963.1	WP_160601075.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_146379493.1	WP_160601207.1
OG0000170	WP_160584793.1	WP_160584793.1
OG0000171	WP_179221023.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_146379698.1	WP_160600792.1
OG0000174	WP_011284289.1	WP_160600791.1
OG0000175	WP_179695918.1	WP_160600789.1
OG0000176	WP_179695919.1	WP_011206391.1
OG0000177	WP_011284284.1	WP_011206390.1
OG0000178	WP_179695920.1	WP_160600787.1
OG0000179	WP_020835843.1	WP_044284693.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_160600783.1
OG0000182	WP_160584971.1	WP_011284277.1
OG0000183	WP_179695923.1	WP_160600779.1
OG0000184	WP_179695924.1	WP_011290331.1
OG0000185	WP_179695925.1	WP_160600777.1
OG0000186	WP_179695926.1	WP_011284272.1
OG0000187	WP_011206376.1	WP_160600775.1
OG0000188	WP_179696085.1	WP_160600771.1
OG0000189	WP_179696082.1	WP_160600765.1
OG0000190	WP_179696081.1	WP_160600763.1
OG0000191	WP_179696080.1	WP_160600761.1
OG0000192	WP_011206345.1	WP_011206345.1
OG0000193	WP_179696000.1	WP_160601235.1
OG0000194	WP_179695999.1	WP_011206337.1
OG0000195	WP_179695998.1	WP_160601026.1
OG0000196	WP_011206335.1	WP_160601028.1
OG0000197	WP_179695997.1	WP_160601030.1
OG0000198	WP_179695995.1	WP_160601032.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_011284209.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_135618730.1	WP_020835662.1
OG0000203	WP_011206142.1	WP_011290137.1
OG0000204	WP_179696123.1	WP_160601269.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_044284644.1
OG0000207	WP_011290187.1	WP_011206197.1
OG0000208	WP_179696101.1	WP_160600898.1
OG0000209	WP_011206200.1	WP_160600902.1
OG0000210	WP_179696004.1	WP_160600910.1
OG0000211	WP_179696005.1	WP_160600914.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_135618848.1	WP_160587908.1
OG0000214	WP_179695913.1	WP_135619057.1
OG0000215	WP_050195447.1	WP_050195447.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_011206425.1	WP_160600927.1
OG0000218	WP_179695911.1	WP_160600929.1
OG0000219	WP_179695909.1	WP_160600931.1
OG0000220	WP_135619070.1	WP_160600933.1
OG0000221	WP_020835872.1	WP_160600935.1
OG0000222	WP_160585271.1	WP_160600939.1
OG0000223	WP_160585273.1	WP_014579977.1
OG0000224	WP_020835878.1	WP_020835878.1
OG0000225	WP_179695906.1	WP_160600941.1
OG0000226	WP_014579979.1	WP_160600943.1
OG0000227	WP_011206445.1	WP_160600945.1
OG0000228	WP_179695905.1	WP_160600947.1
OG0000229	WP_020835888.1	WP_160601136.1
OG0000230	WP_011284337.1	WP_011206453.1
OG0000231	WP_014579989.1	WP_160601138.1
OG0000232	WP_179695898.1	WP_160601130.1
OG0000233	WP_011206457.1	WP_160601129.1
OG0000234	WP_179695897.1	WP_160601127.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_308705279.1	WP_160601123.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_135619119.1	WP_135619119.1
OG0000239	WP_179695892.1	WP_011206467.1
OG0000240	WP_179695893.1	WP_011290399.1
OG0000241	WP_020835897.1	WP_020835897.1
OG0000242	WP_179695891.1	WP_160601173.1
OG0000243	WP_011290129.1	WP_146379568.1
OG0000244	WP_179696043.1	WP_160601247.1
OG0000245	WP_011205936.1	WP_011284053.1
OG0000246	WP_020835657.1	WP_160601245.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_160601243.1
OG0000249	WP_011205932.1	WP_160601241.1
OG0000250	WP_179696024.1	WP_160601185.1
OG0000251	WP_179696023.1	WP_011206256.1
OG0000252	WP_179696021.1	WP_258556689.1
OG0000253	WP_020835755.1	WP_135619204.1
OG0000254	WP_179696089.1	WP_011284001.1
OG0000255	WP_094521610.1	WP_011283999.1
OG0000256	WP_179696088.1	WP_160590375.1
OG0000257	WP_011283923.1	WP_094521582.1
OG0000258	WP_011283924.1	WP_094521583.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_020835572.1
OG0000261	WP_179695841.1	WP_228729168.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_160600868.1
OG0000266	WP_179695842.1	WP_160600870.1
OG0000267	WP_020835576.1	WP_160600872.1
OG0000268	WP_011283934.1	WP_160600874.1
OG0000269	WP_179695844.1	WP_011283936.1
OG0000270	WP_160584803.1	WP_020835579.1
OG0000271	WP_179695845.1	WP_160600878.1
OG0000272	WP_011283943.1	WP_308704756.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_014579633.1
OG0000275	WP_179695848.1	WP_014579632.1
OG0000276	WP_011206068.1	WP_011206068.1
OG0000277	WP_179695849.1	WP_011206067.1
OG0000278	WP_011206066.1	WP_160600886.1
OG0000279	WP_011283949.1	WP_160600888.1
OG0000280	WP_011283950.1	WP_160600890.1
OG0000281	WP_179695850.1	WP_011283951.1
OG0000282	WP_179695851.1	WP_011290046.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_179695853.1	WP_011283958.1
OG0000285	WP_011206052.1	WP_044284597.1
OG0000286	WP_011290054.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_160601104.1
OG0000291	WP_014579616.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_179695969.1	WP_011206042.1
OG0000294	WP_020835591.1	WP_220200886.1
OG0000295	WP_160606682.1	WP_011206040.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_179695968.1	WP_160601098.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011206031.1
OG0000302	WP_041361593.1	WP_094521599.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_160585185.1	WP_014579605.1
OG0000305	WP_050195474.1	WP_014579604.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_179696062.1	WP_011290071.1
OG0000310	WP_179696063.1	WP_160601002.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160584674.1	WP_160601000.1
OG0000313	WP_146379533.1	WP_044284822.1
OG0000314	WP_011290077.1	WP_011283987.1
OG0000315	WP_011290078.1	WP_020835611.1
OG0000316	WP_011283989.1	WP_160600997.1
OG0000317	WP_179221055.1	WP_160600995.1
OG0000318	WP_011206006.1	WP_160600993.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_179696067.1	WP_011206003.1
OG0000321	WP_179696068.1	WP_160600989.1
OG0000322	WP_020835619.1	WP_160600987.1
OG0000323	WP_011290347.1	WP_160600796.1
OG0000324	WP_020835851.1	WP_011206400.1
OG0000325	WP_160588325.1	WP_014579953.1
OG0000326	WP_044272588.1	WP_011206402.1
OG0000327	WP_146379702.1	WP_160600798.1
OG0000328	WP_146379703.1	WP_011206404.1
OG0000329	WP_160615603.1	WP_160600800.1
OG0000330	WP_179695916.1	WP_011206408.1
OG0000331	WP_011284299.1	WP_011284299.1
OG0000332	WP_050195463.1	WP_050195463.1
OG0000333	WP_179695931.1	WP_160600647.1
OG0000334	WP_179695932.1	WP_160600649.1
OG0000335	WP_020835500.1	WP_228365403.1
OG0000336	WP_179695934.1	WP_160600653.1
OG0000337	WP_011289957.1	WP_011205875.1
OG0000338	WP_179695936.1	WP_160600657.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_014579544.1
OG0000341	WP_179695937.1	WP_160600661.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_179695938.1	WP_011289964.1
OG0000344	WP_044284571.1	WP_160600663.1
OG0000345	WP_020835510.1	WP_160600665.1
OG0000346	WP_044284572.1	WP_160600667.1
OG0000347	WP_011283865.1	WP_011205889.1
OG0000348	WP_179695939.1	WP_160600669.1
OG0000349	WP_011205891.1	WP_011205891.1
OG0000350	WP_179695940.1	WP_160600671.1
OG0000351	WP_179695941.1	WP_160600673.1
OG0000352	WP_011289973.1	WP_011289973.1
OG0000353	WP_011289974.1	WP_011283871.1
OG0000354	WP_020835518.1	WP_187286314.1
OG0000355	WP_011289976.1	WP_160600675.1
OG0000356	WP_050195448.1	WP_160600677.1
OG0000357	WP_179695942.1	WP_160600679.1
OG0000358	WP_308705283.1	WP_220200824.1
OG0000359	WP_011289981.1	WP_160600683.1
OG0000360	WP_179695943.1	WP_011283879.1
OG0000361	WP_160584761.1	WP_160600685.1
OG0000362	WP_179695944.1	WP_160600687.1
OG0000363	WP_041361531.1	WP_014579569.1
OG0000364	WP_146379475.1	WP_160600693.1
OG0000365	WP_160585532.1	WP_011283885.1
OG0000366	WP_011283887.1	WP_011205916.1
OG0000367	WP_179695949.1	WP_160600699.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_044284773.1	WP_014579577.1
OG0000371	WP_179695950.1	WP_011283894.1
OG0000372	WP_179695952.1	WP_160601215.1
OG0000373	WP_179695953.1	WP_011206134.1
OG0000374	WP_179695861.1	WP_160600804.1
OG0000375	WP_179695859.1	WP_160600753.1
OG0000376	WP_179695858.1	WP_160600751.1
OG0000377	WP_011284373.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_258556512.1	WP_220200832.1
OG0000380	WP_179695856.1	WP_160600745.1
OG0000381	WP_011290422.1	WP_308704753.1
OG0000382	WP_011290421.1	WP_160600741.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_179695854.1	WP_014580014.1
OG0000385	WP_011206490.1	WP_135619140.1
OG0000386	WP_011290416.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_179695880.1	WP_160600735.1
OG0000389	WP_179695881.1	WP_160584907.1
OG0000390	WP_011206484.1	WP_014580008.1
OG0000391	WP_179695882.1	WP_160600733.1
OG0000392	WP_179695883.1	WP_160600731.1
OG0000393	WP_044284668.1	WP_146379652.1
OG0000394	WP_011206297.1	WP_011206297.1
OG0000395	WP_160585009.1	WP_160600959.1
OG0000396	WP_179695979.1	WP_020835793.1
OG0000397	WP_179695980.1	WP_160600962.1
OG0000398	WP_014579908.1	WP_135618967.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_044272553.1	WP_011206319.1
OG0000401	WP_160590129.1	WP_094521723.1
OG0000402	WP_146379669.1	WP_160600980.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_179695986.1	WP_160600976.1
OG0000405	WP_011284228.1	WP_160600974.1
OG0000406	WP_179695983.1	WP_160585762.1
OG0000407	WP_041361673.1	WP_160600968.1
OG0000408	WP_146379664.1	WP_011284225.1
OG0000409	WP_179695935.1	WP_160600655.1
OG0000410	WP_160606529.1	WP_011205878.1
OG0000411	WP_041361533.1	WP_014579572.1
OG0000412	WP_011283891.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_146379484.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_179695921.1	WP_160600785.1
OG0000417	WP_179696079.1	WP_160600759.1
OG0000418	WP_179695993.1	WP_160601040.1
OG0000419	WP_020835811.1	WP_160601043.1
OG0000420	WP_179695987.1	WP_160600978.1
OG0000421	WP_179695978.1	WP_160600957.1
OG0000422	WP_011206293.1	WP_160600729.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_179696097.1	WP_160600908.1
OG0000425	WP_011290197.1	WP_011290197.1
OG0000426	WP_179696008.1	WP_160587912.1
OG0000427	WP_146379589.1	WP_160601140.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220200501.1	WP_220200854.1
OG0000430	WP_135618880.1	WP_146379629.1
OG0000431	WP_179696028.1	WP_160601193.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_179696045.1	WP_135618712.1
OG0000435	WP_094521693.1	WP_011284172.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_179695846.1	WP_160600880.1
OG0000438	WP_011206076.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_220200845.1
OG0000441	WP_011206056.1	WP_044284742.1
OG0000442	WP_044272348.1	WP_308704757.1
OG0000443	WP_160584670.1	WP_011206016.1
OG0000444	WP_146379704.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_179695900.1	WP_160601134.1
OG0000448	WP_179695899.1	WP_160601132.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_179695855.1	WP_011206492.1
OG0000451	WP_014580023.1	WP_160600755.1
OG0000452	WP_179696042.1	WP_011205931.1
OG0000453	WP_011284387.1	WP_011290441.1
OG0000454	WP_014580051.1	WP_011284394.1
OG0000455	WP_179695989.1	WP_160600982.1
OG0000456	WP_179696016.1	WP_011284150.1
OG0000457	WP_179696038.1	WP_160601221.1
OG0000458	WP_011205973.1	WP_146379551.1
OG0000459	WP_011290226.1	WP_160601183.1
OG0000460	WP_050195494.1	WP_258556639.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_146379753.1	WP_011284367.1
OG0000463	WP_179696057.1	WP_160600852.1
OG0000464	WP_179695964.1	WP_160601077.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_179695863.1	WP_160600810.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_179695847.1	WP_160600882.1
OG0000470	WP_011206380.1	WP_020835837.1
OG0000471	WP_179695857.1	WP_160600749.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_044272343.1	WP_160600884.1
OG0000474	WP_258556579.1	WP_160600757.1
OG0000475	WP_160584739.1	WP_240536362.1
OG0000476	WP_179696100.1	WP_160600900.1
OG0000477	WP_160587946.1	WP_160601144.1
OG0000478	WP_044284615.1	WP_160584724.1
OG0000479	WP_258556592.1	WP_258556697.1
OG0000480	WP_220200538.1	WP_011206194.1
OG0000481	WP_308705286.1	WP_308507057.1
OG0000482	WP_011206427.1	WP_228366113.1
OG0000483	WP_179695910.1	WP_135619062.1
OG0000484	WP_225973007.1	WP_308704752.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_160600681.1
OG0000487	WP_011290282.1	WP_160600961.1
OG0000488	WP_179695914.1	WP_160600923.1
OG0000489	WP_308705292.1	WP_308704679.1
OG0000490	WP_258556516.1	WP_220200887.1
OG0000491	WP_011283834.1	WP_160585773.1
OG0000492	WP_160588112.1	WP_160588112.1
OG0000493	WP_011205843.1	WP_160588110.1
OG0000494	WP_179695870.1	WP_146379773.1
OG0000496	WP_179696026.1	WP_160601225.1
OG0000498	WP_179696051.1	WP_160588252.1
OG0000499	WP_020835646.1	WP_160600840.1
OG0000500	WP_179695957.1	WP_160601067.1
OG0000501	WP_179695965.1	WP_011206114.1
OG0000502	WP_052259108.1	WP_052259108.1
OG0000503	WP_228366107.1	WP_011206393.1
OG0000504	WP_011206375.1	WP_160600773.1
OG0000505	WP_011290314.1	WP_011206340.1
OG0000507	WP_179695996.1	WP_011206333.1
OG0000508	WP_160606819.1	WP_020835781.1
OG0000509	WP_179695912.1	WP_220200859.1
OG0000510	WP_179695908.1	WP_220200860.1
OG0000511	WP_258556508.1	WP_160601161.1
OG0000512	WP_179696022.1	WP_160601181.1
OG0000514	WP_146379519.1	WP_160601106.1
OG0000515	WP_020835590.1	WP_160601102.1
OG0000516	WP_011206036.1	WP_160601100.1
OG0000517	WP_011289986.1	WP_160600691.1
OG0000518	WP_179695947.1	WP_160600695.1
OG0000519	WP_179695948.1	WP_160600697.1
OG0000520	WP_179695951.1	WP_160600701.1
OG0000521	WP_179696115.1	WP_160601169.1
OG0000522	WP_179695885.1	WP_160601209.1
OG0000523	WP_308705275.1	WP_160590224.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_179695981.1	WP_160600964.1
OG0000526	WP_179695985.1	WP_160600972.1
OG0000527	WP_179695984.1	WP_160600970.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_179695992.1	WP_160601041.1
OG0000530	WP_160585598.1	WP_160600912.1
OG0000531	WP_011284377.1	WP_011284377.1
OG0000533	WP_220200531.1	WP_094521611.1
OG0000534	WP_179696066.1	WP_160600991.1
OG0000535	WP_179695922.1	WP_160600781.1
OG0000536	WP_160585249.1	WP_160601187.1
OG0000537	WP_179696117.1	WP_160601231.1
OG0000538	WP_160585767.1	WP_160601116.1
OG0000539	WP_179695852.1	WP_160600892.1
OG0000540	WP_179695889.1	WP_160601177.1
OG0000541	WP_179695838.1	WP_160601093.1
OG0000542	WP_179695865.1	WP_160600814.1
OG0000545	WP_011284067.1	WP_258556706.1
OG0000547	WP_160585706.1	WP_160585706.1
OG0000548	WP_179695990.1	WP_160600983.1
OG0000549	WP_308705288.1	WP_160601117.1
OG0000550	WP_179696011.1	WP_160600919.1
OG0000551	WP_240536641.1	WP_258556703.1
OG0000552	WP_160606457.1	WP_258556669.1, WP_258556667.1
OG0000554	WP_258555394.1	WP_258556670.1
OG0000557	WP_179696118.1	WP_014579530.1
OG0000558	WP_179696033.1	WP_160601203.1
OG0000559	WP_020835815.1	WP_160601038.1
OG0000560	WP_179696083.1	WP_258556622.1
OG0000561	WP_179695907.1	WP_160600937.1
OG0000562	WP_258556565.1	WP_258556704.1
OG0000564	WP_258556509.1	WP_160601159.1
OG0000565	WP_179695878.1	WP_160601191.1
OG0000566	WP_179696120.1	WP_160590473.1
OG0000567	WP_179696093.1	WP_160601081.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_233688696.1	WP_308704762.1
OG0000570	WP_179696092.1	WP_044284610.1
OG0000571	WP_179696091.1	WP_160601083.1
OG0000572	WP_094521615.1	WP_160601085.1
OG0000573	WP_094521614.1	WP_160601087.1
OG0000574	WP_179696090.1	WP_011284002.1
OG0000575	WP_179696064.1	WP_011206015.1
OG0000576	WP_179695840.1	WP_011206097.1
OG0000577	WP_011290145.1	WP_011290145.1
OG0000578	WP_179696075.1	WP_160601006.1
OG0000579	WP_179696074.1	WP_160601008.1
OG0000580	WP_179696072.1	WP_160601012.1
OG0000581	WP_020835676.1	WP_160601014.1
OG0000582	WP_011290153.1	WP_014579758.1
OG0000583	WP_011290172.1	WP_014579786.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_146379618.1	WP_160601053.1
OG0000586	WP_258556589.1	WP_308704760.1
OG0000587	WP_179696106.1	WP_160601055.1
OG0000588	WP_179696104.1	WP_160587888.1
OG0000589	WP_011290181.1	WP_160601059.1
OG0000590	WP_237697200.1	WP_258556677.1
OG0000591	WP_179695994.1	WP_044284684.1
