Orthogroup	MHP_116_genes	MHP_ES2L_genes
OG0000030	ABJ972_RS03245	HZK19_RS03380
OG0000032	ABJ972_RS01555	HZK19_RS01545
OG0000035	ABJ972_RS03115	HZK19_RS03235
OG0000036	ABJ972_RS00115	HZK19_RS03705, HZK19_RS03710
OG0000037	ABJ972_RS01560	HZK19_RS01555
OG0000039	ABJ972_RS01595	HZK19_RS01580
OG0000040	ABJ972_RS03190	HZK19_RS03325
OG0000042	ABJ972_RS02860	HZK19_RS02900
OG0000043	ABJ972_RS01880	HZK19_RS01875
OG0000044	ABJ972_RS01650	HZK19_RS03955
OG0000045	ABJ972_RS01600	HZK19_RS01585
OG0000046	ABJ972_RS03200	HZK19_RS03335
OG0000048	ABJ972_RS02065	HZK19_RS02065
OG0000049	ABJ972_RS02960	HZK19_RS02995
OG0000050	ABJ972_RS02390	HZK19_RS02415
OG0000051	ABJ972_RS02590	HZK19_RS02620
OG0000052	ABJ972_RS00075	HZK19_RS00075
OG0000053	ABJ972_RS01435	HZK19_RS01415
OG0000054	ABJ972_RS02415	HZK19_RS02440
OG0000055	ABJ972_RS00120	HZK19_RS00120
OG0000056	ABJ972_RS03435	HZK19_RS03580
OG0000057	ABJ972_RS02845	HZK19_RS02885
OG0000060	ABJ972_RS00080, ABJ972_RS01185	HZK19_RS00080
OG0000061	ABJ972_RS01835	HZK19_RS01820
OG0000062	ABJ972_RS03485, ABJ972_RS03515	HZK19_RS03630
OG0000063	ABJ972_RS03510, ABJ972_RS03480	HZK19_RS03625
OG0000064	ABJ972_RS03470	HZK19_RS03615
OG0000065	ABJ972_RS02200	HZK19_RS02220
OG0000066	ABJ972_RS01340	HZK19_RS01320
OG0000067	ABJ972_RS00510	HZK19_RS00515
OG0000068	ABJ972_RS01025	HZK19_RS00635
OG0000069	ABJ972_RS02740	HZK19_RS02780
OG0000070	ABJ972_RS02420	HZK19_RS02445
OG0000071	ABJ972_RS03180	HZK19_RS03315
OG0000072	ABJ972_RS03185	HZK19_RS03320
OG0000073	ABJ972_RS00965	HZK19_RS00680
OG0000074	ABJ972_RS00765	HZK19_RS00875
OG0000075	ABJ972_RS00325	HZK19_RS00325
OG0000076	ABJ972_RS00340	HZK19_RS00340
OG0000077	ABJ972_RS00425	HZK19_RS00425
OG0000078	ABJ972_RS01655	HZK19_RS01645
OG0000079	ABJ972_RS02495	HZK19_RS02525
OG0000080	ABJ972_RS02540	HZK19_RS02570
OG0000081	ABJ972_RS00320	HZK19_RS00320
OG0000082	ABJ972_RS02345	HZK19_RS02365
OG0000083	ABJ972_RS01985	HZK19_RS01985
OG0000084	ABJ972_RS02015	HZK19_RS02015
OG0000085	ABJ972_RS02020	HZK19_RS02020
OG0000086	ABJ972_RS02030	HZK19_RS02030
OG0000087	ABJ972_RS02045	HZK19_RS02045
OG0000088	ABJ972_RS02050	HZK19_RS02050
OG0000089	ABJ972_RS02060	HZK19_RS02060
OG0000090	ABJ972_RS00070	HZK19_RS00070
OG0000091	ABJ972_RS00055	HZK19_RS00055
OG0000092	ABJ972_RS00040	HZK19_RS00040
OG0000093	ABJ972_RS00035	HZK19_RS00035
OG0000094	ABJ972_RS00030	HZK19_RS00030
OG0000095	ABJ972_RS00005	HZK19_RS00005
OG0000096	ABJ972_RS03550	HZK19_RS03665
OG0000097	ABJ972_RS03530	HZK19_RS03645
OG0000098	ABJ972_RS03520	HZK19_RS03635
OG0000099	ABJ972_RS03440	HZK19_RS03585
OG0000100	ABJ972_RS03425	HZK19_RS03570
OG0000101	ABJ972_RS03420	HZK19_RS03565
OG0000102	ABJ972_RS01680	HZK19_RS01675
OG0000103	ABJ972_RS02165	HZK19_RS02185
OG0000104	ABJ972_RS02170	HZK19_RS02190
OG0000105	ABJ972_RS02185	HZK19_RS02205
OG0000106	ABJ972_RS02195	HZK19_RS02215
OG0000107	ABJ972_RS02205	HZK19_RS02225
OG0000108	ABJ972_RS02210	HZK19_RS02230
OG0000109	ABJ972_RS02215	HZK19_RS02235
OG0000110	ABJ972_RS02335	HZK19_RS02355
OG0000111	ABJ972_RS02330	HZK19_RS02350
OG0000112	ABJ972_RS02320	HZK19_RS02340
OG0000113	ABJ972_RS02300	HZK19_RS02320
OG0000114	ABJ972_RS02290	HZK19_RS02310
OG0000115	ABJ972_RS02280	HZK19_RS02300
OG0000116	ABJ972_RS01285	HZK19_RS01265
OG0000117	ABJ972_RS01290	HZK19_RS01270
OG0000118	ABJ972_RS01325	HZK19_RS01305
OG0000119	ABJ972_RS01330	HZK19_RS01310
OG0000120	ABJ972_RS01345	HZK19_RS01325
OG0000121	ABJ972_RS01370	HZK19_RS01350
OG0000122	ABJ972_RS01375	HZK19_RS01355
OG0000123	ABJ972_RS01395	HZK19_RS01375
OG0000124	ABJ972_RS01400	HZK19_RS01380
OG0000125	ABJ972_RS01405	HZK19_RS01385
OG0000126	ABJ972_RS01415	HZK19_RS01395
OG0000127	ABJ972_RS01425	HZK19_RS01405
OG0000128	ABJ972_RS01440	HZK19_RS01420
OG0000129	ABJ972_RS01445	HZK19_RS01425
OG0000130	ABJ972_RS01455	HZK19_RS01435
OG0000131	ABJ972_RS01485	HZK19_RS01465
OG0000132	ABJ972_RS01500	HZK19_RS01480
OG0000133	ABJ972_RS00515	HZK19_RS00520
OG0000134	ABJ972_RS00520	HZK19_RS00525
OG0000135	ABJ972_RS00535	HZK19_RS00540
OG0000136	ABJ972_RS00540	HZK19_RS00545
OG0000137	ABJ972_RS00570	HZK19_RS00575
OG0000138	ABJ972_RS01050	HZK19_RS00610
OG0000139	ABJ972_RS01020	HZK19_RS00640
OG0000140	ABJ972_RS01015	HZK19_RS00645
OG0000141	ABJ972_RS02855	HZK19_RS02895
OG0000142	ABJ972_RS02850	HZK19_RS02890
OG0000143	ABJ972_RS02830	HZK19_RS02870
OG0000144	ABJ972_RS02820	HZK19_RS02860
OG0000145	ABJ972_RS02810	HZK19_RS02850
OG0000146	ABJ972_RS02800	HZK19_RS02840
OG0000147	ABJ972_RS02795	HZK19_RS02835
OG0000148	ABJ972_RS02780	HZK19_RS02820
OG0000149	ABJ972_RS02770	HZK19_RS02810
OG0000150	ABJ972_RS02755	HZK19_RS02795
OG0000151	ABJ972_RS02705	HZK19_RS02750
OG0000152	ABJ972_RS02700	HZK19_RS02745
OG0000153	ABJ972_RS02695	HZK19_RS02740
OG0000154	ABJ972_RS02685	HZK19_RS02730
OG0000155	ABJ972_RS02650	HZK19_RS02690
OG0000156	ABJ972_RS02645	HZK19_RS02680
OG0000157	ABJ972_RS02635	HZK19_RS02675
OG0000158	ABJ972_RS02625	HZK19_RS03895
OG0000159	ABJ972_RS02405	HZK19_RS03970
OG0000160	ABJ972_RS02400	HZK19_RS02425
OG0000161	ABJ972_RS02395	HZK19_RS02420
OG0000162	ABJ972_RS02385	HZK19_RS02410
OG0000163	ABJ972_RS02380	HZK19_RS02405
OG0000164	ABJ972_RS01585	HZK19_RS01575
OG0000165	ABJ972_RS01905	HZK19_RS01905
OG0000166	ABJ972_RS01925	HZK19_RS01925
OG0000167	ABJ972_RS01940	HZK19_RS01940
OG0000168	ABJ972_RS01945	HZK19_RS01945
OG0000169	ABJ972_RS02955	HZK19_RS02990
OG0000170	ABJ972_RS02970	HZK19_RS03005
OG0000171	ABJ972_RS02980	HZK19_RS03110
OG0000172	ABJ972_RS02985	HZK19_RS03115
OG0000173	ABJ972_RS02990	HZK19_RS03120
OG0000174	ABJ972_RS02995	HZK19_RS03125
OG0000175	ABJ972_RS03010	HZK19_RS03140
OG0000176	ABJ972_RS03055	HZK19_RS03190
OG0000177	ABJ972_RS03060	HZK19_RS03195
OG0000178	ABJ972_RS03065	HZK19_RS03200
OG0000179	ABJ972_RS03075	HZK19_RS03210
OG0000180	ABJ972_RS03080	HZK19_RS03215
OG0000181	ABJ972_RS03130	HZK19_RS03265
OG0000182	ABJ972_RS03140	HZK19_RS03275
OG0000183	ABJ972_RS03175	HZK19_RS03310
OG0000184	ABJ972_RS03220	HZK19_RS03355
OG0000185	ABJ972_RS03205	HZK19_RS03340
OG0000186	ABJ972_RS01510	HZK19_RS01490
OG0000187	ABJ972_RS01525	HZK19_RS01505
OG0000188	ABJ972_RS01535	HZK19_RS01515
OG0000189	ABJ972_RS02250	HZK19_RS02270
OG0000190	ABJ972_RS02245	HZK19_RS02265
OG0000191	ABJ972_RS02225	HZK19_RS02245
OG0000192	ABJ972_RS01205	HZK19_RS01180
OG0000193	ABJ972_RS01195	HZK19_RS01175
OG0000194	ABJ972_RS00980	HZK19_RS00665
OG0000195	ABJ972_RS00975	HZK19_RS00670
OG0000196	ABJ972_RS00955	HZK19_RS00690
OG0000197	ABJ972_RS00950	HZK19_RS00695
OG0000198	ABJ972_RS00930	HZK19_RS00710
OG0000199	ABJ972_RS00925	HZK19_RS00715
OG0000200	ABJ972_RS00910	HZK19_RS00730
OG0000201	ABJ972_RS00900	HZK19_RS00740
OG0000202	ABJ972_RS00845	HZK19_RS00795
OG0000203	ABJ972_RS00840	HZK19_RS00800
OG0000204	ABJ972_RS00835	HZK19_RS00805
OG0000205	ABJ972_RS00830	HZK19_RS00810
OG0000206	ABJ972_RS00810	HZK19_RS00830
OG0000207	ABJ972_RS00795	HZK19_RS00845
OG0000208	ABJ972_RS00790	HZK19_RS00850
OG0000209	ABJ972_RS00785	HZK19_RS00855
OG0000210	ABJ972_RS00740	HZK19_RS00900
OG0000211	ABJ972_RS00730	HZK19_RS00910
OG0000212	ABJ972_RS00720	HZK19_RS00920
OG0000213	ABJ972_RS00715	HZK19_RS00925
OG0000214	ABJ972_RS00710	HZK19_RS00930
OG0000215	ABJ972_RS00705	HZK19_RS00935
OG0000216	ABJ972_RS00700	HZK19_RS00940
OG0000217	ABJ972_RS00695	HZK19_RS00945
OG0000218	ABJ972_RS00685	HZK19_RS00955
OG0000219	ABJ972_RS00680	HZK19_RS00960
OG0000220	ABJ972_RS00675	HZK19_RS00965
OG0000221	ABJ972_RS00670	HZK19_RS00970
OG0000222	ABJ972_RS00665	HZK19_RS00975
OG0000223	ABJ972_RS00660	HZK19_RS00980
OG0000224	ABJ972_RS00650	HZK19_RS00990
OG0000225	ABJ972_RS00640	HZK19_RS01000
OG0000226	ABJ972_RS00635	HZK19_RS01005
OG0000227	ABJ972_RS00630	HZK19_RS01010
OG0000228	ABJ972_RS00625	HZK19_RS03950
OG0000229	ABJ972_RS00620	HZK19_RS01020
OG0000230	ABJ972_RS00615	HZK19_RS01025
OG0000231	ABJ972_RS00605	HZK19_RS01035
OG0000232	ABJ972_RS00595	HZK19_RS01045
OG0000233	ABJ972_RS01080	HZK19_RS01070
OG0000234	ABJ972_RS01115	HZK19_RS01105
OG0000235	ABJ972_RS01125	HZK19_RS01115
OG0000236	ABJ972_RS01130	HZK19_RS01120
OG0000237	ABJ972_RS01135	HZK19_RS01125
OG0000238	ABJ972_RS01140	HZK19_RS01130
OG0000239	ABJ972_RS02865	HZK19_RS02905
OG0000240	ABJ972_RS02870	HZK19_RS02910
OG0000241	ABJ972_RS02880	HZK19_RS02920
OG0000242	ABJ972_RS02885	HZK19_RS02925
OG0000243	ABJ972_RS02890	HZK19_RS02930
OG0000244	ABJ972_RS02900	HZK19_RS02940
OG0000245	ABJ972_RS02910	HZK19_RS02950
OG0000246	ABJ972_RS00125	HZK19_RS00125
OG0000247	ABJ972_RS00135	HZK19_RS00135
OG0000248	ABJ972_RS00145	HZK19_RS00145
OG0000249	ABJ972_RS00150	HZK19_RS00150
OG0000250	ABJ972_RS00165	HZK19_RS00165
OG0000251	ABJ972_RS00195	HZK19_RS00195
OG0000252	ABJ972_RS00205	HZK19_RS00205
OG0000253	ABJ972_RS00210	HZK19_RS00210
OG0000254	ABJ972_RS00220	HZK19_RS00220
OG0000255	ABJ972_RS00225	HZK19_RS00225
OG0000256	ABJ972_RS00230	HZK19_RS00230
OG0000257	ABJ972_RS00255	HZK19_RS00255
OG0000258	ABJ972_RS00265	HZK19_RS00265
OG0000259	ABJ972_RS00295	HZK19_RS00295
OG0000260	ABJ972_RS00305	HZK19_RS00305
OG0000261	ABJ972_RS00315	HZK19_RS00315
OG0000262	ABJ972_RS00330	HZK19_RS00330
OG0000263	ABJ972_RS00345	HZK19_RS00345
OG0000264	ABJ972_RS00360	HZK19_RS00360
OG0000265	ABJ972_RS00370	HZK19_RS00370
OG0000266	ABJ972_RS00385	HZK19_RS00385
OG0000267	ABJ972_RS00400	HZK19_RS00400
OG0000268	ABJ972_RS00405	HZK19_RS00405
OG0000269	ABJ972_RS00420	HZK19_RS00420
OG0000270	ABJ972_RS03395	HZK19_RS03540
OG0000271	ABJ972_RS03390	HZK19_RS03535
OG0000272	ABJ972_RS03385	HZK19_RS03530
OG0000273	ABJ972_RS03380	HZK19_RS03525
OG0000274	ABJ972_RS03360	HZK19_RS03505
OG0000275	ABJ972_RS03355	HZK19_RS03500
OG0000276	ABJ972_RS03350	HZK19_RS03495
OG0000277	ABJ972_RS03340	HZK19_RS03485
OG0000278	ABJ972_RS03335	HZK19_RS03480
OG0000279	ABJ972_RS03325	HZK19_RS03470
OG0000280	ABJ972_RS03320	HZK19_RS03465
OG0000281	ABJ972_RS03315	HZK19_RS03460
OG0000282	ABJ972_RS03290	HZK19_RS03435
OG0000283	ABJ972_RS03285	HZK19_RS03430
OG0000284	ABJ972_RS03280	HZK19_RS03425
OG0000285	ABJ972_RS03275	HZK19_RS03420
OG0000286	ABJ972_RS02365	HZK19_RS02390
OG0000287	ABJ972_RS02455	HZK19_RS02485
OG0000288	ABJ972_RS02465	HZK19_RS02495
OG0000289	ABJ972_RS02470	HZK19_RS02500
OG0000290	ABJ972_RS02580	HZK19_RS02610
OG0000291	ABJ972_RS02570	HZK19_RS02600
OG0000292	ABJ972_RS02565	HZK19_RS02595
OG0000293	ABJ972_RS02560	HZK19_RS02590
OG0000294	ABJ972_RS02550	HZK19_RS02580
OG0000295	ABJ972_RS02545	HZK19_RS02575
OG0000296	ABJ972_RS02505	HZK19_RS02535
OG0000297	ABJ972_RS02500	HZK19_RS02530
OG0000298	ABJ972_RS00160	HZK19_RS00160
OG0000299	ABJ972_RS00180	HZK19_RS00180
OG0000300	ABJ972_RS00355	HZK19_RS00355
OG0000301	ABJ972_RS00390	HZK19_RS00390
OG0000302	ABJ972_RS00395	HZK19_RS00395
OG0000303	ABJ972_RS00545	HZK19_RS00550
OG0000304	ABJ972_RS00590	HZK19_RS01055
OG0000305	ABJ972_RS02805	HZK19_RS02845
OG0000306	ABJ972_RS02730	HZK19_RS02770
OG0000307	ABJ972_RS02690	HZK19_RS02735
OG0000308	ABJ972_RS02600	HZK19_RS02635
OG0000309	ABJ972_RS02535	HZK19_RS02565
OG0000310	ABJ972_RS02460	HZK19_RS02490
OG0000311	ABJ972_RS02425	HZK19_RS02450
OG0000312	ABJ972_RS02410	HZK19_RS02435
OG0000313	ABJ972_RS01575	HZK19_RS01565
OG0000314	ABJ972_RS01920	HZK19_RS01920
OG0000315	ABJ972_RS01950	HZK19_RS01950
OG0000316	ABJ972_RS01960	HZK19_RS01960
OG0000317	ABJ972_RS02055	HZK19_RS02055
OG0000318	ABJ972_RS01965	HZK19_RS01965
OG0000319	ABJ972_RS02180	HZK19_RS02200
OG0000320	ABJ972_RS02310	HZK19_RS02330
OG0000321	ABJ972_RS01320	HZK19_RS01300
OG0000322	ABJ972_RS01365	HZK19_RS01345
OG0000323	ABJ972_RS01495	HZK19_RS01475
OG0000324	ABJ972_RS02220	HZK19_RS02240
OG0000325	ABJ972_RS00970	HZK19_RS00675
OG0000326	ABJ972_RS00870	HZK19_RS00770
OG0000327	ABJ972_RS00865	HZK19_RS00775
OG0000328	ABJ972_RS00780	HZK19_RS00860
OG0000329	ABJ972_RS00760	HZK19_RS00880
OG0000330	ABJ972_RS01090	HZK19_RS01080
OG0000331	ABJ972_RS02895	HZK19_RS02935
OG0000332	ABJ972_RS03020	HZK19_RS03150
OG0000333	ABJ972_RS03030	HZK19_RS03160
OG0000334	ABJ972_RS03135	HZK19_RS03270
OG0000335	ABJ972_RS03145	HZK19_RS03280
OG0000336	ABJ972_RS03305	HZK19_RS03450
OG0000337	ABJ972_RS03505	HZK19_RS03620
OG0000338	ABJ972_RS03545	HZK19_RS03660
OG0000339	ABJ972_RS02285	HZK19_RS02305
OG0000340	ABJ972_RS01300	HZK19_RS01280
OG0000341	ABJ972_RS02240	HZK19_RS02260
OG0000342	ABJ972_RS00935	HZK19_RS00705
OG0000343	ABJ972_RS03040	HZK19_RS03170
OG0000344	ABJ972_RS00560	HZK19_RS00565
OG0000345	ABJ972_RS00645	HZK19_RS00995
OG0000346	ABJ972_RS03310	HZK19_RS03455
OG0000347	ABJ972_RS01390	HZK19_RS01370
OG0000348	ABJ972_RS00860	HZK19_RS00780
OG0000349	ABJ972_RS03370	HZK19_RS03515
OG0000350	ABJ972_RS02680	HZK19_RS02725
OG0000351	ABJ972_RS00480	HZK19_RS00480
OG0000352	ABJ972_RS01900	HZK19_RS01895
OG0000353	ABJ972_RS01360	HZK19_RS01340
OG0000354	ABJ972_RS01035	HZK19_RS00625
OG0000355	ABJ972_RS01875	HZK19_RS01870
OG0000356	ABJ972_RS01955	HZK19_RS01955
OG0000357	ABJ972_RS03000	HZK19_RS03130
OG0000358	ABJ972_RS03005	HZK19_RS03135
OG0000359	ABJ972_RS00890	HZK19_RS00750
OG0000360	ABJ972_RS00260	HZK19_RS00260
OG0000361	ABJ972_RS00290	HZK19_RS00290
OG0000362	ABJ972_RS02480	HZK19_RS02510
OG0000363	ABJ972_RS01430	HZK19_RS03730
OG0000364	ABJ972_RS01855	HZK19_RS03760
OG0000365	ABJ972_RS02005	HZK19_RS02000
OG0000366	ABJ972_RS02025	HZK19_RS02025
OG0000367	ABJ972_RS02035	HZK19_RS02035
OG0000368	ABJ972_RS00060	HZK19_RS00060
OG0000369	ABJ972_RS00025	HZK19_RS00025
OG0000370	ABJ972_RS00020	HZK19_RS00020
OG0000371	ABJ972_RS00015	HZK19_RS00015
OG0000372	ABJ972_RS00010	HZK19_RS00010
OG0000373	ABJ972_RS03535	HZK19_RS03650
OG0000374	ABJ972_RS03525	HZK19_RS03640
OG0000375	ABJ972_RS02175	HZK19_RS02195
OG0000376	ABJ972_RS02325	HZK19_RS02345
OG0000377	ABJ972_RS02315	HZK19_RS02335
OG0000378	ABJ972_RS01280	HZK19_RS01260
OG0000379	ABJ972_RS01355	HZK19_RS01335
OG0000380	ABJ972_RS01380	HZK19_RS01360
OG0000381	ABJ972_RS01420	HZK19_RS01400
OG0000382	ABJ972_RS01450	HZK19_RS01430
OG0000383	ABJ972_RS01490	HZK19_RS01470
OG0000384	ABJ972_RS00500	HZK19_RS00505
OG0000385	ABJ972_RS00505	HZK19_RS00510
OG0000386	ABJ972_RS00525	HZK19_RS00530
OG0000387	ABJ972_RS00550	HZK19_RS00555
OG0000388	ABJ972_RS00555	HZK19_RS00560
OG0000389	ABJ972_RS01055	HZK19_RS00605
OG0000390	ABJ972_RS02825	HZK19_RS02865
OG0000391	ABJ972_RS02815	HZK19_RS02855
OG0000392	ABJ972_RS02790	HZK19_RS02830
OG0000393	ABJ972_RS02735	HZK19_RS02775
OG0000394	ABJ972_RS02660	HZK19_RS02700
OG0000395	ABJ972_RS02655	HZK19_RS02695
OG0000396	ABJ972_RS02370	HZK19_RS02395
OG0000397	ABJ972_RS01885	HZK19_RS01880
OG0000398	ABJ972_RS01890	HZK19_RS01885
OG0000399	ABJ972_RS01935	HZK19_RS01935
OG0000400	ABJ972_RS02965	HZK19_RS03000
OG0000401	ABJ972_RS03025	HZK19_RS03155
OG0000402	ABJ972_RS03035	HZK19_RS03165
OG0000403	ABJ972_RS03045	HZK19_RS03175
OG0000404	ABJ972_RS03070	HZK19_RS03205
OG0000405	ABJ972_RS03090	HZK19_RS03220
OG0000406	ABJ972_RS03150	HZK19_RS03285
OG0000407	ABJ972_RS03155	HZK19_RS03290
OG0000408	ABJ972_RS03160	HZK19_RS03295
OG0000409	ABJ972_RS03165	HZK19_RS03300
OG0000410	ABJ972_RS03225	HZK19_RS03360
OG0000411	ABJ972_RS03215	HZK19_RS03350
OG0000412	ABJ972_RS03210	HZK19_RS03345
OG0000413	ABJ972_RS01505	HZK19_RS01485
OG0000414	ABJ972_RS01515	HZK19_RS01495
OG0000415	ABJ972_RS01520	HZK19_RS01500
OG0000416	ABJ972_RS01530	HZK19_RS01510
OG0000417	ABJ972_RS02235	HZK19_RS02255
OG0000418	ABJ972_RS02230	HZK19_RS02250
OG0000419	ABJ972_RS00960	HZK19_RS00685
OG0000420	ABJ972_RS00920	HZK19_RS00720
OG0000421	ABJ972_RS00885	HZK19_RS00755
OG0000422	ABJ972_RS00875	HZK19_RS00765
OG0000423	ABJ972_RS00820	HZK19_RS00820
OG0000424	ABJ972_RS00815	HZK19_RS00825
OG0000425	ABJ972_RS00805	HZK19_RS00835
OG0000426	ABJ972_RS00800	HZK19_RS00840
OG0000427	ABJ972_RS00775	HZK19_RS00865
OG0000428	ABJ972_RS00750	HZK19_RS00890
OG0000429	ABJ972_RS00655	HZK19_RS00985
OG0000430	ABJ972_RS00610	HZK19_RS01030
OG0000431	ABJ972_RS00600	HZK19_RS01040
OG0000432	ABJ972_RS01085	HZK19_RS01075
OG0000433	ABJ972_RS01100	HZK19_RS01090
OG0000434	ABJ972_RS01105	HZK19_RS01095
OG0000435	ABJ972_RS01120	HZK19_RS01110
OG0000436	ABJ972_RS01145	HZK19_RS01135
OG0000437	ABJ972_RS01155	HZK19_RS01145
OG0000438	ABJ972_RS01160	HZK19_RS01150
OG0000439	ABJ972_RS01165	HZK19_RS01155
OG0000440	ABJ972_RS02875	HZK19_RS02915
OG0000441	ABJ972_RS02915	HZK19_RS02955
OG0000442	ABJ972_RS00130	HZK19_RS00130
OG0000443	ABJ972_RS00175	HZK19_RS00175
OG0000444	ABJ972_RS00190	HZK19_RS00190
OG0000445	ABJ972_RS00215	HZK19_RS00215
OG0000446	ABJ972_RS00240	HZK19_RS00240
OG0000447	ABJ972_RS00245	HZK19_RS00245
OG0000448	ABJ972_RS00275	HZK19_RS00275
OG0000449	ABJ972_RS00300	HZK19_RS00300
OG0000450	ABJ972_RS00310	HZK19_RS00310
OG0000451	ABJ972_RS00350	HZK19_RS00350
OG0000452	ABJ972_RS00375	HZK19_RS00375
OG0000453	ABJ972_RS00410	HZK19_RS00410
OG0000454	ABJ972_RS01550	HZK19_RS03100
OG0000455	ABJ972_RS03415	HZK19_RS03560
OG0000456	ABJ972_RS03295	HZK19_RS03440
OG0000457	ABJ972_RS03270	HZK19_RS03415
OG0000458	ABJ972_RS02450	HZK19_RS02480
OG0000459	ABJ972_RS02475	HZK19_RS02505
OG0000460	ABJ972_RS02485	HZK19_RS02520
OG0000461	ABJ972_RS02530	HZK19_RS02560
OG0000462	ABJ972_RS02525	HZK19_RS02555
OG0000463	ABJ972_RS02520	HZK19_RS02550
OG0000465	ABJ972_RS02510	HZK19_RS02545
OG0000466	ABJ972_RS00380	HZK19_RS00380
OG0000467	ABJ972_RS02610	HZK19_RS02645
OG0000468	ABJ972_RS01930	HZK19_RS01930
OG0000469	ABJ972_RS01990	HZK19_RS01990
OG0000470	ABJ972_RS00825	HZK19_RS00815
OG0000471	ABJ972_RS00745	HZK19_RS00895
OG0000472	ABJ972_RS03235	HZK19_RS03370
OG0000473	ABJ972_RS03400	HZK19_RS03545
OG0000474	ABJ972_RS03405	HZK19_RS03550
OG0000475	ABJ972_RS03410	HZK19_RS03555
OG0000476	ABJ972_RS01540	HZK19_RS01520
OG0000477	ABJ972_RS02555	HZK19_RS02585
OG0000478	ABJ972_RS03345	HZK19_RS03490
OG0000479	ABJ972_RS01315	HZK19_RS01295
OG0000480	ABJ972_RS01995	HZK19_RS01995
OG0000481	ABJ972_RS00850	HZK19_RS00790
OG0000483	ABJ972_RS02040	HZK19_RS02040
OG0000484	ABJ972_RS00185	HZK19_RS00185
OG0000485	ABJ972_RS01150	HZK19_RS01140
OG0000486	ABJ972_RS02255	HZK19_RS02275
OG0000487	ABJ972_RS01970	HZK19_RS01970
OG0000488	ABJ972_RS02010	HZK19_RS02010
OG0000489	ABJ972_RS00050	HZK19_RS00050
OG0000490	ABJ972_RS03540	HZK19_RS03655
OG0000491	ABJ972_RS01335	HZK19_RS01315
OG0000492	ABJ972_RS01410	HZK19_RS01390
OG0000493	ABJ972_RS00565	HZK19_RS00570
OG0000494	ABJ972_RS01030	HZK19_RS00630
