	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
MHP_MHP682_genes	15.0	5.0	8.0	6.0	8.0	8.0	6.0	11.0	7.0	5.0	5.0	3.0	1.0	7.0	7.0	5.0	6.0	6.0	7.0	4.0	1.0	6.0	5.0	7.0	7.0	9.0	7.0	6.0	8.0	4.0	5.0	4.0	6.0	0.0	3.0	4.0	1.0	4.0	1.0	12.0	6.0	7.0	9.0	4.0
MHP_MHP691_genes	11.0	4.0	7.0	6.0	8.0	7.0	5.0	8.0	7.0	8.0	4.0	5.0	3.0	7.0	5.0	7.0	6.0	5.0	4.0	5.0	4.0	6.0	6.0	4.0	5.0	11.0	5.0	3.0	8.0	5.0	2.0	5.0	2.0	5.0	0.0	5.0	3.0	5.0	3.0	13.0	5.0	6.0	7.0	7.0
MHP_MHP694_genes	10.0	5.0	7.0	6.0	8.0	8.0	7.0	8.0	6.0	5.0	4.0	4.0	4.0	8.0	10.0	6.0	7.0	6.0	7.0	4.0	4.0	3.0	2.0	3.0	2.0	8.0	5.0	2.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	0.0	2.0	4.0	2.0	6.0	6.0	6.0	9.0	5.0
MHP_MHP696_genes	12.0	5.0	9.0	6.0	12.0	7.0	7.0	8.0	10.0	9.0	8.0	10.0	4.0	16.0	14.0	10.0	10.0	13.0	12.0	10.0	2.0	9.0	6.0	9.0	8.0	11.0	5.0	9.0	9.0	7.0	9.0	5.0	9.0	10.0	9.0	9.0	0.0	9.0	0.0	13.0	16.0	9.0	11.0	6.0
MHP_MHP699_genes	11.0	5.0	9.0	6.0	8.0	7.0	5.0	8.0	8.0	5.0	5.0	2.0	2.0	7.0	7.0	11.0	11.0	8.0	6.0	2.0	2.0	6.0	4.0	6.0	7.0	7.0	8.0	4.0	11.0	5.0	7.0	6.0	4.0	3.0	2.0	7.0	2.0	0.0	2.0	12.0	7.0	4.0	5.0	7.0
MHP_MHP709_genes	13.0	5.0	9.0	6.0	12.0	7.0	7.0	9.0	11.0	11.0	9.0	10.0	4.0	18.0	15.0	12.0	11.0	14.0	14.0	11.0	4.0	10.0	10.0	10.0	10.0	14.0	7.0	13.0	9.0	8.0	8.0	5.0	9.0	11.0	8.0	9.0	0.0	11.0	0.0	14.0	17.0	11.0	12.0	11.0
MHP_NCTC10127_genes	10.0	4.0	7.0	6.0	8.0	8.0	5.0	7.0	4.0	4.0	4.0	0.0	2.0	6.0	7.0	5.0	5.0	5.0	5.0	0.0	2.0	3.0	4.0	5.0	3.0	6.0	2.0	4.0	6.0	2.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	0.0	6.0	4.0	5.0	6.0
MHP_TB1_genes	10.0	5.0	6.0	6.0	7.0	7.0	5.0	7.0	2.0	1.0	3.0	7.0	2.0	3.0	5.0	6.0	7.0	3.0	4.0	6.0	2.0	6.0	4.0	1.0	3.0	9.0	4.0	3.0	5.0	4.0	5.0	3.0	2.0	3.0	2.0	1.0	2.0	3.0	2.0	14.0	0.0	6.0	7.0	5.0
MHP_UFV01_genes	11.0	4.0	7.0	5.0	6.0	7.0	6.0	8.0	4.0	5.0	3.0	3.0	2.0	3.0	3.0	6.0	6.0	3.0	2.0	3.0	1.0	3.0	4.0	3.0	3.0	7.0	3.0	4.0	4.0	0.0	3.0	2.0	1.0	2.0	2.0	5.0	0.0	2.0	0.0	6.0	3.0	0.0	2.0	4.0
MHP_UFV02_genes	11.0	4.0	7.0	5.0	6.0	7.0	6.0	8.0	4.0	5.0	4.0	3.0	1.0	3.0	3.0	6.0	5.0	3.0	2.0	3.0	1.0	3.0	4.0	2.0	3.0	7.0	3.0	4.0	4.0	0.0	3.0	2.0	1.0	2.0	2.0	5.0	0.0	2.0	0.0	6.0	3.0	1.0	0.0	5.0
MHP_Ue273_genes	11.0	3.0	7.0	5.0	7.0	6.0	4.0	6.0	12.0	10.0	4.0	2.0	1.0	5.0	3.0	2.0	2.0	9.0	8.0	2.0	0.0	2.0	1.0	4.0	2.0	4.0	3.0	6.0	3.0	3.0	3.0	3.0	6.0	2.0	4.0	3.0	4.0	6.0	5.0	7.0	9.0	4.0	6.0	0.0
