Orthogroup	MHP_UFV02_proteins	MHP_112B_proteins
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_243216072.1, WP_243216073.1	WP_404912363.1
OG0000046	WP_243234996.1, WP_243234989.1	WP_404913676.1
OG0000048	WP_243216169.1	WP_404912397.1
OG0000049	WP_011290363.1	WP_020835860.1
OG0000050	WP_243234988.1	WP_404911890.1
OG0000051	WP_243216261.1	WP_404911930.1
OG0000052	WP_094521536.1	WP_404912127.1
OG0000053	WP_243216057.1	WP_160585093.1
OG0000054	WP_243216226.1	WP_020835786.1
OG0000055	WP_011205867.1	WP_160606887.1
OG0000056	WP_243215894.1	WP_404912090.1
OG0000057	WP_011290343.1	WP_258555814.1
OG0000058	WP_243216113.1	WP_404913752.1
OG0000061	WP_044284624.1, WP_243216133.1	WP_404913627.1
OG0000062	WP_094521530.1	WP_094521530.1
OG0000063	WP_011206521.1	WP_404912101.1
OG0000064	WP_160615736.1	WP_011290440.1
OG0000065	WP_160601112.1	WP_233688433.1
OG0000066	WP_243216052.1	WP_404913732.1, WP_404913730.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_044272640.1	WP_146379735.1
OG0000072	WP_243216342.1	WP_404912031.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_014579624.1	WP_308704709.1
OG0000075	WP_243215955.1	WP_014579568.1
OG0000077	WP_243215965.1	WP_404912169.1
OG0000078	WP_243216087.1	WP_404913744.1
OG0000079	WP_233688475.1	WP_404911913.1
OG0000080	WP_179695988.1	WP_011206314.1
OG0000081	WP_243215952.1	WP_160615521.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_243216165.1	WP_011206223.1
OG0000086	WP_243216167.1	WP_404913754.1
OG0000087	WP_044272477.1	WP_404912425.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_020835488.1
OG0000091	WP_243215921.1	WP_020835487.1
OG0000092	WP_243215917.1	WP_404912119.1
OG0000093	WP_243215915.1	WP_011205846.1
OG0000094	WP_233688588.1	WP_014579519.1
OG0000095	WP_243215907.1	WP_044272251.1
OG0000096	WP_243215905.1	WP_404912113.1
OG0000097	WP_243235000.1	WP_404912105.1
OG0000098	WP_243215898.1	WP_011290444.1
OG0000099	WP_243215895.1	WP_404912092.1
OG0000100	WP_243215892.1	WP_011290432.1
OG0000101	WP_243215891.1	WP_011206510.1
OG0000102	WP_243216094.1	WP_404912445.1
OG0000103	WP_243216182.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_146379630.1
OG0000106	WP_243216184.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_179696020.1	WP_404911836.1
OG0000109	WP_243216186.1	WP_146379632.1
OG0000110	WP_243216208.1	WP_020835772.1
OG0000111	WP_243216207.1	WP_020835771.1
OG0000112	WP_243216205.1	WP_404911866.1
OG0000113	WP_020835765.1	WP_404911858.1
OG0000114	WP_243216202.1	WP_404911856.1
OG0000115	WP_014579859.1	WP_011290245.1
OG0000116	WP_243216047.1	WP_404912315.1
OG0000117	WP_243216048.1	WP_160615714.1
OG0000118	WP_228729171.1	WP_404912325.1
OG0000119	WP_179696055.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_243216054.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_243216059.1	WP_404912339.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_094521635.1
OG0000132	WP_135618714.1	WP_404912347.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_020835541.1	WP_404912178.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_135618563.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_243215985.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_160607860.1
OG0000143	WP_135619026.1	WP_404913770.1
OG0000144	WP_044272582.1	WP_404911973.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_243216296.1	WP_404911967.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_243216288.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_020835827.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_243216280.1	WP_160587842.1
OG0000155	WP_011290311.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011290309.1	WP_011290309.1
OG0000158	WP_308704549.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011290271.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_014579880.1
OG0000162	WP_044272532.1	WP_044272532.1
OG0000163	WP_243216224.1	WP_404911888.1
OG0000164	WP_160601269.1	WP_160601269.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011290193.1	WP_404911786.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_233688406.1	WP_404911779.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_243234994.1, WP_020835862.1	WP_020835862.1
OG0000171	WP_011290367.1	WP_404911998.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_243216312.1	WP_011206425.1
OG0000174	WP_011290369.1	WP_404912001.1
OG0000175	WP_011206429.1	WP_404913662.1
OG0000176	WP_243216326.1	WP_160607777.1
OG0000177	WP_233688536.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_020835878.1
OG0000179	WP_179221227.1	WP_160585639.1
OG0000180	WP_160590181.1	WP_160585638.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_011206465.1	WP_020835897.1
OG0000186	WP_020835656.1	WP_404912349.1
OG0000187	WP_243216062.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_243216195.1	WP_404911845.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011206251.1	WP_146379633.1
OG0000192	WP_011205992.1	WP_404912441.1
OG0000193	WP_011283999.1	WP_404912294.1
OG0000194	WP_243215993.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_179221025.1
OG0000197	WP_011206090.1	WP_041361572.1
OG0000198	WP_243215996.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011283943.1	WP_011290039.1
OG0000203	WP_011283944.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_146379508.1
OG0000205	WP_243216001.1	WP_160606691.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_011206062.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_243216005.1	WP_146379515.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_404912251.1
OG0000219	WP_011206041.1	WP_220190714.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_404912259.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_160608021.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_404912263.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_404912276.1
OG0000235	WP_243216014.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_243216016.1	WP_404912280.1
OG0000238	WP_011283991.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_404911978.1
OG0000241	WP_135619036.1	WP_044272588.1
OG0000242	WP_243216305.1	WP_404911981.1
OG0000243	WP_011290352.1	WP_146379703.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_020835856.1	WP_146379707.1
OG0000246	WP_232039502.1	WP_404912139.1
OG0000247	WP_243215932.1	WP_404912141.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000249	WP_243215934.1	WP_160588044.1
OG0000250	WP_243215937.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011283860.1	WP_011289964.1
OG0000254	WP_014579548.1	WP_160584767.1
OG0000255	WP_044284572.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_011205894.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_243215945.1	WP_041361723.1
OG0000260	WP_243215948.1	WP_094521550.1
OG0000261	WP_243215950.1	WP_044272293.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_243215961.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_020835532.1
OG0000268	WP_011289993.1	WP_011289993.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_243215887.1	WP_404912080.1
OG0000271	WP_135619152.1	WP_404913687.1
OG0000272	WP_243215885.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_243215879.1	WP_011290423.1
OG0000275	WP_011206497.1	WP_404912071.1
OG0000276	WP_243234998.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_243215875.1	WP_011290418.1
OG0000280	WP_044284728.1	WP_404912067.1
OG0000281	WP_081430772.1	WP_011290416.1
OG0000282	WP_243215874.1	WP_160590212.1
OG0000283	WP_044272663.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_160585585.1
OG0000285	WP_243215870.1	WP_404912060.1
OG0000286	WP_146379652.1	WP_160615969.1
OG0000287	WP_243216240.1	WP_404911902.1
OG0000288	WP_160600959.1	WP_404911904.1
OG0000289	WP_243216242.1	WP_020835793.1
OG0000290	WP_243216258.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_243216256.1	WP_044272553.1
OG0000293	WP_243216254.1	WP_404913649.1
OG0000294	WP_243216251.1	WP_404911922.1
OG0000295	WP_243216250.1	WP_011206315.1
OG0000296	WP_233688476.1	WP_041361673.1
OG0000297	WP_011206306.1	WP_146379664.1
OG0000298	WP_243215936.1	WP_404912146.1
OG0000299	WP_011205878.1	WP_160606529.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_404912180.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_044272575.1	WP_020835841.1
OG0000306	WP_243216282.1	WP_044272563.1
OG0000307	WP_044284687.1	WP_160585265.1
OG0000308	WP_243216263.1	WP_404911934.1
OG0000309	WP_243216248.1	WP_146379668.1
OG0000310	WP_160606445.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_094521675.1	WP_404911788.1
OG0000315	WP_243216153.1	WP_014579816.1
OG0000316	WP_014579818.1	WP_404911774.1
OG0000317	WP_011290211.1	WP_404912423.1
OG0000318	WP_243216157.1	WP_404911772.1
OG0000319	WP_146379629.1	WP_404913631.1
OG0000320	WP_243216204.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_135618712.1	WP_011290127.1
OG0000324	WP_243216187.1	WP_011290222.1
OG0000325	WP_243215994.1	WP_011206094.1
OG0000326	WP_243216000.1	WP_404913712.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_011206060.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_020835889.1
OG0000335	WP_243216335.1	WP_160606864.1
OG0000336	WP_011284361.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_243215903.1	WP_404912111.1
OG0000339	WP_243216236.1	WP_404911854.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_243216193.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_243215977.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_243216053.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_014579636.1
OG0000349	WP_243215882.1	WP_094521522.1
OG0000350	WP_228366105.1	WP_404911952.1
OG0000351	WP_233688626.1	WP_404912171.1
OG0000352	WP_243216148.1	WP_404911795.1
OG0000353	WP_044284615.1	WP_404912328.1
OG0000354	WP_237697228.1	WP_404912194.1
OG0000355	WP_243216143.1	WP_011206194.1
OG0000356	WP_243234974.1	WP_404913621.1
OG0000357	WP_011206427.1	WP_228366113.1
OG0000358	WP_243216314.1	WP_404913660.1
OG0000359	WP_243234960.1	WP_404913710.1
OG0000360	WP_228365406.1	WP_404912153.1
OG0000361	WP_243215944.1	WP_011289979.1
OG0000362	WP_011206302.1	WP_160600961.1
OG0000363	WP_269076322.1	WP_404913764.1
OG0000365	WP_243216163.1	WP_404912433.1
OG0000366	WP_146379594.1	WP_404912430.1
OG0000367	WP_220190703.1	WP_225973040.1
OG0000368	WP_011283833.1	WP_404912121.1
OG0000369	WP_243215913.1	WP_011205844.1
OG0000370	WP_135618444.1	WP_044272260.1
OG0000371	WP_243215911.1	WP_044272256.1
OG0000372	WP_243215909.1	WP_404912115.1
OG0000373	WP_243215901.1	WP_404912107.1
OG0000374	WP_243215899.1	WP_404912104.1
OG0000375	WP_135618878.1	WP_404911831.1
OG0000376	WP_243216206.1	WP_404911868.1
OG0000377	WP_011206271.1	WP_404913636.1
OG0000378	WP_179221065.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_233688710.1	WP_160588252.1
OG0000381	WP_243216055.1	WP_404913736.1
OG0000382	WP_243216060.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_243215971.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011290004.1
OG0000387	WP_243215975.1	WP_404913705.1
OG0000388	WP_243215976.1	WP_179221014.1
OG0000389	WP_243215983.1	WP_404912192.1
OG0000390	WP_011290340.1	WP_011290340.1
OG0000391	WP_044272578.1	WP_020835843.1
OG0000392	WP_243216301.1	WP_160607852.1
OG0000393	WP_243216285.1	WP_404911961.1
OG0000394	WP_011290313.1	WP_011290313.1
OG0000395	WP_243216274.1	WP_404911946.1
OG0000396	WP_160585153.1	WP_020835781.1
OG0000397	WP_243216145.1	WP_011206196.1
OG0000398	WP_243216146.1	WP_020835709.1
OG0000399	WP_160600914.1	WP_404911782.1
OG0000400	WP_243216310.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_243216318.1	WP_020835872.1
OG0000403	WP_243216321.1	WP_404913666.1
OG0000404	WP_243216329.1	WP_404912014.1
OG0000405	WP_243216331.1	WP_404913670.1
OG0000406	WP_014579989.1	WP_404912025.1
OG0000407	WP_243216339.1	WP_404912027.1
OG0000408	WP_044284717.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000412	WP_011290399.1	WP_146379741.1
OG0000413	WP_243216061.1	WP_146379568.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_404912351.1
OG0000416	WP_160601243.1	WP_011284056.1
OG0000417	WP_243216192.1	WP_404911842.1
OG0000418	WP_243216189.1	WP_160588285.1
OG0000419	WP_011206092.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_243215999.1	WP_146379504.1
OG0000423	WP_011206068.1	WP_404912224.1
OG0000424	WP_011206067.1	WP_011290043.1
OG0000425	WP_011206065.1	WP_044277967.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_011283954.1	WP_135618593.1
OG0000428	WP_243216004.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_404912257.1
OG0000430	WP_243216006.1	WP_404912265.1
OG0000431	WP_146379524.1	WP_011290067.1
OG0000432	WP_243216010.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000435	WP_020835610.1	WP_404912278.1
OG0000437	WP_233688689.1	WP_404912284.1
OG0000438	WP_243216021.1	WP_404912286.1
OG0000439	WP_243216023.1	WP_404912288.1
OG0000440	WP_243216303.1	WP_011290349.1
OG0000441	WP_020835857.1	WP_011284299.1
OG0000442	WP_243215931.1	WP_160607726.1
OG0000443	WP_243215940.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_160585544.1
OG0000446	WP_233688612.1	WP_348602689.1
OG0000447	WP_243215941.1	WP_014579553.1
OG0000448	WP_011283873.1	WP_011289976.1
OG0000449	WP_243215947.1	WP_348571941.1
OG0000450	WP_160600685.1	WP_160588027.1
OG0000451	WP_243215959.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_243215963.1	WP_011283895.1
OG0000455	WP_243215890.1	WP_404912085.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_243215868.1	WP_404913684.1
OG0000458	WP_179221160.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_011206303.1	WP_044272549.1
OG0000461	WP_243216245.1	WP_404913647.1
OG0000462	WP_011284228.1	WP_404911917.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_233688477.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_243234991.1	WP_404911938.1
OG0000468	WP_243216151.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_243216002.1	WP_011206069.1
OG0000471	WP_094521595.1	WP_044272348.1
OG0000472	WP_243215853.1	WP_404913678.1
OG0000473	WP_243215889.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000475	WP_044889046.1	WP_404912083.1
OG0000476	WP_243216064.1	WP_011205931.1
OG0000477	WP_243216252.1	WP_011206317.1
OG0000478	WP_243215877.1	WP_011284367.1
OG0000479	WP_243216050.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_160600884.1	WP_044272343.1
OG0000482	WP_014579695.1	WP_404913728.1
OG0000483	WP_011206227.1	WP_347952210.1
OG0000484	WP_233688609.1	WP_135618485.1
OG0000485	WP_243216018.1	WP_020835615.1
OG0000486	WP_243216198.1	WP_011290228.1
OG0000487	WP_243234975.1	WP_404913760.1
OG0000488	WP_020835728.1	WP_146379596.1
OG0000489	WP_243215919.1	WP_404913695.1
OG0000490	WP_243215902.1	WP_404912109.1
OG0000492	WP_160607802.1	WP_404913734.1
OG0000493	WP_179221015.1	WP_404912185.1
OG0000494	WP_052259108.1	WP_404913707.1
OG0000495	WP_243216290.1	WP_404911964.1
OG0000496	WP_011284271.1	WP_011290327.1
OG0000497	WP_014579936.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_243216147.1	WP_404913623.1
OG0000502	WP_243216028.1	WP_404912292.1
OG0000503	WP_020835576.1	WP_404912212.1
OG0000504	WP_088764595.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_146379519.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_233688611.1	WP_044272682.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_011206304.1	WP_404911911.1
OG0000513	WP_243215876.1	WP_041361708.1
OG0000514	WP_243216299.1	WP_404911969.1
OG0000515	WP_243216070.1, WP_243216069.1, WP_243216068.1	WP_160585031.1
OG0000516	WP_011206214.1	WP_160607660.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_243216317.1	WP_404913772.1
OG0000521	WP_243235002.1	WP_404913698.1
OG0000522	WP_243215943.1	WP_135618505.1
OG0000523	WP_243215866.1	WP_258555910.1
OG0000525	WP_243215854.1	WP_404912046.1
OG0000526	WP_243216125.1	WP_404911812.1
OG0000527	WP_011206174.1	WP_404911823.1
OG0000528	WP_243216161.1	WP_404912437.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000532	WP_243216074.1	WP_404913740.1
OG0000533	WP_179221017.1	WP_011290010.1
OG0000534	WP_160600697.1	WP_404912163.1
OG0000535	WP_160588116.1	WP_020835486.1
OG0000536	WP_243215896.1	WP_404913689.1
OG0000540	WP_243216257.1	WP_404913653.1
OG0000542	WP_044284771.1	WP_011289986.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_243234969.1, WP_243234967.1	WP_404911816.1
OG0000546	WP_020835829.1	WP_404911955.1
OG0000552	WP_243216323.1	WP_044284704.1
OG0000553	WP_243216271.1	WP_347952255.1
OG0000554	WP_243216210.1	WP_404911871.1
OG0000555	WP_228366107.1	WP_308507032.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_243216031.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_243216012.1	WP_094521603.1
OG0000562	WP_243216120.1	WP_160585755.1
OG0000563	WP_014579786.1	WP_160587877.1
OG0000564	WP_094521768.1	WP_252862181.1
OG0000565	WP_243216135.1	WP_404911804.1
OG0000566	WP_243216130.1	WP_404911808.1
OG0000567	WP_243216124.1	WP_404911814.1
OG0000568	WP_243234959.1	WP_404912204.1
OG0000569	WP_243216033.1	WP_404912299.1
OG0000570	WP_014579701.1	WP_404912300.1
OG0000571	WP_243216034.1	WP_404912302.1
OG0000572	WP_243216038.1	WP_404912308.1
OG0000573	WP_243216093.1	WP_404912382.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_243216030.1	WP_011290089.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_243216270.1	WP_041361678.1
OG0000579	WP_243216118.1	WP_146379623.1
OG0000580	WP_041361798.1	WP_236607953.1
OG0000581	WP_233688744.1	WP_404911821.1
OG0000582	WP_243216036.1	WP_404912305.1
OG0000583	WP_243216090.1	WP_404912380.1
OG0000584	WP_243216106.1	WP_404912408.1
OG0000585	WP_243234980.1	WP_146379626.1
OG0000586	WP_243216085.1	WP_044272424.1
