Orthogroup	MHP_UFV02_genes	MHP_ES2_genes
OG0000102	FEF31_RS01365	E5E95_RS01815
OG0000103	FEF31_RS01955	E5E95_RS02330
OG0000104	FEF31_RS01960	E5E95_RS02335
OG0000105	FEF31_RS01975	E5E95_RS02350
OG0000106	FEF31_RS01985	E5E95_RS02360
OG0000107	FEF31_RS01995	E5E95_RS02370
OG0000108	FEF31_RS02000	E5E95_RS02375
OG0000109	FEF31_RS02005	E5E95_RS02380
OG0000110	FEF31_RS02120	E5E95_RS02595
OG0000111	FEF31_RS02115	E5E95_RS02590
OG0000112	FEF31_RS02105	E5E95_RS02580
OG0000113	FEF31_RS02085	E5E95_RS02560
OG0000114	FEF31_RS02075	E5E95_RS04300
OG0000115	FEF31_RS02065	E5E95_RS02535
OG0000116	FEF31_RS00955	E5E95_RS01315
OG0000117	FEF31_RS00960	E5E95_RS01320
OG0000118	FEF31_RS00995	E5E95_RS01355
OG0000119	FEF31_RS01000	E5E95_RS01360
OG0000120	FEF31_RS01020	E5E95_RS01375
OG0000121	FEF31_RS01045	E5E95_RS01400
OG0000122	FEF31_RS01050	E5E95_RS01405
OG0000123	FEF31_RS01070	E5E95_RS01425
OG0000124	FEF31_RS01075	E5E95_RS01430
OG0000125	FEF31_RS01080	E5E95_RS01435
OG0000126	FEF31_RS01090	E5E95_RS01445
OG0000127	FEF31_RS01100	E5E95_RS01455
OG0000128	FEF31_RS01115	E5E95_RS01470
OG0000129	FEF31_RS01120	E5E95_RS01475
OG0000130	FEF31_RS01130	E5E95_RS01485
OG0000131	FEF31_RS01160	E5E95_RS01515
OG0000132	FEF31_RS04430	E5E95_RS01530
OG0000133	FEF31_RS00190	E5E95_RS00530
OG0000134	FEF31_RS00195	E5E95_RS00535
OG0000135	FEF31_RS00210	E5E95_RS00550
OG0000136	FEF31_RS00215	E5E95_RS00555
OG0000137	FEF31_RS00245	E5E95_RS00585
OG0000138	FEF31_RS00280	E5E95_RS00620
OG0000139	FEF31_RS00310	E5E95_RS00650
OG0000140	FEF31_RS00315	E5E95_RS00655
OG0000141	FEF31_RS02670	E5E95_RS03135
OG0000142	FEF31_RS04555	E5E95_RS03130
OG0000143	FEF31_RS02645	E5E95_RS03105
OG0000144	FEF31_RS02635	E5E95_RS03095
OG0000145	FEF31_RS02625	E5E95_RS03085
OG0000146	FEF31_RS02615	E5E95_RS03075
OG0000147	FEF31_RS02610	E5E95_RS03070
OG0000148	FEF31_RS02595	E5E95_RS03055
OG0000149	FEF31_RS02585	E5E95_RS03045
OG0000150	FEF31_RS02570	E5E95_RS03030
OG0000151	FEF31_RS02525	E5E95_RS02985
OG0000152	FEF31_RS02520	E5E95_RS02980
OG0000153	FEF31_RS02515	E5E95_RS02975
OG0000154	FEF31_RS02505	E5E95_RS02965
OG0000155	FEF31_RS02465	E5E95_RS02925
OG0000156	FEF31_RS02455	E5E95_RS02915
OG0000157	FEF31_RS04545	E5E95_RS02910
OG0000158	FEF31_RS04540	E5E95_RS02905
OG0000159	FEF31_RS02195	E5E95_RS04310
OG0000160	FEF31_RS02190	E5E95_RS02665
OG0000161	FEF31_RS02185	E5E95_RS02660
OG0000162	FEF31_RS02175	E5E95_RS02650
OG0000163	FEF31_RS02170	E5E95_RS02645
OG0000164	FEF31_RS01270	E5E95_RS01630
OG0000165	FEF31_RS01685	E5E95_RS02055
OG0000166	FEF31_RS01705	E5E95_RS02080
OG0000167	FEF31_RS01720	E5E95_RS02095
OG0000168	FEF31_RS01725	E5E95_RS02100
OG0000169	FEF31_RS03615	E5E95_RS03255
OG0000170	FEF31_RS04785, FEF31_RS04795	E5E95_RS03270
OG0000171	FEF31_RS03640	E5E95_RS03280
OG0000172	FEF31_RS03645	E5E95_RS03285
OG0000173	FEF31_RS03650	E5E95_RS03290
OG0000174	FEF31_RS03655	E5E95_RS03295
OG0000175	FEF31_RS03670	E5E95_RS03310
OG0000176	FEF31_RS03715	E5E95_RS03360
OG0000177	FEF31_RS03720	E5E95_RS03365
OG0000178	FEF31_RS03725	E5E95_RS03370
OG0000179	FEF31_RS03735	E5E95_RS03380
OG0000180	FEF31_RS03740	E5E95_RS03385
OG0000181	FEF31_RS04690	E5E95_RS03435
OG0000182	FEF31_RS03795	E5E95_RS03445
OG0000183	FEF31_RS03830	E5E95_RS03480
OG0000184	FEF31_RS02980	E5E95_RS03525
OG0000185	FEF31_RS02965	E5E95_RS03510
OG0000186	FEF31_RS04435	E5E95_RS01540
OG0000187	FEF31_RS01200	E5E95_RS01555
OG0000188	FEF31_RS01210	E5E95_RS01565
OG0000189	FEF31_RS04520	E5E95_RS02415
OG0000190	FEF31_RS02035	E5E95_RS02410
OG0000191	FEF31_RS02015	E5E95_RS02390
OG0000192	FEF31_RS00875	E5E95_RS01235
OG0000193	FEF31_RS00860	E5E95_RS01225
OG0000194	FEF31_RS00345	E5E95_RS00690
OG0000195	FEF31_RS00350	E5E95_RS00695
OG0000196	FEF31_RS00370	E5E95_RS00715
OG0000197	FEF31_RS00375	E5E95_RS00720
OG0000198	FEF31_RS00390	E5E95_RS00735
OG0000199	FEF31_RS00395	E5E95_RS00740
OG0000200	FEF31_RS00410	E5E95_RS00755
OG0000201	FEF31_RS00420	E5E95_RS00765
OG0000202	FEF31_RS00475	E5E95_RS00820
OG0000203	FEF31_RS00480	E5E95_RS00825
OG0000204	FEF31_RS00485	E5E95_RS00830
OG0000205	FEF31_RS00490	E5E95_RS00835
OG0000206	FEF31_RS00510	E5E95_RS00855
OG0000207	FEF31_RS00525	E5E95_RS00870
OG0000208	FEF31_RS00530	E5E95_RS00875
OG0000209	FEF31_RS00535	E5E95_RS00880
OG0000210	FEF31_RS00580	E5E95_RS00925
OG0000211	FEF31_RS00590	E5E95_RS00955
OG0000212	FEF31_RS00600	E5E95_RS00965
OG0000213	FEF31_RS00605	E5E95_RS00970
OG0000214	FEF31_RS00610	E5E95_RS00975
OG0000215	FEF31_RS00615	E5E95_RS00980
OG0000216	FEF31_RS00620	E5E95_RS00985
OG0000217	FEF31_RS00625	E5E95_RS00995
OG0000218	FEF31_RS00635	E5E95_RS01000
OG0000219	FEF31_RS00640	E5E95_RS01005
OG0000220	FEF31_RS00645	E5E95_RS01010
OG0000221	FEF31_RS00650	E5E95_RS01015
OG0000222	FEF31_RS00655	E5E95_RS01020
OG0000223	FEF31_RS00660	E5E95_RS01025
OG0000224	FEF31_RS00670	E5E95_RS01035
OG0000225	FEF31_RS00680	E5E95_RS01045
OG0000226	FEF31_RS00685	E5E95_RS01050
OG0000227	FEF31_RS00690	E5E95_RS01055
OG0000228	FEF31_RS04770	E5E95_RS04285
OG0000229	FEF31_RS00700	E5E95_RS01065
OG0000230	FEF31_RS00705	E5E95_RS01070
OG0000231	FEF31_RS00715	E5E95_RS01080
OG0000232	FEF31_RS00725	E5E95_RS01090
OG0000233	FEF31_RS00750	E5E95_RS01110
OG0000234	FEF31_RS00785	E5E95_RS01145
OG0000235	FEF31_RS00795	E5E95_RS01155
OG0000236	FEF31_RS00800	E5E95_RS01160
OG0000237	FEF31_RS00805	E5E95_RS01165
OG0000238	FEF31_RS00810	E5E95_RS01175
OG0000239	FEF31_RS02680	E5E95_RS03145
OG0000240	FEF31_RS02685	E5E95_RS03150
OG0000241	FEF31_RS02695	E5E95_RS03160
OG0000242	FEF31_RS02700	E5E95_RS03165
OG0000243	FEF31_RS02705	E5E95_RS03170
OG0000244	FEF31_RS02715	E5E95_RS03180
OG0000245	FEF31_RS02720	E5E95_RS03190
OG0000246	FEF31_RS03410	E5E95_RS00130
OG0000247	FEF31_RS03420	E5E95_RS00140
OG0000248	FEF31_RS03430	E5E95_RS00150
OG0000249	FEF31_RS03435	E5E95_RS00155
OG0000250	FEF31_RS03450	E5E95_RS00170
OG0000251	FEF31_RS03480	E5E95_RS00205
OG0000252	FEF31_RS03490	E5E95_RS00215
OG0000253	FEF31_RS03495	E5E95_RS00220
OG0000254	FEF31_RS03505	E5E95_RS00230
OG0000255	FEF31_RS03510	E5E95_RS00240
OG0000256	FEF31_RS03515	E5E95_RS00245
OG0000257	FEF31_RS03540	E5E95_RS00270
OG0000258	FEF31_RS03550	E5E95_RS00280
OG0000259	FEF31_RS03580	E5E95_RS00310
OG0000260	FEF31_RS03590	E5E95_RS00320
OG0000261	FEF31_RS04680	E5E95_RS00330
OG0000262	FEF31_RS00010	E5E95_RS00350
OG0000263	FEF31_RS00025	E5E95_RS00360
OG0000264	FEF31_RS00040	E5E95_RS00375
OG0000265	FEF31_RS00050	E5E95_RS00385
OG0000266	FEF31_RS00065	E5E95_RS00400
OG0000267	FEF31_RS00080	E5E95_RS00415
OG0000268	FEF31_RS00085	E5E95_RS00420
OG0000269	FEF31_RS00100	E5E95_RS00435
OG0000270	FEF31_RS04635	E5E95_RS03710
OG0000271	FEF31_RS03160	E5E95_RS03705
OG0000272	FEF31_RS03155	E5E95_RS03700
OG0000273	FEF31_RS03150	E5E95_RS03695
OG0000274	FEF31_RS03130	E5E95_RS03675
OG0000275	FEF31_RS04625	E5E95_RS03670
OG0000276	FEF31_RS03120	E5E95_RS03665
OG0000277	FEF31_RS03110	E5E95_RS03655
OG0000278	FEF31_RS03105	E5E95_RS03650
OG0000279	FEF31_RS03095	E5E95_RS03640
OG0000280	FEF31_RS03090	E5E95_RS03635
OG0000281	FEF31_RS03085	E5E95_RS03630
OG0000282	FEF31_RS04615	E5E95_RS03605
OG0000283	FEF31_RS03055	E5E95_RS03600
OG0000284	FEF31_RS03050	E5E95_RS03595
OG0000285	FEF31_RS04610	E5E95_RS03590
OG0000286	FEF31_RS02155	E5E95_RS04305
OG0000287	FEF31_RS02260	E5E95_RS02720
OG0000288	FEF31_RS02270	E5E95_RS02730
OG0000289	FEF31_RS02275	E5E95_RS02735
OG0000290	FEF31_RS02385	E5E95_RS02845
OG0000291	FEF31_RS02375	E5E95_RS02835
OG0000292	FEF31_RS02370	E5E95_RS02830
OG0000293	FEF31_RS02365	E5E95_RS02825
OG0000294	FEF31_RS02355	E5E95_RS02815
OG0000295	FEF31_RS02350	E5E95_RS02810
OG0000296	FEF31_RS02310	E5E95_RS02770
OG0000297	FEF31_RS02305	E5E95_RS02765
OG0000298	FEF31_RS03445	E5E95_RS00165
OG0000299	FEF31_RS03465	E5E95_RS00190
OG0000300	FEF31_RS00035	E5E95_RS00370
OG0000301	FEF31_RS00070	E5E95_RS00405
OG0000302	FEF31_RS00075	E5E95_RS00410
OG0000303	FEF31_RS00220	E5E95_RS00560
OG0000304	FEF31_RS00730	E5E95_RS01095
OG0000305	FEF31_RS02620	E5E95_RS03080
OG0000306	FEF31_RS02545	E5E95_RS03005
OG0000307	FEF31_RS02510	E5E95_RS02970
OG0000308	FEF31_RS02405	E5E95_RS02875
OG0000309	FEF31_RS02340	E5E95_RS02800
OG0000310	FEF31_RS02265	E5E95_RS02725
OG0000311	FEF31_RS02215	E5E95_RS02690
OG0000312	FEF31_RS02200	E5E95_RS02675
OG0000313	FEF31_RS01260	E5E95_RS01620
OG0000314	FEF31_RS01700	E5E95_RS02075
OG0000315	FEF31_RS01730	E5E95_RS02105
OG0000316	FEF31_RS01740	E5E95_RS02115
OG0000317	FEF31_RS01835	E5E95_RS02205
OG0000318	FEF31_RS04480	E5E95_RS02120
OG0000319	FEF31_RS01970	E5E95_RS02345
OG0000320	FEF31_RS02095	E5E95_RS02570
OG0000321	FEF31_RS00990	E5E95_RS01350
OG0000322	FEF31_RS01040	E5E95_RS01395
OG0000323	FEF31_RS01170	E5E95_RS01525
OG0000324	FEF31_RS02010	E5E95_RS02385
OG0000325	FEF31_RS00355	E5E95_RS00700
OG0000326	FEF31_RS00450	E5E95_RS00795
OG0000327	FEF31_RS00455	E5E95_RS00800
OG0000328	FEF31_RS00540	E5E95_RS00885
OG0000329	FEF31_RS00560	E5E95_RS00905
OG0000330	FEF31_RS00760	E5E95_RS01120
OG0000331	FEF31_RS02710	E5E95_RS03175
OG0000332	FEF31_RS03680	E5E95_RS03320
OG0000333	FEF31_RS03690	E5E95_RS03330
OG0000334	FEF31_RS03790	E5E95_RS03440
OG0000335	FEF31_RS03800	E5E95_RS03450
OG0000336	FEF31_RS04620	E5E95_RS03620
OG0000337	FEF31_RS03240	E5E95_RS03795
OG0000338	FEF31_RS03280	E5E95_RS03835
OG0000339	FEF31_RS02070	E5E95_RS02540
OG0000340	FEF31_RS00970	E5E95_RS01330
OG0000341	FEF31_RS02030	E5E95_RS02405
OG0000342	FEF31_RS00385	E5E95_RS00730
OG0000343	FEF31_RS03700	E5E95_RS03340
OG0000344	FEF31_RS00235	E5E95_RS00575
OG0000345	FEF31_RS00675	E5E95_RS01040
OG0000346	FEF31_RS03080	E5E95_RS03625
OG0000347	FEF31_RS01065	E5E95_RS01420
OG0000348	FEF31_RS00460	E5E95_RS00805
OG0000349	FEF31_RS04630	E5E95_RS03685
OG0000350	FEF31_RS02500	E5E95_RS02960
OG0000351	FEF31_RS00155	E5E95_RS00495
OG0000352	FEF31_RS01680	E5E95_RS02050
OG0000353	FEF31_RS01035	E5E95_RS01390
OG0000354	FEF31_RS00295	E5E95_RS00635
OG0000355	FEF31_RS04470	E5E95_RS02020
OG0000356	FEF31_RS04475	E5E95_RS02110
OG0000357	FEF31_RS04685	E5E95_RS03300
OG0000358	FEF31_RS03665	E5E95_RS03305
OG0000359	FEF31_RS04380	E5E95_RS00775
OG0000360	FEF31_RS03545	E5E95_RS00275
OG0000361	FEF31_RS03575	E5E95_RS00305
OG0000362	FEF31_RS02285	E5E95_RS02745
OG0000363	FEF31_RS01105	E5E95_RS03985
OG0000364	FEF31_RS01635	E5E95_RS01995
OG0000365	FEF31_RS01785	E5E95_RS02150
OG0000366	FEF31_RS01805	E5E95_RS02175
OG0000367	FEF31_RS01815	E5E95_RS02185
OG0000368	FEF31_RS03345	E5E95_RS00060
OG0000369	FEF31_RS04650	E5E95_RS00025
OG0000370	FEF31_RS03305	E5E95_RS00020
OG0000371	FEF31_RS03300	E5E95_RS00015
OG0000372	FEF31_RS03295	E5E95_RS00010
OG0000373	FEF31_RS03270	E5E95_RS03825
OG0000374	FEF31_RS03260	E5E95_RS03815
OG0000375	FEF31_RS01965	E5E95_RS02340
OG0000376	FEF31_RS02110	E5E95_RS02585
OG0000377	FEF31_RS02100	E5E95_RS02575
OG0000378	FEF31_RS00950	E5E95_RS01310
OG0000379	FEF31_RS01030	E5E95_RS01385
OG0000380	FEF31_RS01055	E5E95_RS01410
OG0000381	FEF31_RS01095	E5E95_RS01450
OG0000382	FEF31_RS01125	E5E95_RS01480
OG0000383	FEF31_RS01165	E5E95_RS01520
OG0000384	FEF31_RS00175	E5E95_RS00515
OG0000385	FEF31_RS00180	E5E95_RS00520
OG0000386	FEF31_RS00200	E5E95_RS00540
OG0000387	FEF31_RS00225	E5E95_RS00565
OG0000388	FEF31_RS04370	E5E95_RS00570
OG0000389	FEF31_RS00275	E5E95_RS00615
OG0000390	FEF31_RS02640	E5E95_RS03100
OG0000391	FEF31_RS02630	E5E95_RS03090
OG0000392	FEF31_RS02605	E5E95_RS03065
OG0000393	FEF31_RS04550	E5E95_RS03010
OG0000394	FEF31_RS02475	E5E95_RS02940
OG0000395	FEF31_RS02470	E5E95_RS02930
OG0000397	FEF31_RS01665	E5E95_RS02035
OG0000398	FEF31_RS01670	E5E95_RS02040
OG0000399	FEF31_RS01715	E5E95_RS02090
OG0000400	FEF31_RS03625	E5E95_RS03265
OG0000401	FEF31_RS03685	E5E95_RS03325
OG0000402	FEF31_RS03695	E5E95_RS03335
OG0000403	FEF31_RS03705	E5E95_RS03345
OG0000404	FEF31_RS03730	E5E95_RS03375
OG0000405	FEF31_RS04800	E5E95_RS03390
OG0000406	FEF31_RS03805	E5E95_RS03455
OG0000407	FEF31_RS04695	E5E95_RS03460
OG0000408	FEF31_RS03815	E5E95_RS03465
OG0000409	FEF31_RS03820	E5E95_RS03470
OG0000410	FEF31_RS02985	E5E95_RS03530
OG0000411	FEF31_RS02975	E5E95_RS03520
OG0000412	FEF31_RS02970	E5E95_RS03515
OG0000413	FEF31_RS01180	E5E95_RS01535
OG0000414	FEF31_RS01190	E5E95_RS01545
OG0000415	FEF31_RS01195	E5E95_RS01550
OG0000416	FEF31_RS01205	E5E95_RS01560
OG0000417	FEF31_RS02025	E5E95_RS02400
OG0000418	FEF31_RS02020	E5E95_RS02395
OG0000419	FEF31_RS00365	E5E95_RS00710
OG0000420	FEF31_RS00400	E5E95_RS00745
OG0000421	FEF31_RS00435	E5E95_RS00780
OG0000422	FEF31_RS00445	E5E95_RS00790
OG0000423	FEF31_RS00500	E5E95_RS00845
OG0000424	FEF31_RS00505	E5E95_RS00850
OG0000425	FEF31_RS00515	E5E95_RS00860
OG0000426	FEF31_RS04385	E5E95_RS00865
OG0000427	FEF31_RS04390	E5E95_RS00890
OG0000428	FEF31_RS00570	E5E95_RS00915
OG0000429	FEF31_RS00665	E5E95_RS01030
OG0000430	FEF31_RS00710	E5E95_RS01075
OG0000431	FEF31_RS00720	E5E95_RS01085
OG0000432	FEF31_RS00755	E5E95_RS01115
OG0000433	FEF31_RS00770	E5E95_RS01130
OG0000434	FEF31_RS00775	E5E95_RS01135
OG0000435	FEF31_RS00790	E5E95_RS01150
OG0000436	FEF31_RS00815	E5E95_RS01180
OG0000437	FEF31_RS00825	E5E95_RS01190
OG0000438	FEF31_RS00830	E5E95_RS01195
OG0000439	FEF31_RS04400	E5E95_RS01200
OG0000440	FEF31_RS02690	E5E95_RS03155
OG0000441	FEF31_RS02725	E5E95_RS03195
OG0000442	FEF31_RS03415	E5E95_RS00135
OG0000443	FEF31_RS03460	E5E95_RS00185
OG0000444	FEF31_RS03475	E5E95_RS00200
OG0000445	FEF31_RS03500	E5E95_RS00225
OG0000446	FEF31_RS03525	E5E95_RS00255
OG0000447	FEF31_RS03530	E5E95_RS00260
OG0000448	FEF31_RS03560	E5E95_RS00290
OG0000449	FEF31_RS03585	E5E95_RS00315
OG0000450	FEF31_RS03595	E5E95_RS00325
OG0000451	FEF31_RS00030	E5E95_RS00365
OG0000452	FEF31_RS00055	E5E95_RS00390
OG0000453	FEF31_RS00090	E5E95_RS00425
OG0000455	FEF31_RS03185	E5E95_RS03730
OG0000456	FEF31_RS03065	E5E95_RS03610
OG0000457	FEF31_RS03040	E5E95_RS03585
OG0000458	FEF31_RS02255	E5E95_RS02715
OG0000459	FEF31_RS02280	E5E95_RS02740
OG0000460	FEF31_RS02290	E5E95_RS02750
OG0000461	FEF31_RS02335	E5E95_RS02795
OG0000462	FEF31_RS02330	E5E95_RS02790
OG0000463	FEF31_RS02325	E5E95_RS02785
OG0000464	FEF31_RS02320	E5E95_RS02780
OG0000465	FEF31_RS02315	E5E95_RS02775
OG0000466	FEF31_RS00060	E5E95_RS00395
OG0000467	FEF31_RS04530	E5E95_RS02880
OG0000468	FEF31_RS01710	E5E95_RS02085
OG0000469	FEF31_RS01770	E5E95_RS02145
OG0000470	FEF31_RS00495	E5E95_RS03895
OG0000471	FEF31_RS00575	E5E95_RS00920
OG0000472	FEF31_RS02995	E5E95_RS03540
OG0000473	FEF31_RS03170	E5E95_RS03715
OG0000474	FEF31_RS03175	E5E95_RS03720
OG0000475	FEF31_RS03180	E5E95_RS03725
OG0000476	FEF31_RS01215	E5E95_RS01570
OG0000477	FEF31_RS02360	E5E95_RS02820
OG0000478	FEF31_RS03115	E5E95_RS03660
OG0000479	FEF31_RS00985	E5E95_RS01345
OG0000480	FEF31_RS01775	E5E95_RS03865
OG0000481	FEF31_RS00470	E5E95_RS00815
OG0000482	FEF31_RS00865	E5E95_RS01230
OG0000483	FEF31_RS01820	E5E95_RS02190
OG0000484	FEF31_RS04675	E5E95_RS00195
OG0000485	FEF31_RS00820	E5E95_RS01185
OG0000486	FEF31_RS02045	E5E95_RS02420
OG0000487	FEF31_RS04485	E5E95_RS02125
OG0000488	FEF31_RS01790	E5E95_RS02160
OG0000489	FEF31_RS03335	E5E95_RS00050
OG0000490	FEF31_RS03275	E5E95_RS03830
OG0000491	FEF31_RS01005	E5E95_RS01365
OG0000492	FEF31_RS01085	E5E95_RS01440
OG0000493	FEF31_RS00240	E5E95_RS00580
OG0000494	FEF31_RS00300	E5E95_RS00640
OG0000495	FEF31_RS02575	E5E95_RS03035
OG0000496	FEF31_RS02565	E5E95_RS03025
OG0000497	FEF31_RS02560	E5E95_RS03020
OG0000500	FEF31_RS01675	E5E95_RS02045
OG0000502	FEF31_RS00855	E5E95_RS01220
OG0000503	FEF31_RS00415	E5E95_RS00760
OG0000504	FEF31_RS00550	E5E95_RS00895
OG0000506	FEF31_RS00595	E5E95_RS00960
