Orthogroup	MHP_UFV02_genes	MHP_UFV01_genes
OG0000010	FEF31_RS01600	FEF30_RS02240
OG0000010	FEF31_RS01225	FEF30_RS01880
OG0000010	FEF31_RS04440	FEF30_RS04280
OG0000011	FEF31_RS01695	FEF30_RS02330
OG0000011	FEF31_RS01690	FEF30_RS02325
OG0000012	FEF31_RS02235	FEF30_RS03655
OG0000013	FEF31_RS02135	FEF30_RS02775
OG0000013	FEF31_RS03455	FEF30_RS00500
OG0000014	FEF31_RS00255	FEF30_RS00910
OG0000014	FEF31_RS00745	FEF30_RS01400
OG0000014	FEF31_RS04375	FEF30_RS04210
OG0000015	FEF31_RS01295	FEF30_RS01950
OG0000015	FEF31_RS01395	FEF30_RS02045
OG0000016	FEF31_RS02580	FEF30_RS03220
OG0000016	FEF31_RS03440	FEF30_RS00485
OG0000017	FEF31_RS03425	FEF30_RS00470
OG0000017	FEF31_RS02590	FEF30_RS03230
OG0000018	FEF31_RS04420	FEF30_RS04255
OG0000018	FEF31_RS01415	FEF30_RS02065
OG0000018	FEF31_RS01420	FEF30_RS02070
OG0000019	FEF31_RS04805	FEF30_RS03670
OG0000020	FEF31_RS03220	FEF30_RS00265
OG0000020	FEF31_RS04270	FEF30_RS03755
OG0000021	FEF31_RS01520	FEF30_RS02170
OG0000021	FEF31_RS00170	FEF30_RS00820
OG0000022	FEF31_RS01320	FEF30_RS01975
OG0000022	FEF31_RS04450	FEF30_RS04290
OG0000023	FEF31_RS00975	FEF30_RS01630
OG0000023	FEF31_RS01405	FEF30_RS02055
OG0000024	FEF31_RS02485	FEF30_RS03120
OG0000024	FEF31_RS00930	FEF30_RS01585
OG0000025	FEF31_RS04445	FEF30_RS04285
OG0000025	FEF31_RS01370	FEF30_RS02025
OG0000026	FEF31_RS01025	FEF30_RS01680
OG0000026	FEF31_RS01350	FEF30_RS02005
OG0000027	FEF31_RS03015	FEF30_RS00060
OG0000027	FEF31_RS04605	FEF30_RS04125
OG0000028	FEF31_RS02145	FEF30_RS02785
OG0000028	FEF31_RS04525	FEF30_RS02790
OG0000029	FEF31_RS00735	FEF30_RS01390
OG0000029	FEF31_RS00270	FEF30_RS00925
OG0000030	FEF31_RS04590	FEF30_RS04110
OG0000030	FEF31_RS04600	FEF30_RS04120
OG0000031	FEF31_RS01265	FEF30_RS01920
OG0000031	FEF31_RS01450	FEF30_RS02100
OG0000032	FEF31_RS03020	FEF30_RS00065
OG0000033	FEF31_RS02140	FEF30_RS02780
OG0000034	FEF31_RS01895	FEF30_RS02525
OG0000035	FEF31_RS03765	FEF30_RS03545
OG0000036	FEF31_RS03385	FEF30_RS00430
OG0000036	FEF31_RS03400	FEF30_RS00445
OG0000038	FEF31_RS01510	FEF30_RS02160
OG0000038	FEF31_RS00160	FEF30_RS00810
OG0000039	FEF31_RS01275	FEF30_RS01930
OG0000040	FEF31_RS03890	FEF30_RS03620
OG0000041	FEF31_RS00330	FEF30_RS00985
OG0000042	FEF31_RS02675	FEF30_RS03315
OG0000043	FEF31_RS01660	FEF30_RS02295
OG0000043	FEF31_RS01455	FEF30_RS02105
OG0000044	FEF31_RS04775	FEF30_RS04460
OG0000044	FEF31_RS01545	FEF30_RS02200
OG0000045	FEF31_RS01280	FEF30_RS01935
OG0000045	FEF31_RS01285	FEF30_RS01940
OG0000046	FEF31_RS02960, FEF31_RS02245	FEF30_RS04495
OG0000047	FEF31_RS01435	FEF30_RS02085
OG0000048	FEF31_RS01845	FEF30_RS02480
OG0000049	FEF31_RS03620	FEF30_RS03400
OG0000050	FEF31_RS02180	FEF30_RS02820
OG0000051	FEF31_RS02395	FEF30_RS03030
OG0000052	FEF31_RS03360	FEF30_RS00405
OG0000053	FEF31_RS04425	FEF30_RS04260
OG0000054	FEF31_RS02205	FEF30_RS02845
OG0000055	FEF31_RS03405	FEF30_RS00450
OG0000056	FEF31_RS03205	FEF30_RS00250
OG0000057	FEF31_RS02660	FEF30_RS03300
OG0000058	FEF31_RS01470	FEF30_RS02120
OG0000059	FEF31_RS01460	FEF30_RS02110
OG0000060	FEF31_RS00850	FEF30_RS01505
OG0000061	FEF31_RS01245	FEF30_RS01900
OG0000061	FEF31_RS01610	FEF30_RS02250
OG0000062	FEF31_RS03250	FEF30_RS00295
OG0000063	FEF31_RS04645	FEF30_RS04165
OG0000064	FEF31_RS03235	FEF30_RS00280
OG0000065	FEF31_RS01990	FEF30_RS02625
OG0000066	FEF31_RS01015	FEF30_RS01670
OG0000067	FEF31_RS00185	FEF30_RS00835
OG0000068	FEF31_RS00305	FEF30_RS00960
OG0000069	FEF31_RS02555	FEF30_RS03195
OG0000070	FEF31_RS02210	FEF30_RS02850
OG0000071	FEF31_RS03835	FEF30_RS03610
OG0000072	FEF31_RS04700	FEF30_RS04405
OG0000073	FEF31_RS00360	FEF30_RS01015
OG0000074	FEF31_RS04395	FEF30_RS04230
OG0000075	FEF31_RS00005	FEF30_RS00655
OG0000076	FEF31_RS00020	FEF30_RS00670
OG0000077	FEF31_RS00105	FEF30_RS00755
OG0000078	FEF31_RS01340	FEF30_RS01995
OG0000079	FEF31_RS02300	FEF30_RS02935
OG0000080	FEF31_RS02345	FEF30_RS02980
OG0000081	FEF31_RS03610	FEF30_RS00650
OG0000082	FEF31_RS02130	FEF30_RS02770
OG0000083	FEF31_RS01765	FEF30_RS02400
OG0000084	FEF31_RS01795	FEF30_RS02430
OG0000085	FEF31_RS01800	FEF30_RS02435
OG0000086	FEF31_RS01810	FEF30_RS02445
OG0000087	FEF31_RS01825	FEF30_RS02460
OG0000088	FEF31_RS01830	FEF30_RS02465
OG0000089	FEF31_RS01840	FEF30_RS02475
OG0000090	FEF31_RS03355	FEF30_RS00400
OG0000091	FEF31_RS03340	FEF30_RS00385
OG0000092	FEF31_RS03325	FEF30_RS00370
OG0000093	FEF31_RS03320	FEF30_RS00365
OG0000094	FEF31_RS03315	FEF30_RS00360
OG0000095	FEF31_RS03290	FEF30_RS00335
OG0000096	FEF31_RS03285	FEF30_RS00330
OG0000097	FEF31_RS03265	FEF30_RS00310
OG0000098	FEF31_RS03255	FEF30_RS00300
OG0000099	FEF31_RS04640	FEF30_RS04160
OG0000100	FEF31_RS03195	FEF30_RS00240
OG0000101	FEF31_RS03190	FEF30_RS00235
OG0000102	FEF31_RS01365	FEF30_RS02020
OG0000103	FEF31_RS01955	FEF30_RS02590
OG0000104	FEF31_RS01960	FEF30_RS02595
OG0000105	FEF31_RS01975	FEF30_RS02610
OG0000106	FEF31_RS01985	FEF30_RS02620
OG0000107	FEF31_RS01995	FEF30_RS02630
OG0000108	FEF31_RS02000	FEF30_RS02635
OG0000109	FEF31_RS02005	FEF30_RS02640
OG0000110	FEF31_RS02120	FEF30_RS02760
OG0000111	FEF31_RS02115	FEF30_RS02755
OG0000112	FEF31_RS02105	FEF30_RS02745
OG0000113	FEF31_RS02085	FEF30_RS02725
OG0000114	FEF31_RS02075	FEF30_RS02715
OG0000115	FEF31_RS02065	FEF30_RS02705
OG0000116	FEF31_RS00955	FEF30_RS01610
OG0000117	FEF31_RS00960	FEF30_RS01615
OG0000118	FEF31_RS00995	FEF30_RS01650
OG0000119	FEF31_RS01000	FEF30_RS01655
OG0000120	FEF31_RS01020	FEF30_RS01675
OG0000121	FEF31_RS01045	FEF30_RS01700
OG0000122	FEF31_RS01050	FEF30_RS01705
OG0000123	FEF31_RS01070	FEF30_RS01725
OG0000124	FEF31_RS01075	FEF30_RS01730
OG0000125	FEF31_RS01080	FEF30_RS01735
OG0000126	FEF31_RS01090	FEF30_RS01745
OG0000127	FEF31_RS01100	FEF30_RS01755
OG0000128	FEF31_RS01115	FEF30_RS01770
OG0000129	FEF31_RS01120	FEF30_RS01775
OG0000130	FEF31_RS01130	FEF30_RS01785
OG0000131	FEF31_RS01160	FEF30_RS04265
OG0000132	FEF31_RS04430	FEF30_RS04270
OG0000133	FEF31_RS00190	FEF30_RS00840
OG0000134	FEF31_RS00195	FEF30_RS00845
OG0000135	FEF31_RS00210	FEF30_RS00860
OG0000136	FEF31_RS00215	FEF30_RS00865
OG0000137	FEF31_RS00245	FEF30_RS00905
OG0000138	FEF31_RS00280	FEF30_RS00935
OG0000139	FEF31_RS00310	FEF30_RS00965
OG0000140	FEF31_RS00315	FEF30_RS00970
OG0000141	FEF31_RS02670	FEF30_RS03310
OG0000142	FEF31_RS04555	FEF30_RS04385
OG0000143	FEF31_RS02645	FEF30_RS03285
OG0000144	FEF31_RS02635	FEF30_RS03275
OG0000145	FEF31_RS02625	FEF30_RS03265
OG0000146	FEF31_RS02615	FEF30_RS03255
OG0000147	FEF31_RS02610	FEF30_RS03250
OG0000148	FEF31_RS02595	FEF30_RS03235
OG0000149	FEF31_RS02585	FEF30_RS03225
OG0000150	FEF31_RS02570	FEF30_RS03210
OG0000151	FEF31_RS02525	FEF30_RS03160
OG0000152	FEF31_RS02520	FEF30_RS03155
OG0000153	FEF31_RS02515	FEF30_RS03150
OG0000154	FEF31_RS02505	FEF30_RS03140
OG0000155	FEF31_RS02465	FEF30_RS03100
OG0000156	FEF31_RS02455	FEF30_RS03090
OG0000157	FEF31_RS04545	FEF30_RS04375
OG0000158	FEF31_RS04540	FEF30_RS04370
OG0000159	FEF31_RS02195	FEF30_RS02835
OG0000160	FEF31_RS02190	FEF30_RS02830
OG0000161	FEF31_RS02185	FEF30_RS02825
OG0000162	FEF31_RS02175	FEF30_RS02815
OG0000163	FEF31_RS02170	FEF30_RS02810
OG0000164	FEF31_RS01270	FEF30_RS01925
OG0000165	FEF31_RS01685	FEF30_RS02320
OG0000166	FEF31_RS01705	FEF30_RS02340
OG0000167	FEF31_RS01720	FEF30_RS02355
OG0000168	FEF31_RS01725	FEF30_RS02360
OG0000169	FEF31_RS03615	FEF30_RS03395
OG0000170	FEF31_RS04785, FEF31_RS04795	FEF30_RS04475
OG0000171	FEF31_RS03640	FEF30_RS03420
OG0000172	FEF31_RS03645	FEF30_RS03425
OG0000173	FEF31_RS03650	FEF30_RS03430
OG0000174	FEF31_RS03655	FEF30_RS03435
OG0000175	FEF31_RS03670	FEF30_RS03450
OG0000176	FEF31_RS03715	FEF30_RS03495
OG0000177	FEF31_RS03720	FEF30_RS03500
OG0000178	FEF31_RS03725	FEF30_RS03505
OG0000179	FEF31_RS03735	FEF30_RS03515
OG0000180	FEF31_RS03740	FEF30_RS03520
OG0000181	FEF31_RS04690	FEF30_RS04395
OG0000182	FEF31_RS03795	FEF30_RS03570
OG0000183	FEF31_RS03830	FEF30_RS03605
OG0000184	FEF31_RS02980	FEF30_RS00025
OG0000185	FEF31_RS02965	FEF30_RS00010
OG0000186	FEF31_RS04435	FEF30_RS04275
OG0000187	FEF31_RS01200	FEF30_RS01855
OG0000188	FEF31_RS01210	FEF30_RS01865
OG0000189	FEF31_RS04520	FEF30_RS04355
OG0000190	FEF31_RS02035	FEF30_RS02670
OG0000191	FEF31_RS02015	FEF30_RS02650
OG0000192	FEF31_RS00875	FEF30_RS01530
OG0000193	FEF31_RS00860	FEF30_RS01515
OG0000194	FEF31_RS00345	FEF30_RS01000
OG0000195	FEF31_RS00350	FEF30_RS01005
OG0000196	FEF31_RS00370	FEF30_RS01025
OG0000197	FEF31_RS00375	FEF30_RS01030
OG0000198	FEF31_RS00390	FEF30_RS01045
OG0000199	FEF31_RS00395	FEF30_RS01050
OG0000200	FEF31_RS00410	FEF30_RS01065
OG0000201	FEF31_RS00420	FEF30_RS01075
OG0000202	FEF31_RS00475	FEF30_RS01130
OG0000203	FEF31_RS00480	FEF30_RS01135
OG0000204	FEF31_RS00485	FEF30_RS01140
OG0000205	FEF31_RS00490	FEF30_RS01145
OG0000206	FEF31_RS00510	FEF30_RS01165
OG0000207	FEF31_RS00525	FEF30_RS01180
OG0000208	FEF31_RS00530	FEF30_RS01185
OG0000209	FEF31_RS00535	FEF30_RS01190
OG0000210	FEF31_RS00580	FEF30_RS01235
OG0000211	FEF31_RS00590	FEF30_RS01245
OG0000212	FEF31_RS00600	FEF30_RS01255
OG0000213	FEF31_RS00605	FEF30_RS01260
OG0000214	FEF31_RS00610	FEF30_RS01265
OG0000215	FEF31_RS00615	FEF30_RS01270
OG0000216	FEF31_RS00620	FEF30_RS01275
OG0000217	FEF31_RS00625	FEF30_RS01280
OG0000218	FEF31_RS00635	FEF30_RS01290
OG0000219	FEF31_RS00640	FEF30_RS01295
OG0000220	FEF31_RS00645	FEF30_RS01300
OG0000221	FEF31_RS00650	FEF30_RS01305
OG0000222	FEF31_RS00655	FEF30_RS01310
OG0000223	FEF31_RS00660	FEF30_RS01315
OG0000224	FEF31_RS00670	FEF30_RS01325
OG0000225	FEF31_RS00680	FEF30_RS01335
OG0000226	FEF31_RS00685	FEF30_RS01340
OG0000227	FEF31_RS00690	FEF30_RS01345
OG0000228	FEF31_RS04770	FEF30_RS04410
OG0000229	FEF31_RS00700	FEF30_RS01355
OG0000230	FEF31_RS00705	FEF30_RS01360
OG0000231	FEF31_RS00715	FEF30_RS01370
OG0000232	FEF31_RS00725	FEF30_RS01380
OG0000233	FEF31_RS00750	FEF30_RS01405
OG0000234	FEF31_RS00785	FEF30_RS01440
OG0000235	FEF31_RS00795	FEF30_RS01450
OG0000236	FEF31_RS00800	FEF30_RS01455
OG0000237	FEF31_RS00805	FEF30_RS01460
OG0000238	FEF31_RS00810	FEF30_RS01465
OG0000239	FEF31_RS02680	FEF30_RS03320
OG0000240	FEF31_RS02685	FEF30_RS03325
OG0000241	FEF31_RS02695	FEF30_RS03335
OG0000242	FEF31_RS02700	FEF30_RS03340
OG0000243	FEF31_RS02705	FEF30_RS03345
OG0000244	FEF31_RS02715	FEF30_RS03355
OG0000245	FEF31_RS02720	FEF30_RS03365
OG0000246	FEF31_RS03410	FEF30_RS00455
OG0000247	FEF31_RS03420	FEF30_RS00465
OG0000248	FEF31_RS03430	FEF30_RS00475
OG0000249	FEF31_RS03435	FEF30_RS03675, FEF30_RS00480
OG0000250	FEF31_RS03450	FEF30_RS00495
OG0000251	FEF31_RS03480	FEF30_RS00525
OG0000252	FEF31_RS03490	FEF30_RS00535
OG0000253	FEF31_RS03495	FEF30_RS00540
OG0000254	FEF31_RS03505	FEF30_RS00550
OG0000255	FEF31_RS03510	FEF30_RS00555
OG0000256	FEF31_RS03515	FEF30_RS00560
OG0000257	FEF31_RS03540	FEF30_RS00585
OG0000258	FEF31_RS03550	FEF30_RS00595
OG0000259	FEF31_RS03580	FEF30_RS00625
OG0000260	FEF31_RS03590	FEF30_RS00635
OG0000261	FEF31_RS04680	FEF30_RS04195
OG0000262	FEF31_RS00010	FEF30_RS00660
OG0000263	FEF31_RS00025	FEF30_RS00675
OG0000264	FEF31_RS00040	FEF30_RS00690
OG0000265	FEF31_RS00050	FEF30_RS00700
OG0000266	FEF31_RS00065	FEF30_RS00715
OG0000267	FEF31_RS00080	FEF30_RS00730
OG0000268	FEF31_RS00085	FEF30_RS00735
OG0000269	FEF31_RS00100	FEF30_RS00750
OG0000270	FEF31_RS04635	FEF30_RS04155
OG0000271	FEF31_RS03160	FEF30_RS00205
OG0000272	FEF31_RS03155	FEF30_RS00200
OG0000273	FEF31_RS03150	FEF30_RS00195
OG0000274	FEF31_RS03130	FEF30_RS00175
OG0000275	FEF31_RS04625	FEF30_RS04145
OG0000276	FEF31_RS03120	FEF30_RS00165
OG0000277	FEF31_RS03110	FEF30_RS00155
OG0000278	FEF31_RS03105	FEF30_RS00150
OG0000279	FEF31_RS03095	FEF30_RS00140
OG0000280	FEF31_RS03090	FEF30_RS00135
OG0000281	FEF31_RS03085	FEF30_RS00130
OG0000282	FEF31_RS04615	FEF30_RS04135
OG0000283	FEF31_RS03055	FEF30_RS00100
OG0000284	FEF31_RS03050	FEF30_RS00095
OG0000285	FEF31_RS04610	FEF30_RS04130
OG0000286	FEF31_RS02155	FEF30_RS02795
OG0000287	FEF31_RS02260	FEF30_RS02895
OG0000288	FEF31_RS02270	FEF30_RS02905
OG0000289	FEF31_RS02275	FEF30_RS02910
OG0000290	FEF31_RS02385	FEF30_RS03020
OG0000291	FEF31_RS02375	FEF30_RS03010
OG0000292	FEF31_RS02370	FEF30_RS03005
OG0000293	FEF31_RS02365	FEF30_RS03000
OG0000294	FEF31_RS02355	FEF30_RS02990
OG0000295	FEF31_RS02350	FEF30_RS02985
OG0000296	FEF31_RS02310	FEF30_RS02945
OG0000297	FEF31_RS02305	FEF30_RS02940
OG0000298	FEF31_RS03445	FEF30_RS00490
OG0000299	FEF31_RS03465	FEF30_RS00510
OG0000300	FEF31_RS00035	FEF30_RS00685
OG0000301	FEF31_RS00070	FEF30_RS00720
OG0000302	FEF31_RS00075	FEF30_RS00725
OG0000303	FEF31_RS00220	FEF30_RS00870
OG0000304	FEF31_RS00730	FEF30_RS01385
OG0000305	FEF31_RS02620	FEF30_RS03260
OG0000306	FEF31_RS02545	FEF30_RS03185
OG0000307	FEF31_RS02510	FEF30_RS03145
OG0000308	FEF31_RS02405	FEF30_RS03040
OG0000309	FEF31_RS02340	FEF30_RS02975
OG0000310	FEF31_RS02265	FEF30_RS02900
OG0000311	FEF31_RS02215	FEF30_RS02855
OG0000312	FEF31_RS02200	FEF30_RS02840
OG0000313	FEF31_RS01260	FEF30_RS01915
OG0000314	FEF31_RS01700	FEF30_RS02335
OG0000315	FEF31_RS01730	FEF30_RS02365
OG0000316	FEF31_RS01740	FEF30_RS02375
OG0000317	FEF31_RS01835	FEF30_RS02470
OG0000318	FEF31_RS04480	FEF30_RS04320
OG0000319	FEF31_RS01970	FEF30_RS02605
OG0000320	FEF31_RS02095	FEF30_RS02735
OG0000321	FEF31_RS00990	FEF30_RS01645
OG0000322	FEF31_RS01040	FEF30_RS01695
OG0000323	FEF31_RS01170	FEF30_RS01825
OG0000324	FEF31_RS02010	FEF30_RS02645
OG0000325	FEF31_RS00355	FEF30_RS01010
OG0000326	FEF31_RS00450	FEF30_RS01105
OG0000327	FEF31_RS00455	FEF30_RS01110
OG0000328	FEF31_RS00540	FEF30_RS01195
OG0000329	FEF31_RS00560	FEF30_RS01215
OG0000330	FEF31_RS00760	FEF30_RS01415
OG0000331	FEF31_RS02710	FEF30_RS03350
OG0000332	FEF31_RS03680	FEF30_RS03460
OG0000333	FEF31_RS03690	FEF30_RS03470
OG0000334	FEF31_RS03790	FEF30_RS03565
OG0000335	FEF31_RS03800	FEF30_RS03575
OG0000336	FEF31_RS04620	FEF30_RS04140
OG0000337	FEF31_RS03240	FEF30_RS00285
OG0000338	FEF31_RS03280	FEF30_RS00325
OG0000339	FEF31_RS02070	FEF30_RS02710
OG0000340	FEF31_RS00970	FEF30_RS01625
OG0000341	FEF31_RS02030	FEF30_RS02665
OG0000342	FEF31_RS00385	FEF30_RS01040
OG0000343	FEF31_RS03700	FEF30_RS03480
OG0000344	FEF31_RS00235	FEF30_RS00885
OG0000345	FEF31_RS00675	FEF30_RS01330
OG0000346	FEF31_RS03080	FEF30_RS00125
OG0000347	FEF31_RS01065	FEF30_RS01720
OG0000348	FEF31_RS00460	FEF30_RS01115
OG0000349	FEF31_RS04630	FEF30_RS04150
OG0000350	FEF31_RS02500	FEF30_RS03135
OG0000351	FEF31_RS00155	FEF30_RS00805
OG0000352	FEF31_RS01680	FEF30_RS02315
OG0000353	FEF31_RS01035	FEF30_RS01690
OG0000354	FEF31_RS00295	FEF30_RS00950
OG0000355	FEF31_RS04470	FEF30_RS04310
OG0000356	FEF31_RS04475	FEF30_RS04315
OG0000357	FEF31_RS04685	FEF30_RS04390
OG0000358	FEF31_RS03665	FEF30_RS03445
OG0000359	FEF31_RS04380	FEF30_RS04215
OG0000360	FEF31_RS03545	FEF30_RS00590
OG0000361	FEF31_RS03575	FEF30_RS00620
OG0000362	FEF31_RS02285	FEF30_RS02920
OG0000363	FEF31_RS01105	FEF30_RS01760
OG0000364	FEF31_RS01635	FEF30_RS02275
OG0000365	FEF31_RS01785	FEF30_RS04335
OG0000366	FEF31_RS01805	FEF30_RS02440
OG0000367	FEF31_RS01815	FEF30_RS02450
OG0000368	FEF31_RS03345	FEF30_RS00390
OG0000369	FEF31_RS04650	FEF30_RS04170
OG0000370	FEF31_RS03305	FEF30_RS00350
OG0000371	FEF31_RS03300	FEF30_RS00345
OG0000372	FEF31_RS03295	FEF30_RS00340
OG0000373	FEF31_RS03270	FEF30_RS00315
OG0000374	FEF31_RS03260	FEF30_RS00305
OG0000375	FEF31_RS01965	FEF30_RS02600
OG0000376	FEF31_RS02110	FEF30_RS02750
OG0000377	FEF31_RS02100	FEF30_RS02740
OG0000378	FEF31_RS00950	FEF30_RS01605
OG0000379	FEF31_RS01030	FEF30_RS01685
OG0000380	FEF31_RS01055	FEF30_RS01710
OG0000381	FEF31_RS01095	FEF30_RS01750
OG0000382	FEF31_RS01125	FEF30_RS01780
OG0000383	FEF31_RS01165	FEF30_RS01820
OG0000384	FEF31_RS00175	FEF30_RS00825
OG0000385	FEF31_RS00180	FEF30_RS00830
OG0000386	FEF31_RS00200	FEF30_RS00850
OG0000387	FEF31_RS00225	FEF30_RS00875
OG0000388	FEF31_RS04370	FEF30_RS04205
OG0000389	FEF31_RS00275	FEF30_RS00930
OG0000390	FEF31_RS02640	FEF30_RS03280
OG0000391	FEF31_RS02630	FEF30_RS03270
OG0000392	FEF31_RS02605	FEF30_RS03245
OG0000393	FEF31_RS04550	FEF30_RS04380
OG0000394	FEF31_RS02475	FEF30_RS03110
OG0000395	FEF31_RS02470	FEF30_RS03105
OG0000396	FEF31_RS02160	FEF30_RS02800
OG0000397	FEF31_RS01665	FEF30_RS02300
OG0000398	FEF31_RS01670	FEF30_RS02305
OG0000399	FEF31_RS01715	FEF30_RS02350
OG0000400	FEF31_RS03625	FEF30_RS03405
OG0000401	FEF31_RS03685	FEF30_RS03465
OG0000402	FEF31_RS03695	FEF30_RS03475
OG0000403	FEF31_RS03705	FEF30_RS03485
OG0000404	FEF31_RS03730	FEF30_RS03510
OG0000405	FEF31_RS04800	FEF30_RS04480
OG0000406	FEF31_RS03805	FEF30_RS03580
OG0000407	FEF31_RS04695	FEF30_RS04400
OG0000408	FEF31_RS03815	FEF30_RS03590
OG0000409	FEF31_RS03820	FEF30_RS03595
OG0000410	FEF31_RS02985	FEF30_RS00030
OG0000411	FEF31_RS02975	FEF30_RS00020
OG0000412	FEF31_RS02970	FEF30_RS00015
OG0000413	FEF31_RS01180	FEF30_RS01835
OG0000414	FEF31_RS01190	FEF30_RS01845
OG0000415	FEF31_RS01195	FEF30_RS01850
OG0000416	FEF31_RS01205	FEF30_RS01860
OG0000417	FEF31_RS02025	FEF30_RS02660
OG0000418	FEF31_RS02020	FEF30_RS02655
OG0000419	FEF31_RS00365	FEF30_RS01020
OG0000420	FEF31_RS00400	FEF30_RS01055
OG0000421	FEF31_RS00435	FEF30_RS01090
OG0000422	FEF31_RS00445	FEF30_RS01100
OG0000423	FEF31_RS00500	FEF30_RS01155
OG0000424	FEF31_RS00505	FEF30_RS01160
OG0000425	FEF31_RS00515	FEF30_RS01170
OG0000426	FEF31_RS04385	FEF30_RS04220
OG0000427	FEF31_RS04390	FEF30_RS04225
OG0000428	FEF31_RS00570	FEF30_RS01225
OG0000429	FEF31_RS00665	FEF30_RS01320
OG0000430	FEF31_RS00710	FEF30_RS01365
OG0000431	FEF31_RS00720	FEF30_RS01375
OG0000432	FEF31_RS00755	FEF30_RS01410
OG0000433	FEF31_RS00770	FEF30_RS01425
OG0000434	FEF31_RS00775	FEF30_RS01430
OG0000435	FEF31_RS00790	FEF30_RS01445
OG0000436	FEF31_RS00815	FEF30_RS01470
OG0000437	FEF31_RS00825	FEF30_RS01480
OG0000438	FEF31_RS00830	FEF30_RS01485
OG0000439	FEF31_RS04400	FEF30_RS04235
OG0000440	FEF31_RS02690	FEF30_RS03330
OG0000441	FEF31_RS02725	FEF30_RS03370
OG0000442	FEF31_RS03415	FEF30_RS00460
OG0000443	FEF31_RS03460	FEF30_RS00505
OG0000444	FEF31_RS03475	FEF30_RS00520
OG0000445	FEF31_RS03500	FEF30_RS00545
OG0000446	FEF31_RS03525	FEF30_RS00570
OG0000447	FEF31_RS03530	FEF30_RS00575
OG0000448	FEF31_RS03560	FEF30_RS00605
OG0000449	FEF31_RS03585	FEF30_RS00630
OG0000450	FEF31_RS03595	FEF30_RS00640
OG0000451	FEF31_RS00030	FEF30_RS00680
OG0000452	FEF31_RS00055	FEF30_RS00705
OG0000453	FEF31_RS00090	FEF30_RS00740
OG0000455	FEF31_RS03185	FEF30_RS00230
OG0000456	FEF31_RS03065	FEF30_RS00110
OG0000457	FEF31_RS03040	FEF30_RS00085
OG0000458	FEF31_RS02255	FEF30_RS02890
OG0000459	FEF31_RS02280	FEF30_RS02915
OG0000460	FEF31_RS02290	FEF30_RS02925
OG0000461	FEF31_RS02335	FEF30_RS02970
OG0000462	FEF31_RS02330	FEF30_RS02965
OG0000463	FEF31_RS02325	FEF30_RS02960
OG0000464	FEF31_RS02320	FEF30_RS02955
OG0000465	FEF31_RS02315	FEF30_RS02950
OG0000466	FEF31_RS00060	FEF30_RS00710
OG0000467	FEF31_RS04530	FEF30_RS04360
OG0000468	FEF31_RS01710	FEF30_RS02345
OG0000469	FEF31_RS01770	FEF30_RS02405
OG0000470	FEF31_RS00495	FEF30_RS01150
OG0000471	FEF31_RS00575	FEF30_RS01230
OG0000472	FEF31_RS02995	FEF30_RS00040
OG0000473	FEF31_RS03170	FEF30_RS00215
OG0000474	FEF31_RS03175	FEF30_RS00220
OG0000475	FEF31_RS03180	FEF30_RS00225
OG0000476	FEF31_RS01215	FEF30_RS01870
OG0000477	FEF31_RS02360	FEF30_RS02995
OG0000478	FEF31_RS03115	FEF30_RS00160
OG0000479	FEF31_RS00985	FEF30_RS01640
