Orthogroup	MHP_UFV02_genes	MFC_Ms42_genes
OG0000310	FEF31_RS02265	MYF_RS01085
OG0000311	FEF31_RS02215	MYF_RS01140
OG0000312	FEF31_RS02200	MYF_RS01160
OG0000313	FEF31_RS01260	MYF_RS01210
OG0000314	FEF31_RS01700	MYF_RS01280
OG0000315	FEF31_RS01730	MYF_RS01310
OG0000316	FEF31_RS01740	MYF_RS01320
OG0000317	FEF31_RS01835	MYF_RS01360
OG0000318	FEF31_RS04480	MYF_RS01450
OG0000319	FEF31_RS01970	MYF_RS01555
OG0000320	FEF31_RS02095	MYF_RS01620
OG0000321	FEF31_RS00990	MYF_RS01685
OG0000322	FEF31_RS01040	MYF_RS01730
OG0000323	FEF31_RS01170	MYF_RS01860
OG0000324	FEF31_RS02010	MYF_RS01960
OG0000325	FEF31_RS00355	MYF_RS02000
OG0000326	FEF31_RS00450	MYF_RS02090
OG0000327	FEF31_RS00455	MYF_RS02095
OG0000328	FEF31_RS00540	MYF_RS02180
OG0000329	FEF31_RS00560	MYF_RS02200
OG0000330	FEF31_RS00760	MYF_RS02380
OG0000331	FEF31_RS02710	MYF_RS02495
OG0000332	FEF31_RS03680	MYF_RS02635
OG0000333	FEF31_RS03690	MYF_RS02645
OG0000334	FEF31_RS03790	MYF_RS02715
OG0000335	FEF31_RS03800	MYF_RS02725
OG0000336	FEF31_RS04620	MYF_RS02870
OG0000337	FEF31_RS03240	MYF_RS03105
OG0000338	FEF31_RS03280	MYF_RS03145
OG0000339	FEF31_RS02070	MYF_RS01640
OG0000340	FEF31_RS00970	MYF_RS01665
OG0000341	FEF31_RS02030	MYF_RS01940
OG0000342	FEF31_RS00385	MYF_RS02030
OG0000343	FEF31_RS03700	MYF_RS02655
OG0000344	FEF31_RS00235	MYF_RS00530
OG0000345	FEF31_RS00675	MYF_RS02310
OG0000346	FEF31_RS03080	MYF_RS02875
OG0000347	FEF31_RS01065	MYF_RS01755
OG0000348	FEF31_RS00460	MYF_RS02100
OG0000349	FEF31_RS04630	MYF_RS02930
OG0000350	FEF31_RS02500	MYF_RS03360
OG0000351	FEF31_RS00155	MYF_RS00465
OG0000352	FEF31_RS01680	MYF_RS01260
OG0000353	FEF31_RS01035	MYF_RS01725
OG0000354	FEF31_RS00295	MYF_RS00580
OG0000355	FEF31_RS04470	MYF_RS01235
OG0000356	FEF31_RS04475	MYF_RS01315
OG0000357	FEF31_RS04685	MYF_RS02615
OG0000358	FEF31_RS03665	MYF_RS02620
OG0000359	FEF31_RS04380	MYF_RS02070
OG0000360	FEF31_RS03545	MYF_RS00240
OG0000361	FEF31_RS03575	MYF_RS00270
OG0000362	FEF31_RS02285	MYF_RS01065
OG0000363	FEF31_RS01105	MYF_RS01795
OG0000365	FEF31_RS01785	MYF_RS01420
OG0000366	FEF31_RS01805	MYF_RS01390
OG0000367	FEF31_RS01815	MYF_RS01380
OG0000368	FEF31_RS03345	MYF_RS00060
OG0000369	FEF31_RS04650	MYF_RS00025
OG0000370	FEF31_RS03305	MYF_RS00020
OG0000371	FEF31_RS03300	MYF_RS00015
OG0000372	FEF31_RS03295	MYF_RS00010
OG0000373	FEF31_RS03270	MYF_RS03135
OG0000374	FEF31_RS03260	MYF_RS03125
OG0000375	FEF31_RS01965	MYF_RS01550
OG0000376	FEF31_RS02110	MYF_RS01605
OG0000377	FEF31_RS02100	MYF_RS01615
OG0000378	FEF31_RS00950	MYF_RS01650
OG0000379	FEF31_RS01030	MYF_RS01720
OG0000380	FEF31_RS01055	MYF_RS01745
OG0000381	FEF31_RS01095	MYF_RS01785
OG0000382	FEF31_RS01125	MYF_RS01815
OG0000383	FEF31_RS01165	MYF_RS01855
OG0000384	FEF31_RS00175	MYF_RS00470
OG0000385	FEF31_RS00180	MYF_RS00475
OG0000386	FEF31_RS00200	MYF_RS00495
OG0000387	FEF31_RS00225	MYF_RS00520
OG0000388	FEF31_RS04370	MYF_RS00525
OG0000389	FEF31_RS00275	MYF_RS00560
OG0000390	FEF31_RS02640	MYF_RS00670
OG0000391	FEF31_RS02630	MYF_RS00680
OG0000392	FEF31_RS02605	MYF_RS00705
OG0000393	FEF31_RS04550	MYF_RS00760
OG0000394	FEF31_RS02475	MYF_RS00825
OG0000395	FEF31_RS02470	MYF_RS00830
OG0000396	FEF31_RS02160	MYF_RS01200
OG0000397	FEF31_RS01665	MYF_RS01245
OG0000398	FEF31_RS01670	MYF_RS01250
OG0000399	FEF31_RS01715	MYF_RS01295
OG0000400	FEF31_RS03625	MYF_RS02580
OG0000401	FEF31_RS03685	MYF_RS02640
OG0000402	FEF31_RS03695	MYF_RS02650
OG0000403	FEF31_RS03705	MYF_RS02660
OG0000404	FEF31_RS03730	MYF_RS02685
OG0000405	FEF31_RS04800	MYF_RS02700
OG0000406	FEF31_RS03805	MYF_RS02730
OG0000407	FEF31_RS04695	MYF_RS02735
OG0000408	FEF31_RS03815	MYF_RS02740
OG0000409	FEF31_RS03820	MYF_RS02745
OG0000410	FEF31_RS02985	MYF_RS02780
OG0000411	FEF31_RS02975	MYF_RS02790
OG0000412	FEF31_RS02970	MYF_RS02795
OG0000413	FEF31_RS01180	MYF_RS01890
OG0000414	FEF31_RS01190	MYF_RS01900
OG0000415	FEF31_RS01195	MYF_RS01905
OG0000416	FEF31_RS01205	MYF_RS01915
OG0000417	FEF31_RS02025	MYF_RS01945
OG0000418	FEF31_RS02020	MYF_RS01950
OG0000419	FEF31_RS00365	MYF_RS02010
OG0000420	FEF31_RS00400	MYF_RS02045
OG0000421	FEF31_RS00435	MYF_RS02075
OG0000422	FEF31_RS00445	MYF_RS02085
OG0000423	FEF31_RS00500	MYF_RS02140
OG0000424	FEF31_RS00505	MYF_RS02145
OG0000425	FEF31_RS00515	MYF_RS02155
OG0000426	FEF31_RS04385	MYF_RS02160
OG0000427	FEF31_RS04390	MYF_RS02185
OG0000428	FEF31_RS00570	MYF_RS02210
OG0000429	FEF31_RS00665	MYF_RS02300
OG0000430	FEF31_RS00710	MYF_RS02345
OG0000431	FEF31_RS00720	MYF_RS02355
OG0000432	FEF31_RS00755	MYF_RS02375
OG0000433	FEF31_RS00770	MYF_RS02385
OG0000434	FEF31_RS00775	MYF_RS02390
OG0000435	FEF31_RS00790	MYF_RS02405
OG0000436	FEF31_RS00815	MYF_RS02440
OG0000437	FEF31_RS00825	MYF_RS02450
OG0000438	FEF31_RS00830	MYF_RS02455
OG0000439	FEF31_RS04400	MYF_RS02460
OG0000440	FEF31_RS02690	MYF_RS02475
OG0000441	FEF31_RS02725	MYF_RS02515
OG0000442	FEF31_RS03415	MYF_RS00090
OG0000443	FEF31_RS03460	MYF_RS00150
OG0000444	FEF31_RS03475	MYF_RS00165
OG0000445	FEF31_RS03500	MYF_RS00190
OG0000446	FEF31_RS03525	MYF_RS00220
OG0000447	FEF31_RS03530	MYF_RS00225
OG0000448	FEF31_RS03560	MYF_RS00255
OG0000449	FEF31_RS03585	MYF_RS00280
OG0000450	FEF31_RS03595	MYF_RS00290
OG0000451	FEF31_RS00030	MYF_RS00330
OG0000452	FEF31_RS00055	MYF_RS00355
OG0000453	FEF31_RS00090	MYF_RS00390
OG0000455	FEF31_RS03185	MYF_RS02975
OG0000456	FEF31_RS03065	MYF_RS02860
OG0000457	FEF31_RS03040	MYF_RS02835
OG0000458	FEF31_RS02255	MYF_RS01095
OG0000459	FEF31_RS02280	MYF_RS01070
OG0000460	FEF31_RS02290	MYF_RS01060
OG0000461	FEF31_RS02335	MYF_RS01010
OG0000462	FEF31_RS02330	MYF_RS01015
OG0000463	FEF31_RS02325	MYF_RS01020
OG0000464	FEF31_RS02320	MYF_RS01030
OG0000465	FEF31_RS02315	MYF_RS01035
OG0000466	FEF31_RS00060	MYF_RS00360
OG0000467	FEF31_RS04530	MYF_RS03505
OG0000468	FEF31_RS01710	MYF_RS01290
OG0000469	FEF31_RS01770	MYF_RS01425
OG0000470	FEF31_RS00495	MYF_RS02135
OG0000471	FEF31_RS00575	MYF_RS02215
OG0000472	FEF31_RS02995	MYF_RS03535
OG0000473	FEF31_RS03170	MYF_RS02960
OG0000474	FEF31_RS03175	MYF_RS02965
OG0000475	FEF31_RS03180	MYF_RS02970
OG0000476	FEF31_RS01215	MYF_RS03040
OG0000477	FEF31_RS02360	MYF_RS00930
OG0000478	FEF31_RS03115	MYF_RS02905
OG0000479	FEF31_RS00985	MYF_RS01680
OG0000480	FEF31_RS01775	MYF_RS03350
OG0000481	FEF31_RS00470	MYF_RS02110
OG0000482	FEF31_RS00865	MYF_RS01975
OG0000483	FEF31_RS01820	MYF_RS01375
OG0000484	FEF31_RS04675	MYF_RS00160
OG0000485	FEF31_RS00820	MYF_RS02445
OG0000486	FEF31_RS02045	MYF_RS01925
OG0000487	FEF31_RS04485	MYF_RS01445
OG0000488	FEF31_RS01790	MYF_RS01405
OG0000489	FEF31_RS03335	MYF_RS00050
OG0000490	FEF31_RS03275	MYF_RS03140
OG0000491	FEF31_RS01005	MYF_RS01700
OG0000492	FEF31_RS01085	MYF_RS01775
OG0000493	FEF31_RS00240	MYF_RS00535
OG0000494	FEF31_RS00300	MYF_RS00585
OG0000495	FEF31_RS02575	MYF_RS00735
OG0000496	FEF31_RS02565	MYF_RS00745
OG0000497	FEF31_RS02560	MYF_RS00750
OG0000498	FEF31_RS02480	MYF_RS00820
OG0000499	FEF31_RS02445	MYF_RS00865
OG0000500	FEF31_RS01675	MYF_RS01255
OG0000502	FEF31_RS00855	MYF_RS01985
OG0000503	FEF31_RS00415	MYF_RS02055
OG0000504	FEF31_RS00550	MYF_RS02190
OG0000505	FEF31_RS00585	MYF_RS02225
OG0000506	FEF31_RS00595	MYF_RS02235
OG0000507	FEF31_RS00630	MYF_RS02270
OG0000508	FEF31_RS03520	MYF_RS00215
OG0000509	FEF31_RS03555	MYF_RS00250
OG0000510	FEF31_RS03565	MYF_RS00260
OG0000511	FEF31_RS00095	MYF_RS00395
OG0000512	FEF31_RS02295	MYF_RS01055
OG0000513	FEF31_RS03100	MYF_RS02890
OG0000514	FEF31_RS02600	MYF_RS00710
OG0000516	FEF31_RS04490	MYF_RS01440
OG0000517	FEF31_RS03350	MYF_RS00065
OG0000518	FEF31_RS03675	MYF_RS02630
OG0000519	FEF31_RS00440	MYF_RS02080
OG0000520	FEF31_RS00565	MYF_RS02205
OG0000521	FEF31_RS03535	MYF_RS00230
OG0000522	FEF31_RS03570	MYF_RS00265
OG0000523	FEF31_RS03035	MYF_RS02830
OG0000524	FEF31_RS02410	MYF_RS00890
OG0000528	FEF31_RS01760	MYF_RS01435
OG0000529	FEF31_RS01980	MYF_RS01565
OG0000530	FEF31_RS02080	MYF_RS01630
OG0000531	FEF31_RS01060	MYF_RS01750
OG0000532	FEF31_RS01290	MYF_RS00620
OG0000533	FEF31_RS00260	MYF_RS02365
OG0000534	FEF31_RS00045	MYF_RS00345
OG0000535	FEF31_RS04655	MYF_RS00045
OG0000536	FEF31_RS03215	MYF_RS03070
OG0000537	FEF31_RS00380	MYF_RS02025
OG0000538	FEF31_RS00780	MYF_RS02395
OG0000539	FEF31_RS03485	MYF_RS00175
OG0000540	FEF31_RS02380	MYF_RS00910
OG0000541	FEF31_RS02460	MYF_RS00850
OG0000542	FEF31_RS00015	MYF_RS00315
OG0000547	FEF31_RS02650	MYF_RS00660
OG0000548	FEF31_RS01255	MYF_RS01205
OG0000549	FEF31_RS04580	MYF_RS02805
OG0000550	FEF31_RS03135	MYF_RS02925
OG0000555	FEF31_RS02655	MYF_RS03410
OG0000589	FEF31_RS01890	MYF_RS03220
OG0000595	FEF31_RS02735	MYF_RS02570
OG0000596	FEF31_RS01490	MYF_RS00110
OG0000597	FEF31_RS02730	MYF_RS02565
OG0000598	FEF31_RS01495	MYF_RS00105
OG0000599	FEF31_RS01500	MYF_RS00100
