Orthogroup	MHP_MHP709_genes	MHP_ES2L_genes
OG0000033	DR088_RS02375	HZK19_RS03820, HZK19_RS02375, HZK19_RS03815
OG0000034	DR088_RS03290	HZK19_RS03770
OG0000034	DR088_RS04225	HZK19_RS03775
OG0000035	DR088_RS03395	HZK19_RS03235
OG0000035	DR088_RS01530	HZK19_RS03225
OG0000036	DR088_RS03305	HZK19_RS00100
OG0000036	DR088_RS04245	HZK19_RS03705, HZK19_RS03710
OG0000037	DR088_RS03355	HZK19_RS01550
OG0000038	DR088_RS01015	HZK19_RS01710, HZK19_RS03945
OG0000039	DR088_RS03410	HZK19_RS01580
OG0000040	DR088_RS02000	HZK19_RS03325
OG0000041	DR088_RS03850	HZK19_RS01160
OG0000042	DR088_RS03180	HZK19_RS02900
OG0000043	DR088_RS00525	HZK19_RS01875
OG0000044	DR088_RS04645	HZK19_RS03955
OG0000044	DR088_RS00390	HZK19_RS01755
OG0000045	DR088_RS03415	HZK19_RS01585
OG0000048	DR088_RS00705	HZK19_RS02065
OG0000049	DR088_RS01390	HZK19_RS02995
OG0000050	DR088_RS02980	HZK19_RS02415
OG0000051	DR088_RS00080	HZK19_RS02620
OG0000052	DR088_RS01925	HZK19_RS00075
OG0000053	DR088_RS04530	HZK19_RS01415
OG0000054	DR088_RS03005	HZK19_RS02440
OG0000055	DR088_RS03550	HZK19_RS00120
OG0000056	DR088_RS02115	HZK19_RS03580
OG0000057	DR088_RS00335	HZK19_RS02885
OG0000060	DR088_RS03970	HZK19_RS00080
OG0000061	DR088_RS00460	HZK19_RS01820
OG0000062	DR088_RS01815	HZK19_RS03630
OG0000063	DR088_RS01810	HZK19_RS03625
OG0000064	DR088_RS01800	HZK19_RS03615
OG0000065	DR088_RS02890	HZK19_RS02220
OG0000066	DR088_RS02630	HZK19_RS01320
OG0000067	DR088_RS03390	HZK19_RS00515
OG0000068	DR088_RS00735	HZK19_RS00635
OG0000069	DR088_RS00230	HZK19_RS02780
OG0000070	DR088_RS03010	HZK19_RS02445
OG0000071	DR088_RS01990	HZK19_RS03315
OG0000072	DR088_RS04430	HZK19_RS03320
OG0000073	DR088_RS02825	HZK19_RS00680
OG0000074	DR088_RS04395	HZK19_RS00875
OG0000075	DR088_RS01175	HZK19_RS00325
OG0000076	DR088_RS01160	HZK19_RS00340
OG0000077	DR088_RS01070	HZK19_RS00425
OG0000078	DR088_RS02335	HZK19_RS01645
OG0000079	DR088_RS03130	HZK19_RS02525
OG0000080	DR088_RS03700	HZK19_RS02570
OG0000081	DR088_RS01180	HZK19_RS00320
OG0000082	DR088_RS04125, DR088_RS04120	HZK19_RS02365
OG0000083	DR088_RS00630	HZK19_RS01985
OG0000084	DR088_RS00655	HZK19_RS02015
OG0000085	DR088_RS00660	HZK19_RS02020
OG0000086	DR088_RS00670	HZK19_RS02030
OG0000087	DR088_RS00685	HZK19_RS02045
OG0000088	DR088_RS00690	HZK19_RS02050
OG0000089	DR088_RS00700	HZK19_RS02060
OG0000090	DR088_RS01920	HZK19_RS00070
OG0000091	DR088_RS01905	HZK19_RS00055
OG0000092	DR088_RS01890	HZK19_RS00040
OG0000093	DR088_RS01885	HZK19_RS00035
OG0000094	DR088_RS01880	HZK19_RS00030
OG0000095	DR088_RS01855	HZK19_RS00005
OG0000096	DR088_RS01850	HZK19_RS03665
OG0000097	DR088_RS01830	HZK19_RS03645
OG0000098	DR088_RS01820	HZK19_RS03635
OG0000099	DR088_RS04460	HZK19_RS03585
OG0000100	DR088_RS02105	HZK19_RS03570
OG0000101	DR088_RS02100	HZK19_RS03565
OG0000102	DR088_RS02310	HZK19_RS01675
OG0000103	DR088_RS02855	HZK19_RS02185
OG0000104	DR088_RS02860	HZK19_RS02190
OG0000105	DR088_RS02875	HZK19_RS02205
OG0000106	DR088_RS02885	HZK19_RS02215
OG0000107	DR088_RS02895	HZK19_RS02225
OG0000108	DR088_RS02900	HZK19_RS02230
OG0000109	DR088_RS02905	HZK19_RS02235
OG0000110	DR088_RS02395	HZK19_RS02355
OG0000111	DR088_RS02400	HZK19_RS02350
OG0000112	DR088_RS02410	HZK19_RS02340
OG0000113	DR088_RS04525	HZK19_RS02320
OG0000114	DR088_RS02440	HZK19_RS02310
OG0000115	DR088_RS02455	HZK19_RS02300
OG0000116	DR088_RS01000	HZK19_RS01265
OG0000117	DR088_RS01005	HZK19_RS01270
OG0000118	DR088_RS02615	HZK19_RS01305
OG0000119	DR088_RS02620	HZK19_RS01310
OG0000120	DR088_RS02635	HZK19_RS01325
OG0000121	DR088_RS02660	HZK19_RS01350
OG0000122	DR088_RS02665	HZK19_RS01355
OG0000123	DR088_RS02685	HZK19_RS01375
OG0000124	DR088_RS02690	HZK19_RS01380
OG0000125	DR088_RS02695	HZK19_RS01385
OG0000126	DR088_RS02465	HZK19_RS01395
OG0000127	DR088_RS02475	HZK19_RS01405
OG0000128	DR088_RS02490	HZK19_RS01420
OG0000129	DR088_RS02495	HZK19_RS01425
OG0000130	DR088_RS02505	HZK19_RS01435
OG0000131	DR088_RS04535	HZK19_RS01465
OG0000132	DR088_RS04540	HZK19_RS01480
OG0000133	DR088_RS03100	HZK19_RS00520
OG0000134	DR088_RS03095	HZK19_RS00525
OG0000135	DR088_RS03080	HZK19_RS00540
OG0000136	DR088_RS03075	HZK19_RS00545
OG0000137	DR088_RS03045	HZK19_RS00575
OG0000138	DR088_RS00760	HZK19_RS00610
OG0000139	DR088_RS00730	HZK19_RS00640
OG0000140	DR088_RS00725	HZK19_RS00645
OG0000141	DR088_RS00345	HZK19_RS02895
OG0000142	DR088_RS04315	HZK19_RS02890
OG0000143	DR088_RS00320	HZK19_RS02870
OG0000144	DR088_RS00310	HZK19_RS02860
OG0000145	DR088_RS00300	HZK19_RS02850
OG0000146	DR088_RS00290	HZK19_RS02840
OG0000147	DR088_RS00285	HZK19_RS02835
OG0000148	DR088_RS00270	HZK19_RS02820
OG0000149	DR088_RS00260	HZK19_RS02810
OG0000150	DR088_RS00245	HZK19_RS02795
OG0000151	DR088_RS00200	HZK19_RS02750
OG0000152	DR088_RS00195	HZK19_RS02745
OG0000153	DR088_RS00190	HZK19_RS02740
OG0000154	DR088_RS00180	HZK19_RS02730
OG0000155	DR088_RS00140	HZK19_RS02690
OG0000156	DR088_RS00130	HZK19_RS02680
OG0000157	DR088_RS04305	HZK19_RS02675
OG0000158	DR088_RS04300	HZK19_RS03895
OG0000159	DR088_RS02995	HZK19_RS03970
OG0000160	DR088_RS02990	HZK19_RS02425
OG0000161	DR088_RS02985	HZK19_RS02420
OG0000162	DR088_RS02975	HZK19_RS02410
OG0000163	DR088_RS02970	HZK19_RS02405
OG0000164	DR088_RS03330	HZK19_RS01575
OG0000165	DR088_RS00550	HZK19_RS01905
OG0000166	DR088_RS00570	HZK19_RS01925
OG0000167	DR088_RS00585	HZK19_RS01940
OG0000168	DR088_RS00590	HZK19_RS01945
OG0000169	DR088_RS01385	HZK19_RS02990
OG0000170	DR088_RS01400	HZK19_RS03005
OG0000171	DR088_RS01410	HZK19_RS03110
OG0000172	DR088_RS01420	HZK19_RS03115
OG0000173	DR088_RS01425	HZK19_RS03120
OG0000174	DR088_RS01430	HZK19_RS03125
OG0000175	DR088_RS01445	HZK19_RS03140
OG0000176	DR088_RS01495	HZK19_RS03190
OG0000177	DR088_RS01500	HZK19_RS03195
OG0000178	DR088_RS01505	HZK19_RS03200
OG0000179	DR088_RS01515	HZK19_RS03210
OG0000180	DR088_RS01520	HZK19_RS03215
OG0000181	DR088_RS04610	HZK19_RS03265
OG0000182	DR088_RS03500	HZK19_RS03275
OG0000183	DR088_RS01985	HZK19_RS03310
OG0000184	DR088_RS02025	HZK19_RS03355
OG0000185	DR088_RS02010	HZK19_RS03340
OG0000186	DR088_RS04545	HZK19_RS01490
OG0000187	DR088_RS02575	HZK19_RS01505
OG0000188	DR088_RS02585	HZK19_RS01515
OG0000189	DR088_RS04560	HZK19_RS02270
OG0000190	DR088_RS02935	HZK19_RS02265
OG0000191	DR088_RS02915	HZK19_RS02245
OG0000192	DR088_RS00920	HZK19_RS01180
OG0000193	DR088_RS00905	HZK19_RS01175
OG0000194	DR088_RS02840	HZK19_RS00665
OG0000195	DR088_RS02835	HZK19_RS00670
OG0000196	DR088_RS02815	HZK19_RS00690
OG0000197	DR088_RS02810	HZK19_RS00695
OG0000198	DR088_RS02795	HZK19_RS00710
OG0000199	DR088_RS02790	HZK19_RS00715
OG0000200	DR088_RS02775	HZK19_RS00730
OG0000201	DR088_RS02765	HZK19_RS00740
OG0000202	DR088_RS02710	HZK19_RS00795
OG0000203	DR088_RS02705	HZK19_RS00800
OG0000204	DR088_RS04410	HZK19_RS00805
OG0000205	DR088_RS01790	HZK19_RS00810
OG0000206	DR088_RS01770	HZK19_RS00830
OG0000207	DR088_RS01755	HZK19_RS00845
OG0000208	DR088_RS01750	HZK19_RS00850
OG0000209	DR088_RS01745	HZK19_RS00855
OG0000210	DR088_RS01700	HZK19_RS00900
OG0000211	DR088_RS01690	HZK19_RS00910
OG0000212	DR088_RS01680	HZK19_RS00920
OG0000213	DR088_RS01675	HZK19_RS00925
OG0000214	DR088_RS01670	HZK19_RS00930
OG0000215	DR088_RS01665	HZK19_RS00935
OG0000216	DR088_RS01660	HZK19_RS00940
OG0000217	DR088_RS01655	HZK19_RS00945
OG0000218	DR088_RS01645	HZK19_RS00955
OG0000219	DR088_RS01640	HZK19_RS00960
OG0000220	DR088_RS01635	HZK19_RS00965
OG0000221	DR088_RS01630	HZK19_RS00970
OG0000222	DR088_RS01625	HZK19_RS00975
OG0000223	DR088_RS01620	HZK19_RS00980
OG0000224	DR088_RS01610	HZK19_RS00990
OG0000225	DR088_RS01600	HZK19_RS01000
OG0000226	DR088_RS01595	HZK19_RS01005
OG0000227	DR088_RS01590	HZK19_RS01010
OG0000228	DR088_RS04640	HZK19_RS03950
OG0000229	DR088_RS01580	HZK19_RS01020
OG0000230	DR088_RS01575	HZK19_RS01025
OG0000231	DR088_RS01565	HZK19_RS01035
OG0000232	DR088_RS01555	HZK19_RS01045
OG0000233	DR088_RS00790	HZK19_RS01070
OG0000234	DR088_RS00825	HZK19_RS01105
OG0000235	DR088_RS00835	HZK19_RS01115
OG0000236	DR088_RS00840	HZK19_RS01120
OG0000237	DR088_RS00845	HZK19_RS01125
OG0000238	DR088_RS00855	HZK19_RS01130
OG0000239	DR088_RS03185	HZK19_RS02905
OG0000240	DR088_RS03190	HZK19_RS02910
OG0000241	DR088_RS03200	HZK19_RS02920
OG0000242	DR088_RS03205	HZK19_RS02925
OG0000243	DR088_RS03210	HZK19_RS02930
OG0000244	DR088_RS03220	HZK19_RS02940
OG0000245	DR088_RS03230	HZK19_RS02950
OG0000246	DR088_RS03555	HZK19_RS00125
OG0000247	DR088_RS03610	HZK19_RS00135
OG0000248	DR088_RS01365	HZK19_RS00145
OG0000249	DR088_RS01360	HZK19_RS00150
OG0000250	DR088_RS01345	HZK19_RS00165
OG0000251	DR088_RS01310	HZK19_RS00195
OG0000252	DR088_RS01300	HZK19_RS00205
OG0000253	DR088_RS01295	HZK19_RS00210
OG0000254	DR088_RS01285	HZK19_RS00220
OG0000255	DR088_RS01275	HZK19_RS00225
OG0000256	DR088_RS01270	HZK19_RS00230
OG0000257	DR088_RS01245	HZK19_RS00255
OG0000258	DR088_RS01235	HZK19_RS00265
OG0000259	DR088_RS01205	HZK19_RS00295
OG0000260	DR088_RS01195	HZK19_RS00305
OG0000261	DR088_RS04380	HZK19_RS00315
OG0000262	DR088_RS01170	HZK19_RS00330
OG0000263	DR088_RS01155	HZK19_RS00345
OG0000264	DR088_RS01140	HZK19_RS00360
OG0000265	DR088_RS01130	HZK19_RS00370
OG0000266	DR088_RS01115	HZK19_RS00385
OG0000267	DR088_RS01100	HZK19_RS00400
OG0000268	DR088_RS01095	HZK19_RS00405
OG0000269	DR088_RS01080	HZK19_RS00420
OG0000270	DR088_RS04455	HZK19_RS03540
OG0000271	DR088_RS02070	HZK19_RS03535
OG0000272	DR088_RS02065	HZK19_RS03530
OG0000273	DR088_RS02060	HZK19_RS03525
OG0000274	DR088_RS02160	HZK19_RS03505
OG0000275	DR088_RS04480	HZK19_RS03500
OG0000276	DR088_RS02170	HZK19_RS03495
OG0000277	DR088_RS02180	HZK19_RS03485
OG0000278	DR088_RS02185	HZK19_RS03480
OG0000279	DR088_RS02195	HZK19_RS03470
OG0000280	DR088_RS02200	HZK19_RS03465
OG0000281	DR088_RS02205	HZK19_RS03460
OG0000282	DR088_RS04490	HZK19_RS03435
OG0000283	DR088_RS02235	HZK19_RS03430
OG0000284	DR088_RS02240	HZK19_RS03425
OG0000285	DR088_RS04495	HZK19_RS03420
OG0000286	DR088_RS02955	HZK19_RS02390
OG0000287	DR088_RS03170	HZK19_RS02485
OG0000288	DR088_RS03160	HZK19_RS02495
OG0000289	DR088_RS03155	HZK19_RS02500
OG0000290	DR088_RS00070	HZK19_RS02610
OG0000291	DR088_RS00060	HZK19_RS02600
OG0000292	DR088_RS00055	HZK19_RS02595
OG0000293	DR088_RS00050	HZK19_RS02590
OG0000294	DR088_RS00040	HZK19_RS02580
OG0000295	DR088_RS00035	HZK19_RS02575
OG0000296	DR088_RS03120	HZK19_RS02535
OG0000297	DR088_RS03125	HZK19_RS02530
OG0000298	DR088_RS01350	HZK19_RS00160
OG0000299	DR088_RS01325	HZK19_RS00180
OG0000300	DR088_RS01145	HZK19_RS00355
OG0000301	DR088_RS01110	HZK19_RS00390
OG0000302	DR088_RS01105	HZK19_RS00395
OG0000303	DR088_RS03070	HZK19_RS00550
OG0000304	DR088_RS01550	HZK19_RS01055
OG0000305	DR088_RS00295	HZK19_RS02845
OG0000306	DR088_RS00220	HZK19_RS02770
OG0000307	DR088_RS00185	HZK19_RS02735
OG0000308	DR088_RS00090	HZK19_RS02635
OG0000309	DR088_RS00025	HZK19_RS02565
OG0000310	DR088_RS03165	HZK19_RS02490
OG0000311	DR088_RS03015	HZK19_RS02450
OG0000312	DR088_RS03000	HZK19_RS02435
OG0000313	DR088_RS03340	HZK19_RS01565
OG0000314	DR088_RS00565	HZK19_RS01920
OG0000315	DR088_RS00595	HZK19_RS01950
OG0000316	DR088_RS00605	HZK19_RS01960
OG0000317	DR088_RS00695	HZK19_RS02055
OG0000318	DR088_RS04330	HZK19_RS01965
OG0000319	DR088_RS02870	HZK19_RS02200
OG0000320	DR088_RS02420	HZK19_RS02330
OG0000321	DR088_RS02610	HZK19_RS01300
OG0000322	DR088_RS02655	HZK19_RS01345
OG0000323	DR088_RS02545	HZK19_RS01475
OG0000324	DR088_RS02910	HZK19_RS02240
OG0000325	DR088_RS02830	HZK19_RS00675
OG0000326	DR088_RS02735	HZK19_RS00770
OG0000327	DR088_RS02730	HZK19_RS00775
OG0000328	DR088_RS01740	HZK19_RS00860
OG0000329	DR088_RS01720	HZK19_RS00880
OG0000330	DR088_RS00800	HZK19_RS01080
OG0000331	DR088_RS03215	HZK19_RS02935
OG0000332	DR088_RS01455	HZK19_RS03150
OG0000333	DR088_RS01465	HZK19_RS03160
OG0000334	DR088_RS03505	HZK19_RS03270
OG0000335	DR088_RS01955	HZK19_RS03280
OG0000336	DR088_RS04485	HZK19_RS03450
OG0000337	DR088_RS01805	HZK19_RS03620
OG0000338	DR088_RS01845	HZK19_RS03660
OG0000339	DR088_RS02450	HZK19_RS02305
OG0000340	DR088_RS04665	HZK19_RS01280
OG0000341	DR088_RS02930	HZK19_RS02260
OG0000342	DR088_RS02800	HZK19_RS00705
OG0000343	DR088_RS01475	HZK19_RS03170
OG0000344	DR088_RS03055	HZK19_RS00565
OG0000345	DR088_RS01605	HZK19_RS00995
OG0000346	DR088_RS02210	HZK19_RS03455
OG0000347	DR088_RS02680	HZK19_RS01370
OG0000348	DR088_RS02725	HZK19_RS00780
OG0000349	DR088_RS04475	HZK19_RS03515
OG0000350	DR088_RS00175	HZK19_RS02725
OG0000351	DR088_RS01020	HZK19_RS00480
OG0000352	DR088_RS00545	HZK19_RS01895
OG0000353	DR088_RS02650	HZK19_RS01340
OG0000354	DR088_RS00745	HZK19_RS00625
OG0000355	DR088_RS04320	HZK19_RS01870
OG0000356	DR088_RS04325	HZK19_RS01955
OG0000357	DR088_RS04390	HZK19_RS03130
OG0000358	DR088_RS01440	HZK19_RS03135
OG0000359	DR088_RS04555	HZK19_RS00750
OG0000360	DR088_RS01240	HZK19_RS00260
OG0000361	DR088_RS01210	HZK19_RS00290
OG0000362	DR088_RS03145	HZK19_RS02510
OG0000363	DR088_RS02480	HZK19_RS03730
OG0000364	DR088_RS00490	HZK19_RS03760, HZK19_RS01855
OG0000365	DR088_RS04350	HZK19_RS02000
OG0000366	DR088_RS00665	HZK19_RS02025
OG0000367	DR088_RS00675	HZK19_RS02035
OG0000368	DR088_RS01910	HZK19_RS00060
OG0000369	DR088_RS04415	HZK19_RS00025
OG0000370	DR088_RS01870	HZK19_RS00020
OG0000371	DR088_RS01865	HZK19_RS00015
OG0000372	DR088_RS01860	HZK19_RS00010
OG0000373	DR088_RS01835	HZK19_RS03650
OG0000374	DR088_RS01825	HZK19_RS03640
OG0000375	DR088_RS02865	HZK19_RS02195
OG0000376	DR088_RS02405	HZK19_RS02345
OG0000377	DR088_RS02415	HZK19_RS02335
OG0000378	DR088_RS00995	HZK19_RS01260
OG0000379	DR088_RS02645	HZK19_RS01335
OG0000380	DR088_RS02670	HZK19_RS01360
OG0000381	DR088_RS02470	HZK19_RS01400
OG0000382	DR088_RS02500	HZK19_RS01430
OG0000383	DR088_RS02540	HZK19_RS01470
OG0000384	DR088_RS03375	HZK19_RS00505
OG0000385	DR088_RS03380	HZK19_RS00510
OG0000386	DR088_RS03090	HZK19_RS00530
OG0000387	DR088_RS03065	HZK19_RS00555
OG0000388	DR088_RS04570	HZK19_RS00560
OG0000389	DR088_RS00765	HZK19_RS00605
OG0000390	DR088_RS00315	HZK19_RS02865
OG0000391	DR088_RS00305	HZK19_RS02855
OG0000392	DR088_RS00280	HZK19_RS02830
OG0000393	DR088_RS04310	HZK19_RS02775
OG0000394	DR088_RS00150	HZK19_RS02700
OG0000395	DR088_RS00145	HZK19_RS02695
OG0000396	DR088_RS02960	HZK19_RS02395
OG0000397	DR088_RS00530	HZK19_RS01880
OG0000398	DR088_RS00535	HZK19_RS01885
OG0000399	DR088_RS00580	HZK19_RS01935
OG0000400	DR088_RS01395	HZK19_RS03000
OG0000401	DR088_RS01460	HZK19_RS03155
OG0000402	DR088_RS01470	HZK19_RS03165
OG0000403	DR088_RS01480	HZK19_RS03175
OG0000404	DR088_RS01510	HZK19_RS03205
OG0000405	DR088_RS01525	HZK19_RS03220
OG0000406	DR088_RS01960	HZK19_RS03285
OG0000407	DR088_RS04425	HZK19_RS03290
OG0000408	DR088_RS01970	HZK19_RS03295
OG0000409	DR088_RS01975	HZK19_RS03300
OG0000410	DR088_RS02030	HZK19_RS03360
OG0000411	DR088_RS02020	HZK19_RS03350
OG0000412	DR088_RS02015	HZK19_RS03345
OG0000413	DR088_RS02555	HZK19_RS01485
OG0000414	DR088_RS02565	HZK19_RS01495
OG0000415	DR088_RS02570	HZK19_RS01500
OG0000416	DR088_RS02580	HZK19_RS01510
OG0000417	DR088_RS02925	HZK19_RS02255
OG0000418	DR088_RS02920	HZK19_RS02250
OG0000419	DR088_RS02820	HZK19_RS00685
OG0000420	DR088_RS02785	HZK19_RS00720
OG0000421	DR088_RS02750	HZK19_RS00755
OG0000422	DR088_RS02740	HZK19_RS00765
OG0000423	DR088_RS01780	HZK19_RS00820
OG0000424	DR088_RS01775	HZK19_RS00825
OG0000425	DR088_RS01765	HZK19_RS00835
OG0000426	DR088_RS04405	HZK19_RS00840
OG0000427	DR088_RS04400	HZK19_RS00865
OG0000428	DR088_RS01710	HZK19_RS00890
OG0000429	DR088_RS01615	HZK19_RS00985
OG0000430	DR088_RS01570	HZK19_RS01030
OG0000431	DR088_RS01560	HZK19_RS01040
OG0000432	DR088_RS00795	HZK19_RS01075
OG0000433	DR088_RS00810	HZK19_RS01090
OG0000434	DR088_RS00815	HZK19_RS01095
OG0000435	DR088_RS00830	HZK19_RS01110
OG0000436	DR088_RS00860	HZK19_RS01135
OG0000437	DR088_RS00870	HZK19_RS01145
OG0000438	DR088_RS00875	HZK19_RS01150
OG0000439	DR088_RS04360	HZK19_RS01155
OG0000440	DR088_RS04575	HZK19_RS02915
OG0000441	DR088_RS03240	HZK19_RS02955
OG0000442	DR088_RS03560	HZK19_RS00130
OG0000443	DR088_RS01330	HZK19_RS00175
OG0000444	DR088_RS01315	HZK19_RS00190
OG0000445	DR088_RS01290	HZK19_RS00215
OG0000446	DR088_RS01260	HZK19_RS00240
OG0000447	DR088_RS01255	HZK19_RS00245
OG0000448	DR088_RS01225	HZK19_RS00275
OG0000449	DR088_RS01200	HZK19_RS00300
OG0000450	DR088_RS01190	HZK19_RS00310
OG0000451	DR088_RS01150	HZK19_RS00350
OG0000452	DR088_RS01125	HZK19_RS00375
OG0000453	DR088_RS01090	HZK19_RS00410
OG0000455	DR088_RS02095	HZK19_RS03560
OG0000456	DR088_RS02225	HZK19_RS03440
OG0000457	DR088_RS02250	HZK19_RS03415
OG0000458	DR088_RS03175	HZK19_RS02480
OG0000459	DR088_RS03150	HZK19_RS02505
OG0000460	DR088_RS03140	HZK19_RS02520
OG0000461	DR088_RS00020	HZK19_RS02560
OG0000462	DR088_RS00015	HZK19_RS02555
OG0000463	DR088_RS00010	HZK19_RS02550
OG0000465	DR088_RS03115	HZK19_RS02545
OG0000466	DR088_RS01120	HZK19_RS00380
OG0000467	DR088_RS04290	HZK19_RS02645
OG0000468	DR088_RS00575	HZK19_RS01930
OG0000469	DR088_RS00635	HZK19_RS01990
OG0000470	DR088_RS03670	HZK19_RS00815
OG0000471	DR088_RS01705	HZK19_RS00895
OG0000472	DR088_RS02040	HZK19_RS03370
OG0000473	DR088_RS02080	HZK19_RS03545
OG0000474	DR088_RS02085	HZK19_RS03550
OG0000475	DR088_RS02090	HZK19_RS03555
OG0000476	DR088_RS02590	HZK19_RS01520
OG0000477	DR088_RS00045	HZK19_RS02585
OG0000478	DR088_RS02175	HZK19_RS03490
OG0000479	DR088_RS02605	HZK19_RS01295
OG0000480	DR088_RS03655	HZK19_RS01995
OG0000481	DR088_RS02715	HZK19_RS00790
OG0000483	DR088_RS00680	HZK19_RS02040
OG0000484	DR088_RS04385	HZK19_RS00185
OG0000485	DR088_RS00865	HZK19_RS01140
OG0000486	DR088_RS02945	HZK19_RS02275
OG0000487	DR088_RS04335	HZK19_RS01970
OG0000488	DR088_RS00650	HZK19_RS02010
OG0000489	DR088_RS01900	HZK19_RS00050
OG0000490	DR088_RS01840	HZK19_RS03655
OG0000491	DR088_RS02625	HZK19_RS01315
OG0000492	DR088_RS02700	HZK19_RS01390
OG0000493	DR088_RS03050	HZK19_RS00570
OG0000494	DR088_RS00740	HZK19_RS00630
OG0000495	DR088_RS00250	HZK19_RS02800
OG0000496	DR088_RS00240	HZK19_RS02790
OG0000497	DR088_RS00235	HZK19_RS02785
OG0000498	DR088_RS00155	HZK19_RS02705
OG0000499	DR088_RS00120	HZK19_RS02670
OG0000500	DR088_RS00540	HZK19_RS01890
OG0000501	DR088_RS01405	HZK19_RS03010
OG0000502	DR088_RS00900	HZK19_RS01165
OG0000503	DR088_RS02770	HZK19_RS00735
OG0000504	DR088_RS01730	HZK19_RS00870
OG0000505	DR088_RS01695	HZK19_RS00905
OG0000506	DR088_RS01685	HZK19_RS00915
OG0000507	DR088_RS01650	HZK19_RS00950
OG0000508	DR088_RS01265	HZK19_RS00235
OG0000509	DR088_RS01230	HZK19_RS00270
OG0000510	DR088_RS01220	HZK19_RS00280
OG0000511	DR088_RS01085	HZK19_RS00415
OG0000513	DR088_RS02190	HZK19_RS03475
OG0000514	DR088_RS00275	HZK19_RS02825
OG0000515	DR088_RS00445	HZK19_RS01530
OG0000516	DR088_RS04340	HZK19_RS01975
OG0000517	DR088_RS01915	HZK19_RS00065
OG0000518	DR088_RS01450	HZK19_RS03145
OG0000519	DR088_RS02745	HZK19_RS00760
OG0000520	DR088_RS01715	HZK19_RS00885
OG0000521	DR088_RS01250	HZK19_RS00250
OG0000522	DR088_RS01215	HZK19_RS00285
OG0000523	DR088_RS02255	HZK19_RS03410
OG0000524	DR088_RS00095	HZK19_RS02640
