Orthogroup	MHP_F72C_protein	MHP_MHP709_protein
OG0000125	WP_146379646.1	WP_160585724.1
OG0000126	WP_225972981.1	WP_237697204.1
OG0000127	WP_146379644.1	WP_011206271.1
OG0000128	WP_146379641.1	WP_160585296.1
OG0000129	WP_225972979.1	WP_258555347.1
OG0000130	WP_011290245.1	WP_160585718.1
OG0000131	WP_146379548.1	WP_146379548.1
OG0000132	WP_146379549.1	WP_146379549.1
OG0000133	WP_146379550.1	WP_160588005.1
OG0000134	WP_146379552.1	WP_160588233.1
OG0000135	WP_146379553.1	WP_160588235.1
OG0000136	WP_011290108.1	WP_179221071.1
OG0000137	WP_135618686.1	WP_135618686.1
OG0000138	WP_020835639.1	WP_160588241.1
OG0000139	WP_011205965.1	WP_160588243.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_192894288.1	WP_192894288.1
OG0000142	WP_146379557.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_160588256.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011205953.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_160588259.1
OG0000148	WP_146379560.1	WP_146379560.1
OG0000149	WP_146379561.1	WP_160588219.1
OG0000150	WP_146379562.1	WP_011290122.1
OG0000151	WP_146379563.1	WP_160588221.1
OG0000152	WP_146379564.1	WP_160585095.1
OG0000153	WP_014579732.1	WP_020835651.1
OG0000154	WP_146379565.1	WP_160588223.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_146379566.1	WP_160588225.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_135618714.1	WP_160588229.1
OG0000159	WP_041361727.1	WP_041361727.1
OG0000160	WP_146379483.1	WP_160588342.1
OG0000161	WP_014579589.1	WP_094521764.1
OG0000162	WP_225973012.1	WP_228365407.1
OG0000163	WP_011206121.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_011206119.1	WP_011206119.1
OG0000166	WP_146379485.1	WP_160588311.1
OG0000167	WP_146379486.1	WP_160588309.1
OG0000168	WP_011206113.1	WP_160588305.1
OG0000169	WP_146379493.1	WP_160587959.1
OG0000170	WP_146379494.1	WP_160587956.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_146379496.1	WP_160584795.1
OG0000173	WP_146379698.1	WP_146379698.1
OG0000174	WP_011284289.1	WP_160587865.1
OG0000175	WP_146379696.1	WP_011290341.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_146379695.1	WP_011284284.1
OG0000178	WP_146379694.1	WP_160587861.1
OG0000179	WP_146379693.1	WP_020835843.1
OG0000180	WP_146379692.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_020835840.1	WP_020835840.1
OG0000183	WP_135619012.1	WP_160587854.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_146379690.1	WP_160587852.1
OG0000186	WP_146379689.1	WP_146379689.1
OG0000187	WP_135619006.1	WP_135619006.1
OG0000188	WP_146379687.1	WP_160587848.1
OG0000189	WP_020835828.1	WP_020835828.1
OG0000190	WP_020835827.1	WP_020835827.1
OG0000191	WP_146379685.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_160587842.1
OG0000193	WP_146379682.1	WP_146379682.1
OG0000194	WP_020835820.1	WP_020835820.1
OG0000195	WP_146379681.1	WP_160587840.1
OG0000196	WP_011206335.1	WP_160587838.1
OG0000197	WP_011206334.1	WP_160587836.1
OG0000198	WP_146379680.1	WP_160587834.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_179221158.1	WP_179221158.1
OG0000201	WP_146379654.1	WP_146379654.1
OG0000202	WP_146379570.1	WP_135618730.1
OG0000203	WP_011290137.1	WP_011290137.1
OG0000204	WP_146379571.1	WP_146379571.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_011206196.1
OG0000207	WP_146379611.1	WP_160587892.1
OG0000208	WP_146379610.1	WP_160587894.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_011290193.1	WP_011206204.1
OG0000211	WP_146379605.1	WP_160587906.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_146379604.1	WP_160587908.1
OG0000214	WP_146379715.1	WP_044272610.1
OG0000215	WP_146379717.1	WP_146379717.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_011284312.1	WP_160588049.1
OG0000218	WP_146379719.1	WP_160588051.1
OG0000219	WP_146379722.1	WP_160588057.1
OG0000220	WP_135619070.1	WP_135619070.1
OG0000221	WP_020835872.1	WP_160588059.1
OG0000222	WP_146379725.1	WP_160588062.1
OG0000223	WP_146379726.1	WP_160585273.1
OG0000224	WP_044272620.1	WP_160585275.1
OG0000225	WP_146379727.1	WP_160588064.1
OG0000226	WP_020835880.1	WP_020835880.1
OG0000227	WP_081642895.1	WP_081642895.1
OG0000228	WP_081642900.1	WP_160585278.1
OG0000229	WP_020835888.1	WP_020835888.1
OG0000230	WP_011206453.1	WP_011284337.1
OG0000231	WP_146379732.1	WP_160588130.1
OG0000232	WP_146379733.1	WP_160588132.1
OG0000233	WP_146379734.1	WP_044284717.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_146379736.1	WP_160588134.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_146379743.1	WP_160588140.1
OG0000239	WP_146379742.1	WP_146379742.1
OG0000240	WP_146379741.1	WP_011290399.1
OG0000241	WP_146379740.1	WP_160588138.1
OG0000242	WP_146379744.1	WP_160588142.1
OG0000243	WP_146379568.1	WP_011290129.1
OG0000244	WP_020835656.1	WP_020835656.1
OG0000245	WP_011290131.1	WP_011290131.1
OG0000246	WP_020835657.1	WP_020835657.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_160588231.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_146379638.1	WP_160588291.1
OG0000251	WP_146379637.1	WP_146379637.1
OG0000252	WP_225972976.1	WP_160588285.1
OG0000253	WP_146379633.1	WP_020835755.1
OG0000254	WP_146379779.1	WP_160587990.1
OG0000255	WP_094521610.1	WP_094521610.1
OG0000256	WP_146379540.1	WP_094521609.1
OG0000257	WP_011290023.1	WP_011290023.1
OG0000258	WP_094521583.1	WP_094521583.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_160588274.1
OG0000261	WP_179695841.1	WP_179695841.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_146379500.1	WP_020835574.1
OG0000266	WP_146379501.1	WP_160588272.1
OG0000267	WP_020835576.1	WP_016340193.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_146379503.1	WP_011206080.1
OG0000270	WP_135618573.1	WP_020835579.1
OG0000271	WP_146379504.1	WP_146379504.1
OG0000272	WP_146379507.1	WP_160588267.1
OG0000273	WP_011206072.1	WP_160588265.1
OG0000274	WP_146379508.1	WP_160588089.1
OG0000275	WP_146379509.1	WP_160588086.1
OG0000276	WP_146379510.1	WP_135618585.1
OG0000277	WP_146379511.1	WP_135618587.1
OG0000278	WP_135618589.1	WP_011290044.1
OG0000279	WP_044277967.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_011206064.1
OG0000281	WP_094521594.1	WP_094521594.1
OG0000282	WP_011290046.1	WP_011290046.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011206054.1	WP_011206054.1
OG0000285	WP_146379515.1	WP_011206052.1
OG0000286	WP_011290054.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_160588083.1
OG0000291	WP_014579616.1	WP_014579616.1
OG0000292	WP_146379520.1	WP_160588081.1
OG0000293	WP_011290058.1	WP_011290058.1
OG0000294	WP_011206041.1	WP_020835591.1
OG0000295	WP_020835592.1	WP_020835592.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_160588076.1
OG0000299	WP_146379522.1	WP_160588073.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011206031.1
OG0000302	WP_041361593.1	WP_041361593.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_014579605.1
OG0000305	WP_146379523.1	WP_014579604.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_146379524.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_146379528.1	WP_011290071.1
OG0000310	WP_146379529.1	WP_160587974.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_146379531.1	WP_160585569.1
OG0000313	WP_146379533.1	WP_160587977.1
OG0000314	WP_146379534.1	WP_011283987.1
OG0000315	WP_146379535.1	WP_160587980.1
OG0000316	WP_146379536.1	WP_011283989.1
OG0000317	WP_146379537.1	WP_160587982.1
OG0000318	WP_011206006.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_044272373.1	WP_044272373.1
OG0000321	WP_146379539.1	WP_160587984.1
OG0000322	WP_044272377.1	WP_020835619.1
OG0000323	WP_146379700.1	WP_011290347.1
OG0000324	WP_020835851.1	WP_020835851.1
OG0000325	WP_146379701.1	WP_160588325.1
OG0000326	WP_044272588.1	WP_044272588.1
OG0000327	WP_146379702.1	WP_160588327.1
OG0000328	WP_146379703.1	WP_146379703.1
OG0000329	WP_146379705.1	WP_041361690.1
OG0000330	WP_146379707.1	WP_146379707.1
OG0000331	WP_011284299.1	WP_011284299.1
OG0000332	WP_050195463.1	WP_050195463.1
OG0000333	WP_146379456.1	WP_258555380.1
OG0000334	WP_146379457.1	WP_308507094.1
OG0000335	WP_020835500.1	WP_020835500.1
OG0000336	WP_146379459.1	WP_160588042.1
OG0000337	WP_011289957.1	WP_160588038.1
OG0000338	WP_044272282.1	WP_160588036.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_146379462.1	WP_020835507.1
OG0000341	WP_146379463.1	WP_011289963.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_146379464.1	WP_160588034.1
OG0000344	WP_044284571.1	WP_044284571.1
OG0000345	WP_146379465.1	WP_160588032.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_020835512.1	WP_044272682.1
OG0000349	WP_146379467.1	WP_135618497.1
OG0000350	WP_044284573.1	WP_160588031.1
OG0000351	WP_146379468.1	WP_020835515.1
OG0000352	WP_011289973.1	WP_160588029.1
OG0000353	WP_011289974.1	WP_011289974.1
OG0000354	WP_020835518.1	WP_020835518.1
OG0000355	WP_146379469.1	WP_146379469.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_225973009.1	WP_041361723.1
OG0000359	WP_146379470.1	WP_011289981.1
OG0000360	WP_146379471.1	WP_011289982.1
OG0000361	WP_146379472.1	WP_160588027.1
OG0000362	WP_146379473.1	WP_160588025.1
OG0000363	WP_135618519.1	WP_041361531.1
OG0000364	WP_146379475.1	WP_160584756.1
OG0000365	WP_011283885.1	WP_160585532.1
OG0000366	WP_011283887.1	WP_011283887.1
OG0000367	WP_146379476.1	WP_146379476.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_146379477.1	WP_014579577.1
OG0000371	WP_146379478.1	WP_160588019.1
OG0000372	WP_011206135.1	WP_160588017.1
OG0000373	WP_011206134.1	WP_160584741.1
OG0000374	WP_146379761.1	WP_146379761.1
OG0000375	WP_146379759.1	WP_160588154.1
OG0000376	WP_020835915.1	WP_160588152.1
OG0000377	WP_146379758.1	WP_160588150.1
OG0000378	WP_146379757.1	WP_011206502.1
OG0000379	WP_192894282.1	WP_160588175.1
OG0000380	WP_011290423.1	WP_160588177.1
OG0000381	WP_225973001.1	WP_160588179.1
OG0000382	WP_011290421.1	WP_011290421.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_011290418.1	WP_160588183.1
OG0000385	WP_094521520.1	WP_094521520.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_146379750.1	WP_160588184.1
OG0000389	WP_014580009.1	WP_011206485.1
OG0000390	WP_011206484.1	WP_011206484.1
OG0000391	WP_011290413.1	WP_160584909.1
OG0000392	WP_146379749.1	WP_160588187.1
OG0000393	WP_146379652.1	WP_146379652.1
OG0000394	WP_146379659.1	WP_011284216.1
OG0000395	WP_146379661.1	WP_011206299.1
OG0000396	WP_020835793.1	WP_020835793.1
OG0000397	WP_044272549.1	WP_044272549.1
OG0000398	WP_146379672.1	WP_011284237.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_146379670.1	WP_160587820.1
OG0000401	WP_020835805.1	WP_160587817.1
OG0000402	WP_146379669.1	WP_160587813.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_146379667.1	WP_160587811.1
OG0000405	WP_011284228.1	WP_160587809.1
OG0000406	WP_146379665.1	WP_160585762.1
OG0000407	WP_041361673.1	WP_044272552.1
OG0000408	WP_146379664.1	WP_160588315.1
OG0000409	WP_146379460.1	WP_160588040.1
OG0000410	WP_011205878.1	WP_094521545.1
OG0000411	WP_041361533.1	WP_041361533.1
OG0000412	WP_135618529.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_146379484.1	WP_146379484.1
OG0000415	WP_220190741.1	WP_011283978.1
OG0000416	WP_020835841.1	WP_160587859.1
OG0000417	WP_135618990.1	WP_160587844.1
OG0000418	WP_146379676.1	WP_160587829.1
OG0000419	WP_146379674.1	WP_044284683.1
OG0000420	WP_146379668.1	WP_011206313.1
OG0000421	WP_146379660.1	WP_160588319.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_146379607.1	WP_160587902.1
OG0000425	WP_011290197.1	WP_011290197.1
OG0000426	WP_014579818.1	WP_160587912.1
OG0000427	WP_146379589.1	WP_160585126.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220200854.1	WP_220191051.1
OG0000430	WP_146379629.1	WP_160588280.1
OG0000431	WP_146379643.1	WP_160588217.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_146379567.1	WP_160588227.1
OG0000435	WP_094521693.1	WP_160588283.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_146379505.1	WP_160588270.1
OG0000438	WP_146379506.1	WP_146379506.1
OG0000439	WP_192894286.1	WP_011206069.1
OG0000440	WP_225973016.1	WP_041361583.1
OG0000441	WP_225973017.1	WP_011206056.1
OG0000442	WP_044272348.1	WP_044272348.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_146379704.1	WP_146379704.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_044272637.1	WP_044272637.1
OG0000448	WP_146379731.1	WP_160588128.1
OG0000449	WP_011206488.1	WP_011206488.1
OG0000450	WP_146379751.1	WP_160585582.1
OG0000451	WP_020835917.1	WP_160588156.1
OG0000452	WP_011205931.1	WP_011205931.1
OG0000453	WP_011284387.1	WP_011290441.1
OG0000454	WP_011284394.1	WP_160584861.1
OG0000455	WP_135618962.1	WP_160587815.1
OG0000456	WP_146379588.1	WP_011284150.1
OG0000457	WP_146379639.1	WP_160585719.1
OG0000458	WP_146379551.1	WP_160588380.1
OG0000459	WP_146379636.1	WP_160588289.1
OG0000460	WP_146379499.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_146379753.1	WP_146379753.1
OG0000463	WP_146379554.1	WP_160588237.1
OG0000464	WP_146379487.1	WP_160588307.1
OG0000465	WP_146379521.1	WP_014579611.1
OG0000466	WP_041361706.1	WP_232039558.1
OG0000467	WP_146379764.1	WP_160588161.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_225973015.1	WP_225973015.1
OG0000470	WP_020835837.1	WP_020835837.1
OG0000471	WP_146379756.1	WP_160588173.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_044272343.1	WP_308507052.1
OG0000474	WP_146379684.1	WP_258555238.1
OG0000475	WP_146379480.1	WP_160588011.1
OG0000476	WP_146379609.1	WP_160587896.1
OG0000477	WP_146379591.1	WP_160587946.1
OG0000478	WP_146379556.1	WP_160588248.1
OG0000479	WP_225973014.1	WP_308507053.1
OG0000480	WP_011206194.1	WP_020835708.1
OG0000481	WP_225973042.1	WP_308507057.1
OG0000482	WP_011206427.1	WP_011206427.1
OG0000483	WP_146379720.1	WP_160588052.1
OG0000484	WP_225973007.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_011289979.1
OG0000487	WP_011290282.1	WP_160588317.1
OG0000488	WP_146379714.1	WP_020835860.1
OG0000489	WP_233417364.1	WP_233417364.1
OG0000490	WP_225973002.1	WP_225973002.1
OG0000491	WP_146379446.1	WP_011283834.1
OG0000492	WP_146379444.1	WP_160588112.1
OG0000493	WP_044272260.1	WP_160588110.1
OG0000494	WP_146379773.1	WP_160584863.1
OG0000495	WP_146379767.1	WP_160588169.1
OG0000496	WP_146379640.1	WP_160585722.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_146379558.1	WP_160588252.1
OG0000499	WP_146379559.1	WP_160588262.1
OG0000500	WP_044272311.1	WP_044272311.1
OG0000501	WP_146379488.1	WP_146379488.1
OG0000502	WP_052269169.1	WP_052269169.1
OG0000503	WP_225972997.1	WP_228366107.1
OG0000504	WP_011206375.1	WP_011206375.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_011290313.1	WP_011290313.1
OG0000507	WP_020835817.1	WP_011206333.1
OG0000508	WP_020835781.1	WP_160585153.1
OG0000509	WP_192894280.1	WP_220190663.1
OG0000510	WP_192894281.1	WP_020835873.1
OG0000512	WP_146379635.1	WP_160588287.1
OG0000513	WP_146379514.1	WP_146379514.1
OG0000514	WP_146379519.1	WP_011290053.1
OG0000515	WP_020835590.1	WP_160588078.1
OG0000516	WP_011206036.1	WP_011290062.1
OG0000517	WP_011289986.1	WP_011289986.1
OG0000518	WP_011205913.1	WP_160585531.1
OG0000519	WP_014579573.1	WP_160588021.1
OG0000520	WP_011283895.1	WP_011206136.1
OG0000524	WP_014579890.1	WP_011206301.1
OG0000525	WP_146379662.1	WP_160585006.1
OG0000526	WP_146379666.1	WP_160587807.1
OG0000527	WP_011206309.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_146379675.1	WP_160587827.1
OG0000530	WP_146379606.1	WP_160587904.1
OG0000531	WP_041361711.1	WP_160588158.1
OG0000532	WP_146379760.1	WP_160588160.1
OG0000533	WP_146379541.1	WP_160587986.1
OG0000534	WP_146379538.1	WP_020835615.1
OG0000535	WP_146379691.1	WP_160587856.1
OG0000536	WP_011290228.1	WP_160588293.1
OG0000537	WP_146379491.1	WP_160587963.1
OG0000538	WP_146379587.1	WP_160588366.1
OG0000539	WP_146379513.1	WP_146379513.1
OG0000540	WP_146379746.1	WP_160588146.1
OG0000542	WP_146379766.1	WP_160588166.1
OG0000544	WP_146379739.1	WP_308507097.1, WP_258555308.1
OG0000545	WP_011284067.1	WP_308507102.1
OG0000546	WP_146379706.1	WP_011206407.1
OG0000548	WP_146379671.1	WP_160587822.1
OG0000549	WP_318026087.1	WP_258555378.1
OG0000550	WP_146379597.1	WP_160587921.1
OG0000552	WP_146379616.1	WP_160587882.1
OG0000553	WP_225972980.1	WP_258555346.1
OG0000554	WP_225972970.1	WP_225972970.1
OG0000557	WP_225973004.1, WP_225973005.1	WP_020835495.1
OG0000558	WP_146379649.1	WP_160585727.1
OG0000559	WP_146379678.1	WP_160587832.1
OG0000560	WP_225972993.1	WP_258555239.1
OG0000561	WP_146379724.1	WP_044284704.1
OG0000565	WP_146379449.1	WP_160588124.1
OG0000566	WP_146379450.1	WP_160588374.1
OG0000567	WP_146379546.1	WP_160588001.1
OG0000568	WP_146379545.1	WP_011205983.1
OG0000569	WP_225973028.1	WP_233688696.1
OG0000570	WP_135618664.1	WP_135618664.1
OG0000571	WP_146379544.1	WP_160587999.1
OG0000572	WP_146379543.1	WP_160587997.1
OG0000573	WP_020835624.1	WP_160587995.1
OG0000574	WP_146379542.1	WP_014579697.1
OG0000575	WP_146379530.1	WP_160584672.1
OG0000576	WP_146379498.1	WP_044272325.1
OG0000577	WP_011290145.1	WP_160585066.1
OG0000578	WP_146379575.1	WP_160588207.1
OG0000579	WP_146379576.1	WP_160588205.1
OG0000580	WP_011290150.1	WP_011290150.1
OG0000581	WP_135618777.1	WP_135618777.1
OG0000582	WP_011206161.1	WP_011206161.1
OG0000583	WP_146379619.1	WP_160587877.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_146379618.1	WP_146379618.1
OG0000586	WP_225972971.1	WP_258555255.1
OG0000587	WP_146379615.1	WP_160587884.1
OG0000588	WP_146379613.1	WP_160587888.1
OG0000589	WP_146379612.1	WP_011290181.1
OG0000590	WP_225972974.1	WP_258555377.1
OG0000591	WP_146379677.1	WP_041361678.1
OG0000592	WP_146379683.1	WP_160585259.1
