Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Mesomycoplasma hyopneumoniae		strain: MHP691	2099	ASM983208v1	GCA_009832085.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	38061	897976	2020-01-06	758	PRJNA478906	SAMN09533019
Mesomycoplasma hyopneumoniae		strain: MHP679	2099	ASM983212v1	GCA_009832125.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	26967	901315	2020-01-06	800	PRJNA478906	SAMN09533017
Mesomycoplasma hyopneumoniae		strain: MHP650	2099	ASM983217v1	GCA_009832175.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	30731	903416	2020-01-06	772	PRJNA478906	SAMN09533014
Mesomycoplasma hyopneumoniae		strain: ES-2L	2099	ASM1340275v1	GCA_013402755.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	918900	918900	2020-07-12	733	PRJNA576551	SAMN15422962
Mesomycoplasma hyopneumoniae		strain: 98	2099	ASM1341272v1	GCA_013412725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	95661	880620	2020-07-13	743	PRJNA593525	SAMN13480780
Mesomycoplasma hyopneumoniae		strain: LH	2099	ASM2138386v1	GCA_021383865.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920587	920587	2022-01-07	730	PRJNA741719	SAMN19900075
Mesomycoplasma hyopneumoniae		strain: UFV02	2099	ASM2279301v1	GCA_022793015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	86373	959419	2022-04-01	789	PRJNA542605	SAMN11634267
Mesomycoplasma hyopneumoniae		strain: UFV01	2099	ASM2279303v1	GCA_022793035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	237234	909816	2022-04-01	749	PRJNA542605	SAMN11634266
Mesomycoplasma hyopneumoniae		strain: Ue273	2099	ASM3990791v1	GCA_039907915.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	900736	900736	2024-05-29	724	PRJNA1062711	SAMN39309753
Mesomycoplasma hyopneumoniae		strain: 116	2099	ASM4002615v1	GCA_040026155.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	901311	901311	2024-06-03	710	PRJNA1116738	SAMN41549526
Mesomycoplasma hyopneumoniae		strain: 1257	2099	ASM4002696v1	GCA_040026965.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	891138	891138	2024-06-03	701	PRJNA1117078	SAMN41559646
Mesomycoplasma hyopneumoniae		strain: 15.4B	2099	ASM4500534v1	GCA_045005345.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920420	920420	2024-11-18	760	PRJNA839225	SAMN28515228
Mesomycoplasma hyopneumoniae		strain: 15.3B	2099	ASM4500599v1	GCA_045005995.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920392	920392	2024-11-18	754	PRJNA839225	SAMN28515227
Mesomycoplasma hyopneumoniae		strain: 13.3A	2099	ASM4500600v1	GCA_045006005.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	927216	927216	2024-11-18	770	PRJNA839225	SAMN28515226
Mesomycoplasma hyopneumoniae		strain: 13.1B	2099	ASM4500601v1	GCA_045006015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	927172	927172	2024-11-18	768	PRJNA839225	SAMN28515225
Mesomycoplasma hyopneumoniae		strain: 11.1A	2099	ASM4500666v1	GCA_045006665.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	921541	921541	2024-11-18	761	PRJNA839225	SAMN28515223
Mesomycoplasma hyopneumoniae		strain: 11.2B	2099	ASM4500668v1	GCA_045006685.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	923512	923612	2024-11-18	758	PRJNA839225	SAMN28515224
Mesomycoplasma hyopneumoniae		strain: NCTC10127	2099	51334_A01-3	GCA_900660565.1	GenBank	Annotation submitted by SC	Complete Genome	652273	960532	2019-01-29	770	PRJEB6403	SAMEA4434526
Mesomycoplasma hyopneumoniae J		strain: J	262719	ASM820v1	GCF_000008205.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	897405	897405	2005-08-05	723	PRJNA10675	SAMN02603526
Mesomycoplasma hyopneumoniae 7448		strain: 7448	262722	ASM822v1	GCF_000008225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920079	920079	2005-08-08	736	PRJNA10639	SAMN02603525
Mesomycoplasma hyopneumoniae 232		strain: 232	295358	ASM840v1	GCF_000008405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	892758	892758	2004-10-08	719	PRJNA13120	SAMN02603423
Mesomycoplasma hyopneumoniae 168		strain: 168	907287	ASM18318v1	GCF_000183185.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	925576	925576	2010-11-24	746	PRJNA53881	SAMN02603316
Mesomycoplasma hyopneumoniae 168-L		strain: 168-L	1116211	ASM40085v1	GCF_000400855.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	921093	921093	2013-05-22	745	PRJNA76853	SAMN02603324
Mesomycoplasma hyopneumoniae 7422		strain: 7422	754503	ASM42721v1	GCF_000427215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	898495	898495	2013-07-15	737	PRJNA47327	SAMN02603242
Mesomycoplasma hyopneumoniae		strain: 11	2099	ASM219301v1	GCF_002193015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	131513	898117	2017-06-14	721	PRJNA378403	SAMN06545933
Mesomycoplasma hyopneumoniae		strain: TB1	2099	ASM221348v1	GCF_002213485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	7512	909064	2017-06-30	818	PRJNA378902	SAMN06347105
Mesomycoplasma hyopneumoniae		strain: KM014	2099	ASM225750v1	GCF_002257505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	964503	964503	2017-08-16	787	PRJNA396462	SAMN07426830
Mesomycoplasma hyopneumoniae		strain: ES-2	2099	ASM476872v1	GCF_004768725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	956514	956514	2019-04-10	777	PRJNA530402	SAMN11316568
Mesomycoplasma hyopneumoniae		strain: F7.2C	2099	ASM792398v1	GCF_007923985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	894983	894983	2019-08-09	723	PRJNA506155	SAMN10449344
Mesomycoplasma hyopneumoniae		strain: MHP699	2099	ASM983185v1	GCF_009831855.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	37364	918878	2020-01-06	765	PRJNA478906	SAMN09533022
Mesomycoplasma hyopneumoniae		strain: MHP682	2099	ASM983189v1	GCF_009831895.1	RefSeq	GCF_009831895.1-RS_2024_08_25	Scaffold	29160	905968	2020-01-06	745	PRJNA478906	SAMN09533018
Mesomycoplasma hyopneumoniae		strain: MHP694	2099	ASM983190v1	GCF_009831905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	37339	867508	2020-01-06	726	PRJNA478906	SAMN09533020
Mesomycoplasma hyopneumoniae		strain: MHP653	2099	ASM983194v1	GCF_009831945.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	29250	892502	2020-01-06	755	PRJNA478906	SAMN09533016
Mesomycoplasma hyopneumoniae		strain: MHP696	2099	ASM983203v1	GCF_009832035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	37450	874552	2020-01-06	728	PRJNA478906	SAMN09533021
Mesomycoplasma hyopneumoniae		strain: MHP709	2099	ASM983207v1	GCF_009832075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	36836	875793	2020-01-06	726	PRJNA478906	SAMN09533024
Mesomycoplasma hyopneumoniae		strain: MHP691	2099	ASM983208v1	GCF_009832085.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	38061	897976	2020-01-06	750	PRJNA478906	SAMN09533019
Mesomycoplasma hyopneumoniae		strain: MHP679	2099	ASM983212v1	GCF_009832125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	26967	901315	2020-01-06	782	PRJNA478906	SAMN09533017
Mesomycoplasma hyopneumoniae		strain: MHP650	2099	ASM983217v1	GCF_009832175.1	RefSeq	GCF_009832175.1-RS_2024_08_26	Contig	30731	903416	2020-01-06	755	PRJNA478906	SAMN09533014
Mesomycoplasma hyopneumoniae		strain: ES-2L	2099	ASM1340275v1	GCF_013402755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	918900	918900	2020-07-12	746	PRJNA576551	SAMN15422962
Mesomycoplasma hyopneumoniae		strain: 98	2099	ASM1341272v1	GCF_013412725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	95661	880620	2020-07-13	741	PRJNA593525	SAMN13480780
Mesomycoplasma hyopneumoniae		strain: LH	2099	ASM2138386v1	GCF_021383865.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920587	920587	2022-01-07	740	PRJNA741719	SAMN19900075
Mesomycoplasma hyopneumoniae		strain: UFV02	2099	ASM2279301v1	GCF_022793015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	86373	959419	2022-04-01	786	PRJNA542605	SAMN11634267
Mesomycoplasma hyopneumoniae		strain: UFV01	2099	ASM2279303v1	GCF_022793035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	237234	909816	2022-04-01	740	PRJNA542605	SAMN11634266
Mesomycoplasma hyopneumoniae		strain: Ue273	2099	ASM3990791v1	GCF_039907915.1	RefSeq	GCF_039907915.1-RS_2024_05_30	Complete Genome	900736	900736	2024-05-31	724	PRJNA1062711	SAMN39309753
Mesomycoplasma hyopneumoniae		strain: 116	2099	ASM4002615v1	GCF_040026155.1	RefSeq	GCF_040026155.1-RS_2024_06_03	Complete Genome	901311	901311	2024-06-04	710	PRJNA1116738	SAMN41549526
Mesomycoplasma hyopneumoniae		strain: 1257	2099	ASM4002696v1	GCF_040026965.1	RefSeq	GCF_040026965.1-RS_2024_06_03	Complete Genome	891138	891138	2024-06-04	701	PRJNA1117078	SAMN41559646
Mesomycoplasma hyopneumoniae		strain: NCTC10127	2099	51334_A01-3	GCF_900660565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	652273	960532	2019-01-29	786	PRJEB6403	SAMEA4434526
