Orthogroup	MFC_MF30_proteins	MFC_MF29_proteins
OG0000098	WP_160581106.1	WP_160581106.1
OG0000099	WP_160605586.1	WP_160581122.1
OG0000100	WP_160605582.1	WP_160581126.1
OG0000101	WP_002557497.1	WP_002557497.1
OG0000102	WP_160593490.1	WP_160581128.1
OG0000103	WP_160605508.1	WP_160581150.1
OG0000104	WP_002557510.1	WP_002557510.1
OG0000105	WP_002557514.1	WP_160581154.1
OG0000106	WP_160605510.1	WP_160581158.1
OG0000107	WP_002557518.1	WP_002557518.1
OG0000108	WP_002557519.1	WP_308704655.1
OG0000109	WP_160583943.1	WP_002557520.1
OG0000110	WP_160581160.1	WP_160581160.1
OG0000111	WP_002557523.1	WP_220200563.1
OG0000112	WP_160605514.1	WP_160581165.1
OG0000113	WP_002557528.1	WP_002557528.1
OG0000114	WP_002557530.1	WP_258555776.1
OG0000115	WP_160583957.1	WP_002557532.1
OG0000116	WP_002557534.1	WP_160581176.1
OG0000117	WP_002557535.1	WP_160581178.1
OG0000118	WP_160605524.1	WP_160581185.1
OG0000119	WP_160605526.1	WP_160581187.1
OG0000120	WP_160581189.1	WP_160581189.1
OG0000121	WP_002557548.1	WP_160581194.1
OG0000122	WP_002557549.1	WP_002557549.1
OG0000123	WP_160581199.1	WP_160581199.1
OG0000124	WP_002557554.1	WP_160581201.1
OG0000125	WP_002557555.1	WP_160581203.1
OG0000126	WP_160605532.1	WP_160581207.1
OG0000127	WP_160583976.1	WP_160581211.1
OG0000128	WP_160605625.1	WP_160581457.1
OG0000129	WP_002557563.1	WP_160581459.1
OG0000130	WP_160593526.1	WP_002557565.1
OG0000131	WP_002557566.1	WP_002557566.1
OG0000132	WP_002557569.1	WP_160581465.1
OG0000133	WP_002557574.1	WP_002557574.1
OG0000134	WP_160605314.1	WP_160580852.1
OG0000135	WP_002557577.1	WP_002557577.1
OG0000136	WP_160605316.1	WP_160580854.1
OG0000137	WP_160583687.1	WP_002557585.1
OG0000138	WP_002557590.1	WP_160580868.1
OG0000139	WP_002557594.1	WP_160580872.1
OG0000140	WP_002557595.1	WP_002557595.1
OG0000141	WP_002557602.1	WP_002557602.1
OG0000142	WP_002557603.1	WP_002557603.1
OG0000143	WP_160580880.1	WP_160580880.1
OG0000144	WP_160605328.1	WP_160580884.1
OG0000145	WP_002557611.1	WP_160580888.1
OG0000146	WP_002557613.1	WP_002557613.1
OG0000147	WP_002557614.1	WP_002557614.1
OG0000148	WP_160583667.1	WP_160580896.1
OG0000149	WP_002557620.1	WP_160580900.1
OG0000150	WP_002557623.1	WP_002557623.1
OG0000151	WP_160580918.1	WP_160580918.1
OG0000152	WP_160605342.1	WP_160580920.1
OG0000153	WP_160605344.1	WP_160580922.1
OG0000154	WP_160580926.1	WP_160580926.1
OG0000155	WP_160605350.1	WP_002557642.1
OG0000156	WP_160583648.1	WP_160580941.1
OG0000157	WP_160583646.1	WP_002557648.1
OG0000158	WP_160605356.1	WP_002557650.1
OG0000159	WP_002557667.1	WP_002557667.1
OG0000160	WP_002557668.1	WP_160580992.1
OG0000161	WP_160603116.1	WP_160580994.1
OG0000162	WP_160581406.1	WP_160581406.1
OG0000163	WP_160581408.1	WP_160581408.1
OG0000164	WP_160581414.1	WP_160581414.1
OG0000165	WP_002557684.1	WP_002557684.1
OG0000166	WP_160605426.1	WP_160581423.1
OG0000167	WP_160581429.1	WP_160581429.1
OG0000168	WP_160605430.1	WP_002557693.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_160603210.1	WP_002557704.1
OG0000171	WP_002557706.1	WP_160581256.1
OG0000172	WP_002557707.1	WP_002557707.1
OG0000173	WP_002557708.1	WP_002557708.1
OG0000174	WP_160605538.1	WP_002557709.1
OG0000175	WP_160605541.1	WP_002557712.1
OG0000176	WP_160593449.1	WP_160581268.1
OG0000177	WP_160581270.1	WP_160581270.1
OG0000178	WP_002557721.1	WP_002557721.1
OG0000179	WP_002557724.1	WP_160581274.1
OG0000180	WP_002557725.1	WP_002557725.1
OG0000181	WP_039387691.1	WP_039387691.1
OG0000182	WP_002557729.1	WP_002557729.1
OG0000183	WP_002557735.1	WP_002557735.1
OG0000184	WP_160605633.1	WP_160581467.1
OG0000185	WP_002557743.1	WP_002557743.1
OG0000186	WP_160603234.1	WP_160581292.1
OG0000187	WP_002557753.1	WP_002557753.1
OG0000188	WP_002557755.1	WP_002557755.1
OG0000189	WP_160605456.1	WP_160581293.1
OG0000190	WP_160605458.1	WP_002557757.1
OG0000191	WP_255454511.1	WP_002557761.1
OG0000192	WP_160605464.1	WP_160581299.1
OG0000193	WP_002557766.1	WP_002557766.1
OG0000194	WP_002557768.1	WP_002557768.1
OG0000195	WP_002557769.1	WP_002557769.1
OG0000196	WP_160581303.1	WP_160581303.1
OG0000197	WP_160605466.1	WP_002557775.1
OG0000198	WP_160605468.1	WP_002557778.1
OG0000199	WP_002557779.1	WP_002557779.1
OG0000200	WP_002557781.1	WP_002557781.1
OG0000201	WP_160605470.1	WP_002557783.1
OG0000202	WP_160605476.1	WP_002557791.1
OG0000203	WP_160583979.1	WP_160581315.1
OG0000204	WP_160605479.1	WP_160581361.1
OG0000205	WP_002557794.1	WP_160581359.1
OG0000206	WP_002557798.1	WP_002557798.1
OG0000207	WP_002557801.1	WP_160581354.1
OG0000208	WP_002557802.1	WP_002557802.1
OG0000209	WP_002557803.1	WP_002557803.1
OG0000210	WP_160581347.1	WP_160581347.1
OG0000211	WP_002557813.1	WP_002557813.1
OG0000212	WP_002557815.1	WP_002557815.1
OG0000213	WP_002557816.1	WP_002557816.1
OG0000214	WP_002557817.1	WP_002557817.1
OG0000215	WP_002557818.1	WP_002557818.1
OG0000216	WP_160581343.1	WP_160581343.1
OG0000217	WP_160605481.1	WP_160581341.1
OG0000218	WP_160605485.1	WP_160581339.1
OG0000219	WP_160603160.1	WP_002557823.1
OG0000220	WP_002557824.1	WP_002557824.1
OG0000221	WP_002557825.1	WP_002557825.1
OG0000222	WP_002557826.1	WP_002557826.1
OG0000223	WP_002557827.1	WP_002557827.1
OG0000224	WP_002557829.1	WP_002557829.1
OG0000225	WP_002557831.1	WP_002557831.1
OG0000226	WP_002557832.1	WP_002557832.1
OG0000227	WP_002557833.1	WP_002557833.1
OG0000228	WP_002557834.1	WP_002557834.1
OG0000229	WP_002557835.1	WP_002557835.1
OG0000230	WP_002557836.1	WP_160581335.1
OG0000231	WP_002557838.1	WP_160581334.1
OG0000232	WP_002557840.1	WP_002557840.1
OG0000233	WP_160605487.1	WP_160581330.1
OG0000234	WP_002557848.1	WP_318026671.1
OG0000235	WP_002557850.1	WP_002557850.1
OG0000236	WP_160581215.1	WP_160581215.1
OG0000237	WP_160583882.1	WP_002557855.1
OG0000238	WP_160605501.1	WP_002557856.1
OG0000239	WP_160583887.1	WP_002557863.1
OG0000240	WP_002557864.1	WP_002557864.1
OG0000241	WP_002557866.1	WP_002557866.1
OG0000242	WP_002557867.1	WP_160581246.1
OG0000243	WP_002557868.1	WP_002557868.1
OG0000244	WP_002557870.1	WP_002557870.1
OG0000245	WP_002557872.1	WP_002557872.1
OG0000246	WP_002557875.1	WP_160581082.1
OG0000247	WP_160593344.1	WP_160581077.1
OG0000248	WP_160583743.1	WP_160581067.1
OG0000249	WP_160605570.1	WP_160581065.1
OG0000250	WP_002557886.1	WP_160581059.1
OG0000251	WP_002557891.1	WP_002557891.1
OG0000252	WP_160581051.1	WP_160581051.1
OG0000253	WP_160605282.1	WP_160581049.1
OG0000254	WP_160605284.1	WP_160581047.1
OG0000255	WP_002557898.1	WP_002557898.1
OG0000256	WP_002557899.1	WP_002557899.1
OG0000257	WP_002557904.1	WP_002557904.1
OG0000258	WP_160605290.1	WP_160581044.1
OG0000259	WP_160581036.1	WP_160581036.1
OG0000260	WP_160605298.1	WP_160581035.1
OG0000261	WP_160605302.1	WP_160581032.1
OG0000262	WP_002557919.1	WP_002557919.1
OG0000263	WP_002557922.1	WP_160581022.1
OG0000264	WP_160581017.1	WP_160581017.1
OG0000265	WP_002557927.1	WP_002557927.1
OG0000266	WP_002557930.1	WP_002557930.1
OG0000267	WP_160581015.1	WP_160581015.1
OG0000268	WP_160583705.1	WP_160581013.1
OG0000269	WP_160583703.1	WP_002557936.1
OG0000270	WP_160605574.1	WP_160581371.1
OG0000271	WP_002557946.1	WP_002557946.1
OG0000272	WP_002557947.1	WP_002557947.1
OG0000273	WP_002557948.1	WP_002557948.1
OG0000274	WP_160605591.1	WP_160581375.1
OG0000275	WP_039387710.1	WP_160581377.1
OG0000276	WP_002557954.1	WP_002557954.1
OG0000277	WP_160581382.1	WP_160581382.1
OG0000278	WP_160581384.1	WP_160581384.1
OG0000279	WP_002557959.1	WP_002557959.1
OG0000280	WP_002557960.1	WP_002557960.1
OG0000281	WP_002557961.1	WP_002557961.1
OG0000282	WP_160605597.1	WP_160581388.1
OG0000283	WP_002557965.1	WP_002557965.1
OG0000284	WP_002557966.1	WP_160581390.1
OG0000285	WP_002557967.1	WP_002557967.1
OG0000286	WP_160605389.1	WP_160580983.1
OG0000287	WP_160605383.1	WP_002557978.1
OG0000288	WP_002557980.1	WP_002557980.1
OG0000289	WP_160605379.1	WP_160580975.1
OG0000290	WP_160605363.1	WP_002558003.1
OG0000291	WP_002558005.1	WP_002558005.1
OG0000292	WP_002558006.1	WP_160580955.1
OG0000293	WP_002558007.1	WP_002558007.1
OG0000294	WP_160605367.1	WP_160580957.1
OG0000295	WP_160580958.1	WP_160580958.1
OG0000296	WP_160580964.1	WP_160580964.1
OG0000297	WP_160580966.1	WP_160580966.1
OG0000298	WP_160605278.1	WP_160581061.1
OG0000299	WP_039387487.1	WP_039387487.1
OG0000300	WP_039387496.1	WP_039387496.1
OG0000301	WP_039387501.1	WP_039387501.1
OG0000302	WP_039387504.1	WP_039387504.1
OG0000303	WP_160580856.1	WP_160580856.1
OG0000304	WP_160580864.1	WP_160580864.1
OG0000305	WP_160605330.1	WP_258555751.1
OG0000306	WP_160583660.1	WP_160580911.1
OG0000307	WP_160580924.1	WP_160580924.1
OG0000308	WP_160605361.1	WP_160580950.1
OG0000309	WP_039387539.1	WP_160580960.1
OG0000310	WP_160605381.1	WP_160580977.1
OG0000311	WP_039387548.1	WP_039387548.1
OG0000312	WP_160605402.1	WP_160580991.1
OG0000313	WP_039387554.1	WP_039387554.1
OG0000314	WP_160605424.1	WP_039387562.1
OG0000315	WP_160581431.1	WP_160581431.1
OG0000316	WP_160605432.1	WP_160581432.1
OG0000317	WP_160605615.1	WP_160581441.1
OG0000318	WP_160605629.1	WP_160581470.1
OG0000319	WP_039387606.1	WP_308704654.1
OG0000320	WP_160605516.1	WP_160581169.1
OG0000321	WP_039387610.1	WP_039387610.1
OG0000322	WP_039387613.1	WP_039387613.1
OG0000323	WP_039387619.1	WP_160581463.1
OG0000324	WP_160605462.1	WP_160581297.1
OG0000325	WP_039387628.1	WP_039387628.1
OG0000326	WP_039387636.1	WP_039387636.1
OG0000327	WP_039387638.1	WP_160581309.1
OG0000328	WP_039387644.1	WP_220200580.1
OG0000329	WP_039387648.1	WP_160581352.1
OG0000330	WP_160605489.1	WP_039387658.1
OG0000331	WP_039387665.1	WP_039387665.1
OG0000332	WP_160605543.1	WP_039387681.1
OG0000333	WP_160605544.1	WP_039387683.1
OG0000334	WP_039387693.1	WP_160581276.1
OG0000335	WP_160605548.1	WP_160581278.1
OG0000336	WP_039387704.1	WP_039387704.1
OG0000337	WP_160581112.1	WP_160581112.1
OG0000338	WP_039387723.1	WP_039387723.1
OG0000339	WP_160605518.1	WP_160581172.1
OG0000340	WP_039387777.1	WP_039387777.1
OG0000341	WP_039387782.1	WP_039387782.1
OG0000342	WP_039387785.1	WP_039387785.1
OG0000343	WP_039387808.1	WP_039387808.1
OG0000344	WP_051054279.1	WP_051054279.1
OG0000345	WP_051054304.1	WP_051054304.1
OG0000346	WP_081605287.1	WP_081605287.1
OG0000347	WP_081605280.1	WP_081605280.1
OG0000348	WP_160605474.1	WP_308704659.1
OG0000349	WP_155897264.1	WP_155897264.1
OG0000350	WP_201771011.1	WP_220200545.1
OG0000351	WP_220190748.1	WP_220190748.1
OG0000352	WP_220190755.1	WP_220190833.1
OG0000353	WP_308705452.1	WP_308704656.1
OG0000354	WP_220190750.1	WP_220200544.1
OG0000355	WP_231237866.1	WP_231237866.1
OG0000356	WP_308705446.1	WP_308507120.1
OG0000357	WP_160605540.1	WP_002557710.1
OG0000358	WP_002557711.1	WP_160581259.1
OG0000359	WP_308705450.1	WP_308704658.1
OG0000360	WP_231237879.1	WP_231237879.1
OG0000361	WP_258555097.1	WP_258555761.1
OG0000362	WP_255454460.1	WP_255454460.1
OG0000363	WP_334199004.1	WP_334199004.1
OG0000365	WP_160605631.1	WP_160581485.1
OG0000366	WP_160581449.1	WP_160581449.1
OG0000367	WP_160605613.1	WP_160581445.1
OG0000368	WP_160605564.1	WP_160581089.1
OG0000369	WP_039387473.1	WP_308704650.1
OG0000370	WP_002557476.1	WP_002557476.1
OG0000371	WP_002557477.1	WP_002557477.1
OG0000372	WP_002557478.1	WP_002557478.1
OG0000373	WP_160605556.1	WP_160581100.1
OG0000374	WP_160605554.1	WP_160581104.1
OG0000375	WP_002557511.1	WP_002557511.1
OG0000376	WP_160605512.1	WP_160581163.1
OG0000377	WP_160581167.1	WP_160581167.1
OG0000378	WP_160605520.1	WP_160581174.1
OG0000379	WP_002557546.1	WP_002557546.1
OG0000380	WP_002557550.1	WP_160581196.1
OG0000381	WP_160605534.1	WP_160581209.1
OG0000382	WP_160605627.1	WP_160581461.1
OG0000383	WP_002557567.1	WP_002557567.1
OG0000384	WP_160605310.1	WP_160581005.1
OG0000385	WP_160605312.1	WP_160580848.1
OG0000386	WP_002557576.1	WP_002557576.1
OG0000387	WP_160605318.1	WP_160580858.1
OG0000388	WP_160605320.1	WP_160580860.1
OG0000389	WP_002557589.1	WP_002557589.1
OG0000390	WP_160580882.1	WP_160580882.1
OG0000391	WP_002557610.1	WP_160580886.1
OG0000392	WP_160580892.1	WP_160580892.1
OG0000393	WP_160605338.1	WP_160580907.1
OG0000394	WP_160605346.1	WP_002557640.1
OG0000395	WP_160605348.1	WP_160580928.1
OG0000396	WP_002557673.1	WP_002557673.1
OG0000397	WP_160605412.1	WP_160581417.1
OG0000398	WP_160605414.1	WP_160581419.1
OG0000399	WP_220190081.1	WP_220190081.1
OG0000400	WP_160603208.1	WP_002557703.1
OG0000401	WP_160581263.1	WP_160581263.1
OG0000402	WP_002557715.1	WP_160581265.1
OG0000403	WP_160605545.1	WP_160581266.1
OG0000404	WP_160605546.1	WP_160581272.1
OG0000405	WP_160605547.1	WP_002557726.1
OG0000406	WP_002557731.1	WP_002557731.1
OG0000407	WP_160583916.1	WP_160581280.1
OG0000408	WP_160605549.1	WP_002557733.1
OG0000409	WP_002557734.1	WP_002557734.1
OG0000410	WP_002557739.1	WP_002557739.1
OG0000411	WP_160605635.1	WP_160581469.1
OG0000412	WP_002557742.1	WP_002557742.1
OG0000413	WP_002557749.1	WP_160581290.1
OG0000414	WP_002557751.1	WP_002557751.1
OG0000415	WP_160603232.1	WP_002557752.1
OG0000416	WP_002557754.1	WP_002557754.1
OG0000417	WP_160605460.1	WP_160581295.1
OG0000418	WP_002557760.1	WP_002557760.1
OG0000419	WP_002557773.1	WP_002557773.1
OG0000420	WP_002557780.1	WP_220200575.1
OG0000421	WP_002557784.1	WP_002557784.1
OG0000422	WP_160581307.1	WP_160581307.1
OG0000423	WP_002557796.1	WP_002557796.1
OG0000424	WP_160581357.1	WP_160581357.1
OG0000425	WP_002557799.1	WP_002557799.1
OG0000426	WP_002557800.1	WP_258555790.1
OG0000427	WP_002557805.1	WP_002557805.1
OG0000428	WP_160581348.1	WP_160581348.1
OG0000429	WP_160581337.1	WP_160581337.1
OG0000430	WP_002557837.1	WP_002557837.1
OG0000431	WP_002557839.1	WP_002557839.1
OG0000432	WP_160603164.1	WP_160581328.1
OG0000433	WP_002557845.1	WP_002557845.1
OG0000434	WP_160583871.1	WP_160581326.1
OG0000435	WP_002557849.1	WP_002557849.1
OG0000436	WP_002557857.1	WP_002557857.1
OG0000437	WP_002557860.1	WP_160581219.1
OG0000438	WP_160605495.1	WP_160581221.1
OG0000439	WP_160603176.1	WP_160581223.1
OG0000440	WP_160583891.1	WP_160581244.1
OG0000441	WP_002557873.1	WP_160581250.1
OG0000442	WP_002557876.1	WP_160581080.1
OG0000443	WP_160581057.1	WP_160581057.1
OG0000444	WP_002557890.1	WP_160581053.1
OG0000445	WP_002557895.1	WP_002557895.1
OG0000446	WP_002557901.1	WP_002557901.1
OG0000447	WP_160605288.1	WP_002557902.1
OG0000448	WP_160605292.1	WP_160581042.1
OG0000449	WP_002557912.1	WP_002557912.1
OG0000450	WP_160605300.1	WP_002557914.1
OG0000451	WP_002557923.1	WP_160581019.1
OG0000452	WP_002557928.1	WP_002557928.1
OG0000453	WP_002557934.1	WP_160581011.1
OG0000455	WP_160583788.1	WP_160581138.1
OG0000456	WP_160605595.1	WP_160581386.1
OG0000457	WP_160605599.1	WP_160581392.1
OG0000458	WP_002557977.1	WP_002557977.1
OG0000459	WP_002557982.1	WP_160580973.1
OG0000460	WP_160605377.1	WP_002557984.1
OG0000461	WP_160605369.1	WP_160580962.1
OG0000462	WP_160603085.1	WP_002558013.1
OG0000463	WP_002558014.1	WP_002558014.1
OG0000464	WP_160605371.1	WP_002558016.1
OG0000465	WP_160605373.1	WP_002558017.1
OG0000466	WP_039387498.1	WP_039387498.1
OG0000467	WP_220190751.1	WP_220200546.1
OG0000468	WP_160605428.1	WP_160581425.1
OG0000469	WP_039387592.1	WP_039387592.1
OG0000470	WP_039387641.1	WP_039387641.1
OG0000471	WP_039387651.1	WP_039387651.1
OG0000472	WP_160605607.1	WP_160581399.1
OG0000473	WP_039387713.1	WP_039387713.1
OG0000474	WP_039387714.1	WP_160581369.1
OG0000475	WP_220190796.1	WP_220200585.1
OG0000476	WP_039387719.1	WP_039387719.1
OG0000477	WP_039387750.1	WP_039387750.1
OG0000478	WP_160603144.1	WP_160581379.1
OG0000479	WP_160583965.1	WP_258555777.1
OG0000480	WP_169742226.1	WP_169742226.1
OG0000481	WP_308507115.1	WP_308704660.1
OG0000482	WP_334296058.1	WP_201771017.1
OG0000483	WP_236681784.1	WP_236681784.1
OG0000484	WP_308705441.1	WP_231237877.1
OG0000485	WP_039387661.1	WP_039387661.1
OG0000486	WP_258555124.1	WP_258555787.1
OG0000487	WP_052234586.1	WP_052234586.1
OG0000488	WP_160581452.1	WP_160581452.1
OG0000489	WP_160581091.1	WP_160581091.1
OG0000490	WP_002557481.1	WP_160581098.1
OG0000491	WP_002557542.1	WP_002557542.1
OG0000492	WP_160605530.1	WP_160581205.1
OG0000493	WP_160580862.1	WP_160580862.1
OG0000494	WP_160580870.1	WP_160580870.1
OG0000495	WP_002557622.1	WP_160580903.1
OG0000496	WP_160605336.1	WP_160580905.1
OG0000497	WP_002557625.1	WP_002557625.1
OG0000498	WP_002557639.1	WP_002557639.1
OG0000499	WP_160605354.1	WP_160580943.1
OG0000500	WP_160605416.1	WP_160581421.1
OG0000501	WP_160605536.1	WP_160581254.1
OG0000502	WP_160583987.1	WP_160581301.1
OG0000503	WP_002557782.1	WP_160581305.1
OG0000504	WP_160583855.1	WP_002557806.1
OG0000505	WP_160581345.1	WP_160581345.1
OG0000506	WP_002557814.1	WP_002557814.1
OG0000507	WP_160605483.1	WP_002557821.1
OG0000508	WP_160605286.1	WP_002557900.1
OG0000509	WP_220190747.1	WP_220190183.1
OG0000510	WP_160605294.1	WP_160581040.1
OG0000511	WP_002557935.1	WP_002557935.1
OG0000512	WP_160605375.1	WP_002557985.1
OG0000513	WP_160605593.1	WP_039387707.1
OG0000514	WP_160605332.1	WP_160580894.1
OG0000516	WP_308705462.1, WP_258555149.1	WP_160581472.1
OG0000517	WP_160581087.1	WP_160581087.1
OG0000518	WP_160605542.1	WP_160581261.1
OG0000519	WP_160605472.1	WP_002557785.1
OG0000520	WP_002557809.1	WP_160581350.1
OG0000521	WP_002557903.1	WP_002557903.1
OG0000522	WP_160605296.1	WP_160581038.1
OG0000523	WP_160605601.1	WP_160581394.1
OG0000524	WP_220190752.1	WP_220200547.1
OG0000525	WP_308705459.1	WP_308704662.1
OG0000528	WP_160581474.1	WP_160581474.1
OG0000529	WP_160583937.1	WP_160581156.1
OG0000530	WP_002557529.1	WP_160581171.1
OG0000531	WP_002557551.1	WP_160581198.1
OG0000533	WP_002557841.1	WP_160581332.1
OG0000534	WP_002557926.1	WP_002557926.1
OG0000535	WP_160605560.1	WP_002557470.1
OG0000536	WP_160605588.1	WP_160581120.1
OG0000537	WP_002557776.1	WP_002557776.1
OG0000538	WP_160605491.1	WP_160581324.1
OG0000539	WP_002557892.1	WP_002557892.1
OG0000541	WP_160603067.1	WP_160580939.1
OG0000542	WP_160581026.1	WP_160581026.1
OG0000547	WP_160580878.1	WP_160580878.1
OG0000548	WP_160605406.1	WP_160581410.1
OG0000549	WP_160605609.1	WP_160581401.1
OG0000550	WP_160603142.1	WP_160581373.1
OG0000551	WP_231237875.1	WP_258555783.1
OG0000555	WP_258555108.1	WP_002557605.1
OG0000596	WP_160605568.1	WP_160581071.1
OG0000598	WP_160605566.1	WP_160581073.1
OG0000599	WP_039387482.1	WP_160581075.1
OG0000602	WP_220190799.1	WP_160581454.1
OG0000634	WP_160605506.1	WP_160581148.1
OG0000635	WP_160605358.1	WP_160580945.1
OG0000636	WP_255454504.1	WP_255454504.1
OG0000637	WP_002557764.1	WP_002557764.1
OG0000638	WP_002557938.1	WP_002557938.1
OG0000639	WP_160605493.1	WP_155897263.1
OG0000640	WP_255454454.1	WP_255454454.1
OG0000643	WP_258555125.1	WP_002557854.1
