Orthogroup	MHP_F72C_genes	MHP_ES2L_genes
OG0000092	EHI52_RS00040	HZK19_RS00040
OG0000093	EHI52_RS00035	HZK19_RS00035
OG0000094	EHI52_RS00030	HZK19_RS00030
OG0000095	EHI52_RS00005	HZK19_RS00005
OG0000096	EHI52_RS03620	HZK19_RS03665
OG0000097	EHI52_RS03600	HZK19_RS03645
OG0000098	EHI52_RS03590	HZK19_RS03635
OG0000099	EHI52_RS03540	HZK19_RS03585
OG0000100	EHI52_RS03520	HZK19_RS03570
OG0000101	EHI52_RS03515	HZK19_RS03565
OG0000102	EHI52_RS01760	HZK19_RS01675
OG0000103	EHI52_RS02225	HZK19_RS02185
OG0000104	EHI52_RS02230	HZK19_RS02190
OG0000105	EHI52_RS02245	HZK19_RS02205
OG0000106	EHI52_RS02255	HZK19_RS02215
OG0000107	EHI52_RS02265	HZK19_RS02225
OG0000108	EHI52_RS02270	HZK19_RS02230
OG0000109	EHI52_RS02275	HZK19_RS02235
OG0000110	EHI52_RS02395	HZK19_RS02355
OG0000111	EHI52_RS02390	HZK19_RS02350
OG0000112	EHI52_RS02380	HZK19_RS02340
OG0000113	EHI52_RS02360	HZK19_RS02320
OG0000114	EHI52_RS02350	HZK19_RS02310
OG0000115	EHI52_RS02335	HZK19_RS02300
OG0000116	EHI52_RS01360	HZK19_RS01265
OG0000117	EHI52_RS01365	HZK19_RS01270
OG0000118	EHI52_RS01400	HZK19_RS01305
OG0000119	EHI52_RS01405	HZK19_RS01310
OG0000120	EHI52_RS01420	HZK19_RS01325
OG0000121	EHI52_RS01445	HZK19_RS01350
OG0000122	EHI52_RS01450	HZK19_RS01355
OG0000123	EHI52_RS01470	HZK19_RS01375
OG0000124	EHI52_RS01475	HZK19_RS01380
OG0000125	EHI52_RS01480	HZK19_RS01385
OG0000126	EHI52_RS01490	HZK19_RS01395
OG0000127	EHI52_RS01500	HZK19_RS01405
OG0000128	EHI52_RS01515	HZK19_RS01420
OG0000129	EHI52_RS01520	HZK19_RS01425
OG0000130	EHI52_RS01530	HZK19_RS01435
OG0000131	EHI52_RS01560	HZK19_RS01465
OG0000132	EHI52_RS01575	HZK19_RS01480
OG0000133	EHI52_RS00545	HZK19_RS00520
OG0000134	EHI52_RS00550	HZK19_RS00525
OG0000135	EHI52_RS00565	HZK19_RS00540
OG0000136	EHI52_RS00570	HZK19_RS00545
OG0000137	EHI52_RS00600	HZK19_RS00575
OG0000138	EHI52_RS00635	HZK19_RS00610
OG0000139	EHI52_RS00665	HZK19_RS00640
OG0000140	EHI52_RS00670	HZK19_RS00645
OG0000141	EHI52_RS02925	HZK19_RS02895
OG0000142	EHI52_RS02920	HZK19_RS02890
OG0000143	EHI52_RS02895	HZK19_RS02870
OG0000144	EHI52_RS02885	HZK19_RS02860
OG0000145	EHI52_RS02875	HZK19_RS02850
OG0000146	EHI52_RS02865	HZK19_RS02840
OG0000147	EHI52_RS02860	HZK19_RS02835
OG0000148	EHI52_RS02845	HZK19_RS02820
OG0000149	EHI52_RS02835	HZK19_RS02810
OG0000150	EHI52_RS02820	HZK19_RS02795
OG0000151	EHI52_RS02775	HZK19_RS02750
OG0000152	EHI52_RS02770	HZK19_RS02745
OG0000153	EHI52_RS02765	HZK19_RS02740
OG0000154	EHI52_RS02755	HZK19_RS02730
OG0000155	EHI52_RS02715	HZK19_RS02690
OG0000156	EHI52_RS02705	HZK19_RS02680
OG0000157	EHI52_RS02700	HZK19_RS02675
OG0000158	EHI52_RS03885	HZK19_RS03895
OG0000159	EHI52_RS03925	HZK19_RS03970
OG0000160	EHI52_RS02460	HZK19_RS02425
OG0000161	EHI52_RS02455	HZK19_RS02420
OG0000162	EHI52_RS02445	HZK19_RS02410
OG0000163	EHI52_RS02440	HZK19_RS02405
OG0000164	EHI52_RS01665	HZK19_RS01575
OG0000165	EHI52_RS01995	HZK19_RS01905
OG0000166	EHI52_RS01975	HZK19_RS01925
OG0000167	EHI52_RS01960	HZK19_RS01940
OG0000168	EHI52_RS01955	HZK19_RS01945
OG0000169	EHI52_RS03055	HZK19_RS02990
OG0000170	EHI52_RS03075	HZK19_RS03005
OG0000171	EHI52_RS03085	HZK19_RS03110
OG0000172	EHI52_RS03095	HZK19_RS03115
OG0000173	EHI52_RS03100	HZK19_RS03120
OG0000174	EHI52_RS03105	HZK19_RS03125
OG0000175	EHI52_RS03120	HZK19_RS03140
OG0000176	EHI52_RS03170	HZK19_RS03190
OG0000177	EHI52_RS03175	HZK19_RS03195
OG0000178	EHI52_RS03180	HZK19_RS03200
OG0000179	EHI52_RS03190	HZK19_RS03210
OG0000180	EHI52_RS03195	HZK19_RS03215
OG0000181	EHI52_RS03235	HZK19_RS03265
OG0000182	EHI52_RS03245	HZK19_RS03275
OG0000183	EHI52_RS03280	HZK19_RS03310
OG0000184	EHI52_RS03325	HZK19_RS03355
OG0000185	EHI52_RS03310	HZK19_RS03340
OG0000186	EHI52_RS01585	HZK19_RS01490
OG0000187	EHI52_RS01600	HZK19_RS01505
OG0000188	EHI52_RS01610	HZK19_RS01515
OG0000189	EHI52_RS02310	HZK19_RS02270
OG0000190	EHI52_RS02305	HZK19_RS02265
OG0000191	EHI52_RS02285	HZK19_RS02245
OG0000192	EHI52_RS01280	HZK19_RS01180
OG0000193	EHI52_RS01270	HZK19_RS01175
OG0000194	EHI52_RS00690	HZK19_RS00665
OG0000195	EHI52_RS00695	HZK19_RS00670
OG0000196	EHI52_RS00715	HZK19_RS00690
OG0000197	EHI52_RS00720	HZK19_RS00695
OG0000198	EHI52_RS00735	HZK19_RS00710
OG0000199	EHI52_RS00740	HZK19_RS00715
OG0000200	EHI52_RS00755	HZK19_RS00730
OG0000201	EHI52_RS00765	HZK19_RS00740
OG0000202	EHI52_RS00820	HZK19_RS00795
OG0000203	EHI52_RS00825	HZK19_RS00800
OG0000204	EHI52_RS00830	HZK19_RS00805
OG0000205	EHI52_RS00835	HZK19_RS00810
OG0000206	EHI52_RS00855	HZK19_RS00830
OG0000207	EHI52_RS00870	HZK19_RS00845
OG0000208	EHI52_RS00875	HZK19_RS00850
OG0000209	EHI52_RS00880	HZK19_RS00855
OG0000210	EHI52_RS00925	HZK19_RS00900
OG0000211	EHI52_RS01005	HZK19_RS00910
OG0000212	EHI52_RS01015	HZK19_RS00920
OG0000213	EHI52_RS01020	HZK19_RS00925
OG0000214	EHI52_RS01025	HZK19_RS00930
OG0000215	EHI52_RS01030	HZK19_RS00935
OG0000216	EHI52_RS01035	HZK19_RS00940
OG0000217	EHI52_RS01040	HZK19_RS00945
OG0000218	EHI52_RS01050	HZK19_RS00955
OG0000219	EHI52_RS01055	HZK19_RS00960
OG0000220	EHI52_RS01060	HZK19_RS00965
OG0000221	EHI52_RS01065	HZK19_RS00970
OG0000222	EHI52_RS01070	HZK19_RS00975
OG0000223	EHI52_RS01075	HZK19_RS00980
OG0000224	EHI52_RS01085	HZK19_RS00990
OG0000225	EHI52_RS01095	HZK19_RS01000
OG0000226	EHI52_RS01100	HZK19_RS01005
OG0000227	EHI52_RS01105	HZK19_RS01010
OG0000228	EHI52_RS03905	HZK19_RS03950
OG0000229	EHI52_RS01115	HZK19_RS01020
OG0000230	EHI52_RS01120	HZK19_RS01025
OG0000231	EHI52_RS01130	HZK19_RS01035
OG0000232	EHI52_RS01140	HZK19_RS01045
OG0000233	EHI52_RS01165	HZK19_RS01070
OG0000234	EHI52_RS01200	HZK19_RS01105
OG0000235	EHI52_RS01210	HZK19_RS01115
OG0000236	EHI52_RS01215	HZK19_RS01120
OG0000237	EHI52_RS01220	HZK19_RS01125
OG0000238	EHI52_RS01230	HZK19_RS01130
OG0000239	EHI52_RS02935	HZK19_RS02905
OG0000240	EHI52_RS02940	HZK19_RS02910
OG0000241	EHI52_RS02950	HZK19_RS02920
OG0000242	EHI52_RS02955	HZK19_RS02925
OG0000243	EHI52_RS02960	HZK19_RS02930
OG0000244	EHI52_RS02970	HZK19_RS02940
OG0000245	EHI52_RS02980	HZK19_RS02950
OG0000246	EHI52_RS00140	HZK19_RS00125
OG0000247	EHI52_RS00150	HZK19_RS00135
OG0000248	EHI52_RS00160	HZK19_RS00145
OG0000249	EHI52_RS00165	HZK19_RS00150
OG0000250	EHI52_RS00180	HZK19_RS00165
OG0000251	EHI52_RS00215	HZK19_RS00195
OG0000252	EHI52_RS00225	HZK19_RS00205
OG0000253	EHI52_RS00230	HZK19_RS00210
OG0000254	EHI52_RS00240	HZK19_RS00220
OG0000255	EHI52_RS00250	HZK19_RS00225
OG0000256	EHI52_RS00255	HZK19_RS00230
OG0000257	EHI52_RS00280	HZK19_RS00255
OG0000258	EHI52_RS00290	HZK19_RS00265
OG0000259	EHI52_RS00320	HZK19_RS00295
OG0000260	EHI52_RS00330	HZK19_RS00305
OG0000261	EHI52_RS00340	HZK19_RS00315
OG0000262	EHI52_RS00360	HZK19_RS00330
OG0000263	EHI52_RS00375	HZK19_RS00345
OG0000264	EHI52_RS00390	HZK19_RS00360
OG0000265	EHI52_RS00400	HZK19_RS00370
OG0000266	EHI52_RS00415	HZK19_RS00385
OG0000267	EHI52_RS00430	HZK19_RS00400
OG0000268	EHI52_RS00435	HZK19_RS00405
OG0000269	EHI52_RS00450	HZK19_RS00420
OG0000270	EHI52_RS03490	HZK19_RS03540
OG0000271	EHI52_RS03485	HZK19_RS03535
OG0000272	EHI52_RS03480	HZK19_RS03530
OG0000273	EHI52_RS03475	HZK19_RS03525
OG0000274	EHI52_RS03455	HZK19_RS03505
OG0000275	EHI52_RS03450	HZK19_RS03500
OG0000276	EHI52_RS03445	HZK19_RS03495
OG0000277	EHI52_RS03435	HZK19_RS03485
OG0000278	EHI52_RS03430	HZK19_RS03480
OG0000279	EHI52_RS03420	HZK19_RS03470
OG0000280	EHI52_RS03415	HZK19_RS03465
OG0000281	EHI52_RS03410	HZK19_RS03460
OG0000282	EHI52_RS03385	HZK19_RS03435
OG0000283	EHI52_RS03380	HZK19_RS03430
OG0000284	EHI52_RS03375	HZK19_RS03425
OG0000285	EHI52_RS03370	HZK19_RS03420
OG0000286	EHI52_RS02425	HZK19_RS02390
OG0000287	EHI52_RS02515	HZK19_RS02485
OG0000288	EHI52_RS02525	HZK19_RS02495
OG0000289	EHI52_RS02530	HZK19_RS02500
OG0000290	EHI52_RS02640	HZK19_RS02610
OG0000291	EHI52_RS02630	HZK19_RS02600
OG0000292	EHI52_RS02625	HZK19_RS02595
OG0000293	EHI52_RS02620	HZK19_RS02590
OG0000294	EHI52_RS02610	HZK19_RS02580
OG0000295	EHI52_RS02605	HZK19_RS02575
OG0000296	EHI52_RS02565	HZK19_RS02535
OG0000297	EHI52_RS02560	HZK19_RS02530
OG0000298	EHI52_RS00175	HZK19_RS00160
OG0000299	EHI52_RS00200	HZK19_RS00180
OG0000300	EHI52_RS00385	HZK19_RS00355
OG0000301	EHI52_RS00420	HZK19_RS00390
OG0000302	EHI52_RS00425	HZK19_RS00395
OG0000303	EHI52_RS00575	HZK19_RS00550
OG0000304	EHI52_RS01145	HZK19_RS01055
OG0000305	EHI52_RS02870	HZK19_RS02845
OG0000306	EHI52_RS02795	HZK19_RS02770
OG0000307	EHI52_RS02760	HZK19_RS02735
OG0000308	EHI52_RS02660	HZK19_RS02635
OG0000309	EHI52_RS02595	HZK19_RS02565
OG0000310	EHI52_RS02520	HZK19_RS02490
OG0000311	EHI52_RS02485	HZK19_RS02450
OG0000312	EHI52_RS02470	HZK19_RS02435
OG0000313	EHI52_RS01655	HZK19_RS01565
OG0000314	EHI52_RS01980	HZK19_RS01920
OG0000315	EHI52_RS01950	HZK19_RS01950
OG0000316	EHI52_RS01940	HZK19_RS01960
OG0000317	EHI52_RS01850	HZK19_RS02055
OG0000318	EHI52_RS01935	HZK19_RS01965
OG0000319	EHI52_RS02240	HZK19_RS02200
OG0000320	EHI52_RS02370	HZK19_RS02330
OG0000321	EHI52_RS01395	HZK19_RS01300
OG0000322	EHI52_RS01440	HZK19_RS01345
OG0000323	EHI52_RS01570	HZK19_RS01475
OG0000324	EHI52_RS02280	HZK19_RS02240
OG0000325	EHI52_RS00700	HZK19_RS00675
OG0000326	EHI52_RS00795	HZK19_RS00770
OG0000327	EHI52_RS00800	HZK19_RS00775
OG0000328	EHI52_RS00885	HZK19_RS00860
OG0000329	EHI52_RS00905	HZK19_RS00880
OG0000330	EHI52_RS01175	HZK19_RS01080
OG0000331	EHI52_RS02965	HZK19_RS02935
OG0000332	EHI52_RS03130	HZK19_RS03150
OG0000333	EHI52_RS03140	HZK19_RS03160
OG0000334	EHI52_RS03240	HZK19_RS03270
OG0000335	EHI52_RS03250	HZK19_RS03280
OG0000336	EHI52_RS03400	HZK19_RS03450
OG0000337	EHI52_RS03575	HZK19_RS03620
OG0000338	EHI52_RS03615	HZK19_RS03660
OG0000339	EHI52_RS02340	HZK19_RS02305
OG0000340	EHI52_RS01375	HZK19_RS01280
OG0000341	EHI52_RS02300	HZK19_RS02260
OG0000342	EHI52_RS00730	HZK19_RS00705
OG0000343	EHI52_RS03150	HZK19_RS03170
OG0000344	EHI52_RS00590	HZK19_RS00565
OG0000345	EHI52_RS01090	HZK19_RS00995
OG0000346	EHI52_RS03405	HZK19_RS03455
OG0000347	EHI52_RS01465	HZK19_RS01370
OG0000348	EHI52_RS00805	HZK19_RS00780
OG0000349	EHI52_RS03465	HZK19_RS03515
OG0000350	EHI52_RS02750	HZK19_RS02725
OG0000351	EHI52_RS00510	HZK19_RS00480
OG0000352	EHI52_RS02000	HZK19_RS01895
OG0000353	EHI52_RS01435	HZK19_RS01340
OG0000354	EHI52_RS00650	HZK19_RS00625
OG0000355	EHI52_RS02030	HZK19_RS01870
OG0000356	EHI52_RS01945	HZK19_RS01955
OG0000357	EHI52_RS03110	HZK19_RS03130
OG0000358	EHI52_RS03115	HZK19_RS03135
OG0000359	EHI52_RS00775	HZK19_RS00750
OG0000360	EHI52_RS00285	HZK19_RS00260
OG0000361	EHI52_RS00315	HZK19_RS00290
OG0000362	EHI52_RS02540	HZK19_RS02510
OG0000363	EHI52_RS01505	HZK19_RS03730
OG0000364	EHI52_RS03790, EHI52_RS02055	HZK19_RS03760
OG0000365	EHI52_RS01905	HZK19_RS02000
OG0000366	EHI52_RS01880	HZK19_RS02025
OG0000367	EHI52_RS01870	HZK19_RS02035
OG0000368	EHI52_RS00060	HZK19_RS00060
OG0000369	EHI52_RS00025	HZK19_RS00025
OG0000370	EHI52_RS00020	HZK19_RS00020
OG0000371	EHI52_RS00015	HZK19_RS00015
OG0000372	EHI52_RS00010	HZK19_RS00010
OG0000373	EHI52_RS03605	HZK19_RS03650
OG0000374	EHI52_RS03595	HZK19_RS03640
OG0000375	EHI52_RS02235	HZK19_RS02195
OG0000376	EHI52_RS02385	HZK19_RS02345
OG0000377	EHI52_RS02375	HZK19_RS02335
OG0000378	EHI52_RS01355	HZK19_RS01260
OG0000379	EHI52_RS01430	HZK19_RS01335
OG0000380	EHI52_RS01455	HZK19_RS01360
OG0000381	EHI52_RS01495	HZK19_RS01400
OG0000382	EHI52_RS01525	HZK19_RS01430
OG0000383	EHI52_RS01565	HZK19_RS01470
OG0000384	EHI52_RS00530	HZK19_RS00505
OG0000385	EHI52_RS00535	HZK19_RS00510
OG0000386	EHI52_RS00555	HZK19_RS00530
OG0000387	EHI52_RS00580	HZK19_RS00555
OG0000388	EHI52_RS00585	HZK19_RS00560
OG0000389	EHI52_RS00630	HZK19_RS00605
OG0000390	EHI52_RS02890	HZK19_RS02865
OG0000391	EHI52_RS02880	HZK19_RS02855
OG0000392	EHI52_RS02855	HZK19_RS02830
OG0000393	EHI52_RS02800	HZK19_RS02775
OG0000394	EHI52_RS02725	HZK19_RS02700
OG0000395	EHI52_RS02720	HZK19_RS02695
OG0000396	EHI52_RS02430	HZK19_RS02395
OG0000397	EHI52_RS02015	HZK19_RS01880
OG0000398	EHI52_RS02010	HZK19_RS01885
OG0000399	EHI52_RS01965	HZK19_RS01935
OG0000400	EHI52_RS03070	HZK19_RS03000
OG0000401	EHI52_RS03135	HZK19_RS03155
OG0000402	EHI52_RS03145	HZK19_RS03165
OG0000403	EHI52_RS03155	HZK19_RS03175
OG0000404	EHI52_RS03185	HZK19_RS03205
OG0000405	EHI52_RS03200	HZK19_RS03220
OG0000406	EHI52_RS03255	HZK19_RS03285
OG0000407	EHI52_RS03260	HZK19_RS03290
OG0000408	EHI52_RS03265	HZK19_RS03295
OG0000409	EHI52_RS03270	HZK19_RS03300
OG0000410	EHI52_RS03330	HZK19_RS03360
OG0000411	EHI52_RS03320	HZK19_RS03350
OG0000412	EHI52_RS03315	HZK19_RS03345
OG0000413	EHI52_RS01580	HZK19_RS01485
OG0000414	EHI52_RS01590	HZK19_RS01495
OG0000415	EHI52_RS01595	HZK19_RS01500
OG0000416	EHI52_RS01605	HZK19_RS01510
OG0000417	EHI52_RS02295	HZK19_RS02255
OG0000418	EHI52_RS02290	HZK19_RS02250
OG0000419	EHI52_RS00710	HZK19_RS00685
OG0000420	EHI52_RS00745	HZK19_RS00720
OG0000421	EHI52_RS00780	HZK19_RS00755
OG0000422	EHI52_RS00790	HZK19_RS00765
OG0000423	EHI52_RS00845	HZK19_RS00820
OG0000424	EHI52_RS00850	HZK19_RS00825
OG0000425	EHI52_RS00860	HZK19_RS00835
OG0000426	EHI52_RS00865	HZK19_RS00840
OG0000427	EHI52_RS00890	HZK19_RS00865
OG0000428	EHI52_RS00915	HZK19_RS00890
OG0000429	EHI52_RS01080	HZK19_RS00985
OG0000430	EHI52_RS01125	HZK19_RS01030
OG0000431	EHI52_RS01135	HZK19_RS01040
OG0000432	EHI52_RS01170	HZK19_RS01075
OG0000433	EHI52_RS01185	HZK19_RS01090
OG0000434	EHI52_RS01190	HZK19_RS01095
OG0000435	EHI52_RS01205	HZK19_RS01110
OG0000436	EHI52_RS01235	HZK19_RS01135
OG0000437	EHI52_RS01245	HZK19_RS01145
OG0000438	EHI52_RS01250	HZK19_RS01150
OG0000439	EHI52_RS01255	HZK19_RS01155
OG0000440	EHI52_RS02945	HZK19_RS02915
OG0000441	EHI52_RS02985	HZK19_RS02955
OG0000442	EHI52_RS00145	HZK19_RS00130
OG0000443	EHI52_RS00195	HZK19_RS00175
OG0000444	EHI52_RS00210	HZK19_RS00190
OG0000445	EHI52_RS00235	HZK19_RS00215
OG0000446	EHI52_RS00265	HZK19_RS00240
OG0000447	EHI52_RS00270	HZK19_RS00245
OG0000448	EHI52_RS00300	HZK19_RS00275
OG0000449	EHI52_RS00325	HZK19_RS00300
OG0000450	EHI52_RS00335	HZK19_RS00310
OG0000451	EHI52_RS00380	HZK19_RS00350
OG0000452	EHI52_RS00405	HZK19_RS00375
OG0000453	EHI52_RS00440	HZK19_RS00410
OG0000455	EHI52_RS03510	HZK19_RS03560
OG0000456	EHI52_RS03390	HZK19_RS03440
OG0000457	EHI52_RS03365	HZK19_RS03415
OG0000458	EHI52_RS02510	HZK19_RS02480
OG0000459	EHI52_RS02535	HZK19_RS02505
OG0000460	EHI52_RS02545	HZK19_RS02520
OG0000461	EHI52_RS02590	HZK19_RS02560
OG0000462	EHI52_RS02585	HZK19_RS02555
OG0000463	EHI52_RS02580	HZK19_RS02550
OG0000465	EHI52_RS02570	HZK19_RS02545
OG0000466	EHI52_RS00410	HZK19_RS00380
OG0000467	EHI52_RS02670	HZK19_RS02645
OG0000468	EHI52_RS01970	HZK19_RS01930
OG0000469	EHI52_RS01910	HZK19_RS01990
OG0000470	EHI52_RS03650	HZK19_RS00815
OG0000471	EHI52_RS00920	HZK19_RS00895
OG0000472	EHI52_RS03340	HZK19_RS03370
OG0000473	EHI52_RS03495	HZK19_RS03545
OG0000474	EHI52_RS03500	HZK19_RS03550
OG0000475	EHI52_RS03505	HZK19_RS03555
OG0000476	EHI52_RS01615	HZK19_RS01520
OG0000477	EHI52_RS02615	HZK19_RS02585
OG0000478	EHI52_RS03440	HZK19_RS03490
OG0000479	EHI52_RS01390	HZK19_RS01295
OG0000480	EHI52_RS03665	HZK19_RS01995
OG0000481	EHI52_RS00815	HZK19_RS00790
OG0000483	EHI52_RS01865	HZK19_RS02040
OG0000484	EHI52_RS00205	HZK19_RS00185
OG0000485	EHI52_RS01240	HZK19_RS01140
OG0000486	EHI52_RS02315	HZK19_RS02275
OG0000487	EHI52_RS01930	HZK19_RS01970
OG0000488	EHI52_RS01895	HZK19_RS02010
OG0000489	EHI52_RS00050	HZK19_RS00050
OG0000490	EHI52_RS03610	HZK19_RS03655
OG0000491	EHI52_RS01410	HZK19_RS01315
OG0000492	EHI52_RS01485	HZK19_RS01390
OG0000493	EHI52_RS00595	HZK19_RS00570
OG0000494	EHI52_RS00655	HZK19_RS00630
OG0000495	EHI52_RS02825	HZK19_RS02800
OG0000496	EHI52_RS02815	HZK19_RS02790
OG0000497	EHI52_RS02810	HZK19_RS02785
OG0000498	EHI52_RS02730	HZK19_RS02705
OG0000499	EHI52_RS02695	HZK19_RS02670
OG0000500	EHI52_RS02005	HZK19_RS01890
OG0000501	EHI52_RS03080	HZK19_RS03010
OG0000502	EHI52_RS01265	HZK19_RS01165
OG0000503	EHI52_RS00760	HZK19_RS00735
OG0000504	EHI52_RS00895	HZK19_RS00870
