Orthogroup	MHP_F72C_genes	MHP_KM014_genes
OG0000122	EHI52_RS01450	CIB43_RS02255
OG0000123	EHI52_RS01470	CIB43_RS02275
OG0000124	EHI52_RS01475	CIB43_RS02280
OG0000125	EHI52_RS01480	CIB43_RS02285
OG0000126	EHI52_RS01490	CIB43_RS02295
OG0000127	EHI52_RS01500	CIB43_RS02305
OG0000128	EHI52_RS01515	CIB43_RS02320
OG0000129	EHI52_RS01520	CIB43_RS02330
OG0000130	EHI52_RS01530	CIB43_RS02335
OG0000131	EHI52_RS01560	CIB43_RS02370
OG0000132	EHI52_RS01575	CIB43_RS02385
OG0000133	EHI52_RS00545	CIB43_RS01415
OG0000134	EHI52_RS00550	CIB43_RS01425
OG0000135	EHI52_RS00565	CIB43_RS01435
OG0000136	EHI52_RS00570	CIB43_RS01440
OG0000137	EHI52_RS00600	CIB43_RS01470
OG0000138	EHI52_RS00635	CIB43_RS01495
OG0000139	EHI52_RS00665	CIB43_RS01525
OG0000140	EHI52_RS00670	CIB43_RS01540
OG0000141	EHI52_RS02925	CIB43_RS03850
OG0000142	EHI52_RS02920	CIB43_RS03845
OG0000143	EHI52_RS02895	CIB43_RS03835
OG0000144	EHI52_RS02885	CIB43_RS03815
OG0000145	EHI52_RS02875	CIB43_RS03805
OG0000146	EHI52_RS02865	CIB43_RS03790
OG0000147	EHI52_RS02860	CIB43_RS03785
OG0000148	EHI52_RS02845	CIB43_RS03780
OG0000149	EHI52_RS02835	CIB43_RS03760
OG0000150	EHI52_RS02820	CIB43_RS03745
OG0000151	EHI52_RS02775	CIB43_RS03700
OG0000152	EHI52_RS02770	CIB43_RS03695
OG0000153	EHI52_RS02765	CIB43_RS03690
OG0000154	EHI52_RS02755	CIB43_RS03680
OG0000155	EHI52_RS02715	CIB43_RS03645
OG0000156	EHI52_RS02705	CIB43_RS03635
OG0000157	EHI52_RS02700	CIB43_RS03625
OG0000158	EHI52_RS03885	CIB43_RS03620
OG0000159	EHI52_RS03925	CIB43_RS03385
OG0000160	EHI52_RS02460	CIB43_RS03380
OG0000161	EHI52_RS02455	CIB43_RS03375
OG0000163	EHI52_RS02440	CIB43_RS03370
OG0000164	EHI52_RS01665	CIB43_RS02495
OG0000165	EHI52_RS01995	CIB43_RS02840
OG0000166	EHI52_RS01975	CIB43_RS02860
OG0000167	EHI52_RS01960	CIB43_RS02875
OG0000168	EHI52_RS01955	CIB43_RS02880
OG0000169	EHI52_RS03055	CIB43_RS00130
OG0000171	EHI52_RS03085	CIB43_RS00155
OG0000172	EHI52_RS03095	CIB43_RS00160
OG0000173	EHI52_RS03100	CIB43_RS00165
OG0000174	EHI52_RS03105	CIB43_RS00170
OG0000175	EHI52_RS03120	CIB43_RS00190
OG0000176	EHI52_RS03170	CIB43_RS00235
OG0000177	EHI52_RS03175	CIB43_RS00240
OG0000178	EHI52_RS03180	CIB43_RS00245
OG0000179	EHI52_RS03190	CIB43_RS00255
OG0000180	EHI52_RS03195	CIB43_RS00260
OG0000181	EHI52_RS03235	CIB43_RS00310
OG0000182	EHI52_RS03245	CIB43_RS00320
OG0000183	EHI52_RS03280	CIB43_RS00355
OG0000184	EHI52_RS03325	CIB43_RS00430
OG0000185	EHI52_RS03310	CIB43_RS00380
OG0000186	EHI52_RS01585	CIB43_RS02400
OG0000187	EHI52_RS01600	CIB43_RS02410
OG0000188	EHI52_RS01610	CIB43_RS02425
OG0000189	EHI52_RS02310	CIB43_RS03200
OG0000190	EHI52_RS02305	CIB43_RS03195
OG0000191	EHI52_RS02285	CIB43_RS03180
OG0000192	EHI52_RS01280	CIB43_RS02085
OG0000193	EHI52_RS01270	CIB43_RS02075
OG0000194	EHI52_RS00690	CIB43_RS01560
OG0000195	EHI52_RS00695	CIB43_RS01565
OG0000196	EHI52_RS00715	CIB43_RS01585
OG0000197	EHI52_RS00720	CIB43_RS01590
OG0000198	EHI52_RS00735	CIB43_RS01605
OG0000199	EHI52_RS00740	CIB43_RS01615
OG0000200	EHI52_RS00755	CIB43_RS01630
OG0000201	EHI52_RS00765	CIB43_RS01635
OG0000202	EHI52_RS00820	CIB43_RS01690
OG0000203	EHI52_RS00825	CIB43_RS01695
OG0000204	EHI52_RS00830	CIB43_RS01700
OG0000205	EHI52_RS00835	CIB43_RS01705
OG0000206	EHI52_RS00855	CIB43_RS01735
OG0000207	EHI52_RS00870	CIB43_RS01740
OG0000208	EHI52_RS00875	CIB43_RS01745
OG0000209	EHI52_RS00880	CIB43_RS01750
OG0000210	EHI52_RS00925	CIB43_RS01800
OG0000211	EHI52_RS01005	CIB43_RS01805
OG0000212	EHI52_RS01015	CIB43_RS01815
OG0000213	EHI52_RS01020	CIB43_RS01820
OG0000214	EHI52_RS01025	CIB43_RS01825
OG0000215	EHI52_RS01030	CIB43_RS01830
OG0000216	EHI52_RS01035	CIB43_RS01835
OG0000217	EHI52_RS01040	CIB43_RS01845
OG0000218	EHI52_RS01050	CIB43_RS01850
OG0000219	EHI52_RS01055	CIB43_RS01855
OG0000220	EHI52_RS01060	CIB43_RS01860
OG0000221	EHI52_RS01065	CIB43_RS01865
OG0000222	EHI52_RS01070	CIB43_RS01870
OG0000223	EHI52_RS01075	CIB43_RS01875
OG0000225	EHI52_RS01095	CIB43_RS01895
OG0000226	EHI52_RS01100	CIB43_RS01900
OG0000227	EHI52_RS01105	CIB43_RS01905
OG0000228	EHI52_RS03905	CIB43_RS01910
OG0000229	EHI52_RS01115	CIB43_RS01915
OG0000230	EHI52_RS01120	CIB43_RS01920
OG0000231	EHI52_RS01130	CIB43_RS01935
OG0000232	EHI52_RS01140	CIB43_RS01940
OG0000233	EHI52_RS01165	CIB43_RS01965
OG0000234	EHI52_RS01200	CIB43_RS02000
OG0000235	EHI52_RS01210	CIB43_RS02005
OG0000236	EHI52_RS01215	CIB43_RS02010
OG0000237	EHI52_RS01220	CIB43_RS02015
OG0000238	EHI52_RS01230	CIB43_RS02025
OG0000239	EHI52_RS02935	CIB43_RS03860
OG0000240	EHI52_RS02940	CIB43_RS03870
OG0000241	EHI52_RS02950	CIB43_RS03875
OG0000242	EHI52_RS02955	CIB43_RS03880
OG0000243	EHI52_RS02960	CIB43_RS03885
OG0000244	EHI52_RS02970	CIB43_RS03900
OG0000245	EHI52_RS02980	CIB43_RS03905
OG0000246	EHI52_RS00140	CIB43_RS00845
OG0000247	EHI52_RS00150	CIB43_RS00850
OG0000248	EHI52_RS00160	CIB43_RS00875
OG0000250	EHI52_RS00180	CIB43_RS00885
OG0000251	EHI52_RS00215	CIB43_RS00925
OG0000252	EHI52_RS00225	CIB43_RS00930
OG0000253	EHI52_RS00230	CIB43_RS00940
OG0000254	EHI52_RS00240	CIB43_RS00950
OG0000255	EHI52_RS00250	CIB43_RS00955
OG0000256	EHI52_RS00255	CIB43_RS00960
OG0000257	EHI52_RS00280	CIB43_RS00985
OG0000258	EHI52_RS00290	CIB43_RS01015
OG0000259	EHI52_RS00320	CIB43_RS01030
OG0000260	EHI52_RS00330	CIB43_RS01045
OG0000262	EHI52_RS00360	CIB43_RS01075
OG0000263	EHI52_RS00375	CIB43_RS01080
OG0000264	EHI52_RS00390	CIB43_RS01100
OG0000265	EHI52_RS00400	CIB43_RS01110
OG0000266	EHI52_RS00415	CIB43_RS01120
OG0000267	EHI52_RS00430	CIB43_RS01135
OG0000268	EHI52_RS00435	CIB43_RS01305
OG0000269	EHI52_RS00450	CIB43_RS01320
OG0000270	EHI52_RS03490	CIB43_RS00575
OG0000271	EHI52_RS03485	CIB43_RS00570
OG0000272	EHI52_RS03480	CIB43_RS00565
OG0000273	EHI52_RS03475	CIB43_RS00560
OG0000274	EHI52_RS03455	CIB43_RS00545
OG0000275	EHI52_RS03450	CIB43_RS00535
OG0000276	EHI52_RS03445	CIB43_RS00530
OG0000277	EHI52_RS03435	CIB43_RS00525
OG0000278	EHI52_RS03430	CIB43_RS00515
OG0000279	EHI52_RS03420	CIB43_RS00510
OG0000280	EHI52_RS03415	CIB43_RS00500
OG0000281	EHI52_RS03410	CIB43_RS00495
OG0000283	EHI52_RS03380	CIB43_RS00475
OG0000284	EHI52_RS03375	CIB43_RS00460
OG0000285	EHI52_RS03370	CIB43_RS00455
OG0000286	EHI52_RS02425	CIB43_RS03345
OG0000287	EHI52_RS02515	CIB43_RS03440
OG0000288	EHI52_RS02525	CIB43_RS03450
OG0000289	EHI52_RS02530	CIB43_RS03455
OG0000290	EHI52_RS02640	CIB43_RS03565
OG0000291	EHI52_RS02630	CIB43_RS03560
OG0000292	EHI52_RS02625	CIB43_RS03550
OG0000293	EHI52_RS02620	CIB43_RS03545
OG0000294	EHI52_RS02610	CIB43_RS03540
OG0000295	EHI52_RS02605	CIB43_RS03530
OG0000296	EHI52_RS02565	CIB43_RS03495
OG0000297	EHI52_RS02560	CIB43_RS03485
OG0000298	EHI52_RS00175	CIB43_RS00880
OG0000299	EHI52_RS00200	CIB43_RS00915
OG0000300	EHI52_RS00385	CIB43_RS01090
OG0000301	EHI52_RS00420	CIB43_RS01125
OG0000302	EHI52_RS00425	CIB43_RS01130
OG0000303	EHI52_RS00575	CIB43_RS01455
OG0000304	EHI52_RS01145	CIB43_RS01950
OG0000305	EHI52_RS02870	CIB43_RS03795
OG0000306	EHI52_RS02795	CIB43_RS03725
OG0000307	EHI52_RS02760	CIB43_RS03685
OG0000308	EHI52_RS02660	CIB43_RS03600
OG0000309	EHI52_RS02595	CIB43_RS03520
OG0000310	EHI52_RS02520	CIB43_RS03445
OG0000311	EHI52_RS02485	CIB43_RS03405
OG0000312	EHI52_RS02470	CIB43_RS03390
OG0000313	EHI52_RS01655	CIB43_RS02485
OG0000314	EHI52_RS01980	CIB43_RS02855
OG0000315	EHI52_RS01950	CIB43_RS02885
OG0000316	EHI52_RS01940	CIB43_RS02895
OG0000317	EHI52_RS01850	CIB43_RS02985
OG0000318	EHI52_RS01935	CIB43_RS02900
OG0000319	EHI52_RS02240	CIB43_RS03125
OG0000320	EHI52_RS02370	CIB43_RS03270
OG0000321	EHI52_RS01395	CIB43_RS02200
OG0000322	EHI52_RS01440	CIB43_RS02245
OG0000323	EHI52_RS01570	CIB43_RS02375
OG0000324	EHI52_RS02280	CIB43_RS03170
OG0000325	EHI52_RS00700	CIB43_RS01570
OG0000326	EHI52_RS00795	CIB43_RS01665
OG0000327	EHI52_RS00800	CIB43_RS01670
OG0000328	EHI52_RS00885	CIB43_RS01760
OG0000329	EHI52_RS00905	CIB43_RS01775
OG0000330	EHI52_RS01175	CIB43_RS01970
OG0000331	EHI52_RS02965	CIB43_RS03890
OG0000332	EHI52_RS03130	CIB43_RS00200
OG0000333	EHI52_RS03140	CIB43_RS00210
OG0000334	EHI52_RS03240	CIB43_RS00315
OG0000335	EHI52_RS03250	CIB43_RS00340
OG0000336	EHI52_RS03400	CIB43_RS00485
OG0000337	EHI52_RS03575	CIB43_RS00655
OG0000338	EHI52_RS03615	CIB43_RS00695
OG0000339	EHI52_RS02340	CIB43_RS03235
OG0000340	EHI52_RS01375	CIB43_RS02185
OG0000341	EHI52_RS02300	CIB43_RS03190
OG0000342	EHI52_RS00730	CIB43_RS01600
OG0000343	EHI52_RS03150	CIB43_RS00215
OG0000344	EHI52_RS00590	CIB43_RS01465
OG0000345	EHI52_RS01090	CIB43_RS01890
OG0000346	EHI52_RS03405	CIB43_RS00490
OG0000347	EHI52_RS01465	CIB43_RS02270
OG0000348	EHI52_RS00805	CIB43_RS01685
OG0000349	EHI52_RS03465	CIB43_RS00550
OG0000350	EHI52_RS02750	CIB43_RS03675
OG0000351	EHI52_RS00510	CIB43_RS01385
OG0000352	EHI52_RS02000	CIB43_RS02830
OG0000353	EHI52_RS01435	CIB43_RS02240
OG0000354	EHI52_RS00650	CIB43_RS01515
OG0000355	EHI52_RS02030	CIB43_RS02805
OG0000356	EHI52_RS01945	CIB43_RS02890
OG0000357	EHI52_RS03110	CIB43_RS00175
OG0000358	EHI52_RS03115	CIB43_RS00180
OG0000359	EHI52_RS00775	CIB43_RS01650
OG0000360	EHI52_RS00285	CIB43_RS00990
OG0000361	EHI52_RS00315	CIB43_RS01020
OG0000362	EHI52_RS02540	CIB43_RS03475
OG0000363	EHI52_RS01505	CIB43_RS02310
OG0000369	EHI52_RS00025	CIB43_RS00725
OG0000370	EHI52_RS00020	CIB43_RS00720
OG0000378	EHI52_RS01355	CIB43_RS02160
OG0000379	EHI52_RS01430	CIB43_RS02235
OG0000380	EHI52_RS01455	CIB43_RS02260
OG0000381	EHI52_RS01495	CIB43_RS02300
OG0000385	EHI52_RS00535	CIB43_RS01405
OG0000389	EHI52_RS00630	CIB43_RS01490
OG0000394	EHI52_RS02725	CIB43_RS03660
OG0000396	EHI52_RS02430	CIB43_RS03350
OG0000403	EHI52_RS03155	CIB43_RS00220
OG0000404	EHI52_RS03185	CIB43_RS00250
OG0000405	EHI52_RS03200	CIB43_RS00265
OG0000409	EHI52_RS03270	CIB43_RS00345
OG0000412	EHI52_RS03315	CIB43_RS00390
OG0000417	EHI52_RS02295	CIB43_RS03185
OG0000428	EHI52_RS00915	CIB43_RS01785
OG0000429	EHI52_RS01080	CIB43_RS01885
OG0000430	EHI52_RS01125	CIB43_RS01925
OG0000434	EHI52_RS01190	CIB43_RS01985
OG0000436	EHI52_RS01235	CIB43_RS02030
OG0000437	EHI52_RS01245	CIB43_RS02065
OG0000441	EHI52_RS02985	CIB43_RS03910
OG0000451	EHI52_RS00380	CIB43_RS01085
OG0000453	EHI52_RS00440	CIB43_RS01315
OG0000457	EHI52_RS03365	CIB43_RS00450
OG0000459	EHI52_RS02535	CIB43_RS03460
OG0000463	EHI52_RS02580	CIB43_RS03515
OG0000464	EHI52_RS02575	CIB43_RS03500
OG0000466	EHI52_RS00410	CIB43_RS01115
OG0000468	EHI52_RS01970	CIB43_RS02870
OG0000471	EHI52_RS00920	CIB43_RS01790
OG0000473	EHI52_RS03495	CIB43_RS00580
OG0000474	EHI52_RS03500	CIB43_RS00585
OG0000475	EHI52_RS03505	CIB43_RS00595
OG0000482	EHI52_RS01275	CIB43_RS02080
OG0000485	EHI52_RS01240	CIB43_RS02035
OG0000486	EHI52_RS02315	CIB43_RS03205
OG0000487	EHI52_RS01930	CIB43_RS02915
OG0000488	EHI52_RS01895	CIB43_RS02940
OG0000489	EHI52_RS00050	CIB43_RS00750
OG0000491	EHI52_RS01410	CIB43_RS02220
OG0000492	EHI52_RS01485	CIB43_RS02290
OG0000495	EHI52_RS02825	CIB43_RS03750
OG0000502	EHI52_RS01265	CIB43_RS02070
OG0000504	EHI52_RS00895	CIB43_RS01770
OG0000506	EHI52_RS01010	CIB43_RS01810
OG0000508	EHI52_RS00260	CIB43_RS00980
OG0000517	EHI52_RS00065	CIB43_RS00765
OG0000519	EHI52_RS00785	CIB43_RS01660
OG0000520	EHI52_RS00910	CIB43_RS01780
OG0000523	EHI52_RS03360	CIB43_RS00445
OG0000526	EHI52_RS03800	CIB43_RS02720
OG0000527	EHI52_RS02185	CIB43_RS02640
OG0000529	EHI52_RS02250	CIB43_RS03135
OG0000530	EHI52_RS02355	CIB43_RS03250
OG0000531	EHI52_RS01460	CIB43_RS02265
OG0000537	EHI52_RS00725	CIB43_RS01595
OG0000538	EHI52_RS01195	CIB43_RS01990
OG0000544	EHI52_RS01315	CIB43_RS02125
OG0000545	EHI52_RS02110	CIB43_RS02715
OG0000546	EHI52_RS02780	CIB43_RS03705
OG0000552	EHI52_RS03160	CIB43_RS00225
OG0000553	EHI52_RS02680	CIB43_RS03610
OG0000554	EHI52_RS02400	CIB43_RS03295
OG0000557	EHI52_RS01325	CIB43_RS02130
OG0000558	EHI52_RS01295	CIB43_RS02100
OG0000559	EHI52_RS01755	CIB43_RS02575
OG0000560	EHI52_RS02125	CIB43_RS02680
OG0000561	EHI52_RS01180	CIB43_RS01980
OG0000562	EHI52_RS02120	CIB43_RS02685
OG0000563	EHI52_RS02135	CIB43_RS02670
OG0000564	EHI52_RS03770	CIB43_RS02155
OG0000565	EHI52_RS02070	CIB43_RS02760
OG0000566	EHI52_RS02080	CIB43_RS02740
OG0000568	EHI52_RS00685	CIB43_RS01555
OG0000569	EHI52_RS01300	CIB43_RS02105
OG0000570	EHI52_RS01305	CIB43_RS02110
OG0000571	EHI52_RS01310	CIB43_RS02115
OG0000572	EHI52_RS01330	CIB43_RS02135
OG0000573	EHI52_RS01750	CIB43_RS02570
OG0000574	EHI52_RS01370	CIB43_RS02175
OG0000575	EHI52_RS01285	CIB43_RS02090
OG0000576	EHI52_RS01710	CIB43_RS02530
OG0000577	EHI52_RS02655	CIB43_RS03580
OG0000579	EHI52_RS02170	CIB43_RS02660
OG0000580	EHI52_RS03845	CIB43_RS03710
OG0000581	EHI52_RS02175	CIB43_RS02645
OG0000585	EHI52_RS02220	CIB43_RS03105
OG0000588	EHI52_RS01700	CIB43_RS02525
OG0000589	EHI52_RS00950	CIB43_RS03055
OG0000592	EHI52_RS02645	CIB43_RS03570
OG0000594	EHI52_RS01290	CIB43_RS02095
OG0000595	EHI52_RS03000	CIB43_RS03920
OG0000597	EHI52_RS02995	CIB43_RS03915
OG0000601	EHI52_RS02130	CIB43_RS02675
OG0000606	EHI52_RS02160	CIB43_RS02655
OG0000608	EHI52_RS02115	CIB43_RS02700, CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	EHI52_RS03640	CIB43_RS02730
OG0000613	EHI52_RS03785	CIB43_RS02785
