Orthogroup	MHP_F72C_genes	MHP_MHP653_genes
OG0000015	EHI52_RS01625	DR096_RS01405
OG0000015	EHI52_RS01690	DR096_RS01405
OG0000016	EHI52_RS02830	DR096_RS01150
OG0000016	EHI52_RS00170	DR096_RS00345
OG0000017	EHI52_RS00155	DR096_RS00360
OG0000017	EHI52_RS02840	DR096_RS01140
OG0000019	EHI52_RS03855, EHI52_RS03865	DR096_RS03940
OG0000020	EHI52_RS03550	DR096_RS03230
OG0000020	EHI52_RS03555	DR096_RS04775
OG0000022	EHI52_RS01715	DR096_RS01995
OG0000022	EHI52_RS01770	DR096_RS04665
OG0000024	EHI52_RS02735	DR096_RS01490
OG0000024	EHI52_RS01335	DR096_RS01690
OG0000025	EHI52_RS01720	DR096_RS04660
OG0000025	EHI52_RS01765	DR096_RS02045
OG0000026	EHI52_RS01425	DR096_RS01600
OG0000026	EHI52_RS01745	DR096_RS02025
OG0000027	EHI52_RS03355	DR096_RS04770
OG0000028	EHI52_RS02420	DR096_RS01750
OG0000029	EHI52_RS00620	DR096_RS03330
OG0000030	EHI52_RS03350	DR096_RS04765
OG0000031	EHI52_RS01660	DR096_RS01370
OG0000032	EHI52_RS01630	DR096_RS04610
OG0000033	EHI52_RS03820	DR096_RS01745
OG0000035	EHI52_RS03205	DR096_RS03635
OG0000036	EHI52_RS00115	DR096_RS02555
OG0000036	EHI52_RS00130	DR096_RS02535
OG0000037	EHI52_RS01635	DR096_RS04615
OG0000038	EHI52_RS00515	DR096_RS00005
OG0000039	EHI52_RS01675	DR096_RS01385
OG0000041	EHI52_RS03655	DR096_RS02305, DR096_RS03595
OG0000042	EHI52_RS02930	DR096_RS00855
OG0000043	EHI52_RS02020	DR096_RS00455
OG0000044	EHI52_RS03910	DR096_RS04875
OG0000045	EHI52_RS01680	DR096_RS01390
OG0000046	EHI52_RS03305	DR096_RS04310
OG0000048	EHI52_RS01840	DR096_RS03530
OG0000049	EHI52_RS03065	DR096_RS00770
OG0000050	EHI52_RS02450	DR096_RS03020
OG0000051	EHI52_RS02650	DR096_RS02440
OG0000052	EHI52_RS00075	DR096_RS02830
OG0000053	EHI52_RS01510	DR096_RS04590
OG0000054	EHI52_RS02475	DR096_RS02995
OG0000055	EHI52_RS00135	DR096_RS02530
OG0000056	EHI52_RS03530	DR096_RS01045
OG0000057	EHI52_RS02915	DR096_RS01065
OG0000060	EHI52_RS00080	DR096_RS04270
OG0000060	EHI52_RS00080	DR096_RS02295
OG0000061	EHI52_RS02075	DR096_RS00405
OG0000062	EHI52_RS03585	DR096_RS01775
OG0000063	EHI52_RS03580	DR096_RS04645
OG0000064	EHI52_RS03570	DR096_RS01760
OG0000065	EHI52_RS02260	DR096_RS02855
OG0000066	EHI52_RS01415	DR096_RS01610
OG0000067	EHI52_RS00540	DR096_RS03370
OG0000068	EHI52_RS00660	DR096_RS03280
OG0000069	EHI52_RS02805	DR096_RS01175
OG0000070	EHI52_RS02480	DR096_RS02990
OG0000071	EHI52_RS03285	DR096_RS03055
OG0000072	EHI52_RS03290	DR096_RS04730
OG0000073	EHI52_RS00705	DR096_RS02090
OG0000074	EHI52_RS00900	DR096_RS04705
OG0000075	EHI52_RS00355	DR096_RS00165
OG0000076	EHI52_RS00370	DR096_RS00150
OG0000077	EHI52_RS00460	DR096_RS00060
OG0000078	EHI52_RS01735	DR096_RS04150, DR096_RS02015
OG0000079	EHI52_RS02555	DR096_RS02960
OG0000080	EHI52_RS03675	DR096_RS04245
OG0000081	EHI52_RS00350	DR096_RS00170
OG0000082	EHI52_RS02405	DR096_RS01735
OG0000083	EHI52_RS01915	DR096_RS00560
OG0000084	EHI52_RS01890	DR096_RS00585
OG0000085	EHI52_RS01885	DR096_RS00590
OG0000086	EHI52_RS01875	DR096_RS00600
OG0000087	EHI52_RS01860	DR096_RS00615
OG0000088	EHI52_RS01855	DR096_RS00620
OG0000089	EHI52_RS01845	DR096_RS03525
OG0000090	EHI52_RS00070	DR096_RS02835
OG0000091	EHI52_RS00055	DR096_RS01865
OG0000092	EHI52_RS00040	DR096_RS01850
OG0000093	EHI52_RS00035	DR096_RS01845
OG0000094	EHI52_RS00030	DR096_RS01840
OG0000095	EHI52_RS00005	DR096_RS01815
OG0000096	EHI52_RS03620	DR096_RS01810
OG0000097	EHI52_RS03600	DR096_RS01790
OG0000098	EHI52_RS03590	DR096_RS01780
OG0000099	EHI52_RS03540	DR096_RS03485
OG0000100	EHI52_RS03520	DR096_RS01035
OG0000101	EHI52_RS03515	DR096_RS01030
OG0000102	EHI52_RS01760	DR096_RS02040
OG0000103	EHI52_RS02225	DR096_RS02890
OG0000104	EHI52_RS02230	DR096_RS02885
OG0000105	EHI52_RS02245	DR096_RS02870
OG0000106	EHI52_RS02255	DR096_RS02860
OG0000107	EHI52_RS02265	DR096_RS02850
OG0000108	EHI52_RS02270	DR096_RS02845
OG0000109	EHI52_RS02275	DR096_RS02840
OG0000110	EHI52_RS02395	DR096_RS01725
OG0000111	EHI52_RS02390	DR096_RS01720
OG0000112	EHI52_RS02380	DR096_RS01710
OG0000113	EHI52_RS02360	DR096_RS04785
OG0000114	EHI52_RS02350	DR096_RS03255
OG0000115	EHI52_RS02335	DR096_RS03245
OG0000116	EHI52_RS01360	DR096_RS01665
OG0000117	EHI52_RS01365	DR096_RS01660
OG0000118	EHI52_RS01400	DR096_RS01625
OG0000119	EHI52_RS01405	DR096_RS01620
OG0000120	EHI52_RS01420	DR096_RS01605
OG0000121	EHI52_RS01445	DR096_RS01580
OG0000122	EHI52_RS01450	DR096_RS01575
OG0000123	EHI52_RS01470	DR096_RS01555
OG0000124	EHI52_RS01475	DR096_RS01550
OG0000125	EHI52_RS01480	DR096_RS01545
OG0000126	EHI52_RS01490	DR096_RS01210
OG0000127	EHI52_RS01500	DR096_RS01220
OG0000128	EHI52_RS01515	DR096_RS01235
OG0000129	EHI52_RS01520	DR096_RS01240
OG0000130	EHI52_RS01530	DR096_RS01250
OG0000131	EHI52_RS01560	DR096_RS04595
OG0000132	EHI52_RS01575	DR096_RS04600
OG0000133	EHI52_RS00545	DR096_RS02600
OG0000134	EHI52_RS00550	DR096_RS02605
OG0000135	EHI52_RS00565	DR096_RS02620
OG0000136	EHI52_RS00570	DR096_RS02625
OG0000137	EHI52_RS00600	DR096_RS02665
OG0000138	EHI52_RS00635	DR096_RS03305
OG0000139	EHI52_RS00665	DR096_RS03275
OG0000140	EHI52_RS00670	DR096_RS03270
OG0000141	EHI52_RS02925	DR096_RS01055
OG0000142	EHI52_RS02920	DR096_RS04575
OG0000143	EHI52_RS02895	DR096_RS01085
OG0000144	EHI52_RS02885	DR096_RS01095
OG0000145	EHI52_RS02875	DR096_RS01105
OG0000146	EHI52_RS02865	DR096_RS01115
OG0000147	EHI52_RS02860	DR096_RS01120
OG0000148	EHI52_RS02845	DR096_RS01135
OG0000149	EHI52_RS02835	DR096_RS01145
OG0000150	EHI52_RS02820	DR096_RS01160
OG0000151	EHI52_RS02775	DR096_RS01530
OG0000152	EHI52_RS02770	DR096_RS01525
OG0000153	EHI52_RS02765	DR096_RS01520
OG0000154	EHI52_RS02755	DR096_RS01510
OG0000155	EHI52_RS02715	DR096_RS01470
OG0000156	EHI52_RS02705	DR096_RS01460
OG0000157	EHI52_RS02700	DR096_RS04635
OG0000158	EHI52_RS03885	DR096_RS04630
OG0000159	EHI52_RS03925	DR096_RS03005
OG0000160	EHI52_RS02460	DR096_RS03010
OG0000161	EHI52_RS02455	DR096_RS03015
OG0000162	EHI52_RS02445	DR096_RS03025
OG0000163	EHI52_RS02440	DR096_RS03030
OG0000164	EHI52_RS01665	DR096_RS01375
OG0000165	EHI52_RS01995	DR096_RS00480
OG0000166	EHI52_RS01975	DR096_RS00500
OG0000167	EHI52_RS01960	DR096_RS00515
OG0000168	EHI52_RS01955	DR096_RS00520
OG0000169	EHI52_RS03055	DR096_RS00775
OG0000170	EHI52_RS03075	DR096_RS00760
OG0000171	EHI52_RS03085	DR096_RS00750
OG0000172	EHI52_RS03095	DR096_RS00740
OG0000173	EHI52_RS03100	DR096_RS00735
OG0000174	EHI52_RS03105	DR096_RS00730
OG0000175	EHI52_RS03120	DR096_RS00715
OG0000176	EHI52_RS03170	DR096_RS00665
OG0000177	EHI52_RS03175	DR096_RS00660
OG0000178	EHI52_RS03180	DR096_RS00655
OG0000179	EHI52_RS03190	DR096_RS00645
OG0000180	EHI52_RS03195	DR096_RS00640
OG0000181	EHI52_RS03235	DR096_RS04745
OG0000182	EHI52_RS03245	DR096_RS03095
OG0000183	EHI52_RS03280	DR096_RS03060
OG0000184	EHI52_RS03325	DR096_RS03135
OG0000185	EHI52_RS03310	DR096_RS03120
OG0000186	EHI52_RS01585	DR096_RS04605
OG0000187	EHI52_RS01600	DR096_RS01320
OG0000188	EHI52_RS01610	DR096_RS01330
OG0000189	EHI52_RS02310	DR096_RS04750
OG0000190	EHI52_RS02305	DR096_RS03155
OG0000191	EHI52_RS02285	DR096_RS03175
OG0000192	EHI52_RS01280	DR096_RS02270
OG0000193	EHI52_RS01270	DR096_RS02285
OG0000194	EHI52_RS00690	DR096_RS02075
OG0000195	EHI52_RS00695	DR096_RS02080
OG0000196	EHI52_RS00715	DR096_RS02100
OG0000197	EHI52_RS00720	DR096_RS02105
OG0000198	EHI52_RS00735	DR096_RS02120
OG0000199	EHI52_RS00740	DR096_RS02125
OG0000200	EHI52_RS00755	DR096_RS02140
OG0000201	EHI52_RS00765	DR096_RS02150
OG0000202	EHI52_RS00820	DR096_RS02205
OG0000203	EHI52_RS00825	DR096_RS02215
OG0000204	EHI52_RS00830	DR096_RS04690
OG0000205	EHI52_RS00835	DR096_RS02315
OG0000206	EHI52_RS00855	DR096_RS02335
OG0000207	EHI52_RS00870	DR096_RS02350
OG0000208	EHI52_RS00875	DR096_RS02355
OG0000209	EHI52_RS00880	DR096_RS02360
OG0000210	EHI52_RS00925	DR096_RS02405
OG0000211	EHI52_RS01005	DR096_RS02680
OG0000212	EHI52_RS01015	DR096_RS02690
OG0000213	EHI52_RS01020	DR096_RS02695
OG0000214	EHI52_RS01025	DR096_RS02700
OG0000215	EHI52_RS01030	DR096_RS02705
OG0000216	EHI52_RS01035	DR096_RS02710
OG0000217	EHI52_RS01040	DR096_RS02715
OG0000218	EHI52_RS01050	DR096_RS02725
OG0000219	EHI52_RS01055	DR096_RS02730
OG0000220	EHI52_RS01060	DR096_RS02735
OG0000221	EHI52_RS01065	DR096_RS02740
OG0000222	EHI52_RS01070	DR096_RS02745
OG0000223	EHI52_RS01075	DR096_RS02750
OG0000224	EHI52_RS01085	DR096_RS02760
OG0000225	EHI52_RS01095	DR096_RS02770
OG0000226	EHI52_RS01100	DR096_RS02775
OG0000227	EHI52_RS01105	DR096_RS02780
OG0000228	EHI52_RS03905	DR096_RS04885
OG0000229	EHI52_RS01115	DR096_RS02790
OG0000230	EHI52_RS01120	DR096_RS02795
OG0000231	EHI52_RS01130	DR096_RS02805
OG0000232	EHI52_RS01140	DR096_RS02815
OG0000233	EHI52_RS01165	DR096_RS01885
OG0000234	EHI52_RS01200	DR096_RS01920
OG0000235	EHI52_RS01210	DR096_RS01930
OG0000236	EHI52_RS01215	DR096_RS01935
OG0000237	EHI52_RS01220	DR096_RS01940
OG0000238	EHI52_RS01230	DR096_RS01950
OG0000239	EHI52_RS02935	DR096_RS00850
OG0000240	EHI52_RS02940	DR096_RS00845
OG0000241	EHI52_RS02950	DR096_RS00835
OG0000242	EHI52_RS02955	DR096_RS00830
OG0000243	EHI52_RS02960	DR096_RS00825
OG0000244	EHI52_RS02970	DR096_RS00815
OG0000245	EHI52_RS02980	DR096_RS00805
OG0000246	EHI52_RS00140	DR096_RS02525
OG0000247	EHI52_RS00150	DR096_RS00365
OG0000248	EHI52_RS00160	DR096_RS00355
OG0000249	EHI52_RS00165	DR096_RS00350
OG0000250	EHI52_RS00180	DR096_RS00335
OG0000251	EHI52_RS00215	DR096_RS00300
OG0000252	EHI52_RS00225	DR096_RS00290
OG0000253	EHI52_RS00230	DR096_RS00285
OG0000254	EHI52_RS00240	DR096_RS00275
OG0000255	EHI52_RS00250	DR096_RS00265
OG0000256	EHI52_RS00255	DR096_RS00260
OG0000257	EHI52_RS00280	DR096_RS00235
OG0000258	EHI52_RS00290	DR096_RS00225
OG0000259	EHI52_RS00320	DR096_RS00195
OG0000260	EHI52_RS00330	DR096_RS00185
OG0000261	EHI52_RS00340	DR096_RS04485
OG0000262	EHI52_RS00360	DR096_RS00160
OG0000263	EHI52_RS00375	DR096_RS00145
OG0000264	EHI52_RS00390	DR096_RS00130
OG0000265	EHI52_RS00400	DR096_RS00120
OG0000266	EHI52_RS00415	DR096_RS00105
OG0000267	EHI52_RS00430	DR096_RS00090
OG0000268	EHI52_RS00435	DR096_RS00085
OG0000269	EHI52_RS00450	DR096_RS00070
OG0000270	EHI52_RS03490	DR096_RS04570
OG0000271	EHI52_RS03485	DR096_RS01000
OG0000272	EHI52_RS03480	DR096_RS00995
OG0000273	EHI52_RS03475	DR096_RS00990
OG0000274	EHI52_RS03455	DR096_RS00970
OG0000275	EHI52_RS03450	DR096_RS04560
OG0000276	EHI52_RS03445	DR096_RS00960
OG0000277	EHI52_RS03435	DR096_RS00950
OG0000278	EHI52_RS03430	DR096_RS00945
OG0000279	EHI52_RS03420	DR096_RS00935
OG0000280	EHI52_RS03415	DR096_RS00930
OG0000281	EHI52_RS03410	DR096_RS00925
OG0000282	EHI52_RS03385	DR096_RS04550
OG0000283	EHI52_RS03380	DR096_RS00895
OG0000284	EHI52_RS03375	DR096_RS00890
OG0000285	EHI52_RS03370	DR096_RS04545
OG0000286	EHI52_RS02425	DR096_RS03490
OG0000287	EHI52_RS02515	DR096_RS02920
OG0000288	EHI52_RS02525	DR096_RS02930
OG0000289	EHI52_RS02530	DR096_RS02935
OG0000290	EHI52_RS02640	DR096_RS02450
OG0000291	EHI52_RS02630	DR096_RS02460
OG0000292	EHI52_RS02625	DR096_RS02465
OG0000293	EHI52_RS02620	DR096_RS02470
OG0000294	EHI52_RS02610	DR096_RS02480
OG0000295	EHI52_RS02605	DR096_RS02485
OG0000296	EHI52_RS02565	DR096_RS02970
OG0000297	EHI52_RS02560	DR096_RS02965
OG0000298	EHI52_RS00175	DR096_RS00340
OG0000299	EHI52_RS00200	DR096_RS00315
OG0000300	EHI52_RS00385	DR096_RS00135
OG0000301	EHI52_RS00420	DR096_RS00100
OG0000302	EHI52_RS00425	DR096_RS00095
OG0000303	EHI52_RS00575	DR096_RS02630
OG0000304	EHI52_RS01145	DR096_RS02820
OG0000305	EHI52_RS02870	DR096_RS01110
OG0000306	EHI52_RS02795	DR096_RS01185
OG0000307	EHI52_RS02760	DR096_RS01515
OG0000308	EHI52_RS02660	DR096_RS02430
OG0000309	EHI52_RS02595	DR096_RS02495
OG0000310	EHI52_RS02520	DR096_RS02925
OG0000311	EHI52_RS02485	DR096_RS02985
OG0000312	EHI52_RS02470	DR096_RS03000
OG0000313	EHI52_RS01655	DR096_RS01365
OG0000314	EHI52_RS01980	DR096_RS00495
OG0000315	EHI52_RS01950	DR096_RS00525
OG0000316	EHI52_RS01940	DR096_RS00535
OG0000317	EHI52_RS01850	DR096_RS00625
OG0000318	EHI52_RS01935	DR096_RS04510
OG0000319	EHI52_RS02240	DR096_RS02875
OG0000320	EHI52_RS02370	DR096_RS01700
OG0000321	EHI52_RS01395	DR096_RS01630
OG0000322	EHI52_RS01440	DR096_RS01585
OG0000323	EHI52_RS01570	DR096_RS01290
OG0000324	EHI52_RS02280	DR096_RS03180
OG0000325	EHI52_RS00700	DR096_RS02085
OG0000326	EHI52_RS00795	DR096_RS02180
OG0000327	EHI52_RS00800	DR096_RS02185
OG0000328	EHI52_RS00885	DR096_RS02365
OG0000329	EHI52_RS00905	DR096_RS02385
OG0000330	EHI52_RS01175	DR096_RS01895
OG0000331	EHI52_RS02965	DR096_RS00820
OG0000332	EHI52_RS03130	DR096_RS00705
OG0000333	EHI52_RS03140	DR096_RS00695
OG0000334	EHI52_RS03240	DR096_RS03100
OG0000335	EHI52_RS03250	DR096_RS04740
OG0000336	EHI52_RS03400	DR096_RS04555
OG0000337	EHI52_RS03575	DR096_RS01765
OG0000338	EHI52_RS03615	DR096_RS01805
OG0000339	EHI52_RS02340	DR096_RS03250
OG0000340	EHI52_RS01375	DR096_RS01650
OG0000341	EHI52_RS02300	DR096_RS03160
OG0000342	EHI52_RS00730	DR096_RS02115
OG0000343	EHI52_RS03150	DR096_RS00685
OG0000344	EHI52_RS00590	DR096_RS02645
OG0000345	EHI52_RS01090	DR096_RS02765
OG0000346	EHI52_RS03405	DR096_RS04835
OG0000347	EHI52_RS01465	DR096_RS01560
OG0000348	EHI52_RS00805	DR096_RS02190
OG0000349	EHI52_RS03465	DR096_RS04565
OG0000350	EHI52_RS02750	DR096_RS01505
OG0000351	EHI52_RS00510	DR096_RS00010
OG0000352	EHI52_RS02000	DR096_RS00475
OG0000353	EHI52_RS01435	DR096_RS01590
OG0000354	EHI52_RS00650	DR096_RS03290
OG0000355	EHI52_RS02030	DR096_RS04500
OG0000356	EHI52_RS01945	DR096_RS04505
OG0000357	EHI52_RS03110	DR096_RS04530
OG0000358	EHI52_RS03115	DR096_RS00720
OG0000359	EHI52_RS00775	DR096_RS04670
OG0000360	EHI52_RS00285	DR096_RS00230
OG0000361	EHI52_RS00315	DR096_RS00200
OG0000362	EHI52_RS02540	DR096_RS02945
OG0000363	EHI52_RS01505	DR096_RS01225
OG0000364	EHI52_RS02055	DR096_RS00420
OG0000365	EHI52_RS01905	DR096_RS00575
OG0000366	EHI52_RS01880	DR096_RS00595
OG0000367	EHI52_RS01870	DR096_RS00605
OG0000368	EHI52_RS00060	DR096_RS01870
OG0000369	EHI52_RS00025	DR096_RS04650
OG0000370	EHI52_RS00020	DR096_RS01830
OG0000371	EHI52_RS00015	DR096_RS01825
OG0000372	EHI52_RS00010	DR096_RS01820
OG0000373	EHI52_RS03605	DR096_RS01795
OG0000374	EHI52_RS03595	DR096_RS01785
OG0000375	EHI52_RS02235	DR096_RS02880
OG0000376	EHI52_RS02385	DR096_RS01715
OG0000377	EHI52_RS02375	DR096_RS01705
OG0000378	EHI52_RS01355	DR096_RS01670
OG0000379	EHI52_RS01430	DR096_RS01595
OG0000380	EHI52_RS01455	DR096_RS01570
OG0000381	EHI52_RS01495	DR096_RS01215
OG0000382	EHI52_RS01525	DR096_RS01245
OG0000383	EHI52_RS01565	DR096_RS01285
OG0000384	EHI52_RS00530	DR096_RS03380
OG0000385	EHI52_RS00535	DR096_RS03375
OG0000386	EHI52_RS00555	DR096_RS02610
OG0000387	EHI52_RS00580	DR096_RS02635
OG0000388	EHI52_RS00585	DR096_RS04725
OG0000389	EHI52_RS00630	DR096_RS03310
OG0000390	EHI52_RS02890	DR096_RS01090
OG0000391	EHI52_RS02880	DR096_RS01100
OG0000392	EHI52_RS02855	DR096_RS01125
OG0000393	EHI52_RS02800	DR096_RS04585
OG0000394	EHI52_RS02725	DR096_RS01480
OG0000395	EHI52_RS02720	DR096_RS01475
OG0000396	EHI52_RS02430	DR096_RS03045
OG0000397	EHI52_RS02015	DR096_RS00460
OG0000398	EHI52_RS02010	DR096_RS00465
OG0000399	EHI52_RS01965	DR096_RS00510
OG0000400	EHI52_RS03070	DR096_RS00765
OG0000401	EHI52_RS03135	DR096_RS00700
OG0000402	EHI52_RS03145	DR096_RS00690
OG0000403	EHI52_RS03155	DR096_RS00680
OG0000404	EHI52_RS03185	DR096_RS00650
OG0000405	EHI52_RS03200	DR096_RS00635
OG0000406	EHI52_RS03255	DR096_RS03085
OG0000407	EHI52_RS03260	DR096_RS04735
OG0000408	EHI52_RS03265	DR096_RS03075
OG0000409	EHI52_RS03270	DR096_RS03070
OG0000410	EHI52_RS03330	DR096_RS03140
OG0000411	EHI52_RS03320	DR096_RS03130
OG0000412	EHI52_RS03315	DR096_RS03125
OG0000413	EHI52_RS01580	DR096_RS01300
OG0000414	EHI52_RS01590	DR096_RS01310
OG0000415	EHI52_RS01595	DR096_RS01315
OG0000416	EHI52_RS01605	DR096_RS01325
OG0000417	EHI52_RS02295	DR096_RS03165
OG0000418	EHI52_RS02290	DR096_RS03170
OG0000419	EHI52_RS00710	DR096_RS02095
OG0000420	EHI52_RS00745	DR096_RS02130
OG0000421	EHI52_RS00780	DR096_RS02165
OG0000422	EHI52_RS00790	DR096_RS02175
OG0000423	EHI52_RS00845	DR096_RS02325
OG0000424	EHI52_RS00850	DR096_RS02330
OG0000425	EHI52_RS00860	DR096_RS02340
OG0000426	EHI52_RS00865	DR096_RS04695
OG0000427	EHI52_RS00890	DR096_RS04700
OG0000428	EHI52_RS00915	DR096_RS02395
OG0000429	EHI52_RS01080	DR096_RS02755
OG0000430	EHI52_RS01125	DR096_RS02800
OG0000431	EHI52_RS01135	DR096_RS02810
OG0000432	EHI52_RS01170	DR096_RS01890
OG0000433	EHI52_RS01185	DR096_RS01905
OG0000434	EHI52_RS01190	DR096_RS01910
OG0000435	EHI52_RS01205	DR096_RS01925
OG0000436	EHI52_RS01235	DR096_RS01955
OG0000437	EHI52_RS01245	DR096_RS01965
OG0000438	EHI52_RS01250	DR096_RS01970
OG0000439	EHI52_RS01255	DR096_RS01975
OG0000440	EHI52_RS02945	DR096_RS00840
OG0000441	EHI52_RS02985	DR096_RS00800
OG0000442	EHI52_RS00145	DR096_RS02520
OG0000443	EHI52_RS00195	DR096_RS00320
OG0000444	EHI52_RS00210	DR096_RS00305
OG0000445	EHI52_RS00235	DR096_RS00280
OG0000446	EHI52_RS00265	DR096_RS00250
OG0000447	EHI52_RS00270	DR096_RS00245
OG0000448	EHI52_RS00300	DR096_RS00215
OG0000449	EHI52_RS00325	DR096_RS00190
OG0000450	EHI52_RS00335	DR096_RS00180
OG0000451	EHI52_RS00380	DR096_RS00140
OG0000452	EHI52_RS00405	DR096_RS03845
OG0000453	EHI52_RS00440	DR096_RS00080
OG0000455	EHI52_RS03510	DR096_RS01025
OG0000456	EHI52_RS03390	DR096_RS00905
OG0000457	EHI52_RS03365	DR096_RS00880
OG0000458	EHI52_RS02510	DR096_RS02915
OG0000459	EHI52_RS02535	DR096_RS02940
OG0000460	EHI52_RS02545	DR096_RS02950
OG0000461	EHI52_RS02590	DR096_RS02500
OG0000462	EHI52_RS02585	DR096_RS02505
OG0000463	EHI52_RS02580	DR096_RS02510
OG0000464	EHI52_RS02575	DR096_RS02980
OG0000465	EHI52_RS02570	DR096_RS02975
OG0000466	EHI52_RS00410	DR096_RS00110
OG0000467	EHI52_RS02670	DR096_RS04620
OG0000468	EHI52_RS01970	DR096_RS00505
OG0000469	EHI52_RS01910	DR096_RS00565
OG0000470	EHI52_RS03650	DR096_RS03815
OG0000471	EHI52_RS00920	DR096_RS02400
OG0000472	EHI52_RS03340	DR096_RS03190
OG0000473	EHI52_RS03495	DR096_RS01010
OG0000474	EHI52_RS03500	DR096_RS01015
OG0000475	EHI52_RS03505	DR096_RS01020
OG0000476	EHI52_RS01615	DR096_RS01335
OG0000477	EHI52_RS02615	DR096_RS02475
OG0000478	EHI52_RS03440	DR096_RS00955
OG0000479	EHI52_RS01390	DR096_RS01635
OG0000480	EHI52_RS03665	DR096_RS03790
OG0000481	EHI52_RS00815	DR096_RS02200
OG0000482	EHI52_RS01275	DR096_RS02280
OG0000483	EHI52_RS01865	DR096_RS00610
OG0000484	EHI52_RS00205	DR096_RS04490
OG0000485	EHI52_RS01240	DR096_RS01960
OG0000486	EHI52_RS02315	DR096_RS03145
OG0000487	EHI52_RS01930	DR096_RS04515
OG0000488	EHI52_RS01895	DR096_RS00580
OG0000489	EHI52_RS00050	DR096_RS01860
OG0000490	EHI52_RS03610	DR096_RS01800
OG0000491	EHI52_RS01410	DR096_RS01615
OG0000492	EHI52_RS01485	DR096_RS01540
OG0000493	EHI52_RS00595	DR096_RS02650
OG0000494	EHI52_RS00655	DR096_RS03285
OG0000495	EHI52_RS02825	DR096_RS01155
OG0000496	EHI52_RS02815	DR096_RS01165
OG0000497	EHI52_RS02810	DR096_RS01170
OG0000498	EHI52_RS02730	DR096_RS01485
OG0000499	EHI52_RS02695	DR096_RS01450
OG0000500	EHI52_RS02005	DR096_RS00470
OG0000501	EHI52_RS03080	DR096_RS00755
OG0000502	EHI52_RS01265	DR096_RS02290
OG0000503	EHI52_RS00760	DR096_RS02145
OG0000504	EHI52_RS00895	DR096_RS02375
OG0000505	EHI52_RS01000	DR096_RS02675
OG0000506	EHI52_RS01010	DR096_RS02685
OG0000507	EHI52_RS01045	DR096_RS02720
OG0000508	EHI52_RS00260	DR096_RS00255
OG0000509	EHI52_RS00295	DR096_RS00220
OG0000510	EHI52_RS00305	DR096_RS00210
OG0000511	EHI52_RS00445	DR096_RS00075
OG0000512	EHI52_RS02550	DR096_RS02955
OG0000513	EHI52_RS03425	DR096_RS00940
OG0000514	EHI52_RS02850	DR096_RS01130
OG0000516	EHI52_RS01925	DR096_RS04520
OG0000517	EHI52_RS00065	DR096_RS01880
OG0000518	EHI52_RS03125	DR096_RS00710
OG0000519	EHI52_RS00785	DR096_RS02170
OG0000520	EHI52_RS00910	DR096_RS02390
OG0000521	EHI52_RS00275	DR096_RS00240
OG0000522	EHI52_RS00310	DR096_RS00205
OG0000523	EHI52_RS03360	DR096_RS00875
OG0000524	EHI52_RS02665	DR096_RS01420
OG0000525	EHI52_RS03345	DR096_RS04760
OG0000526	EHI52_RS03800	DR096_RS03880
OG0000527	EHI52_RS02185	DR096_RS03455
OG0000528	EHI52_RS01920	DR096_RS00555
OG0000529	EHI52_RS02250	DR096_RS02865
OG0000530	EHI52_RS02355	DR096_RS03260
OG0000531	EHI52_RS01460	DR096_RS01565
