Orthogroup	MHP_F72C_genes	MHP_NCTC10127_genes
OG0000020	EHI52_RS03555	EXC50_RS02395
OG0000021	EHI52_RS02195	EXC50_RS04125
OG0000022	EHI52_RS01715	EXC50_RS00615
OG0000022	EHI52_RS01770	EXC50_RS00670
OG0000024	EHI52_RS02735	EXC50_RS01585
OG0000024	EHI52_RS01335	EXC50_RS02815
OG0000025	EHI52_RS01720	EXC50_RS00620
OG0000025	EHI52_RS01765	EXC50_RS00665
OG0000026	EHI52_RS01425	EXC50_RS02725
OG0000026	EHI52_RS01745	EXC50_RS00645
OG0000027	EHI52_RS03355	EXC50_RS02185
OG0000029	EHI52_RS01150	EXC50_RS03005
OG0000029	EHI52_RS00620	EXC50_RS03475
OG0000030	EHI52_RS03350	EXC50_RS02175
OG0000031	EHI52_RS01660	EXC50_RS02515, EXC50_RS03805, EXC50_RS00545
OG0000035	EHI52_RS03220	EXC50_RS02045
OG0000035	EHI52_RS03205	EXC50_RS02025
OG0000036	EHI52_RS00115	EXC50_RS00115
OG0000036	EHI52_RS00130	EXC50_RS00130
OG0000037	EHI52_RS01640	EXC50_RS03970
OG0000038	EHI52_RS03810	EXC50_RS03585
OG0000039	EHI52_RS01675	EXC50_RS03975, EXC50_RS00560
OG0000040	EHI52_RS03295	EXC50_RS02120
OG0000041	EHI52_RS03655	EXC50_RS03415
OG0000042	EHI52_RS02930	EXC50_RS01780
OG0000043	EHI52_RS02020	EXC50_RS00860
OG0000044	EHI52_RS03910	EXC50_RS04255
OG0000045	EHI52_RS01680	EXC50_RS00570
OG0000046	EHI52_RS03305	EXC50_RS02130
OG0000048	EHI52_RS01840	EXC50_RS01040
OG0000049	EHI52_RS03065	EXC50_RS01890
OG0000050	EHI52_RS02450	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	EHI52_RS02650	EXC50_RS01500
OG0000052	EHI52_RS00075	EXC50_RS00075
OG0000053	EHI52_RS01510	EXC50_RS02640
OG0000054	EHI52_RS02475	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250
OG0000055	EHI52_RS00135	EXC50_RS00135
OG0000056	EHI52_RS03530	EXC50_RS02375
OG0000057	EHI52_RS02915	EXC50_RS01765
OG0000060	EHI52_RS00080	EXC50_RS03960, EXC50_RS04110
OG0000061	EHI52_RS02075	EXC50_RS00525
OG0000062	EHI52_RS03585	EXC50_RS02425
OG0000063	EHI52_RS03580	EXC50_RS02420
OG0000064	EHI52_RS03570	EXC50_RS02410
OG0000065	EHI52_RS02260	EXC50_RS01100
OG0000066	EHI52_RS01415	EXC50_RS02735
OG0000067	EHI52_RS00540	EXC50_RS03560
OG0000068	EHI52_RS00660	EXC50_RS03440
OG0000069	EHI52_RS02805	EXC50_RS01655
OG0000070	EHI52_RS02480	EXC50_RS03840, EXC50_RS01325
OG0000071	EHI52_RS03285	EXC50_RS02110
OG0000072	EHI52_RS03290	EXC50_RS02115
OG0000073	EHI52_RS00705	EXC50_RS03380
OG0000074	EHI52_RS00900	EXC50_RS03185
OG0000076	EHI52_RS00370	EXC50_RS00370
OG0000077	EHI52_RS00460	EXC50_RS03640
OG0000078	EHI52_RS01735	EXC50_RS00635
OG0000079	EHI52_RS02555	EXC50_RS01405
OG0000080	EHI52_RS03675	EXC50_RS03930
OG0000081	EHI52_RS00350	EXC50_RS00350
OG0000082	EHI52_RS02405	EXC50_RS01250
OG0000083	EHI52_RS01915	EXC50_RS00965
OG0000084	EHI52_RS01890	EXC50_RS00990
OG0000085	EHI52_RS01885	EXC50_RS00995
OG0000086	EHI52_RS01875	EXC50_RS01005
OG0000087	EHI52_RS01860	EXC50_RS01020
OG0000088	EHI52_RS01855	EXC50_RS01025
OG0000089	EHI52_RS01845	EXC50_RS01035
OG0000090	EHI52_RS00070	EXC50_RS00070
OG0000091	EHI52_RS00055	EXC50_RS00055
OG0000092	EHI52_RS00040	EXC50_RS00040
OG0000093	EHI52_RS00035	EXC50_RS00035
OG0000094	EHI52_RS00030	EXC50_RS00030
OG0000095	EHI52_RS00005	EXC50_RS00005
OG0000096	EHI52_RS03620	EXC50_RS02460
OG0000097	EHI52_RS03600	EXC50_RS02440
OG0000098	EHI52_RS03590	EXC50_RS02430
OG0000099	EHI52_RS03540	EXC50_RS02380
OG0000100	EHI52_RS03520	EXC50_RS02365
OG0000101	EHI52_RS03515	EXC50_RS02360
OG0000102	EHI52_RS01760	EXC50_RS00660
OG0000103	EHI52_RS02225	EXC50_RS01065
OG0000104	EHI52_RS02230	EXC50_RS01070
OG0000105	EHI52_RS02245	EXC50_RS01085
OG0000106	EHI52_RS02255	EXC50_RS01095
OG0000107	EHI52_RS02265	EXC50_RS01105
OG0000108	EHI52_RS02270	EXC50_RS01110
OG0000109	EHI52_RS02275	EXC50_RS01115
OG0000110	EHI52_RS02395	EXC50_RS01240
OG0000111	EHI52_RS02390	EXC50_RS01235
OG0000112	EHI52_RS02380	EXC50_RS01225
OG0000113	EHI52_RS02360	EXC50_RS01205
OG0000114	EHI52_RS02350	EXC50_RS01195
OG0000115	EHI52_RS02335	EXC50_RS01180
OG0000116	EHI52_RS01360	EXC50_RS02790
OG0000117	EHI52_RS01365	EXC50_RS02785
OG0000118	EHI52_RS01400	EXC50_RS02750
OG0000119	EHI52_RS01405	EXC50_RS02745
OG0000120	EHI52_RS01420	EXC50_RS02730
OG0000121	EHI52_RS01445	EXC50_RS02705
OG0000122	EHI52_RS01450	EXC50_RS02700
OG0000123	EHI52_RS01470	EXC50_RS02680
OG0000124	EHI52_RS01475	EXC50_RS02675
OG0000125	EHI52_RS01480	EXC50_RS02670
OG0000126	EHI52_RS01490	EXC50_RS02660
OG0000127	EHI52_RS01500	EXC50_RS02650
OG0000128	EHI52_RS01515	EXC50_RS02635
OG0000129	EHI52_RS01520	EXC50_RS02630
OG0000130	EHI52_RS01530	EXC50_RS02620
OG0000131	EHI52_RS01560	EXC50_RS02590
OG0000132	EHI52_RS01575	EXC50_RS02575
OG0000133	EHI52_RS00545	EXC50_RS03555
OG0000134	EHI52_RS00550	EXC50_RS03550
OG0000135	EHI52_RS00565	EXC50_RS03535
OG0000136	EHI52_RS00570	EXC50_RS03530
OG0000137	EHI52_RS00600	EXC50_RS03500
OG0000138	EHI52_RS00635	EXC50_RS03465
OG0000139	EHI52_RS00665	EXC50_RS03435
OG0000140	EHI52_RS00670	EXC50_RS03430
OG0000141	EHI52_RS02925	EXC50_RS01775
OG0000142	EHI52_RS02920	EXC50_RS01770
OG0000143	EHI52_RS02895	EXC50_RS01745
OG0000144	EHI52_RS02885	EXC50_RS01735
OG0000145	EHI52_RS02875	EXC50_RS01725
OG0000146	EHI52_RS02865	EXC50_RS01715
OG0000147	EHI52_RS02860	EXC50_RS01710
OG0000148	EHI52_RS02845	EXC50_RS01695
OG0000149	EHI52_RS02835	EXC50_RS01685
OG0000150	EHI52_RS02820	EXC50_RS01670
OG0000151	EHI52_RS02775	EXC50_RS01625
OG0000152	EHI52_RS02770	EXC50_RS01620
OG0000153	EHI52_RS02765	EXC50_RS01615
OG0000154	EHI52_RS02755	EXC50_RS01605
OG0000155	EHI52_RS02715	EXC50_RS01565
OG0000156	EHI52_RS02705	EXC50_RS01555
OG0000157	EHI52_RS02700	EXC50_RS01550
OG0000158	EHI52_RS03885	EXC50_RS04235
OG0000159	EHI52_RS03925	EXC50_RS03825
OG0000160	EHI52_RS02460	EXC50_RS03820
OG0000161	EHI52_RS02455	EXC50_RS03815
OG0000162	EHI52_RS02445	EXC50_RS01290
OG0000163	EHI52_RS02440	EXC50_RS01285
OG0000164	EHI52_RS01665	EXC50_RS00550
OG0000165	EHI52_RS01995	EXC50_RS00885
OG0000166	EHI52_RS01975	EXC50_RS00905
OG0000167	EHI52_RS01960	EXC50_RS00920
OG0000168	EHI52_RS01955	EXC50_RS00925
OG0000169	EHI52_RS03055	EXC50_RS01885
OG0000170	EHI52_RS03075	EXC50_RS01900
OG0000171	EHI52_RS03085	EXC50_RS01910
OG0000172	EHI52_RS03095	EXC50_RS01915
OG0000173	EHI52_RS03100	EXC50_RS01920
OG0000174	EHI52_RS03105	EXC50_RS01925
OG0000175	EHI52_RS03120	EXC50_RS01940
OG0000176	EHI52_RS03170	EXC50_RS01990
OG0000177	EHI52_RS03175	EXC50_RS01995
OG0000178	EHI52_RS03180	EXC50_RS02000
OG0000179	EHI52_RS03190	EXC50_RS02010
OG0000180	EHI52_RS03195	EXC50_RS02015
OG0000181	EHI52_RS03235	EXC50_RS02060
OG0000182	EHI52_RS03245	EXC50_RS02070
OG0000183	EHI52_RS03280	EXC50_RS02105
OG0000184	EHI52_RS03325	EXC50_RS02150
OG0000185	EHI52_RS03310	EXC50_RS02135
OG0000186	EHI52_RS01585	EXC50_RS02565
OG0000187	EHI52_RS01600	EXC50_RS02550
OG0000188	EHI52_RS01610	EXC50_RS02540
OG0000189	EHI52_RS02310	EXC50_RS01150
OG0000190	EHI52_RS02305	EXC50_RS01145
OG0000191	EHI52_RS02285	EXC50_RS01125
OG0000192	EHI52_RS01280	EXC50_RS02870
OG0000193	EHI52_RS01270	EXC50_RS02880
OG0000194	EHI52_RS00690	EXC50_RS03395
OG0000195	EHI52_RS00695	EXC50_RS03390
OG0000196	EHI52_RS00715	EXC50_RS03370
OG0000197	EHI52_RS00720	EXC50_RS03365
OG0000198	EHI52_RS00735	EXC50_RS03350
OG0000199	EHI52_RS00740	EXC50_RS03345
OG0000200	EHI52_RS00755	EXC50_RS03330
OG0000201	EHI52_RS00765	EXC50_RS03320
OG0000202	EHI52_RS00820	EXC50_RS03265
OG0000203	EHI52_RS00825	EXC50_RS03260
OG0000204	EHI52_RS00830	EXC50_RS03255
OG0000205	EHI52_RS00835	EXC50_RS03250
OG0000206	EHI52_RS00855	EXC50_RS03230
OG0000207	EHI52_RS00870	EXC50_RS03215
OG0000208	EHI52_RS00875	EXC50_RS03210
OG0000209	EHI52_RS00880	EXC50_RS03205
OG0000210	EHI52_RS00925	EXC50_RS03160
OG0000211	EHI52_RS01005	EXC50_RS03150
OG0000212	EHI52_RS01015	EXC50_RS03140
OG0000213	EHI52_RS01020	EXC50_RS03135
OG0000214	EHI52_RS01025	EXC50_RS03130
OG0000215	EHI52_RS01030	EXC50_RS03125
OG0000216	EHI52_RS01035	EXC50_RS03120
OG0000217	EHI52_RS01040	EXC50_RS03115
OG0000218	EHI52_RS01050	EXC50_RS03105
OG0000219	EHI52_RS01055	EXC50_RS03100
OG0000220	EHI52_RS01060	EXC50_RS03095
OG0000221	EHI52_RS01065	EXC50_RS03090
OG0000222	EHI52_RS01070	EXC50_RS03085
OG0000223	EHI52_RS01075	EXC50_RS03080
OG0000224	EHI52_RS01085	EXC50_RS03070
OG0000225	EHI52_RS01095	EXC50_RS03060
OG0000226	EHI52_RS01100	EXC50_RS03055
OG0000227	EHI52_RS01105	EXC50_RS03050
OG0000228	EHI52_RS03905	EXC50_RS03045
OG0000229	EHI52_RS01115	EXC50_RS03040
OG0000230	EHI52_RS01120	EXC50_RS03035
OG0000231	EHI52_RS01130	EXC50_RS03025
OG0000232	EHI52_RS01140	EXC50_RS03015
OG0000233	EHI52_RS01165	EXC50_RS02995
OG0000234	EHI52_RS01200	EXC50_RS02960
OG0000235	EHI52_RS01210	EXC50_RS02950
OG0000236	EHI52_RS01215	EXC50_RS02945
OG0000237	EHI52_RS01220	EXC50_RS02940
OG0000238	EHI52_RS01230	EXC50_RS02930
OG0000239	EHI52_RS02935	EXC50_RS01785
OG0000240	EHI52_RS02940	EXC50_RS01790
OG0000241	EHI52_RS02950	EXC50_RS01800
OG0000242	EHI52_RS02955	EXC50_RS01805
OG0000243	EHI52_RS02960	EXC50_RS01810
OG0000244	EHI52_RS02970	EXC50_RS01820
OG0000245	EHI52_RS02980	EXC50_RS01830
OG0000246	EHI52_RS00140	EXC50_RS00140
OG0000247	EHI52_RS00150	EXC50_RS00150
OG0000248	EHI52_RS00160	EXC50_RS00160
OG0000249	EHI52_RS00165	EXC50_RS00165
OG0000250	EHI52_RS00180	EXC50_RS00180
OG0000251	EHI52_RS00215	EXC50_RS00215
OG0000252	EHI52_RS00225	EXC50_RS00225
OG0000253	EHI52_RS00230	EXC50_RS00230
OG0000254	EHI52_RS00240	EXC50_RS00240
OG0000255	EHI52_RS00250	EXC50_RS00250
OG0000256	EHI52_RS00255	EXC50_RS00255
OG0000257	EHI52_RS00280	EXC50_RS00280
OG0000258	EHI52_RS00290	EXC50_RS00290
OG0000259	EHI52_RS00320	EXC50_RS00320
OG0000260	EHI52_RS00330	EXC50_RS00330
OG0000261	EHI52_RS00340	EXC50_RS00340
OG0000262	EHI52_RS00360	EXC50_RS00360
OG0000263	EHI52_RS00375	EXC50_RS00375
OG0000264	EHI52_RS00390	EXC50_RS00390
OG0000265	EHI52_RS00400	EXC50_RS00400
OG0000266	EHI52_RS00415	EXC50_RS00420
OG0000267	EHI52_RS00430	EXC50_RS00435
OG0000268	EHI52_RS00435	EXC50_RS03665
OG0000269	EHI52_RS00450	EXC50_RS03650
OG0000270	EHI52_RS03490	EXC50_RS02335
OG0000271	EHI52_RS03485	EXC50_RS02330
OG0000272	EHI52_RS03480	EXC50_RS02325
OG0000273	EHI52_RS03475	EXC50_RS02320
OG0000274	EHI52_RS03455	EXC50_RS02300
OG0000275	EHI52_RS03450	EXC50_RS02295
OG0000276	EHI52_RS03445	EXC50_RS02290
OG0000277	EHI52_RS03435	EXC50_RS02280
OG0000278	EHI52_RS03430	EXC50_RS02275
OG0000279	EHI52_RS03420	EXC50_RS02265
OG0000280	EHI52_RS03415	EXC50_RS02260
OG0000281	EHI52_RS03410	EXC50_RS02255
OG0000282	EHI52_RS03385	EXC50_RS02230
OG0000283	EHI52_RS03380	EXC50_RS02225
OG0000284	EHI52_RS03375	EXC50_RS02220
OG0000285	EHI52_RS03370	EXC50_RS02215
OG0000286	EHI52_RS02425	EXC50_RS01270
OG0000287	EHI52_RS02515	EXC50_RS01365
OG0000288	EHI52_RS02525	EXC50_RS01375
OG0000289	EHI52_RS02530	EXC50_RS01380
OG0000290	EHI52_RS02640	EXC50_RS01490
OG0000291	EHI52_RS02630	EXC50_RS01480
OG0000292	EHI52_RS02625	EXC50_RS01475
OG0000293	EHI52_RS02620	EXC50_RS01470
OG0000294	EHI52_RS02610	EXC50_RS01460
OG0000295	EHI52_RS02605	EXC50_RS01455
OG0000296	EHI52_RS02565	EXC50_RS01415
OG0000297	EHI52_RS02560	EXC50_RS01410
OG0000298	EHI52_RS00175	EXC50_RS00175
OG0000299	EHI52_RS00200	EXC50_RS00200
OG0000300	EHI52_RS00385	EXC50_RS00385
OG0000301	EHI52_RS00420	EXC50_RS00425
OG0000302	EHI52_RS00425	EXC50_RS00430
OG0000303	EHI52_RS00575	EXC50_RS03525
OG0000304	EHI52_RS01145	EXC50_RS03010
OG0000305	EHI52_RS02870	EXC50_RS01720
OG0000306	EHI52_RS02795	EXC50_RS01645
OG0000307	EHI52_RS02760	EXC50_RS01610
OG0000308	EHI52_RS02660	EXC50_RS01510
OG0000309	EHI52_RS02595	EXC50_RS01445
OG0000310	EHI52_RS02520	EXC50_RS01370
OG0000311	EHI52_RS02485	EXC50_RS01330
OG0000312	EHI52_RS02470	EXC50_RS01315
OG0000313	EHI52_RS01655	EXC50_RS00540
OG0000314	EHI52_RS01980	EXC50_RS00900
OG0000315	EHI52_RS01950	EXC50_RS00930
OG0000316	EHI52_RS01940	EXC50_RS00940
OG0000317	EHI52_RS01850	EXC50_RS01030
OG0000318	EHI52_RS01935	EXC50_RS00945
OG0000319	EHI52_RS02240	EXC50_RS01080
OG0000320	EHI52_RS02370	EXC50_RS01215
OG0000321	EHI52_RS01395	EXC50_RS02755
OG0000322	EHI52_RS01440	EXC50_RS02710
OG0000323	EHI52_RS01570	EXC50_RS02580
OG0000324	EHI52_RS02280	EXC50_RS01120
OG0000325	EHI52_RS00700	EXC50_RS03385
OG0000326	EHI52_RS00795	EXC50_RS03290
OG0000327	EHI52_RS00800	EXC50_RS03285
OG0000328	EHI52_RS00885	EXC50_RS03200
OG0000329	EHI52_RS00905	EXC50_RS03180
OG0000330	EHI52_RS01175	EXC50_RS02985
OG0000331	EHI52_RS02965	EXC50_RS01815
OG0000332	EHI52_RS03130	EXC50_RS01950
OG0000333	EHI52_RS03140	EXC50_RS01960
OG0000334	EHI52_RS03240	EXC50_RS02065
OG0000335	EHI52_RS03250	EXC50_RS02075
OG0000336	EHI52_RS03400	EXC50_RS02245
OG0000337	EHI52_RS03575	EXC50_RS02415
OG0000338	EHI52_RS03615	EXC50_RS02455
OG0000339	EHI52_RS02340	EXC50_RS01185
OG0000340	EHI52_RS01375	EXC50_RS02775
OG0000341	EHI52_RS02300	EXC50_RS01140
OG0000342	EHI52_RS00730	EXC50_RS03355
OG0000343	EHI52_RS03150	EXC50_RS01970
OG0000344	EHI52_RS00590	EXC50_RS03510
OG0000345	EHI52_RS01090	EXC50_RS03065
OG0000346	EHI52_RS03405	EXC50_RS02250
OG0000347	EHI52_RS01465	EXC50_RS02685
OG0000348	EHI52_RS00805	EXC50_RS03280
OG0000349	EHI52_RS03465	EXC50_RS02310
OG0000350	EHI52_RS02750	EXC50_RS01600
OG0000351	EHI52_RS00510	EXC50_RS03590
OG0000352	EHI52_RS02000	EXC50_RS00880
OG0000353	EHI52_RS01435	EXC50_RS02715
OG0000354	EHI52_RS00650	EXC50_RS03450
OG0000355	EHI52_RS02030	EXC50_RS00850
OG0000356	EHI52_RS01945	EXC50_RS00935
OG0000357	EHI52_RS03110	EXC50_RS01930
OG0000358	EHI52_RS03115	EXC50_RS01935
OG0000359	EHI52_RS00775	EXC50_RS03310
OG0000360	EHI52_RS00285	EXC50_RS00285
OG0000361	EHI52_RS00315	EXC50_RS00315
OG0000362	EHI52_RS02540	EXC50_RS01390
OG0000363	EHI52_RS01505	EXC50_RS02645
OG0000364	EHI52_RS02055	EXC50_RS03915
OG0000365	EHI52_RS01905	EXC50_RS00975
OG0000366	EHI52_RS01880	EXC50_RS01000
OG0000367	EHI52_RS01870	EXC50_RS01010
OG0000368	EHI52_RS00060	EXC50_RS00060
OG0000369	EHI52_RS00025	EXC50_RS00025
OG0000370	EHI52_RS00020	EXC50_RS00020
OG0000371	EHI52_RS00015	EXC50_RS00015
OG0000372	EHI52_RS00010	EXC50_RS00010
OG0000373	EHI52_RS03605	EXC50_RS02445
OG0000374	EHI52_RS03595	EXC50_RS02435
OG0000375	EHI52_RS02235	EXC50_RS01075
OG0000376	EHI52_RS02385	EXC50_RS01230
OG0000377	EHI52_RS02375	EXC50_RS01220
OG0000378	EHI52_RS01355	EXC50_RS02795
OG0000379	EHI52_RS01430	EXC50_RS02720
OG0000380	EHI52_RS01455	EXC50_RS02695
OG0000381	EHI52_RS01495	EXC50_RS02655
OG0000382	EHI52_RS01525	EXC50_RS02625
OG0000383	EHI52_RS01565	EXC50_RS02585
OG0000384	EHI52_RS00530	EXC50_RS03570
OG0000385	EHI52_RS00535	EXC50_RS03565
OG0000386	EHI52_RS00555	EXC50_RS03545
OG0000387	EHI52_RS00580	EXC50_RS03520
OG0000388	EHI52_RS00585	EXC50_RS03515
OG0000389	EHI52_RS00630	EXC50_RS03470
OG0000390	EHI52_RS02890	EXC50_RS01740
OG0000391	EHI52_RS02880	EXC50_RS01730
OG0000392	EHI52_RS02855	EXC50_RS01705
OG0000393	EHI52_RS02800	EXC50_RS01650
OG0000394	EHI52_RS02725	EXC50_RS01575
OG0000395	EHI52_RS02720	EXC50_RS01570
OG0000396	EHI52_RS02430	EXC50_RS01275
OG0000397	EHI52_RS02015	EXC50_RS00865
OG0000398	EHI52_RS02010	EXC50_RS00870
OG0000399	EHI52_RS01965	EXC50_RS00915
OG0000400	EHI52_RS03070	EXC50_RS01895
OG0000401	EHI52_RS03135	EXC50_RS01955
OG0000402	EHI52_RS03145	EXC50_RS01965
OG0000403	EHI52_RS03155	EXC50_RS01975
OG0000404	EHI52_RS03185	EXC50_RS02005
OG0000405	EHI52_RS03200	EXC50_RS02020
OG0000406	EHI52_RS03255	EXC50_RS02080
OG0000407	EHI52_RS03260	EXC50_RS02085
OG0000408	EHI52_RS03265	EXC50_RS02090
OG0000409	EHI52_RS03270	EXC50_RS02095
OG0000410	EHI52_RS03330	EXC50_RS02155
OG0000411	EHI52_RS03320	EXC50_RS02145
OG0000412	EHI52_RS03315	EXC50_RS02140
OG0000413	EHI52_RS01580	EXC50_RS02570
OG0000414	EHI52_RS01590	EXC50_RS02560
OG0000415	EHI52_RS01595	EXC50_RS02555
OG0000416	EHI52_RS01605	EXC50_RS02545
OG0000417	EHI52_RS02295	EXC50_RS01135
OG0000418	EHI52_RS02290	EXC50_RS01130
OG0000419	EHI52_RS00710	EXC50_RS03375
OG0000420	EHI52_RS00745	EXC50_RS03340
OG0000421	EHI52_RS00780	EXC50_RS03305
OG0000422	EHI52_RS00790	EXC50_RS03295
OG0000423	EHI52_RS00845	EXC50_RS03240
OG0000424	EHI52_RS00850	EXC50_RS03235
OG0000425	EHI52_RS00860	EXC50_RS03225
OG0000426	EHI52_RS00865	EXC50_RS03220
OG0000427	EHI52_RS00890	EXC50_RS03195
OG0000428	EHI52_RS00915	EXC50_RS03170
OG0000429	EHI52_RS01080	EXC50_RS03075
OG0000430	EHI52_RS01125	EXC50_RS03030
OG0000431	EHI52_RS01135	EXC50_RS03020
OG0000432	EHI52_RS01170	EXC50_RS02990
OG0000433	EHI52_RS01185	EXC50_RS02975
OG0000434	EHI52_RS01190	EXC50_RS02970
OG0000435	EHI52_RS01205	EXC50_RS02955
OG0000436	EHI52_RS01235	EXC50_RS02925
OG0000437	EHI52_RS01245	EXC50_RS02915
OG0000438	EHI52_RS01250	EXC50_RS02910
OG0000439	EHI52_RS01255	EXC50_RS02905
OG0000440	EHI52_RS02945	EXC50_RS01795
OG0000441	EHI52_RS02985	EXC50_RS01835
OG0000442	EHI52_RS00145	EXC50_RS00145
OG0000443	EHI52_RS00195	EXC50_RS00195
OG0000444	EHI52_RS00210	EXC50_RS00210
OG0000445	EHI52_RS00235	EXC50_RS00235
OG0000446	EHI52_RS00265	EXC50_RS00265
OG0000447	EHI52_RS00270	EXC50_RS00270
OG0000448	EHI52_RS00300	EXC50_RS00300
OG0000449	EHI52_RS00325	EXC50_RS00325
OG0000450	EHI52_RS00335	EXC50_RS00335
OG0000451	EHI52_RS00380	EXC50_RS00380
OG0000452	EHI52_RS00405	EXC50_RS00410
OG0000453	EHI52_RS00440	EXC50_RS03660
OG0000455	EHI52_RS03510	EXC50_RS02355
OG0000456	EHI52_RS03390	EXC50_RS02235
OG0000457	EHI52_RS03365	EXC50_RS02210
OG0000458	EHI52_RS02510	EXC50_RS01360
OG0000459	EHI52_RS02535	EXC50_RS01385
OG0000460	EHI52_RS02545	EXC50_RS01395
OG0000461	EHI52_RS02590	EXC50_RS01440
OG0000462	EHI52_RS02585	EXC50_RS01435
OG0000463	EHI52_RS02580	EXC50_RS01430
OG0000464	EHI52_RS02575	EXC50_RS01425
OG0000465	EHI52_RS02570	EXC50_RS01420
OG0000466	EHI52_RS00410	EXC50_RS00415
OG0000467	EHI52_RS02670	EXC50_RS01520
OG0000468	EHI52_RS01970	EXC50_RS00910
OG0000469	EHI52_RS01910	EXC50_RS00970
OG0000470	EHI52_RS03650	EXC50_RS03950
OG0000471	EHI52_RS00920	EXC50_RS03165
OG0000472	EHI52_RS03340	EXC50_RS02165
OG0000473	EHI52_RS03495	EXC50_RS02340
OG0000474	EHI52_RS03500	EXC50_RS02345
OG0000475	EHI52_RS03505	EXC50_RS02350
OG0000476	EHI52_RS01615	EXC50_RS02535
OG0000477	EHI52_RS02615	EXC50_RS01465
OG0000478	EHI52_RS03440	EXC50_RS02285
OG0000479	EHI52_RS01390	EXC50_RS02760
OG0000480	EHI52_RS03665	EXC50_RS03895
OG0000481	EHI52_RS00815	EXC50_RS03270
OG0000482	EHI52_RS01275	EXC50_RS02875
OG0000483	EHI52_RS01865	EXC50_RS01015
OG0000484	EHI52_RS00205	EXC50_RS00205
OG0000485	EHI52_RS01240	EXC50_RS02920
OG0000486	EHI52_RS02315	EXC50_RS01155
OG0000487	EHI52_RS01930	EXC50_RS00950
OG0000488	EHI52_RS01895	EXC50_RS00985
OG0000489	EHI52_RS00050	EXC50_RS00050
OG0000490	EHI52_RS03610	EXC50_RS02450
OG0000491	EHI52_RS01410	EXC50_RS02740
OG0000492	EHI52_RS01485	EXC50_RS02665
OG0000493	EHI52_RS00595	EXC50_RS03505
OG0000494	EHI52_RS00655	EXC50_RS03445
OG0000495	EHI52_RS02825	EXC50_RS01675
OG0000496	EHI52_RS02815	EXC50_RS01665
OG0000497	EHI52_RS02810	EXC50_RS01660
OG0000498	EHI52_RS02730	EXC50_RS01580
OG0000499	EHI52_RS02695	EXC50_RS01545
OG0000500	EHI52_RS02005	EXC50_RS00875
OG0000501	EHI52_RS03080	EXC50_RS01905
OG0000502	EHI52_RS01265	EXC50_RS02885
OG0000503	EHI52_RS00760	EXC50_RS03325
OG0000504	EHI52_RS00895	EXC50_RS03190
OG0000505	EHI52_RS01000	EXC50_RS03155
OG0000506	EHI52_RS01010	EXC50_RS03145
OG0000507	EHI52_RS01045	EXC50_RS03110
OG0000508	EHI52_RS00260	EXC50_RS00260
OG0000509	EHI52_RS00295	EXC50_RS00295
OG0000510	EHI52_RS00305	EXC50_RS00305
OG0000511	EHI52_RS00445	EXC50_RS03655
OG0000512	EHI52_RS02550	EXC50_RS01400
OG0000513	EHI52_RS03425	EXC50_RS02270
OG0000514	EHI52_RS02850	EXC50_RS01700
