Orthogroup	MHP_F72C_genes	MHP_131B_genes
OG0000030	EHI52_RS03350	NB627_RS03530
OG0000031	EHI52_RS01660	NB627_RS00445, NB627_RS01730
OG0000032	EHI52_RS01630	NB627_RS01700
OG0000033	EHI52_RS03820	NB627_RS02575, NB627_RS02590, NB627_RS02580
OG0000035	EHI52_RS03220	NB627_RS03400
OG0000035	EHI52_RS03205	NB627_RS03385
OG0000036	EHI52_RS00115	NB627_RS00115
OG0000036	EHI52_RS00130	NB627_RS00130
OG0000037	EHI52_RS01640	NB627_RS01710
OG0000037	EHI52_RS01645	NB627_RS01720
OG0000037	EHI52_RS01635	NB627_RS01705
OG0000038	EHI52_RS03810	NB627_RS00605
OG0000039	EHI52_RS01675	NB627_RS01740
OG0000040	EHI52_RS03295	NB627_RS03475
OG0000041	EHI52_RS03655	NB627_RS00780, NB627_RS01300
OG0000043	EHI52_RS02020	NB627_RS02055
OG0000044	EHI52_RS03910	NB627_RS01805
OG0000045	EHI52_RS01680	NB627_RS01745
OG0000046	EHI52_RS03305	NB627_RS03485
OG0000048	EHI52_RS01840	NB627_RS02245
OG0000049	EHI52_RS03065	NB627_RS03240
OG0000050	EHI52_RS02450	NB627_RS02630
OG0000051	EHI52_RS02650	NB627_RS02845
OG0000052	EHI52_RS00075	NB627_RS00075
OG0000053	EHI52_RS01510	NB627_RS01580
OG0000054	EHI52_RS02475	NB627_RS02655
OG0000055	EHI52_RS00135	NB627_RS00135
OG0000056	EHI52_RS03530	NB627_RS03735
OG0000057	EHI52_RS02915	NB627_RS03110
OG0000060	EHI52_RS00080	NB627_RS00080
OG0000061	EHI52_RS02075	NB627_RS01995
OG0000062	EHI52_RS03585	NB627_RS03790
OG0000063	EHI52_RS03580	NB627_RS03785
OG0000064	EHI52_RS03570	NB627_RS03775
OG0000065	EHI52_RS02260	NB627_RS02410
OG0000066	EHI52_RS01415	NB627_RS01480
OG0000067	EHI52_RS00540	NB627_RS00635
OG0000068	EHI52_RS00660	NB627_RS00755
OG0000069	EHI52_RS02805	NB627_RS03005
OG0000070	EHI52_RS02480	NB627_RS02660
OG0000071	EHI52_RS03285	NB627_RS03465
OG0000072	EHI52_RS03290	NB627_RS03470
OG0000073	EHI52_RS00705	NB627_RS00820
OG0000074	EHI52_RS00900	NB627_RS01020
OG0000075	EHI52_RS00355	NB627_RS00350
OG0000076	EHI52_RS00370	NB627_RS00365, NB627_RS00370
OG0000077	EHI52_RS00460	NB627_RS00550
OG0000078	EHI52_RS01735	NB627_RS01810
OG0000079	EHI52_RS02555	NB627_RS02745
OG0000080	EHI52_RS03675	NB627_RS02795
OG0000081	EHI52_RS00350	NB627_RS00340
OG0000083	EHI52_RS01915	NB627_RS02160
OG0000084	EHI52_RS01890	NB627_RS02190
OG0000085	EHI52_RS01885	NB627_RS02195
OG0000086	EHI52_RS01875	NB627_RS02210
OG0000087	EHI52_RS01860	NB627_RS02225
OG0000088	EHI52_RS01855	NB627_RS02230
OG0000089	EHI52_RS01845	NB627_RS02240
OG0000090	EHI52_RS00070	NB627_RS00070
OG0000091	EHI52_RS00055	NB627_RS00055
OG0000092	EHI52_RS00040	NB627_RS00050
OG0000093	EHI52_RS00035	NB627_RS00035
OG0000094	EHI52_RS00030	NB627_RS00030
OG0000095	EHI52_RS00005	NB627_RS00005
OG0000096	EHI52_RS03620	NB627_RS03825
OG0000097	EHI52_RS03600	NB627_RS03805
OG0000098	EHI52_RS03590	NB627_RS03795
OG0000099	EHI52_RS03540	NB627_RS03745
OG0000100	EHI52_RS03520	NB627_RS03725
OG0000101	EHI52_RS03515	NB627_RS03720
OG0000102	EHI52_RS01760	NB627_RS01835
OG0000103	EHI52_RS02225	NB627_RS02375
OG0000104	EHI52_RS02230	NB627_RS02380
OG0000105	EHI52_RS02245	NB627_RS02400
OG0000106	EHI52_RS02255	NB627_RS02405
OG0000107	EHI52_RS02265	NB627_RS02415
OG0000108	EHI52_RS02270	NB627_RS02420
OG0000109	EHI52_RS02275	NB627_RS02425
OG0000110	EHI52_RS02395	NB627_RS02555
OG0000111	EHI52_RS02390	NB627_RS02550
OG0000112	EHI52_RS02380	NB627_RS02540
OG0000113	EHI52_RS02360	NB627_RS02515
OG0000114	EHI52_RS02350	NB627_RS02510
OG0000115	EHI52_RS02335	NB627_RS02495
OG0000116	EHI52_RS01360	NB627_RS01420
OG0000117	EHI52_RS01365	NB627_RS01425
OG0000118	EHI52_RS01400	NB627_RS01460
OG0000119	EHI52_RS01405	NB627_RS01465
OG0000120	EHI52_RS01420	NB627_RS01485
OG0000121	EHI52_RS01445	NB627_RS01515
OG0000122	EHI52_RS01450	NB627_RS01520
OG0000123	EHI52_RS01470	NB627_RS01540
OG0000124	EHI52_RS01475	NB627_RS01545
OG0000125	EHI52_RS01480	NB627_RS01550
OG0000126	EHI52_RS01490	NB627_RS01560
OG0000127	EHI52_RS01500	NB627_RS01570
OG0000128	EHI52_RS01515	NB627_RS01585
OG0000129	EHI52_RS01520	NB627_RS01590
OG0000130	EHI52_RS01530	NB627_RS01600
OG0000131	EHI52_RS01560	NB627_RS01630
OG0000132	EHI52_RS01575	NB627_RS01645
OG0000133	EHI52_RS00545	NB627_RS00640
OG0000134	EHI52_RS00550	NB627_RS00645
OG0000135	EHI52_RS00565	NB627_RS00660
OG0000136	EHI52_RS00570	NB627_RS00665
OG0000137	EHI52_RS00600	NB627_RS00695
OG0000138	EHI52_RS00635	NB627_RS00730
OG0000139	EHI52_RS00665	NB627_RS00760
OG0000140	EHI52_RS00670	NB627_RS00765
OG0000141	EHI52_RS02925	NB627_RS03120
OG0000142	EHI52_RS02920	NB627_RS03115
OG0000143	EHI52_RS02895	NB627_RS03100
OG0000144	EHI52_RS02885	NB627_RS03085
OG0000145	EHI52_RS02875	NB627_RS03075
OG0000146	EHI52_RS02865	NB627_RS03065
OG0000147	EHI52_RS02860	NB627_RS03060
OG0000148	EHI52_RS02845	NB627_RS03045
OG0000149	EHI52_RS02835	NB627_RS03035
OG0000150	EHI52_RS02820	NB627_RS03025
OG0000151	EHI52_RS02775	NB627_RS02970
OG0000152	EHI52_RS02770	NB627_RS02965
OG0000153	EHI52_RS02765	NB627_RS02960
OG0000154	EHI52_RS02755	NB627_RS02950
OG0000155	EHI52_RS02715	NB627_RS02910
OG0000156	EHI52_RS02705	NB627_RS02905
OG0000157	EHI52_RS02700	NB627_RS02895
OG0000158	EHI52_RS03885	NB627_RS02885
OG0000159	EHI52_RS03925	NB627_RS02645
OG0000160	EHI52_RS02460	NB627_RS02640
OG0000161	EHI52_RS02455	NB627_RS02635
OG0000162	EHI52_RS02445	NB627_RS02625
OG0000163	EHI52_RS02440	NB627_RS02620
OG0000164	EHI52_RS01665	NB627_RS01735
OG0000165	EHI52_RS01995	NB627_RS02080
OG0000166	EHI52_RS01975	NB627_RS02100
OG0000167	EHI52_RS01960	NB627_RS02115
OG0000168	EHI52_RS01955	NB627_RS02120
OG0000169	EHI52_RS03055	NB627_RS03235
OG0000170	EHI52_RS03075	NB627_RS03255
OG0000171	EHI52_RS03085	NB627_RS03265
OG0000172	EHI52_RS03095	NB627_RS03270
OG0000173	EHI52_RS03100	NB627_RS03275
OG0000174	EHI52_RS03105	NB627_RS03280
OG0000175	EHI52_RS03120	NB627_RS03295
OG0000176	EHI52_RS03170	NB627_RS03350
OG0000177	EHI52_RS03175	NB627_RS03355
OG0000178	EHI52_RS03180	NB627_RS03365
OG0000179	EHI52_RS03190	NB627_RS03370
OG0000180	EHI52_RS03195	NB627_RS03375
OG0000181	EHI52_RS03235	NB627_RS03415
OG0000182	EHI52_RS03245	NB627_RS03425
OG0000183	EHI52_RS03280	NB627_RS03460
OG0000184	EHI52_RS03325	NB627_RS03505
OG0000185	EHI52_RS03310	NB627_RS03490
OG0000186	EHI52_RS01585	NB627_RS01655
OG0000187	EHI52_RS01600	NB627_RS01670
OG0000188	EHI52_RS01610	NB627_RS01680
OG0000189	EHI52_RS02310	NB627_RS02465
OG0000190	EHI52_RS02305	NB627_RS02460
OG0000191	EHI52_RS02285	NB627_RS02435
OG0000192	EHI52_RS01280	NB627_RS01335
OG0000193	EHI52_RS01270	NB627_RS01315
OG0000194	EHI52_RS00690	NB627_RS00800
OG0000195	EHI52_RS00695	NB627_RS00805
OG0000196	EHI52_RS00715	NB627_RS00830
OG0000197	EHI52_RS00720	NB627_RS00840
OG0000198	EHI52_RS00735	NB627_RS00850
OG0000199	EHI52_RS00740	NB627_RS00855
OG0000200	EHI52_RS00755	NB627_RS00875
OG0000201	EHI52_RS00765	NB627_RS00880
OG0000202	EHI52_RS00820	NB627_RS00940
OG0000203	EHI52_RS00825	NB627_RS00945
OG0000204	EHI52_RS00830	NB627_RS00950
OG0000205	EHI52_RS00835	NB627_RS00955
OG0000206	EHI52_RS00855	NB627_RS00975
OG0000207	EHI52_RS00870	NB627_RS00990
OG0000208	EHI52_RS00875	NB627_RS00995
OG0000209	EHI52_RS00880	NB627_RS01000
OG0000210	EHI52_RS00925	NB627_RS01045
OG0000211	EHI52_RS01005	NB627_RS01055
OG0000212	EHI52_RS01015	NB627_RS01065
OG0000213	EHI52_RS01020	NB627_RS01070
OG0000214	EHI52_RS01025	NB627_RS01075
OG0000215	EHI52_RS01030	NB627_RS01080
OG0000216	EHI52_RS01035	NB627_RS01085
OG0000217	EHI52_RS01040	NB627_RS01090
OG0000218	EHI52_RS01050	NB627_RS01100
OG0000219	EHI52_RS01055	NB627_RS01105
OG0000220	EHI52_RS01060	NB627_RS01110
OG0000221	EHI52_RS01065	NB627_RS01115
OG0000222	EHI52_RS01070	NB627_RS01120
OG0000223	EHI52_RS01075	NB627_RS01125
OG0000224	EHI52_RS01085	NB627_RS01135
OG0000225	EHI52_RS01095	NB627_RS01145
OG0000226	EHI52_RS01100	NB627_RS01150
OG0000227	EHI52_RS01105	NB627_RS01155
OG0000228	EHI52_RS03905	NB627_RS01160
OG0000229	EHI52_RS01115	NB627_RS01165
OG0000230	EHI52_RS01120	NB627_RS01170
OG0000231	EHI52_RS01130	NB627_RS01180
OG0000232	EHI52_RS01140	NB627_RS01190
OG0000233	EHI52_RS01165	NB627_RS01210
OG0000234	EHI52_RS01200	NB627_RS01245
OG0000235	EHI52_RS01210	NB627_RS01255
OG0000236	EHI52_RS01215	NB627_RS01260
OG0000237	EHI52_RS01220	NB627_RS01265
OG0000238	EHI52_RS01230	NB627_RS01270
OG0000239	EHI52_RS02935	NB627_RS03130
OG0000240	EHI52_RS02940	NB627_RS03135
OG0000241	EHI52_RS02950	NB627_RS03145
OG0000242	EHI52_RS02955	NB627_RS03150
OG0000243	EHI52_RS02960	NB627_RS03155
OG0000244	EHI52_RS02970	NB627_RS03165
OG0000245	EHI52_RS02980	NB627_RS03175
OG0000246	EHI52_RS00140	NB627_RS00140
OG0000247	EHI52_RS00150	NB627_RS00150
OG0000248	EHI52_RS00160	NB627_RS00160
OG0000249	EHI52_RS00165	NB627_RS00165
OG0000250	EHI52_RS00180	NB627_RS00180
OG0000251	EHI52_RS00215	NB627_RS00215
OG0000252	EHI52_RS00225	NB627_RS00220
OG0000253	EHI52_RS00230	NB627_RS00225
OG0000254	EHI52_RS00240	NB627_RS00235
OG0000255	EHI52_RS00250	NB627_RS00240
OG0000256	EHI52_RS00255	NB627_RS00245
OG0000257	EHI52_RS00280	NB627_RS00270
OG0000258	EHI52_RS00290	NB627_RS00280
OG0000259	EHI52_RS00320	NB627_RS00310
OG0000260	EHI52_RS00330	NB627_RS00320
OG0000261	EHI52_RS00340	NB627_RS00330
OG0000262	EHI52_RS00360	NB627_RS00360
OG0000263	EHI52_RS00375	NB627_RS00375
OG0000264	EHI52_RS00390	NB627_RS00395
OG0000265	EHI52_RS00400	NB627_RS00400
OG0000266	EHI52_RS00415	NB627_RS00415
OG0000267	EHI52_RS00430	NB627_RS00430
OG0000268	EHI52_RS00435	NB627_RS00530
OG0000269	EHI52_RS00450	NB627_RS00545
OG0000270	EHI52_RS03490	NB627_RS03700
OG0000271	EHI52_RS03485	NB627_RS03690
OG0000272	EHI52_RS03480	NB627_RS03685
OG0000273	EHI52_RS03475	NB627_RS03680
OG0000274	EHI52_RS03455	NB627_RS03665
OG0000275	EHI52_RS03450	NB627_RS03655
OG0000276	EHI52_RS03445	NB627_RS03650
OG0000277	EHI52_RS03435	NB627_RS03640
OG0000278	EHI52_RS03430	NB627_RS03635
OG0000279	EHI52_RS03420	NB627_RS03625
OG0000280	EHI52_RS03415	NB627_RS03620
OG0000281	EHI52_RS03410	NB627_RS03615
OG0000282	EHI52_RS03385	NB627_RS03590
OG0000283	EHI52_RS03380	NB627_RS03585
OG0000284	EHI52_RS03375	NB627_RS03580
OG0000285	EHI52_RS03370	NB627_RS03575
OG0000286	EHI52_RS02425	NB627_RS02605
OG0000287	EHI52_RS02515	NB627_RS02705
OG0000288	EHI52_RS02525	NB627_RS02715
OG0000289	EHI52_RS02530	NB627_RS02720
OG0000290	EHI52_RS02640	NB627_RS02840
OG0000291	EHI52_RS02630	NB627_RS02825
OG0000292	EHI52_RS02625	NB627_RS02820
OG0000293	EHI52_RS02620	NB627_RS02815
OG0000294	EHI52_RS02610	NB627_RS02805
OG0000295	EHI52_RS02605	NB627_RS02800
OG0000296	EHI52_RS02565	NB627_RS02755
OG0000297	EHI52_RS02560	NB627_RS02750
OG0000298	EHI52_RS00175	NB627_RS00175
OG0000299	EHI52_RS00200	NB627_RS00195
OG0000300	EHI52_RS00385	NB627_RS00385
OG0000301	EHI52_RS00420	NB627_RS00420
OG0000302	EHI52_RS00425	NB627_RS00425
OG0000303	EHI52_RS00575	NB627_RS00670
OG0000304	EHI52_RS01145	NB627_RS01195
OG0000305	EHI52_RS02870	NB627_RS03070
OG0000306	EHI52_RS02795	NB627_RS02995
OG0000307	EHI52_RS02760	NB627_RS02955
OG0000308	EHI52_RS02660	NB627_RS02855
OG0000309	EHI52_RS02595	NB627_RS02790
OG0000310	EHI52_RS02520	NB627_RS02710
OG0000311	EHI52_RS02485	NB627_RS02665
OG0000312	EHI52_RS02470	NB627_RS02650
OG0000313	EHI52_RS01655	NB627_RS01725
OG0000314	EHI52_RS01980	NB627_RS02095
OG0000315	EHI52_RS01950	NB627_RS02125
OG0000316	EHI52_RS01940	NB627_RS02135
OG0000317	EHI52_RS01850	NB627_RS02235
OG0000318	EHI52_RS01935	NB627_RS02155
OG0000319	EHI52_RS02240	NB627_RS02390
OG0000320	EHI52_RS02370	NB627_RS02530
OG0000321	EHI52_RS01395	NB627_RS01455
OG0000322	EHI52_RS01440	NB627_RS01510
OG0000323	EHI52_RS01570	NB627_RS01640
OG0000324	EHI52_RS02280	NB627_RS02430
OG0000325	EHI52_RS00700	NB627_RS00815
OG0000326	EHI52_RS00795	NB627_RS00910
OG0000327	EHI52_RS00800	NB627_RS00915
OG0000328	EHI52_RS00885	NB627_RS01005
OG0000329	EHI52_RS00905	NB627_RS01025
OG0000330	EHI52_RS01175	NB627_RS01220
OG0000331	EHI52_RS02965	NB627_RS03160
OG0000332	EHI52_RS03130	NB627_RS03305
OG0000333	EHI52_RS03140	NB627_RS03315
OG0000334	EHI52_RS03240	NB627_RS03420
OG0000335	EHI52_RS03250	NB627_RS03430
OG0000336	EHI52_RS03400	NB627_RS03605
OG0000337	EHI52_RS03575	NB627_RS03780
OG0000338	EHI52_RS03615	NB627_RS03820
OG0000339	EHI52_RS02340	NB627_RS02500
OG0000340	EHI52_RS01375	NB627_RS01435
OG0000341	EHI52_RS02300	NB627_RS02455
OG0000342	EHI52_RS00730	NB627_RS00845
OG0000343	EHI52_RS03150	NB627_RS03325
OG0000344	EHI52_RS00590	NB627_RS00685
OG0000345	EHI52_RS01090	NB627_RS01140
OG0000346	EHI52_RS03405	NB627_RS03610
OG0000347	EHI52_RS01465	NB627_RS01535
OG0000348	EHI52_RS00805	NB627_RS00920
OG0000349	EHI52_RS03465	NB627_RS03670
OG0000350	EHI52_RS02750	NB627_RS02945
OG0000351	EHI52_RS00510	NB627_RS00600
OG0000352	EHI52_RS02000	NB627_RS02075
OG0000353	EHI52_RS01435	NB627_RS01500
OG0000354	EHI52_RS00650	NB627_RS00745
OG0000355	EHI52_RS02030	NB627_RS02050
OG0000356	EHI52_RS01945	NB627_RS02130
OG0000357	EHI52_RS03110	NB627_RS03285
OG0000358	EHI52_RS03115	NB627_RS03290
OG0000359	EHI52_RS00775	NB627_RS00890
OG0000360	EHI52_RS00285	NB627_RS00275
OG0000361	EHI52_RS00315	NB627_RS00305
OG0000362	EHI52_RS02540	NB627_RS02730
OG0000363	EHI52_RS01505	NB627_RS01575
OG0000364	EHI52_RS03790, EHI52_RS02055	NB627_RS02025
OG0000365	EHI52_RS01905	NB627_RS02180
OG0000366	EHI52_RS01880	NB627_RS02200
OG0000367	EHI52_RS01870	NB627_RS02215
OG0000368	EHI52_RS00060	NB627_RS00060
OG0000369	EHI52_RS00025	NB627_RS00025
OG0000370	EHI52_RS00020	NB627_RS00020
OG0000371	EHI52_RS00015	NB627_RS00015
OG0000372	EHI52_RS00010	NB627_RS00010
OG0000373	EHI52_RS03605	NB627_RS03810
OG0000374	EHI52_RS03595	NB627_RS03800
OG0000375	EHI52_RS02235	NB627_RS02385
OG0000376	EHI52_RS02385	NB627_RS02545
OG0000377	EHI52_RS02375	NB627_RS02535
OG0000378	EHI52_RS01355	NB627_RS01415
OG0000379	EHI52_RS01430	NB627_RS01495
OG0000380	EHI52_RS01455	NB627_RS01525
OG0000381	EHI52_RS01495	NB627_RS01565
OG0000382	EHI52_RS01525	NB627_RS01595
OG0000383	EHI52_RS01565	NB627_RS01635
OG0000384	EHI52_RS00530	NB627_RS00625
OG0000385	EHI52_RS00535	NB627_RS00630
OG0000386	EHI52_RS00555	NB627_RS00650
OG0000387	EHI52_RS00580	NB627_RS00675
OG0000388	EHI52_RS00585	NB627_RS00680
OG0000389	EHI52_RS00630	NB627_RS00725
OG0000390	EHI52_RS02890	NB627_RS03090
OG0000391	EHI52_RS02880	NB627_RS03080
OG0000392	EHI52_RS02855	NB627_RS03055
OG0000393	EHI52_RS02800	NB627_RS03000
OG0000394	EHI52_RS02725	NB627_RS02920
OG0000395	EHI52_RS02720	NB627_RS02915
OG0000396	EHI52_RS02430	NB627_RS02610
OG0000397	EHI52_RS02015	NB627_RS02060
OG0000398	EHI52_RS02010	NB627_RS02065
OG0000399	EHI52_RS01965	NB627_RS02110
OG0000400	EHI52_RS03070	NB627_RS03250
OG0000401	EHI52_RS03135	NB627_RS03310
OG0000402	EHI52_RS03145	NB627_RS03320
OG0000403	EHI52_RS03155	NB627_RS03330
OG0000405	EHI52_RS03200	NB627_RS03380
OG0000406	EHI52_RS03255	NB627_RS03435
OG0000407	EHI52_RS03260	NB627_RS03440
OG0000408	EHI52_RS03265	NB627_RS03445
OG0000409	EHI52_RS03270	NB627_RS03450
OG0000410	EHI52_RS03330	NB627_RS03515
OG0000411	EHI52_RS03320	NB627_RS03500
OG0000412	EHI52_RS03315	NB627_RS03495
OG0000413	EHI52_RS01580	NB627_RS01650
OG0000414	EHI52_RS01590	NB627_RS01660
OG0000415	EHI52_RS01595	NB627_RS01665
OG0000416	EHI52_RS01605	NB627_RS01675
OG0000417	EHI52_RS02295	NB627_RS02450
OG0000418	EHI52_RS02290	NB627_RS02440
OG0000419	EHI52_RS00710	NB627_RS00825
OG0000420	EHI52_RS00745	NB627_RS00860
OG0000421	EHI52_RS00780	NB627_RS00900
OG0000422	EHI52_RS00790	NB627_RS00905
OG0000423	EHI52_RS00845	NB627_RS00965
OG0000424	EHI52_RS00850	NB627_RS00970
OG0000425	EHI52_RS00860	NB627_RS00980
OG0000426	EHI52_RS00865	NB627_RS00985
OG0000427	EHI52_RS00890	NB627_RS01010
OG0000429	EHI52_RS01080	NB627_RS01130
OG0000430	EHI52_RS01125	NB627_RS01175
OG0000431	EHI52_RS01135	NB627_RS01185
OG0000432	EHI52_RS01170	NB627_RS01215
OG0000433	EHI52_RS01185	NB627_RS01230
OG0000434	EHI52_RS01190	NB627_RS01235
OG0000435	EHI52_RS01205	NB627_RS01250
OG0000436	EHI52_RS01235	NB627_RS01275
OG0000437	EHI52_RS01245	NB627_RS01285
OG0000438	EHI52_RS01250	NB627_RS01290
OG0000439	EHI52_RS01255	NB627_RS01295
OG0000440	EHI52_RS02945	NB627_RS03140
OG0000441	EHI52_RS02985	NB627_RS03185
OG0000442	EHI52_RS00145	NB627_RS00145
OG0000443	EHI52_RS00195	NB627_RS00190
OG0000444	EHI52_RS00210	NB627_RS00205
OG0000445	EHI52_RS00235	NB627_RS00230
OG0000446	EHI52_RS00265	NB627_RS00255
OG0000447	EHI52_RS00270	NB627_RS00260
OG0000448	EHI52_RS00300	NB627_RS00290
OG0000449	EHI52_RS00325	NB627_RS00315
OG0000450	EHI52_RS00335	NB627_RS00325
OG0000451	EHI52_RS00380	NB627_RS00380
OG0000452	EHI52_RS00405	NB627_RS00405
OG0000453	EHI52_RS00440	NB627_RS00535
OG0000455	EHI52_RS03510	NB627_RS03715
OG0000456	EHI52_RS03390	NB627_RS03595
OG0000457	EHI52_RS03365	NB627_RS03565
OG0000458	EHI52_RS02510	NB627_RS02700
OG0000459	EHI52_RS02535	NB627_RS02725
OG0000460	EHI52_RS02545	NB627_RS02735
OG0000461	EHI52_RS02590	NB627_RS02780
OG0000462	EHI52_RS02585	NB627_RS02775
OG0000463	EHI52_RS02580	NB627_RS02770
OG0000464	EHI52_RS02575	NB627_RS02765
OG0000465	EHI52_RS02570	NB627_RS02760
OG0000466	EHI52_RS00410	NB627_RS00410
OG0000467	EHI52_RS02670	NB627_RS02865
OG0000468	EHI52_RS01970	NB627_RS02105
OG0000469	EHI52_RS01910	NB627_RS02165
OG0000470	EHI52_RS03650	NB627_RS00960
OG0000471	EHI52_RS00920	NB627_RS01040
OG0000472	EHI52_RS03340	NB627_RS03520
OG0000474	EHI52_RS03500	NB627_RS03705
OG0000475	EHI52_RS03505	NB627_RS03710
OG0000476	EHI52_RS01615	NB627_RS01685
OG0000477	EHI52_RS02615	NB627_RS02810
OG0000478	EHI52_RS03440	NB627_RS03645
OG0000479	EHI52_RS01390	NB627_RS01450
OG0000480	EHI52_RS03665	NB627_RS02170
OG0000481	EHI52_RS00815	NB627_RS00935
OG0000482	EHI52_RS01275	NB627_RS01320
OG0000483	EHI52_RS01865	NB627_RS02220
OG0000484	EHI52_RS00205	NB627_RS00200
OG0000485	EHI52_RS01240	NB627_RS01280
OG0000486	EHI52_RS02315	NB627_RS02470
OG0000488	EHI52_RS01895	NB627_RS02185
OG0000490	EHI52_RS03610	NB627_RS03815
OG0000491	EHI52_RS01410	NB627_RS01470
OG0000492	EHI52_RS01485	NB627_RS01555
OG0000493	EHI52_RS00595	NB627_RS00690
OG0000494	EHI52_RS00655	NB627_RS00750
OG0000496	EHI52_RS02815	NB627_RS03015
OG0000497	EHI52_RS02810	NB627_RS03010
OG0000498	EHI52_RS02730	NB627_RS02925
OG0000499	EHI52_RS02695	NB627_RS02890
OG0000500	EHI52_RS02005	NB627_RS02070
OG0000501	EHI52_RS03080	NB627_RS03260
OG0000504	EHI52_RS00895	NB627_RS01015
OG0000505	EHI52_RS01000	NB627_RS01050
OG0000506	EHI52_RS01010	NB627_RS01060
OG0000507	EHI52_RS01045	NB627_RS01095
OG0000508	EHI52_RS00260	NB627_RS00250
OG0000509	EHI52_RS00295	NB627_RS00285
OG0000510	EHI52_RS00305	NB627_RS00300
OG0000511	EHI52_RS00445	NB627_RS00540
OG0000512	EHI52_RS02550	NB627_RS02740
OG0000513	EHI52_RS03425	NB627_RS03630
OG0000514	EHI52_RS02850	NB627_RS03050
OG0000517	EHI52_RS00065	NB627_RS00065
OG0000518	EHI52_RS03125	NB627_RS03300
OG0000520	EHI52_RS00910	NB627_RS01035
OG0000521	EHI52_RS00275	NB627_RS00265
OG0000523	EHI52_RS03360	NB627_RS03560
OG0000524	EHI52_RS02665	NB627_RS02860
OG0000525	EHI52_RS03345	NB627_RS03525
OG0000526	EHI52_RS03800	NB627_RS01970, NB627_RS01965
OG0000527	EHI52_RS02185	NB627_RS01910
OG0000531	EHI52_RS01460	NB627_RS01530
OG0000532	EHI52_RS01685	NB627_RS01750, NB627_RS01755
OG0000538	EHI52_RS01195	NB627_RS01240
OG0000540	EHI52_RS02635	NB627_RS02830
OG0000544	EHI52_RS01315	NB627_RS01370
