Orthogroup	MHP_F72C_genes	MFC_MF33_genes
OG0000167	EHI52_RS01960	DR085_RS02765
OG0000168	EHI52_RS01955	DR085_RS02760
OG0000169	EHI52_RS03055	DR085_RS01405
OG0000170	EHI52_RS03075	DR085_RS01420
OG0000171	EHI52_RS03085	DR085_RS01430
OG0000172	EHI52_RS03095	DR085_RS01435
OG0000173	EHI52_RS03100	DR085_RS01440
OG0000174	EHI52_RS03105	DR085_RS01445
OG0000175	EHI52_RS03120	DR085_RS01460
OG0000176	EHI52_RS03170	DR085_RS01500
OG0000177	EHI52_RS03175	DR085_RS01505
OG0000178	EHI52_RS03180	DR085_RS01510
OG0000179	EHI52_RS03190	DR085_RS01520
OG0000180	EHI52_RS03195	DR085_RS01525
OG0000181	EHI52_RS03235	DR085_RS03715
OG0000182	EHI52_RS03245	DR085_RS01550
OG0000183	EHI52_RS03280	DR085_RS01585
OG0000184	EHI52_RS03325	DR085_RS02950
OG0000185	EHI52_RS03310	DR085_RS02935
OG0000186	EHI52_RS01585	DR085_RS02180
OG0000187	EHI52_RS01600	DR085_RS02165
OG0000188	EHI52_RS01610	DR085_RS02155
OG0000189	EHI52_RS02310	DR085_RS03775
OG0000190	EHI52_RS02305	DR085_RS02140
OG0000191	EHI52_RS02285	DR085_RS02120
OG0000192	EHI52_RS01280	DR085_RS02110
OG0000193	EHI52_RS01270	DR085_RS02095
OG0000194	EHI52_RS00690	DR085_RS02085
OG0000195	EHI52_RS00695	DR085_RS02080
OG0000196	EHI52_RS00715	DR085_RS03770
OG0000197	EHI52_RS00720	DR085_RS02055
OG0000198	EHI52_RS00735	DR085_RS02040
OG0000199	EHI52_RS00740	DR085_RS02035
OG0000200	EHI52_RS00755	DR085_RS02020
OG0000201	EHI52_RS00765	DR085_RS02010
OG0000202	EHI52_RS00820	DR085_RS01955
OG0000203	EHI52_RS00825	DR085_RS01950
OG0000204	EHI52_RS00830	DR085_RS03675
OG0000205	EHI52_RS00835	DR085_RS00995
OG0000206	EHI52_RS00855	DR085_RS01015
OG0000207	EHI52_RS00870	DR085_RS01030
OG0000208	EHI52_RS00875	DR085_RS01035
OG0000209	EHI52_RS00880	DR085_RS01040
OG0000210	EHI52_RS00925	DR085_RS01085
OG0000211	EHI52_RS01005	DR085_RS01095
OG0000212	EHI52_RS01015	DR085_RS01105
OG0000213	EHI52_RS01020	DR085_RS01110
OG0000214	EHI52_RS01025	DR085_RS01115
OG0000215	EHI52_RS01030	DR085_RS01120
OG0000216	EHI52_RS01035	DR085_RS01125
OG0000217	EHI52_RS01040	DR085_RS01130
OG0000218	EHI52_RS01050	DR085_RS03695
OG0000219	EHI52_RS01055	DR085_RS01145
OG0000220	EHI52_RS01060	DR085_RS01150
OG0000221	EHI52_RS01065	DR085_RS01155
OG0000222	EHI52_RS01070	DR085_RS01160
OG0000223	EHI52_RS01075	DR085_RS01165
OG0000224	EHI52_RS01085	DR085_RS01175
OG0000225	EHI52_RS01095	DR085_RS01185
OG0000226	EHI52_RS01100	DR085_RS01190
OG0000227	EHI52_RS01105	DR085_RS01195
OG0000228	EHI52_RS03905	DR085_RS03930
OG0000229	EHI52_RS01115	DR085_RS01205
OG0000230	EHI52_RS01120	DR085_RS01210
OG0000231	EHI52_RS01130	DR085_RS01220
OG0000232	EHI52_RS01140	DR085_RS01230
OG0000233	EHI52_RS01165	DR085_RS01240
OG0000234	EHI52_RS01200	DR085_RS01270
OG0000235	EHI52_RS01210	DR085_RS01280
OG0000236	EHI52_RS01215	DR085_RS01285
OG0000237	EHI52_RS01220	DR085_RS01305
OG0000238	EHI52_RS01230	DR085_RS01310
OG0000239	EHI52_RS02935	DR085_RS01340
OG0000240	EHI52_RS02940	DR085_RS01345
OG0000241	EHI52_RS02950	DR085_RS01355
OG0000242	EHI52_RS02955	DR085_RS01360
OG0000243	EHI52_RS02960	DR085_RS01365
OG0000244	EHI52_RS02970	DR085_RS01375
OG0000245	EHI52_RS02980	DR085_RS01385
OG0000246	EHI52_RS00140	DR085_RS02350
OG0000247	EHI52_RS00150	DR085_RS02360
OG0000248	EHI52_RS00160	DR085_RS02385
OG0000249	EHI52_RS00165	DR085_RS02390
OG0000250	EHI52_RS00180	DR085_RS00015
OG0000251	EHI52_RS00215	DR085_RS00045
OG0000252	EHI52_RS00225	DR085_RS00055
OG0000253	EHI52_RS00230	DR085_RS00060
OG0000254	EHI52_RS00240	DR085_RS00070
OG0000255	EHI52_RS00250	DR085_RS00075
OG0000256	EHI52_RS00255	DR085_RS00080
OG0000257	EHI52_RS00280	DR085_RS00105
OG0000258	EHI52_RS00290	DR085_RS00115
OG0000259	EHI52_RS00320	DR085_RS00145
OG0000260	EHI52_RS00330	DR085_RS00155
OG0000261	EHI52_RS00340	DR085_RS03635
OG0000262	EHI52_RS00360	DR085_RS00180
OG0000263	EHI52_RS00375	DR085_RS00195
OG0000264	EHI52_RS00390	DR085_RS00210
OG0000265	EHI52_RS00400	DR085_RS00220
OG0000266	EHI52_RS00415	DR085_RS00235
OG0000267	EHI52_RS00430	DR085_RS00250
OG0000268	EHI52_RS00435	DR085_RS00255
OG0000269	EHI52_RS00450	DR085_RS00270
OG0000270	EHI52_RS03490	DR085_RS03815
OG0000271	EHI52_RS03485	DR085_RS02505
OG0000272	EHI52_RS03480	DR085_RS02510
OG0000273	EHI52_RS03475	DR085_RS02515
OG0000274	EHI52_RS03455	DR085_RS02530
OG0000275	EHI52_RS03450	DR085_RS03820
OG0000276	EHI52_RS03445	DR085_RS02540
OG0000277	EHI52_RS03435	DR085_RS03825
OG0000278	EHI52_RS03430	DR085_RS02555
OG0000279	EHI52_RS03420	DR085_RS02565
OG0000280	EHI52_RS03415	DR085_RS02570
OG0000281	EHI52_RS03410	DR085_RS02575
OG0000282	EHI52_RS03385	DR085_RS02600
OG0000283	EHI52_RS03380	DR085_RS02605
OG0000284	EHI52_RS03375	DR085_RS02610
OG0000285	EHI52_RS03370	DR085_RS03840
OG0000286	EHI52_RS02425	DR085_RS00925
OG0000287	EHI52_RS02515	DR085_RS00900
OG0000288	EHI52_RS02525	DR085_RS00890
OG0000289	EHI52_RS02530	DR085_RS00885
OG0000290	EHI52_RS02640	DR085_RS03270
OG0000291	EHI52_RS02630	DR085_RS00785
OG0000292	EHI52_RS02625	DR085_RS00790
OG0000293	EHI52_RS02620	DR085_RS00795
OG0000294	EHI52_RS02610	DR085_RS00805
OG0000295	EHI52_RS02605	DR085_RS00810
OG0000296	EHI52_RS02565	DR085_RS00850
OG0000297	EHI52_RS02560	DR085_RS00855
OG0000298	EHI52_RS00175	DR085_RS00010
OG0000299	EHI52_RS00200	DR085_RS00030
OG0000300	EHI52_RS00385	DR085_RS00205
OG0000301	EHI52_RS00420	DR085_RS00240
OG0000302	EHI52_RS00425	DR085_RS00245
OG0000303	EHI52_RS00575	DR085_RS00380
OG0000304	EHI52_RS01145	DR085_RS00415
OG0000305	EHI52_RS02870	DR085_RS00565
OG0000306	EHI52_RS02795	DR085_RS00650
OG0000307	EHI52_RS02760	DR085_RS00685
OG0000308	EHI52_RS02660	DR085_RS00765
OG0000309	EHI52_RS02595	DR085_RS00820
OG0000310	EHI52_RS02520	DR085_RS00895
OG0000311	EHI52_RS02485	DR085_RS00945
OG0000312	EHI52_RS02470	DR085_RS00965
OG0000313	EHI52_RS01655	DR085_RS02700
OG0000314	EHI52_RS01980	DR085_RS02785
OG0000315	EHI52_RS01950	DR085_RS02755
OG0000316	EHI52_RS01940	DR085_RS02745
OG0000317	EHI52_RS01850	DR085_RS02870
OG0000318	EHI52_RS01935	DR085_RS03900
OG0000319	EHI52_RS02240	DR085_RS01915
OG0000320	EHI52_RS02370	DR085_RS01850
OG0000321	EHI52_RS01395	DR085_RS01785
OG0000322	EHI52_RS01440	DR085_RS01740
OG0000323	EHI52_RS01570	DR085_RS01610
OG0000324	EHI52_RS02280	DR085_RS02115
OG0000325	EHI52_RS00700	DR085_RS02075
OG0000326	EHI52_RS00795	DR085_RS01980
OG0000327	EHI52_RS00800	DR085_RS01975
OG0000328	EHI52_RS00885	DR085_RS01045
OG0000329	EHI52_RS00905	DR085_RS01065
OG0000330	EHI52_RS01175	DR085_RS01250
OG0000331	EHI52_RS02965	DR085_RS01370
OG0000332	EHI52_RS03130	DR085_RS01470
OG0000333	EHI52_RS03140	DR085_RS01480
OG0000334	EHI52_RS03240	DR085_RS01545
OG0000335	EHI52_RS03250	DR085_RS03720
OG0000336	EHI52_RS03400	DR085_RS03835
OG0000337	EHI52_RS03575	DR085_RS02220
OG0000338	EHI52_RS03615	DR085_RS02260
OG0000339	EHI52_RS02340	DR085_RS01830
OG0000340	EHI52_RS01375	DR085_RS01805
OG0000341	EHI52_RS02300	DR085_RS02135
OG0000342	EHI52_RS00730	DR085_RS02045
OG0000343	EHI52_RS03150	DR085_RS01490
OG0000344	EHI52_RS00590	DR085_RS00395
OG0000345	EHI52_RS01090	DR085_RS01180
OG0000346	EHI52_RS03405	DR085_RS03830
OG0000347	EHI52_RS01465	DR085_RS01715
OG0000348	EHI52_RS00805	DR085_RS03760
OG0000349	EHI52_RS03465	DR085_RS02520
OG0000350	EHI52_RS02750	DR085_RS00655
OG0000351	EHI52_RS00510	DR085_RS00330
OG0000352	EHI52_RS02000	DR085_RS02815
OG0000353	EHI52_RS01435	DR085_RS01745
OG0000354	EHI52_RS00650	DR085_RS00450
OG0000355	EHI52_RS02030	DR085_RS03855
OG0000356	EHI52_RS01945	DR085_RS03870
OG0000357	EHI52_RS03110	DR085_RS03705
OG0000358	EHI52_RS03115	DR085_RS01455
OG0000359	EHI52_RS00775	DR085_RS03765
OG0000360	EHI52_RS00285	DR085_RS00110
OG0000361	EHI52_RS00315	DR085_RS00140
OG0000362	EHI52_RS02540	DR085_RS00875
OG0000363	EHI52_RS01505	DR085_RS03935
OG0000365	EHI52_RS01905	DR085_RS03915
OG0000366	EHI52_RS01880	DR085_RS02840
OG0000367	EHI52_RS01870	DR085_RS02850
OG0000368	EHI52_RS00060	DR085_RS02325
OG0000369	EHI52_RS00025	DR085_RS03780
OG0000370	EHI52_RS00020	DR085_RS02285
OG0000371	EHI52_RS00015	DR085_RS02280
OG0000372	EHI52_RS00010	DR085_RS02275
OG0000373	EHI52_RS03605	DR085_RS02250
OG0000374	EHI52_RS03595	DR085_RS02240
OG0000375	EHI52_RS02235	DR085_RS01920
OG0000376	EHI52_RS02385	DR085_RS01865
OG0000377	EHI52_RS02375	DR085_RS01855
OG0000378	EHI52_RS01355	DR085_RS01820
OG0000379	EHI52_RS01430	DR085_RS01750
OG0000380	EHI52_RS01455	DR085_RS01725
OG0000381	EHI52_RS01495	DR085_RS01685
OG0000382	EHI52_RS01525	DR085_RS01655
OG0000383	EHI52_RS01565	DR085_RS01615
OG0000384	EHI52_RS00530	DR085_RS00335
OG0000385	EHI52_RS00535	DR085_RS00340
OG0000386	EHI52_RS00555	DR085_RS00360
OG0000387	EHI52_RS00580	DR085_RS00385
OG0000388	EHI52_RS00585	DR085_RS03645
OG0000389	EHI52_RS00630	DR085_RS00430
OG0000390	EHI52_RS02890	DR085_RS00545
OG0000391	EHI52_RS02880	DR085_RS00555
OG0000392	EHI52_RS02855	DR085_RS00580
OG0000393	EHI52_RS02800	DR085_RS00635
OG0000394	EHI52_RS02725	DR085_RS00700
OG0000395	EHI52_RS02720	DR085_RS00705
OG0000396	EHI52_RS02430	DR085_RS02710
OG0000397	EHI52_RS02015	DR085_RS02665
OG0000398	EHI52_RS02010	DR085_RS02660
OG0000399	EHI52_RS01965	DR085_RS02770
OG0000400	EHI52_RS03070	DR085_RS01415
OG0000401	EHI52_RS03135	DR085_RS01475
OG0000402	EHI52_RS03145	DR085_RS01485
OG0000403	EHI52_RS03155	DR085_RS01495
OG0000404	EHI52_RS03185	DR085_RS03710
OG0000405	EHI52_RS03200	DR085_RS01530
OG0000406	EHI52_RS03255	DR085_RS01560
OG0000407	EHI52_RS03260	DR085_RS03725
OG0000408	EHI52_RS03265	DR085_RS01570
OG0000409	EHI52_RS03270	DR085_RS01575
OG0000410	EHI52_RS03330	DR085_RS02955
OG0000411	EHI52_RS03320	DR085_RS02945
OG0000412	EHI52_RS03315	DR085_RS02940
OG0000413	EHI52_RS01580	DR085_RS02185
OG0000414	EHI52_RS01590	DR085_RS02175
OG0000415	EHI52_RS01595	DR085_RS02170
OG0000416	EHI52_RS01605	DR085_RS02160
OG0000417	EHI52_RS02295	DR085_RS02130
OG0000418	EHI52_RS02290	DR085_RS02125
OG0000419	EHI52_RS00710	DR085_RS02065
OG0000420	EHI52_RS00745	DR085_RS02030
OG0000421	EHI52_RS00780	DR085_RS01995
OG0000422	EHI52_RS00790	DR085_RS01985
OG0000423	EHI52_RS00845	DR085_RS01005
OG0000424	EHI52_RS00850	DR085_RS01010
OG0000425	EHI52_RS00860	DR085_RS01020
OG0000426	EHI52_RS00865	DR085_RS03680
OG0000427	EHI52_RS00890	DR085_RS03685
OG0000428	EHI52_RS00915	DR085_RS01075
OG0000429	EHI52_RS01080	DR085_RS01170
OG0000430	EHI52_RS01125	DR085_RS01215
OG0000431	EHI52_RS01135	DR085_RS01225
OG0000432	EHI52_RS01170	DR085_RS01245
OG0000433	EHI52_RS01185	DR085_RS01255
OG0000434	EHI52_RS01190	DR085_RS01260
OG0000435	EHI52_RS01205	DR085_RS01275
OG0000436	EHI52_RS01235	DR085_RS01315
OG0000437	EHI52_RS01245	DR085_RS01325
OG0000438	EHI52_RS01250	DR085_RS03700
OG0000439	EHI52_RS01255	DR085_RS01335
OG0000440	EHI52_RS02945	DR085_RS01350
OG0000441	EHI52_RS02985	DR085_RS01390
OG0000442	EHI52_RS00145	DR085_RS02355
OG0000443	EHI52_RS00195	DR085_RS00025
OG0000444	EHI52_RS00210	DR085_RS00040
OG0000445	EHI52_RS00235	DR085_RS00065
OG0000446	EHI52_RS00265	DR085_RS00090
OG0000447	EHI52_RS00270	DR085_RS00095
OG0000448	EHI52_RS00300	DR085_RS00125
OG0000449	EHI52_RS00325	DR085_RS00150
OG0000450	EHI52_RS00335	DR085_RS00160
OG0000451	EHI52_RS00380	DR085_RS00200
OG0000452	EHI52_RS00405	DR085_RS00225
OG0000453	EHI52_RS00440	DR085_RS00260
OG0000455	EHI52_RS03510	DR085_RS03810
OG0000456	EHI52_RS03390	DR085_RS02595
OG0000457	EHI52_RS03365	DR085_RS02620
OG0000458	EHI52_RS02510	DR085_RS00905
OG0000459	EHI52_RS02535	DR085_RS00880
OG0000460	EHI52_RS02545	DR085_RS00870
OG0000461	EHI52_RS02590	DR085_RS00825
OG0000462	EHI52_RS02585	DR085_RS00830
OG0000463	EHI52_RS02580	DR085_RS00835
OG0000464	EHI52_RS02575	DR085_RS00840
OG0000465	EHI52_RS02570	DR085_RS00845
OG0000466	EHI52_RS00410	DR085_RS00230
OG0000467	EHI52_RS02670	DR085_RS03670
OG0000468	EHI52_RS01970	DR085_RS02775
OG0000469	EHI52_RS01910	DR085_RS02995
OG0000470	EHI52_RS03650	DR085_RS01000
OG0000471	EHI52_RS00920	DR085_RS01080
OG0000472	EHI52_RS03340	DR085_RS02645
OG0000473	EHI52_RS03495	DR085_RS02495
OG0000474	EHI52_RS03500	DR085_RS02490
OG0000475	EHI52_RS03505	DR085_RS02485
OG0000476	EHI52_RS01615	DR085_RS02450
OG0000477	EHI52_RS02615	DR085_RS00800
OG0000478	EHI52_RS03440	DR085_RS02545
OG0000479	EHI52_RS01390	DR085_RS01790
OG0000480	EHI52_RS03665	DR085_RS03170
OG0000481	EHI52_RS00815	DR085_RS01960
OG0000482	EHI52_RS01275	DR085_RS02100
OG0000483	EHI52_RS01865	DR085_RS02855
OG0000484	EHI52_RS00205	DR085_RS03630
OG0000485	EHI52_RS01240	DR085_RS01320
OG0000486	EHI52_RS02315	DR085_RS02150
OG0000487	EHI52_RS01930	DR085_RS03905
OG0000488	EHI52_RS01895	DR085_RS02825
OG0000489	EHI52_RS00050	DR085_RS02315
OG0000490	EHI52_RS03610	DR085_RS02255
OG0000491	EHI52_RS01410	DR085_RS01770
OG0000492	EHI52_RS01485	DR085_RS01695
OG0000493	EHI52_RS00595	DR085_RS00400
OG0000494	EHI52_RS00655	DR085_RS00455
OG0000495	EHI52_RS02825	DR085_RS00610
OG0000496	EHI52_RS02815	DR085_RS00620
OG0000497	EHI52_RS02810	DR085_RS00625
OG0000498	EHI52_RS02730	DR085_RS00695
OG0000499	EHI52_RS02695	DR085_RS00740
OG0000500	EHI52_RS02005	DR085_RS02655
OG0000501	EHI52_RS03080	DR085_RS01425
OG0000502	EHI52_RS01265	DR085_RS02090
OG0000503	EHI52_RS00760	DR085_RS02015
OG0000504	EHI52_RS00895	DR085_RS01055
OG0000505	EHI52_RS01000	DR085_RS01090
OG0000506	EHI52_RS01010	DR085_RS01100
OG0000507	EHI52_RS01045	DR085_RS01135
OG0000508	EHI52_RS00260	DR085_RS00085
OG0000509	EHI52_RS00295	DR085_RS00120
OG0000510	EHI52_RS00305	DR085_RS00130
OG0000511	EHI52_RS00445	DR085_RS00265
OG0000512	EHI52_RS02550	DR085_RS00865
OG0000513	EHI52_RS03425	DR085_RS02560
OG0000514	EHI52_RS02850	DR085_RS00585
OG0000516	EHI52_RS01925	DR085_RS02970
OG0000517	EHI52_RS00065	DR085_RS02330
OG0000518	EHI52_RS03125	DR085_RS01465
OG0000519	EHI52_RS00785	DR085_RS01990
OG0000520	EHI52_RS00910	DR085_RS01070
OG0000521	EHI52_RS00275	DR085_RS00100
OG0000522	EHI52_RS00310	DR085_RS00135
OG0000523	EHI52_RS03360	DR085_RS02625
OG0000524	EHI52_RS02665	DR085_RS00760
OG0000528	EHI52_RS01920	DR085_RS02980
OG0000529	EHI52_RS02250	DR085_RS01905
OG0000530	EHI52_RS02355	DR085_RS01840
OG0000531	EHI52_RS01460	DR085_RS01720
OG0000532	EHI52_RS01685	DR085_RS00490
OG0000534	EHI52_RS00395	DR085_RS00215
OG0000535	EHI52_RS00045	DR085_RS02310
OG0000536	EHI52_RS03545	DR085_RS02425
OG0000537	EHI52_RS00725	DR085_RS02050
OG0000538	EHI52_RS01195	DR085_RS01265
OG0000539	EHI52_RS00220	DR085_RS00050
OG0000541	EHI52_RS02710	DR085_RS00725
OG0000542	EHI52_RS00365	DR085_RS00185
OG0000547	EHI52_RS02900	DR085_RS00535
OG0000548	EHI52_RS01650	DR085_RS02705
OG0000549	EHI52_RS03335	DR085_RS02650
OG0000550	EHI52_RS03460	DR085_RS02525
OG0000551	EHI52_RS02975	DR085_RS01380
OG0000555	EHI52_RS03850	DR085_RS03230
OG0000589	EHI52_RS00950	DR085_RS02910
OG0000596	EHI52_RS01785	DR085_RS02375
OG0000598	EHI52_RS01790	DR085_RS02370
OG0000599	EHI52_RS01795	DR085_RS02365
OG0000602	EHI52_RS01900	DR085_RS02820
