Orthogroup	Species	MHP_1257_genes	Orthologs
OG0000000	MHP_ES2L_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	HZK19_RS02105
OG0000000	MHP_F72C_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	EHI52_RS00960
OG0000000	MHP_7422_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	MHL_RS02190
OG0000000	MHP_J_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	MHJ_RS03645
OG0000000	MFC_ATCC27716_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	MFC_RS02935
OG0000000	MHP_111A_genes	ABKJ22_RS02265, ABKJ22_RS02260	NB623_RS01020
OG0000000	MHP_112B_genes	ABKJ22_RS02265, ABKJ22_RS02260	NBX26_RS01015
OG0000000	MHP_MHP696_genes	ABKJ22_RS02265, ABKJ22_RS02260	DR090_RS04285
OG0000000	MHP_MHP709_genes	ABKJ22_RS02265, ABKJ22_RS02260	DR088_RS03470
OG0000000	MHP_153B_genes	ABKJ22_RS02265, ABKJ22_RS02260	NB625_RS02220
OG0000000	MHP_154B_genes	ABKJ22_RS02265, ABKJ22_RS02260	NB624_RS02230
OG0000000	MHP_ES2_genes	ABKJ22_RS02265, ABKJ22_RS02260	E5E95_RS02240
OG0000000	MFC_MF33_genes	ABKJ22_RS02265, ABKJ22_RS02260	DR085_RS02920
OG0000000	MHP_131B_genes	ABKJ22_RS02265, ABKJ22_RS02260	NB627_RS02285
OG0000000	MHP_133A_genes	ABKJ22_RS02265, ABKJ22_RS02260	NB626_RS02275
OG0000000	MHP_LH_genes	ABKJ22_RS02265, ABKJ22_RS02260	KUD10_RS02195
OG0000000	MHP_UFV01_genes	ABKJ22_RS02265, ABKJ22_RS02260	FEF30_RS02505
OG0000000	MHP_4284_genes	ABKJ22_RS02265, ABKJ22_RS02260	ABLE99_RS02215
OG0000000	MHP_MHP653_genes	ABKJ22_RS02265, ABKJ22_RS02260	DR096_RS04410
OG0000000	MHP_UFV02_genes	ABKJ22_RS02265	FEF31_RS01875
OG0000000	MFC_Ms42_genes	ABKJ22_RS02255	MYF_RS03215
OG0000000	MHP_131B_genes	ABKJ22_RS02255	NB627_RS02265
OG0000000	MHP_133A_genes	ABKJ22_RS02255	NB626_RS02255
OG0000000	MHP_MHP691_genes	ABKJ22_RS02255	DR087_RS03480, DR087_RS03475
OG0000000	MHP_UFV01_genes	ABKJ22_RS02255	FEF30_RS02500
OG0000000	MHP_UFV02_genes	ABKJ22_RS02255	FEF31_RS01865
OG0000000	MHP_MHP650_genes	ABKJ22_RS02255	DR083_RS04550, DR083_RS03535, DR083_RS03820, DR083_RS00790
OG0000000	MFC_MF11_genes	ABKJ22_RS02255	DR093_RS03040
OG0000000	MHP_LH_genes	ABKJ22_RS02255	KUD10_RS02170
OG0000000	MFC_MF22_genes	ABKJ22_RS02255	DR094_RS02820
OG0000000	MHP_MHP682_genes	ABKJ22_RS02090	DR097_RS04740
OG0000000	MHP_153B_genes	ABKJ22_RS02090	NB625_RS02330
OG0000000	MHP_LH_genes	ABKJ22_RS02090	KUD10_RS02255, KUD10_RS02165, KUD10_RS02380, KUD10_RS02385
OG0000000	MHP_UFV01_genes	ABKJ22_RS02090	FEF30_RS04350, FEF30_RS02495, FEF30_RS02690, FEF30_RS02695
OG0000000	MFC_Ms42_genes	ABKJ22_RS02090	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435
OG0000000	MHP_UFV02_genes	ABKJ22_RS02090	FEF31_RS04515, FEF31_RS01860, FEF31_RS02055
OG0000000	MHP_154B_genes	ABKJ22_RS02090	NB624_RS02325
OG0000000	MHP_131B_genes	ABKJ22_RS02090	NB627_RS02350, NB627_RS01855, NB627_RS02260, NB627_RS02480, NB627_RS02485
OG0000000	MHP_133A_genes	ABKJ22_RS02090	NB626_RS02345, NB626_RS01845, NB626_RS02250, NB626_RS02475, NB626_RS02480
OG0000000	MHP_ES2_genes	ABKJ22_RS02090	E5E95_RS04075, E5E95_RS02230, E5E95_RS02430, E5E95_RS04240
OG0000000	MHP_F72C_genes	ABKJ22_RS02090	EHI52_RS03755, EHI52_RS03780, EHI52_RS02325, EHI52_RS03815
OG0000000	MHP_111A_genes	ABKJ22_RS02090	NB623_RS01030, NB623_RS01855, NB623_RS02460
OG0000000	MHP_112B_genes	ABKJ22_RS02090	NBX26_RS01035, NBX26_RS01905, NBX26_RS02470
OG0000000	MHP_7448_genes	ABKJ22_RS02090	MHP7448_RS03990, MHP7448_RS02245, MHP7448_RS03825
OG0000000	MHP_7422_genes	ABKJ22_RS02090	MHL_RS03905, MHL_RS02380, MHL_RS04190
OG0000000	MHP_MHP653_genes	ABKJ22_RS02090	DR096_RS03835, DR096_RS03335, DR096_RS03550, DR096_RS04445
OG0000000	MHP_ES2L_genes	ABKJ22_RS02090	HZK19_RS03965, HZK19_RS03675, HZK19_RS02290, HZK19_RS03795
OG0000000	MHP_MHP709_genes	ABKJ22_RS02090	DR088_RS03495
OG0000000	MHP_Ue273_genes	ABKJ22_RS02090	VQY17_RS02195, VQY17_RS02325
OG0000000	MHP_J_genes	ABKJ22_RS02090	MHJ_RS03895, MHJ_RS02065, MHJ_RS02265
OG0000000	MHP_168L_genes	ABKJ22_RS02090	MHP168L_RS03890, MHP168L_RS02335, MHP168L_RS02340
OG0000000	MHP_98_genes	ABKJ22_RS02090	GOM18_RS04045, GOM18_RS04450
OG0000000	MHP_116_genes	ABKJ22_RS02090	ABJ972_RS02080, ABJ972_RS02265, ABJ972_RS02270
OG0000000	MHP_KM014_genes	ABKJ22_RS02090	CIB43_RS03010
OG0000000	MHP_MHP699_genes	ABKJ22_RS02090	DR100_RS04325, DR100_RS03595, DR100_RS04515
OG0000000	MHP_11_genes	ABKJ22_RS02090	B5C39_RS03935, B5C39_RS02595, B5C39_RS03835
OG0000000	MHP_232_genes	ABKJ22_RS02090	MHP_RS04000, MHP_RS02190, MHP_RS03915
OG0000000	MHP_168_genes	ABKJ22_RS02090	MHP168_RS02315
OG0000000	MHP_TB1_genes	ABKJ22_RS02090	B5M19_RS03770
OG0000000	MHP_NCTC10127_genes	ABKJ22_RS02090	EXC50_RS01165, EXC50_RS01170
OG0000000	MHP_MHP679_genes	ABKJ22_RS02090	DR086_RS04585, DR086_RS03600
OG0000000	MHP_MHP650_genes	ABKJ22_RS02090	DR083_RS04515, DR083_RS04520
OG0000000	MHP_154B_genes	ABKJ22_RS02275	NB624_RS02460
OG0000000	MHP_MHP694_genes	ABKJ22_RS02275	DR099_RS04670
OG0000000	MHP_154B_genes	ABKJ22_RS02095	NB624_RS02455
OG0000000	MHP_98_genes	ABKJ22_RS02095	GOM18_RS02460
OG0000000	MHP_MHP696_genes	ABKJ22_RS02095	DR090_RS03605
OG0000000	MHP_MHP682_genes	ABKJ22_RS02095	DR097_RS03725
OG0000000	MHP_MHP694_genes	ABKJ22_RS02095	DR099_RS03530
OG0000000	MHP_116_genes	ABKJ22_RS01715	ABJ972_RS01695
OG0000000	MHP_4284_genes	ABKJ22_RS01715	ABLE99_RS01670
OG0000000	MHP_98_genes	ABKJ22_RS01715	GOM18_RS03680, GOM18_RS03685, GOM18_RS00685
OG0000000	MHP_7448_genes	ABKJ22_RS01715	MHP7448_RS01735, MHP7448_RS01740
OG0000000	MHP_ES2_genes	ABKJ22_RS01715	E5E95_RS01830, E5E95_RS04235, E5E95_RS01835
OG0000000	MHP_MHP699_genes	ABKJ22_RS01715	DR100_RS04215, DR100_RS04210
OG0000000	MHP_MHP694_genes	ABKJ22_RS01715	DR099_RS04035, DR099_RS04030, DR099_RS04600
OG0000000	MHP_232_genes	ABKJ22_RS01715	MHP_RS03825, MHP_RS01715
OG0000000	MFC_Ms42_genes	ABKJ22_RS01715	MYF_RS03330, MYF_RS03295
OG0000000	MFC_MF18_genes	ABKJ22_RS01715	DR082_RS03460, DR082_RS03455
OG0000000	MHP_TB1_genes	ABKJ22_RS01715	B5M19_RS02095, B5M19_RS02100
OG0000000	MHP_MHP696_genes	ABKJ22_RS01715	DR090_RS04125, DR090_RS04120, DR090_RS04630
OG0000000	MHP_J_genes	ABKJ22_RS01715	MHJ_RS01665, MHJ_RS01670
OG0000000	MHP_112B_genes	ABKJ22_RS01715	NBX26_RS01850, NBX26_RS01860
OG0000000	MHP_111A_genes	ABKJ22_RS01715	NB623_RS01845, NB623_RS01850, NB623_RS01865
OG0000000	MHP_133A_genes	ABKJ22_RS01715	NB626_RS01835, NB626_RS01840, NB626_RS01850
OG0000000	MHP_154B_genes	ABKJ22_RS01715	NB624_RS01720, NB624_RS01725
OG0000000	MFC_MF11_genes	ABKJ22_RS01715	DR093_RS03435, DR093_RS03440
OG0000000	MHP_ES2L_genes	ABKJ22_RS01715	HZK19_RS01690, HZK19_RS01695
OG0000000	MHP_KM014_genes	ABKJ22_RS01715	CIB43_RS02595, CIB43_RS02600
OG0000000	MHP_11_genes	ABKJ22_RS01715	B5C39_RS03750, B5C39_RS03235
OG0000000	MHP_NCTC10127_genes	ABKJ22_RS01715	EXC50_RS03990, EXC50_RS00675
OG0000000	MHP_UFV02_genes	ABKJ22_RS01715	FEF31_RS01380, FEF31_RS01385
OG0000000	MHP_168L_genes	ABKJ22_RS01715	MHP168L_RS03865, MHP168L_RS01715
OG0000000	MHP_Ue273_genes	ABKJ22_RS01715	VQY17_RS01770, VQY17_RS01775
OG0000000	MHP_MHP709_genes	ABKJ22_RS01715	DR088_RS04105, DR088_RS04100
OG0000000	MHP_MHP679_genes	ABKJ22_RS01715	DR086_RS04250, DR086_RS04245
OG0000000	MHP_MHP653_genes	ABKJ22_RS01715	DR096_RS04160, DR096_RS02065, DR096_RS03340
OG0000000	MHP_LH_genes	ABKJ22_RS01715	KUD10_RS01780, KUD10_RS01785
OG0000000	MHP_MHP650_genes	ABKJ22_RS01715	DR083_RS04210, DR083_RS04215
OG0000000	MFC_MF33_genes	ABKJ22_RS01715	DR085_RS02470
OG0000000	MFC_MF30_genes	ABKJ22_RS01715	DR084_RS02480
OG0000000	MFC_MF22_genes	ABKJ22_RS01715	DR094_RS01215
OG0000000	MFC_ATCC27716_genes	ABKJ22_RS01715	MFC_RS00365
OG0000000	MFC_MF29_genes	ABKJ22_RS01715	DR095_RS01240
OG0000000	MHP_UFV01_genes	ABKJ22_RS01715	FEF30_RS02035
OG0000000	MHP_153B_genes	ABKJ22_RS01715	NB625_RS01725
OG0000000	MHP_131B_genes	ABKJ22_RS01715	NB627_RS01850, NB627_RS01860
OG0000000	MHP_MHP691_genes	ABKJ22_RS01715	DR087_RS02105, DR087_RS03570
OG0000000	MHP_F72C_genes	ABKJ22_RS01715	EHI52_RS01775
OG0000000	MHP_168_genes	ABKJ22_RS01715	MHP168_RS01690
OG0000000	MHP_7422_genes	ABKJ22_RS01715	MHL_RS03710
OG0000000	MHP_MHP682_genes	ABKJ22_RS01715	DR097_RS01835
OG0000001	MFC_ATCC27716_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	MFC_RS03350
OG0000001	MFC_MF30_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR084_RS03095
OG0000001	MFC_Ms42_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	MYF_RS03415
OG0000001	MFC_MF33_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR085_RS03235
OG0000001	MFC_MF29_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR095_RS00305, DR095_RS00300
OG0000001	MFC_MF11_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR093_RS00830, DR093_RS00825
OG0000001	MFC_MF18_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR082_RS00825, DR082_RS00820
OG0000001	MFC_MF22_genes	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR094_RS00325, DR094_RS00330
OG0000001	MHP_168L_genes	ABKJ22_RS01295	MHP168L_RS03950
OG0000001	MHP_168_genes	ABKJ22_RS01295	MHP168_RS03950
OG0000001	MHP_TB1_genes	ABKJ22_RS01295	B5M19_RS04385
OG0000001	MHP_UFV01_genes	ABKJ22_RS01295	FEF30_RS01590
OG0000001	MHP_UFV02_genes	ABKJ22_RS01295	FEF31_RS00935
OG0000001	MHP_LH_genes	ABKJ22_RS01295	KUD10_RS01350
OG0000001	MHP_KM014_genes	ABKJ22_RS01295	CIB43_RS02150
OG0000001	MHP_ES2_genes	ABKJ22_RS01295	E5E95_RS01295
OG0000001	MHP_J_genes	ABKJ22_RS01295	MHJ_RS01250
OG0000001	MHP_98_genes	ABKJ22_RS01295	GOM18_RS03230
OG0000001	MHP_MHP653_genes	ABKJ22_RS01295	DR096_RS01685
OG0000001	MHP_MHP691_genes	ABKJ22_RS01295	DR087_RS03335
OG0000001	MHP_7448_genes	ABKJ22_RS01295	MHP7448_RS01295
OG0000001	MHP_116_genes	ABKJ22_RS01295	ABJ972_RS01265
OG0000001	MHP_116_genes	ABKJ22_RS01300	ABJ972_RS02720
OG0000001	MHP_131B_genes	ABKJ22_RS01300	NB627_RS02985
OG0000001	MHP_133A_genes	ABKJ22_RS01300	NB626_RS02980
OG0000001	MHP_F72C_genes	ABKJ22_RS01300	EHI52_RS01345
OG0000001	MHP_MHP696_genes	ABKJ22_RS01300	DR090_RS00420
OG0000001	MHP_MHP709_genes	ABKJ22_RS01300	DR088_RS00985
OG0000001	MHP_MHP682_genes	ABKJ22_RS01300	DR097_RS00335
OG0000001	MHP_KM014_genes	ABKJ22_RS02690, ABKJ22_RS02685	CIB43_RS03670
OG0000001	MHP_116_genes	ABKJ22_RS02690, ABKJ22_RS02685	ABJ972_RS02675
OG0000001	MHP_MHP694_genes	ABKJ22_RS02690	DR099_RS03675
OG0000001	MHP_11_genes	ABKJ22_RS02690	B5C39_RS03865
OG0000001	MHP_232_genes	ABKJ22_RS02690	MHP_RS03935
OG0000001	MHP_NCTC10127_genes	ABKJ22_RS02690	EXC50_RS04045
OG0000001	MHP_J_genes	ABKJ22_RS02690	MHJ_RS03940
OG0000001	MHP_7422_genes	ABKJ22_RS02690	MHL_RS03875
OG0000001	MHP_7448_genes	ABKJ22_RS02690	MHP7448_RS03920
OG0000001	MHP_MHP691_genes	ABKJ22_RS02690	DR087_RS04300
OG0000001	MHP_MHP696_genes	ABKJ22_RS02690	DR090_RS03950
OG0000001	MHP_MHP709_genes	ABKJ22_RS02690	DR088_RS03735
OG0000001	MHP_UFV01_genes	ABKJ22_RS02690	FEF30_RS03130
OG0000001	MHP_UFV02_genes	ABKJ22_RS02690	FEF31_RS02495
OG0000001	MHP_4284_genes	ABKJ22_RS02685	ABLE99_RS02640
OG0000001	MHP_131B_genes	ABKJ22_RS02685	NB627_RS02935
OG0000001	MHP_133A_genes	ABKJ22_RS02685	NB626_RS02930
OG0000001	MHP_Ue273_genes	ABKJ22_RS02685	VQY17_RS02730
OG0000001	MHP_ES2L_genes	ABKJ22_RS02685	HZK19_RS03840
OG0000001	MHP_LH_genes	ABKJ22_RS02685	KUD10_RS02830
OG0000001	MHP_7422_genes	ABKJ22_RS02685	MHL_RS04080
OG0000001	MHP_7448_genes	ABKJ22_RS02685	MHP7448_RS04045
OG0000001	MHP_98_genes	ABKJ22_RS02685	GOM18_RS04125
OG0000001	MHP_168L_genes	ABKJ22_RS02685	MHP168L_RS02785
OG0000001	MHP_168_genes	ABKJ22_RS02685	MHP168_RS02760
OG0000001	MHP_TB1_genes	ABKJ22_RS02685	B5M19_RS02510
OG0000001	MHP_153B_genes	ABKJ22_RS02685	NB625_RS02910
OG0000001	MHP_154B_genes	ABKJ22_RS02685	NB624_RS02915
OG0000001	MHP_F72C_genes	ABKJ22_RS02685	EHI52_RS02740
OG0000001	MHP_ES2_genes	ABKJ22_RS02685	E5E95_RS04150
OG0000001	MHP_MHP696_genes	ABKJ22_RS02685	DR090_RS03945
OG0000001	MHP_MHP709_genes	ABKJ22_RS02685	DR088_RS03730
OG0000001	MHP_UFV02_genes	ABKJ22_RS02685	FEF31_RS02490
OG0000001	MHP_UFV01_genes	ABKJ22_RS02685	FEF30_RS03125
OG0000001	MHP_111A_genes	ABKJ22_RS02685	NB623_RS02910
OG0000001	MHP_112B_genes	ABKJ22_RS02685	NBX26_RS02920
OG0000001	MHP_11_genes	ABKJ22_RS02685	B5C39_RS03020
OG0000001	MHP_232_genes	ABKJ22_RS02685	MHP_RS02610
OG0000001	MHP_J_genes	ABKJ22_RS02685	MHJ_RS02710
OG0000001	MHP_MHP650_genes	ABKJ22_RS02685	DR083_RS00540
OG0000001	MHP_MHP691_genes	ABKJ22_RS02685	DR087_RS03255
OG0000001	MHP_MHP694_genes	ABKJ22_RS02685	DR099_RS00045
OG0000001	MHP_NCTC10127_genes	ABKJ22_RS02685	EXC50_RS01590
OG0000002	MFC_ATCC27716_genes	ABKJ22_RS02205	MFC_RS00395
OG0000002	MFC_Ms42_genes	ABKJ22_RS02205	MYF_RS01530
OG0000002	MFC_MF30_genes	ABKJ22_RS02205	DR084_RS03505
OG0000002	MHP_MHP650_genes	ABKJ22_RS02205	DR083_RS04320
OG0000002	MHP_MHP679_genes	ABKJ22_RS02205	DR086_RS04310
OG0000002	MHP_MHP691_genes	ABKJ22_RS02205	DR087_RS03810
OG0000002	MHP_MHP699_genes	ABKJ22_RS02205	DR100_RS04380
OG0000002	MHP_7422_genes	ABKJ22_RS02205	MHL_RS04055
OG0000002	MHP_7448_genes	ABKJ22_RS02205	MHP7448_RS03995
OG0000002	MHP_Ue273_genes	ABKJ22_RS02205	VQY17_RS02210
OG0000002	MHP_168L_genes	ABKJ22_RS02205	MHP168L_RS04010
OG0000002	MHP_168_genes	ABKJ22_RS02205	MHP168_RS03985
OG0000002	MHP_TB1_genes	ABKJ22_RS02205	B5M19_RS04465
OG0000002	MHP_11_genes	ABKJ22_RS02205	B5C39_RS03825
OG0000002	MHP_232_genes	ABKJ22_RS02205	MHP_RS03905
OG0000002	MHP_NCTC10127_genes	ABKJ22_RS02205	EXC50_RS04010
OG0000002	MHP_KM014_genes	ABKJ22_RS02205	CIB43_RS03100
OG0000002	MHP_116_genes	ABKJ22_RS02205	ABJ972_RS02150
OG0000002	MHP_98_genes	ABKJ22_RS02205	GOM18_RS02350
OG0000002	MHP_ES2_genes	ABKJ22_RS02205	E5E95_RS02320
OG0000002	MHP_J_genes	ABKJ22_RS02205	MHJ_RS03585
OG0000002	MHP_UFV01_genes	ABKJ22_RS02205	FEF30_RS02580
OG0000002	MHP_UFV02_genes	ABKJ22_RS02205	FEF31_RS01945
OG0000002	MHP_MHP682_genes	ABKJ22_RS02205	DR097_RS02700
OG0000002	MHP_LH_genes	ABKJ22_RS02205	KUD10_RS02270
OG0000002	MHP_MHP653_genes	ABKJ22_RS02205	DR096_RS04275
OG0000002	MHP_153B_genes	ABKJ22_RS02205	NB625_RS02350
OG0000002	MHP_154B_genes	ABKJ22_RS02205	NB624_RS02340
OG0000002	MHP_4284_genes	ABKJ22_RS02205	ABLE99_RS02040
OG0000002	MHP_MHP694_genes	ABKJ22_RS02205	DR099_RS04270
OG0000002	MHP_MHP696_genes	ABKJ22_RS02205	DR090_RS04315
OG0000002	MHP_MHP709_genes	ABKJ22_RS02205	DR088_RS04280
OG0000002	MHP_111A_genes	ABKJ22_RS02205	NB623_RS02345
OG0000002	MHP_112B_genes	ABKJ22_RS02205	NBX26_RS02355
OG0000002	MHP_131B_genes	ABKJ22_RS02205	NB627_RS02365
OG0000002	MHP_133A_genes	ABKJ22_RS02205	NB626_RS02360
OG0000002	MHP_F72C_genes	ABKJ22_RS02205	EHI52_RS02215
OG0000002	MFC_ATCC27716_genes	ABKJ22_RS02250	MFC_RS02940
OG0000002	MFC_MF22_genes	ABKJ22_RS02250	DR094_RS03815
OG0000002	MFC_Ms42_genes	ABKJ22_RS02250	MYF_RS01475
OG0000002	MFC_MF18_genes	ABKJ22_RS02250	DR082_RS02920
OG0000002	MHP_J_genes	ABKJ22_RS02250	MHJ_RS02080
OG0000002	MHP_MHP699_genes	ABKJ22_RS02250	DR100_RS04890
OG0000002	MHP_F72C_genes	ABKJ22_RS02250	EHI52_RS03740
OG0000002	MHP_MHP691_genes	ABKJ22_RS02250	DR087_RS04740
OG0000002	MHP_MHP679_genes	ABKJ22_RS02250	DR086_RS05060
OG0000002	MFC_MF11_genes	ABKJ22_RS02250	DR093_RS04025
OG0000002	MFC_MF29_genes	ABKJ22_RS02250	DR095_RS04030
OG0000002	MHP_7422_genes	ABKJ22_RS02250	MHL_RS02195
OG0000002	MHP_UFV01_genes	ABKJ22_RS02250	FEF30_RS04340
OG0000002	MHP_UFV02_genes	ABKJ22_RS02250	FEF31_RS04505
OG0000002	MHP_ES2_genes	ABKJ22_RS02250	E5E95_RS02250
OG0000002	MFC_MF33_genes	ABKJ22_RS02250	DR085_RS03895
OG0000002	MHP_MHP650_genes	ABKJ22_RS02250	DR083_RS04915
OG0000002	MHP_131B_genes	ABKJ22_RS02250	NB627_RS02290
OG0000002	MHP_133A_genes	ABKJ22_RS02250	NB626_RS02280
OG0000002	MHP_116_genes	ABKJ22_RS02250	ABJ972_RS02105
OG0000002	MHP_ES2L_genes	ABKJ22_RS02250	HZK19_RS02110
OG0000002	MHP_153B_genes	ABKJ22_RS02250	NB625_RS02235
OG0000002	MHP_154B_genes	ABKJ22_RS02250	NB624_RS02245
OG0000002	MHP_111A_genes	ABKJ22_RS02250	NB623_RS01015
OG0000002	MHP_112B_genes	ABKJ22_RS02250	NBX26_RS01010
OG0000002	MHP_MHP696_genes	ABKJ22_RS02250	DR090_RS03470
OG0000002	MHP_MHP709_genes	ABKJ22_RS02250	DR088_RS03455
OG0000002	MHP_MHP653_genes	ABKJ22_RS02250	DR096_RS04810
OG0000002	MHP_MHP682_genes	ABKJ22_RS02250	DR097_RS04855
OG0000002	MHP_LH_genes	ABKJ22_RS02250	KUD10_RS02210
OG0000002	MHP_4284_genes	ABKJ22_RS02250	ABLE99_RS02210
OG0000002	MHP_MHP691_genes	ABKJ22_RS01720	DR087_RS04755
OG0000002	MHP_MHP696_genes	ABKJ22_RS01720	DR090_RS03425
OG0000002	MHP_MHP709_genes	ABKJ22_RS01720	DR088_RS04510
OG0000002	MHP_MHP694_genes	ABKJ22_RS01720	DR099_RS04605
OG0000002	MHP_4284_genes	ABKJ22_RS01720	ABLE99_RS01675
OG0000002	MHP_MHP653_genes	ABKJ22_RS01720	DR096_RS04795
OG0000002	MHP_KM014_genes	ABKJ22_RS01720	CIB43_RS02610
OG0000002	MHP_ES2L_genes	ABKJ22_RS01720	HZK19_RS01705
OG0000002	MHP_MHP650_genes	ABKJ22_RS01720	DR083_RS04760
OG0000002	MHP_98_genes	ABKJ22_RS01720	GOM18_RS04550
OG0000002	MHP_131B_genes	ABKJ22_RS01720	NB627_RS01865
OG0000002	MHP_133A_genes	ABKJ22_RS01720	NB626_RS01855
OG0000002	MHP_7422_genes	ABKJ22_RS01720	MHL_RS01800
OG0000002	MHP_7448_genes	ABKJ22_RS01720	MHP7448_RS01745
OG0000002	MHP_MHP699_genes	ABKJ22_RS01720	DR100_RS04740
OG0000002	MFC_MF29_genes	ABKJ22_RS01720	DR095_RS03820
OG0000002	MFC_ATCC27716_genes	ABKJ22_RS01720	MFC_RS00370
OG0000002	MFC_Ms42_genes	ABKJ22_RS01720	MYF_RS03010
OG0000002	MFC_MF30_genes	ABKJ22_RS01720	DR084_RS03620
OG0000002	MFC_MF11_genes	ABKJ22_RS01720	DR093_RS03845
OG0000002	MFC_MF18_genes	ABKJ22_RS01720	DR082_RS03830
OG0000002	MFC_MF22_genes	ABKJ22_RS01720	DR094_RS03610
OG0000002	MFC_MF33_genes	ABKJ22_RS01720	DR085_RS03805
OG0000002	MHP_F72C_genes	ABKJ22_RS01720	EHI52_RS01780
OG0000002	MHP_ES2_genes	ABKJ22_RS01720	E5E95_RS01840
OG0000002	MHP_11_genes	ABKJ22_RS01720	B5C39_RS03240
OG0000002	MHP_232_genes	ABKJ22_RS01720	MHP_RS01720
OG0000002	MHP_NCTC10127_genes	ABKJ22_RS01720	EXC50_RS00680
OG0000002	MHP_UFV01_genes	ABKJ22_RS01720	FEF30_RS04295
