Orthogroup	Species	MHP_131B_proteins	Orthologs
OG0000000	MHP_4284_proteins	WP_404924561.1, WP_404924489.1	WP_406823272.1
OG0000000	MHP_7448_proteins	WP_404924561.1	WP_044272432.1
OG0000000	MHP_ES2_proteins	WP_404924561.1	WP_135618783.1
OG0000000	MHP_98_proteins	WP_404924561.1	WP_258556573.1
OG0000000	MHP_MHP699_proteins	WP_404924561.1	WP_160585044.1
OG0000000	MHP_MHP694_proteins	WP_404924561.1	WP_160606771.1
OG0000000	MHP_232_proteins	WP_404924561.1	WP_011206165.1
OG0000000	MHP_TB1_proteins	WP_404924561.1	WP_088764599.1
OG0000000	MHP_MHP696_proteins	WP_404924561.1	WP_160617502.1
OG0000000	MHP_J_proteins	WP_404924561.1	WP_044284630.1
OG0000000	MHP_112B_proteins	WP_404924561.1	WP_404913746.1
OG0000000	MHP_111A_proteins	WP_404924561.1	WP_404912447.1
OG0000000	MFC_MF33_proteins	WP_404924561.1	WP_160609401.1
OG0000000	MFC_MF11_proteins	WP_404924561.1	WP_308705385.1
OG0000000	MFC_MF30_proteins	WP_404924561.1	WP_160605580.1
OG0000000	MHP_KM014_proteins	WP_404924561.1	WP_157696719.1
OG0000000	MHP_LH_proteins	WP_404924561.1	WP_233688764.1
OG0000000	MHP_MHP650_proteins	WP_404924561.1	WP_233688764.1
OG0000000	MFC_MF18_proteins	WP_404924561.1	WP_160611384.1
OG0000000	MFC_MF22_proteins	WP_404924561.1	WP_160583785.1
OG0000000	MFC_Ms42_proteins	WP_404924561.1	WP_318023901.1
OG0000000	MFC_ATCC27716_proteins	WP_404924561.1	WP_002557502.1
OG0000000	MFC_MF29_proteins	WP_404924561.1	WP_160581134.1
OG0000000	MHP_UFV02_proteins	WP_404924561.1	WP_243234990.1
OG0000000	MHP_UFV01_proteins	WP_404924561.1	WP_243216097.1
OG0000000	MHP_154B_proteins	WP_404924561.1	WP_404924630.1
OG0000000	MHP_153B_proteins	WP_404924561.1	WP_404924157.1
OG0000000	MHP_MHP653_proteins	WP_404924561.1	WP_308507040.1
OG0000000	MHP_133A_proteins	WP_404924561.1	WP_404924488.1
OG0000000	MHP_F72C_proteins	WP_404924489.1	WP_146379582.1
OG0000000	MHP_MHP709_proteins	WP_404924489.1	WP_334199370.1
OG0000000	MHP_ES2L_proteins	WP_404924489.1	WP_179221294.1
OG0000000	MHP_168L_proteins	WP_404924489.1	WP_233417365.1
OG0000000	MHP_168_proteins	WP_404924489.1	WP_233417365.1
OG0000000	MHP_TB1_proteins	WP_404924489.1	WP_252862164.1
OG0000000	MHP_11_proteins	WP_404924489.1	WP_323749055.1
OG0000000	MHP_232_proteins	WP_404924489.1	WP_323749055.1
OG0000000	MHP_NCTC10127_proteins	WP_404924489.1	WP_323749055.1
OG0000000	MHP_ES2_proteins	WP_404924489.1	WP_318026031.1, WP_334199108.1
OG0000000	MHP_J_proteins	WP_404924489.1	WP_323749056.1
OG0000000	MHP_Ue273_proteins	WP_404924489.1	WP_347952486.1
OG0000000	MHP_7422_proteins	WP_404924489.1	WP_020835681.1
OG0000000	MHP_7448_proteins	WP_404924489.1	WP_081420845.1
OG0000000	MHP_MHP691_proteins	WP_404924489.1	WP_160608120.1
OG0000000	MHP_MHP694_proteins	WP_404924489.1	WP_160606939.1
OG0000000	MHP_MHP699_proteins	WP_404924489.1	WP_308506991.1
OG0000000	MHP_MHP653_proteins	WP_404924489.1	WP_334199374.1
OG0000000	MHP_MHP696_proteins	WP_404924489.1	WP_308507068.1
OG0000000	MHP_MHP679_proteins	WP_404924489.1	WP_308704704.1
OG0000000	MHP_111A_proteins	WP_404924489.1	WP_404912449.1
OG0000000	MHP_112B_proteins	WP_404924489.1	WP_404913748.1
OG0000000	MHP_MHP682_proteins	WP_404924489.1	WP_160585691.1
OG0000000	MHP_98_proteins	WP_404924489.1	WP_179696126.1
OG0000000	MHP_133A_proteins	WP_404924489.1	WP_404924489.1
OG0000001	MFC_ATCC27716_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_002557631.1
OG0000001	MFC_MF30_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_002557631.1
OG0000001	MFC_Ms42_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_002557631.1
OG0000001	MFC_MF33_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_258556753.1
OG0000001	MFC_MF29_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_039387745.1, WP_160580916.1
OG0000001	MFC_MF11_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_220190178.1, WP_160580916.1
OG0000001	MFC_MF18_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_220190178.1, WP_160580916.1
OG0000001	MFC_MF22_proteins	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_220190178.1, WP_160580916.1
OG0000001	MHP_ES2L_proteins	WP_232039579.1, WP_187145661.1	WP_240536639.1
OG0000001	MHP_UFV01_proteins	WP_232039579.1, WP_187145661.1	WP_243216044.1
OG0000001	MHP_UFV02_proteins	WP_232039579.1, WP_187145661.1	WP_243216044.1
OG0000001	MHP_168L_proteins	WP_232039579.1, WP_187145661.1	WP_014579709.1
OG0000001	MHP_168_proteins	WP_232039579.1, WP_187145661.1	WP_014579709.1
OG0000001	MHP_TB1_proteins	WP_232039579.1, WP_187145661.1	WP_014579709.1
OG0000001	MHP_98_proteins	WP_232039579.1, WP_187145661.1	WP_179696094.1
OG0000001	MHP_LH_proteins	WP_232039579.1, WP_187145661.1	WP_179696094.1
OG0000001	MHP_MHP650_proteins	WP_232039579.1, WP_187145661.1	WP_258556637.1
OG0000001	MHP_116_proteins	WP_232039579.1, WP_187145661.1	WP_348602774.1
OG0000001	MHP_11_proteins	WP_232039579.1	WP_232039579.1
OG0000001	MHP_133A_proteins	WP_232039579.1	WP_232039579.1
OG0000001	MHP_232_proteins	WP_232039579.1	WP_232039579.1
OG0000001	MHP_MHP694_proteins	WP_232039579.1	WP_232039579.1
OG0000001	MHP_NCTC10127_proteins	WP_232039579.1	WP_232039579.1
OG0000001	MHP_ES2_proteins	WP_187145661.1	WP_193325079.1
OG0000001	MHP_J_proteins	WP_187145661.1	WP_193325079.1
OG0000001	MHP_MHP699_proteins	WP_187145661.1	WP_280996374.1
OG0000001	MHP_4284_proteins	WP_187145661.1	WP_406823250.1
OG0000001	MHP_7422_proteins	WP_187145661.1	WP_020835629.1
OG0000001	MHP_MHP679_proteins	WP_187145661.1	WP_020835629.1
OG0000001	MHP_133A_proteins	WP_187145661.1	WP_187145661.1
OG0000001	MHP_153B_proteins	WP_187145661.1	WP_187145661.1
OG0000001	MHP_154B_proteins	WP_187145661.1	WP_187145661.1
OG0000001	MHP_7448_proteins	WP_187145661.1	WP_187145661.1
OG0000001	MHP_MHP653_proteins	WP_187145661.1	WP_187145661.1
OG0000001	MHP_MHP691_proteins	WP_187145661.1	WP_187145661.1
OG0000001	MHP_1257_proteins	WP_404924525.1	WP_348572047.1
OG0000001	MHP_F72C_proteins	WP_404924525.1	WP_225973029.1
OG0000001	MHP_MHP696_proteins	WP_404924525.1	WP_225973029.1
OG0000001	MHP_MHP709_proteins	WP_404924525.1	WP_225973029.1
OG0000001	MHP_MHP682_proteins	WP_404924525.1	WP_258555804.1
OG0000001	MHP_116_proteins	WP_404924525.1	WP_348602581.1
OG0000001	MHP_133A_proteins	WP_404924525.1	WP_404924278.1
OG0000001	MHP_KM014_proteins	WP_404924273.1, WP_404924272.1	WP_094521729.1
OG0000001	MHP_116_proteins	WP_404924273.1, WP_404924272.1	WP_348602576.1
OG0000001	MHP_133A_proteins	WP_404924273.1	WP_404924273.1
OG0000001	MHP_4284_proteins	WP_404924272.1	WP_406823154.1
OG0000001	MHP_Ue273_proteins	WP_404924272.1	WP_347952260.1
OG0000001	MHP_168L_proteins	WP_404924272.1	WP_014579924.1, WP_014579925.1
OG0000001	MHP_168_proteins	WP_404924272.1	WP_014579924.1, WP_014579925.1
OG0000001	MHP_TB1_proteins	WP_404924272.1	WP_014579924.1, WP_014579925.1
OG0000001	MHP_MHP679_proteins	WP_404924272.1	WP_258555715.1, WP_258555714.1
OG0000001	MHP_98_proteins	WP_404924272.1	WP_258556578.1, WP_258556577.1
OG0000001	MHP_111A_proteins	WP_404924272.1	WP_404911950.1, WP_011206342.1
OG0000001	MHP_112B_proteins	WP_404924272.1	WP_404911950.1, WP_011206342.1
OG0000001	MHP_F72C_proteins	WP_404924272.1	WP_225972992.1, WP_225972991.1
OG0000001	MHP_ES2L_proteins	WP_404924272.1	WP_240536607.1
OG0000001	MHP_LH_proteins	WP_404924272.1	WP_233688495.1
OG0000001	MHP_7422_proteins	WP_404924272.1	WP_020835822.1
OG0000001	MHP_7448_proteins	WP_404924272.1	WP_020835822.1
OG0000001	MHP_153B_proteins	WP_404924272.1	WP_404923994.1
OG0000001	MHP_154B_proteins	WP_404924272.1	WP_404923994.1
OG0000001	MHP_MHP696_proteins	WP_404924272.1	WP_258555237.1
OG0000001	MHP_MHP709_proteins	WP_404924272.1	WP_258555237.1
OG0000001	MHP_11_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_1257_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_232_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_J_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_MHP650_proteins	WP_404924272.1	WP_011206342.1, WP_258556621.1
OG0000001	MHP_MHP691_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_MHP694_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_NCTC10127_proteins	WP_404924272.1	WP_011206342.1
OG0000001	MHP_UFV02_proteins	WP_404924272.1	WP_243234992.1
OG0000001	MHP_UFV01_proteins	WP_404924272.1	WP_243216277.1
OG0000001	MHP_ES2_proteins	WP_404924272.1	WP_240536341.1
OG0000001	MHP_MHP653_proteins	WP_404924272.1	WP_258555925.1
OG0000001	MHP_MHP682_proteins	WP_404924272.1	WP_258555827.1
OG0000001	MHP_MHP699_proteins	WP_404924272.1	WP_280996770.1
OG0000001	MHP_133A_proteins	WP_404924272.1	WP_404924272.1
OG0000002	MFC_ATCC27716_proteins	WP_225972974.1, WP_404924222.1	WP_002557507.1
OG0000002	MFC_Ms42_proteins	WP_225972974.1, WP_404924222.1	WP_002557507.1
OG0000002	MFC_MF30_proteins	WP_225972974.1, WP_404924222.1	WP_160605454.1
OG0000002	MHP_MHP650_proteins	WP_225972974.1	WP_258556677.1
OG0000002	MHP_MHP679_proteins	WP_225972974.1	WP_160585200.1
OG0000002	MHP_MHP691_proteins	WP_225972974.1	WP_160585200.1
OG0000002	MHP_MHP699_proteins	WP_225972974.1	WP_160585200.1
OG0000002	MHP_7422_proteins	WP_225972974.1	WP_020835748.1
OG0000002	MHP_7448_proteins	WP_225972974.1	WP_020835748.1
OG0000002	MHP_Ue273_proteins	WP_225972974.1	WP_020835748.1
OG0000002	MHP_168L_proteins	WP_225972974.1	WP_228365382.1
OG0000002	MHP_168_proteins	WP_225972974.1	WP_228365382.1
OG0000002	MHP_TB1_proteins	WP_225972974.1	WP_228365382.1
OG0000002	MHP_11_proteins	WP_225972974.1	WP_011206236.1
OG0000002	MHP_232_proteins	WP_225972974.1	WP_011206236.1
OG0000002	MHP_NCTC10127_proteins	WP_225972974.1	WP_011206236.1
OG0000002	MHP_KM014_proteins	WP_225972974.1	WP_011284160.1
OG0000002	MHP_116_proteins	WP_225972974.1	WP_237697200.1
OG0000002	MHP_98_proteins	WP_225972974.1	WP_237697200.1
OG0000002	MHP_ES2_proteins	WP_225972974.1	WP_237697200.1
OG0000002	MHP_J_proteins	WP_225972974.1	WP_237697200.1
OG0000002	MHP_UFV01_proteins	WP_225972974.1	WP_237697200.1
OG0000002	MHP_UFV02_proteins	WP_225972974.1	WP_237697200.1
OG0000002	MHP_MHP682_proteins	WP_225972974.1	WP_258555846.1
OG0000002	MHP_LH_proteins	WP_225972974.1	WP_233688429.1
OG0000002	MHP_MHP653_proteins	WP_225972974.1	WP_258555957.1
OG0000002	MHP_153B_proteins	WP_225972974.1	WP_258555377.1
OG0000002	MHP_154B_proteins	WP_225972974.1	WP_258555377.1
OG0000002	MHP_4284_proteins	WP_225972974.1	WP_258555377.1
OG0000002	MHP_MHP694_proteins	WP_225972974.1	WP_258555377.1
OG0000002	MHP_MHP696_proteins	WP_225972974.1	WP_258555377.1
OG0000002	MHP_MHP709_proteins	WP_225972974.1	WP_258555377.1
OG0000002	MHP_1257_proteins	WP_225972974.1	WP_348571662.1
OG0000002	MHP_111A_proteins	WP_225972974.1	WP_225972974.1
OG0000002	MHP_112B_proteins	WP_225972974.1	WP_225972974.1
OG0000002	MHP_133A_proteins	WP_225972974.1	WP_225972974.1
OG0000002	MHP_F72C_proteins	WP_225972974.1	WP_225972974.1
OG0000002	MHP_11_proteins	WP_404924222.1	WP_158209055.1
OG0000002	MHP_168_proteins	WP_404924222.1	WP_158209055.1
OG0000002	MHP_232_proteins	WP_404924222.1	WP_158209055.1
OG0000002	MHP_TB1_proteins	WP_404924222.1	WP_158209055.1
OG0000002	MFC_MF18_proteins	WP_404924222.1	WP_160593471.1
OG0000002	MFC_MF22_proteins	WP_404924222.1	WP_160583997.1
OG0000002	MHP_MHP650_proteins	WP_404924222.1	WP_160601116.1
OG0000002	MHP_111A_proteins	WP_404924222.1	WP_146379587.1
OG0000002	MHP_112B_proteins	WP_404924222.1	WP_146379587.1
OG0000002	MHP_F72C_proteins	WP_404924222.1	WP_146379587.1
OG0000002	MHP_153B_proteins	WP_404924222.1	WP_404923948.1
OG0000002	MHP_98_proteins	WP_404924222.1	WP_160585767.1
OG0000002	MHP_J_proteins	WP_404924222.1	WP_160585767.1
OG0000002	MHP_MHP682_proteins	WP_404924222.1	WP_160585767.1
OG0000002	MHP_ES2_proteins	WP_404924222.1	WP_081430767.1
OG0000002	MHP_UFV01_proteins	WP_404924222.1	WP_081430767.1
OG0000002	MHP_UFV02_proteins	WP_404924222.1	WP_081430767.1
OG0000002	MHP_MHP653_proteins	WP_404924222.1	WP_160615875.1
OG0000002	MHP_MHP696_proteins	WP_404924222.1	WP_160615875.1
OG0000002	MHP_LH_proteins	WP_404924222.1	WP_160588366.1
OG0000002	MHP_MHP709_proteins	WP_404924222.1	WP_160588366.1
OG0000002	MHP_133A_proteins	WP_404924222.1	WP_404924222.1
OG0000002	MFC_ATCC27716_proteins	WP_404924509.1	WP_002557987.1
OG0000002	MFC_MF22_proteins	WP_404924509.1	WP_002557987.1
OG0000002	MFC_Ms42_proteins	WP_404924509.1	WP_002557987.1
OG0000002	MFC_MF18_proteins	WP_404924509.1	WP_160593538.1
OG0000002	MHP_J_proteins	WP_404924509.1	WP_011284152.1
OG0000002	MHP_MHP699_proteins	WP_404924509.1	WP_160585311.1
OG0000002	MHP_F72C_proteins	WP_404924509.1	WP_225973021.1
OG0000002	MHP_MHP691_proteins	WP_404924509.1	WP_160608106.1
OG0000002	MHP_MHP679_proteins	WP_404924509.1	WP_160590513.1
OG0000002	MFC_MF11_proteins	WP_404924509.1	WP_160603252.1
OG0000002	MFC_MF29_proteins	WP_404924509.1	WP_160581489.1
OG0000002	MHP_7422_proteins	WP_404924509.1	WP_020835737.1
OG0000002	MHP_UFV01_proteins	WP_404924509.1	WP_243216173.1
OG0000002	MHP_UFV02_proteins	WP_404924509.1	WP_243216173.1
OG0000002	MHP_153B_proteins	WP_404924509.1	WP_404923934.1
OG0000002	MHP_154B_proteins	WP_404924509.1	WP_404923934.1
OG0000002	MHP_111A_proteins	WP_404924509.1	WP_404912241.1
OG0000002	MHP_112B_proteins	WP_404924509.1	WP_404913718.1
OG0000002	MHP_MHP696_proteins	WP_404924509.1	WP_160588356.1
OG0000002	MHP_MHP709_proteins	WP_404924509.1	WP_160588356.1
OG0000002	MHP_MHP653_proteins	WP_404924509.1	WP_160615955.1
