Orthogroup	MHP_MHP709_proteins	MHP_111A_proteins
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_160588083.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_160588081.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_404912251.1
OG0000219	WP_020835591.1	WP_220190714.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_160588076.1	WP_404912255.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160588073.1	WP_404912259.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_041361593.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_404912263.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_160587977.1	WP_404912276.1
OG0000235	WP_160587980.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_160587982.1	WP_404912280.1
OG0000238	WP_011283991.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_404911978.1
OG0000241	WP_044272588.1	WP_044272588.1
OG0000242	WP_160588327.1	WP_404911981.1
OG0000243	WP_146379703.1	WP_146379703.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_146379707.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_404912139.1
OG0000247	WP_308507094.1	WP_404912141.1
OG0000248	WP_052259122.1	WP_052259122.1
OG0000249	WP_160588044.1	WP_160588044.1
OG0000250	WP_160588038.1	WP_011289957.1
OG0000251	WP_020835507.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160588034.1	WP_011289964.1
OG0000254	WP_160588032.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_160588029.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_041361723.1	WP_041361723.1
OG0000260	WP_011289982.1	WP_094521550.1
OG0000261	WP_160588025.1	WP_044272293.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_160585532.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_146379476.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_020835532.1
OG0000268	WP_160588019.1	WP_179695950.1
OG0000269	WP_160584741.1	WP_011206134.1
OG0000270	WP_160588154.1	WP_404912080.1
OG0000271	WP_160588152.1	WP_404912076.1
OG0000272	WP_160588150.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_160588177.1	WP_011290423.1
OG0000275	WP_160588179.1	WP_404912071.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_258555327.1	WP_011206493.1
OG0000279	WP_160588183.1	WP_011290418.1
OG0000280	WP_094521520.1	WP_404912067.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160588184.1	WP_404912062.1, WP_404912064.1
OG0000283	WP_011206485.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_160585585.1
OG0000285	WP_160584909.1	WP_404912060.1
OG0000286	WP_146379652.1	WP_160615969.1
OG0000287	WP_011284216.1	WP_404911902.1
OG0000288	WP_011206299.1	WP_404911904.1
OG0000289	WP_020835793.1	WP_404911906.1
OG0000290	WP_011284237.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_160587820.1	WP_044272553.1
OG0000293	WP_160587817.1	WP_135618964.1
OG0000294	WP_160587813.1	WP_404911922.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_041361673.1
OG0000297	WP_160588315.1	WP_146379664.1
OG0000298	WP_160588040.1	WP_404912146.1
OG0000299	WP_094521545.1	WP_160606529.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_146379484.1	WP_404912180.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_160587859.1	WP_020835841.1
OG0000306	WP_044272563.1	WP_044272563.1
OG0000307	WP_160587844.1	WP_160585265.1
OG0000308	WP_044284683.1	WP_404911934.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_160588319.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160587902.1	WP_404911788.1
OG0000315	WP_011290197.1	WP_014579816.1
OG0000316	WP_160587912.1	WP_404911774.1
OG0000317	WP_160585126.1	WP_404912423.1
OG0000318	WP_220191051.1	WP_404911772.1
OG0000319	WP_160588280.1	WP_404911833.1
OG0000320	WP_160588217.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_160588227.1	WP_011290127.1
OG0000324	WP_160588283.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160588270.1	WP_404912219.1
OG0000327	WP_146379506.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_044272637.1	WP_020835889.1
OG0000335	WP_160588128.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011290441.1	WP_011284387.1
OG0000338	WP_160584861.1	WP_404912111.1
OG0000339	WP_160585719.1	WP_404911854.1
OG0000340	WP_160588380.1	WP_011205973.1
OG0000341	WP_160588289.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160588307.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_014579636.1
OG0000349	WP_160588173.1	WP_094521522.1
OG0000350	WP_258555238.1	WP_404911952.1
OG0000351	WP_160588011.1	WP_404912171.1
OG0000352	WP_160587896.1	WP_404911795.1
OG0000353	WP_160588248.1	WP_404912328.1
OG0000354	WP_308507053.1	WP_404912194.1
OG0000355	WP_020835708.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_404911776.1
OG0000357	WP_011206427.1	WP_404912003.1
OG0000358	WP_160588052.1	WP_404912004.1
OG0000359	WP_308507100.1	WP_404912214.1
OG0000360	WP_225973008.1	WP_404912153.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_160588317.1	WP_160600961.1
OG0000363	WP_233417364.1	WP_232039606.1
OG0000364	WP_160587890.1	WP_404911802.1
OG0000365	WP_160587919.1	WP_404912433.1
OG0000366	WP_011206224.1	WP_404912430.1
OG0000367	WP_220190703.1	WP_225973040.1
OG0000368	WP_160588120.1	WP_404912121.1
OG0000369	WP_160588112.1	WP_011205844.1
OG0000370	WP_160588110.1	WP_044272260.1
OG0000371	WP_160588108.1	WP_044272256.1
OG0000372	WP_160588106.1	WP_404912115.1
OG0000373	WP_160588104.1	WP_404912107.1
OG0000374	WP_160588102.1	WP_404912104.1
OG0000375	WP_146379628.1	WP_404911831.1
OG0000376	WP_160585724.1	WP_404911868.1
OG0000377	WP_011206271.1	WP_404911864.1
OG0000378	WP_146379548.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_160588252.1
OG0000381	WP_160588219.1	WP_404912336.1
OG0000382	WP_160588223.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011290004.1
OG0000387	WP_160588311.1	WP_404912182.1
OG0000388	WP_160588309.1	WP_179221014.1
OG0000389	WP_160587959.1	WP_404912192.1
OG0000390	WP_011284284.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_020835840.1	WP_160607852.1
OG0000393	WP_160587848.1	WP_404911961.1
OG0000394	WP_011290313.1	WP_011290313.1
OG0000395	WP_146379682.1	WP_404911946.1
OG0000396	WP_160585153.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_160587892.1	WP_020835709.1
OG0000399	WP_160587906.1	WP_404911782.1
OG0000400	WP_044272610.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_160588059.1	WP_020835872.1
OG0000403	WP_020835873.1	WP_020835873.1
OG0000404	WP_160588064.1	WP_404912014.1
OG0000405	WP_160585278.1	WP_404912460.1
OG0000406	WP_160588130.1	WP_404912025.1
OG0000407	WP_160588132.1	WP_404912027.1
OG0000408	WP_044284717.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000413	WP_011290129.1	WP_146379568.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_404912351.1
OG0000416	WP_160588231.1	WP_011284056.1
OG0000417	WP_160588287.1	WP_404911842.1
OG0000418	WP_160588285.1	WP_160588285.1
OG0000419	WP_160588274.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011206080.1	WP_011206080.1
OG0000422	WP_146379504.1	WP_146379504.1
OG0000423	WP_135618585.1	WP_404912224.1
OG0000424	WP_135618587.1	WP_011290043.1
OG0000425	WP_011206065.1	WP_044277967.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011290062.1	WP_404912257.1
OG0000430	WP_014579604.1	WP_404912265.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_160587974.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_160585569.1	WP_020835607.1
OG0000435	WP_011283987.1	WP_404912278.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_044272373.1	WP_404912284.1
OG0000438	WP_160587984.1	WP_404912286.1
OG0000439	WP_020835619.1	WP_404912288.1
OG0000440	WP_160588325.1	WP_011290349.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_258555380.1	WP_160607726.1
OG0000443	WP_160588036.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_160585544.1
OG0000446	WP_135618497.1	WP_348602689.1
OG0000447	WP_160588031.1	WP_014579553.1
OG0000448	WP_146379469.1	WP_011289976.1
OG0000449	WP_011289981.1	WP_348571941.1
OG0000450	WP_160588027.1	WP_160588027.1
OG0000451	WP_160585531.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011206136.1	WP_011283895.1
OG0000455	WP_146379761.1	WP_404912085.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_160588187.1	WP_404912464.1
OG0000458	WP_160588321.1	WP_020835790.1
OG0000459	WP_011206301.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_044272549.1
OG0000461	WP_160587811.1	WP_404912452.1
OG0000462	WP_160587809.1	WP_404911917.1
OG0000463	WP_160587807.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_160585762.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_160587829.1	WP_404911938.1
OG0000468	WP_160587904.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_044272348.1
OG0000472	WP_160588144.1	WP_404912044.1
OG0000473	WP_160588156.1	WP_020835917.1
OG0000474	WP_160588158.1	WP_041361711.1
OG0000475	WP_160588160.1	WP_404912083.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_160587815.1	WP_011206317.1
OG0000478	WP_146379753.1	WP_011284367.1
OG0000479	WP_160588237.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_308507052.1	WP_044272343.1
OG0000482	WP_160587986.1	WP_404912296.1
OG0000483	WP_160587946.1	WP_347952210.1
OG0000484	WP_225973007.1	WP_135618485.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_160588293.1	WP_011290228.1
OG0000488	WP_160587923.1	WP_146379596.1
OG0000490	WP_160584863.1	WP_404912109.1
OG0000493	WP_146379488.1	WP_404912185.1
OG0000494	WP_052269169.1	WP_404912196.1
OG0000495	WP_146379689.1	WP_404911964.1
OG0000496	WP_011206375.1	WP_011290327.1
OG0000497	WP_160587850.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_160587894.1	WP_404911797.1
OG0000501	WP_220190663.1	WP_404911996.1
OG0000502	WP_094521609.1	WP_404912292.1
OG0000503	WP_016340193.1	WP_404912212.1
OG0000504	WP_146379513.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160588078.1	WP_020835590.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_011289977.1
OG0000511	WP_160588017.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_404911911.1
OG0000514	WP_160587856.1	WP_404911969.1
OG0000516	WP_160587914.1	WP_160607660.1
OG0000517	WP_011283834.1	WP_404912123.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000520	WP_146379514.1	WP_146379514.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_020835906.1	WP_258555910.1
OG0000524	WP_160587827.1	WP_404911936.1
OG0000525	WP_160588146.1	WP_404912046.1
OG0000526	WP_225972970.1	WP_404911812.1
OG0000527	WP_258555253.1	WP_404911823.1
OG0000528	WP_160587916.1	WP_404912437.1
OG0000531	WP_160588256.1	WP_020835645.1
OG0000532	WP_308507102.1	WP_404912365.1
OG0000533	WP_011206110.1	WP_011290010.1
OG0000534	WP_160588021.1	WP_404912163.1
OG0000536	WP_160588166.1	WP_404912094.1
OG0000540	WP_160587822.1	WP_404911926.1
OG0000541	WP_160587840.1	WP_404911944.1
OG0000544	WP_308507054.1	WP_308507042.1
OG0000545	WP_160587882.1	WP_404911816.1
OG0000546	WP_258555239.1	WP_404911955.1
OG0000552	WP_044284704.1	WP_044284704.1
OG0000553	WP_160587832.1	WP_347952255.1
OG0000554	WP_160585727.1	WP_404911871.1
OG0000555	WP_228366107.1	WP_308507032.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_160587995.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_160584672.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_160585755.1
OG0000563	WP_160587877.1	WP_160587877.1
OG0000564	WP_258555275.1	WP_252862181.1
OG0000565	WP_011290181.1	WP_404911804.1
OG0000566	WP_258555256.1	WP_404911808.1
OG0000567	WP_258555255.1	WP_404911814.1
OG0000568	WP_044272325.1	WP_404912204.1
OG0000569	WP_160587997.1	WP_404912299.1
OG0000570	WP_160587999.1	WP_404912300.1
OG0000571	WP_135618664.1	WP_404912302.1
OG0000572	WP_160588001.1	WP_404912308.1
OG0000573	WP_135618777.1	WP_404912382.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_014579697.1	WP_011290089.1
