#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP038641.1:628064-628594|- -            177 4324at2085           -            135   9.8e-42  137.6   2.6   1   1   2.3e-43   1.9e-41  136.7   2.6     1   134     1   168     1   169 0.79 NZ_CP038641.1_513 # 628064 # 628594 # -1 # ID=1_513;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.307
NZ_CP038641.1:811003-812802|- -            600 4324at2085           -            135   0.00039   15.9   0.1   2   3   4.7e-06   0.00039   15.9   0.1    12   123   116   236   112   245 0.79 NZ_CP038641.1_652 # 811003 # 812802 # -1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_CP038641.1:811003-812802|- -            600 4324at2085           -            135   0.00039   15.9   0.1   3   3       2.5   2.1e+02   -2.7   0.1    90   116   468   494   448   500 0.74 NZ_CP038641.1_652 # 811003 # 812802 # -1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_CP038641.1:53022-54281|+   -            420 4324at2085           -            135   0.00054   15.4   2.3   1   2   1.1e-05   0.00095   14.6   0.2    10   121   157   273   152   282 0.78 NZ_CP038641.1_40 # 53022 # 54281 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.311
NZ_CP038641.1:53022-54281|+   -            420 4324at2085           -            135   0.00054   15.4   2.3   2   2       0.4        33   -0.1   0.2    32   103   299   370   292   386 0.78 NZ_CP038641.1_40 # 53022 # 54281 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.311
NZ_CP038641.1:116910-119753|- -            948 4324at2085           -            135     0.005   12.3   1.9   1   2     0.085       7.1    2.1   0.0    10    29    32    52    24    59 0.80 NZ_CP038641.1_95 # 116910 # 119753 # -1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
NZ_CP038641.1:116910-119753|- -            948 4324at2085           -            135     0.005   12.3   1.9   2   2    0.0016      0.13    7.7   0.4    12    36   641   665   637   676 0.89 NZ_CP038641.1_95 # 116910 # 119753 # -1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/4324at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/ES2/Use
# Date:            Thu Nov 28 19:20:15 2024
# [ok]
