Orthogroup	MHP_168_proteins	MHP_112B_proteins
OG0000181	WP_014579985.1	WP_020835888.1
OG0000182	WP_014579987.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011206468.1
OG0000185	WP_011206465.1	WP_020835897.1
OG0000186	WP_014579739.1	WP_404912349.1
OG0000187	WP_014579741.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_014579854.1	WP_404911845.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_014579850.1	WP_146379633.1
OG0000192	WP_011284001.1	WP_404912441.1
OG0000193	WP_011283999.1	WP_404912294.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_014579648.1	WP_179221025.1
OG0000197	WP_014579647.1	WP_041361572.1
OG0000198	WP_014579645.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_014579644.1	WP_020835575.1
OG0000201	WP_014579642.1	WP_011283934.1
OG0000202	WP_014579634.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_146379508.1
OG0000205	WP_014579632.1	WP_160606691.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_014579629.1	WP_011206063.1
OG0000208	WP_011206062.1	WP_135618591.1
OG0000209	WP_014579628.1	WP_011206061.1
OG0000210	WP_014579621.1	WP_146379515.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_014579618.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_014579617.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_014579615.1	WP_404912251.1
OG0000219	WP_020835591.1	WP_220190714.1
OG0000220	WP_011206040.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_014579610.1	WP_404912259.1
OG0000226	WP_014579609.1	WP_011206032.1
OG0000227	WP_014579608.1	WP_011206031.1
OG0000228	WP_014579607.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_404912263.1
OG0000231	WP_014579603.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_014579664.1	WP_404912276.1
OG0000235	WP_014579665.1	WP_094521605.1
OG0000236	WP_014579666.1	WP_011283989.1
OG0000237	WP_014579667.1	WP_404912280.1
OG0000238	WP_014579669.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_404911978.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_044278032.1	WP_404911981.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_014579956.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_014579532.1	WP_404912139.1
OG0000247	WP_014579534.1	WP_404912141.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000249	WP_014579536.1	WP_160588044.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_014579546.1	WP_011289964.1
OG0000254	WP_014579548.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_014579555.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_014579562.1	WP_041361723.1
OG0000260	WP_011205903.1	WP_094521550.1
OG0000261	WP_014579565.1	WP_044272293.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_014579574.1	WP_044284579.1
OG0000266	WP_044277957.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_020835532.1
OG0000268	WP_011283894.1	WP_011289993.1
OG0000269	WP_014579579.1	WP_011206134.1
OG0000270	WP_014580022.1	WP_404912080.1
OG0000271	WP_014580021.1	WP_404913687.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_014580018.1	WP_011290423.1
OG0000275	WP_044278043.1	WP_404912071.1
OG0000276	WP_011284368.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_014580014.1	WP_011290418.1
OG0000280	WP_014580013.1	WP_404912067.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_014580010.1	WP_160590212.1
OG0000283	WP_014580009.1	WP_044272663.1
OG0000284	WP_014580008.1	WP_160585585.1
OG0000285	WP_014580007.1	WP_404912060.1
OG0000286	WP_014579875.1	WP_160615969.1
OG0000287	WP_011206297.1	WP_404911902.1
OG0000288	WP_011284218.1	WP_404911904.1
OG0000289	WP_014579889.1	WP_020835793.1
OG0000290	WP_014579908.1	WP_011290297.1
OG0000291	WP_014579906.1	WP_011206320.1
OG0000292	WP_014579905.1	WP_044272553.1
OG0000293	WP_014579904.1	WP_404913649.1
OG0000294	WP_014579902.1	WP_404911922.1
OG0000295	WP_014579901.1	WP_011206315.1
OG0000296	WP_014579894.1	WP_041361673.1
OG0000297	WP_014579893.1	WP_146379664.1
OG0000298	WP_014579538.1	WP_404912146.1
OG0000299	WP_011205878.1	WP_160606529.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_014579593.1	WP_404912180.1
OG0000304	WP_044277963.1	WP_220190741.1
OG0000305	WP_014579943.1	WP_020835841.1
OG0000306	WP_014579934.1	WP_044272563.1
OG0000307	WP_014579928.1	WP_160585265.1
OG0000308	WP_014579911.1	WP_404911934.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_014579882.1	WP_041361671.1
OG0000313	WP_014579776.1	WP_011206141.1
OG0000314	WP_014579810.1	WP_404911788.1
OG0000315	WP_014579816.1	WP_014579816.1
OG0000316	WP_014579818.1	WP_404911774.1
OG0000317	WP_011290211.1	WP_404912423.1
OG0000318	WP_228365380.1	WP_404911772.1
OG0000319	WP_014579833.1	WP_404913631.1
OG0000320	WP_014579866.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_014579724.1	WP_020835642.1
OG0000323	WP_014579736.1	WP_011290127.1
OG0000324	WP_014579849.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_014579637.1	WP_404913712.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_014579627.1	WP_041361583.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_014579986.1	WP_020835889.1
OG0000335	WP_014579988.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_404912111.1
OG0000339	WP_014579860.1	WP_404911854.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_014579853.1	WP_011290226.1
OG0000342	WP_014579646.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_014579596.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_014580011.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_014579636.1
OG0000349	WP_014580020.1	WP_094521522.1
OG0000350	WP_228365390.1	WP_404911952.1
OG0000351	WP_044277958.1	WP_404912171.1
OG0000352	WP_014579807.1	WP_404911795.1
OG0000353	WP_014579723.1	WP_404912328.1
OG0000354	WP_044277974.1	WP_404912194.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_228365379.1	WP_404913621.1
OG0000357	WP_011206427.1	WP_228366113.1
OG0000358	WP_014579968.1	WP_404913660.1
OG0000359	WP_228365410.1	WP_404913710.1
OG0000360	WP_228365406.1	WP_404912153.1
OG0000361	WP_014579561.1	WP_011289979.1
OG0000362	WP_011206302.1	WP_160600961.1
OG0000363	WP_233417364.1	WP_404913764.1
OG0000364	WP_014579799.1	WP_404913625.1
OG0000365	WP_014579848.1	WP_404912433.1
OG0000366	WP_011206224.1	WP_404912430.1
OG0000367	WP_044278006.1	WP_225973040.1
OG0000368	WP_011283833.1	WP_404912121.1
OG0000369	WP_011205844.1	WP_011205844.1
OG0000370	WP_011205843.1	WP_044272260.1
OG0000371	WP_014579518.1	WP_044272256.1
OG0000372	WP_044277943.1	WP_404912115.1
OG0000373	WP_014580049.1	WP_404912107.1
OG0000374	WP_014580047.1	WP_404912104.1
OG0000375	WP_014579834.1	WP_404911831.1
OG0000376	WP_014579868.1	WP_404911868.1
OG0000377	WP_011206271.1	WP_404913636.1
OG0000378	WP_014579711.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_011205957.1	WP_160588252.1
OG0000381	WP_014579728.1	WP_404913736.1
OG0000382	WP_014579733.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_014579586.1	WP_041361727.1
OG0000385	WP_014579587.1	WP_044272311.1
OG0000386	WP_014579591.1	WP_011290004.1
OG0000387	WP_014579594.1	WP_404913705.1
OG0000388	WP_014579595.1	WP_179221014.1
OG0000389	WP_014579657.1	WP_404912192.1
OG0000390	WP_011206390.1	WP_011290340.1
OG0000391	WP_014579945.1	WP_020835843.1
OG0000392	WP_014579942.1	WP_160607852.1
OG0000393	WP_014579935.1	WP_404911961.1
OG0000394	WP_014579921.1	WP_011290313.1
OG0000395	WP_014579920.1	WP_404911946.1
OG0000396	WP_014579876.1	WP_020835781.1
OG0000397	WP_014579805.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_020835709.1
OG0000399	WP_014579813.1	WP_404911782.1
OG0000400	WP_014579962.1	WP_044272610.1
OG0000401	WP_014579971.1	WP_135619070.1
OG0000402	WP_014579972.1	WP_020835872.1
OG0000403	WP_187286312.1	WP_404913666.1
OG0000404	WP_014579978.1	WP_404912014.1
OG0000405	WP_014579980.1	WP_404913670.1
OG0000406	WP_014579989.1	WP_404912025.1
OG0000407	WP_014579990.1	WP_404912027.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_014579996.1	WP_146379742.1
OG0000412	WP_014579995.1	WP_146379741.1
OG0000413	WP_014579738.1	WP_146379568.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_014579740.1	WP_404912351.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_014579852.1	WP_404911842.1
OG0000418	WP_228365384.1	WP_160588285.1
OG0000419	WP_014579649.1	WP_020835572.1
OG0000420	WP_011206085.1	WP_020835574.1
OG0000421	WP_044277971.1	WP_011206080.1
OG0000422	WP_014579638.1	WP_146379504.1
OG0000423	WP_014579631.1	WP_404912224.1
OG0000424	WP_011206067.1	WP_011290043.1
OG0000425	WP_044277967.1	WP_044277967.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_014579626.1	WP_135618593.1
OG0000428	WP_014579623.1	WP_011206054.1
OG0000429	WP_011290062.1	WP_404912257.1
OG0000430	WP_014579604.1	WP_404912265.1
OG0000431	WP_014579602.1	WP_011290067.1
OG0000432	WP_014579662.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000435	WP_011283987.1	WP_404912278.1
OG0000437	WP_014579672.1	WP_404912284.1
OG0000438	WP_014579673.1	WP_404912286.1
OG0000439	WP_014579674.1	WP_404912288.1
OG0000440	WP_014579953.1	WP_011290349.1
OG0000441	WP_044278034.1	WP_011284299.1
OG0000442	WP_014579533.1	WP_160607726.1
OG0000443	WP_014579542.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_014579547.1	WP_160585544.1
OG0000446	WP_014579552.1	WP_348602689.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_044277955.1	WP_011289976.1
OG0000449	WP_014579563.1	WP_348571941.1
OG0000450	WP_044277956.1	WP_160588027.1
OG0000451	WP_014579571.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_014579578.1	WP_011283895.1
OG0000454	WP_014579769.1	WP_404913742.1
OG0000455	WP_014580026.1	WP_404912085.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_014580006.1	WP_404913684.1
OG0000458	WP_014579888.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_014579891.1	WP_044272549.1
OG0000461	WP_014579899.1	WP_404913647.1
OG0000462	WP_014579898.1	WP_404911917.1
OG0000463	WP_014579897.1	WP_011206310.1
OG0000464	WP_044278026.1	WP_011206309.1
OG0000465	WP_014579895.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_014579913.1	WP_404911938.1
OG0000468	WP_014579812.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_044272348.1
OG0000472	WP_044278039.1	WP_404913678.1
OG0000473	WP_014580023.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000475	WP_044278045.1	WP_404912083.1
OG0000476	WP_014579742.1	WP_011205931.1
OG0000477	WP_014579903.1	WP_011206317.1
OG0000478	WP_011284367.1	WP_011284367.1
OG0000479	WP_014579718.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044277969.1	WP_044272343.1
OG0000482	WP_014579695.1	WP_404913728.1
OG0000483	WP_014579841.1	WP_347952210.1
OG0000484	WP_228365405.1	WP_135618485.1
OG0000485	WP_014579671.1	WP_020835615.1
OG0000486	WP_044278009.1	WP_011290228.1
OG0000487	WP_014579820.1	WP_404913760.1
OG0000488	WP_014579846.1	WP_146379596.1
OG0000489	WP_011205849.1	WP_404913695.1
OG0000490	WP_014580050.1	WP_404912109.1
OG0000492	WP_014579727.1	WP_404913734.1
OG0000493	WP_044277961.1	WP_404912185.1
OG0000494	WP_014579654.1	WP_404913707.1
OG0000495	WP_011284272.1	WP_404911964.1
OG0000496	WP_011206375.1	WP_011290327.1
OG0000497	WP_014579936.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_014579806.1	WP_404913623.1
OG0000501	WP_014579965.1	WP_404911996.1
OG0000502	WP_014579694.1	WP_404912292.1
OG0000503	WP_014579643.1	WP_404912212.1
OG0000505	WP_044277964.1	WP_146379519.1
OG0000507	WP_011206043.1	WP_020835590.1
OG0000508	WP_044277952.1	WP_044272682.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_014579892.1	WP_404911911.1
OG0000513	WP_014580015.1	WP_041361708.1
OG0000514	WP_014579941.1	WP_404911969.1
OG0000515	WP_228365419.1	WP_160585031.1
OG0000516	WP_014579821.1	WP_160607660.1
OG0000518	WP_014579970.1	WP_404913772.1
OG0000521	WP_014579554.1	WP_404913698.1
OG0000522	WP_011205899.1	WP_135618505.1
OG0000523	WP_044278116.1	WP_258555910.1
OG0000525	WP_014579999.1	WP_404912046.1
OG0000526	WP_228365426.1	WP_404911812.1
OG0000527	WP_228365424.1	WP_404911823.1
OG0000528	WP_014579822.1	WP_404912437.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000532	WP_014579771.1	WP_404913740.1
OG0000533	WP_011206110.1	WP_011290010.1
OG0000534	WP_014579573.1	WP_404912163.1
OG0000535	WP_014579521.1	WP_020835486.1
OG0000536	WP_014580031.1	WP_404913689.1
OG0000540	WP_014579907.1	WP_404913653.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000543	WP_014580033.1	WP_160585706.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_014579790.1	WP_404911816.1
OG0000546	WP_014579932.1	WP_404911955.1
OG0000551	WP_011206407.1	WP_404913658.1
OG0000552	WP_014579974.1	WP_044284704.1
OG0000553	WP_014579915.1	WP_347952255.1
OG0000554	WP_014579871.1	WP_404911871.1
OG0000555	WP_014579949.1	WP_308507032.1
OG0000556	WP_014580037.1	WP_404912412.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_011205989.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_011206182.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_094521603.1
OG0000562	WP_014579789.1	WP_160585755.1
OG0000563	WP_014579786.1	WP_160587877.1
OG0000564	WP_228365418.1	WP_252862181.1
OG0000565	WP_014579797.1	WP_404911804.1
OG0000566	WP_228365427.1	WP_404911808.1
OG0000567	WP_228365425.1	WP_404911814.1
OG0000568	WP_011206097.1	WP_404912204.1
OG0000569	WP_014579700.1	WP_404912299.1
OG0000570	WP_014579701.1	WP_404912300.1
OG0000571	WP_014579702.1	WP_404912302.1
OG0000572	WP_014579705.1	WP_404912308.1
OG0000573	WP_014579759.1	WP_404912382.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_014579697.1	WP_011290089.1
OG0000576	WP_014579765.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_014579914.1	WP_041361678.1
OG0000579	WP_014579785.1	WP_146379623.1
OG0000580	WP_228365392.1	WP_236607953.1
OG0000581	WP_014579782.1	WP_404911821.1
OG0000582	WP_228365416.1	WP_404912305.1
OG0000583	WP_014579761.1	WP_404912380.1
OG0000584	WP_014579687.1	WP_404912408.1
OG0000585	WP_044278005.1	WP_146379626.1
