Orthogroup	MHP_7448_proteins	MFC_MF30_proteins
OG0000327	WP_011206076.1	WP_039387638.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_225973017.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_160605489.1
OG0000331	WP_011206405.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_160605543.1
OG0000333	WP_011206433.1	WP_160605544.1
OG0000334	WP_044272637.1	WP_039387693.1
OG0000335	WP_044272639.1	WP_160605548.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_011290441.1	WP_160581112.1
OG0000338	WP_011284394.1	WP_039387723.1
OG0000339	WP_011290246.1	WP_160605518.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_052269168.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_081605287.1
OG0000347	WP_011290117.1	WP_081605280.1
OG0000348	WP_225973015.1	WP_160605474.1
OG0000349	WP_011290425.1	WP_155897264.1
OG0000350	WP_228366105.1	WP_201771011.1
OG0000351	WP_011289997.1	WP_220190748.1
OG0000352	WP_011290189.1	WP_220190755.1
OG0000353	WP_044272395.1	WP_308705452.1
OG0000354	WP_228366124.1	WP_220190750.1
OG0000355	WP_020835708.1	WP_231237866.1
OG0000356	WP_228366136.1	WP_308705446.1
OG0000357	WP_228366113.1	WP_160605540.1
OG0000358	WP_011290370.1	WP_002557711.1
OG0000359	WP_228366125.1	WP_308705450.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_011289979.1	WP_258555097.1
OG0000362	WP_011290282.1	WP_255454460.1
OG0000363	WP_269076322.1	WP_334199004.1
OG0000365	WP_011290204.1	WP_160605631.1
OG0000366	WP_011206224.1	WP_160581449.1
OG0000367	WP_044272474.1	WP_160605613.1
OG0000368	WP_011289935.1	WP_160605564.1
OG0000369	WP_011289930.1	WP_039387473.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_044272256.1	WP_002557477.1
OG0000372	WP_011289927.1	WP_002557478.1
OG0000373	WP_044272680.1	WP_160605556.1
OG0000374	WP_011290445.1	WP_160605554.1
OG0000375	WP_011284163.1	WP_002557511.1
OG0000376	WP_011290254.1	WP_160605512.1
OG0000377	WP_011206271.1	WP_160581167.1
OG0000378	WP_011290102.1	WP_160605520.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_044272699.1	WP_002557550.1
OG0000381	WP_044272402.1	WP_160605534.1
OG0000382	WP_011290126.1	WP_160605627.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_041361727.1	WP_160605310.1
OG0000385	WP_044272311.1	WP_160605312.1
OG0000386	WP_011290004.1	WP_002557576.1
OG0000387	WP_011290006.1	WP_160605318.1
OG0000388	WP_044272317.1	WP_160605320.1
OG0000389	WP_011290013.1	WP_002557589.1
OG0000390	WP_011290340.1	WP_160580882.1
OG0000391	WP_044272578.1	WP_002557610.1
OG0000392	WP_011290335.1	WP_160580892.1
OG0000393	WP_044272566.1	WP_160605338.1
OG0000394	WP_011290313.1	WP_160605346.1
OG0000395	WP_011290312.1	WP_160605348.1
OG0000396	WP_020835781.1	WP_002557673.1
OG0000397	WP_011206196.1	WP_160605412.1
OG0000398	WP_011290187.1	WP_160605414.1
OG0000399	WP_011290195.1	WP_220190081.1
OG0000400	WP_044272610.1	WP_160603208.1
OG0000401	WP_011290373.1	WP_160581263.1
OG0000402	WP_044272614.1	WP_002557715.1
OG0000403	WP_187145658.1	WP_160605545.1
OG0000404	WP_044272624.1	WP_160605546.1
OG0000405	WP_011290381.1	WP_160605547.1
OG0000406	WP_014579989.1	WP_002557731.1
OG0000407	WP_011290391.1	WP_160583916.1
OG0000408	WP_011206457.1	WP_160605549.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_011290402.1	WP_002557739.1
OG0000411	WP_011290400.1	WP_160605635.1
OG0000412	WP_011290399.1	WP_002557742.1
OG0000413	WP_011290129.1	WP_002557749.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_020835657.1	WP_160603232.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_011290225.1	WP_160605460.1
OG0000418	WP_020835756.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_002557780.1
OG0000421	WP_011290034.1	WP_002557784.1
OG0000422	WP_020835580.1	WP_160581307.1
OG0000423	WP_020835585.1	WP_002557796.1
OG0000424	WP_011290043.1	WP_160581357.1
OG0000425	WP_011206065.1	WP_002557799.1
OG0000426	WP_011290045.1	WP_002557800.1
OG0000427	WP_011290048.1	WP_002557805.1
OG0000428	WP_011206054.1	WP_160581348.1
OG0000429	WP_011290062.1	WP_160581337.1
OG0000430	WP_011290066.1	WP_002557837.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_044272360.1	WP_160603164.1
OG0000433	WP_011290074.1	WP_002557845.1
OG0000434	WP_020835607.1	WP_160583871.1
OG0000435	WP_011290077.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_044272373.1	WP_002557860.1
OG0000438	WP_044272375.1	WP_160605495.1
OG0000439	WP_044272377.1	WP_160603176.1
OG0000440	WP_011290349.1	WP_160583891.1
OG0000441	WP_011284299.1	WP_002557873.1
OG0000442	WP_020835499.1	WP_002557876.1
OG0000443	WP_044272282.1	WP_160581057.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_020835509.1	WP_002557895.1
OG0000446	WP_044272289.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_160605288.1
OG0000448	WP_011289976.1	WP_160605292.1
OG0000449	WP_011289981.1	WP_002557912.1
OG0000450	WP_011289983.1	WP_160605300.1
OG0000451	WP_044272294.1	WP_002557923.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_011289994.1	WP_002557934.1
OG0000455	WP_011290431.1	WP_160583788.1
OG0000456	WP_011206487.1	WP_160605595.1
OG0000457	WP_044272660.1	WP_160605599.1
OG0000458	WP_044272542.1	WP_002557977.1
OG0000459	WP_014579890.1	WP_002557982.1
OG0000460	WP_044272549.1	WP_160605377.1
OG0000461	WP_041361674.1	WP_160605369.1
OG0000462	WP_011284228.1	WP_160603085.1
OG0000464	WP_011290288.1	WP_160605371.1
OG0000465	WP_011290287.1	WP_160605373.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_011290304.1	WP_220190751.1
OG0000468	WP_011290194.1	WP_160605428.1
OG0000469	WP_011290203.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_044272348.1	WP_039387651.1
OG0000472	WP_044272653.1	WP_160605607.1
OG0000473	WP_044272671.1	WP_039387713.1
OG0000474	WP_011290429.1	WP_039387714.1
OG0000475	WP_011290430.1	WP_220190796.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_011290293.1	WP_039387750.1
OG0000478	WP_011290420.1	WP_160603144.1
OG0000479	WP_011290107.1	WP_160583965.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_308507115.1
OG0000482	WP_081420839.1	WP_334296058.1
OG0000483	WP_011206227.1	WP_236681784.1
OG0000484	WP_228366121.1	WP_308705441.1
OG0000485	WP_044272370.1	WP_039387661.1
OG0000486	WP_011290228.1	WP_258555124.1
OG0000487	WP_044272470.1	WP_052234586.1
OG0000488	WP_011290206.1	WP_160581452.1
OG0000489	WP_011205849.1	WP_160581091.1
OG0000490	WP_011290449.1	WP_002557481.1
OG0000491	WP_020835639.1	WP_002557542.1
OG0000492	WP_020835646.1	WP_160605530.1
OG0000493	WP_011290009.1	WP_160580862.1
OG0000494	WP_052269169.1	WP_160580870.1
OG0000495	WP_011290329.1	WP_002557622.1
OG0000496	WP_011290327.1	WP_160605336.1
OG0000497	WP_044272567.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_011206333.1	WP_160605354.1
OG0000500	WP_044272458.1	WP_160605416.1
OG0000501	WP_081420854.1	WP_160605536.1
OG0000502	WP_044272382.1	WP_160583987.1
OG0000503	WP_020835576.1	WP_002557782.1
OG0000504	WP_011283955.1	WP_160583855.1
OG0000505	WP_011290053.1	WP_160581345.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_044272353.1	WP_160605483.1
OG0000508	WP_044272682.1	WP_160605286.1
OG0000509	WP_020835518.1	WP_220190747.1
OG0000510	WP_011289977.1	WP_160605294.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_011290284.1	WP_160605375.1
OG0000513	WP_041361708.1	WP_160605593.1
OG0000514	WP_011290334.1	WP_160605332.1
OG0000516	WP_011290200.1	WP_308705462.1, WP_258555149.1
OG0000517	WP_011283834.1	WP_160581087.1
OG0000518	WP_044272613.1	WP_160605542.1
OG0000519	WP_020835579.1	WP_160605472.1
OG0000520	WP_011290050.1	WP_002557809.1
OG0000521	WP_011289972.1	WP_002557903.1
OG0000522	WP_020835519.1	WP_160605296.1
OG0000523	WP_020835906.1	WP_160605601.1
OG0000524	WP_011290303.1	WP_220190752.1
OG0000525	WP_011290405.1	WP_308705459.1
OG0000528	WP_011290201.1	WP_160581474.1
OG0000529	WP_044272492.1	WP_160583937.1
OG0000530	WP_011290248.1	WP_002557529.1
OG0000531	WP_011205956.1	WP_002557551.1
OG0000533	WP_011290010.1	WP_002557841.1
OG0000534	WP_011289989.1	WP_002557926.1
OG0000535	WP_020835486.1	WP_160605560.1
OG0000536	WP_011290436.1	WP_160605588.1
OG0000537	WP_011290028.1	WP_002557776.1
OG0000538	WP_020835608.1	WP_160605491.1
OG0000539	WP_011289963.1	WP_002557892.1
OG0000540	WP_011290296.1	WP_160605365.1
OG0000541	WP_011290310.1	WP_160603067.1
OG0000542	WP_011289986.1	WP_160581026.1
OG0000547	WP_011290341.1	WP_160580878.1
OG0000548	WP_011290136.1	WP_160605406.1
OG0000549	WP_044272652.1	WP_160605609.1
OG0000550	WP_187145660.1	WP_160603142.1
OG0000551	WP_011206407.1	WP_231237875.1
OG0000555	WP_228366107.1	WP_258555108.1
OG0000596	WP_044272436.1	WP_160605568.1
OG0000598	WP_020835684.1	WP_160605566.1
OG0000599	WP_044272437.1	WP_039387482.1
OG0000602	WP_044272715.1	WP_220190799.1
