Orthogroup	MHP_J_protein	MFC_MF33_protein
OG0000066	WP_011283898.1	WP_160609246.1
OG0000067	WP_011206493.1	WP_160581384.1
OG0000068	WP_237697220.1	WP_160609413.1
OG0000069	WP_044284676.1	WP_002557977.1
OG0000070	WP_011284224.1	WP_160609290.1
OG0000071	WP_044284691.1	WP_160609272.1
OG0000072	WP_044284722.1	WP_160609415.1
OG0000073	WP_179695988.1	WP_196792423.1
OG0000074	WP_011284288.1	WP_258556751.1
OG0000075	WP_011284011.1	WP_231237865.1
OG0000076	WP_237697229.1	WP_308704737.1
OG0000077	WP_044284576.1	WP_308704724.1
OG0000079	WP_020835723.1	WP_052234586.1
OG0000080	WP_011284136.1	WP_160609442.1
OG0000081	WP_011206216.1	WP_160581484.1
OG0000082	WP_011284139.1	WP_160609445.1
OG0000083	WP_011284141.1	WP_160609431.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206224.1	WP_160581449.1
OG0000086	WP_011284144.1	WP_160609432.1
OG0000087	WP_044284648.1	WP_160609433.1
OG0000088	WP_011206228.1	WP_236681783.1
OG0000089	WP_044272480.1	WP_160581443.1
OG0000090	WP_011206231.1	WP_002557461.1
OG0000091	WP_011283836.1	WP_002557464.1
OG0000092	WP_011283835.1	WP_002557465.1
OG0000093	WP_011283833.1	WP_160609388.1
OG0000094	WP_044284565.1	WP_160609387.1
OG0000095	WP_011205849.1	WP_160581091.1
OG0000096	WP_011205848.1	WP_160609386.1
OG0000097	WP_011283830.1	WP_160609385.1
OG0000098	WP_020835484.1	WP_002557472.1
OG0000099	WP_014579519.1	WP_160581096.1
OG0000100	WP_044284564.1	WP_160609383.1
OG0000101	WP_011283825.1	WP_002557478.1
OG0000102	WP_044272251.1	WP_160609382.1
OG0000103	WP_011206529.1	WP_002557480.1
OG0000104	WP_044284736.1	WP_160609380.1
OG0000105	WP_237697224.1	WP_002557483.1
OG0000106	WP_011284391.1	WP_160609379.1
OG0000107	WP_011284390.1	WP_160609378.1
OG0000108	WP_011284389.1	WP_160581109.1
OG0000109	WP_044284735.1	WP_160609377.1
OG0000110	WP_011284386.1	WP_160581114.1
OG0000111	WP_011206510.1	WP_002557497.1
OG0000112	WP_011284080.1	WP_002557499.1
OG0000113	WP_011284081.1	WP_160609399.1
OG0000114	WP_011284082.1	WP_160609400.1
OG0000115	WP_011284162.1	WP_160609358.1
OG0000116	WP_011206239.1	WP_002557510.1
OG0000117	WP_011284163.1	WP_002557511.1
OG0000118	WP_011284165.1	WP_002557514.1
OG0000119	WP_011206243.1	WP_160583937.1
OG0000120	WP_011284167.1	WP_160609357.1
OG0000121	WP_011284169.1	WP_002557518.1
OG0000122	WP_193325075.1	WP_308704655.1
OG0000123	WP_011284194.1	WP_160581160.1
OG0000124	WP_044284663.1	WP_002557523.1
OG0000125	WP_011284192.1	WP_160609356.1
OG0000126	WP_237697204.1	WP_002557525.1
OG0000127	WP_044284661.1	WP_002557526.1
OG0000128	WP_044284660.1	WP_160609354.1
OG0000129	WP_044284659.1	WP_258556771.1
OG0000130	WP_011284183.1	WP_160609353.1
OG0000131	WP_011284015.1	WP_160609352.1
OG0000132	WP_011284016.1	WP_160609351.1
OG0000133	WP_044284611.1	WP_160609350.1
OG0000134	WP_044284612.1	WP_160581180.1
OG0000135	WP_044284613.1	WP_002557538.1
OG0000136	WP_011284023.1	WP_002557540.1
OG0000137	WP_011284024.1	WP_160581187.1
OG0000138	WP_011205966.1	WP_002557542.1
OG0000139	WP_011205965.1	WP_160609349.1
OG0000140	WP_011284027.1	WP_160609348.1
OG0000141	WP_044284614.1	WP_160581190.1
OG0000142	WP_011284032.1	WP_160609347.1
OG0000143	WP_011205958.1	WP_002557549.1
OG0000144	WP_011205956.1	WP_002557551.1
OG0000145	WP_011284036.1	WP_160581199.1
OG0000146	WP_011205953.1	WP_002557554.1
OG0000147	WP_011205952.1	WP_160581203.1
OG0000148	WP_011284038.1	WP_160605532.1
OG0000149	WP_044284617.1	WP_160609346.1
OG0000150	WP_011284040.1	WP_160583976.1
OG0000151	WP_044284619.1	WP_160609345.1
OG0000152	WP_044284620.1	WP_160603202.1
OG0000153	WP_014579732.1	WP_160609344.1
OG0000154	WP_011284045.1	WP_160609343.1
OG0000155	WP_011284046.1	WP_160593526.1
OG0000156	WP_011284047.1	WP_002557566.1
OG0000157	WP_014579735.1	WP_160609342.1
OG0000158	WP_044284621.1	WP_002557569.1
OG0000159	WP_041361727.1	WP_160609247.1
OG0000160	WP_044284585.1	WP_160609248.1
OG0000161	WP_014579589.1	WP_002557574.1
OG0000162	WP_237697227.1	WP_160609249.1
OG0000163	WP_011206121.1	WP_160609250.1
OG0000164	WP_011206120.1	WP_002557577.1
OG0000165	WP_044284586.1	WP_002557578.1
OG0000166	WP_011283910.1	WP_160609251.1
OG0000167	WP_044284587.1	WP_308704722.1
OG0000168	WP_011206113.1	WP_160583687.1
OG0000169	WP_011283915.1	WP_002557589.1
OG0000170	WP_011283916.1	WP_160583684.1
OG0000171	WP_011206102.1	WP_160609258.1
OG0000172	WP_011206101.1	WP_002557595.1
OG0000173	WP_011284290.1	WP_002557602.1
OG0000174	WP_011284289.1	WP_002557603.1
OG0000175	WP_011284286.1	WP_160580878.1
OG0000176	WP_011206391.1	WP_002557607.1
OG0000177	WP_011284284.1	WP_160583674.1
OG0000178	WP_044284694.1	WP_002557609.1
OG0000179	WP_044284693.1	WP_160609263.1
OG0000180	WP_011206385.1	WP_002557613.1
OG0000181	WP_011206384.1	WP_002557614.1
OG0000182	WP_011284277.1	WP_160580892.1
OG0000183	WP_011284275.1	WP_160583667.1
OG0000184	WP_011206379.1	WP_002557620.1
OG0000185	WP_011206378.1	WP_160609266.1
OG0000186	WP_011284272.1	WP_002557622.1
OG0000187	WP_011206376.1	WP_002557623.1
OG0000188	WP_044284692.1	WP_160609269.1
OG0000189	WP_044284689.1	WP_160609274.1
OG0000190	WP_044284688.1	WP_160609275.1
OG0000191	WP_011284258.1	WP_160609276.1
OG0000192	WP_011206345.1	WP_160609277.1
OG0000193	WP_011284252.1	WP_160609278.1
OG0000194	WP_011206337.1	WP_160609279.1
OG0000195	WP_011284251.1	WP_160609280.1
OG0000196	WP_011206335.1	WP_160583648.1
OG0000197	WP_011206334.1	WP_160609306.1
OG0000198	WP_044284685.1	WP_160609281.1
OG0000199	WP_011206289.1	WP_002557667.1
OG0000200	WP_011284209.1	WP_002557668.1
OG0000201	WP_011206287.1	WP_160593407.1
OG0000202	WP_011284062.1	WP_160609421.1
OG0000203	WP_011284063.1	WP_160609420.1
OG0000204	WP_011284064.1	WP_160581414.1
OG0000205	WP_014579804.1	WP_160581416.1
OG0000206	WP_044284644.1	WP_002557680.1
OG0000207	WP_011284119.1	WP_160609418.1
OG0000208	WP_044284645.1	WP_160609417.1
OG0000209	WP_011206200.1	WP_002557684.1
OG0000210	WP_011284126.1	WP_160609426.1
OG0000211	WP_011284128.1	WP_220190081.1
OG0000212	WP_011206207.1	WP_160581429.1
OG0000213	WP_052259109.1	WP_002557693.1
OG0000214	WP_044284701.1	WP_160609325.1
OG0000215	WP_011206422.1	WP_160581256.1
OG0000216	WP_011206424.1	WP_002557707.1
OG0000217	WP_011284312.1	WP_002557708.1
OG0000218	WP_011284313.1	WP_002557709.1
OG0000219	WP_011284317.1	WP_160609329.1
OG0000220	WP_011206432.1	WP_160581263.1
OG0000221	WP_044284703.1	WP_002557715.1
OG0000222	WP_011284321.1	WP_160609331.1
OG0000223	WP_044284706.1	WP_160609332.1
OG0000224	WP_020835878.1	WP_002557721.1
OG0000225	WP_044284707.1	WP_039387689.1
OG0000226	WP_014579979.1	WP_160609333.1
OG0000227	WP_011206445.1	WP_002557725.1
OG0000228	WP_011284327.1	WP_160609334.1
OG0000229	WP_044284715.1	WP_160609335.1
OG0000230	WP_011284337.1	WP_160603214.1
OG0000231	WP_014579989.1	WP_002557731.1
OG0000232	WP_011284340.1	WP_160581280.1
OG0000233	WP_044284717.1	WP_002557733.1
OG0000234	WP_011206458.1	WP_002557734.1
OG0000235	WP_011206459.1	WP_002557735.1
OG0000236	WP_237697216.1	WP_160609338.1
OG0000237	WP_011206469.1	WP_002557739.1
OG0000238	WP_011206468.1	WP_160581467.1
OG0000239	WP_011284347.1	WP_160609439.1
OG0000240	WP_011284346.1	WP_160609438.1
OG0000241	WP_011206465.1	WP_002557743.1
OG0000242	WP_044284721.1	WP_160609416.1
OG0000243	WP_011284051.1	WP_002557749.1
OG0000244	WP_044284745.1	WP_160603234.1
OG0000245	WP_011284053.1	WP_002557751.1
OG0000246	WP_044284622.1	WP_002557752.1
OG0000247	WP_011284055.1	WP_002557753.1
OG0000248	WP_011284056.1	WP_002557754.1
OG0000249	WP_011205932.1	WP_160603230.1
OG0000250	WP_044284657.1	WP_160609372.1
OG0000251	WP_011206256.1	WP_160605458.1
OG0000252	WP_237697203.1	WP_220190045.1
OG0000253	WP_011284173.1	WP_258556776.1
OG0000254	WP_011284001.1	WP_160609368.1
OG0000255	WP_011283999.1	WP_002557766.1
OG0000256	WP_044284608.1	WP_160583987.1
OG0000257	WP_011283923.1	WP_002557768.1
OG0000258	WP_011283924.1	WP_002557769.1
OG0000259	WP_044284589.1	WP_160609366.1
OG0000260	WP_020835572.1	WP_002557773.1
OG0000261	WP_014579648.1	WP_002557774.1
OG0000262	WP_041361572.1	WP_002557775.1
OG0000263	WP_011283930.1	WP_160605468.1
OG0000264	WP_011206086.1	WP_002557779.1
OG0000265	WP_011206085.1	WP_220190044.1
OG0000266	WP_044284590.1	WP_160609364.1
OG0000267	WP_016340193.1	WP_002557782.1
OG0000268	WP_011283934.1	WP_160609363.1
OG0000269	WP_011283936.1	WP_160609362.1
OG0000270	WP_020835579.1	WP_002557785.1
OG0000271	WP_044284591.1	WP_160609361.1
OG0000272	WP_011283943.1	WP_002557791.1
OG0000273	WP_011283944.1	WP_160583979.1
OG0000274	WP_011206071.1	WP_160609309.1
OG0000275	WP_044284594.1	WP_002557794.1
OG0000276	WP_011206068.1	WP_002557796.1
OG0000277	WP_011283948.1	WP_160581357.1
OG0000278	WP_011206066.1	WP_002557798.1
OG0000279	WP_011283949.1	WP_160609310.1
OG0000280	WP_011283950.1	WP_160609311.1
OG0000281	WP_011283951.1	WP_160609312.1
OG0000282	WP_011283952.1	WP_002557802.1
OG0000283	WP_011206061.1	WP_002557803.1
OG0000284	WP_011283958.1	WP_160581348.1
OG0000285	WP_044284597.1	WP_160581347.1
OG0000286	WP_011206050.1	WP_002557813.1
OG0000287	WP_011283962.1	WP_002557814.1
OG0000288	WP_011206048.1	WP_002557815.1
OG0000289	WP_011283963.1	WP_002557816.1
OG0000290	WP_011206047.1	WP_002557817.1
OG0000291	WP_011283965.1	WP_160581343.1
OG0000292	WP_011206044.1	WP_160609314.1
OG0000293	WP_011206042.1	WP_160609315.1
OG0000294	WP_193325078.1	WP_160603160.1
OG0000295	WP_011283968.1	WP_002557824.1
OG0000296	WP_011206039.1	WP_002557825.1
OG0000297	WP_011206038.1	WP_002557826.1
OG0000298	WP_011206037.1	WP_002557827.1
OG0000299	WP_044284599.1	WP_002557831.1
OG0000300	WP_011206032.1	WP_002557832.1
OG0000301	WP_011206031.1	WP_002557833.1
OG0000302	WP_044284600.1	WP_160609316.1
OG0000303	WP_011206028.1	WP_002557835.1
OG0000304	WP_011283973.1	WP_002557836.1
OG0000305	WP_011283974.1	WP_160609317.1
OG0000306	WP_011206025.1	WP_160581334.1
OG0000307	WP_011283976.1	WP_002557839.1
OG0000308	WP_014579601.1	WP_002557840.1
OG0000309	WP_011283981.1	WP_160581330.1
OG0000310	WP_044284601.1	WP_160609318.1
OG0000311	WP_011206014.1	WP_002557845.1
OG0000312	WP_044284602.1	WP_160583871.1
OG0000313	WP_041361598.1	WP_160609320.1
OG0000314	WP_011283987.1	WP_160603168.1
OG0000315	WP_011283988.1	WP_002557850.1
OG0000316	WP_011283989.1	WP_160581215.1
OG0000317	WP_044284603.1	WP_160593437.1
OG0000318	WP_011283991.1	WP_002557856.1
OG0000319	WP_011206005.1	WP_002557857.1
OG0000320	WP_011206003.1	WP_160609321.1
OG0000321	WP_044284604.1	WP_160609322.1
OG0000322	WP_044284605.1	WP_160583885.1
OG0000323	WP_011206399.1	WP_002557863.1
OG0000324	WP_011206400.1	WP_002557864.1
OG0000325	WP_011284294.1	WP_160593441.1
OG0000326	WP_044284696.1	WP_002557866.1
OG0000327	WP_011284296.1	WP_002557867.1
OG0000328	WP_011206404.1	WP_002557868.1
OG0000329	WP_011206406.1	WP_002557870.1
OG0000330	WP_011206408.1	WP_002557872.1
OG0000331	WP_011284299.1	WP_160583926.1
OG0000332	WP_014579532.1	WP_002557875.1
OG0000333	WP_014579533.1	WP_160609389.1
OG0000334	WP_011283846.1	WP_002557877.1
OG0000335	WP_011205870.1	WP_160609392.1
OG0000336	WP_011283850.1	WP_308704740.1
OG0000337	WP_011283852.1	WP_002557886.1
OG0000338	WP_044284567.1	WP_160581057.1
OG0000339	WP_044284570.1	WP_002557890.1
OG0000340	WP_014579544.1	WP_002557891.1
OG0000341	WP_011283858.1	WP_002557892.1
OG0000342	WP_011205883.1	WP_160581051.1
OG0000343	WP_011283860.1	WP_160583733.1
OG0000344	WP_044284571.1	WP_002557895.1
OG0000345	WP_020835510.1	WP_160583731.1
OG0000346	WP_044284572.1	WP_002557898.1
OG0000347	WP_011283865.1	WP_002557899.1
OG0000348	WP_044284739.1	WP_002557900.1
OG0000349	WP_014579552.1	WP_002557901.1
OG0000350	WP_044284573.1	WP_160609237.1
OG0000351	WP_011283869.1	WP_002557903.1
OG0000352	WP_011283870.1	WP_160609238.1
OG0000353	WP_011283871.1	WP_160609239.1
OG0000354	WP_193325077.1	WP_002557906.1
OG0000355	WP_011283873.1	WP_160609240.1
OG0000356	WP_011283874.1	WP_160609241.1
OG0000357	WP_044284574.1	WP_002557909.1
OG0000358	WP_237697226.1	WP_160609242.1
OG0000359	WP_011283878.1	WP_002557912.1
OG0000360	WP_011283879.1	WP_002557913.1
OG0000361	WP_011205904.1	WP_002557914.1
OG0000362	WP_044284575.1	WP_160609243.1
OG0000363	WP_044284577.1	WP_002557919.1
OG0000364	WP_011283884.1	WP_002557921.1
OG0000365	WP_011283885.1	WP_160609245.1
OG0000366	WP_011283887.1	WP_160581017.1
OG0000367	WP_044284579.1	WP_002557927.1
OG0000368	WP_011205921.1	WP_002557928.1
OG0000369	WP_011205923.1	WP_002557930.1
OG0000370	WP_044284580.1	WP_002557932.1
OG0000371	WP_011283894.1	WP_160583705.1
OG0000372	WP_011283896.1	WP_002557935.1
OG0000373	WP_011206134.1	WP_002557936.1
OG0000374	WP_011284379.1	WP_160609403.1
OG0000375	WP_044284732.1	WP_160583792.1
OG0000376	WP_044284731.1	WP_002557946.1
OG0000377	WP_011284373.1	WP_002557947.1
OG0000378	WP_011206502.1	WP_002557948.1
OG0000379	WP_044284730.1	WP_160609406.1
OG0000380	WP_011284370.1	WP_160581375.1
OG0000381	WP_237697223.1	WP_160581377.1
OG0000382	WP_011284368.1	WP_002557954.1
OG0000383	WP_011206494.1	WP_002557956.1
OG0000384	WP_011284364.1	WP_160609409.1
OG0000385	WP_044284728.1	WP_002557960.1
OG0000386	WP_081430772.1	WP_002557961.1
OG0000387	WP_011206487.1	WP_160609410.1
OG0000388	WP_237697221.1	WP_160609411.1
OG0000389	WP_044272663.1	WP_002557965.1
OG0000390	WP_044284727.1	WP_160609412.1
OG0000391	WP_011206483.1	WP_002557967.1
OG0000392	WP_044284726.1	WP_002557968.1
OG0000393	WP_044284668.1	WP_160580983.1
OG0000394	WP_011284216.1	WP_160609294.1
OG0000395	WP_011284218.1	WP_002557980.1
OG0000396	WP_014579889.1	WP_160609292.1
OG0000397	WP_011206303.1	WP_160609291.1
OG0000398	WP_011284237.1	WP_002558003.1
OG0000399	WP_011206320.1	WP_002558005.1
OG0000400	WP_044284681.1	WP_002558006.1
OG0000401	WP_044284680.1	WP_160609286.1
OG0000402	WP_044284678.1	WP_160609287.1
OG0000403	WP_011206315.1	WP_160580958.1
OG0000404	WP_044284677.1	WP_160609288.1
OG0000405	WP_011284228.1	WP_160609289.1
OG0000406	WP_011284227.1	WP_160583624.1
OG0000407	WP_014579894.1	WP_160580964.1
OG0000408	WP_011284225.1	WP_160580966.1
OG0000409	WP_011283851.1	WP_160605278.1
OG0000410	WP_044284568.1	WP_039387487.1
OG0000411	WP_041361533.1	WP_039387496.1
OG0000412	WP_011283891.1	WP_039387501.1
OG0000413	WP_014579576.1	WP_039387504.1
OG0000414	WP_011206118.1	WP_039387509.1
OG0000415	WP_011283978.1	WP_160609254.1
OG0000416	WP_014579943.1	WP_160580890.1
OG0000417	WP_044284687.1	WP_160603060.1
OG0000418	WP_011284244.1	WP_220189982.1
OG0000419	WP_044284683.1	WP_160609284.1
OG0000420	WP_011206313.1	WP_039387539.1
OG0000421	WP_011206298.1	WP_160609293.1
OG0000422	WP_011206293.1	WP_039387548.1
OG0000423	WP_011206141.1	WP_039387554.1
OG0000424	WP_011284125.1	WP_160609427.1
OG0000425	WP_011284130.1	WP_160581431.1
OG0000426	WP_014579818.1	WP_160609424.1
OG0000427	WP_011284149.1	WP_039387578.1
OG0000428	WP_011284138.1	WP_160609446.1
OG0000429	WP_237697247.1	WP_160609440.1
OG0000430	WP_044284655.1	WP_039387606.1
OG0000431	WP_011284189.1	WP_160609355.1
OG0000432	WP_011205969.1	WP_039387610.1
OG0000433	WP_020835642.1	WP_039387613.1
OG0000434	WP_044284744.1	WP_039387619.1
OG0000435	WP_011284172.1	WP_160609369.1
OG0000436	WP_011206094.1	WP_039387628.1
OG0000437	WP_044284592.1	WP_039387636.1
OG0000438	WP_044284593.1	WP_160581309.1
OG0000439	WP_044284595.1	WP_039387641.1
OG0000440	WP_220200845.1	WP_039387644.1
OG0000441	WP_044284742.1	WP_039387648.1
OG0000442	WP_014579622.1	WP_039387651.1
OG0000443	WP_011206016.1	WP_039387658.1
OG0000444	WP_011206405.1	WP_039387665.1
OG0000445	WP_011206431.1	WP_039387681.1
OG0000446	WP_011206433.1	WP_039387683.1
OG0000447	WP_014579986.1	WP_160581276.1
OG0000448	WP_044284716.1	WP_160609336.1
OG0000449	WP_011284361.1	WP_039387704.1
OG0000450	WP_044284729.1	WP_160609408.1
OG0000451	WP_014580023.1	WP_039387713.1
OG0000452	WP_011284057.1	WP_039387719.1
OG0000453	WP_011284387.1	WP_039387722.1
OG0000454	WP_011284394.1	WP_160609381.1
OG0000455	WP_011206317.1	WP_039387750.1
OG0000456	WP_011284150.1	WP_160609435.1
OG0000457	WP_011284184.1	WP_160605518.1
OG0000458	WP_011284019.1	WP_039387777.1
OG0000459	WP_011284176.1	WP_039387782.1
OG0000460	WP_318023745.1	WP_160609365.1
OG0000461	WP_011206435.1	WP_039387808.1
OG0000462	WP_011284367.1	WP_160609407.1
OG0000463	WP_011284022.1	WP_258556770.1
OG0000464	WP_052259107.1	WP_160609253.1
OG0000465	WP_014579611.1	WP_051054304.1
OG0000466	WP_232039558.1	WP_308704741.1
OG0000467	WP_148166910.1	WP_160609397.1
OG0000468	WP_011205955.1	WP_081605280.1
OG0000469	WP_237697230.1	WP_308704659.1
OG0000470	WP_011206380.1	WP_160609265.1
OG0000471	WP_011284372.1	WP_155897264.1
OG0000472	WP_011206218.1	WP_169742226.1
OG0000473	WP_044272343.1	WP_002557790.1
OG0000474	WP_237697213.1	WP_220189980.1
OG0000475	WP_011283899.1	WP_220189978.1
OG0000476	WP_011284121.1	WP_220190084.1
OG0000477	WP_044284649.1	WP_258556792.1
OG0000478	WP_044284615.1	WP_002557547.1
OG0000479	WP_237697228.1	WP_220189979.1
OG0000480	WP_011206194.1	WP_308704742.1
OG0000481	WP_232039529.1	WP_308704743.1
OG0000482	WP_228366113.1	WP_160605540.1
OG0000483	WP_011284315.1	WP_160609327.1
OG0000484	WP_233688609.1	WP_308704720.1
OG0000485	WP_228365406.1	WP_231237879.1
OG0000486	WP_011283876.1	WP_258556748.1
OG0000487	WP_011284221.1	WP_258556596.1
OG0000488	WP_011284308.1	WP_308704732.1
OG0000489	WP_269076329.1	WP_334296055.1
OG0000491	WP_011283834.1	WP_002557466.1
OG0000492	WP_011205844.1	WP_160609384.1
OG0000493	WP_011205843.1	WP_002557476.1
OG0000494	WP_011206527.1	WP_002557481.1
OG0000495	WP_011284385.1	WP_160609394.1
OG0000496	WP_011284186.1	WP_002557529.1
OG0000497	WP_011205962.1	WP_002557546.1
OG0000498	WP_044284743.1	WP_002557550.1
OG0000499	WP_044284616.1	WP_160603196.1
OG0000500	WP_044284584.1	WP_160580848.1
OG0000501	WP_011206114.1	WP_160580862.1
OG0000502	WP_052259108.1	WP_160609257.1
OG0000503	WP_011206393.1	WP_258556752.1
OG0000504	WP_011284271.1	WP_160609267.1
OG0000505	WP_011206340.1	WP_002557639.1
OG0000506	WP_011284253.1	WP_002557640.1
OG0000507	WP_011284249.1	WP_002557649.1
OG0000508	WP_044284669.1	WP_160609422.1
OG0000509	WP_148166908.1	WP_160583899.1
OG0000510	WP_193325076.1	WP_160609330.1
OG0000512	WP_011284175.1	WP_160609371.1
OG0000513	WP_011283957.1	WP_002557809.1
OG0000514	WP_011283961.1	WP_160581345.1
OG0000515	WP_044284598.1	WP_002557821.1
OG0000516	WP_011206036.1	WP_160581337.1
OG0000517	WP_011283883.1	WP_160581026.1
OG0000518	WP_044284578.1	WP_002557923.1
OG0000519	WP_011283888.1	WP_002557926.1
OG0000520	WP_011283895.1	WP_002557934.1
OG0000522	WP_044284725.1	WP_160593509.1
OG0000523	WP_044284724.1	WP_160609414.1
OG0000525	WP_011284223.1	WP_002557985.1
OG0000526	WP_011206310.1	WP_002558014.1
OG0000527	WP_011206309.1	WP_002558016.1
OG0000528	WP_011205922.1	WP_039387498.1
OG0000529	WP_011284243.1	WP_220189983.1
OG0000530	WP_011284127.1	WP_160609425.1
OG0000531	WP_011284377.1	WP_039387714.1
OG0000532	WP_011284378.1	WP_220190068.1
OG0000533	WP_014579695.1	WP_334296056.1
OG0000534	WP_011206004.1	WP_039387661.1
OG0000535	WP_011284276.1	WP_160609264.1
OG0000536	WP_011284179.1	WP_236681773.1
OG0000537	WP_011283914.1	WP_160609256.1
OG0000538	WP_160585767.1	WP_002557696.1
OG0000539	WP_011283955.1	WP_002557806.1
OG0000542	WP_011284384.1	WP_160609395.1
OG0000543	WP_011206110.1	WP_002557841.1
OG0000545	WP_011284067.1	WP_258556750.1
OG0000546	WP_011206407.1	WP_258556764.1
OG0000549	WP_237697250.1	WP_308704747.1
OG0000550	WP_011284140.1	WP_160609430.1
OG0000555	WP_014579752.1	WP_160609391.1
OG0000556	WP_011206170.1	WP_160581075.1
OG0000563	WP_020835684.1	WP_160609390.1
OG0000605	WP_011284152.1	WP_160609436.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_011284157.1
OG0000625	WP_044284652.1	WP_002557992.1
OG0000630	WP_002557993.1	WP_002557993.1
