Orthogroup	MHP_MHP699_genes	MHP_NCTC10127_genes
OG0000054	DR100_RS02740	EXC50_RS04250
OG0000055	DR100_RS01060	EXC50_RS00135
OG0000056	DR100_RS01270	EXC50_RS02375
OG0000057	DR100_RS01665	EXC50_RS01765
OG0000058	DR100_RS01565	EXC50_RS03810
OG0000059	DR100_RS04135, DR100_RS01575	EXC50_RS02510
OG0000060	DR100_RS00115	EXC50_RS04110
OG0000061	DR100_RS02060	EXC50_RS00525
OG0000062	DR100_RS01225	EXC50_RS02425
OG0000063	DR100_RS04645	EXC50_RS02420
OG0000064	DR100_RS01240	EXC50_RS02410
OG0000065	DR100_RS03025	EXC50_RS01100
OG0000066	DR100_RS00275	EXC50_RS02735
OG0000067	DR100_RS02670	EXC50_RS03560
OG0000068	DR100_RS00760	EXC50_RS03440
OG0000069	DR100_RS01775	EXC50_RS01655
OG0000070	DR100_RS02745	EXC50_RS03840, EXC50_RS01325
OG0000071	DR100_RS03100	EXC50_RS02110
OG0000072	DR100_RS04835	EXC50_RS02115
OG0000073	DR100_RS00805	EXC50_RS03380
OG0000074	DR100_RS04605	EXC50_RS03185
OG0000075	DR100_RS00505	EXC50_RS00355
OG0000076	DR100_RS00490	EXC50_RS00370
OG0000077	DR100_RS00400	EXC50_RS03640
OG0000078	DR100_RS02200	EXC50_RS00635
OG0000079	DR100_RS01910	EXC50_RS01405
OG0000080	DR100_RS04175	EXC50_RS03930
OG0000081	DR100_RS00510	EXC50_RS00350
OG0000082	DR100_RS04250, DR100_RS02290	EXC50_RS01250
OG0000083	DR100_RS02770	EXC50_RS00965
OG0000084	DR100_RS02590	EXC50_RS00990
OG0000085	DR100_RS02585	EXC50_RS00995
OG0000086	DR100_RS02575	EXC50_RS01005
OG0000087	DR100_RS02560	EXC50_RS01020
OG0000088	DR100_RS02555	EXC50_RS01025
OG0000089	DR100_RS02545	EXC50_RS01035
OG0000090	DR100_RS01120	EXC50_RS00070
OG0000091	DR100_RS01135	EXC50_RS00055
OG0000092	DR100_RS01150	EXC50_RS00040
OG0000093	DR100_RS01155	EXC50_RS00035
OG0000094	DR100_RS01160	EXC50_RS00030
OG0000095	DR100_RS01185	EXC50_RS00005
OG0000096	DR100_RS01190	EXC50_RS02460
OG0000097	DR100_RS01210	EXC50_RS02440
OG0000098	DR100_RS01220	EXC50_RS02430
OG0000099	DR100_RS03485	EXC50_RS02380
OG0000100	DR100_RS01280	EXC50_RS02365
OG0000101	DR100_RS01285	EXC50_RS02360
OG0000102	DR100_RS02175	EXC50_RS00660
OG0000103	DR100_RS02990	EXC50_RS01065
OG0000104	DR100_RS02995	EXC50_RS01070
OG0000105	DR100_RS03010	EXC50_RS01085
OG0000106	DR100_RS03020	EXC50_RS01095
OG0000107	DR100_RS03030	EXC50_RS01105
OG0000108	DR100_RS03035	EXC50_RS01110
OG0000109	DR100_RS00005	EXC50_RS01115
OG0000110	DR100_RS02280	EXC50_RS01240
OG0000111	DR100_RS02275	EXC50_RS01235
OG0000112	DR100_RS02265	EXC50_RS01225
OG0000113	DR100_RS04875	EXC50_RS01205
OG0000114	DR100_RS03465	EXC50_RS01195
OG0000115	DR100_RS03475	EXC50_RS01180
OG0000116	DR100_RS00220	EXC50_RS02790
OG0000117	DR100_RS00225	EXC50_RS02785
OG0000118	DR100_RS00260	EXC50_RS02750
OG0000119	DR100_RS00265	EXC50_RS02745
OG0000120	DR100_RS00280	EXC50_RS02730
OG0000121	DR100_RS00305	EXC50_RS02705
OG0000122	DR100_RS00310	EXC50_RS02700
OG0000123	DR100_RS00330	EXC50_RS02680
OG0000124	DR100_RS00335	EXC50_RS02675
OG0000125	DR100_RS00345	EXC50_RS02670
OG0000126	DR100_RS02315	EXC50_RS02660
OG0000127	DR100_RS02325	EXC50_RS02650
OG0000128	DR100_RS02340	EXC50_RS02635
OG0000129	DR100_RS02345	EXC50_RS02630
OG0000130	DR100_RS02355	EXC50_RS02620
OG0000131	DR100_RS02385	EXC50_RS02590
OG0000132	DR100_RS04760	EXC50_RS02575
OG0000133	DR100_RS02665	EXC50_RS03555
OG0000134	DR100_RS02660	EXC50_RS03550
OG0000135	DR100_RS02645	EXC50_RS03535
OG0000136	DR100_RS02640	EXC50_RS03530
OG0000137	DR100_RS02610	EXC50_RS03500
OG0000138	DR100_RS00735	EXC50_RS03465
OG0000139	DR100_RS00765	EXC50_RS03435
OG0000140	DR100_RS00770	EXC50_RS03430
OG0000141	DR100_RS01655	EXC50_RS01775
OG0000142	DR100_RS04720	EXC50_RS01770
OG0000143	DR100_RS01685	EXC50_RS01745
OG0000144	DR100_RS01695	EXC50_RS01735
OG0000145	DR100_RS01705	EXC50_RS01725
OG0000146	DR100_RS01715	EXC50_RS01715
OG0000147	DR100_RS01720	EXC50_RS01710
OG0000148	DR100_RS01735	EXC50_RS01695
OG0000149	DR100_RS01745	EXC50_RS01685
OG0000150	DR100_RS01760	EXC50_RS01670
OG0000151	DR100_RS03315	EXC50_RS01625
OG0000152	DR100_RS03310	EXC50_RS01620
OG0000153	DR100_RS03305	EXC50_RS01615
OG0000154	DR100_RS03295	EXC50_RS01605
OG0000155	DR100_RS02500	EXC50_RS01565
OG0000156	DR100_RS02490	EXC50_RS01555
OG0000157	DR100_RS04790	EXC50_RS01550
OG0000158	DR100_RS04785	EXC50_RS04235
OG0000159	DR100_RS02730	EXC50_RS03825
OG0000160	DR100_RS02725	EXC50_RS03820
OG0000161	DR100_RS02720	EXC50_RS03815
OG0000162	DR100_RS02710	EXC50_RS01290
OG0000163	DR100_RS02705	EXC50_RS01285
OG0000164	DR100_RS03410	EXC50_RS00550
OG0000165	DR100_RS01980	EXC50_RS00885
OG0000166	DR100_RS01960	EXC50_RS00905
OG0000167	DR100_RS02815	EXC50_RS00920
OG0000168	DR100_RS02810	EXC50_RS00925
OG0000169	DR100_RS01460	EXC50_RS01885
OG0000170	DR100_RS01475	EXC50_RS01900
OG0000171	DR100_RS01485	EXC50_RS01910
OG0000172	DR100_RS01490	EXC50_RS01915
OG0000173	DR100_RS01495	EXC50_RS01920
OG0000174	DR100_RS01500	EXC50_RS01925
OG0000175	DR100_RS01515	EXC50_RS01940
OG0000176	DR100_RS03330	EXC50_RS01990
OG0000177	DR100_RS03335	EXC50_RS01995
OG0000178	DR100_RS03340	EXC50_RS02000
OG0000179	DR100_RS03350	EXC50_RS02010
OG0000180	DR100_RS03355	EXC50_RS02015
OG0000181	DR100_RS04825	EXC50_RS02060
OG0000182	DR100_RS03060	EXC50_RS02070
OG0000183	DR100_RS03095	EXC50_RS02105
OG0000184	DR100_RS03180	EXC50_RS02150
OG0000185	DR100_RS03195	EXC50_RS02135
OG0000186	DR100_RS04765	EXC50_RS02565
OG0000187	DR100_RS02425	EXC50_RS02550
OG0000188	DR100_RS02435	EXC50_RS02540
OG0000189	DR100_RS04845	EXC50_RS01150
OG0000190	DR100_RS03230	EXC50_RS01145
OG0000191	DR100_RS03210	EXC50_RS01125
OG0000192	DR100_RS00140	EXC50_RS02870
OG0000193	DR100_RS00125	EXC50_RS02880
OG0000194	DR100_RS00790	EXC50_RS03395
OG0000195	DR100_RS00795	EXC50_RS03390
OG0000196	DR100_RS00815	EXC50_RS03370
OG0000197	DR100_RS00820	EXC50_RS03365
OG0000198	DR100_RS00835	EXC50_RS03350
OG0000199	DR100_RS00840	EXC50_RS03345
OG0000200	DR100_RS00855	EXC50_RS03330
OG0000201	DR100_RS00865	EXC50_RS03320
OG0000202	DR100_RS00920	EXC50_RS03265
OG0000203	DR100_RS00925	EXC50_RS03260
OG0000204	DR100_RS00930	EXC50_RS03255
OG0000205	DR100_RS00935	EXC50_RS03250
OG0000206	DR100_RS00955	EXC50_RS03230
OG0000207	DR100_RS00970	EXC50_RS03215
OG0000208	DR100_RS00975	EXC50_RS03210
OG0000209	DR100_RS00980	EXC50_RS03205
OG0000210	DR100_RS01025	EXC50_RS03160
OG0000211	DR100_RS02965	EXC50_RS03150
OG0000212	DR100_RS02955	EXC50_RS03140
OG0000213	DR100_RS02950	EXC50_RS03135
OG0000214	DR100_RS02945	EXC50_RS03130
OG0000215	DR100_RS02940	EXC50_RS03125
OG0000216	DR100_RS02935	EXC50_RS03120
OG0000217	DR100_RS02930	EXC50_RS03115
OG0000218	DR100_RS02920	EXC50_RS03105
OG0000219	DR100_RS02915	EXC50_RS03100
OG0000220	DR100_RS02910	EXC50_RS03095
OG0000221	DR100_RS02905	EXC50_RS03090
OG0000222	DR100_RS02900	EXC50_RS03085
OG0000223	DR100_RS02895	EXC50_RS03080
OG0000224	DR100_RS02885	EXC50_RS03070
OG0000224	DR100_RS03890	EXC50_RS03070
OG0000225	DR100_RS02875	EXC50_RS03060
OG0000226	DR100_RS02870	EXC50_RS03055
OG0000227	DR100_RS02865	EXC50_RS03050
OG0000228	DR100_RS04935	EXC50_RS03045
OG0000229	DR100_RS02855	EXC50_RS03040
OG0000230	DR100_RS02850	EXC50_RS03035
OG0000231	DR100_RS02840	EXC50_RS03025
OG0000232	DR100_RS02830	EXC50_RS03015
OG0000233	DR100_RS00010	EXC50_RS02995
OG0000234	DR100_RS00045	EXC50_RS02960
OG0000235	DR100_RS00055	EXC50_RS02950
OG0000236	DR100_RS00060	EXC50_RS02945
OG0000237	DR100_RS00065	EXC50_RS02940
OG0000238	DR100_RS00075	EXC50_RS02930
OG0000239	DR100_RS03120	EXC50_RS01785
OG0000240	DR100_RS03125	EXC50_RS01790
OG0000241	DR100_RS03135	EXC50_RS01800
OG0000242	DR100_RS03140	EXC50_RS01805
OG0000243	DR100_RS03145	EXC50_RS01810
OG0000244	DR100_RS03155	EXC50_RS01820
OG0000245	DR100_RS03165	EXC50_RS01830
OG0000246	DR100_RS01055	EXC50_RS00140
OG0000247	DR100_RS00705	EXC50_RS00150
OG0000248	DR100_RS00695	EXC50_RS00160
OG0000249	DR100_RS00690	EXC50_RS00165
OG0000250	DR100_RS00675	EXC50_RS00180
OG0000251	DR100_RS00640	EXC50_RS00215
OG0000252	DR100_RS00630	EXC50_RS00225
OG0000253	DR100_RS00625	EXC50_RS00230
OG0000254	DR100_RS00615	EXC50_RS00240
OG0000255	DR100_RS00605	EXC50_RS00250
OG0000256	DR100_RS00600	EXC50_RS00255
OG0000257	DR100_RS00575	EXC50_RS00280
OG0000258	DR100_RS00565	EXC50_RS00290
OG0000259	DR100_RS00535	EXC50_RS00320
OG0000260	DR100_RS00525	EXC50_RS00330
OG0000261	DR100_RS04575	EXC50_RS00340
OG0000262	DR100_RS00500	EXC50_RS00360
OG0000263	DR100_RS00485	EXC50_RS00375
OG0000264	DR100_RS00470	EXC50_RS00390
OG0000265	DR100_RS00460	EXC50_RS00400
OG0000266	DR100_RS00445	EXC50_RS00420
OG0000267	DR100_RS00430	EXC50_RS00435
OG0000268	DR100_RS00425	EXC50_RS03665
OG0000269	DR100_RS00410	EXC50_RS03650
OG0000270	DR100_RS04660	EXC50_RS02335
OG0000271	DR100_RS01315	EXC50_RS02330
OG0000272	DR100_RS01320	EXC50_RS02325
OG0000273	DR100_RS01325	EXC50_RS02320
OG0000274	DR100_RS01345	EXC50_RS02300
OG0000275	DR100_RS04670	EXC50_RS02295
OG0000276	DR100_RS01355	EXC50_RS02290
OG0000277	DR100_RS01365	EXC50_RS02280
OG0000278	DR100_RS01370	EXC50_RS02275
OG0000279	DR100_RS01380	EXC50_RS02265
OG0000280	DR100_RS01385	EXC50_RS02260
OG0000281	DR100_RS01390	EXC50_RS02255
OG0000282	DR100_RS04680	EXC50_RS02230
OG0000283	DR100_RS01420	EXC50_RS02225
OG0000284	DR100_RS01425	EXC50_RS02220
OG0000285	DR100_RS04685	EXC50_RS02215
OG0000286	DR100_RS02690	EXC50_RS01270
OG0000287	DR100_RS01950	EXC50_RS01365
OG0000288	DR100_RS01940	EXC50_RS01375
OG0000289	DR100_RS01935	EXC50_RS01380
OG0000290	DR100_RS01825	EXC50_RS01490
OG0000291	DR100_RS01835	EXC50_RS01480
OG0000292	DR100_RS01840	EXC50_RS01475
OG0000293	DR100_RS01845	EXC50_RS01470
OG0000294	DR100_RS01855	EXC50_RS01460
OG0000295	DR100_RS01860	EXC50_RS01455
OG0000296	DR100_RS01900	EXC50_RS01415
OG0000297	DR100_RS01905	EXC50_RS01410
OG0000298	DR100_RS00680	EXC50_RS00175
OG0000299	DR100_RS00655	EXC50_RS00200
OG0000300	DR100_RS00475	EXC50_RS00385
OG0000301	DR100_RS00440	EXC50_RS00425
OG0000302	DR100_RS00435	EXC50_RS00430
OG0000303	DR100_RS02635	EXC50_RS03525
OG0000304	DR100_RS03515	EXC50_RS03010
OG0000305	DR100_RS01710	EXC50_RS01720
OG0000306	DR100_RS01785	EXC50_RS01645
OG0000307	DR100_RS03300	EXC50_RS01610
OG0000308	DR100_RS01805	EXC50_RS01510
OG0000309	DR100_RS01870	EXC50_RS01445
OG0000310	DR100_RS01945	EXC50_RS01370
OG0000311	DR100_RS02750	EXC50_RS01330
OG0000312	DR100_RS02735	EXC50_RS01315
OG0000313	DR100_RS03420	EXC50_RS00540
OG0000314	DR100_RS01965	EXC50_RS00900
OG0000315	DR100_RS02805	EXC50_RS00930
OG0000316	DR100_RS02795	EXC50_RS00940
OG0000317	DR100_RS02550	EXC50_RS01030
OG0000318	DR100_RS04815	EXC50_RS00945
OG0000319	DR100_RS03005	EXC50_RS01080
OG0000320	DR100_RS02255	EXC50_RS01215
OG0000321	DR100_RS00255	EXC50_RS02755
OG0000322	DR100_RS00300	EXC50_RS02710
OG0000323	DR100_RS02395	EXC50_RS02580
OG0000324	DR100_RS03205	EXC50_RS01120
OG0000325	DR100_RS00800	EXC50_RS03385
OG0000326	DR100_RS00895	EXC50_RS03290
OG0000327	DR100_RS00900	EXC50_RS03285
OG0000328	DR100_RS00985	EXC50_RS03200
OG0000329	DR100_RS01005	EXC50_RS03180
OG0000330	DR100_RS00020	EXC50_RS02985
OG0000331	DR100_RS03150	EXC50_RS01815
OG0000332	DR100_RS01525	EXC50_RS01950
OG0000333	DR100_RS01535	EXC50_RS01960
OG0000334	DR100_RS03055	EXC50_RS02065
OG0000335	DR100_RS03065	EXC50_RS02075
OG0000336	DR100_RS04675	EXC50_RS02245
OG0000337	DR100_RS01235	EXC50_RS02415
OG0000338	DR100_RS01195	EXC50_RS02455
OG0000339	DR100_RS03470	EXC50_RS01185
OG0000340	DR100_RS00235	EXC50_RS02775
OG0000341	DR100_RS03225	EXC50_RS01140
OG0000342	DR100_RS00830	EXC50_RS03355
OG0000343	DR100_RS01545	EXC50_RS01970
OG0000344	DR100_RS02620	EXC50_RS03510
OG0000345	DR100_RS02880	EXC50_RS03065
OG0000346	DR100_RS01395	EXC50_RS02250
OG0000347	DR100_RS00325	EXC50_RS02685
OG0000348	DR100_RS00905	EXC50_RS03280
OG0000349	DR100_RS04665	EXC50_RS02310
OG0000350	DR100_RS03290	EXC50_RS01600
OG0000351	DR100_RS00350	EXC50_RS03590
OG0000352	DR100_RS01985	EXC50_RS00880
OG0000353	DR100_RS00295	EXC50_RS02715
OG0000354	DR100_RS00750	EXC50_RS03450
OG0000355	DR100_RS04730	EXC50_RS00850
OG0000356	DR100_RS04820	EXC50_RS00935
OG0000357	DR100_RS04705	EXC50_RS01930
OG0000358	DR100_RS01510	EXC50_RS01935
OG0000359	DR100_RS04590	EXC50_RS03310
OG0000360	DR100_RS00570	EXC50_RS00285
OG0000361	DR100_RS00540	EXC50_RS00315
OG0000362	DR100_RS01925	EXC50_RS01390
OG0000363	DR100_RS02330	EXC50_RS02645
OG0000364	DR100_RS02040	EXC50_RS03915, EXC50_RS03920
OG0000365	DR100_RS04795	EXC50_RS00975
OG0000366	DR100_RS02580	EXC50_RS01000
OG0000367	DR100_RS02570	EXC50_RS01010
OG0000368	DR100_RS01130	EXC50_RS00060
OG0000369	DR100_RS04640	EXC50_RS00025
OG0000370	DR100_RS01170	EXC50_RS00020
OG0000371	DR100_RS01175	EXC50_RS00015
OG0000372	DR100_RS01180	EXC50_RS00010
OG0000373	DR100_RS01205	EXC50_RS02445
OG0000374	DR100_RS01215	EXC50_RS02435
OG0000375	DR100_RS03000	EXC50_RS01075
OG0000376	DR100_RS02270	EXC50_RS01230
OG0000377	DR100_RS02260	EXC50_RS01220
OG0000378	DR100_RS00215	EXC50_RS02795
OG0000379	DR100_RS00290	EXC50_RS02720
OG0000380	DR100_RS00315	EXC50_RS02695
OG0000381	DR100_RS02320	EXC50_RS02655
OG0000382	DR100_RS02350	EXC50_RS02625
OG0000383	DR100_RS02390	EXC50_RS02585
OG0000384	DR100_RS02680	EXC50_RS03570
OG0000385	DR100_RS02675	EXC50_RS03565
OG0000386	DR100_RS02655	EXC50_RS03545
OG0000387	DR100_RS02630	EXC50_RS03520
OG0000388	DR100_RS04800	EXC50_RS03515
OG0000389	DR100_RS00730	EXC50_RS03470
OG0000390	DR100_RS01690	EXC50_RS01740
OG0000391	DR100_RS01700	EXC50_RS01730
OG0000392	DR100_RS01725	EXC50_RS01705
OG0000393	DR100_RS04725	EXC50_RS01650
OG0000394	DR100_RS02510	EXC50_RS01575
OG0000395	DR100_RS02505	EXC50_RS01570
OG0000396	DR100_RS02695	EXC50_RS01275
OG0000397	DR100_RS02000	EXC50_RS00865
OG0000398	DR100_RS01995	EXC50_RS00870
OG0000399	DR100_RS02820	EXC50_RS00915
OG0000400	DR100_RS01470	EXC50_RS01895
OG0000401	DR100_RS01530	EXC50_RS01955
OG0000402	DR100_RS01540	EXC50_RS01965
OG0000403	DR100_RS01550	EXC50_RS01975
OG0000404	DR100_RS03345	EXC50_RS02005
OG0000405	DR100_RS03365	EXC50_RS02020
OG0000406	DR100_RS03070	EXC50_RS02080
OG0000407	DR100_RS04830	EXC50_RS02085
OG0000408	DR100_RS03080	EXC50_RS02090
OG0000409	DR100_RS03085	EXC50_RS02095
OG0000410	DR100_RS03175	EXC50_RS02155
OG0000411	DR100_RS03185	EXC50_RS02145
OG0000412	DR100_RS03190	EXC50_RS02140
OG0000413	DR100_RS02405	EXC50_RS02570
OG0000414	DR100_RS02415	EXC50_RS02560
OG0000415	DR100_RS02420	EXC50_RS02555
OG0000416	DR100_RS02430	EXC50_RS02545
OG0000417	DR100_RS03220	EXC50_RS01135
OG0000418	DR100_RS03215	EXC50_RS01130
OG0000419	DR100_RS00810	EXC50_RS03375
OG0000420	DR100_RS00845	EXC50_RS03340
OG0000421	DR100_RS00880	EXC50_RS03305
OG0000422	DR100_RS00890	EXC50_RS03295
OG0000423	DR100_RS00945	EXC50_RS03240
OG0000424	DR100_RS00950	EXC50_RS03235
OG0000425	DR100_RS00960	EXC50_RS03225
OG0000426	DR100_RS04595	EXC50_RS03220
OG0000427	DR100_RS04600	EXC50_RS03195
OG0000428	DR100_RS01015	EXC50_RS03170
OG0000429	DR100_RS02890	EXC50_RS03075
OG0000430	DR100_RS02845	EXC50_RS03030
OG0000431	DR100_RS02835	EXC50_RS03020
OG0000432	DR100_RS00015	EXC50_RS02990
OG0000433	DR100_RS00030	EXC50_RS02975
OG0000434	DR100_RS00035	EXC50_RS02970
OG0000435	DR100_RS00050	EXC50_RS02955
OG0000436	DR100_RS00080	EXC50_RS02925
OG0000437	DR100_RS00090	EXC50_RS02915
OG0000438	DR100_RS00095	EXC50_RS02910
OG0000439	DR100_RS04550	EXC50_RS02905
OG0000440	DR100_RS03130	EXC50_RS01795
OG0000441	DR100_RS03170	EXC50_RS01835
OG0000442	DR100_RS01050	EXC50_RS00145
OG0000443	DR100_RS00660	EXC50_RS00195
OG0000444	DR100_RS00645	EXC50_RS00210
OG0000445	DR100_RS00620	EXC50_RS00235
OG0000446	DR100_RS00590	EXC50_RS00265
OG0000447	DR100_RS00585	EXC50_RS00270
OG0000448	DR100_RS00555	EXC50_RS00300
OG0000449	DR100_RS00530	EXC50_RS00325
OG0000450	DR100_RS00520	EXC50_RS00335
OG0000451	DR100_RS00480	EXC50_RS00380
OG0000452	DR100_RS00455	EXC50_RS00410
OG0000453	DR100_RS00420	EXC50_RS03660
OG0000454	DR100_RS01645	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	DR100_RS01290	EXC50_RS02355
OG0000456	DR100_RS01410	EXC50_RS02235
OG0000457	DR100_RS01435	EXC50_RS02210
OG0000458	DR100_RS01955	EXC50_RS01360
OG0000459	DR100_RS01930	EXC50_RS01385
OG0000460	DR100_RS01920	EXC50_RS01395
OG0000461	DR100_RS01875	EXC50_RS01440
OG0000462	DR100_RS01880	EXC50_RS01435
OG0000463	DR100_RS01885	EXC50_RS01430
OG0000464	DR100_RS01890	EXC50_RS01425
OG0000465	DR100_RS01895	EXC50_RS01420
OG0000466	DR100_RS00450	EXC50_RS00415
OG0000467	DR100_RS04775	EXC50_RS01520
OG0000468	DR100_RS02825	EXC50_RS00910
OG0000469	DR100_RS02765	EXC50_RS00970
OG0000470	DR100_RS03815	EXC50_RS03950
OG0000471	DR100_RS01020	EXC50_RS03165
OG0000472	DR100_RS03260	EXC50_RS02165
OG0000473	DR100_RS01305	EXC50_RS02340
OG0000474	DR100_RS01300	EXC50_RS02345
OG0000475	DR100_RS01295	EXC50_RS02350
OG0000476	DR100_RS02440	EXC50_RS02535
OG0000477	DR100_RS01850	EXC50_RS01465
OG0000478	DR100_RS01360	EXC50_RS02285
OG0000479	DR100_RS00250	EXC50_RS02760
OG0000480	DR100_RS03855	EXC50_RS03895
OG0000481	DR100_RS00915	EXC50_RS03270
OG0000482	DR100_RS00130	EXC50_RS02875
OG0000483	DR100_RS02565	EXC50_RS01015
OG0000484	DR100_RS04580	EXC50_RS00205
OG0000485	DR100_RS00085	EXC50_RS02920
OG0000486	DR100_RS03240	EXC50_RS01155
OG0000487	DR100_RS04810	EXC50_RS00950
OG0000488	DR100_RS02600	EXC50_RS00985
OG0000489	DR100_RS01140	EXC50_RS00050
OG0000490	DR100_RS01200	EXC50_RS02450
OG0000491	DR100_RS00270	EXC50_RS02740
OG0000493	DR100_RS02615	EXC50_RS03505
OG0000494	DR100_RS00755	EXC50_RS03445
OG0000495	DR100_RS01755	EXC50_RS01675
OG0000496	DR100_RS01765	EXC50_RS01665
OG0000497	DR100_RS01770	EXC50_RS01660
OG0000498	DR100_RS03270	EXC50_RS01580
OG0000499	DR100_RS02480	EXC50_RS01545
OG0000500	DR100_RS01990	EXC50_RS00875
OG0000501	DR100_RS01480	EXC50_RS01905
OG0000502	DR100_RS00120	EXC50_RS02885
OG0000503	DR100_RS00860	EXC50_RS03325
OG0000504	DR100_RS00995	EXC50_RS03190
OG0000505	DR100_RS02970	EXC50_RS03155
OG0000506	DR100_RS02960	EXC50_RS03145
OG0000507	DR100_RS02925	EXC50_RS03110
OG0000508	DR100_RS00595	EXC50_RS00260
OG0000509	DR100_RS00560	EXC50_RS00295
OG0000510	DR100_RS00550	EXC50_RS00305
OG0000511	DR100_RS00415	EXC50_RS03655
OG0000512	DR100_RS01915	EXC50_RS01400
OG0000513	DR100_RS01375	EXC50_RS02270
OG0000514	DR100_RS01730	EXC50_RS01700
OG0000515	DR100_RS04290	EXC50_RS02525
OG0000516	DR100_RS04805	EXC50_RS00955
OG0000517	DR100_RS01125	EXC50_RS00065
OG0000518	DR100_RS01520	EXC50_RS01945
OG0000519	DR100_RS00885	EXC50_RS03300
OG0000520	DR100_RS01010	EXC50_RS03175
OG0000521	DR100_RS00580	EXC50_RS00275
OG0000522	DR100_RS00545	EXC50_RS00310
OG0000523	DR100_RS01440	EXC50_RS02205
OG0000524	DR100_RS02455	EXC50_RS01515
OG0000525	DR100_RS04860	EXC50_RS02170
OG0000526	DR100_RS04195	EXC50_RS04005
OG0000527	DR100_RS04455	EXC50_RS00720
OG0000528	DR100_RS02775	EXC50_RS00960
OG0000529	DR100_RS03015	EXC50_RS01090
OG0000530	DR100_RS03460	EXC50_RS01200
OG0000531	DR100_RS00320	EXC50_RS02690
