Orthogroup	MHP_LH_proteins	MHP_111A_proteins
OG0000077	WP_233688625.1	WP_404912169.1
OG0000079	WP_233688475.1	WP_404911913.1
OG0000080	WP_233688480.1	WP_011206314.1
OG0000081	WP_233688621.1	WP_160615521.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_233688415.1	WP_011206223.1
OG0000086	WP_233688416.1	WP_404912428.1
OG0000087	WP_011206228.1	WP_404912425.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_233688592.1	WP_020835488.1
OG0000091	WP_233688590.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404912119.1
OG0000093	WP_020835484.1	WP_011205846.1
OG0000094	WP_233688588.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_404912113.1
OG0000097	WP_233688583.1	WP_404912105.1
OG0000099	WP_233688575.1	WP_404912092.1
OG0000100	WP_233688571.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_233688736.1	WP_404912445.1
OG0000103	WP_233688430.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_146379630.1
OG0000106	WP_135618884.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_404911836.1
OG0000109	WP_233688434.1	WP_146379632.1
OG0000110	WP_233688451.1	WP_020835772.1
OG0000111	WP_233688450.1	WP_020835771.1
OG0000112	WP_233688448.1	WP_404911866.1
OG0000113	WP_233688444.1	WP_404911858.1
OG0000114	WP_233688443.1	WP_404911856.1
OG0000115	WP_011206264.1	WP_011290245.1
OG0000116	WP_233688702.1	WP_404912315.1
OG0000117	WP_233688703.1	WP_160615714.1
OG0000118	WP_233688707.1	WP_404912325.1
OG0000119	WP_179696055.1	WP_160585678.1
OG0000120	WP_160600844.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_233688711.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_160606641.1
OG0000127	WP_011284040.1	WP_011290122.1
OG0000128	WP_233688714.1	WP_404912339.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_233688716.1	WP_094521635.1
OG0000132	WP_233688719.1	WP_404912347.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_233688635.1	WP_404912178.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_233688636.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_160584793.1
OG0000139	WP_179221023.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_011284289.1
OG0000143	WP_233688509.1	WP_135619026.1
OG0000144	WP_233688507.1	WP_404911973.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_233688504.1	WP_011206384.1
OG0000148	WP_233688502.1	WP_404911967.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_179696082.1	WP_020835828.1
OG0000152	WP_160606405.1	WP_020835827.1
OG0000153	WP_233688497.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_160587842.1
OG0000155	WP_233688493.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011290309.1
OG0000158	WP_275092455.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_233688466.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_014579880.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_233688464.1	WP_404911888.1
OG0000164	WP_233688726.1	WP_160601269.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_233688759.1	WP_404911786.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_233688406.1	WP_404911779.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000170	WP_233688526.1	WP_020835862.1
OG0000171	WP_011206422.1	WP_404911998.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_011206425.1
OG0000174	WP_233688528.1	WP_404912001.1
OG0000175	WP_233688530.1	WP_404912008.1
OG0000176	WP_233688535.1	WP_160607777.1
OG0000177	WP_233688536.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_020835878.1
OG0000179	WP_233688538.1	WP_160585639.1
OG0000180	WP_160600945.1	WP_160585638.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_011206468.1
OG0000185	WP_011206465.1	WP_020835897.1
OG0000186	WP_135618718.1	WP_404912349.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_233688438.1	WP_404911845.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011206251.1	WP_146379633.1
OG0000192	WP_011284001.1	WP_404912441.1
OG0000193	WP_011283999.1	WP_404912294.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_014579648.1	WP_179221025.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_233688647.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_233688653.1	WP_011290039.1
OG0000203	WP_233688654.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_146379508.1
OG0000205	WP_233688655.1	WP_160606691.1
OG0000206	WP_135618589.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_011283952.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_233688662.1	WP_146379515.1
OG0000211	WP_233688663.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_020835589.1
OG0000216	WP_233688664.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_233688666.1	WP_404912251.1
OG0000219	WP_020835591.1	WP_220190714.1
OG0000220	WP_011283968.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_404912255.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_233688667.1	WP_404912259.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_233688668.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_404912263.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_404912276.1
OG0000235	WP_233688676.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_233688687.1	WP_404912280.1
OG0000238	WP_233688688.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_404911978.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_233688513.1	WP_404911981.1
OG0000243	WP_011206404.1	WP_146379703.1
OG0000244	WP_160615603.1	WP_041361690.1
OG0000245	WP_146379707.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_404912139.1
OG0000247	WP_233688602.1	WP_404912141.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000249	WP_233688604.1	WP_160588044.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_014579544.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_233688610.1	WP_011289964.1
OG0000254	WP_020835510.1	WP_160584767.1
OG0000255	WP_044284572.1	WP_014579550.1
OG0000256	WP_011283865.1	WP_011205889.1
OG0000257	WP_233688613.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_233688617.1	WP_041361723.1
OG0000260	WP_011283879.1	WP_094521550.1
OG0000261	WP_233688620.1	WP_044272293.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_233688622.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_233688623.1	WP_020835532.1
OG0000268	WP_011283894.1	WP_179695950.1
OG0000269	WP_179695953.1	WP_011206134.1
OG0000270	WP_233688568.1	WP_404912080.1
OG0000271	WP_233688567.1	WP_404912076.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_233688565.1	WP_011290423.1
OG0000275	WP_011206497.1	WP_404912071.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_233688563.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_233688561.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_404912067.1
OG0000281	WP_011290416.1	WP_011290416.1
OG0000282	WP_011206486.1	WP_404912062.1
OG0000283	WP_044272663.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_160585585.1
OG0000285	WP_011290413.1	WP_404912060.1
OG0000286	WP_334301383.1	WP_160615969.1
OG0000287	WP_011206297.1	WP_404911902.1
OG0000288	WP_233688472.1	WP_404911904.1
OG0000289	WP_233688473.1	WP_404911906.1
OG0000290	WP_014579908.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044272553.1	WP_044272553.1
OG0000293	WP_233688482.1	WP_135618964.1
OG0000294	WP_233688481.1	WP_404911922.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_233688476.1	WP_041361673.1
OG0000297	WP_011206306.1	WP_146379664.1
OG0000298	WP_233688606.1	WP_404912146.1
OG0000299	WP_011205878.1	WP_160606529.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_146379484.1	WP_404912180.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_233688505.1	WP_020835841.1
OG0000306	WP_233688499.1	WP_044272563.1
OG0000307	WP_044272560.1	WP_160585265.1
OG0000308	WP_233688487.1	WP_404911934.1
OG0000309	WP_160600978.1	WP_146379668.1
OG0000310	WP_233688471.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_233688467.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_233688758.1	WP_404911788.1
OG0000315	WP_233688407.1	WP_014579816.1
OG0000316	WP_014579818.1	WP_404911774.1
OG0000317	WP_233688419.1	WP_404912423.1
OG0000318	WP_233688408.1	WP_404911772.1
OG0000319	WP_233688431.1	WP_404911833.1
OG0000320	WP_233688446.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_233688709.1	WP_020835642.1
OG0000323	WP_233688718.1	WP_011290127.1
OG0000324	WP_011206250.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_233688651.1	WP_404912219.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_233688658.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_020835889.1
OG0000335	WP_233688545.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_404912111.1
OG0000339	WP_233688442.1	WP_404911854.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_233688437.1	WP_011290226.1
OG0000342	WP_233688646.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_233688639.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_014579636.1
OG0000349	WP_094521522.1	WP_094521522.1
OG0000350	WP_233688496.1	WP_404911952.1
OG0000351	WP_233688626.1	WP_404912171.1
OG0000352	WP_233688755.1	WP_404911795.1
OG0000353	WP_233688708.1	WP_404912328.1
OG0000354	WP_011283917.1	WP_404912194.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_232039529.1	WP_404911776.1
OG0000357	WP_011206427.1	WP_404912003.1
OG0000358	WP_233688529.1	WP_404912004.1
OG0000359	WP_233688649.1	WP_404912214.1
OG0000360	WP_225973008.1	WP_404912153.1
OG0000361	WP_233688616.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_160600961.1
OG0000363	WP_233688761.1	WP_232039606.1
OG0000365	WP_233688412.1	WP_404912433.1
OG0000366	WP_011206224.1	WP_404912430.1
OG0000367	WP_233688417.1	WP_225973040.1
OG0000368	WP_233688591.1	WP_404912121.1
OG0000369	WP_233688587.1	WP_011205844.1
OG0000370	WP_135618444.1	WP_044272260.1
OG0000371	WP_233688586.1	WP_044272256.1
OG0000372	WP_233688585.1	WP_404912115.1
OG0000373	WP_233688584.1	WP_404912107.1
OG0000374	WP_233688582.1	WP_404912104.1
OG0000375	WP_011284163.1	WP_404911831.1
OG0000376	WP_233688449.1	WP_404911868.1
OG0000377	WP_233688447.1	WP_404911864.1
OG0000378	WP_233688701.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_233688710.1	WP_160588252.1
OG0000381	WP_233688712.1	WP_404912336.1
OG0000382	WP_233688715.1	WP_404912342.1
OG0000383	WP_233688717.1	WP_014579735.1
OG0000384	WP_334301384.1	WP_041361727.1
OG0000385	WP_233688633.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_233688637.1	WP_404912182.1
OG0000388	WP_233688638.1	WP_179221014.1
OG0000389	WP_233688643.1	WP_404912192.1
OG0000390	WP_233688508.1	WP_011290340.1
OG0000391	WP_233688506.1	WP_020835843.1
OG0000392	WP_135619016.1	WP_160607852.1
OG0000393	WP_233688500.1	WP_404911961.1
OG0000394	WP_014579921.1	WP_011290313.1
OG0000395	WP_233688494.1	WP_404911946.1
OG0000396	WP_233688463.1	WP_020835781.1
OG0000397	WP_044284644.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_020835709.1
OG0000399	WP_233688760.1	WP_404911782.1
OG0000400	WP_233688525.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_233688532.1	WP_020835872.1
OG0000403	WP_233688533.1	WP_020835873.1
OG0000404	WP_233688537.1	WP_404912014.1
OG0000405	WP_233688539.1	WP_404912460.1
OG0000406	WP_233688546.1	WP_404912025.1
OG0000407	WP_233688547.1	WP_404912027.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000413	WP_011284051.1	WP_146379568.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_233688720.1	WP_404912351.1
OG0000416	WP_233688721.1	WP_011284056.1
OG0000417	WP_233688436.1	WP_404911842.1
OG0000418	WP_233688435.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_160600868.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_233688650.1	WP_146379504.1
OG0000423	WP_233688656.1	WP_404912224.1
OG0000424	WP_233688657.1	WP_011290043.1
OG0000425	WP_011283949.1	WP_044277967.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_233688659.1	WP_135618593.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_404912257.1
OG0000430	WP_014579604.1	WP_404912265.1
OG0000431	WP_011283976.1	WP_011290067.1
OG0000432	WP_233688673.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_233688674.1	WP_020835607.1
OG0000435	WP_020835610.1	WP_404912278.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_233688689.1	WP_404912284.1
OG0000438	WP_233688690.1	WP_404912286.1
OG0000439	WP_020835619.1	WP_404912288.1
OG0000440	WP_014579953.1	WP_011290349.1
OG0000441	WP_233688514.1	WP_011284299.1
OG0000442	WP_179220985.1	WP_160607726.1
OG0000443	WP_233688608.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_160585544.1
OG0000446	WP_233688612.1	WP_348602689.1
OG0000447	WP_160600671.1	WP_014579553.1
OG0000448	WP_233688615.1	WP_011289976.1
OG0000449	WP_233688618.1	WP_348571941.1
OG0000450	WP_233688619.1	WP_160588027.1
OG0000451	WP_160606509.1	WP_160585531.1
OG0000452	WP_160584747.1	WP_011205921.1
OG0000453	WP_233688624.1	WP_011283895.1
OG0000454	WP_233688728.1	WP_404912367.1
OG0000455	WP_233688570.1	WP_404912085.1
OG0000456	WP_233688560.1	WP_011206487.1
OG0000457	WP_233688559.1	WP_404912464.1
OG0000458	WP_020835790.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_011206303.1	WP_044272549.1
OG0000461	WP_233688479.1	WP_404912452.1
OG0000462	WP_011206311.1	WP_404911917.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_233688477.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_233688489.1	WP_404911938.1
OG0000468	WP_014579812.1	WP_404911784.1
OG0000469	WP_233688411.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_044272348.1
OG0000472	WP_233688554.1	WP_404912044.1
OG0000473	WP_011206506.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000475	WP_233688569.1	WP_404912083.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_011206317.1	WP_011206317.1
OG0000478	WP_233688564.1	WP_011284367.1
OG0000479	WP_233688706.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_160600884.1	WP_044272343.1
OG0000482	WP_020835622.1	WP_404912296.1
OG0000483	WP_011206227.1	WP_347952210.1
OG0000484	WP_233688609.1	WP_135618485.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_160585249.1	WP_011290228.1
OG0000488	WP_233688414.1	WP_146379596.1
OG0000490	WP_160606487.1	WP_404912109.1
OG0000493	WP_011206114.1	WP_404912185.1
OG0000494	WP_233688644.1	WP_404912196.1
OG0000495	WP_135619008.1	WP_404911964.1
OG0000496	WP_011206375.1	WP_011290327.1
OG0000497	WP_044272567.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011284249.1	WP_020835817.1
OG0000500	WP_233688754.1	WP_404911797.1
OG0000501	WP_233688527.1	WP_404911996.1
OG0000502	WP_233688692.1	WP_404912292.1
OG0000503	WP_233688648.1	WP_404912212.1
OG0000504	WP_233688660.1	WP_011283955.1
OG0000505	WP_146379519.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_233688665.1	WP_020835590.1
OG0000509	WP_233688614.1	WP_020835518.1
OG0000510	WP_050195448.1	WP_011289977.1
OG0000511	WP_179695952.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_404911911.1
OG0000514	WP_233688503.1	WP_404911969.1
OG0000516	WP_011206214.1	WP_160607660.1
OG0000517	WP_011283834.1	WP_404912123.1
OG0000519	WP_135618573.1	WP_020835579.1
OG0000520	WP_011283957.1	WP_146379514.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_233688558.1	WP_258555910.1
OG0000524	WP_233688488.1	WP_404911936.1
OG0000525	WP_233688555.1	WP_404912046.1
OG0000526	WP_233688749.1	WP_404911812.1
OG0000527	WP_233688743.1	WP_404911823.1
OG0000528	WP_233688410.1	WP_404912437.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_011290141.1	WP_404912365.1
OG0000533	WP_011206110.1	WP_011290010.1
OG0000534	WP_011289989.1	WP_404912163.1
OG0000536	WP_233688576.1	WP_404912094.1
OG0000540	WP_233688483.1	WP_404911926.1
OG0000541	WP_233688492.1	WP_404911944.1
OG0000543	WP_233688685.1	WP_160585706.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_011290175.1	WP_404911816.1
OG0000546	WP_179696083.1	WP_404911955.1
OG0000552	WP_233688534.1	WP_044284704.1
OG0000553	WP_233688491.1	WP_347952255.1
OG0000554	WP_233688452.1	WP_404911871.1
OG0000555	WP_228366107.1	WP_308507032.1
OG0000556	WP_233688679.1	WP_404912412.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_160585755.1
OG0000563	WP_011284098.1	WP_160587877.1
OG0000564	WP_233688700.1	WP_252862181.1
OG0000565	WP_160606463.1	WP_404911804.1
OG0000566	WP_233688751.1	WP_404911808.1
OG0000567	WP_233688748.1	WP_404911814.1
OG0000568	WP_160585617.1	WP_404912204.1
OG0000569	WP_160585559.1	WP_404912299.1
OG0000570	WP_233688695.1	WP_404912300.1
OG0000571	WP_044284610.1	WP_404912302.1
OG0000572	WP_233688697.1	WP_404912308.1
OG0000573	WP_014579759.1	WP_404912382.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_233688693.1	WP_011290089.1
OG0000576	WP_011206153.1	WP_011290145.1
OG0000577	WP_233688486.1	WP_011290300.1
OG0000578	WP_233688490.1	WP_041361678.1
OG0000579	WP_233688747.1	WP_146379623.1
