Orthogroup	MHP_133A_proteins	MFC_MF29_proteins
OG0000051	WP_404924263.1	WP_160581217.1
OG0000052	WP_404924352.1	WP_002557464.1
OG0000053	WP_404924445.1	WP_220200596.1, WP_220200565.1
OG0000054	WP_404924248.1	WP_160580989.1
OG0000055	WP_146379455.1	WP_308704649.1
OG0000056	WP_404924340.1	WP_160581124.1
OG0000057	WP_404924285.1	WP_258555750.1
OG0000059	WP_404924377.1	WP_258555782.1
OG0000062	WP_011206522.1	WP_160581109.1
OG0000063	WP_041361715.1	WP_160581110.1
OG0000064	WP_348571896.1	WP_160581114.1
OG0000065	WP_225972975.1	WP_002557517.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_404924311.1	WP_160581282.1
OG0000072	WP_404924312.1	WP_160581284.1
OG0000073	WP_404912207.1	WP_039387630.1
OG0000074	WP_404924417.1	WP_308704661.1
OG0000076	WP_404924369.1	WP_160581024.1
OG0000077	WP_135618533.1	WP_160581009.1
OG0000079	WP_020835797.1	WP_160580968.1
OG0000080	WP_192894279.1	WP_196792423.1
OG0000081	WP_404924367.1	WP_308704652.1
OG0000083	WP_014579823.1	WP_160581484.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_404924208.1	WP_160581451.1
OG0000086	WP_404924209.1	WP_160581447.1
OG0000087	WP_020835732.1	WP_258555794.1
OG0000088	WP_020835733.1	WP_160581443.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_404924351.1	WP_160581085.1
OG0000091	WP_020835487.1	WP_002557468.1
OG0000092	WP_011205847.1	WP_160581094.1
OG0000093	WP_160584856.1	WP_002557472.1
OG0000094	WP_160606485.1	WP_160581096.1
OG0000095	WP_044272251.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_404924347.1	WP_160581102.1
OG0000098	WP_404924345.1	WP_160581106.1
OG0000099	WP_404924341.1	WP_160581122.1
OG0000100	WP_404924338.1	WP_160581126.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_404924487.1	WP_160581128.1
OG0000103	WP_404924223.1	WP_160581150.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_146379630.1	WP_160581154.1
OG0000106	WP_146379631.1	WP_160581158.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_308704655.1
OG0000109	WP_404924224.1	WP_002557520.1
OG0000110	WP_404924239.1	WP_160581160.1
OG0000111	WP_404924238.1	WP_220200563.1
OG0000112	WP_404924236.1	WP_160581165.1
OG0000113	WP_404924231.1	WP_002557528.1
OG0000114	WP_404923958.1	WP_258555776.1
OG0000115	WP_011290245.1	WP_002557532.1
OG0000116	WP_404924436.1	WP_160581176.1
OG0000117	WP_160590503.1	WP_160581178.1
OG0000118	WP_011290108.1	WP_160581185.1
OG0000119	WP_135618686.1	WP_160581187.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011284032.1	WP_160581194.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011290118.1	WP_160581201.1
OG0000125	WP_011205952.1	WP_160581203.1
OG0000126	WP_160585089.1	WP_160581207.1
OG0000127	WP_404924444.1	WP_160581211.1
OG0000128	WP_404924446.1	WP_160581457.1
OG0000129	WP_014579732.1	WP_160581459.1
OG0000130	WP_011284046.1	WP_002557565.1
OG0000131	WP_160588225.1	WP_002557566.1
OG0000132	WP_011205939.1	WP_160581465.1
OG0000133	WP_094521764.1	WP_002557574.1
OG0000134	WP_308507044.1	WP_160580852.1
OG0000135	WP_160585148.1	WP_002557577.1
OG0000136	WP_011206119.1	WP_160580854.1
OG0000137	WP_404924396.1	WP_002557585.1
OG0000138	WP_404924401.1	WP_160580868.1
OG0000139	WP_011290017.1	WP_160580872.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_146379698.1	WP_002557602.1
OG0000142	WP_011284289.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_160580880.1
OG0000144	WP_404924284.1	WP_160580884.1
OG0000145	WP_225972996.1	WP_160580888.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_041361684.1	WP_160580896.1
OG0000149	WP_011290331.1	WP_160580900.1
OG0000150	WP_135619006.1	WP_002557623.1
OG0000151	WP_404924277.1	WP_160580918.1
OG0000152	WP_404924276.1	WP_160580920.1
OG0000153	WP_233688497.1	WP_160580922.1
OG0000154	WP_160587842.1	WP_160580926.1
OG0000155	WP_020835820.1	WP_002557642.1
OG0000156	WP_011206335.1	WP_160580941.1
OG0000157	WP_011206334.1	WP_002557648.1
OG0000158	WP_404924268.1	WP_002557650.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_179221158.1	WP_160580992.1
OG0000161	WP_011206287.1	WP_160580994.1
OG0000162	WP_135619210.1	WP_160581406.1
OG0000163	WP_404924246.1	WP_160581408.1
OG0000164	WP_348572081.1	WP_160581414.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_160590029.1	WP_160581423.1
OG0000167	WP_011206207.1	WP_160581429.1
OG0000168	WP_404924203.1	WP_002557693.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_002557704.1
OG0000171	WP_404924298.1	WP_160581256.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_011206425.1	WP_002557708.1
OG0000174	WP_160600929.1	WP_002557709.1
OG0000175	WP_404924300.1	WP_002557712.1
OG0000176	WP_160585271.1	WP_160581268.1
OG0000177	WP_160585273.1	WP_160581270.1
OG0000178	WP_160585275.1	WP_002557721.1
OG0000179	WP_020835880.1	WP_160581274.1
OG0000180	WP_081642895.1	WP_002557725.1
OG0000181	WP_020835888.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_160585238.1	WP_160581467.1
OG0000185	WP_146379740.1	WP_002557743.1
OG0000186	WP_020835656.1	WP_160581292.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_160607686.1	WP_160581293.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_020835755.1	WP_002557761.1
OG0000192	WP_160587990.1	WP_160581299.1
OG0000193	WP_094521610.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_020835573.1	WP_160581303.1
OG0000197	WP_404924405.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_160588272.1	WP_002557781.1
OG0000201	WP_404924407.1	WP_002557783.1
OG0000202	WP_011290039.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_160581315.1
OG0000204	WP_011206071.1	WP_160581361.1
OG0000205	WP_404924414.1	WP_160581359.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_160581354.1
OG0000208	WP_011290046.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_404924418.1	WP_160581347.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011290055.1	WP_002557818.1
OG0000216	WP_014579616.1	WP_160581343.1
OG0000217	WP_404924419.1	WP_160581341.1
OG0000218	WP_011290058.1	WP_160581339.1
OG0000219	WP_011206041.1	WP_002557823.1
OG0000220	WP_020835592.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_404924420.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_020835596.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_404924421.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_011206027.1	WP_160581335.1
OG0000231	WP_011206025.1	WP_160581334.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_233688672.1	WP_160581330.1
OG0000234	WP_404924425.1	WP_318026671.1
OG0000235	WP_011290078.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_404924426.1	WP_002557855.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011290347.1	WP_002557863.1
OG0000240	WP_020835851.1	WP_002557864.1
OG0000241	WP_135619036.1	WP_002557866.1
OG0000242	WP_020835854.1	WP_160581246.1
OG0000243	WP_011290352.1	WP_002557868.1
OG0000244	WP_041361690.1	WP_002557870.1
OG0000245	WP_404924288.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_160581082.1
OG0000247	WP_404924356.1	WP_160581077.1
OG0000248	WP_146379774.1	WP_160581067.1
OG0000249	WP_404924357.1	WP_160581065.1
OG0000250	WP_011289957.1	WP_160581059.1
OG0000251	WP_347952354.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_160606527.1	WP_160581049.1
OG0000254	WP_160584767.1	WP_160581047.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011283871.1	WP_160581044.1
OG0000259	WP_404924364.1	WP_160581036.1
OG0000260	WP_404924365.1	WP_160581035.1
OG0000261	WP_404924366.1	WP_160581032.1
OG0000262	WP_135618519.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_160581022.1
OG0000264	WP_404924371.1	WP_160581017.1
OG0000265	WP_404924372.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_146379477.1	WP_160581015.1
OG0000268	WP_404924385.1	WP_160581013.1
OG0000269	WP_011206134.1	WP_002557936.1
OG0000270	WP_404924335.1	WP_160581371.1
OG0000271	WP_404924334.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_404924333.1	WP_002557948.1
OG0000274	WP_011290423.1	WP_160581375.1
OG0000275	WP_228366117.1	WP_160581377.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_160581382.1
OG0000278	WP_160588182.1	WP_160581384.1
OG0000279	WP_404924330.1	WP_002557959.1
OG0000280	WP_011206490.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_404924327.1	WP_160581388.1
OG0000283	WP_160584907.1	WP_002557965.1
OG0000284	WP_404924501.1	WP_160581390.1
OG0000285	WP_404924325.1	WP_002557967.1
OG0000286	WP_146379652.1	WP_160580983.1
OG0000287	WP_011206297.1	WP_002557978.1
OG0000288	WP_011206299.1	WP_002557980.1
OG0000289	WP_404924251.1	WP_160580975.1
OG0000290	WP_011290297.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_404924261.1	WP_160580955.1
OG0000293	WP_404924260.1	WP_002558007.1
OG0000294	WP_404924259.1	WP_160580957.1
OG0000295	WP_404924258.1	WP_160580958.1
OG0000296	WP_404924255.1	WP_160580964.1
OG0000297	WP_146379664.1	WP_160580966.1
OG0000298	WP_160606533.1	WP_160581061.1
OG0000299	WP_094521545.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_135618529.1	WP_039387501.1
OG0000302	WP_011205925.1	WP_039387504.1
OG0000303	WP_146379484.1	WP_160580856.1
OG0000304	WP_220190741.1	WP_160580864.1
OG0000305	WP_404924282.1	WP_258555751.1
OG0000306	WP_146379686.1	WP_160580911.1
OG0000307	WP_404924275.1	WP_160580924.1
OG0000308	WP_404911934.1	WP_160580950.1
OG0000309	WP_011206313.1	WP_160580960.1
OG0000310	WP_011206298.1	WP_160580977.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_041361671.1	WP_160580991.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_404924483.1	WP_039387562.1
OG0000315	WP_011290197.1	WP_160581431.1
OG0000316	WP_404924204.1	WP_160581432.1
OG0000317	WP_135618864.1	WP_160581441.1
OG0000318	WP_404924205.1	WP_160581470.1
OG0000319	WP_135618880.1	WP_308704654.1
OG0000320	WP_404924234.1	WP_160581169.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_160588227.1	WP_160581463.1
OG0000324	WP_011290222.1	WP_160581297.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_404924411.1	WP_039387636.1
OG0000327	WP_160584807.1	WP_160581309.1
OG0000328	WP_041361583.1	WP_220200580.1
OG0000329	WP_225973017.1	WP_160581352.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_146379704.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_020835889.1	WP_160581276.1
OG0000335	WP_041361699.1	WP_160581278.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_050195472.1	WP_160581112.1
OG0000338	WP_014580051.1	WP_039387723.1
OG0000339	WP_404924230.1	WP_160581172.1
OG0000340	WP_146379551.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_404924394.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_081605287.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_404924412.1	WP_308704659.1
OG0000349	WP_404924332.1	WP_155897264.1
OG0000350	WP_404924274.1	WP_220200545.1
OG0000351	WP_011206131.1	WP_220190748.1
OG0000352	WP_404924481.1	WP_220190833.1
OG0000353	WP_404924440.1	WP_308704656.1
OG0000354	WP_404924402.1	WP_220200544.1
OG0000355	WP_011206194.1	WP_231237866.1
OG0000356	WP_308507057.1	WP_308507120.1
OG0000357	WP_228366113.1	WP_002557710.1
OG0000358	WP_404924299.1	WP_160581259.1
OG0000359	WP_404924408.1	WP_308704658.1
OG0000360	WP_404924361.1	WP_231237879.1
OG0000361	WP_011289979.1	WP_258555761.1
OG0000362	WP_094521719.1	WP_255454460.1
OG0000363	WP_233417364.1	WP_334199004.1
OG0000365	WP_404924207.1	WP_160581485.1
OG0000366	WP_146379594.1	WP_160581449.1
OG0000367	WP_404924210.1	WP_160581445.1
OG0000368	WP_011289935.1	WP_160581089.1
OG0000369	WP_404924349.1	WP_308704650.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_044272256.1	WP_002557477.1
OG0000372	WP_135618439.1	WP_002557478.1
OG0000373	WP_404924348.1	WP_160581100.1
OG0000374	WP_404924346.1	WP_160581104.1
OG0000375	WP_146379628.1	WP_002557511.1
OG0000376	WP_404924237.1	WP_160581163.1
OG0000377	WP_404924235.1	WP_160581167.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_404924442.1	WP_160581196.1
OG0000381	WP_404924443.1	WP_160581209.1
OG0000382	WP_404924447.1	WP_160581461.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_404924391.1	WP_160581005.1
OG0000385	WP_044272311.1	WP_160580848.1
OG0000386	WP_011290004.1	WP_002557576.1
OG0000387	WP_404924392.1	WP_160580858.1
OG0000388	WP_404924393.1	WP_160580860.1
OG0000389	WP_020835565.1	WP_002557589.1
OG0000390	WP_011290340.1	WP_160580882.1
OG0000391	WP_404924283.1	WP_160580886.1
OG0000392	WP_404924281.1	WP_160580892.1
OG0000393	WP_404924279.1	WP_160580907.1
OG0000394	WP_011284253.1	WP_002557640.1
OG0000395	WP_404924270.1	WP_160580928.1
OG0000396	WP_020835781.1	WP_002557673.1
OG0000397	WP_011206196.1	WP_160581417.1
OG0000398	WP_146379611.1	WP_160581419.1
OG0000399	WP_348571612.1	WP_220190081.1
OG0000400	WP_243216310.1	WP_002557703.1
OG0000401	WP_404924302.1	WP_160581263.1
OG0000402	WP_404924303.1	WP_160581265.1
OG0000403	WP_404924022.1	WP_160581266.1
OG0000404	WP_146379727.1	WP_160581272.1
OG0000405	WP_160585278.1	WP_002557726.1
OG0000406	WP_404924308.1	WP_002557731.1
OG0000407	WP_404924309.1	WP_160581280.1
OG0000408	WP_404924310.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_404924318.1	WP_002557739.1
OG0000411	WP_404924317.1	WP_160581469.1
OG0000412	WP_404924316.1	WP_002557742.1
OG0000413	WP_146379568.1	WP_160581290.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_404924448.1	WP_002557752.1
OG0000416	WP_404924449.1	WP_002557754.1
OG0000417	WP_404924226.1	WP_160581295.1
OG0000418	WP_348571647.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_220200575.1
OG0000421	WP_011290034.1	WP_002557784.1
OG0000422	WP_020835580.1	WP_160581307.1
OG0000423	WP_404924415.1	WP_002557796.1
OG0000424	WP_135618587.1	WP_160581357.1
OG0000425	WP_011283949.1	WP_002557799.1
OG0000426	WP_011206064.1	WP_258555790.1
OG0000427	WP_135618593.1	WP_002557805.1
OG0000428	WP_011206054.1	WP_160581348.1
OG0000429	WP_011206036.1	WP_160581337.1
OG0000431	WP_146379524.1	WP_002557839.1
OG0000432	WP_404924424.1	WP_160581328.1
OG0000433	WP_160606761.1	WP_002557845.1
OG0000434	WP_160606763.1	WP_160581326.1
OG0000435	WP_011290077.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_020835616.1	WP_160581219.1
OG0000438	WP_404924427.1	WP_160581221.1
OG0000439	WP_404924428.1	WP_160581223.1
OG0000440	WP_020835852.1	WP_160581244.1
OG0000441	WP_404924290.1	WP_160581250.1
OG0000442	WP_404924355.1	WP_160581080.1
OG0000443	WP_044272282.1	WP_160581057.1
OG0000444	WP_011205880.1	WP_160581053.1
OG0000445	WP_404924360.1	WP_002557895.1
OG0000446	WP_135618497.1	WP_002557901.1
OG0000447	WP_044284573.1	WP_002557902.1
OG0000448	WP_404924362.1	WP_160581042.1
OG0000449	WP_348571941.1	WP_002557912.1
OG0000450	WP_404924074.1	WP_002557914.1
OG0000451	WP_404924370.1	WP_160581019.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_404924386.1	WP_160581011.1
OG0000455	WP_404924337.1	WP_160581138.1
OG0000456	WP_011206487.1	WP_160581386.1
OG0000457	WP_404924500.1	WP_160581392.1
OG0000458	WP_020835790.1	WP_002557977.1
OG0000459	WP_404924252.1	WP_160580973.1
OG0000460	WP_404924253.1	WP_002557984.1
OG0000461	WP_404924496.1	WP_160580962.1
OG0000462	WP_011206311.1	WP_002558013.1
OG0000463	WP_011206310.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_404924256.1	WP_002558017.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_404924266.1	WP_220200546.1
OG0000468	WP_404924484.1	WP_160581425.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_044272348.1	WP_039387651.1
OG0000472	WP_404924319.1	WP_160581399.1
OG0000473	WP_020835917.1	WP_039387713.1
OG0000474	WP_404924336.1	WP_160581369.1
OG0000475	WP_160584892.1	WP_220200585.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_135618962.1	WP_039387750.1
OG0000478	WP_404924331.1	WP_160581379.1
OG0000479	WP_404924439.1	WP_258555777.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_308704660.1
OG0000482	WP_404924431.1	WP_201771017.1
OG0000483	WP_404924211.1	WP_236681784.1
OG0000484	WP_404924359.1	WP_231237877.1
OG0000485	WP_020835615.1	WP_039387661.1
OG0000486	WP_011290228.1	WP_258555787.1
OG0000487	WP_404924490.1	WP_052234586.1
OG0000488	WP_020835728.1	WP_160581452.1
OG0000489	WP_404924350.1	WP_160581091.1
OG0000490	WP_011206527.1	WP_160581098.1
OG0000491	WP_160588241.1	WP_002557542.1
OG0000492	WP_146379559.1	WP_160581205.1
OG0000493	WP_404924395.1	WP_160580862.1
OG0000494	WP_404924403.1	WP_160580870.1
OG0000496	WP_011206375.1	WP_160580905.1
OG0000497	WP_014579936.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_020835817.1	WP_160580943.1
OG0000501	WP_404924297.1	WP_160581254.1
OG0000502	WP_404924430.1	WP_160581301.1
OG0000503	WP_404924406.1	WP_160581305.1
OG0000504	WP_404924485.1	WP_002557806.1
OG0000505	WP_146379519.1	WP_160581345.1
OG0000507	WP_020835590.1	WP_002557821.1
OG0000509	WP_020835518.1	WP_220190183.1
OG0000510	WP_404924363.1	WP_160581040.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_404924254.1	WP_002557985.1
OG0000513	WP_160585582.1	WP_039387707.1
OG0000514	WP_404924280.1	WP_160580894.1
OG0000517	WP_011283834.1	WP_160581087.1
OG0000518	WP_404924301.1	WP_160581261.1
OG0000519	WP_020835579.1	WP_002557785.1
OG0000522	WP_135618505.1	WP_160581038.1
OG0000523	WP_404924324.1	WP_160581394.1
OG0000524	WP_404924265.1	WP_220200547.1
OG0000525	WP_404924320.1	WP_308704662.1
OG0000530	WP_011284186.1	WP_160581171.1
OG0000533	WP_404924398.1	WP_160581332.1
OG0000534	WP_014579573.1	WP_002557926.1
OG0000536	WP_404924342.1	WP_160581120.1
OG0000541	WP_404924269.1	WP_160580939.1
OG0000551	WP_404924287.1	WP_258555783.1
OG0000555	WP_308507032.1	WP_002557605.1
OG0000584	WP_160584947.1	WP_014579687.1
OG0000585	WP_146379626.1	WP_258555775.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_404924292.1	WP_160580930.1
OG0000596	WP_014579752.1	WP_160581071.1
OG0000597	WP_404924291.1	WP_160580932.1
OG0000598	WP_404924468.1	WP_160581073.1
OG0000599	WP_011206170.1	WP_160581075.1
OG0000600	WP_160584945.1	WP_160581237.1
OG0000603	WP_135618745.1	WP_014579683.1
OG0000605	WP_404924378.1	WP_160581232.1
OG0000627	WP_404924343.1	WP_160581118.1
OG0000632	WP_011290161.1	WP_308704647.1
