Orthogroup	MHP_MHP699_proteins	MHP_112B_proteins
OG0000253	WP_160584769.1	WP_011289964.1
OG0000254	WP_160584767.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_020835520.1	WP_041361723.1
OG0000260	WP_011289982.1	WP_094521550.1
OG0000261	WP_160584760.1	WP_044272293.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_160584754.1	WP_011283885.1
OG0000264	WP_160584751.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_020835532.1
OG0000268	WP_160584745.1	WP_011289993.1
OG0000269	WP_160584741.1	WP_011206134.1
OG0000270	WP_020835916.1	WP_404912080.1
OG0000271	WP_160584898.1	WP_404913687.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_160584902.1	WP_011290423.1
OG0000275	WP_228366117.1	WP_404912071.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_094521520.1	WP_404912067.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160584906.1	WP_160590212.1
OG0000283	WP_160584907.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_160585585.1
OG0000285	WP_160584909.1	WP_404912060.1
OG0000286	WP_044272526.1	WP_160615969.1
OG0000287	WP_160585011.1	WP_404911902.1
OG0000288	WP_160585009.1	WP_404911904.1
OG0000289	WP_160585008.1	WP_020835793.1
OG0000290	WP_160584996.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044272553.1	WP_044272553.1
OG0000293	WP_160584999.1	WP_404913649.1
OG0000294	WP_160585001.1	WP_404911922.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_041361673.1	WP_041361673.1
OG0000297	WP_160585005.1	WP_146379664.1
OG0000298	WP_160584774.1	WP_404912146.1
OG0000299	WP_094521545.1	WP_160606529.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_160585146.1	WP_404912180.1
OG0000304	WP_220190741.1	WP_220190741.1
OG0000305	WP_135619020.1	WP_020835841.1
OG0000306	WP_044272563.1	WP_044272563.1
OG0000307	WP_160585265.1	WP_160585265.1
OG0000308	WP_160584992.1	WP_404911934.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_160585159.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160585015.1	WP_404911788.1
OG0000315	WP_160585171.1	WP_014579816.1
OG0000316	WP_160585167.1	WP_404911774.1
OG0000317	WP_160585126.1	WP_404912423.1
OG0000318	WP_220190711.1	WP_404911772.1
OG0000319	WP_135618880.1	WP_404913631.1
OG0000320	WP_160585076.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_160584725.1	WP_020835642.1
OG0000323	WP_041361746.1	WP_011290127.1
OG0000324	WP_094521693.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160584805.1	WP_404913712.1
OG0000327	WP_160584807.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_011206056.1
OG0000330	WP_160584670.1	WP_011206016.1
OG0000331	WP_160585235.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160585209.1	WP_020835889.1
OG0000335	WP_160585213.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011290441.1	WP_011284387.1
OG0000338	WP_160584861.1	WP_404912111.1
OG0000339	WP_160585300.1	WP_404911854.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_160585246.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160585140.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_240536364.1	WP_014579636.1
OG0000349	WP_094521522.1	WP_094521522.1
OG0000350	WP_146379684.1	WP_404911952.1
OG0000351	WP_160584739.1	WP_404912171.1
OG0000352	WP_160585020.1	WP_404911795.1
OG0000353	WP_160584724.1	WP_404912328.1
OG0000354	WP_225973014.1	WP_404912194.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308506994.1	WP_404913621.1
OG0000357	WP_011206427.1	WP_228366113.1
OG0000358	WP_160584929.1	WP_404913660.1
OG0000359	WP_308506986.1	WP_404913710.1
OG0000360	WP_225973008.1	WP_404912153.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_011290282.1	WP_160600961.1
OG0000363	WP_269076322.1	WP_404913764.1
OG0000364	WP_160585026.1	WP_404913625.1
OG0000365	WP_160585132.1	WP_404912433.1
OG0000366	WP_011206224.1	WP_404912430.1
OG0000367	WP_220190703.1	WP_225973040.1
OG0000368	WP_160584847.1	WP_404912121.1
OG0000369	WP_011289930.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_160584858.1	WP_044272256.1
OG0000372	WP_160584860.1	WP_404912115.1
OG0000373	WP_160584865.1	WP_404912107.1
OG0000374	WP_160584866.1	WP_404912104.1
OG0000375	WP_146379628.1	WP_404911831.1
OG0000376	WP_160585080.1	WP_404911868.1
OG0000377	WP_041361661.1	WP_404913636.1
OG0000378	WP_160584712.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160584727.1	WP_160588252.1
OG0000381	WP_160585091.1	WP_404913736.1
OG0000382	WP_160585097.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011290004.1
OG0000387	WP_160585144.1	WP_404913705.1
OG0000388	WP_160585142.1	WP_179221014.1
OG0000389	WP_160584791.1	WP_404912192.1
OG0000390	WP_160584967.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_160584971.1	WP_160607852.1
OG0000393	WP_160584982.1	WP_404911961.1
OG0000394	WP_160585123.1	WP_011290313.1
OG0000395	WP_160585121.1	WP_404911946.1
OG0000396	WP_160585153.1	WP_020835781.1
OG0000397	WP_160585022.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_020835709.1
OG0000399	WP_160585175.1	WP_404911782.1
OG0000400	WP_044272610.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_020835872.1	WP_020835872.1
OG0000403	WP_187145658.1	WP_404913666.1
OG0000404	WP_160585277.1	WP_404912014.1
OG0000405	WP_160585278.1	WP_404913670.1
OG0000406	WP_160585215.1	WP_404912025.1
OG0000407	WP_160585217.1	WP_404912027.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_011290400.1	WP_146379742.1
OG0000412	WP_011290399.1	WP_146379741.1
OG0000413	WP_160585101.1	WP_146379568.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_160585105.1	WP_404912351.1
OG0000416	WP_160585107.1	WP_011284056.1
OG0000417	WP_160585244.1	WP_404911842.1
OG0000418	WP_160585242.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_146379504.1	WP_146379504.1
OG0000423	WP_160584813.1	WP_404912224.1
OG0000424	WP_160584816.1	WP_011290043.1
OG0000425	WP_011206065.1	WP_044277967.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011290062.1	WP_404912257.1
OG0000430	WP_011290066.1	WP_404912265.1
OG0000431	WP_011283976.1	WP_011290067.1
OG0000432	WP_160584668.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000435	WP_160584678.1	WP_404912278.1
OG0000437	WP_160584684.1	WP_404912284.1
OG0000438	WP_160584686.1	WP_404912286.1
OG0000439	WP_160584688.1	WP_404912288.1
OG0000440	WP_160585229.1	WP_011290349.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_280996517.1	WP_160607726.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_160585544.1
OG0000446	WP_135618497.1	WP_348602689.1
OG0000447	WP_160584765.1	WP_014579553.1
OG0000448	WP_011289976.1	WP_011289976.1
OG0000449	WP_160584763.1	WP_348571941.1
OG0000450	WP_160584761.1	WP_160588027.1
OG0000451	WP_160584753.1	WP_160585531.1
OG0000452	WP_160584747.1	WP_011205921.1
OG0000453	WP_160584743.1	WP_011283895.1
OG0000454	WP_160584957.1	WP_404913738.1
OG0000455	WP_160584890.1	WP_404912085.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_160584911.1	WP_404913684.1
OG0000458	WP_020835790.1	WP_020835790.1
OG0000459	WP_160585007.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_044272549.1
OG0000461	WP_160585002.1	WP_404913647.1
OG0000462	WP_011284228.1	WP_404911917.1
OG0000463	WP_160585003.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_160585004.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_160585113.1	WP_404911938.1
OG0000468	WP_160585177.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_135618603.1	WP_044272348.1
OG0000472	WP_160585257.1	WP_404913678.1
OG0000473	WP_160584896.1	WP_020835917.1
OG0000474	WP_160584894.1	WP_041361711.1
OG0000475	WP_160584892.1	WP_404912083.1
OG0000476	WP_160585109.1	WP_011205931.1
OG0000477	WP_160585000.1	WP_011206317.1
OG0000478	WP_011284367.1	WP_011284367.1
OG0000479	WP_160584722.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_228729169.1	WP_044272343.1
OG0000482	WP_160584696.1	WP_404913728.1
OG0000483	WP_160585128.1	WP_347952210.1
OG0000484	WP_225973007.1	WP_135618485.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_160585249.1	WP_011290228.1
OG0000487	WP_220190710.1	WP_404913760.1
OG0000488	WP_011284141.1	WP_146379596.1
OG0000489	WP_160584852.1	WP_404913695.1
OG0000490	WP_160584863.1	WP_404912109.1
OG0000493	WP_160585138.1	WP_404912185.1
OG0000494	WP_052269169.1	WP_404913707.1
OG0000495	WP_135619008.1	WP_404911964.1
OG0000496	WP_160584980.1	WP_011290327.1
OG0000497	WP_011206374.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_020835817.1
OG0000500	WP_146379610.1	WP_404913623.1
OG0000501	WP_220190663.1	WP_404911996.1
OG0000502	WP_160584692.1	WP_404912292.1
OG0000503	WP_020835576.1	WP_404912212.1
OG0000504	WP_011283955.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_146379519.1
OG0000507	WP_160585191.1	WP_020835590.1
OG0000508	WP_044272682.1	WP_044272682.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_404911911.1
OG0000513	WP_041361708.1	WP_041361708.1
OG0000514	WP_160584973.1	WP_404911969.1
OG0000515	WP_258555848.1, WP_258555849.1	WP_160585031.1
OG0000516	WP_011206214.1	WP_160607660.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_160584933.1	WP_404913772.1
OG0000521	WP_020835515.1	WP_404913698.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_160584913.1	WP_258555910.1
OG0000525	WP_160585255.1	WP_404912046.1
OG0000526	WP_280996623.1	WP_404911812.1
OG0000527	WP_228365424.1	WP_404911823.1
OG0000528	WP_160585165.1	WP_404912437.1
OG0000530	WP_160585298.1	WP_011284186.1
OG0000532	WP_280996806.1	WP_404913740.1
OG0000533	WP_160584784.1	WP_011290010.1
OG0000534	WP_160584749.1	WP_404912163.1
OG0000535	WP_160584854.1	WP_020835486.1
OG0000540	WP_160584998.1	WP_404913653.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000543	WP_094521762.1	WP_160585706.1
OG0000544	WP_240536637.1	WP_308507042.1
OG0000545	WP_160585032.1	WP_404911816.1
OG0000546	WP_258555624.1	WP_404911955.1
OG0000551	WP_160585237.1	WP_404913658.1
OG0000552	WP_160584935.1	WP_044284704.1
OG0000553	WP_020835815.1	WP_347952255.1
OG0000554	WP_160585081.1	WP_404911871.1
OG0000555	WP_225972997.1	WP_308507032.1
OG0000556	WP_160584941.1	WP_404912412.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_160584701.1	WP_011205989.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_160584672.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_160585755.1
OG0000563	WP_160585033.1	WP_160587877.1
OG0000564	WP_280996375.1	WP_252862181.1
OG0000565	WP_160585027.1	WP_404911804.1
OG0000566	WP_280996618.1	WP_404911808.1
OG0000567	WP_308506990.1	WP_404911814.1
OG0000568	WP_044272325.1	WP_404912204.1
OG0000569	WP_160584703.1	WP_404912299.1
OG0000570	WP_160584704.1	WP_404912300.1
OG0000571	WP_160584706.1	WP_404912302.1
OG0000572	WP_160584708.1	WP_404912308.1
OG0000573	WP_160585052.1	WP_404912382.1
OG0000574	WP_160584716.1	WP_011284018.1
OG0000575	WP_160584699.1	WP_011290089.1
