Orthogroup	MHP_MHP650_protein	MHP_NCTC10127_protein
OG0000131	WP_011205977.1	WP_011205977.1
OG0000132	WP_160600860.1	WP_011205976.1
OG0000133	WP_160600858.1	WP_044284776.1
OG0000134	WP_258556636.1	WP_011205972.1
OG0000135	WP_135618680.1	WP_011205971.1
OG0000136	WP_011284023.1	WP_044284775.1
OG0000137	WP_160600850.1	WP_011205967.1
OG0000138	WP_160600848.1	WP_011205966.1
OG0000139	WP_160600846.1	WP_011205965.1
OG0000140	WP_160600844.1	WP_011205964.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011205959.1
OG0000143	WP_020835643.1	WP_011205958.1
OG0000144	WP_020835645.1	WP_011205956.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_160600842.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_146379560.1	WP_011205950.1
OG0000149	WP_160600838.1	WP_011205949.1
OG0000150	WP_011290122.1	WP_011205948.1
OG0000151	WP_160600836.1	WP_011205946.1
OG0000152	WP_160600834.1	WP_011205945.1
OG0000153	WP_160600832.1	WP_011205944.1
OG0000154	WP_160600830.1	WP_011205943.1
OG0000155	WP_160600828.1	WP_011284046.1
OG0000156	WP_146379566.1	WP_044284819.1
OG0000157	WP_014579735.1	WP_011205941.1
OG0000158	WP_094521636.1	WP_011205939.1
OG0000159	WP_160601065.1	WP_044284784.1
OG0000160	WP_160601069.1	WP_129640624.1
OG0000161	WP_011206123.1	WP_011206123.1
OG0000162	WP_308704761.1	WP_011206122.1
OG0000163	WP_160601071.1	WP_011206121.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_135618546.1	WP_011206119.1
OG0000166	WP_160601073.1	WP_011206117.1
OG0000167	WP_160601075.1	WP_011206116.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160601207.1	WP_011206107.1
OG0000170	WP_160584793.1	WP_011206106.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_160600792.1	WP_044284804.1
OG0000174	WP_160600791.1	WP_011206395.1
OG0000175	WP_160600789.1	WP_011206392.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_011206390.1	WP_011206390.1
OG0000178	WP_160600787.1	WP_011206389.1
OG0000179	WP_044284693.1	WP_011206388.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_160600783.1	WP_011206384.1
OG0000182	WP_011284277.1	WP_011284277.1
OG0000183	WP_160600779.1	WP_011206381.1
OG0000184	WP_011290331.1	WP_011206379.1
OG0000185	WP_160600777.1	WP_011206378.1
OG0000186	WP_011284272.1	WP_011206377.1
OG0000187	WP_160600775.1	WP_011206376.1
OG0000188	WP_160600771.1	WP_011206372.1
OG0000189	WP_160600765.1	WP_011206349.1
OG0000190	WP_160600763.1	WP_011206348.1
OG0000191	WP_160600761.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_011206345.1
OG0000193	WP_160601235.1	WP_011206338.1
OG0000194	WP_011206337.1	WP_011206337.1
OG0000195	WP_160601026.1	WP_011206336.1
OG0000196	WP_160601028.1	WP_011206335.1
OG0000197	WP_160601030.1	WP_011206334.1
OG0000198	WP_160601032.1	WP_011206332.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_044284799.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_020835662.1	WP_011206140.1
OG0000203	WP_011290137.1	WP_011206142.1
OG0000204	WP_160601269.1	WP_011206143.1
OG0000205	WP_014579804.1	WP_011206195.1
OG0000206	WP_044284644.1	WP_011206196.1
OG0000207	WP_011206197.1	WP_011206197.1
OG0000208	WP_160600898.1	WP_011206198.1
OG0000209	WP_160600902.1	WP_011206200.1
OG0000210	WP_160600910.1	WP_011206204.1
OG0000211	WP_160600914.1	WP_011206206.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160587908.1	WP_044284793.1
OG0000214	WP_135619057.1	WP_011206419.1
OG0000215	WP_050195447.1	WP_011206422.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_160600927.1	WP_011206425.1
OG0000218	WP_160600929.1	WP_011206426.1
OG0000219	WP_160600931.1	WP_011206430.1
OG0000220	WP_160600933.1	WP_011206432.1
OG0000221	WP_160600935.1	WP_088172514.1
OG0000222	WP_160600939.1	WP_011206439.1
OG0000223	WP_014579977.1	WP_011206440.1
OG0000224	WP_020835878.1	WP_011206441.1
OG0000225	WP_160600941.1	WP_011206442.1
OG0000226	WP_160600943.1	WP_011206444.1
OG0000227	WP_160600945.1	WP_011206445.1
OG0000228	WP_160600947.1	WP_081430784.1
OG0000229	WP_160601136.1	WP_020835888.1
OG0000230	WP_011206453.1	WP_011206453.1
OG0000231	WP_160601138.1	WP_088172518.1
OG0000232	WP_160601130.1	WP_011206456.1
OG0000233	WP_160601129.1	WP_011206457.1
OG0000234	WP_160601127.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160601123.1	WP_232039553.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_135619119.1	WP_011206468.1
OG0000239	WP_011206467.1	WP_011206467.1
OG0000240	WP_011290399.1	WP_088172519.1
OG0000241	WP_020835897.1	WP_011206465.1
OG0000242	WP_160601173.1	WP_011206470.1
OG0000243	WP_146379568.1	WP_011205938.1
OG0000244	WP_160601247.1	WP_011205937.1
OG0000245	WP_011284053.1	WP_011205936.1
OG0000246	WP_160601245.1	WP_011205935.1
OG0000247	WP_011284055.1	WP_011205934.1
OG0000248	WP_160601243.1	WP_011205933.1
OG0000249	WP_160601241.1	WP_011205932.1
OG0000250	WP_160601185.1	WP_011206257.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_258556689.1	WP_232039535.1
OG0000253	WP_135619204.1	WP_011206251.1
OG0000254	WP_011284001.1	WP_011205992.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_160590375.1	WP_129640614.1
OG0000257	WP_094521582.1	WP_011206096.1
OG0000258	WP_094521583.1	WP_011206095.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_011206092.1
OG0000261	WP_228729168.1	WP_011206091.1
OG0000262	WP_041361572.1	WP_011206090.1
OG0000263	WP_011283930.1	WP_011206087.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_160600868.1	WP_011206085.1
OG0000266	WP_160600870.1	WP_129640622.1
OG0000267	WP_160600872.1	WP_011206083.1
OG0000268	WP_160600874.1	WP_011283934.1
OG0000269	WP_011283936.1	WP_011206080.1
OG0000270	WP_020835579.1	WP_011206079.1
OG0000271	WP_160600878.1	WP_011206078.1
OG0000272	WP_308704756.1	WP_011206073.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_014579633.1	WP_011206071.1
OG0000275	WP_014579632.1	WP_011206070.1
OG0000276	WP_011206068.1	WP_011206068.1
OG0000277	WP_011206067.1	WP_011206067.1
OG0000278	WP_160600886.1	WP_011206066.1
OG0000279	WP_160600888.1	WP_011206065.1
OG0000280	WP_160600890.1	WP_011206064.1
OG0000281	WP_011283951.1	WP_011206063.1
OG0000282	WP_011290046.1	WP_011206062.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011283958.1	WP_011206054.1
OG0000285	WP_044284597.1	WP_011206052.1
OG0000286	WP_011206050.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_160601104.1	WP_011206047.1
OG0000291	WP_014579616.1	WP_011206045.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011206042.1	WP_011206042.1
OG0000294	WP_220200886.1	WP_011206041.1
OG0000295	WP_011206040.1	WP_011206040.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_011206037.1
OG0000299	WP_160601098.1	WP_011206033.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_011206031.1
OG0000302	WP_094521599.1	WP_011206030.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_011206027.1
OG0000305	WP_014579604.1	WP_011206026.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_011206024.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011206018.1
OG0000310	WP_160601002.1	WP_011206017.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160601000.1	WP_011206013.1
OG0000313	WP_044284822.1	WP_044284822.1
OG0000314	WP_011283987.1	WP_011206010.1
OG0000315	WP_020835611.1	WP_011206009.1
OG0000316	WP_160600997.1	WP_011206008.1
OG0000317	WP_160600995.1	WP_011206007.1
OG0000318	WP_160600993.1	WP_011206006.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_011206003.1	WP_011206003.1
OG0000321	WP_160600989.1	WP_011206002.1
OG0000322	WP_160600987.1	WP_129640616.1
OG0000323	WP_160600796.1	WP_011206399.1
OG0000324	WP_011206400.1	WP_011206400.1
OG0000325	WP_014579953.1	WP_011206401.1
OG0000326	WP_011206402.1	WP_011206402.1
OG0000327	WP_160600798.1	WP_011206403.1
OG0000328	WP_011206404.1	WP_011206404.1
OG0000329	WP_160600800.1	WP_011206406.1
OG0000330	WP_011206408.1	WP_011206408.1
OG0000331	WP_011284299.1	WP_011206409.1
OG0000332	WP_050195463.1	WP_232039502.1
OG0000333	WP_160600647.1	WP_011205868.1
OG0000334	WP_160600649.1	WP_011205869.1
OG0000335	WP_228365403.1	WP_011205870.1
OG0000336	WP_160600653.1	WP_011205873.1
OG0000337	WP_011205875.1	WP_011205875.1
OG0000338	WP_160600657.1	WP_011205877.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_011205881.1
OG0000341	WP_160600661.1	WP_011205882.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_011289964.1	WP_011205884.1
OG0000344	WP_160600663.1	WP_011205885.1
OG0000345	WP_160600665.1	WP_011205886.1
OG0000346	WP_160600667.1	WP_011205888.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_160600669.1	WP_011205890.1
OG0000349	WP_011205891.1	WP_011205891.1
OG0000350	WP_160600671.1	WP_011205892.1
OG0000351	WP_160600673.1	WP_011205893.1
OG0000352	WP_011289973.1	WP_011205894.1
OG0000353	WP_011283871.1	WP_011283871.1
OG0000354	WP_187286314.1	WP_011205896.1
OG0000355	WP_160600675.1	WP_011205897.1
OG0000356	WP_160600677.1	WP_011205898.1
OG0000357	WP_160600679.1	WP_011205899.1
OG0000358	WP_220200824.1	WP_232039509.1
OG0000359	WP_160600683.1	WP_011205902.1
OG0000360	WP_011283879.1	WP_011205903.1
OG0000361	WP_160600685.1	WP_011205904.1
OG0000362	WP_160600687.1	WP_011205905.1
OG0000363	WP_014579569.1	WP_011205909.1
OG0000364	WP_160600693.1	WP_044284772.1
OG0000365	WP_011283885.1	WP_011205912.1
OG0000366	WP_011205916.1	WP_011205916.1
OG0000367	WP_160600699.1	WP_044284579.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_044284773.1
OG0000371	WP_011283894.1	WP_011206137.1
OG0000372	WP_160601215.1	WP_011206135.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_160600804.1	WP_011206509.1
OG0000375	WP_160600753.1	WP_011206505.1
OG0000376	WP_160600751.1	WP_011206504.1
OG0000377	WP_011284373.1	WP_011206503.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220200832.1	WP_173670098.1
OG0000380	WP_160600745.1	WP_044284809.1
OG0000381	WP_308704753.1	WP_011206497.1
OG0000382	WP_160600741.1	WP_011206496.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_011206491.1
OG0000385	WP_135619140.1	WP_011206490.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160600735.1	WP_011206486.1
OG0000389	WP_160584907.1	WP_011206485.1
OG0000390	WP_014580008.1	WP_011206484.1
OG0000391	WP_160600733.1	WP_011206483.1
OG0000392	WP_160600731.1	WP_011206482.1
OG0000393	WP_146379652.1	WP_011206282.1
OG0000394	WP_011206297.1	WP_011206297.1
OG0000395	WP_160600959.1	WP_011206299.1
OG0000396	WP_020835793.1	WP_011206300.1
OG0000397	WP_160600962.1	WP_011206303.1
OG0000398	WP_135618967.1	WP_011206322.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_011206319.1	WP_011206319.1
OG0000401	WP_094521723.1	WP_129640583.1
OG0000402	WP_160600980.1	WP_011206316.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_160600976.1	WP_011206312.1
OG0000405	WP_160600974.1	WP_011206311.1
OG0000406	WP_160585762.1	WP_011206308.1
OG0000407	WP_160600968.1	WP_011206307.1
OG0000408	WP_011284225.1	WP_011206306.1
OG0000409	WP_160600655.1	WP_011205874.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_014579572.1	WP_041361533.1
OG0000412	WP_011283891.1	WP_011205924.1
OG0000413	WP_014579576.1	WP_011205925.1
OG0000414	WP_011206118.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_160600785.1	WP_011206386.1
OG0000417	WP_160600759.1	WP_011206346.1
OG0000418	WP_160601040.1	WP_129640587.1
OG0000419	WP_160601043.1	WP_011206326.1
OG0000420	WP_160600978.1	WP_011206313.1
OG0000421	WP_160600957.1	WP_011206298.1
OG0000422	WP_160600729.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160600908.1	WP_011206203.1
OG0000425	WP_011290197.1	WP_011206209.1
OG0000426	WP_160587912.1	WP_011206211.1
OG0000427	WP_160601140.1	WP_011206230.1
OG0000428	WP_014579824.1	WP_011206217.1
OG0000429	WP_220200854.1	WP_011206212.1
OG0000430	WP_146379629.1	WP_232039531.1
OG0000431	WP_160601193.1	WP_088172540.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_011205960.1
OG0000434	WP_135618712.1	WP_011205940.1
OG0000435	WP_011284172.1	WP_011206250.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_160600880.1	WP_088172534.1
OG0000438	WP_011206076.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_220200845.1	WP_011206060.1
OG0000441	WP_044284742.1	WP_011206056.1
OG0000442	WP_308704757.1	WP_011206053.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011206431.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160601134.1	WP_011206452.1
OG0000448	WP_160601132.1	WP_011206454.1
OG0000449	WP_011206488.1	WP_129640593.1
OG0000450	WP_011206492.1	WP_011206492.1
OG0000451	WP_160600755.1	WP_011206506.1
OG0000452	WP_011205931.1	WP_011205931.1
OG0000453	WP_011290441.1	WP_011206520.1
OG0000454	WP_011284394.1	WP_014580051.1
OG0000455	WP_160600982.1	WP_011206317.1
OG0000456	WP_011284150.1	WP_011206232.1
OG0000457	WP_160601221.1	WP_011206265.1
OG0000458	WP_146379551.1	WP_011205973.1
OG0000459	WP_160601183.1	WP_011206255.1
OG0000460	WP_258556639.1	WP_044284780.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011284367.1	WP_011206495.1
OG0000463	WP_160600852.1	WP_011205970.1
OG0000464	WP_160601077.1	WP_011206115.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_232039558.1
OG0000467	WP_160600810.1	WP_011206513.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_160600882.1	WP_232039585.1
OG0000470	WP_020835837.1	WP_011206380.1
OG0000471	WP_160600749.1	WP_011206501.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_160600884.1	WP_052259123.1
OG0000474	WP_160600757.1	WP_011206344.1
OG0000475	WP_240536362.1	WP_011206131.1
OG0000476	WP_160600900.1	WP_011206199.1
OG0000477	WP_160601144.1	WP_011206227.1
OG0000478	WP_160584724.1	WP_044284774.1
OG0000479	WP_258556697.1	WP_232039591.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_308507057.1	WP_232039529.1
OG0000482	WP_228366113.1	WP_228366113.1
OG0000483	WP_135619062.1	WP_011206428.1
OG0000484	WP_308704752.1	WP_232039506.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_160600681.1	WP_011205900.1
OG0000487	WP_160600961.1	WP_011206302.1
OG0000488	WP_160600923.1	WP_011206418.1
OG0000489	WP_308704679.1	WP_318023859.1
OG0000491	WP_160585773.1	WP_011283834.1
OG0000492	WP_160588112.1	WP_011205844.1
OG0000493	WP_160588110.1	WP_011205843.1
OG0000494	WP_146379773.1	WP_011206527.1
OG0000496	WP_160601225.1	WP_011284186.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160588252.1	WP_011205957.1
OG0000499	WP_160600840.1	WP_011205951.1
OG0000500	WP_160601067.1	WP_011206125.1
OG0000501	WP_011206114.1	WP_011206114.1
OG0000502	WP_052259108.1	WP_052259117.1
OG0000503	WP_011206393.1	WP_011206393.1
OG0000504	WP_160600773.1	WP_011206375.1
OG0000505	WP_011206340.1	WP_011206340.1
OG0000506	WP_014579921.1	WP_011206339.1
OG0000507	WP_011206333.1	WP_011206333.1
OG0000508	WP_020835781.1	WP_011206283.1
OG0000509	WP_220200859.1	WP_011206421.1
OG0000510	WP_220200860.1	WP_011206436.1
OG0000511	WP_160601161.1	WP_129640628.1, WP_129640559.1
OG0000512	WP_160601181.1	WP_011206253.1
OG0000514	WP_160601106.1	WP_011206051.1
OG0000515	WP_160601102.1	WP_011206043.1
OG0000516	WP_160601100.1	WP_011206036.1
OG0000517	WP_160600691.1	WP_044284771.1
OG0000518	WP_160600695.1	WP_011205913.1
OG0000519	WP_160600697.1	WP_011205917.1
OG0000520	WP_160600701.1	WP_129640626.1
OG0000521	WP_160601169.1	WP_044284787.1
OG0000522	WP_160601209.1	WP_011206480.1
OG0000523	WP_160590224.1	WP_011206479.1
OG0000524	WP_014579890.1	WP_011206301.1
OG0000525	WP_160600964.1	WP_011206304.1
OG0000526	WP_160600972.1	WP_011206310.1
OG0000527	WP_160600970.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_160601041.1	WP_129640585.1
OG0000530	WP_160600912.1	WP_011206205.1
OG0000531	WP_011284377.1	WP_011206507.1
OG0000533	WP_094521611.1	WP_129640612.1
OG0000534	WP_160600991.1	WP_011206004.1
OG0000535	WP_160600781.1	WP_011206382.1
OG0000536	WP_160601187.1	WP_011206258.1
OG0000537	WP_160601231.1	WP_011206108.1
OG0000538	WP_160601116.1	WP_011206235.1
OG0000539	WP_160600892.1	WP_011283955.1
OG0000540	WP_160601177.1	WP_011206472.1
OG0000541	WP_160601091.1, WP_160601093.1	WP_011206355.1
OG0000542	WP_160600814.1	WP_129640595.1
OG0000543	WP_011206110.1	WP_011206110.1
OG0000545	WP_258556706.1	WP_011206148.1
OG0000547	WP_160601167.1	WP_044284843.1
OG0000547	WP_160585706.1	WP_129640561.1
OG0000548	WP_160600983.1	WP_011206321.1
OG0000549	WP_160601117.1	WP_129640571.1
OG0000550	WP_160600919.1	WP_129640569.1
OG0000551	WP_258556703.1	WP_011205929.1
OG0000553	WP_160601229.1	WP_011206269.1
OG0000557	WP_014579530.1	WP_011205863.1
OG0000558	WP_160601203.1	WP_011206277.1
OG0000559	WP_160601038.1	WP_011206330.1
OG0000560	WP_258556622.1	WP_011206350.1
OG0000561	WP_160600937.1	WP_011206437.1
OG0000562	WP_258556704.1	WP_232039577.1
OG0000564	WP_160601159.1	WP_228365397.1
OG0000565	WP_160601191.1	WP_011205860.1
OG0000566	WP_160590473.1	WP_011205861.1
OG0000567	WP_160601081.1	WP_011205982.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_308704762.1	WP_011205984.1
OG0000570	WP_044284610.1	WP_011205986.1
OG0000571	WP_160601083.1	WP_011205987.1
OG0000572	WP_160601085.1	WP_011205988.1
OG0000573	WP_160601087.1	WP_011205989.1
OG0000574	WP_011284002.1	WP_011205991.1
OG0000575	WP_011206015.1	WP_011206015.1
OG0000576	WP_011206097.1	WP_011206097.1
OG0000577	WP_011290145.1	WP_011206153.1
OG0000578	WP_160601006.1	WP_011206154.1
OG0000579	WP_160601008.1	WP_011206155.1
OG0000580	WP_160601012.1	WP_011206158.1
OG0000581	WP_160601014.1	WP_011206160.1
OG0000582	WP_014579758.1	WP_011206161.1
OG0000583	WP_014579786.1	WP_011206180.1
