Orthogroup	MHP_MHP650_protein	MHP_UFV01_protein
OG0000463	WP_160600852.1	WP_243216050.1
OG0000464	WP_160601077.1	WP_243215977.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_232039558.1	WP_041361706.1
OG0000467	WP_160600810.1	WP_243215894.1
OG0000468	WP_011205955.1	WP_243216053.1
OG0000469	WP_160600882.1	WP_160600882.1
OG0000470	WP_020835837.1	WP_243216293.1
OG0000471	WP_160600749.1	WP_243215882.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_160600884.1	WP_160600884.1
OG0000474	WP_160600757.1	WP_228366105.1
OG0000475	WP_240536362.1	WP_233688626.1
OG0000476	WP_160600900.1	WP_243216148.1
OG0000477	WP_160601144.1	WP_011206227.1
OG0000478	WP_160584724.1	WP_044284615.1
OG0000479	WP_258556697.1	WP_237697228.1
OG0000480	WP_011206194.1	WP_243216143.1
OG0000481	WP_308507057.1	WP_243216155.1
OG0000482	WP_228366113.1	WP_228366113.1
OG0000483	WP_135619062.1	WP_243216314.1
OG0000484	WP_308704752.1	WP_233688609.1
OG0000485	WP_225973008.1	WP_228365406.1
OG0000486	WP_160600681.1	WP_243215944.1
OG0000487	WP_160600961.1	WP_011206302.1
OG0000488	WP_160600923.1	WP_011290363.1
OG0000489	WP_308704679.1	WP_269076322.1
OG0000491	WP_160585773.1	WP_011283834.1
OG0000492	WP_160588112.1	WP_243215913.1
OG0000493	WP_160588110.1	WP_135618444.1
OG0000494	WP_146379773.1	WP_243215902.1
OG0000496	WP_160601225.1	WP_011284186.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160588252.1	WP_233688710.1
OG0000499	WP_160600840.1	WP_160607802.1
OG0000500	WP_160601067.1	WP_243215971.1
OG0000501	WP_011206114.1	WP_243215978.1
OG0000502	WP_052259108.1	WP_052259108.1
OG0000503	WP_011206393.1	WP_228366107.1
OG0000504	WP_160600773.1	WP_011284271.1
OG0000505	WP_011206340.1	WP_011290314.1
OG0000506	WP_014579921.1	WP_011290313.1
OG0000507	WP_011206333.1	WP_011206333.1
OG0000508	WP_020835781.1	WP_160585153.1
OG0000510	WP_220200860.1	WP_243216321.1
OG0000512	WP_160601181.1	WP_243216192.1
OG0000514	WP_160601106.1	WP_011290053.1
OG0000515	WP_160601102.1	WP_020835590.1
OG0000516	WP_160601100.1	WP_011206036.1
OG0000517	WP_160600691.1	WP_044284771.1
OG0000518	WP_160600695.1	WP_243215959.1
OG0000519	WP_160600697.1	WP_160600697.1
OG0000520	WP_160600701.1	WP_243215963.1
OG0000522	WP_160601209.1	WP_179221251.1
OG0000523	WP_160590224.1	WP_243215862.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_160600964.1	WP_011206304.1
OG0000526	WP_160600972.1	WP_011206310.1
OG0000527	WP_160600970.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_160601041.1	WP_243216266.1
OG0000530	WP_160600912.1	WP_243216151.1
OG0000531	WP_011284377.1	WP_011284377.1
OG0000533	WP_094521611.1	WP_014579695.1
OG0000534	WP_160600991.1	WP_243216018.1
OG0000535	WP_160600781.1	WP_243216299.1
OG0000536	WP_160601187.1	WP_243216198.1
OG0000537	WP_160601231.1	WP_243215981.1
OG0000538	WP_160601116.1	WP_081430767.1
OG0000539	WP_160600892.1	WP_088764595.1
OG0000540	WP_160601177.1	WP_243215854.1
OG0000541	WP_160601091.1, WP_160601093.1	WP_243216113.1
OG0000542	WP_160600814.1	WP_243215896.1
OG0000543	WP_011206110.1	WP_179221017.1
OG0000544	WP_308704763.1	WP_243216347.1
OG0000545	WP_258556706.1	WP_243216074.1
OG0000548	WP_160600983.1	WP_243216257.1
OG0000549	WP_160601117.1	WP_243216234.1
OG0000550	WP_160600919.1	WP_243216231.1
OG0000551	WP_258556703.1	WP_243216067.1
OG0000552	WP_258556669.1, WP_258556667.1	WP_243216121.1
OG0000553	WP_160601229.1	WP_243216203.1
OG0000554	WP_258556670.1	WP_243216125.1
OG0000557	WP_014579530.1	WP_011205863.1
OG0000558	WP_160601203.1	WP_243216210.1
OG0000559	WP_160601038.1	WP_243216271.1
OG0000560	WP_258556622.1	WP_020835829.1
OG0000561	WP_160600937.1	WP_243216323.1
OG0000562	WP_258556704.1	WP_243216069.1, WP_243216068.1
OG0000564	WP_160601159.1	WP_011290233.1
OG0000565	WP_160601191.1	WP_233688595.1
OG0000566	WP_160590473.1	WP_243215923.1
OG0000567	WP_160601081.1	WP_243216038.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_308704762.1	WP_243216036.1
OG0000570	WP_044284610.1	WP_243216034.1
OG0000571	WP_160601083.1	WP_014579701.1
OG0000572	WP_160601085.1	WP_243216033.1
OG0000573	WP_160601087.1	WP_243216031.1
OG0000574	WP_011284002.1	WP_243216030.1
OG0000575	WP_011206015.1	WP_243216012.1
OG0000576	WP_011206097.1	WP_243215991.1
OG0000577	WP_011290145.1	WP_011290145.1
OG0000578	WP_160601006.1	WP_243216081.1
OG0000579	WP_160601008.1	WP_243216083.1
OG0000580	WP_160601012.1	WP_243216090.1
OG0000581	WP_160601014.1	WP_243216093.1
OG0000582	WP_014579758.1	WP_011206161.1
OG0000583	WP_014579786.1	WP_014579786.1
