Orthogroup	MHP_116_proteins	MHP_11_proteins
OG0000171	WP_348602609.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160588049.1	WP_011206425.1
OG0000174	WP_348602610.1	WP_011206426.1
OG0000175	WP_160585645.1	WP_011206429.1
OG0000176	WP_348602616.1	WP_011206439.1
OG0000177	WP_160606697.1	WP_011206440.1
OG0000178	WP_348602617.1	WP_011206441.1
OG0000179	WP_014579979.1	WP_011206444.1
OG0000180	WP_011206445.1	WP_011206445.1
OG0000181	WP_348602622.1	WP_020835888.1
OG0000182	WP_014579987.1	WP_011206453.1
OG0000183	WP_348571845.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_146379740.1	WP_011206465.1
OG0000186	WP_135618718.1	WP_011205937.1
OG0000187	WP_011284055.1	WP_011205934.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_348602521.1	WP_011206257.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_348602517.1	WP_011206251.1
OG0000192	WP_348602857.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011206096.1
OG0000195	WP_011283924.1	WP_011206095.1
OG0000196	WP_228729168.1	WP_011206091.1
OG0000197	WP_348602746.1	WP_011206090.1
OG0000198	WP_011283930.1	WP_011206087.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_011206084.1
OG0000201	WP_011283934.1	WP_044284824.1
OG0000202	WP_348602735.1	WP_011206073.1
OG0000203	WP_348602734.1	WP_088172533.1
OG0000204	WP_348602733.1	WP_011206071.1
OG0000205	WP_348602732.1	WP_011206070.1
OG0000206	WP_135618589.1	WP_011206066.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_348602727.1	WP_011206062.1
OG0000209	WP_348602726.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_011206052.1
OG0000211	WP_011290054.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011206046.1
OG0000216	WP_348602720.1	WP_011206045.1
OG0000217	WP_348602719.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_011206042.1
OG0000219	WP_011206041.1	WP_011206041.1
OG0000220	WP_160590391.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_011206037.1	WP_011206037.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_011206033.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_348602718.1	WP_011206031.1
OG0000228	WP_348602717.1	WP_011206030.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_348602716.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011206018.1
OG0000234	WP_348602756.1	WP_044284822.1
OG0000235	WP_348602758.1	WP_011206009.1
OG0000236	WP_011283989.1	WP_011206008.1
OG0000237	WP_348572018.1	WP_011206007.1
OG0000238	WP_348572020.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_160585231.1	WP_011206402.1
OG0000242	WP_348602595.1	WP_011206403.1
OG0000243	WP_348602596.1	WP_011206404.1
OG0000244	WP_348602597.1	WP_011206406.1
OG0000245	WP_348602599.1	WP_011206408.1
OG0000246	WP_050195463.1	WP_232039502.1
OG0000247	WP_348602680.1	WP_011205869.1
OG0000248	WP_348602866.1	WP_011205871.1
OG0000249	WP_348602681.1	WP_011205872.1
OG0000250	WP_011289957.1	WP_011205875.1
OG0000251	WP_318023737.1	WP_011205881.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_011205884.1
OG0000254	WP_348602687.1	WP_011205886.1
OG0000255	WP_014579550.1	WP_011205888.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_348602690.1	WP_011205894.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_020835520.1	WP_232039509.1
OG0000260	WP_348602694.1	WP_011205903.1
OG0000261	WP_348602696.1	WP_011205905.1
OG0000262	WP_041361531.1	WP_011205909.1
OG0000263	WP_348602697.1	WP_011205912.1
OG0000264	WP_011283887.1	WP_011205916.1
OG0000265	WP_348602699.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_044284773.1
OG0000268	WP_179695950.1	WP_011206137.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_348602648.1	WP_011206505.1
OG0000271	WP_348602647.1	WP_011206504.1
OG0000272	WP_348602646.1	WP_011206503.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_348602643.1	WP_044284809.1
OG0000275	WP_228366117.1	WP_238374142.1
OG0000276	WP_011290421.1	WP_011206496.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011206491.1
OG0000280	WP_011206490.1	WP_011206490.1
OG0000281	WP_011290416.1	WP_014580012.1
OG0000282	WP_348602640.1	WP_011206486.1
OG0000283	WP_160584907.1	WP_011206485.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_348602639.1	WP_011206483.1
OG0000286	WP_044272526.1	WP_011206282.1
OG0000287	WP_348602546.1	WP_011206297.1
OG0000288	WP_348602548.1	WP_011206299.1
OG0000289	WP_348602549.1	WP_011206300.1
OG0000290	WP_011290297.1	WP_011206322.1
OG0000291	WP_348602563.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_011206319.1
OG0000293	WP_348602562.1	WP_011206318.1
OG0000294	WP_348602561.1	WP_011206316.1
OG0000295	WP_160590135.1	WP_011206315.1
OG0000296	WP_348602554.1	WP_011206307.1
OG0000297	WP_011206306.1	WP_011206306.1
OG0000298	WP_348602683.1	WP_011205874.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011205924.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_348602709.1	WP_011206118.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_348602589.1	WP_011206386.1
OG0000306	WP_044272563.1	WP_011206354.1
OG0000307	WP_348602578.1	WP_011206346.1
OG0000308	WP_020835811.1	WP_011206326.1
OG0000309	WP_348602559.1	WP_011206313.1
OG0000310	WP_348602547.1	WP_011206298.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_348602540.1	WP_011206290.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_348602849.1	WP_011206203.1
OG0000315	WP_011290197.1	WP_011206209.1
OG0000316	WP_348571614.1	WP_011206211.1
OG0000317	WP_160585126.1	WP_011206230.1
OG0000318	WP_348602854.1	WP_011206212.1
OG0000319	WP_135618880.1	WP_011206241.1
OG0000320	WP_348602530.1	WP_088172540.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_011205960.1
OG0000323	WP_179696045.1	WP_011205940.1
OG0000324	WP_348602516.1	WP_011206250.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_348602739.1	WP_088172534.1
OG0000327	WP_348602738.1	WP_011206076.1
OG0000328	WP_348602725.1	WP_011206060.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011206431.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_348602623.1	WP_011206452.1
OG0000335	WP_348602624.1	WP_011206454.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011206520.1
OG0000338	WP_014580051.1	WP_014580051.1
OG0000339	WP_348602526.1	WP_011206265.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_348602520.1	WP_011206255.1
OG0000342	WP_348602744.1	WP_044284780.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_348602712.1	WP_011206115.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_241499459.1
OG0000348	WP_348602737.1	WP_232039585.1
OG0000349	WP_348602645.1	WP_011206501.1
OG0000350	WP_348602577.1	WP_044284839.1
OG0000351	WP_308704698.1	WP_011206131.1
OG0000352	WP_348602845.1	WP_011206199.1
OG0000353	WP_348602787.1	WP_044284774.1
OG0000354	WP_348602750.1	WP_232039591.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_232039529.1
OG0000357	WP_228366113.1	WP_228366113.1
OG0000358	WP_348602611.1	WP_011206428.1
OG0000359	WP_348602741.1	WP_241499460.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_348602692.1	WP_011205900.1
OG0000362	WP_348602551.1	WP_011206302.1
OG0000363	WP_348572138.1	WP_318023859.1
OG0000364	WP_348602839.1	WP_011206191.1
OG0000365	WP_160606601.1	WP_011206219.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_348602500.1	WP_044284794.1
OG0000368	WP_011289935.1	WP_011205851.1
OG0000369	WP_160588112.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_011205843.1
OG0000371	WP_348602666.1	WP_011205842.1
OG0000372	WP_348571907.1	WP_011205841.1
OG0000373	WP_348602665.1	WP_011206526.1
OG0000374	WP_348571901.1	WP_011206524.1
OG0000375	WP_135618878.1	WP_011206240.1
OG0000376	WP_348602532.1	WP_011206273.1
OG0000377	WP_011206271.1	WP_011206271.1
OG0000378	WP_348602776.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_348602790.1	WP_088172537.1
OG0000381	WP_348602793.1	WP_011205949.1
OG0000382	WP_348602796.1	WP_011205943.1
OG0000383	WP_014579735.1	WP_011205941.1
OG0000384	WP_041361727.1	WP_044284784.1
OG0000385	WP_348602705.1	WP_011206125.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_348602710.1	WP_011206117.1
OG0000388	WP_348602711.1	WP_011206116.1
OG0000389	WP_348602751.1	WP_011206107.1
OG0000390	WP_011284284.1	WP_011206390.1
OG0000391	WP_020835843.1	WP_011206388.1
OG0000392	WP_348602588.1	WP_011206383.1
OG0000393	WP_348602583.1	WP_088172512.1
OG0000394	WP_160585688.1	WP_011206339.1
OG0000395	WP_348602574.1	WP_011206338.1
OG0000396	WP_348571728.1	WP_011206283.1
OG0000397	WP_348602842.1	WP_011206196.1
OG0000398	WP_348602843.1	WP_011206197.1
OG0000399	WP_348602851.1	WP_011206206.1
OG0000400	WP_348602607.1	WP_011206419.1
OG0000401	WP_135619070.1	WP_011206432.1
OG0000402	WP_348602613.1	WP_088172514.1
OG0000403	WP_348602614.1	WP_011206436.1
OG0000404	WP_348602618.1	WP_011206442.1
OG0000405	WP_011290381.1	WP_081430784.1
OG0000406	WP_348602625.1	WP_088172518.1
OG0000407	WP_348602626.1	WP_011206456.1
OG0000408	WP_348602627.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_011206467.1
OG0000412	WP_011290399.1	WP_088172519.1
OG0000413	WP_146379568.1	WP_011205938.1
OG0000414	WP_348602797.1	WP_011205936.1
OG0000415	WP_348602798.1	WP_011205935.1
OG0000416	WP_011284056.1	WP_011205933.1
OG0000417	WP_348602519.1	WP_011206253.1
OG0000418	WP_348602518.1	WP_232039535.1
OG0000419	WP_020835572.1	WP_011206092.1
OG0000420	WP_348602743.1	WP_011206085.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_348602740.1	WP_011206078.1
OG0000423	WP_348602731.1	WP_011206068.1
OG0000424	WP_348602730.1	WP_011206067.1
OG0000425	WP_348602729.1	WP_011206065.1
OG0000426	WP_348602728.1	WP_011206064.1
OG0000427	WP_348602724.1	WP_011206059.1
OG0000428	WP_348602721.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_050195474.1	WP_011206026.1
OG0000431	WP_348602715.1	WP_011206024.1
OG0000432	WP_348602755.1	WP_011206017.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_011206013.1
OG0000435	WP_348602757.1	WP_011206010.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_011206003.1
OG0000438	WP_348602759.1	WP_011206002.1
OG0000439	WP_044272377.1	WP_011206001.1
OG0000440	WP_348602594.1	WP_011206401.1
OG0000441	WP_348602600.1	WP_011206409.1
OG0000442	WP_348602679.1	WP_011205868.1
OG0000443	WP_348602685.1	WP_011205877.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_011205885.1
OG0000446	WP_348602689.1	WP_011205891.1
OG0000447	WP_014579553.1	WP_011205892.1
OG0000448	WP_011289976.1	WP_011205897.1
OG0000449	WP_348602693.1	WP_011205902.1
OG0000450	WP_348602695.1	WP_011205904.1
OG0000451	WP_094521553.1	WP_011205913.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_348602700.1	WP_011206136.1
OG0000454	WP_225973031.1	WP_011206370.1
OG0000455	WP_348602652.1	WP_011206509.1
OG0000456	WP_348602641.1	WP_011206487.1
OG0000457	WP_348602638.1	WP_011206482.1
OG0000458	WP_348602545.1	WP_011206296.1
OG0000459	WP_348602550.1	WP_011206301.1
OG0000460	WP_348602552.1	WP_011206303.1
OG0000461	WP_348602558.1	WP_011206312.1
OG0000462	WP_348602557.1	WP_011206311.1
OG0000463	WP_348602556.1	WP_011206310.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000465	WP_348602555.1	WP_011206308.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_348602567.1	WP_011206328.1
OG0000468	WP_160585598.1	WP_011206205.1
OG0000469	WP_014579824.1	WP_011206217.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_348571977.1	WP_011206053.1
OG0000472	WP_348602633.1	WP_011206471.1
OG0000473	WP_348602649.1	WP_011206506.1
OG0000474	WP_348602650.1	WP_011206507.1
OG0000475	WP_348602651.1	WP_011206508.1
OG0000476	WP_014579742.1	WP_011205931.1
OG0000477	WP_348571773.1	WP_011206317.1
OG0000478	WP_146379753.1	WP_011206495.1
OG0000479	WP_348602782.1	WP_011205970.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_348602736.1	WP_052259123.1
OG0000482	WP_348572032.1	WP_088172530.1
OG0000483	WP_348602501.1	WP_011206227.1
OG0000484	WP_348602686.1	WP_228365405.1
OG0000485	WP_011206004.1	WP_011206004.1
OG0000486	WP_348602522.1	WP_011206258.1
OG0000487	WP_348602855.1	WP_220200502.1
OG0000488	WP_348571630.1	WP_011206221.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_011206527.1	WP_011206527.1
OG0000491	WP_348602784.1	WP_011205966.1
OG0000492	WP_348602792.1	WP_011205951.1
OG0000493	WP_348571965.1	WP_011206114.1
OG0000494	WP_052269169.1	WP_052259117.1
OG0000495	WP_011284272.1	WP_011206377.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_160585682.1	WP_011206374.1
OG0000498	WP_011290314.1	WP_011206340.1
OG0000499	WP_011206333.1	WP_011206333.1
OG0000500	WP_348602844.1	WP_011206198.1
OG0000501	WP_348602608.1	WP_011206421.1
OG0000502	WP_348602764.1	WP_011205996.1
OG0000503	WP_348602742.1	WP_011206083.1
OG0000504	WP_348602723.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_011206051.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160585191.1	WP_011206043.1
OG0000508	WP_348602688.1	WP_011205890.1
OG0000509	WP_020835518.1	WP_011205896.1
OG0000510	WP_011289977.1	WP_011205898.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_011206304.1	WP_011206304.1
OG0000513	WP_348602642.1	WP_011206492.1
OG0000514	WP_348602587.1	WP_011206382.1
OG0000516	WP_011206214.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_348602612.1	WP_011206430.1
OG0000519	WP_160584803.1	WP_011206079.1
OG0000520	WP_011283957.1	WP_011206055.1
OG0000521	WP_020835515.1	WP_011205893.1
OG0000522	WP_348602691.1	WP_011205899.1
OG0000523	WP_348602637.1	WP_044284849.1
OG0000524	WP_348602566.1	WP_088172548.1
OG0000525	WP_348602634.1	WP_011206472.1
OG0000526	WP_348602829.1	WP_232039525.1
OG0000527	WP_348602820.1	WP_011206174.1
OG0000528	WP_348602497.1	WP_011206215.1
OG0000529	WP_348602513.1	WP_011206243.1
OG0000530	WP_011290248.1	WP_011284186.1
OG0000531	WP_020835645.1	WP_011205956.1
OG0000532	WP_348602803.1	WP_011206148.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_348602698.1	WP_011205917.1
OG0000535	WP_011205848.1	WP_011205848.1
OG0000536	WP_348602655.1	WP_011206515.1
OG0000537	WP_011206089.1	WP_011206089.1
OG0000538	WP_020835608.1	WP_011206012.1
OG0000539	WP_160585545.1	WP_011205882.1
OG0000540	WP_348602564.1	WP_011206321.1
OG0000542	WP_011289986.1	WP_044284771.1
OG0000544	WP_348602770.1	WP_014579703.1
OG0000545	WP_348602827.1	WP_011206184.1
OG0000546	WP_011206350.1	WP_011206350.1
OG0000547	WP_233688510.1	WP_011206392.1
OG0000548	WP_160606621.1	WP_011206140.1
OG0000549	WP_348602632.1	WP_011206470.1
OG0000550	WP_348602644.1	WP_173670098.1
OG0000551	WP_348602598.1	WP_011206407.1
OG0000552	WP_348602615.1	WP_011206437.1
OG0000553	WP_348602569.1	WP_011206330.1
OG0000554	WP_348602534.1	WP_011206277.1
OG0000555	WP_179221196.1	WP_011206393.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_348602767.1	WP_011205989.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_348602826.1	WP_011206182.1
OG0000561	WP_094521603.1	WP_011206015.1
OG0000562	WP_146379618.1	WP_011206183.1
OG0000563	WP_348602824.1	WP_011206180.1
OG0000564	WP_348602775.1	WP_014579710.1
