Orthogroup	MHP_116_proteins	MHP_133A_proteins
OG0000056	WP_348571887.1	WP_404924340.1
OG0000057	WP_348602591.1	WP_404924285.1
OG0000061	WP_348602835.1	WP_135618818.1
OG0000062	WP_348602661.1, WP_011206522.1	WP_011206522.1
OG0000063	WP_348602663.1, WP_348602660.1	WP_041361715.1
OG0000064	WP_348602658.1	WP_348571896.1
OG0000065	WP_225972975.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_404924311.1
OG0000072	WP_348602628.1	WP_404924312.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_348602722.1	WP_404924416.1, WP_404924417.1
OG0000075	WP_014579568.1	WP_404924368.1
OG0000076	WP_146379475.1	WP_404924369.1, WP_404924503.1
OG0000077	WP_348602701.1	WP_135618533.1
OG0000078	WP_348602810.1	WP_404924461.1
OG0000079	WP_348602553.1	WP_020835797.1
OG0000080	WP_348602560.1	WP_192894279.1
OG0000081	WP_011289985.1	WP_404924367.1
OG0000083	WP_011206216.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_348602498.1	WP_404924208.1
OG0000086	WP_348602499.1	WP_404924209.1
OG0000087	WP_348602502.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_404924351.1
OG0000091	WP_348602669.1	WP_020835487.1
OG0000092	WP_348602668.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_160584856.1
OG0000094	WP_348602667.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_348602664.1	WP_404924347.1
OG0000098	WP_135619170.1	WP_404924345.1
OG0000099	WP_348602654.1	WP_404924341.1
OG0000100	WP_160585575.1	WP_404924338.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_404924487.1
OG0000103	WP_348571656.1	WP_404924223.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_146379630.1
OG0000106	WP_348602514.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_348602515.1	WP_404924224.1
OG0000110	WP_243216208.1	WP_404924239.1
OG0000111	WP_348602533.1	WP_404924238.1
OG0000112	WP_348602531.1	WP_404924236.1
OG0000113	WP_348602528.1	WP_404924231.1
OG0000114	WP_348602527.1	WP_404923958.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_348602777.1	WP_404924436.1
OG0000117	WP_348602778.1	WP_160590503.1
OG0000118	WP_348572057.1	WP_011290108.1
OG0000119	WP_348602783.1	WP_135618686.1
OG0000120	WP_348602785.1	WP_011284027.1
OG0000121	WP_348602788.1	WP_011284032.1
OG0000122	WP_348602789.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_348602791.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_160585089.1
OG0000127	WP_011205948.1	WP_404924444.1
OG0000128	WP_348602795.1	WP_404924446.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_160588225.1
OG0000132	WP_135618714.1	WP_011205939.1
OG0000133	WP_011206123.1	WP_094521764.1
OG0000134	WP_348602707.1	WP_308507044.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_348602708.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_404924396.1
OG0000138	WP_160584793.1	WP_404924401.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_146379496.1	WP_011206101.1
OG0000141	WP_160584965.1	WP_146379698.1
OG0000142	WP_348602592.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_348602590.1	WP_404924284.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_348602586.1	WP_041361684.1
OG0000149	WP_348602585.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_348602580.1	WP_404924277.1
OG0000152	WP_348602579.1	WP_404924276.1
OG0000153	WP_233688497.1	WP_233688497.1
OG0000154	WP_011206345.1	WP_160587842.1
OG0000155	WP_348602573.1	WP_020835820.1
OG0000156	WP_348602572.1	WP_011206335.1
OG0000157	WP_348602571.1	WP_011206334.1
OG0000158	WP_348602570.1	WP_404924268.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_348571730.1	WP_404924246.1
OG0000164	WP_233688726.1	WP_348572081.1
OG0000165	WP_348602846.1	WP_011206200.1
OG0000166	WP_348602850.1	WP_160590029.1
OG0000167	WP_348602852.1	WP_011206207.1
OG0000168	WP_348602853.1	WP_404924203.1
OG0000169	WP_179221201.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_348602609.1	WP_404924298.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160588049.1	WP_011206425.1
OG0000174	WP_348602610.1	WP_160600929.1
OG0000175	WP_160585645.1	WP_404924300.1
OG0000176	WP_348602616.1	WP_160585271.1
OG0000177	WP_160606697.1	WP_160585273.1
OG0000178	WP_348602617.1	WP_160585275.1
OG0000179	WP_014579979.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_348602622.1	WP_020835888.1
OG0000182	WP_014579987.1	WP_011206453.1
OG0000183	WP_348571845.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_160585238.1
OG0000185	WP_146379740.1	WP_146379740.1
OG0000186	WP_135618718.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_348602521.1	WP_160607686.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_348602517.1	WP_020835755.1
OG0000192	WP_348602857.1	WP_160587990.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_020835573.1
OG0000197	WP_348602746.1	WP_404924405.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_404924407.1
OG0000202	WP_348602735.1	WP_011290039.1
OG0000203	WP_348602734.1	WP_011206072.1
OG0000204	WP_348602733.1	WP_011206071.1
OG0000205	WP_348602732.1	WP_404924414.1
OG0000206	WP_135618589.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_348602727.1	WP_011290046.1
OG0000209	WP_348602726.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_404924418.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011290055.1
OG0000216	WP_348602720.1	WP_014579616.1
OG0000217	WP_348602719.1	WP_404924419.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_011206041.1
OG0000220	WP_160590391.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_011206037.1	WP_404924420.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_348602718.1	WP_011290064.1
OG0000228	WP_348602717.1	WP_404924421.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_348602716.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_233688672.1
OG0000234	WP_348602756.1	WP_404924425.1
OG0000235	WP_348602758.1	WP_011290078.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_348572018.1	WP_404924426.1
OG0000238	WP_348572020.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_160585231.1	WP_135619036.1
OG0000242	WP_348602595.1	WP_020835854.1
OG0000243	WP_348602596.1	WP_011290352.1
OG0000244	WP_348602597.1	WP_041361690.1
OG0000245	WP_348602599.1	WP_404924288.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_348602680.1	WP_404924356.1
OG0000248	WP_348602866.1	WP_146379774.1
OG0000249	WP_348602681.1	WP_404924357.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_347952354.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_160606527.1
OG0000254	WP_348602687.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_348602690.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_020835520.1	WP_404924364.1
OG0000260	WP_348602694.1	WP_404924365.1
OG0000261	WP_348602696.1	WP_404924366.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_348602697.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_404924371.1
OG0000265	WP_348602699.1	WP_404924372.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_146379477.1
OG0000268	WP_179695950.1	WP_404924385.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_348602648.1	WP_404924335.1
OG0000271	WP_348602647.1	WP_404924334.1
OG0000272	WP_348602646.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_404924333.1
OG0000274	WP_348602643.1	WP_011290423.1
OG0000275	WP_228366117.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_160588182.1
OG0000279	WP_011290418.1	WP_404924330.1
OG0000280	WP_011206490.1	WP_011206490.1
OG0000281	WP_011290416.1	WP_014580012.1
OG0000282	WP_348602640.1	WP_404924327.1
OG0000283	WP_160584907.1	WP_160584907.1
OG0000284	WP_011206484.1	WP_404924501.1
OG0000285	WP_348602639.1	WP_404924325.1
OG0000286	WP_044272526.1	WP_146379652.1
OG0000287	WP_348602546.1	WP_011206297.1
OG0000288	WP_348602548.1	WP_011206299.1
OG0000289	WP_348602549.1	WP_404924251.1
OG0000290	WP_011290297.1	WP_011290297.1
OG0000291	WP_348602563.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_404924261.1
OG0000293	WP_348602562.1	WP_404924260.1
OG0000294	WP_348602561.1	WP_404924259.1
OG0000295	WP_160590135.1	WP_404924258.1
OG0000296	WP_348602554.1	WP_404924255.1
OG0000297	WP_011206306.1	WP_146379664.1
OG0000298	WP_348602683.1	WP_160606533.1
OG0000299	WP_011205878.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_348602709.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_348602589.1	WP_404924282.1
OG0000306	WP_044272563.1	WP_146379686.1
OG0000307	WP_348602578.1	WP_404924275.1
OG0000308	WP_020835811.1	WP_404911934.1
OG0000309	WP_348602559.1	WP_011206313.1
OG0000310	WP_348602547.1	WP_011206298.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_348602540.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_348602849.1	WP_404924483.1
OG0000315	WP_011290197.1	WP_011290197.1
OG0000316	WP_348571614.1	WP_404924204.1
OG0000317	WP_160585126.1	WP_135618864.1
OG0000318	WP_348602854.1	WP_404924205.1
OG0000319	WP_135618880.1	WP_135618880.1
OG0000320	WP_348602530.1	WP_404924234.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_179696045.1	WP_160588227.1
OG0000324	WP_348602516.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_348602739.1	WP_404924411.1
OG0000327	WP_348602738.1	WP_160584807.1
OG0000328	WP_348602725.1	WP_041361583.1
OG0000329	WP_011206056.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_348602623.1	WP_020835889.1
OG0000335	WP_348602624.1	WP_041361699.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_050195472.1
OG0000338	WP_014580051.1	WP_014580051.1
OG0000339	WP_348602526.1	WP_404924230.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_348602520.1	WP_011290226.1
OG0000342	WP_348602744.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_348602712.1	WP_404924394.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_348602737.1	WP_404924412.1
OG0000349	WP_348602645.1	WP_404924332.1
OG0000350	WP_348602577.1	WP_404924274.1
OG0000351	WP_308704698.1	WP_011206131.1
OG0000352	WP_348602845.1	WP_404924481.1
OG0000353	WP_348602787.1	WP_404924440.1
OG0000354	WP_348602750.1	WP_404924402.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_308507057.1
OG0000357	WP_228366113.1	WP_228366113.1
OG0000358	WP_348602611.1	WP_404924299.1
OG0000359	WP_348602741.1	WP_404924408.1
OG0000360	WP_225973008.1	WP_404924361.1
OG0000361	WP_348602692.1	WP_011289979.1
OG0000362	WP_348602551.1	WP_094521719.1
OG0000363	WP_348572138.1	WP_233417364.1
OG0000364	WP_348602839.1	WP_044272453.1
OG0000365	WP_160606601.1	WP_404924207.1
OG0000366	WP_011206224.1	WP_146379594.1
OG0000367	WP_348602500.1	WP_404924210.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_160588112.1	WP_404924349.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_348602666.1	WP_044272256.1
OG0000372	WP_348571907.1	WP_135618439.1
OG0000373	WP_348602665.1	WP_404924348.1
OG0000374	WP_348571901.1	WP_404924346.1
OG0000375	WP_135618878.1	WP_146379628.1
OG0000376	WP_348602532.1	WP_404924237.1
OG0000377	WP_011206271.1	WP_404924235.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_348602790.1	WP_404924442.1
OG0000381	WP_348602793.1	WP_404924443.1
OG0000382	WP_348602796.1	WP_404924447.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_404924391.1
OG0000385	WP_348602705.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_348602710.1	WP_404924392.1
OG0000388	WP_348602711.1	WP_404924393.1
OG0000389	WP_348602751.1	WP_020835565.1
OG0000390	WP_011284284.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_404924283.1
OG0000392	WP_348602588.1	WP_404924281.1
OG0000393	WP_348602583.1	WP_404924279.1
OG0000394	WP_160585688.1	WP_011284253.1
OG0000395	WP_348602574.1	WP_404924270.1
OG0000396	WP_348571728.1	WP_020835781.1
OG0000397	WP_348602842.1	WP_011206196.1
OG0000398	WP_348602843.1	WP_146379611.1
OG0000399	WP_348602851.1	WP_348571612.1
OG0000400	WP_348602607.1	WP_243216310.1
OG0000401	WP_135619070.1	WP_404924302.1
OG0000402	WP_348602613.1	WP_404924303.1
OG0000403	WP_348602614.1	WP_404924022.1
OG0000404	WP_348602618.1	WP_146379727.1
OG0000405	WP_011290381.1	WP_160585278.1
OG0000406	WP_348602625.1	WP_404924308.1
OG0000407	WP_348602626.1	WP_404924309.1
OG0000408	WP_348602627.1	WP_404924310.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_404924318.1
OG0000411	WP_146379742.1	WP_404924317.1
OG0000412	WP_011290399.1	WP_404924316.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_348602797.1	WP_011290131.1
OG0000415	WP_348602798.1	WP_404924448.1
OG0000416	WP_011284056.1	WP_404924449.1
OG0000417	WP_348602519.1	WP_404924226.1
OG0000418	WP_348602518.1	WP_348571647.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_348602743.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_348602740.1	WP_020835580.1
OG0000423	WP_348602731.1	WP_404924415.1
OG0000424	WP_348602730.1	WP_135618587.1
OG0000425	WP_348602729.1	WP_011283949.1
OG0000426	WP_348602728.1	WP_011206064.1
OG0000427	WP_348602724.1	WP_135618593.1
OG0000428	WP_348602721.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000431	WP_348602715.1	WP_146379524.1
OG0000432	WP_348602755.1	WP_404924424.1
OG0000433	WP_011206014.1	WP_160606761.1
OG0000434	WP_020835607.1	WP_160606763.1
OG0000435	WP_348602757.1	WP_011290077.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_020835616.1
OG0000438	WP_348602759.1	WP_404924427.1
OG0000439	WP_044272377.1	WP_404924428.1
OG0000440	WP_348602594.1	WP_020835852.1
OG0000441	WP_348602600.1	WP_404924290.1
OG0000442	WP_348602679.1	WP_404924355.1
OG0000443	WP_348602685.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_404924360.1
OG0000446	WP_348602689.1	WP_135618497.1
OG0000447	WP_014579553.1	WP_044284573.1
OG0000448	WP_011289976.1	WP_404924362.1
OG0000449	WP_348602693.1	WP_348571941.1
OG0000450	WP_348602695.1	WP_404924074.1
OG0000451	WP_094521553.1	WP_404924370.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_348602700.1	WP_404924386.1
OG0000454	WP_225973031.1	WP_225973031.1
OG0000455	WP_348602652.1	WP_404924337.1
OG0000456	WP_348602641.1	WP_011206487.1
OG0000457	WP_348602638.1	WP_404924500.1
OG0000458	WP_348602545.1	WP_020835790.1
OG0000459	WP_348602550.1	WP_404924252.1
OG0000460	WP_348602552.1	WP_404924253.1
OG0000461	WP_348602558.1	WP_404924496.1
OG0000462	WP_348602557.1	WP_011206311.1
OG0000463	WP_348602556.1	WP_011206310.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000465	WP_348602555.1	WP_404924256.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_348602567.1	WP_404924266.1
OG0000468	WP_160585598.1	WP_404924484.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_348571977.1	WP_044272348.1
OG0000472	WP_348602633.1	WP_404924319.1
OG0000473	WP_348602649.1	WP_020835917.1
OG0000474	WP_348602650.1	WP_404924336.1
OG0000475	WP_348602651.1	WP_160584892.1
OG0000476	WP_014579742.1	WP_011205931.1
OG0000477	WP_348571773.1	WP_135618962.1
OG0000478	WP_146379753.1	WP_404924331.1
OG0000479	WP_348602782.1	WP_404924439.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_348602736.1	WP_044272343.1
OG0000482	WP_348572032.1	WP_404924431.1
OG0000483	WP_348602501.1	WP_404924211.1
OG0000484	WP_348602686.1	WP_404924359.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_348602522.1	WP_011290228.1
OG0000487	WP_348602855.1	WP_404924490.1
OG0000488	WP_348571630.1	WP_020835728.1
OG0000489	WP_011205849.1	WP_404924350.1
OG0000490	WP_011206527.1	WP_011206527.1
OG0000491	WP_348602784.1	WP_160588241.1
OG0000492	WP_348602792.1	WP_146379559.1
OG0000493	WP_348571965.1	WP_404924395.1
OG0000494	WP_052269169.1	WP_404924403.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_160585682.1	WP_014579936.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000501	WP_348602608.1	WP_404924297.1
OG0000502	WP_348602764.1	WP_404924430.1
OG0000503	WP_348602742.1	WP_404924406.1
OG0000504	WP_348602723.1	WP_404924485.1
OG0000505	WP_011290053.1	WP_146379519.1
OG0000507	WP_160585191.1	WP_020835590.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_404924363.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_011206304.1	WP_404924254.1
OG0000513	WP_348602642.1	WP_160585582.1
OG0000514	WP_348602587.1	WP_404924280.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_348602612.1	WP_404924301.1
OG0000519	WP_160584803.1	WP_020835579.1
OG0000522	WP_348602691.1	WP_135618505.1
OG0000523	WP_348602637.1	WP_404924324.1
OG0000524	WP_348602566.1	WP_404924265.1
OG0000525	WP_348602634.1	WP_404924320.1
OG0000526	WP_348602829.1	WP_011290177.1
OG0000527	WP_348602820.1	WP_404924472.1
OG0000530	WP_011290248.1	WP_011284186.1
OG0000532	WP_348602803.1	WP_404924453.1, WP_404924454.1
OG0000533	WP_011206110.1	WP_404924398.1
OG0000534	WP_348602698.1	WP_014579573.1
OG0000536	WP_348602655.1	WP_404924342.1
OG0000540	WP_348602564.1	WP_404924262.1
OG0000544	WP_348602770.1	WP_308507042.1
OG0000545	WP_348602827.1	WP_404924475.1
OG0000546	WP_011206350.1	WP_160585684.1
OG0000551	WP_348602598.1	WP_404924287.1
OG0000552	WP_348602615.1	WP_404924304.1
OG0000553	WP_348602569.1	WP_404924267.1
OG0000554	WP_348602534.1	WP_404924240.1
OG0000555	WP_179221196.1	WP_308507032.1
OG0000557	WP_011205983.1	WP_146379545.1
OG0000558	WP_348602767.1	WP_404924432.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_348602826.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_011290073.1
OG0000562	WP_146379618.1	WP_146379618.1
OG0000563	WP_348602824.1	WP_160587877.1
OG0000564	WP_348602775.1	WP_041361605.1
OG0000565	WP_348602837.1	WP_011290181.1
OG0000566	WP_348602834.1	WP_404924480.1
OG0000567	WP_348602828.1	WP_404924476.1
OG0000568	WP_044272325.1	WP_044272325.1
OG0000569	WP_348602768.1	WP_404924433.1
OG0000570	WP_348602769.1	WP_011290093.1
OG0000571	WP_011205986.1	WP_011205986.1
OG0000572	WP_348602772.1	WP_160585558.1
OG0000573	WP_348602814.1	WP_404924463.1
OG0000574	WP_348602779.1	WP_014579714.1
OG0000575	WP_348602765.1	WP_146379542.1
OG0000576	WP_348602806.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
