Orthogroup	MHP_116_proteins	MHP_111A_proteins
OG0000242	WP_348602595.1	WP_404911981.1
OG0000243	WP_348602596.1	WP_146379703.1
OG0000244	WP_348602597.1	WP_041361690.1
OG0000245	WP_348602599.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_404912139.1
OG0000247	WP_348602680.1	WP_404912141.1
OG0000248	WP_348602866.1	WP_052259122.1
OG0000249	WP_348602681.1	WP_160588044.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_011289964.1
OG0000254	WP_348602687.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_348602690.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_020835520.1	WP_041361723.1
OG0000260	WP_348602694.1	WP_094521550.1
OG0000261	WP_348602696.1	WP_044272293.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_348602697.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_348602699.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_020835532.1
OG0000268	WP_179695950.1	WP_179695950.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_348602648.1	WP_404912080.1
OG0000271	WP_348602647.1	WP_404912076.1
OG0000272	WP_348602646.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_348602643.1	WP_011290423.1
OG0000275	WP_228366117.1	WP_404912071.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_404912067.1
OG0000281	WP_011290416.1	WP_011290416.1
OG0000282	WP_348602640.1	WP_404912062.1
OG0000283	WP_160584907.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_160585585.1
OG0000285	WP_348602639.1	WP_404912060.1
OG0000286	WP_044272526.1	WP_160615969.1
OG0000287	WP_348602546.1	WP_404911902.1
OG0000288	WP_348602548.1	WP_404911904.1
OG0000289	WP_348602549.1	WP_404911906.1
OG0000290	WP_011290297.1	WP_011290297.1
OG0000291	WP_348602563.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_044272553.1
OG0000293	WP_348602562.1	WP_135618964.1
OG0000294	WP_348602561.1	WP_404911922.1
OG0000295	WP_160590135.1	WP_011206315.1
OG0000296	WP_348602554.1	WP_041361673.1
OG0000297	WP_011206306.1	WP_146379664.1
OG0000298	WP_348602683.1	WP_404912146.1
OG0000299	WP_011205878.1	WP_160606529.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_348602709.1	WP_404912180.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_348602589.1	WP_020835841.1
OG0000306	WP_044272563.1	WP_044272563.1
OG0000307	WP_348602578.1	WP_160585265.1
OG0000308	WP_020835811.1	WP_404911934.1
OG0000309	WP_348602559.1	WP_146379668.1
OG0000310	WP_348602547.1	WP_011206298.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_348602540.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_348602849.1	WP_404911788.1
OG0000315	WP_011290197.1	WP_014579816.1
OG0000316	WP_348571614.1	WP_404911774.1
OG0000317	WP_160585126.1	WP_404912423.1
OG0000318	WP_348602854.1	WP_404911772.1
OG0000319	WP_135618880.1	WP_404911833.1
OG0000320	WP_348602530.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_179696045.1	WP_011290127.1
OG0000324	WP_348602516.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_348602739.1	WP_404912219.1
OG0000327	WP_348602738.1	WP_146379506.1
OG0000328	WP_348602725.1	WP_041361583.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_348602623.1	WP_020835889.1
OG0000335	WP_348602624.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_404912111.1
OG0000339	WP_348602526.1	WP_404911854.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_348602520.1	WP_011290226.1
OG0000342	WP_348602744.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_348602712.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_348602737.1	WP_014579636.1
OG0000349	WP_348602645.1	WP_094521522.1
OG0000350	WP_348602577.1	WP_404911952.1
OG0000351	WP_308704698.1	WP_404912171.1
OG0000352	WP_348602845.1	WP_404911795.1
OG0000353	WP_348602787.1	WP_404912328.1
OG0000354	WP_348602750.1	WP_404912194.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_404911776.1
OG0000357	WP_228366113.1	WP_404912003.1
OG0000358	WP_348602611.1	WP_404912004.1
OG0000359	WP_348602741.1	WP_404912214.1
OG0000360	WP_225973008.1	WP_404912153.1
OG0000361	WP_348602692.1	WP_011289979.1
OG0000362	WP_348602551.1	WP_160600961.1
OG0000363	WP_348572138.1	WP_232039606.1
OG0000364	WP_348602839.1	WP_404911802.1
OG0000365	WP_160606601.1	WP_404912433.1
OG0000366	WP_011206224.1	WP_404912430.1
OG0000367	WP_348602500.1	WP_225973040.1
OG0000368	WP_011289935.1	WP_404912121.1
OG0000369	WP_160588112.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_348602666.1	WP_044272256.1
OG0000372	WP_348571907.1	WP_404912115.1
OG0000373	WP_348602665.1	WP_404912107.1
OG0000374	WP_348571901.1	WP_404912104.1
OG0000375	WP_135618878.1	WP_404911831.1
OG0000376	WP_348602532.1	WP_404911868.1
OG0000377	WP_011206271.1	WP_404911864.1
OG0000378	WP_348602776.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_348602790.1	WP_160588252.1
OG0000381	WP_348602793.1	WP_404912336.1
OG0000382	WP_348602796.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_348602705.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_348602710.1	WP_404912182.1
OG0000388	WP_348602711.1	WP_179221014.1
OG0000389	WP_348602751.1	WP_404912192.1
OG0000390	WP_011284284.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_348602588.1	WP_160607852.1
OG0000393	WP_348602583.1	WP_404911961.1
OG0000394	WP_160585688.1	WP_011290313.1
OG0000395	WP_348602574.1	WP_404911946.1
OG0000396	WP_348571728.1	WP_020835781.1
OG0000397	WP_348602842.1	WP_011206196.1
OG0000398	WP_348602843.1	WP_020835709.1
OG0000399	WP_348602851.1	WP_404911782.1
OG0000400	WP_348602607.1	WP_044272610.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_348602613.1	WP_020835872.1
OG0000403	WP_348602614.1	WP_020835873.1
OG0000404	WP_348602618.1	WP_404912014.1
OG0000405	WP_011290381.1	WP_404912460.1
OG0000406	WP_348602625.1	WP_404912025.1
OG0000407	WP_348602626.1	WP_404912027.1
OG0000408	WP_348602627.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_348602797.1	WP_011290131.1
OG0000415	WP_348602798.1	WP_404912351.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_348602519.1	WP_404911842.1
OG0000418	WP_348602518.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_348602743.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011206080.1
OG0000422	WP_348602740.1	WP_146379504.1
OG0000423	WP_348602731.1	WP_404912224.1
OG0000424	WP_348602730.1	WP_011290043.1
OG0000425	WP_348602729.1	WP_044277967.1
OG0000426	WP_348602728.1	WP_011206064.1
OG0000427	WP_348602724.1	WP_135618593.1
OG0000428	WP_348602721.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_404912257.1
OG0000430	WP_050195474.1	WP_404912265.1
OG0000431	WP_348602715.1	WP_011290067.1
OG0000432	WP_348602755.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_020835607.1
OG0000435	WP_348602757.1	WP_404912278.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_404912284.1
OG0000438	WP_348602759.1	WP_404912286.1
OG0000439	WP_044272377.1	WP_404912288.1
OG0000440	WP_348602594.1	WP_011290349.1
OG0000441	WP_348602600.1	WP_011284299.1
OG0000442	WP_348602679.1	WP_160607726.1
OG0000443	WP_348602685.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_160585544.1
OG0000446	WP_348602689.1	WP_348602689.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_011289976.1	WP_011289976.1
OG0000449	WP_348602693.1	WP_348571941.1
OG0000450	WP_348602695.1	WP_160588027.1
OG0000451	WP_094521553.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_348602700.1	WP_011283895.1
OG0000455	WP_348602652.1	WP_404912085.1
OG0000456	WP_348602641.1	WP_011206487.1
OG0000457	WP_348602638.1	WP_404912464.1
OG0000458	WP_348602545.1	WP_020835790.1
OG0000459	WP_348602550.1	WP_014579890.1
OG0000460	WP_348602552.1	WP_044272549.1
OG0000461	WP_348602558.1	WP_404912452.1
OG0000462	WP_348602557.1	WP_404911917.1
OG0000463	WP_348602556.1	WP_011206310.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000465	WP_348602555.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_348602567.1	WP_404911938.1
OG0000468	WP_160585598.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_348571977.1	WP_044272348.1
OG0000472	WP_348602633.1	WP_404912044.1
OG0000473	WP_348602649.1	WP_020835917.1
OG0000474	WP_348602650.1	WP_041361711.1
OG0000475	WP_348602651.1	WP_404912083.1
OG0000476	WP_014579742.1	WP_011205931.1
OG0000477	WP_348571773.1	WP_011206317.1
OG0000478	WP_146379753.1	WP_011284367.1
OG0000479	WP_348602782.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_348602736.1	WP_044272343.1
OG0000482	WP_348572032.1	WP_404912296.1
OG0000483	WP_348602501.1	WP_347952210.1
OG0000484	WP_348602686.1	WP_135618485.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_348602522.1	WP_011290228.1
OG0000488	WP_348571630.1	WP_146379596.1
OG0000490	WP_011206527.1	WP_404912109.1
OG0000493	WP_348571965.1	WP_404912185.1
OG0000494	WP_052269169.1	WP_404912196.1
OG0000495	WP_011284272.1	WP_404911964.1
OG0000496	WP_011206375.1	WP_011290327.1
OG0000497	WP_160585682.1	WP_135619004.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_348602844.1	WP_404911797.1
OG0000501	WP_348602608.1	WP_404911996.1
OG0000502	WP_348602764.1	WP_404912292.1
OG0000503	WP_348602742.1	WP_404912212.1
OG0000504	WP_348602723.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160585191.1	WP_020835590.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_011206304.1	WP_404911911.1
OG0000514	WP_348602587.1	WP_404911969.1
OG0000516	WP_011206214.1	WP_160607660.1
OG0000517	WP_011283834.1	WP_404912123.1
OG0000519	WP_160584803.1	WP_020835579.1
OG0000520	WP_011283957.1	WP_146379514.1
OG0000522	WP_348602691.1	WP_135618505.1
OG0000523	WP_348602637.1	WP_258555910.1
OG0000524	WP_348602566.1	WP_404911936.1
OG0000525	WP_348602634.1	WP_404912046.1
OG0000527	WP_348602820.1	WP_404911823.1
OG0000528	WP_348602497.1	WP_404912437.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_348602803.1	WP_404912365.1
OG0000533	WP_011206110.1	WP_011290010.1
OG0000534	WP_348602698.1	WP_404912163.1
OG0000536	WP_348602655.1	WP_404912094.1
OG0000540	WP_348602564.1	WP_404911926.1
OG0000544	WP_348602770.1	WP_308507042.1
OG0000545	WP_348602827.1	WP_404911816.1
OG0000546	WP_011206350.1	WP_404911955.1
OG0000552	WP_348602615.1	WP_044284704.1
OG0000553	WP_348602569.1	WP_347952255.1
OG0000554	WP_348602534.1	WP_404911871.1
OG0000555	WP_179221196.1	WP_308507032.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_348602767.1	WP_011205989.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_348602826.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_160585755.1
OG0000563	WP_348602824.1	WP_160587877.1
OG0000564	WP_348602775.1	WP_252862181.1
OG0000565	WP_348602837.1	WP_404911804.1
OG0000566	WP_348602834.1	WP_404911808.1
OG0000567	WP_348602828.1	WP_404911814.1
OG0000568	WP_044272325.1	WP_404912204.1
OG0000569	WP_348602768.1	WP_404912299.1
OG0000570	WP_348602769.1	WP_404912300.1
OG0000571	WP_011205986.1	WP_404912302.1
OG0000572	WP_348602772.1	WP_404912308.1
OG0000573	WP_348602814.1	WP_404912382.1
OG0000574	WP_348602779.1	WP_011284018.1
OG0000575	WP_348602765.1	WP_011290089.1
OG0000576	WP_348602806.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_348602568.1	WP_041361678.1
OG0000579	WP_146379623.1	WP_146379623.1
OG0000580	WP_041361798.1	WP_236607953.1
OG0000581	WP_348602821.1	WP_404911821.1
OG0000582	WP_348602771.1	WP_404912305.1
OG0000583	WP_348602811.1	WP_404912380.1
OG0000585	WP_348602511.1	WP_146379626.1
OG0000586	WP_348602809.1	WP_044272424.1
