#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_KZ266923.1:7045-7836|+   -            264 1679at2085           -            265   5.8e-79  260.6  11.6   1   1   6.6e-81   6.4e-79  260.4  11.6    12   256     1   255     1   263 0.90 NZ_KZ266923.1_5 # 7045 # 7836 # 1 # ID=30_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.269
NZ_KZ266894.1:31728-32987|+ -            420 1679at2085           -            265   4.1e-06   21.7  12.8   2   2    0.0072      0.69    4.6   9.4    39   121   257   343   253   346 0.86 NZ_KZ266894.1_26 # 31728 # 32987 # 1 # ID=1_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NZ_KZ266901.1:12175-13032|+ -            286 1679at2085           -            265   2.2e-05   19.4   8.0   1   1   4.7e-05    0.0045   11.8   8.0    19   173    65   212    58   231 0.62 NZ_KZ266901.1_16 # 12175 # 13032 # 1 # ID=8_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.282
NZ_KZ266921.1:1077-2180|-   -            368 1679at2085           -            265   3.9e-05   18.5   0.2   1   1   9.3e-07     9e-05   17.3   0.2   119   154     2    36     1    47 0.84 NZ_KZ266921.1_2 # 1077 # 2180 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use
# Date:            Sun Dec  1 19:27:31 2024
# [ok]
