	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
MHP_98_protein	515.0	511.0	511.0	512.0	526.0	510.0	511.0	517.0	628.0	619.0	621.0	630.0	619.0	634.0	0.0	625.0	622.0	613.0	606.0	632.0	618.0	601.0	608.0	616.0	606.0	607.0	611.0	612.0	610.0	617.0	22.0	608.0	614.0	613.0
MHP_ES2L_protein	520.0	516.0	514.0	515.0	529.0	508.0	517.0	521.0	625.0	611.0	608.0	624.0	621.0	631.0	625.0	0.0	637.0	617.0	622.0	643.0	628.0	616.0	620.0	631.0	616.0	602.0	619.0	631.0	624.0	618.0	23.0	605.0	623.0	624.0
MHP_ES2_protein	514.0	513.0	510.0	513.0	526.0	504.0	515.0	517.0	623.0	617.0	613.0	626.0	626.0	631.0	622.0	637.0	0.0	627.0	635.0	634.0	622.0	627.0	613.0	624.0	617.0	608.0	622.0	637.0	626.0	621.0	24.0	606.0	627.0	626.0
MHP_F72C_protein	524.0	521.0	518.0	521.0	524.0	514.0	522.0	528.0	614.0	602.0	602.0	614.0	619.0	628.0	613.0	617.0	627.0	0.0	611.0	628.0	606.0	622.0	601.0	615.0	607.0	609.0	621.0	620.0	621.0	610.0	24.0	594.0	613.0	611.0
MHP_J_protein	521.0	519.0	520.0	520.0	523.0	512.0	521.0	524.0	620.0	630.0	621.0	626.0	612.0	618.0	606.0	622.0	635.0	611.0	0.0	624.0	620.0	615.0	603.0	612.0	602.0	615.0	611.0	618.0	616.0	626.0	23.0	611.0	628.0	624.0
MHP_LH_protein	524.0	524.0	523.0	523.0	537.0	516.0	523.0	529.0	640.0	628.0	628.0	639.0	629.0	641.0	632.0	643.0	634.0	628.0	624.0	0.0	627.0	625.0	616.0	627.0	616.0	610.0	623.0	629.0	628.0	627.0	23.0	615.0	642.0	638.0
MHP_MHP650_protein	516.0	520.0	517.0	519.0	529.0	510.0	516.0	522.0	621.0	622.0	620.0	623.0	614.0	620.0	618.0	628.0	622.0	606.0	620.0	627.0	0.0	612.0	610.0	629.0	619.0	604.0	616.0	630.0	620.0	617.0	23.0	614.0	621.0	620.0
MHP_MHP653_protein	524.0	523.0	523.0	526.0	525.0	516.0	523.0	529.0	612.0	604.0	604.0	613.0	611.0	622.0	601.0	616.0	627.0	622.0	615.0	625.0	612.0	0.0	616.0	628.0	612.0	603.0	632.0	634.0	630.0	611.0	23.0	596.0	618.0	613.0
MHP_MHP679_protein	511.0	513.0	512.0	513.0	530.0	508.0	511.0	516.0	601.0	604.0	603.0	600.0	618.0	621.0	608.0	620.0	613.0	601.0	603.0	616.0	610.0	616.0	0.0	616.0	619.0	597.0	612.0	623.0	613.0	596.0	22.0	597.0	611.0	610.0
MHP_MHP682_protein	519.0	518.0	517.0	519.0	528.0	511.0	518.0	521.0	621.0	616.0	615.0	624.0	619.0	626.0	616.0	631.0	624.0	615.0	612.0	627.0	629.0	628.0	616.0	0.0	620.0	604.0	622.0	647.0	625.0	616.0	22.0	607.0	623.0	617.0
MHP_MHP691_protein	517.0	517.0	514.0	518.0	526.0	509.0	515.0	521.0	600.0	602.0	602.0	601.0	604.0	611.0	606.0	616.0	617.0	607.0	602.0	616.0	619.0	612.0	619.0	620.0	0.0	598.0	610.0	628.0	612.0	595.0	22.0	589.0	606.0	606.0
MHP_MHP694_protein	513.0	512.0	515.0	517.0	518.0	513.0	513.0	515.0	613.0	608.0	606.0	616.0	600.0	615.0	607.0	602.0	608.0	609.0	615.0	610.0	604.0	603.0	597.0	604.0	598.0	0.0	610.0	606.0	612.0	613.0	24.0	600.0	607.0	601.0
MHP_MHP696_protein	524.0	522.0	521.0	523.0	525.0	513.0	524.0	527.0	614.0	607.0	606.0	614.0	619.0	620.0	611.0	619.0	622.0	621.0	611.0	623.0	616.0	632.0	612.0	622.0	610.0	610.0	0.0	624.0	655.0	613.0	23.0	601.0	615.0	611.0
MHP_MHP699_protein	520.0	519.0	516.0	519.0	531.0	512.0	518.0	523.0	626.0	621.0	617.0	627.0	618.0	626.0	612.0	631.0	637.0	620.0	618.0	629.0	630.0	634.0	623.0	647.0	628.0	606.0	624.0	0.0	623.0	612.0	24.0	612.0	626.0	623.0
MHP_MHP709_protein	524.0	523.0	521.0	523.0	526.0	514.0	523.0	528.0	616.0	608.0	607.0	614.0	626.0	622.0	610.0	624.0	626.0	621.0	616.0	628.0	620.0	630.0	613.0	625.0	612.0	612.0	655.0	623.0	0.0	614.0	23.0	599.0	617.0	617.0
MHP_NCTC10127_protein	512.0	516.0	513.0	515.0	517.0	512.0	516.0	516.0	663.0	628.0	624.0	663.0	610.0	629.0	617.0	618.0	621.0	610.0	626.0	627.0	617.0	611.0	596.0	616.0	595.0	613.0	613.0	612.0	614.0	0.0	23.0	609.0	627.0	624.0
MHP_REF_protein	21.0	20.0	21.0	20.0	21.0	19.0	20.0	21.0	23.0	23.0	23.0	23.0	23.0	24.0	22.0	23.0	24.0	24.0	23.0	23.0	23.0	23.0	22.0	22.0	22.0	24.0	23.0	24.0	23.0	23.0	0.0	24.0	22.0	23.0
MHP_TB1_protein	506.0	507.0	506.0	506.0	521.0	506.0	507.0	506.0	612.0	652.0	649.0	613.0	609.0	622.0	608.0	605.0	606.0	594.0	611.0	615.0	614.0	596.0	597.0	607.0	589.0	600.0	601.0	612.0	599.0	609.0	24.0	0.0	618.0	616.0
MHP_UFV01_protein	521.0	522.0	522.0	523.0	541.0	513.0	521.0	524.0	632.0	627.0	625.0	633.0	631.0	634.0	614.0	623.0	627.0	613.0	628.0	642.0	621.0	618.0	611.0	623.0	606.0	607.0	615.0	626.0	617.0	627.0	22.0	618.0	0.0	669.0
MHP_UFV02_protein	519.0	521.0	520.0	521.0	539.0	511.0	519.0	522.0	631.0	623.0	623.0	631.0	631.0	630.0	613.0	624.0	626.0	611.0	624.0	638.0	620.0	613.0	610.0	617.0	606.0	601.0	611.0	623.0	617.0	624.0	23.0	616.0	669.0	0.0
