Orthogroup	MHP_ES2_protein	MHP_MHP694_protein
OG0000057	WP_011206089.1	WP_011290028.1
OG0000058	WP_135618593.1	WP_135618593.1
OG0000059	WP_044284596.1	WP_044284596.1
OG0000060	WP_011206046.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_135618633.1	WP_020835608.1
OG0000063	WP_052259122.1	WP_052259122.1
OG0000064	WP_135618470.1	WP_160606537.1
OG0000065	WP_135618517.1	WP_014579568.1
OG0000066	WP_135618533.1	WP_014579581.1
OG0000067	WP_135619144.1	WP_011206493.1
OG0000068	WP_240536355.1	WP_160606743.1
OG0000069	WP_135618944.1	WP_160606447.1
OG0000070	WP_135618951.1	WP_160600966.1
OG0000071	WP_135618998.1	WP_160606583.1
OG0000072	WP_135619124.1	WP_160606795.1
OG0000073	WP_179695988.1	WP_179695988.1
OG0000074	WP_240536348.1	WP_160606566.1
OG0000075	WP_135618668.1	WP_160606548.1
OG0000076	WP_240536363.1	WP_308704599.1
OG0000077	WP_135618515.1	WP_160606517.1
OG0000078	WP_240536354.1	WP_308704608.1
OG0000079	WP_220200502.1	WP_220200698.1
OG0000080	WP_135618852.1	WP_160606599.1
OG0000081	WP_011206216.1	WP_014579823.1
OG0000082	WP_135618854.1	WP_160606601.1
OG0000083	WP_135618856.1	WP_020835728.1
OG0000084	WP_011206222.1	WP_011284142.1
OG0000085	WP_135618858.1	WP_011206224.1
OG0000086	WP_135618860.1	WP_160606607.1
OG0000087	WP_220190703.1	WP_225973040.1
OG0000088	WP_044272477.1	WP_020835732.1
OG0000089	WP_044272480.1	WP_258555428.1
OG0000090	WP_011206231.1	WP_011290212.1
OG0000091	WP_135618448.1	WP_160606901.1
OG0000092	WP_044278048.1	WP_094521535.1
OG0000093	WP_135618446.1	WP_011289935.1
OG0000094	WP_011205850.1	WP_020835487.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_011205848.1	WP_160606481.1
OG0000097	WP_011205847.1	WP_160606483.1
OG0000098	WP_011205846.1	WP_160584856.1
OG0000099	WP_014579519.1	WP_160606485.1
OG0000100	WP_135618442.1	WP_044272256.1
OG0000101	WP_135618439.1	WP_135618439.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_135619174.1	WP_160606489.1
OG0000105	WP_135619172.1	WP_160606491.1
OG0000106	WP_014580047.1	WP_160606493.1
OG0000107	WP_135619170.1	WP_160588100.1
OG0000108	WP_011206522.1	WP_011290443.1
OG0000109	WP_135619169.1	WP_160606495.1
OG0000110	WP_135619167.1	WP_160606497.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_135619192.1	WP_020835678.1
OG0000113	WP_135618779.1	WP_160606775.1
OG0000114	WP_135618781.1	WP_160606773.1
OG0000115	WP_135618876.1	WP_160606854.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_135618878.1	WP_146379628.1
OG0000118	WP_135618882.1	WP_146379630.1
OG0000119	WP_011206243.1	WP_014579831.1
OG0000120	WP_135618884.1	WP_160606852.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_192894278.1
OG0000123	WP_135618926.1	WP_094521705.1
OG0000124	WP_240536331.1	WP_258555455.1
OG0000125	WP_011206273.1	WP_160606729.1
OG0000126	WP_240536330.1	WP_258555456.1
OG0000127	WP_135618921.1	WP_160606733.1
OG0000128	WP_011206268.1	WP_160606955.1
OG0000129	WP_225972979.1	WP_258555507.1
OG0000130	WP_011206264.1	WP_160606959.1
OG0000131	WP_135618672.1	WP_011205977.1
OG0000132	WP_135618674.1	WP_011290103.1
OG0000133	WP_135618676.1	WP_160606554.1
OG0000134	WP_135618678.1	WP_160606556.1
OG0000135	WP_135618680.1	WP_020835635.1
OG0000136	WP_228729171.1	WP_011290108.1
OG0000137	WP_135618686.1	WP_160585678.1
OG0000138	WP_011205966.1	WP_020835639.1
OG0000139	WP_011205965.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_020835640.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_135618690.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011205950.1	WP_160606641.1
OG0000149	WP_135618699.1	WP_160606639.1
OG0000150	WP_135618701.1	WP_011205948.1
OG0000151	WP_135618705.1	WP_160606635.1
OG0000152	WP_135618707.1	WP_160600834.1
OG0000153	WP_020835651.1	WP_160606633.1
OG0000154	WP_135618709.1	WP_160606631.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_135618710.1	WP_160606629.1
OG0000157	WP_014579735.1	WP_160606627.1
OG0000158	WP_135618714.1	WP_044272410.1
OG0000159	WP_014579586.1	WP_041361727.1
OG0000160	WP_135618544.1	WP_160606829.1
OG0000161	WP_014579589.1	WP_094521764.1
OG0000162	WP_233688635.1	WP_308704615.1
OG0000163	WP_011206121.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_160606832.1
OG0000165	WP_135618546.1	WP_011206119.1
OG0000166	WP_135618548.1	WP_160606834.1
OG0000167	WP_135618550.1	WP_160606836.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_135618561.1	WP_160606672.1
OG0000170	WP_135618563.1	WP_160606670.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_011206101.1
OG0000173	WP_011284290.1	WP_160606564.1
OG0000174	WP_135619030.1	WP_094521740.1
OG0000175	WP_135619028.1	WP_160606568.1
OG0000176	WP_135619026.1	WP_011206391.1
OG0000177	WP_135619024.1	WP_011206390.1
OG0000178	WP_135619022.1	WP_160606570.1
OG0000179	WP_240536347.1	WP_160606572.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_135619018.1	WP_011206384.1
OG0000182	WP_135619016.1	WP_160606574.1
OG0000183	WP_135619012.1	WP_160587854.1
OG0000184	WP_011290331.1	WP_011206379.1
OG0000185	WP_135619010.1	WP_160606577.1
OG0000186	WP_135619008.1	WP_011284272.1
OG0000187	WP_135619006.1	WP_011206376.1
OG0000188	WP_135619000.1	WP_160606581.1
OG0000189	WP_135618994.1	WP_135618994.1
OG0000190	WP_020835827.1	WP_160606405.1
OG0000191	WP_135618992.1	WP_011206347.1
OG0000192	WP_094521730.1	WP_011206345.1
OG0000193	WP_135618986.1	WP_160606409.1
OG0000194	WP_135618984.1	WP_020835820.1
OG0000195	WP_135618982.1	WP_160606411.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_014579918.1	WP_011206334.1
OG0000198	WP_135618980.1	WP_160606413.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_160590318.1
OG0000201	WP_011206287.1	WP_160606813.1
OG0000202	WP_135618730.1	WP_160606621.1
OG0000203	WP_011284063.1	WP_011206142.1
OG0000204	WP_135618732.1	WP_160606619.1
OG0000205	WP_014579804.1	WP_014579804.1
OG0000206	WP_011206196.1	WP_160606471.1
OG0000207	WP_011290187.1	WP_020835709.1
OG0000208	WP_135618828.1	WP_160606473.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_135618840.1	WP_011290193.1
OG0000211	WP_135618843.1	WP_160606589.1
OG0000212	WP_135618846.1	WP_011206207.1
OG0000213	WP_135618848.1	WP_160606591.1
OG0000214	WP_135619057.1	WP_160606713.1
OG0000215	WP_011206422.1	WP_050195447.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_135619059.1	WP_011284312.1
OG0000218	WP_011290369.1	WP_160606711.1
OG0000219	WP_135619066.1	WP_160606705.1
OG0000220	WP_135619070.1	WP_160606703.1
OG0000221	WP_135619073.1	WP_160606701.1
OG0000222	WP_135619075.1	WP_160606699.1
OG0000223	WP_135619077.1	WP_160606697.1
OG0000224	WP_011206441.1	WP_020835878.1
OG0000225	WP_135619079.1	WP_160606695.1
OG0000226	WP_011206444.1	WP_014579979.1
OG0000227	WP_011206445.1	WP_011206445.1
OG0000228	WP_135619081.1	WP_011284327.1
OG0000229	WP_135619094.1	WP_160606860.1
OG0000230	WP_011206453.1	WP_160585211.1
OG0000231	WP_135619227.1	WP_160606872.1
OG0000232	WP_135619098.1	WP_160606866.1
OG0000233	WP_011206457.1	WP_160606868.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_135619099.1	WP_011206459.1
OG0000236	WP_135619105.1	WP_160606870.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_135619119.1	WP_011206468.1
OG0000239	WP_011290400.1	WP_160606799.1
OG0000240	WP_135619118.1	WP_011290399.1
OG0000241	WP_135619116.1	WP_146379740.1
OG0000242	WP_135619122.1	WP_160606797.1
OG0000243	WP_135618716.1	WP_146379568.1
OG0000244	WP_135618718.1	WP_020835656.1
OG0000245	WP_011290131.1	WP_160606625.1
OG0000246	WP_135618720.1	WP_020835657.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_135618893.1	WP_160606844.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_240536314.1	WP_160606846.1
OG0000253	WP_135619204.1	WP_020835755.1
OG0000254	WP_011205992.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_135618652.1	WP_160606909.1
OG0000257	WP_011283923.1	WP_160606664.1
OG0000258	WP_094521583.1	WP_011283924.1
OG0000259	WP_011206093.1	WP_160606660.1
OG0000260	WP_020835572.1	WP_160606658.1
OG0000261	WP_228729168.1	WP_020835573.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011206087.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_020835574.1	WP_160606655.1
OG0000266	WP_014579644.1	WP_160588272.1
OG0000267	WP_020835576.1	WP_160606653.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_011290034.1	WP_160606650.1
OG0000270	WP_135618573.1	WP_135618573.1
OG0000271	WP_135618575.1	WP_160606648.1
OG0000272	WP_011290039.1	WP_011290039.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_011206071.1	WP_308704603.1
OG0000275	WP_135618583.1	WP_160606691.1
OG0000276	WP_135618585.1	WP_020835585.1
OG0000277	WP_135618587.1	WP_135618587.1
OG0000278	WP_135618589.1	WP_011290044.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_160606689.1
OG0000281	WP_011206063.1	WP_160606687.1
OG0000282	WP_135618591.1	WP_135618591.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_135618601.1	WP_011206054.1
OG0000285	WP_135618604.1	WP_160606686.1
OG0000286	WP_135618610.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_011283965.1	WP_160606684.1
OG0000292	WP_135618612.1	WP_011206044.1
OG0000293	WP_011206042.1	WP_011290058.1
OG0000294	WP_228729170.1	WP_011206041.1
OG0000295	WP_135618616.1	WP_160606682.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_135618620.1	WP_044284599.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011206031.1
OG0000302	WP_135618622.1	WP_041361593.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_011206027.1
OG0000305	WP_014579604.1	WP_050195474.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_146379524.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_135618631.1	WP_044272360.1
OG0000311	WP_011206014.1	WP_160606761.1
OG0000312	WP_020835607.1	WP_160606763.1
OG0000313	WP_135618635.1	WP_146379533.1
OG0000314	WP_020835610.1	WP_020835610.1
OG0000315	WP_135618637.1	WP_020835611.1
OG0000316	WP_135618639.1	WP_020835612.1
OG0000317	WP_135618641.1	WP_160606765.1
OG0000318	WP_011206006.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_160606767.1
OG0000320	WP_014579672.1	WP_044272373.1
OG0000321	WP_135618644.1	WP_160606769.1
OG0000322	WP_020835619.1	WP_020835619.1
OG0000323	WP_011206399.1	WP_146379700.1
OG0000324	WP_135619034.1	WP_020835851.1
OG0000325	WP_020835852.1	WP_160588325.1
OG0000326	WP_135619036.1	WP_160585231.1
OG0000327	WP_135619038.1	WP_160606881.1
OG0000328	WP_011290352.1	WP_160606879.1
OG0000329	WP_011206406.1	WP_258555484.1
OG0000330	WP_135619044.1	WP_146379707.1
OG0000331	WP_135619046.1	WP_011284299.1
OG0000332	WP_050195463.1	WP_160606885.1
OG0000333	WP_135618466.1	WP_258555485.1
OG0000334	WP_135618468.1	WP_258555412.1
OG0000335	WP_020835500.1	WP_020835500.1
OG0000336	WP_135618472.1	WP_160606535.1
OG0000337	WP_135618476.1	WP_160584772.1
OG0000338	WP_135618480.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_014579544.1
OG0000341	WP_135618487.1	WP_011289963.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_135618489.1	WP_160606527.1
OG0000344	WP_135618491.1	WP_044284571.1
OG0000345	WP_020835510.1	WP_160600665.1
OG0000346	WP_014579550.1	WP_160600667.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_135618495.1	WP_044272682.1
OG0000349	WP_135618497.1	WP_020835513.1
OG0000350	WP_014579553.1	WP_014579553.1
OG0000351	WP_135618499.1	WP_160606525.1
OG0000352	WP_135618501.1	WP_011289973.1
OG0000353	WP_135618503.1	WP_011289974.1
OG0000354	WP_020835518.1	WP_220200685.1
OG0000355	WP_011289976.1	WP_146379469.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_020835520.1	WP_258555282.1
OG0000359	WP_135618507.1	WP_160606523.1
OG0000360	WP_135618509.1	WP_094521550.1
OG0000361	WP_135618511.1	WP_160606521.1
OG0000362	WP_135618513.1	WP_160606519.1
OG0000363	WP_135618519.1	WP_041361531.1
OG0000364	WP_135618521.1	WP_160606513.1
OG0000365	WP_011283885.1	WP_160606511.1
OG0000366	WP_011283887.1	WP_011283887.1
OG0000367	WP_135618527.1	WP_160606505.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_011283894.1	WP_011283894.1
OG0000372	WP_011206135.1	WP_011206135.1
OG0000373	WP_014579579.1	WP_160606874.1
OG0000374	WP_135619156.1	WP_146379761.1
OG0000375	WP_011206505.1	WP_020835916.1
OG0000376	WP_135619152.1	WP_020835915.1
OG0000377	WP_011206503.1	WP_011284373.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_228729166.1	WP_220200719.1
OG0000380	WP_135619148.1	WP_094521521.1
OG0000381	WP_238374142.1	WP_228366117.1
OG0000382	WP_011290421.1	WP_160606755.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_258555459.1
OG0000385	WP_135619140.1	WP_011206490.1
OG0000386	WP_014580012.1	WP_081430772.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_240536356.1	WP_160606749.1
OG0000389	WP_044272663.1	WP_044272663.1
OG0000390	WP_011206484.1	WP_160585585.1
OG0000391	WP_011290413.1	WP_160606747.1
OG0000392	WP_135619136.1	WP_160606745.1
OG0000393	WP_135618934.1	WP_160606821.1
OG0000394	WP_135618946.1	WP_011284216.1
OG0000395	WP_011284218.1	WP_011284218.1
OG0000396	WP_020835793.1	WP_160606443.1
OG0000397	WP_011206303.1	WP_011206303.1
OG0000398	WP_135618967.1	WP_011284237.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_011206319.1	WP_044284681.1
OG0000401	WP_135618964.1	WP_160606429.1
OG0000402	WP_135618960.1	WP_160587813.1
OG0000403	WP_011206315.1	WP_011206315.1
OG0000404	WP_135618956.1	WP_220200668.1
OG0000405	WP_011284228.1	WP_160606431.1
OG0000406	WP_135618953.1	WP_160606435.1
OG0000407	WP_041361673.1	WP_160606437.1
OG0000408	WP_020835798.1	WP_011284225.1
OG0000409	WP_135618474.1	WP_160606533.1
OG0000410	WP_135618482.1	WP_160606529.1
OG0000411	WP_014579572.1	WP_041361533.1
OG0000412	WP_135618529.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_146379484.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_135619020.1	WP_014579943.1
OG0000417	WP_135618990.1	WP_011206346.1
OG0000418	WP_135618974.1	WP_160606417.1
OG0000419	WP_020835811.1	WP_020835811.1
OG0000420	WP_135618958.1	WP_011206313.1
OG0000421	WP_135618948.1	WP_160606445.1
OG0000422	WP_011206293.1	WP_160606809.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_135618838.1	WP_160606479.1
OG0000425	WP_135618850.1	WP_160606593.1
OG0000426	WP_014579818.1	WP_160606597.1
OG0000427	WP_135618864.1	WP_146379589.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_240536307.1	WP_220200697.1
OG0000430	WP_135618880.1	WP_044272490.1
OG0000431	WP_135618919.1	WP_160606735.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_135618712.1	WP_160606645.1
OG0000435	WP_135618886.1	WP_094521693.1
OG0000436	WP_011206094.1	WP_160606662.1
OG0000437	WP_135618577.1	WP_160588270.1
OG0000438	WP_135618579.1	WP_160584807.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_041361583.1
OG0000441	WP_135618597.1	WP_225973017.1
OG0000442	WP_135618603.1	WP_044272348.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_135619040.1	WP_146379704.1
OG0000445	WP_135619068.1	WP_011290372.1
OG0000446	WP_135619072.1	WP_011206433.1
OG0000447	WP_135619225.1	WP_160606862.1
OG0000448	WP_135619096.1	WP_160606864.1
OG0000449	WP_135619138.1	WP_011206488.1
OG0000450	WP_135619142.1	WP_160606751.1
OG0000451	WP_011206506.1	WP_160588156.1
OG0000452	WP_135618722.1	WP_160606623.1
OG0000453	WP_050195472.1	WP_050195472.1
OG0000454	WP_011284394.1	WP_011284394.1
OG0000455	WP_135618962.1	WP_160587815.1
OG0000456	WP_135618866.1	WP_011290213.1
OG0000457	WP_135618913.1	WP_160606957.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_135618892.1	WP_011290226.1
OG0000460	WP_135618571.1	WP_160606656.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_135619146.1	WP_160606753.1
OG0000463	WP_135618682.1	WP_160606558.1
OG0000464	WP_052269168.1	WP_160606838.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_014580011.1	WP_308507030.1
OG0000467	WP_135619162.1	WP_160606927.1
OG0000468	WP_135618695.1	WP_160606560.1
OG0000469	WP_240536364.1	WP_240536364.1
OG0000470	WP_020835837.1	WP_020835837.1
OG0000471	WP_135619151.1	WP_160606759.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_228729169.1	WP_308704598.1
OG0000474	WP_044284839.1	WP_160606407.1
OG0000475	WP_240536362.1	WP_308704616.1
OG0000476	WP_135618830.1	WP_160606475.1
OG0000477	WP_011206227.1	WP_160606609.1
OG0000478	WP_135618688.1	WP_160584724.1
OG0000479	WP_233417361.1	WP_308704602.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_240536306.1	WP_308704593.1
OG0000482	WP_240536352.1	WP_228366113.1
OG0000483	WP_135619062.1	WP_160606709.1
OG0000484	WP_225973007.1	WP_228365405.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_011289979.1	WP_011289979.1
OG0000487	WP_094521719.1	WP_160606441.1
OG0000488	WP_240536351.1	WP_160606715.1
OG0000489	WP_276310470.1	WP_308704597.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011205844.1	WP_011289930.1
OG0000493	WP_135618444.1	WP_044272260.1
OG0000494	WP_011206527.1	WP_160606487.1
OG0000495	WP_240536358.1	WP_160606921.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_135618693.1	WP_160588252.1
OG0000499	WP_135618697.1	WP_160606562.1
OG0000500	WP_135618542.1	WP_044272311.1
OG0000501	WP_135618552.1	WP_160606840.1
OG0000502	WP_052259108.1	WP_160606666.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000504	WP_011206375.1	WP_011284271.1
OG0000506	WP_011290313.1	WP_014579921.1
OG0000509	WP_318026018.1	WP_148166908.1
OG0000510	WP_187145658.1	WP_220200714.1
OG0000512	WP_135618890.1	WP_160585790.1
OG0000513	WP_135618599.1	WP_146379514.1
OG0000516	WP_135618618.1	WP_011206036.1
OG0000518	WP_135618523.1	WP_160606509.1
OG0000519	WP_135618525.1	WP_160606507.1
OG0000520	WP_135618531.1	WP_011206136.1
OG0000522	WP_135619132.1	WP_160606741.1
OG0000523	WP_020835904.1	WP_020835904.1
OG0000524	WP_011206301.1	WP_011206301.1
OG0000525	WP_135618950.1	WP_160606439.1
OG0000526	WP_135618955.1	WP_160606433.1
OG0000527	WP_011206309.1	WP_094521720.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000531	WP_011284377.1	WP_011284377.1
OG0000532	WP_135619154.1	WP_160606907.1
OG0000533	WP_014579695.1	WP_160606911.1
OG0000534	WP_135618643.1	WP_020835615.1
OG0000535	WP_135619014.1	WP_160606575.1
OG0000536	WP_135618895.1	WP_160588293.1
OG0000537	WP_135618559.1	WP_160606674.1
OG0000538	WP_081430767.1	WP_160606963.1
OG0000539	WP_135618595.1	WP_146379513.1
OG0000540	WP_135619126.1	WP_160606793.1
OG0000542	WP_135619166.1	WP_160606923.1
OG0000544	WP_135619114.1	WP_160606801.1
OG0000545	WP_135618761.1	WP_308507102.1
OG0000548	WP_135618965.1	WP_160606427.1
OG0000549	WP_240536417.1	WP_160606961.1
OG0000550	WP_135619202.1	WP_160606603.1
OG0000551	WP_240536381.1	WP_258555438.1
OG0000552	WP_014579790.1	WP_160606457.1
OG0000553	WP_240536328.1	WP_258555457.1
OG0000554	WP_240536396.1	WP_258555394.1
OG0000555	WP_135618789.1	WP_258555499.1
OG0000556	WP_011206170.1	WP_011206170.1
OG0000557	WP_240536359.1	WP_258555486.1
OG0000558	WP_135618928.1	WP_160606725.1
OG0000559	WP_135618976.1	WP_011206330.1
OG0000561	WP_094521504.1	WP_094521504.1
OG0000562	WP_240536382.1	WP_258555437.1
OG0000563	WP_228729173.1	WP_258555502.1
OG0000565	WP_135618450.1	WP_160606895.1
OG0000566	WP_135618452.1	WP_160606893.1
OG0000567	WP_135618666.1	WP_160606546.1
OG0000568	WP_011205983.1	WP_160606544.1
OG0000569	WP_240536369.1	WP_308704591.1
OG0000570	WP_135618664.1	WP_160606542.1
OG0000571	WP_135618662.1	WP_160606917.1
OG0000572	WP_135618660.1	WP_160587997.1
OG0000573	WP_135618658.1	WP_160606915.1
OG0000574	WP_135618654.1	WP_160606913.1
OG0000575	WP_240536365.1	WP_011290073.1
OG0000576	WP_135618569.1	WP_044272325.1
OG0000577	WP_011206153.1	WP_011290145.1
OG0000578	WP_135618767.1	WP_160606786.1
OG0000579	WP_135618769.1	WP_160606784.1
OG0000580	WP_135618773.1	WP_160606779.1
OG0000581	WP_135618777.1	WP_020835676.1
OG0000582	WP_011206161.1	WP_020835677.1
OG0000583	WP_135618808.1	WP_011290172.1
OG0000584	WP_011206182.1	WP_160606454.1
OG0000585	WP_135618812.1	WP_146379618.1
OG0000586	WP_240536393.1	WP_225972971.1
OG0000587	WP_135618816.1	WP_160606459.1
OG0000588	WP_135618818.1	WP_135618818.1
OG0000589	WP_135618820.1	WP_160606463.1
OG0000590	WP_237697200.1	WP_258555377.1
OG0000591	WP_044284684.1	WP_160606415.1
OG0000592	WP_135618988.1	WP_258555387.1
OG0000593	WP_135619129.1	WP_160606791.1
OG0000594	WP_135619160.1	WP_160606903.1
OG0000595	WP_240536368.1	WP_014579703.1
