Orthogroup	MHP_Ue273_proteins	MHP_1257_proteins
OG0000092	WP_011205847.1	WP_348572163.1
OG0000093	WP_020835484.1	WP_348571911.1
OG0000094	WP_020835483.1	WP_160606485.1
OG0000095	WP_347952339.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_347952335.1	WP_348571902.1
OG0000098	WP_347952333.1	WP_348571899.1
OG0000099	WP_347952328.1	WP_348571889.1
OG0000100	WP_347952325.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_347952452.1	WP_020835678.1
OG0000103	WP_011290214.1	WP_348571656.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_347952214.1	WP_094521691.1
OG0000106	WP_146379631.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_192894278.1
OG0000109	WP_347952216.1	WP_348571653.1
OG0000110	WP_347952231.1	WP_348571715.1
OG0000111	WP_347952230.1	WP_348571713.1
OG0000112	WP_347952229.1	WP_348571709.1
OG0000113	WP_347952226.1	WP_348571700.1
OG0000114	WP_347952224.1	WP_348571697.1
OG0000115	WP_011284183.1	WP_348571692.1
OG0000116	WP_347952415.1	WP_348572051.1
OG0000117	WP_347952416.1	WP_348572053.1
OG0000118	WP_179696056.1	WP_348572057.1
OG0000119	WP_135618686.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_347952423.1	WP_011290118.1
OG0000125	WP_347952424.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_347952426.1	WP_348572065.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_348572069.1
OG0000132	WP_011205939.1	WP_348572073.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_347952377.1	WP_308704690.1
OG0000135	WP_347952378.1	WP_160585148.1
OG0000136	WP_347952379.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_348571999.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_146379698.1	WP_348571817.1
OG0000142	WP_011284289.1	WP_348571815.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_020835844.1	WP_348571809.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_160584978.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_280996773.1	WP_020835827.1
OG0000153	WP_160615699.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_179221181.1	WP_348571792.1
OG0000157	WP_011206334.1	WP_020835818.1
OG0000158	WP_347952256.1	WP_348571790.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_348571739.1
OG0000161	WP_014579880.1	WP_348571736.1
OG0000162	WP_347952489.1	WP_348572151.1
OG0000163	WP_347952237.1	WP_348571730.1
OG0000164	WP_347952440.1	WP_348572081.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_347952199.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160606591.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_146379717.1	WP_011290367.1
OG0000172	WP_347952285.1	WP_011206424.1
OG0000173	WP_347952286.1	WP_348571830.1
OG0000174	WP_160600929.1	WP_160600929.1
OG0000175	WP_160585645.1	WP_160585645.1
OG0000176	WP_347952289.1	WP_160607777.1
OG0000177	WP_347952290.1	WP_160585273.1
OG0000178	WP_044272620.1	WP_020835878.1
OG0000179	WP_160585639.1	WP_020835880.1
OG0000180	WP_160585638.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_348571845.1
OG0000184	WP_011290401.1	WP_160585238.1
OG0000185	WP_347952304.1	WP_020835897.1
OG0000186	WP_347952429.1	WP_348572074.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_347952219.1	WP_348571642.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_348571650.1
OG0000192	WP_347952483.1	WP_348572133.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011283923.1	WP_011290023.1
OG0000195	WP_011290024.1	WP_094521583.1
OG0000196	WP_347952385.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_014579644.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011283943.1	WP_011206073.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_146379508.1	WP_348571987.1
OG0000205	WP_014579632.1	WP_160585610.1
OG0000206	WP_011206066.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_094521594.1
OG0000208	WP_011283952.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_011283965.1	WP_014579616.1
OG0000217	WP_160585731.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_348571970.1
OG0000220	WP_020835592.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_050195484.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_041361593.1	WP_160608021.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_348572008.1
OG0000234	WP_347952402.1	WP_348572012.1
OG0000235	WP_243216014.1	WP_348572016.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_347952403.1	WP_348572018.1
OG0000238	WP_011206006.1	WP_348572020.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_160585227.1	WP_020835851.1
OG0000241	WP_044284696.1	WP_160585231.1
OG0000242	WP_347952271.1	WP_348571822.1
OG0000243	WP_160585630.1	WP_348571824.1
OG0000244	WP_011206406.1	WP_041361690.1
OG0000245	WP_347952272.1	WP_011206408.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_347952349.1	WP_348571925.1
OG0000248	WP_014579535.1	WP_052259122.1
OG0000249	WP_347952350.1	WP_348571927.1
OG0000250	WP_011289957.1	WP_160584772.1
OG0000251	WP_347952354.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_347952355.1	WP_135618489.1
OG0000254	WP_347952356.1	WP_348571935.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_347952363.1	WP_348571940.1
OG0000260	WP_347952364.1	WP_094521550.1
OG0000261	WP_347952366.1	WP_348571945.1
OG0000262	WP_135618519.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_146379476.1	WP_179695949.1
OG0000266	WP_347952368.1	WP_011205923.1
OG0000267	WP_347952369.1	WP_044284773.1
OG0000268	WP_146379478.1	WP_011283894.1
OG0000269	WP_160608050.1	WP_011206134.1
OG0000270	WP_347952322.1	WP_348571879.1
OG0000271	WP_160588152.1	WP_348571877.1
OG0000272	WP_146379758.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_347952320.1	WP_160590207.1
OG0000275	WP_228366117.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_347952317.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_160588182.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_094521520.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_347952314.1	WP_348571870.1
OG0000283	WP_014580009.1	WP_014580009.1
OG0000284	WP_347952313.1	WP_011206484.1
OG0000285	WP_347952312.1	WP_011290413.1
OG0000286	WP_347952236.1	WP_348571727.1
OG0000287	WP_347952242.1	WP_011206297.1
OG0000288	WP_011206299.1	WP_348571747.1
OG0000289	WP_347952244.1	WP_348571749.1
OG0000290	WP_011290297.1	WP_014579908.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_044284681.1
OG0000293	WP_020835805.1	WP_348571776.1
OG0000294	WP_146379669.1	WP_348571770.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_348571761.1
OG0000297	WP_020835798.1	WP_348571759.1
OG0000298	WP_347952352.1	WP_160606533.1
OG0000299	WP_094521545.1	WP_135618482.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_347952395.1	WP_220190741.1
OG0000305	WP_020835841.1	WP_348571807.1
OG0000306	WP_044272563.1	WP_348571801.1
OG0000307	WP_044284687.1	WP_348571795.1
OG0000308	WP_020835811.1	WP_044284683.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_347952243.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_347952239.1	WP_348571741.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_347952198.1	WP_348572130.1
OG0000315	WP_160606593.1	WP_011290197.1
OG0000316	WP_347952202.1	WP_348571614.1
OG0000317	WP_135618864.1	WP_146379589.1
OG0000318	WP_347952203.1	WP_348571617.1
OG0000319	WP_044272490.1	WP_135618880.1
OG0000320	WP_347952228.1	WP_348571706.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_347952484.1	WP_348572071.1
OG0000324	WP_094521693.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160600880.1	WP_348571989.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_220200845.1	WP_041361583.1
OG0000329	WP_347952392.1	WP_348571982.1
OG0000330	WP_347952399.1	WP_011206016.1
OG0000331	WP_135619040.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_020835889.1
OG0000335	WP_041361699.1	WP_348571841.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_050195472.1
OG0000338	WP_347952338.1	WP_014580051.1
OG0000339	WP_347952223.1	WP_348571695.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_160590303.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_348571995.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_348571964.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_347952390.1	WP_225973015.1
OG0000349	WP_160588173.1	WP_348571875.1
OG0000350	WP_347952261.1	WP_160608078.1
OG0000351	WP_347952371.1	WP_348571953.1
OG0000352	WP_347952480.1	WP_160585020.1
OG0000353	WP_347952420.1	WP_160607804.1
OG0000354	WP_308507047.1	WP_348571997.1
OG0000355	WP_347952478.1	WP_020835708.1
OG0000356	WP_347952201.1	WP_308507057.1
OG0000357	WP_228366113.1	WP_348571833.1
OG0000358	WP_347952287.1	WP_348571835.1
OG0000359	WP_347952388.1	WP_348571992.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_347952362.1	WP_348571938.1
OG0000362	WP_160600961.1	WP_160600961.1
OG0000363	WP_232039606.1	WP_348572138.1
OG0000364	WP_347952477.1	WP_348572126.1
OG0000365	WP_347952205.1	WP_348571628.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_225973040.1	WP_044272474.1
OG0000368	WP_011289935.1	WP_348571915.1
OG0000369	WP_011289930.1	WP_011289930.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_044272256.1	WP_348571909.1
OG0000372	WP_160588106.1	WP_348571907.1
OG0000373	WP_347952336.1	WP_348571904.1
OG0000374	WP_347952334.1	WP_348571901.1
OG0000375	WP_011284163.1	WP_135618878.1
OG0000376	WP_146379646.1	WP_348571711.1
OG0000377	WP_041361661.1	WP_160606733.1
OG0000378	WP_347952414.1	WP_348572050.1
OG0000379	WP_347952419.1	WP_348572059.1
OG0000380	WP_347952422.1	WP_160588252.1
OG0000382	WP_347952427.1	WP_348572067.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_347952375.1	WP_348571958.1
OG0000386	WP_011206121.1	WP_348572169.1
OG0000387	WP_347952380.1	WP_348571961.1
OG0000388	WP_347952381.1	WP_348571963.1
OG0000389	WP_135618561.1	WP_011290013.1
OG0000390	WP_011206390.1	WP_160584967.1
OG0000391	WP_020835843.1	WP_044284693.1
OG0000392	WP_160584971.1	WP_160607852.1
OG0000393	WP_347952264.1	WP_348571802.1
OG0000394	WP_347952259.1	WP_011290313.1
OG0000395	WP_347952258.1	WP_348571794.1
OG0000396	WP_020835781.1	WP_348571728.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_020835709.1
OG0000399	WP_347952200.1	WP_348571612.1
OG0000400	WP_347952283.1	WP_044272610.1
OG0000401	WP_011206432.1	WP_135619070.1
OG0000402	WP_020835872.1	WP_020835872.1
OG0000403	WP_187145658.1	WP_220200714.1
OG0000404	WP_160585640.1	WP_348571837.1
OG0000405	WP_347952291.1	WP_348571838.1
OG0000406	WP_020835892.1	WP_348572160.1
OG0000407	WP_347952298.1	WP_348571843.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_011290400.1
OG0000412	WP_011290399.1	WP_146379741.1
OG0000413	WP_347952428.1	WP_243216061.1
OG0000414	WP_011284053.1	WP_348572075.1
OG0000415	WP_347952430.1	WP_020835657.1
OG0000416	WP_160601243.1	WP_011284056.1
OG0000417	WP_347952218.1	WP_348571645.1
OG0000418	WP_347952217.1	WP_348571647.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_347952386.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_347952389.1	WP_146379504.1
OG0000423	WP_011206068.1	WP_135618585.1
OG0000424	WP_011206067.1	WP_348571985.1
OG0000425	WP_011283949.1	WP_011206065.1
OG0000426	WP_011283950.1	WP_011206064.1
OG0000427	WP_347952391.1	WP_135618593.1
OG0000428	WP_135618601.1	WP_348571979.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_347952394.1	WP_348571968.1
OG0000431	WP_011290067.1	WP_146379524.1
OG0000432	WP_347952398.1	WP_348572010.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_044284602.1	WP_020835607.1
OG0000435	WP_011290077.1	WP_348572014.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000438	WP_347952404.1	WP_348572022.1
OG0000439	WP_020835619.1	WP_020835619.1
OG0000440	WP_160585229.1	WP_160588325.1
OG0000441	WP_347952273.1	WP_011284299.1
OG0000442	WP_347952348.1	WP_160607726.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_348571931.1
OG0000445	WP_044284571.1	WP_348571933.1
OG0000446	WP_347952358.1	WP_146379467.1
OG0000447	WP_347952359.1	WP_014579553.1
OG0000448	WP_011289976.1	WP_011289976.1
OG0000449	WP_011289981.1	WP_348571941.1
OG0000450	WP_347952365.1	WP_348571943.1
OG0000451	WP_160584753.1	WP_011205913.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_348571949.1
OG0000454	WP_347952434.1	WP_348572077.1
OG0000455	WP_347952324.1	WP_348571882.1
OG0000456	WP_347952315.1	WP_011206487.1
OG0000458	WP_020835790.1	WP_179695977.1
OG0000459	WP_014579890.1	WP_348571752.1
OG0000460	WP_347952245.1	WP_348571755.1
OG0000461	WP_347952248.1	WP_348571769.1
OG0000462	WP_011284228.1	WP_348571766.1
OG0000463	WP_011206310.1	WP_135618955.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_347952247.1	WP_348571763.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_347952254.1	WP_348571786.1
OG0000468	WP_011290194.1	WP_348571610.1
OG0000469	WP_014579824.1	WP_348571626.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_135618603.1	WP_348571977.1
OG0000472	WP_347952306.1	WP_348571858.1
OG0000473	WP_160588156.1	WP_044272671.1
OG0000474	WP_041361711.1	WP_348571881.1
OG0000475	WP_347952323.1	WP_160584892.1
OG0000476	WP_347952431.1	WP_014579742.1
OG0000477	WP_347952249.1	WP_348571773.1
OG0000478	WP_347952319.1	WP_146379753.1
OG0000479	WP_146379554.1	WP_348572056.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_347952406.1	WP_348572032.1
OG0000483	WP_347952210.1	WP_348571634.1
OG0000484	WP_347952353.1	WP_348571929.1
OG0000485	WP_020835615.1	WP_011206004.1
OG0000486	WP_160585249.1	WP_160588293.1
OG0000487	WP_220191052.1	WP_348571619.1
OG0000488	WP_347952207.1	WP_348571630.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_347952337.1	WP_160606487.1
OG0000491	WP_020835639.1	WP_348572058.1
OG0000492	WP_094521628.1	WP_348572060.1
OG0000493	WP_146379488.1	WP_348571965.1
OG0000494	WP_052269169.1	WP_020835567.1
OG0000495	WP_011284272.1	WP_160607844.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_011206374.1	WP_348571803.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_011284249.1
OG0000500	WP_347952479.1	WP_348572127.1
OG0000501	WP_347952284.1	WP_220190663.1
OG0000502	WP_347952405.1	WP_348572030.1
OG0000503	WP_020835576.1	WP_348571993.1
OG0000504	WP_011283955.1	WP_146379513.1
OG0000505	WP_011290053.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_348571971.1
OG0000508	WP_044272682.1	WP_020835512.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_347952361.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_347952246.1	WP_348571757.1
OG0000513	WP_347952316.1	WP_348571873.1
OG0000514	WP_347952266.1	WP_348571805.1
OG0000516	WP_146379601.1	WP_348571621.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_160585644.1	WP_044272613.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000520	WP_135618599.1	WP_348571981.1
OG0000521	WP_347952360.1	WP_348571936.1
OG0000523	WP_347952311.1	WP_348571866.1
OG0000524	WP_347952253.1	WP_348571784.1
OG0000525	WP_347952307.1	WP_011290405.1
OG0000526	WP_347952474.1	WP_348572119.1
OG0000527	WP_347952463.1	WP_225972972.1
OG0000528	WP_347952204.1	WP_348571624.1
OG0000529	WP_014579831.1	WP_014579831.1
OG0000530	WP_347952225.1	WP_160585298.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_347952443.1	WP_348572085.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_160615517.1	WP_348571947.1
OG0000535	WP_347952340.1	WP_348571913.1
OG0000536	WP_347952329.1	WP_348571891.1
OG0000537	WP_011290028.1	WP_011290028.1
OG0000538	WP_347952401.1	WP_020835608.1
OG0000539	WP_160585545.1	WP_160585545.1
OG0000540	WP_347952250.1	WP_348571778.1
OG0000541	WP_347952257.1	WP_348572155.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000544	WP_308507042.1	WP_348572038.1
OG0000545	WP_347952473.1	WP_348572116.1
OG0000546	WP_347952262.1	WP_348571799.1, WP_348571798.1
OG0000547	WP_011290341.1	WP_348571811.1
OG0000548	WP_347952439.1	WP_347952439.1
OG0000549	WP_347952305.1	WP_348571855.1
OG0000550	WP_347952321.1	WP_220191147.1
OG0000552	WP_347952288.1	WP_348572158.1
OG0000553	WP_347952255.1	WP_348571788.1
OG0000554	WP_347952232.1	WP_348571717.1
OG0000557	WP_011205983.1	WP_146379545.1
OG0000558	WP_011205989.1	WP_020835624.1
OG0000559	WP_020835677.1	WP_020835677.1
OG0000560	WP_160607878.1	WP_011284100.1
OG0000561	WP_011290073.1	WP_094521603.1
OG0000562	WP_160585755.1	WP_348572112.1
