Orthogroup	MHP_Ue273_genes	MFC_ATCC27716_genes
OG0000254	VQY17_RS00235	MFC_RS02455
OG0000255	VQY17_RS00245	MFC_RS02465
OG0000256	VQY17_RS00250	MFC_RS02470
OG0000257	VQY17_RS00275	MFC_RS02495
OG0000258	VQY17_RS00285	MFC_RS02505
OG0000259	VQY17_RS00315	MFC_RS02535
OG0000260	VQY17_RS00325	MFC_RS02545
OG0000261	VQY17_RS00335	MFC_RS02555
OG0000262	VQY17_RS00350	MFC_RS02570
OG0000263	VQY17_RS00365	MFC_RS02585
OG0000264	VQY17_RS00380	MFC_RS02600
OG0000265	VQY17_RS00390	MFC_RS02610
OG0000266	VQY17_RS00405	MFC_RS02625
OG0000267	VQY17_RS00420	MFC_RS02640
OG0000268	VQY17_RS00425	MFC_RS02645
OG0000269	VQY17_RS00440	MFC_RS02660
OG0000270	VQY17_RS03495	MFC_RS02720
OG0000271	VQY17_RS03490	MFC_RS02725
OG0000272	VQY17_RS03485	MFC_RS02730
OG0000273	VQY17_RS03480	MFC_RS02735
OG0000274	VQY17_RS03460	MFC_RS02755
OG0000275	VQY17_RS03455	MFC_RS03455
OG0000276	VQY17_RS03450	MFC_RS02765
OG0000277	VQY17_RS03435	MFC_RS02775
OG0000278	VQY17_RS03430	MFC_RS02780
OG0000279	VQY17_RS03420	MFC_RS02790
OG0000280	VQY17_RS03415	MFC_RS02795
OG0000281	VQY17_RS03410	MFC_RS03255
OG0000282	VQY17_RS03380	MFC_RS02820
OG0000283	VQY17_RS03375	MFC_RS02825
OG0000284	VQY17_RS03370	MFC_RS02830
OG0000285	VQY17_RS03365	MFC_RS02835
OG0000286	VQY17_RS02420	MFC_RS02865
OG0000287	VQY17_RS02510	MFC_RS02890
OG0000288	VQY17_RS02520	MFC_RS02900
OG0000289	VQY17_RS02525	MFC_RS02905
OG0000290	VQY17_RS02635	MFC_RS03030
OG0000291	VQY17_RS02625	MFC_RS03040
OG0000292	VQY17_RS02620	MFC_RS03045
OG0000293	VQY17_RS02615	MFC_RS03050
OG0000294	VQY17_RS02605	MFC_RS03060
OG0000295	VQY17_RS02600	MFC_RS03065
OG0000296	VQY17_RS02560	MFC_RS03110
OG0000297	VQY17_RS02555	MFC_RS03115
OG0000298	VQY17_RS00175	MFC_RS02395
OG0000299	VQY17_RS00195	MFC_RS02415
OG0000300	VQY17_RS00375	MFC_RS02595
OG0000301	VQY17_RS00410	MFC_RS02630
OG0000302	VQY17_RS00415	MFC_RS02635
OG0000303	VQY17_RS00560	MFC_RS00835
OG0000304	VQY17_RS01110	MFC_RS00865
OG0000305	VQY17_RS02860	MFC_RS01010
OG0000306	VQY17_RS02785	MFC_RS01090
OG0000307	VQY17_RS02745	MFC_RS01130
OG0000308	VQY17_RS02655	MFC_RS03020
OG0000309	VQY17_RS02590	MFC_RS03075
OG0000310	VQY17_RS02515	MFC_RS02895
OG0000311	VQY17_RS02480	MFC_RS01220
OG0000312	VQY17_RS02465	MFC_RS01240
OG0000313	VQY17_RS01630	MFC_RS01290
OG0000314	VQY17_RS02030	MFC_RS01360
OG0000315	VQY17_RS02060	MFC_RS01390
OG0000316	VQY17_RS02070	MFC_RS01400
OG0000317	VQY17_RS02170	MFC_RS00110
OG0000318	VQY17_RS02075	MFC_RS00020
OG0000319	VQY17_RS02235	MFC_RS00420
OG0000320	VQY17_RS02365	MFC_RS00485
OG0000321	VQY17_RS01350	MFC_RS00550
OG0000322	VQY17_RS01400	MFC_RS00595
OG0000323	VQY17_RS01530	MFC_RS00725
OG0000324	VQY17_RS02275	MFC_RS01775
OG0000325	VQY17_RS00700	MFC_RS01815
OG0000326	VQY17_RS00800	MFC_RS01905
OG0000327	VQY17_RS00805	MFC_RS01910
OG0000328	VQY17_RS00890	MFC_RS01995
OG0000329	VQY17_RS00915	MFC_RS02020
OG0000330	VQY17_RS01135	MFC_RS02200
OG0000331	VQY17_RS02960	MFC_RS02315
OG0000332	VQY17_RS03100	MFC_RS01505
OG0000333	VQY17_RS03110	MFC_RS01515
OG0000334	VQY17_RS03215	MFC_RS01585
OG0000335	VQY17_RS03225	MFC_RS01595
OG0000336	VQY17_RS03400	MFC_RS02805
OG0000337	VQY17_RS03575	MFC_RS00280
OG0000338	VQY17_RS03615	MFC_RS00240
OG0000339	VQY17_RS02340	MFC_RS00505
OG0000340	VQY17_RS01330	MFC_RS00530
OG0000341	VQY17_RS02295	MFC_RS01755
OG0000342	VQY17_RS00730	MFC_RS01845
OG0000343	VQY17_RS03120	MFC_RS01525
OG0000344	VQY17_RS00575	MFC_RS00850
OG0000345	VQY17_RS01055	MFC_RS02130
OG0000346	VQY17_RS03405	MFC_RS02800
OG0000347	VQY17_RS01425	MFC_RS00620
OG0000348	VQY17_RS00810	MFC_RS01915
OG0000349	VQY17_RS03470	MFC_RS02745
OG0000350	VQY17_RS02735	MFC_RS03345
OG0000351	VQY17_RS00495	MFC_RS00785
OG0000352	VQY17_RS02010	MFC_RS01340
OG0000353	VQY17_RS01390	MFC_RS00590
OG0000354	VQY17_RS00635	MFC_RS00900
OG0000355	VQY17_RS01985	MFC_RS01315
OG0000356	VQY17_RS02065	MFC_RS01395
OG0000357	VQY17_RS03080	MFC_RS01485
OG0000358	VQY17_RS03085	MFC_RS01490
OG0000359	VQY17_RS00780	MFC_RS01885
OG0000360	VQY17_RS00280	MFC_RS02500
OG0000361	VQY17_RS00310	MFC_RS02530
OG0000362	VQY17_RS02535	MFC_RS02915
OG0000363	VQY17_RS01465	MFC_RS00660
OG0000365	VQY17_RS02110	MFC_RS00050
OG0000366	VQY17_RS02140	MFC_RS00080
OG0000367	VQY17_RS02150	MFC_RS00090
OG0000368	VQY17_RS00060	MFC_RS00175
OG0000369	VQY17_RS00025	MFC_RS00210
OG0000370	VQY17_RS00020	MFC_RS00215
OG0000371	VQY17_RS00015	MFC_RS00220
OG0000372	VQY17_RS00010	MFC_RS00225
OG0000373	VQY17_RS03605	MFC_RS00250
OG0000374	VQY17_RS03595	MFC_RS00260
OG0000375	VQY17_RS02230	MFC_RS00415
OG0000376	VQY17_RS02380	MFC_RS00470
OG0000377	VQY17_RS02370	MFC_RS00480
OG0000378	VQY17_RS01310	MFC_RS00515
OG0000379	VQY17_RS01385	MFC_RS00585
OG0000380	VQY17_RS01415	MFC_RS00610
OG0000382	VQY17_RS01485	MFC_RS00680
OG0000383	VQY17_RS01525	MFC_RS00720
OG0000384	VQY17_RS00515	MFC_RS00790
OG0000385	VQY17_RS00520	MFC_RS00795
OG0000386	VQY17_RS00540	MFC_RS00815
OG0000387	VQY17_RS00565	MFC_RS00840
OG0000388	VQY17_RS00570	MFC_RS00845
OG0000389	VQY17_RS00615	MFC_RS00880
OG0000390	VQY17_RS02880	MFC_RS00990
OG0000391	VQY17_RS02870	MFC_RS01000
OG0000392	VQY17_RS02845	MFC_RS01030
OG0000393	VQY17_RS02790	MFC_RS01080
OG0000394	VQY17_RS02715	MFC_RS01145
OG0000395	VQY17_RS02710	MFC_RS01150
OG0000396	VQY17_RS02425	MFC_RS01280
OG0000397	VQY17_RS01995	MFC_RS01325
OG0000398	VQY17_RS02000	MFC_RS01330
OG0000399	VQY17_RS02045	MFC_RS01375
OG0000400	VQY17_RS03045	MFC_RS01450
OG0000401	VQY17_RS03105	MFC_RS01510
OG0000402	VQY17_RS03115	MFC_RS01520
OG0000403	VQY17_RS03125	MFC_RS01530
OG0000404	VQY17_RS03150	MFC_RS03375, MFC_RS01555
OG0000405	VQY17_RS03165	MFC_RS01570
OG0000406	VQY17_RS03230	MFC_RS01600
OG0000407	VQY17_RS03235	MFC_RS01605
OG0000408	VQY17_RS03240	MFC_RS01610
OG0000409	VQY17_RS03245	MFC_RS01615
OG0000410	VQY17_RS03310	MFC_RS01650
OG0000411	VQY17_RS03300	MFC_RS01660
OG0000412	VQY17_RS03295	MFC_RS01665
OG0000413	VQY17_RS01540	MFC_RS01705
OG0000414	VQY17_RS01550	MFC_RS01715
OG0000415	VQY17_RS01555	MFC_RS01720
OG0000416	VQY17_RS01565	MFC_RS01730
OG0000417	VQY17_RS02290	MFC_RS01760
OG0000418	VQY17_RS02285	MFC_RS01765
OG0000419	VQY17_RS00710	MFC_RS01825
OG0000420	VQY17_RS00745	MFC_RS01860
OG0000421	VQY17_RS00785	MFC_RS01890
OG0000422	VQY17_RS00795	MFC_RS01900
OG0000423	VQY17_RS00850	MFC_RS01955
OG0000424	VQY17_RS00855	MFC_RS01960
OG0000425	VQY17_RS00865	MFC_RS01970
OG0000426	VQY17_RS00870	MFC_RS01975
OG0000427	VQY17_RS00900	MFC_RS02000
OG0000428	VQY17_RS00925	MFC_RS02030
OG0000429	VQY17_RS01045	MFC_RS02120
OG0000430	VQY17_RS01090	MFC_RS02165
OG0000431	VQY17_RS01100	MFC_RS02175
OG0000432	VQY17_RS01130	MFC_RS02195
OG0000433	VQY17_RS01145	MFC_RS02205
OG0000434	VQY17_RS01150	MFC_RS02210
OG0000435	VQY17_RS01170	MFC_RS02225
OG0000436	VQY17_RS01195	MFC_RS03535
OG0000438	VQY17_RS01210	MFC_RS02275
OG0000439	VQY17_RS01215	MFC_RS02280
OG0000440	VQY17_RS02940	MFC_RS02295
OG0000441	VQY17_RS02975	MFC_RS02335
OG0000442	VQY17_RS00145	MFC_RS02350
OG0000443	VQY17_RS00190	MFC_RS02410
OG0000444	VQY17_RS00205	MFC_RS02425
OG0000445	VQY17_RS00230	MFC_RS02450
OG0000446	VQY17_RS00260	MFC_RS02480
OG0000447	VQY17_RS00265	MFC_RS02485
OG0000448	VQY17_RS00295	MFC_RS02515
OG0000449	VQY17_RS00320	MFC_RS02540
OG0000450	VQY17_RS00330	MFC_RS02550
OG0000451	VQY17_RS00370	MFC_RS02590
OG0000452	VQY17_RS00395	MFC_RS02615
OG0000453	VQY17_RS00430	MFC_RS02650
OG0000454	VQY17_RS01595	MFC_RS03440, MFC_RS03435
OG0000455	VQY17_RS03515	MFC_RS02700
OG0000456	VQY17_RS03390	MFC_RS02815
OG0000458	VQY17_RS02505	MFC_RS02885
OG0000459	VQY17_RS02530	MFC_RS02910
OG0000460	VQY17_RS02540	MFC_RS02920
OG0000461	VQY17_RS02585	MFC_RS03080
OG0000462	VQY17_RS02580	MFC_RS03085
OG0000463	VQY17_RS02575	MFC_RS03090
OG0000464	VQY17_RS02570	MFC_RS03100
OG0000465	VQY17_RS02565	MFC_RS03105
OG0000466	VQY17_RS00400	MFC_RS02620
OG0000467	VQY17_RS02665	MFC_RS03500
OG0000468	VQY17_RS02040	MFC_RS01370
OG0000469	VQY17_RS02100	MFC_RS00045
OG0000470	VQY17_RS00845	MFC_RS01950
OG0000471	VQY17_RS00930	MFC_RS02035
OG0000472	VQY17_RS03320	MFC_RS01680
OG0000473	VQY17_RS03500	MFC_RS02715
OG0000474	VQY17_RS03505	MFC_RS02710
OG0000475	VQY17_RS03510	MFC_RS02705
OG0000476	VQY17_RS01575	MFC_RS00345
OG0000477	VQY17_RS02610	MFC_RS03055
OG0000478	VQY17_RS03445	MFC_RS02770
OG0000479	VQY17_RS01345	MFC_RS00545
OG0000480	VQY17_RS02105	MFC_RS03300
OG0000481	VQY17_RS00820	MFC_RS01925
OG0000482	VQY17_RS01235	MFC_RS01790
OG0000483	VQY17_RS02155	MFC_RS00095
OG0000484	VQY17_RS00200	MFC_RS02420
OG0000487	VQY17_RS02080	MFC_RS00025
OG0000488	VQY17_RS02120	MFC_RS00065
OG0000489	VQY17_RS00050	MFC_RS00185
OG0000490	VQY17_RS03610	MFC_RS00245
OG0000491	VQY17_RS01365	MFC_RS00565
OG0000492	VQY17_RS01445	MFC_RS00640
OG0000493	VQY17_RS00580	MFC_RS00855
OG0000494	VQY17_RS00640	MFC_RS00905
OG0000495	VQY17_RS02815	MFC_RS01055
OG0000496	VQY17_RS02805	MFC_RS01065
OG0000497	VQY17_RS02800	MFC_RS01070
OG0000498	VQY17_RS02720	MFC_RS01140
OG0000499	VQY17_RS02685	MFC_RS01185
OG0000500	VQY17_RS02005	MFC_RS01335
OG0000501	VQY17_RS03055	MFC_RS01460
OG0000502	VQY17_RS01225	MFC_RS01800
OG0000503	VQY17_RS00760	MFC_RS01870
OG0000504	VQY17_RS00905	MFC_RS02005
OG0000505	VQY17_RS00965	MFC_RS02045
OG0000506	VQY17_RS00975	MFC_RS02055
OG0000507	VQY17_RS01010	MFC_RS02090
OG0000508	VQY17_RS00255	MFC_RS02475
OG0000509	VQY17_RS00290	MFC_RS02510
OG0000510	VQY17_RS00305	MFC_RS02520
OG0000511	VQY17_RS00435	MFC_RS02655
OG0000512	VQY17_RS02545	MFC_RS02925
OG0000513	VQY17_RS03425	MFC_RS02785
OG0000516	VQY17_RS02085	MFC_RS00030
OG0000517	VQY17_RS00065	MFC_RS00170
OG0000518	VQY17_RS03095	MFC_RS01500
OG0000519	VQY17_RS00790	MFC_RS01895
OG0000520	VQY17_RS00920	MFC_RS02025
OG0000521	VQY17_RS00270	MFC_RS02490
OG0000523	VQY17_RS03360	MFC_RS02845
OG0000524	VQY17_RS02660	MFC_RS03015
OG0000525	VQY17_RS03325	MFC_RS01685
OG0000528	VQY17_RS02090	MFC_RS00035
OG0000529	VQY17_RS02245	MFC_RS00430
OG0000530	VQY17_RS02350	MFC_RS00495
OG0000531	VQY17_RS01420	MFC_RS00615
OG0000532	VQY17_RS01660	MFC_RS00940
OG0000533	VQY17_RS00600	MFC_RS02185
OG0000534	VQY17_RS00385	MFC_RS02605
OG0000535	VQY17_RS00045	MFC_RS00190
OG0000536	VQY17_RS03545	MFC_RS00315
OG0000537	VQY17_RS00725	MFC_RS01840
OG0000538	VQY17_RS01160	MFC_RS02215
OG0000539	VQY17_RS00215	MFC_RS02435
OG0000540	VQY17_RS02630	MFC_RS03035
OG0000541	VQY17_RS02700	MFC_RS01170
OG0000542	VQY17_RS00355	MFC_RS02575
OG0000547	VQY17_RS02895	MFC_RS00980
OG0000548	VQY17_RS01625	MFC_RS01285
OG0000549	VQY17_RS03315	MFC_RS01675
OG0000550	VQY17_RS03465	MFC_RS02750
OG0000596	VQY17_RS01785	MFC_RS02370
OG0000598	VQY17_RS01790	MFC_RS02365
OG0000599	VQY17_RS01795	MFC_RS02360
OG0000602	VQY17_RS02115	MFC_RS00055
