Orthogroup	MHP_Ue273_genes	MHP_133A_genes
OG0000041	VQY17_RS00670	NB626_RS00770
OG0000042	VQY17_RS02925	NB626_RS03120
OG0000043	VQY17_RS01990	NB626_RS02045
OG0000044	VQY17_RS01710	NB626_RS01790
OG0000045	VQY17_RS01655	NB626_RS01725
OG0000046	VQY17_RS03280	NB626_RS03480
OG0000046	VQY17_RS03285	NB626_RS03475
OG0000047	VQY17_RS01605	NB626_RS00500
OG0000048	VQY17_RS02180	NB626_RS02235
OG0000049	VQY17_RS03040	NB626_RS03235
OG0000050	VQY17_RS02445	NB626_RS02625
OG0000051	VQY17_RS02645	NB626_RS02835
OG0000052	VQY17_RS00075	NB626_RS00075
OG0000053	VQY17_RS01470	NB626_RS01570
OG0000054	VQY17_RS02470	NB626_RS02650
OG0000055	VQY17_RS00135	NB626_RS00135
OG0000056	VQY17_RS03535	NB626_RS03740
OG0000057	VQY17_RS02900, VQY17_RS02905	NB626_RS03105
OG0000060	VQY17_RS00080	NB626_RS00080
OG0000061	VQY17_RS01930	NB626_RS01985
OG0000062	VQY17_RS03585	NB626_RS03790
OG0000063	VQY17_RS03580	NB626_RS03785
OG0000064	VQY17_RS03570	NB626_RS03775
OG0000065	VQY17_RS02255	NB626_RS02405
OG0000066	VQY17_RS01370	NB626_RS01470
OG0000068	VQY17_RS00645	NB626_RS00745
OG0000069	VQY17_RS02795	NB626_RS03000
OG0000070	VQY17_RS02475	NB626_RS02655
OG0000071	VQY17_RS03260	NB626_RS03460
OG0000072	VQY17_RS03265	NB626_RS03465
OG0000073	VQY17_RS00705	NB626_RS00810
OG0000074	VQY17_RS00910	NB626_RS01020, NB626_RS01025
OG0000075	VQY17_RS00345	NB626_RS00340
OG0000076	VQY17_RS00360	NB626_RS00360
OG0000077	VQY17_RS00445	NB626_RS00540
OG0000078	VQY17_RS01715	NB626_RS01795
OG0000079	VQY17_RS02550	NB626_RS02740
OG0000080	VQY17_RS02595	NB626_RS02790
OG0000081	VQY17_RS00340	NB626_RS00335
OG0000083	VQY17_RS02095	NB626_RS02155
OG0000084	VQY17_RS02125	NB626_RS02185
OG0000085	VQY17_RS02135	NB626_RS02190
OG0000086	VQY17_RS02145	NB626_RS02200
OG0000087	VQY17_RS02160	NB626_RS02215
OG0000088	VQY17_RS02165	NB626_RS02220
OG0000089	VQY17_RS02175	NB626_RS02230
OG0000090	VQY17_RS00070	NB626_RS00070
OG0000091	VQY17_RS00055	NB626_RS00055
OG0000092	VQY17_RS00040	NB626_RS00045
OG0000093	VQY17_RS00035	NB626_RS00035
OG0000094	VQY17_RS00030	NB626_RS00030
OG0000095	VQY17_RS00005	NB626_RS00005
OG0000096	VQY17_RS03620	NB626_RS03825
OG0000097	VQY17_RS03600	NB626_RS03805
OG0000098	VQY17_RS03590	NB626_RS03795
OG0000099	VQY17_RS03540	NB626_RS03745
OG0000100	VQY17_RS03525	NB626_RS03730
OG0000101	VQY17_RS03520	NB626_RS03725
OG0000102	VQY17_RS01750	NB626_RS01820
OG0000103	VQY17_RS02220	NB626_RS02370
OG0000104	VQY17_RS02225	NB626_RS02375
OG0000105	VQY17_RS02240	NB626_RS02395
OG0000106	VQY17_RS02250	NB626_RS02400
OG0000107	VQY17_RS02260	NB626_RS02410
OG0000108	VQY17_RS02265	NB626_RS02415
OG0000109	VQY17_RS02270	NB626_RS02420
OG0000110	VQY17_RS02390	NB626_RS02550
OG0000111	VQY17_RS02385	NB626_RS02545
OG0000112	VQY17_RS02375	NB626_RS02535
OG0000113	VQY17_RS02355	NB626_RS02510
OG0000114	VQY17_RS02345	NB626_RS02500
OG0000115	VQY17_RS02335	NB626_RS02490
OG0000116	VQY17_RS01315	NB626_RS01415
OG0000117	VQY17_RS01320	NB626_RS01420
OG0000118	VQY17_RS01355	NB626_RS01455
OG0000119	VQY17_RS01360	NB626_RS01460
OG0000120	VQY17_RS01375	NB626_RS01475
OG0000121	VQY17_RS01405	NB626_RS01505
OG0000122	VQY17_RS01410	NB626_RS01510
OG0000123	VQY17_RS01430	NB626_RS01530
OG0000124	VQY17_RS01435	NB626_RS01535
OG0000125	VQY17_RS01440	NB626_RS01540
OG0000126	VQY17_RS01455	NB626_RS01550
OG0000127	VQY17_RS01460	NB626_RS01560
OG0000128	VQY17_RS01475	NB626_RS01575
OG0000129	VQY17_RS01480	NB626_RS01580
OG0000130	VQY17_RS01490	NB626_RS01590
OG0000131	VQY17_RS01520	NB626_RS01620
OG0000132	VQY17_RS01535	NB626_RS01635
OG0000133	VQY17_RS00530	NB626_RS00630
OG0000134	VQY17_RS00535	NB626_RS00635
OG0000135	VQY17_RS00550	NB626_RS00650
OG0000136	VQY17_RS00555	NB626_RS00655
OG0000137	VQY17_RS00595	NB626_RS00685
OG0000138	VQY17_RS00620	NB626_RS00720
OG0000139	VQY17_RS00650	NB626_RS00750
OG0000140	VQY17_RS00655	NB626_RS00755
OG0000141	VQY17_RS02915	NB626_RS03115
OG0000142	VQY17_RS02910	NB626_RS03110
OG0000143	VQY17_RS02885	NB626_RS03095
OG0000144	VQY17_RS02875	NB626_RS03080
OG0000145	VQY17_RS02865	NB626_RS03070
OG0000146	VQY17_RS02855	NB626_RS03060
OG0000147	VQY17_RS02850	NB626_RS03055
OG0000148	VQY17_RS02835	NB626_RS03040
OG0000149	VQY17_RS02825	NB626_RS03030
OG0000150	VQY17_RS02810	NB626_RS03025
OG0000151	VQY17_RS02760	NB626_RS02965
OG0000152	VQY17_RS02755	NB626_RS02960
OG0000153	VQY17_RS02750	NB626_RS02955
OG0000154	VQY17_RS02740	NB626_RS02945
OG0000155	VQY17_RS02705	NB626_RS02905
OG0000156	VQY17_RS02695	NB626_RS02895
OG0000157	VQY17_RS02690	NB626_RS02890
OG0000158	VQY17_RS02680	NB626_RS02880
OG0000159	VQY17_RS02460	NB626_RS02640
OG0000160	VQY17_RS02455	NB626_RS02635
OG0000161	VQY17_RS02450	NB626_RS02630
OG0000162	VQY17_RS02440	NB626_RS02620
OG0000163	VQY17_RS02435	NB626_RS02615
OG0000164	VQY17_RS01640	NB626_RS01715
OG0000165	VQY17_RS02015	NB626_RS02075
OG0000166	VQY17_RS02035	NB626_RS02090
OG0000167	VQY17_RS02050	NB626_RS02105
OG0000168	VQY17_RS02055	NB626_RS02110
OG0000169	VQY17_RS03035	NB626_RS03230
OG0000170	VQY17_RS03050	NB626_RS03245
OG0000171	VQY17_RS03060	NB626_RS03255
OG0000172	VQY17_RS03065	NB626_RS03260
OG0000173	VQY17_RS03070	NB626_RS03265
OG0000174	VQY17_RS03075	NB626_RS03270
OG0000175	VQY17_RS03090	NB626_RS03290
OG0000176	VQY17_RS03135	NB626_RS03345
OG0000177	VQY17_RS03140	NB626_RS03350
OG0000178	VQY17_RS03145	NB626_RS03355
OG0000179	VQY17_RS03155	NB626_RS03365
OG0000180	VQY17_RS03160	NB626_RS03370
OG0000181	VQY17_RS03210	NB626_RS03410
OG0000182	VQY17_RS03220	NB626_RS03420
OG0000183	VQY17_RS03255	NB626_RS03455
OG0000184	VQY17_RS03305	NB626_RS03500
OG0000185	VQY17_RS03290	NB626_RS03485
OG0000186	VQY17_RS01545	NB626_RS01645
OG0000187	VQY17_RS01560	NB626_RS01660
OG0000188	VQY17_RS01570	NB626_RS01670
OG0000189	VQY17_RS02305	NB626_RS02460
OG0000190	VQY17_RS02300	NB626_RS02455
OG0000191	VQY17_RS02280	NB626_RS02430
OG0000192	VQY17_RS01240	NB626_RS01335
OG0000193	VQY17_RS01230	NB626_RS01320
OG0000194	VQY17_RS00690	NB626_RS00790
OG0000195	VQY17_RS00695	NB626_RS00795
OG0000196	VQY17_RS00715	NB626_RS00820
OG0000197	VQY17_RS00720	NB626_RS00830
OG0000198	VQY17_RS00735	NB626_RS00840
OG0000199	VQY17_RS00740	NB626_RS00845
OG0000200	VQY17_RS00755	NB626_RS00860
OG0000201	VQY17_RS00765	NB626_RS00870
OG0000202	VQY17_RS00825	NB626_RS00940
OG0000203	VQY17_RS00830	NB626_RS00945
OG0000204	VQY17_RS00835	NB626_RS00950
OG0000205	VQY17_RS00840	NB626_RS00955
OG0000206	VQY17_RS00860	NB626_RS00975
OG0000207	VQY17_RS00875	NB626_RS00990
OG0000208	VQY17_RS00880	NB626_RS00995
OG0000209	VQY17_RS00885	NB626_RS01000
OG0000210	VQY17_RS00935	NB626_RS01050
OG0000211	VQY17_RS00970	NB626_RS01065
OG0000212	VQY17_RS00980	NB626_RS01070
OG0000213	VQY17_RS00985	NB626_RS01075
OG0000214	VQY17_RS00990	NB626_RS01080
OG0000215	VQY17_RS00995	NB626_RS01085
OG0000216	VQY17_RS01000	NB626_RS01090
OG0000217	VQY17_RS01005	NB626_RS01095
OG0000218	VQY17_RS01015	NB626_RS01105
OG0000219	VQY17_RS01020	NB626_RS01110
OG0000220	VQY17_RS01025	NB626_RS01115
OG0000221	VQY17_RS01030	NB626_RS01120
OG0000222	VQY17_RS01035	NB626_RS01125
OG0000223	VQY17_RS01040	NB626_RS01130
OG0000224	VQY17_RS01050	NB626_RS01140
OG0000225	VQY17_RS01060	NB626_RS01150
OG0000226	VQY17_RS01065	NB626_RS01155
OG0000227	VQY17_RS01070	NB626_RS01160
OG0000228	VQY17_RS01075	NB626_RS01165
OG0000229	VQY17_RS01080	NB626_RS01170
OG0000230	VQY17_RS01085	NB626_RS01180
OG0000231	VQY17_RS01095	NB626_RS01185
OG0000232	VQY17_RS01105	NB626_RS01195
OG0000233	VQY17_RS01125	NB626_RS01215
OG0000234	VQY17_RS01165	NB626_RS01250
OG0000235	VQY17_RS01175	NB626_RS01260
OG0000236	VQY17_RS01180	NB626_RS01265
OG0000237	VQY17_RS01185	NB626_RS01270
OG0000238	VQY17_RS01190	NB626_RS01275
OG0000239	VQY17_RS02930	NB626_RS03125
OG0000240	VQY17_RS02935	NB626_RS03130
OG0000241	VQY17_RS02945	NB626_RS03140
OG0000242	VQY17_RS02950	NB626_RS03145
OG0000243	VQY17_RS02955	NB626_RS03150
OG0000244	VQY17_RS02965	NB626_RS03160
OG0000245	VQY17_RS02970	NB626_RS03170
OG0000246	VQY17_RS00140	NB626_RS00140
OG0000247	VQY17_RS00150	NB626_RS00150
OG0000248	VQY17_RS00160	NB626_RS00160
OG0000249	VQY17_RS00165	NB626_RS00165
OG0000250	VQY17_RS00180	NB626_RS00180
OG0000251	VQY17_RS00210	NB626_RS00215
OG0000252	VQY17_RS00220	NB626_RS00220
OG0000253	VQY17_RS00225	NB626_RS00225
OG0000254	VQY17_RS00235	NB626_RS00235
OG0000255	VQY17_RS00245	NB626_RS00240
OG0000256	VQY17_RS00250	NB626_RS00250
OG0000257	VQY17_RS00275	NB626_RS00270
OG0000258	VQY17_RS00285	NB626_RS00280
OG0000259	VQY17_RS00315	NB626_RS00310
OG0000260	VQY17_RS00325	NB626_RS00320
OG0000261	VQY17_RS00335	NB626_RS00330
OG0000262	VQY17_RS00350	NB626_RS00350
OG0000263	VQY17_RS00365	NB626_RS00365
OG0000264	VQY17_RS00380	NB626_RS00380
OG0000265	VQY17_RS00390	NB626_RS00390
OG0000266	VQY17_RS00405	NB626_RS00405
OG0000267	VQY17_RS00420	NB626_RS00420
OG0000268	VQY17_RS00425	NB626_RS00520
OG0000269	VQY17_RS00440	NB626_RS00535
OG0000270	VQY17_RS03495	NB626_RS03700
OG0000271	VQY17_RS03490	NB626_RS03695
OG0000272	VQY17_RS03485	NB626_RS03690
OG0000273	VQY17_RS03480	NB626_RS03685
OG0000274	VQY17_RS03460	NB626_RS03670
OG0000275	VQY17_RS03455	NB626_RS03660
OG0000276	VQY17_RS03450	NB626_RS03655
OG0000277	VQY17_RS03435	NB626_RS03645
OG0000278	VQY17_RS03430	NB626_RS03640
OG0000279	VQY17_RS03420	NB626_RS03630
OG0000280	VQY17_RS03415	NB626_RS03620
OG0000281	VQY17_RS03410	NB626_RS03615
OG0000282	VQY17_RS03380	NB626_RS03590
OG0000283	VQY17_RS03375	NB626_RS03585
OG0000284	VQY17_RS03370	NB626_RS03580
OG0000285	VQY17_RS03365	NB626_RS03575
OG0000286	VQY17_RS02420	NB626_RS02600
OG0000287	VQY17_RS02510	NB626_RS02700
OG0000288	VQY17_RS02520	NB626_RS02710
OG0000289	VQY17_RS02525	NB626_RS02715
OG0000290	VQY17_RS02635	NB626_RS02830
OG0000291	VQY17_RS02625	NB626_RS02820
OG0000292	VQY17_RS02620	NB626_RS02815
OG0000293	VQY17_RS02615	NB626_RS02810
OG0000294	VQY17_RS02605	NB626_RS02800
OG0000295	VQY17_RS02600	NB626_RS02795
OG0000296	VQY17_RS02560	NB626_RS02750
OG0000297	VQY17_RS02555	NB626_RS02745
OG0000298	VQY17_RS00175	NB626_RS00175
OG0000299	VQY17_RS00195	NB626_RS00195
OG0000300	VQY17_RS00375	NB626_RS00375
OG0000301	VQY17_RS00410	NB626_RS00410
OG0000302	VQY17_RS00415	NB626_RS00415
OG0000303	VQY17_RS00560	NB626_RS00660
OG0000304	VQY17_RS01110	NB626_RS01200
OG0000305	VQY17_RS02860	NB626_RS03065
OG0000306	VQY17_RS02785	NB626_RS02990
OG0000307	VQY17_RS02745	NB626_RS02950
OG0000308	VQY17_RS02655	NB626_RS02850
OG0000309	VQY17_RS02590	NB626_RS02785
OG0000310	VQY17_RS02515	NB626_RS02705
OG0000311	VQY17_RS02480	NB626_RS02660
OG0000312	VQY17_RS02465	NB626_RS02645
OG0000313	VQY17_RS01630	NB626_RS01705
OG0000314	VQY17_RS02030	NB626_RS02085
OG0000315	VQY17_RS02060	NB626_RS02115
OG0000316	VQY17_RS02070	NB626_RS02125
OG0000317	VQY17_RS02170	NB626_RS02225
OG0000318	VQY17_RS02075	NB626_RS02130
OG0000319	VQY17_RS02235	NB626_RS02385
OG0000320	VQY17_RS02365	NB626_RS02525
OG0000321	VQY17_RS01350	NB626_RS01450
OG0000322	VQY17_RS01400	NB626_RS01500
OG0000323	VQY17_RS01530	NB626_RS01630
OG0000324	VQY17_RS02275	NB626_RS02425
OG0000325	VQY17_RS00700	NB626_RS00805
OG0000326	VQY17_RS00800	NB626_RS00910
OG0000327	VQY17_RS00805	NB626_RS00915
OG0000328	VQY17_RS00890	NB626_RS01005
OG0000329	VQY17_RS00915	NB626_RS01035
OG0000330	VQY17_RS01135	NB626_RS01225
OG0000331	VQY17_RS02960	NB626_RS03155
OG0000332	VQY17_RS03100	NB626_RS03300
OG0000333	VQY17_RS03110	NB626_RS03310
OG0000334	VQY17_RS03215	NB626_RS03415
OG0000335	VQY17_RS03225	NB626_RS03425
OG0000336	VQY17_RS03400	NB626_RS03605
OG0000337	VQY17_RS03575	NB626_RS03780
OG0000338	VQY17_RS03615	NB626_RS03820
OG0000339	VQY17_RS02340	NB626_RS02495
OG0000340	VQY17_RS01330	NB626_RS01430
OG0000341	VQY17_RS02295	NB626_RS02450
OG0000342	VQY17_RS00730	NB626_RS00835
OG0000343	VQY17_RS03120	NB626_RS03320
OG0000344	VQY17_RS00575	NB626_RS00675
OG0000345	VQY17_RS01055	NB626_RS01145
OG0000346	VQY17_RS03405	NB626_RS03610
OG0000347	VQY17_RS01425	NB626_RS01525
OG0000348	VQY17_RS00810	NB626_RS00920
OG0000349	VQY17_RS03470	NB626_RS03675
OG0000350	VQY17_RS02735	NB626_RS02940
OG0000351	VQY17_RS00495	NB626_RS00590
OG0000352	VQY17_RS02010	NB626_RS02065
OG0000353	VQY17_RS01390	NB626_RS01490
OG0000354	VQY17_RS00635	NB626_RS00735
OG0000355	VQY17_RS01985	NB626_RS02040
OG0000356	VQY17_RS02065	NB626_RS02120
OG0000357	VQY17_RS03080	NB626_RS03275
OG0000358	VQY17_RS03085	NB626_RS03280
OG0000359	VQY17_RS00780	NB626_RS00880
OG0000360	VQY17_RS00280	NB626_RS00275
OG0000361	VQY17_RS00310	NB626_RS00305
OG0000362	VQY17_RS02535	NB626_RS02725
OG0000363	VQY17_RS01465	NB626_RS01565
OG0000364	VQY17_RS01955, VQY17_RS01960	NB626_RS02015
OG0000365	VQY17_RS02110	NB626_RS02175
OG0000366	VQY17_RS02140	NB626_RS02195
OG0000367	VQY17_RS02150	NB626_RS02205
OG0000368	VQY17_RS00060	NB626_RS00060
OG0000369	VQY17_RS00025	NB626_RS00025
OG0000370	VQY17_RS00020	NB626_RS00020
OG0000371	VQY17_RS00015	NB626_RS00015
OG0000372	VQY17_RS00010	NB626_RS00010
OG0000373	VQY17_RS03605	NB626_RS03810
OG0000374	VQY17_RS03595	NB626_RS03800
OG0000375	VQY17_RS02230	NB626_RS02380
OG0000376	VQY17_RS02380	NB626_RS02540
OG0000377	VQY17_RS02370	NB626_RS02530
OG0000379	VQY17_RS01385	NB626_RS01485
OG0000380	VQY17_RS01415	NB626_RS01520
OG0000382	VQY17_RS01485	NB626_RS01585
OG0000383	VQY17_RS01525	NB626_RS01625
OG0000384	VQY17_RS00515	NB626_RS00615
OG0000385	VQY17_RS00520	NB626_RS00625
OG0000386	VQY17_RS00540	NB626_RS00640
OG0000387	VQY17_RS00565	NB626_RS00665
OG0000388	VQY17_RS00570	NB626_RS00670
OG0000389	VQY17_RS00615	NB626_RS00715
OG0000390	VQY17_RS02880	NB626_RS03085
OG0000391	VQY17_RS02870	NB626_RS03075
OG0000392	VQY17_RS02845	NB626_RS03050
OG0000393	VQY17_RS02790	NB626_RS02995
OG0000394	VQY17_RS02715	NB626_RS02915
OG0000395	VQY17_RS02710	NB626_RS02910
OG0000396	VQY17_RS02425	NB626_RS02605
OG0000397	VQY17_RS01995	NB626_RS02050
OG0000398	VQY17_RS02000	NB626_RS02060
OG0000399	VQY17_RS02045	NB626_RS02100
OG0000400	VQY17_RS03045	NB626_RS03240
OG0000401	VQY17_RS03105	NB626_RS03305
OG0000402	VQY17_RS03115	NB626_RS03315
OG0000403	VQY17_RS03125	NB626_RS03325
OG0000404	VQY17_RS03150	NB626_RS03360
OG0000405	VQY17_RS03165	NB626_RS03375
OG0000406	VQY17_RS03230	NB626_RS03430
OG0000407	VQY17_RS03235	NB626_RS03435
OG0000408	VQY17_RS03240	NB626_RS03440
OG0000409	VQY17_RS03245	NB626_RS03445
OG0000410	VQY17_RS03310	NB626_RS03510
OG0000411	VQY17_RS03300	NB626_RS03495
OG0000412	VQY17_RS03295	NB626_RS03490
OG0000413	VQY17_RS01540	NB626_RS01640
OG0000414	VQY17_RS01550	NB626_RS01650
OG0000415	VQY17_RS01555	NB626_RS01655
OG0000416	VQY17_RS01565	NB626_RS01665
OG0000417	VQY17_RS02290	NB626_RS02445
OG0000418	VQY17_RS02285	NB626_RS02435
OG0000419	VQY17_RS00710	NB626_RS00815
OG0000420	VQY17_RS00745	NB626_RS00850
OG0000421	VQY17_RS00785	NB626_RS00895
OG0000422	VQY17_RS00795	NB626_RS00905
OG0000423	VQY17_RS00850	NB626_RS00965
OG0000424	VQY17_RS00855	NB626_RS00970
OG0000425	VQY17_RS00865	NB626_RS00980
OG0000426	VQY17_RS00870	NB626_RS00985
OG0000427	VQY17_RS00900	NB626_RS01010
OG0000428	VQY17_RS00925	NB626_RS01040
OG0000429	VQY17_RS01045	NB626_RS01135
OG0000431	VQY17_RS01100	NB626_RS01190
OG0000432	VQY17_RS01130	NB626_RS01220
OG0000433	VQY17_RS01145	NB626_RS01235
OG0000434	VQY17_RS01150	NB626_RS01245
OG0000435	VQY17_RS01170	NB626_RS01255
OG0000436	VQY17_RS01195	NB626_RS01280
OG0000438	VQY17_RS01210	NB626_RS01295
OG0000439	VQY17_RS01215	NB626_RS01300
OG0000440	VQY17_RS02940	NB626_RS03135
OG0000441	VQY17_RS02975	NB626_RS03180
OG0000442	VQY17_RS00145	NB626_RS00145
OG0000443	VQY17_RS00190	NB626_RS00190
OG0000444	VQY17_RS00205	NB626_RS00205
OG0000445	VQY17_RS00230	NB626_RS00230
OG0000446	VQY17_RS00260	NB626_RS00255
OG0000447	VQY17_RS00265	NB626_RS00265
OG0000448	VQY17_RS00295	NB626_RS00290
OG0000449	VQY17_RS00320	NB626_RS00315
OG0000450	VQY17_RS00330	NB626_RS00325
OG0000451	VQY17_RS00370	NB626_RS00370
OG0000452	VQY17_RS00395	NB626_RS00395
OG0000453	VQY17_RS00430	NB626_RS00525
OG0000454	VQY17_RS01595	NB626_RS01685
OG0000455	VQY17_RS03515	NB626_RS03720
OG0000456	VQY17_RS03390	NB626_RS03595
OG0000458	VQY17_RS02505	NB626_RS02695
OG0000459	VQY17_RS02530	NB626_RS02720
OG0000460	VQY17_RS02540	NB626_RS02730
OG0000461	VQY17_RS02585	NB626_RS02775
OG0000462	VQY17_RS02580	NB626_RS02770
OG0000463	VQY17_RS02575	NB626_RS02765
OG0000464	VQY17_RS02570	NB626_RS02760
OG0000465	VQY17_RS02565	NB626_RS02755
OG0000466	VQY17_RS00400	NB626_RS00400
OG0000467	VQY17_RS02665	NB626_RS02860
OG0000468	VQY17_RS02040	NB626_RS02095
OG0000469	VQY17_RS02100	NB626_RS02160
OG0000470	VQY17_RS00845	NB626_RS00960
OG0000471	VQY17_RS00930	NB626_RS01045
OG0000472	VQY17_RS03320	NB626_RS03515
OG0000473	VQY17_RS03500	NB626_RS03705
OG0000474	VQY17_RS03505	NB626_RS03710
OG0000475	VQY17_RS03510	NB626_RS03715
OG0000476	VQY17_RS01575	NB626_RS01675
OG0000477	VQY17_RS02610	NB626_RS02805
OG0000478	VQY17_RS03445	NB626_RS03650
OG0000479	VQY17_RS01345	NB626_RS01445
OG0000480	VQY17_RS02105	NB626_RS02165
OG0000481	VQY17_RS00820	NB626_RS00935
OG0000482	VQY17_RS01235	NB626_RS01325
OG0000483	VQY17_RS02155	NB626_RS02210
OG0000484	VQY17_RS00200	NB626_RS00200
OG0000485	VQY17_RS01205	NB626_RS01285
OG0000486	VQY17_RS02310	NB626_RS02465
OG0000487	VQY17_RS02080	NB626_RS02150
OG0000488	VQY17_RS02120	NB626_RS02180
OG0000489	VQY17_RS00050	NB626_RS00050
OG0000490	VQY17_RS03610	NB626_RS03815
OG0000491	VQY17_RS01365	NB626_RS01465
OG0000492	VQY17_RS01445	NB626_RS01545
OG0000493	VQY17_RS00580	NB626_RS00680
OG0000494	VQY17_RS00640	NB626_RS00740
OG0000496	VQY17_RS02805	NB626_RS03010
OG0000497	VQY17_RS02800	NB626_RS03005
OG0000498	VQY17_RS02720	NB626_RS02920
OG0000499	VQY17_RS02685	NB626_RS02885
OG0000501	VQY17_RS03055	NB626_RS03250
OG0000502	VQY17_RS01225	NB626_RS01315
OG0000503	VQY17_RS00760	NB626_RS00865
OG0000504	VQY17_RS00905	NB626_RS01015
OG0000505	VQY17_RS00965	NB626_RS01055
OG0000507	VQY17_RS01010	NB626_RS01100
OG0000509	VQY17_RS00290	NB626_RS00285
OG0000510	VQY17_RS00305	NB626_RS00295
OG0000511	VQY17_RS00435	NB626_RS00530
OG0000512	VQY17_RS02545	NB626_RS02735
OG0000513	VQY17_RS03425	NB626_RS03635
OG0000514	VQY17_RS02840	NB626_RS03045
OG0000517	VQY17_RS00065	NB626_RS00065
OG0000518	VQY17_RS03095	NB626_RS03295
OG0000519	VQY17_RS00790	NB626_RS00900
OG0000523	VQY17_RS03360	NB626_RS03560
OG0000524	VQY17_RS02660	NB626_RS02855
OG0000525	VQY17_RS03325	NB626_RS03520
OG0000526	VQY17_RS01905	NB626_RS01960
OG0000527	VQY17_RS01825	NB626_RS01900
OG0000530	VQY17_RS02350	NB626_RS02505
OG0000532	VQY17_RS01660	NB626_RS01735
OG0000533	VQY17_RS00600	NB626_RS00700
OG0000534	VQY17_RS00385	NB626_RS00385
OG0000536	VQY17_RS03545	NB626_RS03750
OG0000540	VQY17_RS02630	NB626_RS02825
OG0000541	VQY17_RS02700	NB626_RS02900
OG0000543	VQY17_RS01600	NB626_RS00510
OG0000544	VQY17_RS01275	NB626_RS01370
OG0000545	VQY17_RS01895	NB626_RS01945
OG0000546	VQY17_RS02765	NB626_RS02970
OG0000553	VQY17_RS02675	NB626_RS02870
OG0000554	VQY17_RS02395	NB626_RS02560
OG0000557	VQY17_RS01285	NB626_RS01380
OG0000558	VQY17_RS01255	NB626_RS01350
OG0000559	VQY17_RS01745	NB626_RS01815
OG0000560	VQY17_RS01880	NB626_RS01930
