Orthogroup	MHP_Ue273_genes	MHP_ES2L_genes
OG0000077	VQY17_RS00445	HZK19_RS00425
OG0000078	VQY17_RS01715	HZK19_RS01645
OG0000079	VQY17_RS02550	HZK19_RS02525
OG0000080	VQY17_RS02595	HZK19_RS02570
OG0000081	VQY17_RS00340	HZK19_RS00320
OG0000082	VQY17_RS02400	HZK19_RS02365
OG0000083	VQY17_RS02095	HZK19_RS01985
OG0000084	VQY17_RS02125	HZK19_RS02015
OG0000085	VQY17_RS02135	HZK19_RS02020
OG0000086	VQY17_RS02145	HZK19_RS02030
OG0000087	VQY17_RS02160	HZK19_RS02045
OG0000088	VQY17_RS02165	HZK19_RS02050
OG0000089	VQY17_RS02175	HZK19_RS02060
OG0000090	VQY17_RS00070	HZK19_RS00070
OG0000091	VQY17_RS00055	HZK19_RS00055
OG0000092	VQY17_RS00040	HZK19_RS00040
OG0000093	VQY17_RS00035	HZK19_RS00035
OG0000094	VQY17_RS00030	HZK19_RS00030
OG0000095	VQY17_RS00005	HZK19_RS00005
OG0000096	VQY17_RS03620	HZK19_RS03665
OG0000097	VQY17_RS03600	HZK19_RS03645
OG0000098	VQY17_RS03590	HZK19_RS03635
OG0000099	VQY17_RS03540	HZK19_RS03585
OG0000100	VQY17_RS03525	HZK19_RS03570
OG0000101	VQY17_RS03520	HZK19_RS03565
OG0000102	VQY17_RS01750	HZK19_RS01675
OG0000103	VQY17_RS02220	HZK19_RS02185
OG0000104	VQY17_RS02225	HZK19_RS02190
OG0000105	VQY17_RS02240	HZK19_RS02205
OG0000106	VQY17_RS02250	HZK19_RS02215
OG0000107	VQY17_RS02260	HZK19_RS02225
OG0000108	VQY17_RS02265	HZK19_RS02230
OG0000109	VQY17_RS02270	HZK19_RS02235
OG0000110	VQY17_RS02390	HZK19_RS02355
OG0000111	VQY17_RS02385	HZK19_RS02350
OG0000112	VQY17_RS02375	HZK19_RS02340
OG0000113	VQY17_RS02355	HZK19_RS02320
OG0000114	VQY17_RS02345	HZK19_RS02310
OG0000115	VQY17_RS02335	HZK19_RS02300
OG0000116	VQY17_RS01315	HZK19_RS01265
OG0000117	VQY17_RS01320	HZK19_RS01270
OG0000118	VQY17_RS01355	HZK19_RS01305
OG0000119	VQY17_RS01360	HZK19_RS01310
OG0000120	VQY17_RS01375	HZK19_RS01325
OG0000121	VQY17_RS01405	HZK19_RS01350
OG0000122	VQY17_RS01410	HZK19_RS01355
OG0000123	VQY17_RS01430	HZK19_RS01375
OG0000124	VQY17_RS01435	HZK19_RS01380
OG0000125	VQY17_RS01440	HZK19_RS01385
OG0000126	VQY17_RS01455	HZK19_RS01395
OG0000127	VQY17_RS01460	HZK19_RS01405
OG0000128	VQY17_RS01475	HZK19_RS01420
OG0000129	VQY17_RS01480	HZK19_RS01425
OG0000130	VQY17_RS01490	HZK19_RS01435
OG0000131	VQY17_RS01520	HZK19_RS01465
OG0000132	VQY17_RS01535	HZK19_RS01480
OG0000133	VQY17_RS00530	HZK19_RS00520
OG0000134	VQY17_RS00535	HZK19_RS00525
OG0000135	VQY17_RS00550	HZK19_RS00540
OG0000136	VQY17_RS00555	HZK19_RS00545
OG0000137	VQY17_RS00595	HZK19_RS00575
OG0000138	VQY17_RS00620	HZK19_RS00610
OG0000139	VQY17_RS00650	HZK19_RS00640
OG0000140	VQY17_RS00655	HZK19_RS00645
OG0000141	VQY17_RS02915	HZK19_RS02895
OG0000142	VQY17_RS02910	HZK19_RS02890
OG0000143	VQY17_RS02885	HZK19_RS02870
OG0000144	VQY17_RS02875	HZK19_RS02860
OG0000145	VQY17_RS02865	HZK19_RS02850
OG0000146	VQY17_RS02855	HZK19_RS02840
OG0000147	VQY17_RS02850	HZK19_RS02835
OG0000148	VQY17_RS02835	HZK19_RS02820
OG0000149	VQY17_RS02825	HZK19_RS02810
OG0000150	VQY17_RS02810	HZK19_RS02795
OG0000151	VQY17_RS02760	HZK19_RS02750
OG0000152	VQY17_RS02755	HZK19_RS02745
OG0000153	VQY17_RS02750	HZK19_RS02740
OG0000154	VQY17_RS02740	HZK19_RS02730
OG0000155	VQY17_RS02705	HZK19_RS02690
OG0000156	VQY17_RS02695	HZK19_RS02680
OG0000157	VQY17_RS02690	HZK19_RS02675
OG0000158	VQY17_RS02680	HZK19_RS03895
OG0000159	VQY17_RS02460	HZK19_RS03970
OG0000160	VQY17_RS02455	HZK19_RS02425
OG0000161	VQY17_RS02450	HZK19_RS02420
OG0000162	VQY17_RS02440	HZK19_RS02410
OG0000163	VQY17_RS02435	HZK19_RS02405
OG0000164	VQY17_RS01640	HZK19_RS01575
OG0000165	VQY17_RS02015	HZK19_RS01905
OG0000166	VQY17_RS02035	HZK19_RS01925
OG0000167	VQY17_RS02050	HZK19_RS01940
OG0000168	VQY17_RS02055	HZK19_RS01945
OG0000169	VQY17_RS03035	HZK19_RS02990
OG0000170	VQY17_RS03050	HZK19_RS03005
OG0000171	VQY17_RS03060	HZK19_RS03110
OG0000172	VQY17_RS03065	HZK19_RS03115
OG0000173	VQY17_RS03070	HZK19_RS03120
OG0000174	VQY17_RS03075	HZK19_RS03125
OG0000175	VQY17_RS03090	HZK19_RS03140
OG0000176	VQY17_RS03135	HZK19_RS03190
OG0000177	VQY17_RS03140	HZK19_RS03195
OG0000178	VQY17_RS03145	HZK19_RS03200
OG0000179	VQY17_RS03155	HZK19_RS03210
OG0000180	VQY17_RS03160	HZK19_RS03215
OG0000181	VQY17_RS03210	HZK19_RS03265
OG0000182	VQY17_RS03220	HZK19_RS03275
OG0000183	VQY17_RS03255	HZK19_RS03310
OG0000184	VQY17_RS03305	HZK19_RS03355
OG0000185	VQY17_RS03290	HZK19_RS03340
OG0000186	VQY17_RS01545	HZK19_RS01490
OG0000187	VQY17_RS01560	HZK19_RS01505
OG0000188	VQY17_RS01570	HZK19_RS01515
OG0000189	VQY17_RS02305	HZK19_RS02270
OG0000190	VQY17_RS02300	HZK19_RS02265
OG0000191	VQY17_RS02280	HZK19_RS02245
OG0000192	VQY17_RS01240	HZK19_RS01180
OG0000193	VQY17_RS01230	HZK19_RS01175
OG0000194	VQY17_RS00690	HZK19_RS00665
OG0000195	VQY17_RS00695	HZK19_RS00670
OG0000196	VQY17_RS00715	HZK19_RS00690
OG0000197	VQY17_RS00720	HZK19_RS00695
OG0000198	VQY17_RS00735	HZK19_RS00710
OG0000199	VQY17_RS00740	HZK19_RS00715
OG0000200	VQY17_RS00755	HZK19_RS00730
OG0000201	VQY17_RS00765	HZK19_RS00740
OG0000202	VQY17_RS00825	HZK19_RS00795
OG0000203	VQY17_RS00830	HZK19_RS00800
OG0000204	VQY17_RS00835	HZK19_RS00805
OG0000205	VQY17_RS00840	HZK19_RS00810
OG0000206	VQY17_RS00860	HZK19_RS00830
OG0000207	VQY17_RS00875	HZK19_RS00845
OG0000208	VQY17_RS00880	HZK19_RS00850
OG0000209	VQY17_RS00885	HZK19_RS00855
OG0000210	VQY17_RS00935	HZK19_RS00900
OG0000211	VQY17_RS00970	HZK19_RS00910
OG0000212	VQY17_RS00980	HZK19_RS00920
OG0000213	VQY17_RS00985	HZK19_RS00925
OG0000214	VQY17_RS00990	HZK19_RS00930
OG0000215	VQY17_RS00995	HZK19_RS00935
OG0000216	VQY17_RS01000	HZK19_RS00940
OG0000217	VQY17_RS01005	HZK19_RS00945
OG0000218	VQY17_RS01015	HZK19_RS00955
OG0000219	VQY17_RS01020	HZK19_RS00960
OG0000220	VQY17_RS01025	HZK19_RS00965
OG0000221	VQY17_RS01030	HZK19_RS00970
OG0000222	VQY17_RS01035	HZK19_RS00975
OG0000223	VQY17_RS01040	HZK19_RS00980
OG0000224	VQY17_RS01050	HZK19_RS00990
OG0000225	VQY17_RS01060	HZK19_RS01000
OG0000226	VQY17_RS01065	HZK19_RS01005
OG0000227	VQY17_RS01070	HZK19_RS01010
OG0000228	VQY17_RS01075	HZK19_RS03950
OG0000229	VQY17_RS01080	HZK19_RS01020
OG0000230	VQY17_RS01085	HZK19_RS01025
OG0000231	VQY17_RS01095	HZK19_RS01035
OG0000232	VQY17_RS01105	HZK19_RS01045
OG0000233	VQY17_RS01125	HZK19_RS01070
OG0000234	VQY17_RS01165	HZK19_RS01105
OG0000235	VQY17_RS01175	HZK19_RS01115
OG0000236	VQY17_RS01180	HZK19_RS01120
OG0000237	VQY17_RS01185	HZK19_RS01125
OG0000238	VQY17_RS01190	HZK19_RS01130
OG0000239	VQY17_RS02930	HZK19_RS02905
OG0000240	VQY17_RS02935	HZK19_RS02910
OG0000241	VQY17_RS02945	HZK19_RS02920
OG0000242	VQY17_RS02950	HZK19_RS02925
OG0000243	VQY17_RS02955	HZK19_RS02930
OG0000244	VQY17_RS02965	HZK19_RS02940
OG0000245	VQY17_RS02970	HZK19_RS02950
OG0000246	VQY17_RS00140	HZK19_RS00125
OG0000247	VQY17_RS00150	HZK19_RS00135
OG0000248	VQY17_RS00160	HZK19_RS00145
OG0000249	VQY17_RS00165	HZK19_RS00150
OG0000250	VQY17_RS00180	HZK19_RS00165
OG0000251	VQY17_RS00210	HZK19_RS00195
OG0000252	VQY17_RS00220	HZK19_RS00205
OG0000253	VQY17_RS00225	HZK19_RS00210
OG0000254	VQY17_RS00235	HZK19_RS00220
OG0000255	VQY17_RS00245	HZK19_RS00225
OG0000256	VQY17_RS00250	HZK19_RS00230
OG0000257	VQY17_RS00275	HZK19_RS00255
OG0000258	VQY17_RS00285	HZK19_RS00265
OG0000259	VQY17_RS00315	HZK19_RS00295
OG0000260	VQY17_RS00325	HZK19_RS00305
OG0000261	VQY17_RS00335	HZK19_RS00315
OG0000262	VQY17_RS00350	HZK19_RS00330
OG0000263	VQY17_RS00365	HZK19_RS00345
OG0000264	VQY17_RS00380	HZK19_RS00360
OG0000265	VQY17_RS00390	HZK19_RS00370
OG0000266	VQY17_RS00405	HZK19_RS00385
OG0000267	VQY17_RS00420	HZK19_RS00400
OG0000268	VQY17_RS00425	HZK19_RS00405
OG0000269	VQY17_RS00440	HZK19_RS00420
OG0000270	VQY17_RS03495	HZK19_RS03540
OG0000271	VQY17_RS03490	HZK19_RS03535
OG0000272	VQY17_RS03485	HZK19_RS03530
OG0000273	VQY17_RS03480	HZK19_RS03525
OG0000274	VQY17_RS03460	HZK19_RS03505
OG0000275	VQY17_RS03455	HZK19_RS03500
OG0000276	VQY17_RS03450	HZK19_RS03495
OG0000277	VQY17_RS03435	HZK19_RS03485
OG0000278	VQY17_RS03430	HZK19_RS03480
OG0000279	VQY17_RS03420	HZK19_RS03470
OG0000280	VQY17_RS03415	HZK19_RS03465
OG0000281	VQY17_RS03410	HZK19_RS03460
OG0000282	VQY17_RS03380	HZK19_RS03435
OG0000283	VQY17_RS03375	HZK19_RS03430
OG0000284	VQY17_RS03370	HZK19_RS03425
OG0000285	VQY17_RS03365	HZK19_RS03420
OG0000286	VQY17_RS02420	HZK19_RS02390
OG0000287	VQY17_RS02510	HZK19_RS02485
OG0000288	VQY17_RS02520	HZK19_RS02495
OG0000289	VQY17_RS02525	HZK19_RS02500
OG0000290	VQY17_RS02635	HZK19_RS02610
OG0000291	VQY17_RS02625	HZK19_RS02600
OG0000292	VQY17_RS02620	HZK19_RS02595
OG0000293	VQY17_RS02615	HZK19_RS02590
OG0000294	VQY17_RS02605	HZK19_RS02580
OG0000295	VQY17_RS02600	HZK19_RS02575
OG0000296	VQY17_RS02560	HZK19_RS02535
OG0000297	VQY17_RS02555	HZK19_RS02530
OG0000298	VQY17_RS00175	HZK19_RS00160
OG0000299	VQY17_RS00195	HZK19_RS00180
OG0000300	VQY17_RS00375	HZK19_RS00355
OG0000301	VQY17_RS00410	HZK19_RS00390
OG0000302	VQY17_RS00415	HZK19_RS00395
OG0000303	VQY17_RS00560	HZK19_RS00550
OG0000304	VQY17_RS01110	HZK19_RS01055
OG0000305	VQY17_RS02860	HZK19_RS02845
OG0000306	VQY17_RS02785	HZK19_RS02770
OG0000307	VQY17_RS02745	HZK19_RS02735
OG0000308	VQY17_RS02655	HZK19_RS02635
OG0000309	VQY17_RS02590	HZK19_RS02565
OG0000310	VQY17_RS02515	HZK19_RS02490
OG0000311	VQY17_RS02480	HZK19_RS02450
OG0000312	VQY17_RS02465	HZK19_RS02435
OG0000313	VQY17_RS01630	HZK19_RS01565
OG0000314	VQY17_RS02030	HZK19_RS01920
OG0000315	VQY17_RS02060	HZK19_RS01950
OG0000316	VQY17_RS02070	HZK19_RS01960
OG0000317	VQY17_RS02170	HZK19_RS02055
OG0000318	VQY17_RS02075	HZK19_RS01965
OG0000319	VQY17_RS02235	HZK19_RS02200
OG0000320	VQY17_RS02365	HZK19_RS02330
OG0000321	VQY17_RS01350	HZK19_RS01300
OG0000322	VQY17_RS01400	HZK19_RS01345
OG0000323	VQY17_RS01530	HZK19_RS01475
OG0000324	VQY17_RS02275	HZK19_RS02240
OG0000325	VQY17_RS00700	HZK19_RS00675
OG0000326	VQY17_RS00800	HZK19_RS00770
OG0000327	VQY17_RS00805	HZK19_RS00775
OG0000328	VQY17_RS00890	HZK19_RS00860
OG0000329	VQY17_RS00915	HZK19_RS00880
OG0000330	VQY17_RS01135	HZK19_RS01080
OG0000331	VQY17_RS02960	HZK19_RS02935
OG0000332	VQY17_RS03100	HZK19_RS03150
OG0000333	VQY17_RS03110	HZK19_RS03160
OG0000334	VQY17_RS03215	HZK19_RS03270
OG0000335	VQY17_RS03225	HZK19_RS03280
OG0000336	VQY17_RS03400	HZK19_RS03450
OG0000337	VQY17_RS03575	HZK19_RS03620
OG0000338	VQY17_RS03615	HZK19_RS03660
OG0000339	VQY17_RS02340	HZK19_RS02305
OG0000340	VQY17_RS01330	HZK19_RS01280
OG0000341	VQY17_RS02295	HZK19_RS02260
OG0000342	VQY17_RS00730	HZK19_RS00705
OG0000343	VQY17_RS03120	HZK19_RS03170
OG0000344	VQY17_RS00575	HZK19_RS00565
OG0000345	VQY17_RS01055	HZK19_RS00995
OG0000346	VQY17_RS03405	HZK19_RS03455
OG0000347	VQY17_RS01425	HZK19_RS01370
OG0000348	VQY17_RS00810	HZK19_RS00780
OG0000349	VQY17_RS03470	HZK19_RS03515
OG0000350	VQY17_RS02735	HZK19_RS02725
OG0000351	VQY17_RS00495	HZK19_RS00480
OG0000352	VQY17_RS02010	HZK19_RS01895
OG0000353	VQY17_RS01390	HZK19_RS01340
OG0000354	VQY17_RS00635	HZK19_RS00625
OG0000355	VQY17_RS01985	HZK19_RS01870
OG0000356	VQY17_RS02065	HZK19_RS01955
OG0000357	VQY17_RS03080	HZK19_RS03130
OG0000358	VQY17_RS03085	HZK19_RS03135
OG0000359	VQY17_RS00780	HZK19_RS00750
OG0000360	VQY17_RS00280	HZK19_RS00260
OG0000361	VQY17_RS00310	HZK19_RS00290
OG0000362	VQY17_RS02535	HZK19_RS02510
OG0000363	VQY17_RS01465	HZK19_RS03730
OG0000364	VQY17_RS01955	HZK19_RS03760
OG0000364	VQY17_RS01960	HZK19_RS01855
OG0000365	VQY17_RS02110	HZK19_RS02000
OG0000366	VQY17_RS02140	HZK19_RS02025
OG0000367	VQY17_RS02150	HZK19_RS02035
OG0000368	VQY17_RS00060	HZK19_RS00060
OG0000369	VQY17_RS00025	HZK19_RS00025
OG0000370	VQY17_RS00020	HZK19_RS00020
OG0000371	VQY17_RS00015	HZK19_RS00015
OG0000372	VQY17_RS00010	HZK19_RS00010
OG0000373	VQY17_RS03605	HZK19_RS03650
OG0000374	VQY17_RS03595	HZK19_RS03640
OG0000375	VQY17_RS02230	HZK19_RS02195
OG0000376	VQY17_RS02380	HZK19_RS02345
OG0000377	VQY17_RS02370	HZK19_RS02335
OG0000378	VQY17_RS01310	HZK19_RS01260
OG0000379	VQY17_RS01385	HZK19_RS01335
OG0000380	VQY17_RS01415	HZK19_RS01360
OG0000382	VQY17_RS01485	HZK19_RS01430
OG0000383	VQY17_RS01525	HZK19_RS01470
OG0000384	VQY17_RS00515	HZK19_RS00505
OG0000385	VQY17_RS00520	HZK19_RS00510
OG0000386	VQY17_RS00540	HZK19_RS00530
OG0000387	VQY17_RS00565	HZK19_RS00555
OG0000388	VQY17_RS00570	HZK19_RS00560
OG0000389	VQY17_RS00615	HZK19_RS00605
OG0000390	VQY17_RS02880	HZK19_RS02865
OG0000391	VQY17_RS02870	HZK19_RS02855
OG0000392	VQY17_RS02845	HZK19_RS02830
OG0000393	VQY17_RS02790	HZK19_RS02775
OG0000394	VQY17_RS02715	HZK19_RS02700
OG0000395	VQY17_RS02710	HZK19_RS02695
OG0000396	VQY17_RS02425	HZK19_RS02395
OG0000397	VQY17_RS01995	HZK19_RS01880
OG0000398	VQY17_RS02000	HZK19_RS01885
OG0000399	VQY17_RS02045	HZK19_RS01935
OG0000400	VQY17_RS03045	HZK19_RS03000
OG0000401	VQY17_RS03105	HZK19_RS03155
OG0000402	VQY17_RS03115	HZK19_RS03165
OG0000403	VQY17_RS03125	HZK19_RS03175
OG0000404	VQY17_RS03150	HZK19_RS03205
OG0000405	VQY17_RS03165	HZK19_RS03220
OG0000406	VQY17_RS03230	HZK19_RS03285
OG0000407	VQY17_RS03235	HZK19_RS03290
OG0000408	VQY17_RS03240	HZK19_RS03295
OG0000409	VQY17_RS03245	HZK19_RS03300
OG0000410	VQY17_RS03310	HZK19_RS03360
OG0000411	VQY17_RS03300	HZK19_RS03350
OG0000412	VQY17_RS03295	HZK19_RS03345
OG0000413	VQY17_RS01540	HZK19_RS01485
OG0000414	VQY17_RS01550	HZK19_RS01495
OG0000415	VQY17_RS01555	HZK19_RS01500
OG0000416	VQY17_RS01565	HZK19_RS01510
OG0000417	VQY17_RS02290	HZK19_RS02255
OG0000418	VQY17_RS02285	HZK19_RS02250
OG0000419	VQY17_RS00710	HZK19_RS00685
OG0000420	VQY17_RS00745	HZK19_RS00720
OG0000421	VQY17_RS00785	HZK19_RS00755
OG0000422	VQY17_RS00795	HZK19_RS00765
OG0000423	VQY17_RS00850	HZK19_RS00820
OG0000424	VQY17_RS00855	HZK19_RS00825
OG0000425	VQY17_RS00865	HZK19_RS00835
OG0000426	VQY17_RS00870	HZK19_RS00840
OG0000427	VQY17_RS00900	HZK19_RS00865
OG0000428	VQY17_RS00925	HZK19_RS00890
OG0000429	VQY17_RS01045	HZK19_RS00985
OG0000430	VQY17_RS01090	HZK19_RS01030
OG0000431	VQY17_RS01100	HZK19_RS01040
OG0000432	VQY17_RS01130	HZK19_RS01075
OG0000433	VQY17_RS01145	HZK19_RS01090
OG0000434	VQY17_RS01150	HZK19_RS01095
OG0000435	VQY17_RS01170	HZK19_RS01110
OG0000436	VQY17_RS01195	HZK19_RS01135
OG0000438	VQY17_RS01210	HZK19_RS01150
OG0000439	VQY17_RS01215	HZK19_RS01155
OG0000440	VQY17_RS02940	HZK19_RS02915
OG0000441	VQY17_RS02975	HZK19_RS02955
OG0000442	VQY17_RS00145	HZK19_RS00130
OG0000443	VQY17_RS00190	HZK19_RS00175
OG0000444	VQY17_RS00205	HZK19_RS00190
OG0000445	VQY17_RS00230	HZK19_RS00215
OG0000446	VQY17_RS00260	HZK19_RS00240
OG0000447	VQY17_RS00265	HZK19_RS00245
OG0000448	VQY17_RS00295	HZK19_RS00275
OG0000449	VQY17_RS00320	HZK19_RS00300
OG0000450	VQY17_RS00330	HZK19_RS00310
OG0000451	VQY17_RS00370	HZK19_RS00350
OG0000452	VQY17_RS00395	HZK19_RS00375
OG0000453	VQY17_RS00430	HZK19_RS00410
OG0000454	VQY17_RS01595	HZK19_RS03100
OG0000455	VQY17_RS03515	HZK19_RS03560
OG0000456	VQY17_RS03390	HZK19_RS03440
OG0000458	VQY17_RS02505	HZK19_RS02480
OG0000459	VQY17_RS02530	HZK19_RS02505
OG0000460	VQY17_RS02540	HZK19_RS02520
OG0000461	VQY17_RS02585	HZK19_RS02560
OG0000462	VQY17_RS02580	HZK19_RS02555
OG0000463	VQY17_RS02575	HZK19_RS02550
OG0000465	VQY17_RS02565	HZK19_RS02545
OG0000466	VQY17_RS00400	HZK19_RS00380
OG0000467	VQY17_RS02665	HZK19_RS02645
OG0000468	VQY17_RS02040	HZK19_RS01930
OG0000469	VQY17_RS02100	HZK19_RS01990
OG0000470	VQY17_RS00845	HZK19_RS00815
OG0000471	VQY17_RS00930	HZK19_RS00895
OG0000472	VQY17_RS03320	HZK19_RS03370
OG0000473	VQY17_RS03500	HZK19_RS03545
OG0000474	VQY17_RS03505	HZK19_RS03550
OG0000475	VQY17_RS03510	HZK19_RS03555
OG0000476	VQY17_RS01575	HZK19_RS01520
OG0000477	VQY17_RS02610	HZK19_RS02585
OG0000478	VQY17_RS03445	HZK19_RS03490
OG0000479	VQY17_RS01345	HZK19_RS01295
OG0000480	VQY17_RS02105	HZK19_RS01995
OG0000481	VQY17_RS00820	HZK19_RS00790
OG0000483	VQY17_RS02155	HZK19_RS02040
OG0000484	VQY17_RS00200	HZK19_RS00185
OG0000485	VQY17_RS01205	HZK19_RS01140
OG0000486	VQY17_RS02310	HZK19_RS02275
OG0000487	VQY17_RS02080	HZK19_RS01970
OG0000488	VQY17_RS02120	HZK19_RS02010
OG0000489	VQY17_RS00050	HZK19_RS00050
OG0000490	VQY17_RS03610	HZK19_RS03655
OG0000491	VQY17_RS01365	HZK19_RS01315
OG0000492	VQY17_RS01445	HZK19_RS01390
OG0000493	VQY17_RS00580	HZK19_RS00570
OG0000494	VQY17_RS00640	HZK19_RS00630
OG0000495	VQY17_RS02815	HZK19_RS02800
OG0000496	VQY17_RS02805	HZK19_RS02790
OG0000497	VQY17_RS02800	HZK19_RS02785
OG0000498	VQY17_RS02720	HZK19_RS02705
OG0000499	VQY17_RS02685	HZK19_RS02670
OG0000500	VQY17_RS02005	HZK19_RS01890
OG0000501	VQY17_RS03055	HZK19_RS03010
OG0000502	VQY17_RS01225	HZK19_RS01165
OG0000503	VQY17_RS00760	HZK19_RS00735
OG0000504	VQY17_RS00905	HZK19_RS00870
OG0000505	VQY17_RS00965	HZK19_RS00905
OG0000506	VQY17_RS00975	HZK19_RS00915
OG0000507	VQY17_RS01010	HZK19_RS00950
OG0000508	VQY17_RS00255	HZK19_RS00235
OG0000509	VQY17_RS00290	HZK19_RS00270
OG0000510	VQY17_RS00305	HZK19_RS00280
OG0000511	VQY17_RS00435	HZK19_RS00415
OG0000513	VQY17_RS03425	HZK19_RS03475
OG0000514	VQY17_RS02840	HZK19_RS02825
OG0000515	VQY17_RS01590	HZK19_RS01530
OG0000516	VQY17_RS02085	HZK19_RS01975
OG0000517	VQY17_RS00065	HZK19_RS00065
OG0000518	VQY17_RS03095	HZK19_RS03145
