Orthogroup	MHP_Ue273_genes	MFC_MF30_genes
OG0000070	VQY17_RS02475	DR084_RS00920
OG0000071	VQY17_RS03260	DR084_RS01120, DR084_RS02230
OG0000072	VQY17_RS03265	DR084_RS03585
OG0000073	VQY17_RS00705	DR084_RS01245
OG0000074	VQY17_RS00910	DR084_RS03540
OG0000077	VQY17_RS00445	DR084_RS00275
OG0000078	VQY17_RS01715	DR084_RS00725
OG0000079	VQY17_RS02550	DR084_RS00835
OG0000080	VQY17_RS02595	DR084_RS03130
OG0000081	VQY17_RS00340	DR084_RS00170
OG0000082	VQY17_RS02400	DR084_RS00895
OG0000083	VQY17_RS02095	DR084_RS02845
OG0000084	VQY17_RS02125	DR084_RS02690
OG0000085	VQY17_RS02135	DR084_RS02695
OG0000086	VQY17_RS02145	DR084_RS03665
OG0000087	VQY17_RS02160	DR084_RS02720
OG0000088	VQY17_RS02165	DR084_RS02725
OG0000089	VQY17_RS02175	DR084_RS02735
OG0000090	VQY17_RS00070	DR084_RS02370
OG0000091	VQY17_RS00055	DR084_RS02355
OG0000092	VQY17_RS00040	DR084_RS02340
OG0000093	VQY17_RS00035	DR084_RS02335
OG0000094	VQY17_RS00030	DR084_RS02330
OG0000095	VQY17_RS00005	DR084_RS02305
OG0000096	VQY17_RS03620	DR084_RS02300
OG0000097	VQY17_RS03600	DR084_RS02280
OG0000098	VQY17_RS03590	DR084_RS02270
OG0000099	VQY17_RS03540	DR084_RS02520
OG0000100	VQY17_RS03525	DR084_RS02510
OG0000101	VQY17_RS03520	DR084_RS02505
OG0000102	VQY17_RS01750	DR084_RS02495
OG0000103	VQY17_RS02220	DR084_RS01780
OG0000104	VQY17_RS02225	DR084_RS01785
OG0000105	VQY17_RS02240	DR084_RS01800
OG0000106	VQY17_RS02250	DR084_RS01810
OG0000107	VQY17_RS02260	DR084_RS01820
OG0000108	VQY17_RS02265	DR084_RS01825
OG0000109	VQY17_RS02270	DR084_RS01830
OG0000110	VQY17_RS02390	DR084_RS01835
OG0000111	VQY17_RS02385	DR084_RS01840
OG0000112	VQY17_RS02375	DR084_RS01850
OG0000113	VQY17_RS02355	DR084_RS03550
OG0000114	VQY17_RS02345	DR084_RS01875
OG0000115	VQY17_RS02335	DR084_RS01885
OG0000116	VQY17_RS01315	DR084_RS01895
OG0000117	VQY17_RS01320	DR084_RS01900
OG0000118	VQY17_RS01355	DR084_RS01930
OG0000119	VQY17_RS01360	DR084_RS01935
OG0000120	VQY17_RS01375	DR084_RS01950
OG0000121	VQY17_RS01405	DR084_RS01975
OG0000122	VQY17_RS01410	DR084_RS01980
OG0000123	VQY17_RS01430	DR084_RS02000
OG0000124	VQY17_RS01435	DR084_RS02005
OG0000125	VQY17_RS01440	DR084_RS02010
OG0000126	VQY17_RS01455	DR084_RS02020
OG0000127	VQY17_RS01460	DR084_RS02030
OG0000128	VQY17_RS01475	DR084_RS02760
OG0000129	VQY17_RS01480	DR084_RS02765
OG0000130	VQY17_RS01490	DR084_RS02775
OG0000131	VQY17_RS01520	DR084_RS02805
OG0000132	VQY17_RS01535	DR084_RS03675
OG0000133	VQY17_RS00530	DR084_RS00350
OG0000134	VQY17_RS00535	DR084_RS03455
OG0000135	VQY17_RS00550	DR084_RS00370
OG0000136	VQY17_RS00555	DR084_RS00375
OG0000137	VQY17_RS00595	DR084_RS00405
OG0000138	VQY17_RS00620	DR084_RS00430
OG0000139	VQY17_RS00650	DR084_RS00460
OG0000140	VQY17_RS00655	DR084_RS00465
OG0000141	VQY17_RS02915	DR084_RS00490
OG0000142	VQY17_RS02910	DR084_RS03470
OG0000143	VQY17_RS02885	DR084_RS00520
OG0000144	VQY17_RS02875	DR084_RS00530
OG0000145	VQY17_RS02865	DR084_RS00540
OG0000146	VQY17_RS02855	DR084_RS00550
OG0000147	VQY17_RS02850	DR084_RS00555
OG0000148	VQY17_RS02835	DR084_RS00570
OG0000149	VQY17_RS02825	DR084_RS00580
OG0000150	VQY17_RS02810	DR084_RS00595
OG0000151	VQY17_RS02760	DR084_RS00645
OG0000152	VQY17_RS02755	DR084_RS00650
OG0000153	VQY17_RS02750	DR084_RS00655
OG0000154	VQY17_RS02740	DR084_RS00665
OG0000155	VQY17_RS02705	DR084_RS00685
OG0000156	VQY17_RS02695	DR084_RS00700
OG0000157	VQY17_RS02690	DR084_RS03475
OG0000158	VQY17_RS02680	DR084_RS03480
OG0000159	VQY17_RS02460	DR084_RS00950
OG0000160	VQY17_RS02455	DR084_RS00955
OG0000161	VQY17_RS02450	DR084_RS00960
OG0000162	VQY17_RS02440	DR084_RS02975, DR084_RS00970
OG0000163	VQY17_RS02435	DR084_RS00975
OG0000164	VQY17_RS01640	DR084_RS03490
OG0000165	VQY17_RS02015	DR084_RS01050
OG0000166	VQY17_RS02035	DR084_RS01070
OG0000167	VQY17_RS02050	DR084_RS01085
OG0000168	VQY17_RS02055	DR084_RS01090
OG0000169	VQY17_RS03035	DR084_RS02045
OG0000170	VQY17_RS03050	DR084_RS02060
OG0000171	VQY17_RS03060	DR084_RS02070
OG0000172	VQY17_RS03065	DR084_RS02075
OG0000173	VQY17_RS03070	DR084_RS02080
OG0000174	VQY17_RS03075	DR084_RS02085
OG0000175	VQY17_RS03090	DR084_RS02100
OG0000176	VQY17_RS03135	DR084_RS02140
OG0000177	VQY17_RS03140	DR084_RS02145
OG0000178	VQY17_RS03145	DR084_RS02150
OG0000179	VQY17_RS03155	DR084_RS02160
OG0000180	VQY17_RS03160	DR084_RS02165
OG0000181	VQY17_RS03210	DR084_RS03570
OG0000182	VQY17_RS03220	DR084_RS02190
OG0000183	VQY17_RS03255	DR084_RS02225
OG0000184	VQY17_RS03305	DR084_RS02865
OG0000185	VQY17_RS03290	DR084_RS02880
OG0000186	VQY17_RS01545	DR084_RS01135
OG0000187	VQY17_RS01560	DR084_RS01150
OG0000188	VQY17_RS01570	DR084_RS01160
OG0000189	VQY17_RS02305	DR084_RS03510
OG0000190	VQY17_RS02300	DR084_RS01175
OG0000191	VQY17_RS02280	DR084_RS01195
OG0000192	VQY17_RS01240	DR084_RS01205
OG0000193	VQY17_RS01230	DR084_RS01220
OG0000194	VQY17_RS00690	DR084_RS01230
OG0000195	VQY17_RS00695	DR084_RS01235
OG0000196	VQY17_RS00715	DR084_RS03515
OG0000197	VQY17_RS00720	DR084_RS01260
OG0000198	VQY17_RS00735	DR084_RS01275
OG0000199	VQY17_RS00740	DR084_RS01280
OG0000200	VQY17_RS00755	DR084_RS01295
OG0000201	VQY17_RS00765	DR084_RS01305
OG0000202	VQY17_RS00825	DR084_RS01360
OG0000203	VQY17_RS00830	DR084_RS01365
OG0000204	VQY17_RS00835	DR084_RS01370
OG0000205	VQY17_RS00840	DR084_RS01375
OG0000206	VQY17_RS00860	DR084_RS01395
OG0000207	VQY17_RS00875	DR084_RS01410
OG0000208	VQY17_RS00880	DR084_RS01415
OG0000209	VQY17_RS00885	DR084_RS01420
OG0000210	VQY17_RS00935	DR084_RS01465
OG0000211	VQY17_RS00970	DR084_RS01475
OG0000212	VQY17_RS00980	DR084_RS01485
OG0000213	VQY17_RS00985	DR084_RS01490
OG0000214	VQY17_RS00990	DR084_RS01495
OG0000215	VQY17_RS00995	DR084_RS01500
OG0000216	VQY17_RS01000	DR084_RS01505
OG0000217	VQY17_RS01005	DR084_RS01510
OG0000218	VQY17_RS01015	DR084_RS01520
OG0000219	VQY17_RS01020	DR084_RS01525
OG0000220	VQY17_RS01025	DR084_RS01530
OG0000221	VQY17_RS01030	DR084_RS01535
OG0000222	VQY17_RS01035	DR084_RS01540
OG0000223	VQY17_RS01040	DR084_RS01545
OG0000224	VQY17_RS01050	DR084_RS01555
OG0000225	VQY17_RS01060	DR084_RS01565
OG0000226	VQY17_RS01065	DR084_RS01570
OG0000227	VQY17_RS01070	DR084_RS01575
OG0000228	VQY17_RS01075	DR084_RS03705
OG0000229	VQY17_RS01080	DR084_RS01585
OG0000230	VQY17_RS01085	DR084_RS01590
OG0000231	VQY17_RS01095	DR084_RS01600
OG0000232	VQY17_RS01105	DR084_RS01610
OG0000233	VQY17_RS01125	DR084_RS01620
OG0000234	VQY17_RS01165	DR084_RS01650
OG0000235	VQY17_RS01175	DR084_RS01660
OG0000236	VQY17_RS01180	DR084_RS01665
OG0000237	VQY17_RS01185	DR084_RS01680
OG0000238	VQY17_RS01190	DR084_RS01685
OG0000239	VQY17_RS02930	DR084_RS01715
OG0000240	VQY17_RS02935	DR084_RS01720
OG0000241	VQY17_RS02945	DR084_RS01730
OG0000242	VQY17_RS02950	DR084_RS01735
OG0000243	VQY17_RS02955	DR084_RS01740
OG0000244	VQY17_RS02965	DR084_RS01750
OG0000245	VQY17_RS02970	DR084_RS01760
OG0000246	VQY17_RS00140	DR084_RS02385
OG0000247	VQY17_RS00150	DR084_RS02395
OG0000248	VQY17_RS00160	DR084_RS02420
OG0000249	VQY17_RS00165	DR084_RS02425
OG0000250	VQY17_RS00180	DR084_RS00015
OG0000251	VQY17_RS00210	DR084_RS00045
OG0000252	VQY17_RS00220	DR084_RS00055
OG0000253	VQY17_RS00225	DR084_RS00060
OG0000254	VQY17_RS00235	DR084_RS00070
OG0000255	VQY17_RS00245	DR084_RS00075
OG0000256	VQY17_RS00250	DR084_RS00080
OG0000257	VQY17_RS00275	DR084_RS00105
OG0000258	VQY17_RS00285	DR084_RS00115
OG0000259	VQY17_RS00315	DR084_RS00145
OG0000260	VQY17_RS00325	DR084_RS00155
OG0000261	VQY17_RS00335	DR084_RS03450
OG0000262	VQY17_RS00350	DR084_RS00180
OG0000263	VQY17_RS00365	DR084_RS00195
OG0000264	VQY17_RS00380	DR084_RS00210
OG0000265	VQY17_RS00390	DR084_RS00220
OG0000266	VQY17_RS00405	DR084_RS00235
OG0000267	VQY17_RS00420	DR084_RS00250
OG0000268	VQY17_RS00425	DR084_RS00255
OG0000269	VQY17_RS00440	DR084_RS00270
OG0000270	VQY17_RS03495	DR084_RS03610
OG0000271	VQY17_RS03490	DR084_RS02445
OG0000272	VQY17_RS03485	DR084_RS02440
OG0000273	VQY17_RS03480	DR084_RS02435
OG0000274	VQY17_RS03460	DR084_RS02555
OG0000275	VQY17_RS03455	DR084_RS03630
OG0000276	VQY17_RS03450	DR084_RS02565
OG0000277	VQY17_RS03435	DR084_RS03635
OG0000278	VQY17_RS03430	DR084_RS02580
OG0000279	VQY17_RS03420	DR084_RS02590
OG0000280	VQY17_RS03415	DR084_RS02595
OG0000281	VQY17_RS03410	DR084_RS02600
OG0000282	VQY17_RS03380	DR084_RS02625
OG0000283	VQY17_RS03375	DR084_RS02630
OG0000284	VQY17_RS03370	DR084_RS02635
OG0000285	VQY17_RS03365	DR084_RS03650
OG0000286	VQY17_RS02420	DR084_RS00900
OG0000287	VQY17_RS02510	DR084_RS00875
OG0000288	VQY17_RS02520	DR084_RS00865
OG0000289	VQY17_RS02525	DR084_RS00860
OG0000290	VQY17_RS02635	DR084_RS00750
OG0000291	VQY17_RS02625	DR084_RS00760
OG0000292	VQY17_RS02620	DR084_RS00765
OG0000293	VQY17_RS02615	DR084_RS00770
OG0000294	VQY17_RS02605	DR084_RS00780
OG0000295	VQY17_RS02600	DR084_RS00785
OG0000296	VQY17_RS02560	DR084_RS00825
OG0000297	VQY17_RS02555	DR084_RS00830
OG0000298	VQY17_RS00175	DR084_RS00010
OG0000299	VQY17_RS00195	DR084_RS00030
OG0000300	VQY17_RS00375	DR084_RS00205
OG0000301	VQY17_RS00410	DR084_RS00240
OG0000302	VQY17_RS00415	DR084_RS00245
OG0000303	VQY17_RS00560	DR084_RS00380
OG0000304	VQY17_RS01110	DR084_RS00415
OG0000305	VQY17_RS02860	DR084_RS00545
OG0000306	VQY17_RS02785	DR084_RS00625
OG0000307	VQY17_RS02745	DR084_RS00660
OG0000308	VQY17_RS02655	DR084_RS00740
OG0000309	VQY17_RS02590	DR084_RS00795
OG0000310	VQY17_RS02515	DR084_RS00870
OG0000311	VQY17_RS02480	DR084_RS00925
OG0000312	VQY17_RS02465	DR084_RS00945
OG0000313	VQY17_RS01630	DR084_RS00995
OG0000314	VQY17_RS02030	DR084_RS01065
OG0000315	VQY17_RS02060	DR084_RS01095
OG0000316	VQY17_RS02070	DR084_RS01105
OG0000317	VQY17_RS02170	DR084_RS02730
OG0000318	VQY17_RS02075	DR084_RS03680
OG0000319	VQY17_RS02235	DR084_RS01795
OG0000320	VQY17_RS02365	DR084_RS01860
OG0000321	VQY17_RS01350	DR084_RS01925
OG0000322	VQY17_RS01400	DR084_RS01970
OG0000323	VQY17_RS01530	DR084_RS02815
OG0000324	VQY17_RS02275	DR084_RS01200
OG0000325	VQY17_RS00700	DR084_RS01240
OG0000326	VQY17_RS00800	DR084_RS01335
OG0000327	VQY17_RS00805	DR084_RS01340
OG0000328	VQY17_RS00890	DR084_RS01425
OG0000329	VQY17_RS00915	DR084_RS01445
OG0000330	VQY17_RS01135	DR084_RS01630
OG0000331	VQY17_RS02960	DR084_RS01745
OG0000332	VQY17_RS03100	DR084_RS02110
OG0000333	VQY17_RS03110	DR084_RS02120
OG0000334	VQY17_RS03215	DR084_RS02185
OG0000335	VQY17_RS03225	DR084_RS03575
OG0000336	VQY17_RS03400	DR084_RS03645
OG0000337	VQY17_RS03575	DR084_RS02255
OG0000338	VQY17_RS03615	DR084_RS02295
OG0000339	VQY17_RS02340	DR084_RS01880
OG0000340	VQY17_RS01330	DR084_RS01905
OG0000341	VQY17_RS02295	DR084_RS01180
OG0000342	VQY17_RS00730	DR084_RS01270
OG0000343	VQY17_RS03120	DR084_RS02130
OG0000344	VQY17_RS00575	DR084_RS00395
OG0000345	VQY17_RS01055	DR084_RS01560
OG0000346	VQY17_RS03405	DR084_RS03640
OG0000347	VQY17_RS01425	DR084_RS01995
OG0000348	VQY17_RS00810	DR084_RS03525
OG0000349	VQY17_RS03470	DR084_RS02545
OG0000350	VQY17_RS02735	DR084_RS02995
OG0000351	VQY17_RS00495	DR084_RS00330
OG0000352	VQY17_RS02010	DR084_RS01045
OG0000353	VQY17_RS01390	DR084_RS01965
OG0000354	VQY17_RS00635	DR084_RS00445
OG0000355	VQY17_RS01985	DR084_RS03495
OG0000356	VQY17_RS02065	DR084_RS03500
OG0000357	VQY17_RS03080	DR084_RS03560
OG0000358	VQY17_RS03085	DR084_RS02095
OG0000359	VQY17_RS00780	DR084_RS03520
OG0000360	VQY17_RS00280	DR084_RS00110
OG0000361	VQY17_RS00310	DR084_RS00140
OG0000362	VQY17_RS02535	DR084_RS00850
OG0000363	VQY17_RS01465	DR084_RS02040
OG0000365	VQY17_RS02110	DR084_RS03695
OG0000366	VQY17_RS02140	DR084_RS02700
OG0000367	VQY17_RS02150	DR084_RS02710
OG0000368	VQY17_RS00060	DR084_RS02360
OG0000369	VQY17_RS00025	DR084_RS03595
OG0000370	VQY17_RS00020	DR084_RS02320
OG0000371	VQY17_RS00015	DR084_RS02315
OG0000372	VQY17_RS00010	DR084_RS02310
OG0000373	VQY17_RS03605	DR084_RS02285
OG0000374	VQY17_RS03595	DR084_RS02275
OG0000375	VQY17_RS02230	DR084_RS01790
OG0000376	VQY17_RS02380	DR084_RS01845
OG0000377	VQY17_RS02370	DR084_RS01855
OG0000378	VQY17_RS01310	DR084_RS01890
OG0000379	VQY17_RS01385	DR084_RS01960
OG0000380	VQY17_RS01415	DR084_RS01985
OG0000382	VQY17_RS01485	DR084_RS02770
OG0000383	VQY17_RS01525	DR084_RS02810
OG0000384	VQY17_RS00515	DR084_RS00335
OG0000385	VQY17_RS00520	DR084_RS00340
OG0000386	VQY17_RS00540	DR084_RS00360
OG0000387	VQY17_RS00565	DR084_RS00385
OG0000388	VQY17_RS00570	DR084_RS03460
OG0000389	VQY17_RS00615	DR084_RS00425
OG0000390	VQY17_RS02880	DR084_RS00525
OG0000391	VQY17_RS02870	DR084_RS00535
OG0000392	VQY17_RS02845	DR084_RS00560
OG0000393	VQY17_RS02790	DR084_RS00615
OG0000394	VQY17_RS02715	DR084_RS00675
OG0000395	VQY17_RS02710	DR084_RS00680
OG0000396	VQY17_RS02425	DR084_RS00985
OG0000397	VQY17_RS01995	DR084_RS01030
OG0000398	VQY17_RS02000	DR084_RS01035
OG0000399	VQY17_RS02045	DR084_RS01080
OG0000400	VQY17_RS03045	DR084_RS02055
OG0000401	VQY17_RS03105	DR084_RS02115
OG0000402	VQY17_RS03115	DR084_RS02125
OG0000403	VQY17_RS03125	DR084_RS02135
OG0000404	VQY17_RS03150	DR084_RS03565
OG0000405	VQY17_RS03165	DR084_RS02170
OG0000406	VQY17_RS03230	DR084_RS02200
OG0000407	VQY17_RS03235	DR084_RS03580
OG0000408	VQY17_RS03240	DR084_RS02210
OG0000409	VQY17_RS03245	DR084_RS02215
OG0000410	VQY17_RS03310	DR084_RS02860
OG0000411	VQY17_RS03300	DR084_RS02870
OG0000412	VQY17_RS03295	DR084_RS02875
OG0000413	VQY17_RS01540	DR084_RS01130
OG0000414	VQY17_RS01550	DR084_RS01140
OG0000415	VQY17_RS01555	DR084_RS01145
OG0000416	VQY17_RS01565	DR084_RS01155
OG0000417	VQY17_RS02290	DR084_RS01185
OG0000418	VQY17_RS02285	DR084_RS01190
OG0000419	VQY17_RS00710	DR084_RS01250
OG0000420	VQY17_RS00745	DR084_RS01285
OG0000421	VQY17_RS00785	DR084_RS01320
OG0000422	VQY17_RS00795	DR084_RS01330
OG0000423	VQY17_RS00850	DR084_RS01385
OG0000424	VQY17_RS00855	DR084_RS01390
OG0000425	VQY17_RS00865	DR084_RS01400
OG0000426	VQY17_RS00870	DR084_RS03530
OG0000427	VQY17_RS00900	DR084_RS03535
OG0000428	VQY17_RS00925	DR084_RS01455
OG0000429	VQY17_RS01045	DR084_RS01550
OG0000430	VQY17_RS01090	DR084_RS01595
OG0000431	VQY17_RS01100	DR084_RS01605
OG0000432	VQY17_RS01130	DR084_RS01625
OG0000433	VQY17_RS01145	DR084_RS01635
OG0000434	VQY17_RS01150	DR084_RS01640
OG0000435	VQY17_RS01170	DR084_RS01655
OG0000436	VQY17_RS01195	DR084_RS01690
OG0000438	VQY17_RS01210	DR084_RS03545
OG0000439	VQY17_RS01215	DR084_RS01710
OG0000440	VQY17_RS02940	DR084_RS01725
OG0000441	VQY17_RS02975	DR084_RS01765
OG0000442	VQY17_RS00145	DR084_RS02390
OG0000443	VQY17_RS00190	DR084_RS00025
OG0000444	VQY17_RS00205	DR084_RS00040
OG0000445	VQY17_RS00230	DR084_RS00065
OG0000446	VQY17_RS00260	DR084_RS00090
OG0000447	VQY17_RS00265	DR084_RS00095
OG0000448	VQY17_RS00295	DR084_RS00125
OG0000449	VQY17_RS00320	DR084_RS00150
OG0000450	VQY17_RS00330	DR084_RS00160
OG0000451	VQY17_RS00370	DR084_RS00200
OG0000452	VQY17_RS00395	DR084_RS00225
OG0000453	VQY17_RS00430	DR084_RS00260
OG0000455	VQY17_RS03515	DR084_RS03615
OG0000456	VQY17_RS03390	DR084_RS02620
OG0000458	VQY17_RS02505	DR084_RS00880
OG0000459	VQY17_RS02530	DR084_RS00855
OG0000460	VQY17_RS02540	DR084_RS00845
OG0000461	VQY17_RS02585	DR084_RS00800
OG0000462	VQY17_RS02580	DR084_RS00805
OG0000463	VQY17_RS02575	DR084_RS00810
OG0000464	VQY17_RS02570	DR084_RS00815
OG0000465	VQY17_RS02565	DR084_RS00820
OG0000466	VQY17_RS00400	DR084_RS00230
OG0000467	VQY17_RS02665	DR084_RS03485
OG0000468	VQY17_RS02040	DR084_RS01075
OG0000469	VQY17_RS02100	DR084_RS02850
OG0000470	VQY17_RS00845	DR084_RS01380
OG0000471	VQY17_RS00930	DR084_RS01460
OG0000472	VQY17_RS03320	DR084_RS02670
OG0000473	VQY17_RS03500	DR084_RS02455
OG0000474	VQY17_RS03505	DR084_RS02460
OG0000475	VQY17_RS03510	DR084_RS02465
OG0000476	VQY17_RS01575	DR084_RS02500
OG0000477	VQY17_RS02610	DR084_RS00775
OG0000478	VQY17_RS03445	DR084_RS02570
OG0000479	VQY17_RS01345	DR084_RS01920
OG0000480	VQY17_RS02105	DR084_RS03020
OG0000481	VQY17_RS00820	DR084_RS01355
OG0000482	VQY17_RS01235	DR084_RS01215
OG0000483	VQY17_RS02155	DR084_RS02715
OG0000484	VQY17_RS00200	DR084_RS03445
OG0000485	VQY17_RS01205	DR084_RS01695
OG0000486	VQY17_RS02310	DR084_RS01165
OG0000487	VQY17_RS02080	DR084_RS03685
OG0000488	VQY17_RS02120	DR084_RS02685
OG0000489	VQY17_RS00050	DR084_RS02350
OG0000490	VQY17_RS03610	DR084_RS02290
OG0000491	VQY17_RS01365	DR084_RS01940
OG0000492	VQY17_RS01445	DR084_RS02015
OG0000493	VQY17_RS00580	DR084_RS00400
OG0000494	VQY17_RS00640	DR084_RS00450
OG0000495	VQY17_RS02815	DR084_RS00590
OG0000496	VQY17_RS02805	DR084_RS00600
OG0000497	VQY17_RS02800	DR084_RS00605
OG0000498	VQY17_RS02720	DR084_RS00670
OG0000499	VQY17_RS02685	DR084_RS00710
OG0000500	VQY17_RS02005	DR084_RS01040
OG0000501	VQY17_RS03055	DR084_RS02065
OG0000502	VQY17_RS01225	DR084_RS01225
OG0000503	VQY17_RS00760	DR084_RS01300
OG0000504	VQY17_RS00905	DR084_RS01435
OG0000505	VQY17_RS00965	DR084_RS01470
OG0000506	VQY17_RS00975	DR084_RS01480
OG0000507	VQY17_RS01010	DR084_RS01515
OG0000508	VQY17_RS00255	DR084_RS00085
OG0000509	VQY17_RS00290	DR084_RS00120
OG0000510	VQY17_RS00305	DR084_RS00130
OG0000511	VQY17_RS00435	DR084_RS00265
OG0000512	VQY17_RS02545	DR084_RS00840
OG0000513	VQY17_RS03425	DR084_RS02585
OG0000514	VQY17_RS02840	DR084_RS00565
OG0000516	VQY17_RS02085	DR084_RS03415, DR084_RS03410
OG0000517	VQY17_RS00065	DR084_RS02365
OG0000518	VQY17_RS03095	DR084_RS02105
OG0000519	VQY17_RS00790	DR084_RS01325
OG0000520	VQY17_RS00920	DR084_RS01450
OG0000521	VQY17_RS00270	DR084_RS00100
OG0000523	VQY17_RS03360	DR084_RS02650
OG0000524	VQY17_RS02660	DR084_RS00735
OG0000525	VQY17_RS03325	DR084_RS03715
OG0000528	VQY17_RS02090	DR084_RS03690
OG0000529	VQY17_RS02245	DR084_RS01805
OG0000530	VQY17_RS02350	DR084_RS01870
OG0000531	VQY17_RS01420	DR084_RS01990
OG0000533	VQY17_RS00600	DR084_RS01615
OG0000534	VQY17_RS00385	DR084_RS00215
OG0000535	VQY17_RS00045	DR084_RS02345
OG0000536	VQY17_RS03545	DR084_RS02525
OG0000537	VQY17_RS00725	DR084_RS01265
OG0000538	VQY17_RS01160	DR084_RS01645
OG0000539	VQY17_RS00215	DR084_RS00050
OG0000540	VQY17_RS02630	DR084_RS00755
OG0000541	VQY17_RS02700	DR084_RS00695
OG0000542	VQY17_RS00355	DR084_RS00185
OG0000547	VQY17_RS02895	DR084_RS00515
OG0000548	VQY17_RS01625	DR084_RS00990
OG0000549	VQY17_RS03315	DR084_RS02675
OG0000550	VQY17_RS03465	DR084_RS02550
OG0000596	VQY17_RS01785	DR084_RS02410
OG0000598	VQY17_RS01790	DR084_RS02405
OG0000599	VQY17_RS01795	DR084_RS02400
OG0000602	VQY17_RS02115	DR084_RS02680
