Orthogroup	MHP_Ue273_genes	MHP_4284_genes
OG0000138	VQY17_RS00620	ABLE99_RS01040
OG0000139	VQY17_RS00650	ABLE99_RS01010
OG0000140	VQY17_RS00655	ABLE99_RS01005
OG0000141	VQY17_RS02915	ABLE99_RS02825
OG0000142	VQY17_RS02910	ABLE99_RS02820
OG0000143	VQY17_RS02885	ABLE99_RS02800
OG0000144	VQY17_RS02875	ABLE99_RS02790
OG0000145	VQY17_RS02865	ABLE99_RS02780
OG0000146	VQY17_RS02855	ABLE99_RS02770
OG0000147	VQY17_RS02850	ABLE99_RS02765
OG0000148	VQY17_RS02835	ABLE99_RS02750
OG0000149	VQY17_RS02825	ABLE99_RS02740
OG0000150	VQY17_RS02810	ABLE99_RS02725
OG0000151	VQY17_RS02760	ABLE99_RS02675
OG0000152	VQY17_RS02755	ABLE99_RS02670
OG0000153	VQY17_RS02750	ABLE99_RS02665
OG0000154	VQY17_RS02740	ABLE99_RS02655
OG0000155	VQY17_RS02705	ABLE99_RS02615
OG0000156	VQY17_RS02695	ABLE99_RS02610
OG0000157	VQY17_RS02690	ABLE99_RS02600
OG0000158	VQY17_RS02680	ABLE99_RS02590
OG0000159	VQY17_RS02460	ABLE99_RS02365
OG0000160	VQY17_RS02455	ABLE99_RS02360
OG0000161	VQY17_RS02450	ABLE99_RS02355
OG0000162	VQY17_RS02440	ABLE99_RS02345
OG0000163	VQY17_RS02435	ABLE99_RS02340
OG0000164	VQY17_RS01640	ABLE99_RS01560
OG0000165	VQY17_RS02015	ABLE99_RS01855
OG0000166	VQY17_RS02035	ABLE99_RS01875
OG0000167	VQY17_RS02050	ABLE99_RS01890
OG0000168	VQY17_RS02055	ABLE99_RS01895
OG0000169	VQY17_RS03035	ABLE99_RS02935
OG0000170	VQY17_RS03050	ABLE99_RS02950
OG0000171	VQY17_RS03060	ABLE99_RS02960
OG0000172	VQY17_RS03065	ABLE99_RS02965
OG0000173	VQY17_RS03070	ABLE99_RS02970
OG0000174	VQY17_RS03075	ABLE99_RS02975
OG0000175	VQY17_RS03090	ABLE99_RS02990
OG0000176	VQY17_RS03135	ABLE99_RS03040
OG0000177	VQY17_RS03140	ABLE99_RS03045
OG0000178	VQY17_RS03145	ABLE99_RS03050
OG0000179	VQY17_RS03155	ABLE99_RS03060
OG0000180	VQY17_RS03160	ABLE99_RS03065
OG0000181	VQY17_RS03210	ABLE99_RS03105
OG0000182	VQY17_RS03220	ABLE99_RS03115
OG0000183	VQY17_RS03255	ABLE99_RS03150
OG0000184	VQY17_RS03305	ABLE99_RS03175
OG0000185	VQY17_RS03290	ABLE99_RS03190
OG0000186	VQY17_RS01545	ABLE99_RS01490
OG0000187	VQY17_RS01560	ABLE99_RS01505
OG0000188	VQY17_RS01570	ABLE99_RS01515
OG0000189	VQY17_RS02305	ABLE99_RS02135
OG0000190	VQY17_RS02300	ABLE99_RS02130
OG0000191	VQY17_RS02280	ABLE99_RS02110
OG0000192	VQY17_RS01240	ABLE99_RS01185
OG0000193	VQY17_RS01230	ABLE99_RS01170
OG0000194	VQY17_RS00690	ABLE99_RS00985
OG0000195	VQY17_RS00695	ABLE99_RS00980
OG0000196	VQY17_RS00715	ABLE99_RS00960
OG0000197	VQY17_RS00720	ABLE99_RS00955
OG0000198	VQY17_RS00735	ABLE99_RS00940
OG0000199	VQY17_RS00740	ABLE99_RS00935
OG0000200	VQY17_RS00755	ABLE99_RS00920
OG0000201	VQY17_RS00765	ABLE99_RS00910
OG0000202	VQY17_RS00825	ABLE99_RS00855
OG0000203	VQY17_RS00830	ABLE99_RS00850
OG0000204	VQY17_RS00835	ABLE99_RS00845
OG0000205	VQY17_RS00840	ABLE99_RS00840
OG0000206	VQY17_RS00860	ABLE99_RS00820
OG0000207	VQY17_RS00875	ABLE99_RS00805
OG0000208	VQY17_RS00880	ABLE99_RS00800
OG0000209	VQY17_RS00885	ABLE99_RS00795
OG0000210	VQY17_RS00935	ABLE99_RS00750
OG0000211	VQY17_RS00970	ABLE99_RS00740
OG0000212	VQY17_RS00980	ABLE99_RS00730
OG0000213	VQY17_RS00985	ABLE99_RS00725
OG0000214	VQY17_RS00990	ABLE99_RS00720
OG0000215	VQY17_RS00995	ABLE99_RS00715
OG0000216	VQY17_RS01000	ABLE99_RS00710
OG0000217	VQY17_RS01005	ABLE99_RS00705
OG0000218	VQY17_RS01015	ABLE99_RS00695
OG0000219	VQY17_RS01020	ABLE99_RS00690
OG0000220	VQY17_RS01025	ABLE99_RS00685
OG0000221	VQY17_RS01030	ABLE99_RS00680
OG0000222	VQY17_RS01035	ABLE99_RS00675
OG0000223	VQY17_RS01040	ABLE99_RS00670
OG0000224	VQY17_RS01050	ABLE99_RS00660
OG0000225	VQY17_RS01060	ABLE99_RS00650
OG0000226	VQY17_RS01065	ABLE99_RS00645
OG0000227	VQY17_RS01070	ABLE99_RS00640
OG0000228	VQY17_RS01075	ABLE99_RS00635
OG0000229	VQY17_RS01080	ABLE99_RS00630
OG0000230	VQY17_RS01085	ABLE99_RS00625
OG0000231	VQY17_RS01095	ABLE99_RS00615
OG0000232	VQY17_RS01105	ABLE99_RS00605
OG0000233	VQY17_RS01125	ABLE99_RS01065
OG0000234	VQY17_RS01165	ABLE99_RS01100
OG0000235	VQY17_RS01175	ABLE99_RS01110
OG0000236	VQY17_RS01180	ABLE99_RS01115
OG0000237	VQY17_RS01185	ABLE99_RS01120
OG0000238	VQY17_RS01190	ABLE99_RS01125
OG0000239	VQY17_RS02930	ABLE99_RS02835
OG0000240	VQY17_RS02935	ABLE99_RS02840
OG0000241	VQY17_RS02945	ABLE99_RS02850
OG0000242	VQY17_RS02950	ABLE99_RS02855
OG0000243	VQY17_RS02955	ABLE99_RS02860
OG0000244	VQY17_RS02965	ABLE99_RS02870
OG0000245	VQY17_RS02970	ABLE99_RS02880
OG0000246	VQY17_RS00140	ABLE99_RS00140
OG0000247	VQY17_RS00150	ABLE99_RS00150
OG0000248	VQY17_RS00160	ABLE99_RS00160
OG0000249	VQY17_RS00165	ABLE99_RS00165
OG0000250	VQY17_RS00180	ABLE99_RS00185
OG0000251	VQY17_RS00210	ABLE99_RS00210
OG0000252	VQY17_RS00220	ABLE99_RS00220
OG0000253	VQY17_RS00225	ABLE99_RS00225
OG0000254	VQY17_RS00235	ABLE99_RS00235
OG0000255	VQY17_RS00245	ABLE99_RS00240
OG0000256	VQY17_RS00250	ABLE99_RS00245
OG0000257	VQY17_RS00275	ABLE99_RS00270
OG0000258	VQY17_RS00285	ABLE99_RS00280
OG0000259	VQY17_RS00315	ABLE99_RS00310
OG0000260	VQY17_RS00325	ABLE99_RS00320
OG0000261	VQY17_RS00335	ABLE99_RS00330
OG0000262	VQY17_RS00350	ABLE99_RS00345
OG0000263	VQY17_RS00365	ABLE99_RS00360
OG0000264	VQY17_RS00380	ABLE99_RS00375
OG0000265	VQY17_RS00390	ABLE99_RS00385
OG0000266	VQY17_RS00405	ABLE99_RS00400
OG0000267	VQY17_RS00420	ABLE99_RS00415
OG0000268	VQY17_RS00425	ABLE99_RS00420
OG0000269	VQY17_RS00440	ABLE99_RS00435
OG0000270	VQY17_RS03495	ABLE99_RS03355
OG0000271	VQY17_RS03490	ABLE99_RS03350
OG0000272	VQY17_RS03485	ABLE99_RS03345
OG0000273	VQY17_RS03480	ABLE99_RS03340
OG0000274	VQY17_RS03460	ABLE99_RS03320
OG0000275	VQY17_RS03455	ABLE99_RS03315
OG0000276	VQY17_RS03450	ABLE99_RS03310
OG0000277	VQY17_RS03435	ABLE99_RS03300
OG0000278	VQY17_RS03430	ABLE99_RS03295
OG0000279	VQY17_RS03420	ABLE99_RS03285
OG0000280	VQY17_RS03415	ABLE99_RS03280
OG0000281	VQY17_RS03410	ABLE99_RS03275
OG0000282	VQY17_RS03380	ABLE99_RS03250
OG0000283	VQY17_RS03375	ABLE99_RS03245
OG0000284	VQY17_RS03370	ABLE99_RS03240
OG0000285	VQY17_RS03365	ABLE99_RS03235
OG0000286	VQY17_RS02420	ABLE99_RS02325
OG0000287	VQY17_RS02510	ABLE99_RS02415
OG0000288	VQY17_RS02520	ABLE99_RS02425
OG0000289	VQY17_RS02525	ABLE99_RS02430
OG0000290	VQY17_RS02635	ABLE99_RS02540
OG0000291	VQY17_RS02625	ABLE99_RS02530
OG0000292	VQY17_RS02620	ABLE99_RS02525
OG0000293	VQY17_RS02615	ABLE99_RS02520
OG0000294	VQY17_RS02605	ABLE99_RS02510
OG0000295	VQY17_RS02600	ABLE99_RS02505
OG0000296	VQY17_RS02560	ABLE99_RS02465
OG0000297	VQY17_RS02555	ABLE99_RS02460
OG0000298	VQY17_RS00175	ABLE99_RS00175
OG0000299	VQY17_RS00195	ABLE99_RS00195
OG0000300	VQY17_RS00375	ABLE99_RS00370
OG0000301	VQY17_RS00410	ABLE99_RS00405
OG0000302	VQY17_RS00415	ABLE99_RS00410
OG0000303	VQY17_RS00560	ABLE99_RS00555
OG0000304	VQY17_RS01110	ABLE99_RS00600
OG0000305	VQY17_RS02860	ABLE99_RS02775
OG0000306	VQY17_RS02785	ABLE99_RS02700
OG0000307	VQY17_RS02745	ABLE99_RS02660
OG0000308	VQY17_RS02655	ABLE99_RS02560
OG0000309	VQY17_RS02590	ABLE99_RS02495
OG0000310	VQY17_RS02515	ABLE99_RS02420
OG0000311	VQY17_RS02480	ABLE99_RS02385
OG0000312	VQY17_RS02465	ABLE99_RS02370
OG0000313	VQY17_RS01630	ABLE99_RS01550
OG0000314	VQY17_RS02030	ABLE99_RS01870
OG0000315	VQY17_RS02060	ABLE99_RS01900
OG0000316	VQY17_RS02070	ABLE99_RS01910
OG0000317	VQY17_RS02170	ABLE99_RS02005
OG0000318	VQY17_RS02075	ABLE99_RS01915
OG0000319	VQY17_RS02235	ABLE99_RS02065
OG0000320	VQY17_RS02365	ABLE99_RS02265
OG0000321	VQY17_RS01350	ABLE99_RS01300
OG0000322	VQY17_RS01400	ABLE99_RS01345
OG0000323	VQY17_RS01530	ABLE99_RS01475
OG0000324	VQY17_RS02275	ABLE99_RS02105
OG0000325	VQY17_RS00700	ABLE99_RS00975
OG0000326	VQY17_RS00800	ABLE99_RS00880
OG0000327	VQY17_RS00805	ABLE99_RS00875
OG0000328	VQY17_RS00890	ABLE99_RS00790
OG0000329	VQY17_RS00915	ABLE99_RS00770
OG0000330	VQY17_RS01135	ABLE99_RS01075
OG0000331	VQY17_RS02960	ABLE99_RS02865
OG0000332	VQY17_RS03100	ABLE99_RS03000
OG0000333	VQY17_RS03110	ABLE99_RS03010
OG0000334	VQY17_RS03215	ABLE99_RS03110
OG0000335	VQY17_RS03225	ABLE99_RS03120
OG0000336	VQY17_RS03400	ABLE99_RS03265
OG0000337	VQY17_RS03575	ABLE99_RS03435
OG0000338	VQY17_RS03615	ABLE99_RS03475
OG0000339	VQY17_RS02340	ABLE99_RS02240
OG0000340	VQY17_RS01330	ABLE99_RS01280
OG0000341	VQY17_RS02295	ABLE99_RS02125
OG0000342	VQY17_RS00730	ABLE99_RS00945
OG0000343	VQY17_RS03120	ABLE99_RS03020
OG0000344	VQY17_RS00575	ABLE99_RS00570
OG0000345	VQY17_RS01055	ABLE99_RS00655
OG0000346	VQY17_RS03405	ABLE99_RS03270
OG0000347	VQY17_RS01425	ABLE99_RS01370
OG0000348	VQY17_RS00810	ABLE99_RS00870
OG0000349	VQY17_RS03470	ABLE99_RS03330
OG0000350	VQY17_RS02735	ABLE99_RS02650
OG0000351	VQY17_RS00495	ABLE99_RS00490
OG0000352	VQY17_RS02010	ABLE99_RS01850
OG0000353	VQY17_RS01390	ABLE99_RS01340
OG0000354	VQY17_RS00635	ABLE99_RS01025
OG0000355	VQY17_RS01985	ABLE99_RS01825
OG0000356	VQY17_RS02065	ABLE99_RS01905
OG0000357	VQY17_RS03080	ABLE99_RS02980
OG0000358	VQY17_RS03085	ABLE99_RS02985
OG0000359	VQY17_RS00780	ABLE99_RS00900
OG0000360	VQY17_RS00280	ABLE99_RS00275
OG0000361	VQY17_RS00310	ABLE99_RS00305
OG0000362	VQY17_RS02535	ABLE99_RS02440
OG0000363	VQY17_RS01465	ABLE99_RS01410
OG0000364	VQY17_RS01955, VQY17_RS01960	ABLE99_RS01800
OG0000365	VQY17_RS02110	ABLE99_RS01950
OG0000366	VQY17_RS02140	ABLE99_RS01975
OG0000367	VQY17_RS02150	ABLE99_RS01985
OG0000368	VQY17_RS00060	ABLE99_RS00060
OG0000369	VQY17_RS00025	ABLE99_RS00025
OG0000370	VQY17_RS00020	ABLE99_RS00020
OG0000371	VQY17_RS00015	ABLE99_RS00015
OG0000372	VQY17_RS00010	ABLE99_RS00010
OG0000373	VQY17_RS03605	ABLE99_RS03465
OG0000374	VQY17_RS03595	ABLE99_RS03455
OG0000375	VQY17_RS02230	ABLE99_RS02060
OG0000376	VQY17_RS02380	ABLE99_RS02280
OG0000377	VQY17_RS02370	ABLE99_RS02270
OG0000378	VQY17_RS01310	ABLE99_RS01260
OG0000379	VQY17_RS01385	ABLE99_RS01335
OG0000380	VQY17_RS01415	ABLE99_RS01360
OG0000382	VQY17_RS01485	ABLE99_RS01430
OG0000383	VQY17_RS01525	ABLE99_RS01470
OG0000384	VQY17_RS00515	ABLE99_RS00510
OG0000385	VQY17_RS00520	ABLE99_RS00515
OG0000386	VQY17_RS00540	ABLE99_RS00535
OG0000387	VQY17_RS00565	ABLE99_RS00560
OG0000388	VQY17_RS00570	ABLE99_RS00565
OG0000389	VQY17_RS00615	ABLE99_RS01050
OG0000390	VQY17_RS02880	ABLE99_RS02795
OG0000391	VQY17_RS02870	ABLE99_RS02785
OG0000392	VQY17_RS02845	ABLE99_RS02760
OG0000393	VQY17_RS02790	ABLE99_RS02705
OG0000394	VQY17_RS02715	ABLE99_RS02625
OG0000395	VQY17_RS02710	ABLE99_RS02620
OG0000396	VQY17_RS02425	ABLE99_RS02330
OG0000397	VQY17_RS01995	ABLE99_RS01835
OG0000398	VQY17_RS02000	ABLE99_RS01840
OG0000399	VQY17_RS02045	ABLE99_RS01885
OG0000400	VQY17_RS03045	ABLE99_RS02945
OG0000401	VQY17_RS03105	ABLE99_RS03005
OG0000402	VQY17_RS03115	ABLE99_RS03015
OG0000403	VQY17_RS03125	ABLE99_RS03025
OG0000404	VQY17_RS03150	ABLE99_RS03055
OG0000405	VQY17_RS03165	ABLE99_RS03075
OG0000406	VQY17_RS03230	ABLE99_RS03125
OG0000407	VQY17_RS03235	ABLE99_RS03130
OG0000408	VQY17_RS03240	ABLE99_RS03135
OG0000409	VQY17_RS03245	ABLE99_RS03140
OG0000410	VQY17_RS03310	ABLE99_RS03170
OG0000411	VQY17_RS03300	ABLE99_RS03180
OG0000412	VQY17_RS03295	ABLE99_RS03185
OG0000413	VQY17_RS01540	ABLE99_RS01485
OG0000414	VQY17_RS01550	ABLE99_RS01495
OG0000415	VQY17_RS01555	ABLE99_RS01500
OG0000416	VQY17_RS01565	ABLE99_RS01510
OG0000417	VQY17_RS02290	ABLE99_RS02120
OG0000418	VQY17_RS02285	ABLE99_RS02115
OG0000419	VQY17_RS00710	ABLE99_RS00965
OG0000420	VQY17_RS00745	ABLE99_RS00930
OG0000421	VQY17_RS00785	ABLE99_RS00895
OG0000422	VQY17_RS00795	ABLE99_RS00885
OG0000423	VQY17_RS00850	ABLE99_RS00830
OG0000424	VQY17_RS00855	ABLE99_RS00825
OG0000425	VQY17_RS00865	ABLE99_RS00815
OG0000426	VQY17_RS00870	ABLE99_RS00810
OG0000427	VQY17_RS00900	ABLE99_RS00785
OG0000428	VQY17_RS00925	ABLE99_RS00760
OG0000429	VQY17_RS01045	ABLE99_RS00665
OG0000430	VQY17_RS01090	ABLE99_RS00620
OG0000431	VQY17_RS01100	ABLE99_RS00610
OG0000432	VQY17_RS01130	ABLE99_RS01070
OG0000433	VQY17_RS01145	ABLE99_RS01085
OG0000434	VQY17_RS01150	ABLE99_RS01090
OG0000435	VQY17_RS01170	ABLE99_RS01105
OG0000436	VQY17_RS01195	ABLE99_RS01130
OG0000438	VQY17_RS01210	ABLE99_RS01145
OG0000439	VQY17_RS01215	ABLE99_RS01150
OG0000440	VQY17_RS02940	ABLE99_RS02845
OG0000442	VQY17_RS00145	ABLE99_RS00145
OG0000443	VQY17_RS00190	ABLE99_RS00190
OG0000444	VQY17_RS00205	ABLE99_RS00205
OG0000445	VQY17_RS00230	ABLE99_RS00230
OG0000446	VQY17_RS00260	ABLE99_RS00255
OG0000447	VQY17_RS00265	ABLE99_RS00260
OG0000448	VQY17_RS00295	ABLE99_RS00290
OG0000449	VQY17_RS00320	ABLE99_RS00315
OG0000450	VQY17_RS00330	ABLE99_RS00325
OG0000451	VQY17_RS00370	ABLE99_RS00365
OG0000452	VQY17_RS00395	ABLE99_RS00390
OG0000453	VQY17_RS00430	ABLE99_RS00425
OG0000454	VQY17_RS01595	ABLE99_RS01530
OG0000455	VQY17_RS03515	ABLE99_RS03375
OG0000456	VQY17_RS03390	ABLE99_RS03255
OG0000458	VQY17_RS02505	ABLE99_RS02410
OG0000459	VQY17_RS02530	ABLE99_RS02435
OG0000460	VQY17_RS02540	ABLE99_RS02445
OG0000461	VQY17_RS02585	ABLE99_RS02490
OG0000462	VQY17_RS02580	ABLE99_RS02485
OG0000463	VQY17_RS02575	ABLE99_RS02480
OG0000464	VQY17_RS02570	ABLE99_RS02475
OG0000465	VQY17_RS02565	ABLE99_RS02470
OG0000466	VQY17_RS00400	ABLE99_RS00395
OG0000467	VQY17_RS02665	ABLE99_RS02570
OG0000468	VQY17_RS02040	ABLE99_RS01880
OG0000469	VQY17_RS02100	ABLE99_RS01940
OG0000470	VQY17_RS00845	ABLE99_RS00835
OG0000471	VQY17_RS00930	ABLE99_RS00755
OG0000472	VQY17_RS03320	ABLE99_RS03205
OG0000473	VQY17_RS03500	ABLE99_RS03360
OG0000474	VQY17_RS03505	ABLE99_RS03365
OG0000475	VQY17_RS03510	ABLE99_RS03370
OG0000476	VQY17_RS01575	ABLE99_RS01520
OG0000477	VQY17_RS02610	ABLE99_RS02515
OG0000478	VQY17_RS03445	ABLE99_RS03305
OG0000479	VQY17_RS01345	ABLE99_RS01295
OG0000480	VQY17_RS02105	ABLE99_RS01945
OG0000481	VQY17_RS00820	ABLE99_RS00860
OG0000482	VQY17_RS01235	ABLE99_RS01175
OG0000483	VQY17_RS02155	ABLE99_RS01990
OG0000484	VQY17_RS00200	ABLE99_RS00200
OG0000485	VQY17_RS01205	ABLE99_RS01135
OG0000486	VQY17_RS02310	ABLE99_RS02140
OG0000487	VQY17_RS02080	ABLE99_RS01920
OG0000488	VQY17_RS02120	ABLE99_RS01960
OG0000489	VQY17_RS00050	ABLE99_RS00050
OG0000490	VQY17_RS03610	ABLE99_RS03470
OG0000491	VQY17_RS01365	ABLE99_RS01315
OG0000492	VQY17_RS01445	ABLE99_RS01390
OG0000493	VQY17_RS00580	ABLE99_RS00575
OG0000494	VQY17_RS00640	ABLE99_RS01020
OG0000495	VQY17_RS02815	ABLE99_RS02730
OG0000496	VQY17_RS02805	ABLE99_RS02720
OG0000497	VQY17_RS02800	ABLE99_RS02715
OG0000498	VQY17_RS02720	ABLE99_RS02630
OG0000499	VQY17_RS02685	ABLE99_RS02595
OG0000500	VQY17_RS02005	ABLE99_RS01845
OG0000501	VQY17_RS03055	ABLE99_RS02955
