Orthogroup	MHP_Ue273_genes	MHP_KM014_genes
OG0000189	VQY17_RS02305	CIB43_RS03200
OG0000190	VQY17_RS02300	CIB43_RS03195
OG0000191	VQY17_RS02280	CIB43_RS03180
OG0000192	VQY17_RS01240	CIB43_RS02085
OG0000193	VQY17_RS01230	CIB43_RS02075
OG0000194	VQY17_RS00690	CIB43_RS01560
OG0000195	VQY17_RS00695	CIB43_RS01565
OG0000196	VQY17_RS00715	CIB43_RS01585
OG0000197	VQY17_RS00720	CIB43_RS01590
OG0000198	VQY17_RS00735	CIB43_RS01605
OG0000199	VQY17_RS00740	CIB43_RS01615
OG0000200	VQY17_RS00755	CIB43_RS01630
OG0000201	VQY17_RS00765	CIB43_RS01635
OG0000202	VQY17_RS00825	CIB43_RS01690
OG0000203	VQY17_RS00830	CIB43_RS01695
OG0000204	VQY17_RS00835	CIB43_RS01700
OG0000205	VQY17_RS00840	CIB43_RS01705
OG0000206	VQY17_RS00860	CIB43_RS01735
OG0000207	VQY17_RS00875	CIB43_RS01740
OG0000208	VQY17_RS00880	CIB43_RS01745
OG0000209	VQY17_RS00885	CIB43_RS01750
OG0000210	VQY17_RS00935	CIB43_RS01800
OG0000211	VQY17_RS00970	CIB43_RS01805
OG0000212	VQY17_RS00980	CIB43_RS01815
OG0000213	VQY17_RS00985	CIB43_RS01820
OG0000214	VQY17_RS00990	CIB43_RS01825
OG0000215	VQY17_RS00995	CIB43_RS01830
OG0000216	VQY17_RS01000	CIB43_RS01835
OG0000217	VQY17_RS01005	CIB43_RS01845
OG0000218	VQY17_RS01015	CIB43_RS01850
OG0000219	VQY17_RS01020	CIB43_RS01855
OG0000220	VQY17_RS01025	CIB43_RS01860
OG0000221	VQY17_RS01030	CIB43_RS01865
OG0000222	VQY17_RS01035	CIB43_RS01870
OG0000223	VQY17_RS01040	CIB43_RS01875
OG0000225	VQY17_RS01060	CIB43_RS01895
OG0000226	VQY17_RS01065	CIB43_RS01900
OG0000227	VQY17_RS01070	CIB43_RS01905
OG0000228	VQY17_RS01075	CIB43_RS01910
OG0000229	VQY17_RS01080	CIB43_RS01915
OG0000230	VQY17_RS01085	CIB43_RS01920
OG0000231	VQY17_RS01095	CIB43_RS01935
OG0000232	VQY17_RS01105	CIB43_RS01940
OG0000233	VQY17_RS01125	CIB43_RS01965
OG0000234	VQY17_RS01165	CIB43_RS02000
OG0000235	VQY17_RS01175	CIB43_RS02005
OG0000236	VQY17_RS01180	CIB43_RS02010
OG0000237	VQY17_RS01185	CIB43_RS02015
OG0000238	VQY17_RS01190	CIB43_RS02025
OG0000239	VQY17_RS02930	CIB43_RS03860
OG0000240	VQY17_RS02935	CIB43_RS03870
OG0000241	VQY17_RS02945	CIB43_RS03875
OG0000242	VQY17_RS02950	CIB43_RS03880
OG0000243	VQY17_RS02955	CIB43_RS03885
OG0000244	VQY17_RS02965	CIB43_RS03900
OG0000245	VQY17_RS02970	CIB43_RS03905
OG0000246	VQY17_RS00140	CIB43_RS00845
OG0000247	VQY17_RS00150	CIB43_RS00850
OG0000248	VQY17_RS00160	CIB43_RS00875
OG0000250	VQY17_RS00180	CIB43_RS00885
OG0000251	VQY17_RS00210	CIB43_RS00925
OG0000252	VQY17_RS00220	CIB43_RS00930
OG0000253	VQY17_RS00225	CIB43_RS00940
OG0000254	VQY17_RS00235	CIB43_RS00950
OG0000255	VQY17_RS00245	CIB43_RS00955
OG0000256	VQY17_RS00250	CIB43_RS00960
OG0000257	VQY17_RS00275	CIB43_RS00985
OG0000258	VQY17_RS00285	CIB43_RS01015
OG0000259	VQY17_RS00315	CIB43_RS01030
OG0000260	VQY17_RS00325	CIB43_RS01045
OG0000262	VQY17_RS00350	CIB43_RS01075
OG0000263	VQY17_RS00365	CIB43_RS01080
OG0000264	VQY17_RS00380	CIB43_RS01100
OG0000265	VQY17_RS00390	CIB43_RS01110
OG0000266	VQY17_RS00405	CIB43_RS01120
OG0000267	VQY17_RS00420	CIB43_RS01135
OG0000268	VQY17_RS00425	CIB43_RS01305
OG0000269	VQY17_RS00440	CIB43_RS01320
OG0000270	VQY17_RS03495	CIB43_RS00575
OG0000271	VQY17_RS03490	CIB43_RS00570
OG0000272	VQY17_RS03485	CIB43_RS00565
OG0000273	VQY17_RS03480	CIB43_RS00560
OG0000274	VQY17_RS03460	CIB43_RS00545
OG0000275	VQY17_RS03455	CIB43_RS00535
OG0000276	VQY17_RS03450	CIB43_RS00530
OG0000277	VQY17_RS03435	CIB43_RS00525
OG0000278	VQY17_RS03430	CIB43_RS00515
OG0000279	VQY17_RS03420	CIB43_RS00510
OG0000280	VQY17_RS03415	CIB43_RS00500
OG0000281	VQY17_RS03410	CIB43_RS00495
OG0000283	VQY17_RS03375	CIB43_RS00475
OG0000284	VQY17_RS03370	CIB43_RS00460
OG0000285	VQY17_RS03365	CIB43_RS00455
OG0000286	VQY17_RS02420	CIB43_RS03345
OG0000287	VQY17_RS02510	CIB43_RS03440
OG0000288	VQY17_RS02520	CIB43_RS03450
OG0000289	VQY17_RS02525	CIB43_RS03455
OG0000290	VQY17_RS02635	CIB43_RS03565
OG0000291	VQY17_RS02625	CIB43_RS03560
OG0000292	VQY17_RS02620	CIB43_RS03550
OG0000293	VQY17_RS02615	CIB43_RS03545
OG0000294	VQY17_RS02605	CIB43_RS03540
OG0000295	VQY17_RS02600	CIB43_RS03530
OG0000296	VQY17_RS02560	CIB43_RS03495
OG0000297	VQY17_RS02555	CIB43_RS03485
OG0000298	VQY17_RS00175	CIB43_RS00880
OG0000299	VQY17_RS00195	CIB43_RS00915
OG0000300	VQY17_RS00375	CIB43_RS01090
OG0000301	VQY17_RS00410	CIB43_RS01125
OG0000302	VQY17_RS00415	CIB43_RS01130
OG0000303	VQY17_RS00560	CIB43_RS01455
OG0000304	VQY17_RS01110	CIB43_RS01950
OG0000305	VQY17_RS02860	CIB43_RS03795
OG0000306	VQY17_RS02785	CIB43_RS03725
OG0000307	VQY17_RS02745	CIB43_RS03685
OG0000308	VQY17_RS02655	CIB43_RS03600
OG0000309	VQY17_RS02590	CIB43_RS03520
OG0000310	VQY17_RS02515	CIB43_RS03445
OG0000311	VQY17_RS02480	CIB43_RS03405
OG0000312	VQY17_RS02465	CIB43_RS03390
OG0000313	VQY17_RS01630	CIB43_RS02485
OG0000314	VQY17_RS02030	CIB43_RS02855
OG0000315	VQY17_RS02060	CIB43_RS02885
OG0000316	VQY17_RS02070	CIB43_RS02895
OG0000317	VQY17_RS02170	CIB43_RS02985
OG0000318	VQY17_RS02075	CIB43_RS02900
OG0000319	VQY17_RS02235	CIB43_RS03125
OG0000320	VQY17_RS02365	CIB43_RS03270
OG0000321	VQY17_RS01350	CIB43_RS02200
OG0000322	VQY17_RS01400	CIB43_RS02245
OG0000323	VQY17_RS01530	CIB43_RS02375
OG0000324	VQY17_RS02275	CIB43_RS03170
OG0000325	VQY17_RS00700	CIB43_RS01570
OG0000326	VQY17_RS00800	CIB43_RS01665
OG0000327	VQY17_RS00805	CIB43_RS01670
OG0000328	VQY17_RS00890	CIB43_RS01760
OG0000329	VQY17_RS00915	CIB43_RS01775
OG0000330	VQY17_RS01135	CIB43_RS01970
OG0000331	VQY17_RS02960	CIB43_RS03890
OG0000332	VQY17_RS03100	CIB43_RS00200
OG0000333	VQY17_RS03110	CIB43_RS00210
OG0000334	VQY17_RS03215	CIB43_RS00315
OG0000335	VQY17_RS03225	CIB43_RS00340
OG0000336	VQY17_RS03400	CIB43_RS00485
OG0000337	VQY17_RS03575	CIB43_RS00655
OG0000338	VQY17_RS03615	CIB43_RS00695
OG0000339	VQY17_RS02340	CIB43_RS03235
OG0000340	VQY17_RS01330	CIB43_RS02185
OG0000341	VQY17_RS02295	CIB43_RS03190
OG0000342	VQY17_RS00730	CIB43_RS01600
OG0000343	VQY17_RS03120	CIB43_RS00215
OG0000344	VQY17_RS00575	CIB43_RS01465
OG0000345	VQY17_RS01055	CIB43_RS01890
OG0000346	VQY17_RS03405	CIB43_RS00490
OG0000347	VQY17_RS01425	CIB43_RS02270
OG0000348	VQY17_RS00810	CIB43_RS01685
OG0000349	VQY17_RS03470	CIB43_RS00550
OG0000350	VQY17_RS02735	CIB43_RS03675
OG0000351	VQY17_RS00495	CIB43_RS01385
OG0000352	VQY17_RS02010	CIB43_RS02830
OG0000353	VQY17_RS01390	CIB43_RS02240
OG0000354	VQY17_RS00635	CIB43_RS01515
OG0000355	VQY17_RS01985	CIB43_RS02805
OG0000356	VQY17_RS02065	CIB43_RS02890
OG0000357	VQY17_RS03080	CIB43_RS00175
OG0000358	VQY17_RS03085	CIB43_RS00180
OG0000359	VQY17_RS00780	CIB43_RS01650
OG0000360	VQY17_RS00280	CIB43_RS00990
OG0000361	VQY17_RS00310	CIB43_RS01020
OG0000362	VQY17_RS02535	CIB43_RS03475
OG0000363	VQY17_RS01465	CIB43_RS02310
OG0000364	VQY17_RS01960	CIB43_RS02775
OG0000369	VQY17_RS00025	CIB43_RS00725
OG0000370	VQY17_RS00020	CIB43_RS00720
OG0000378	VQY17_RS01310	CIB43_RS02160
OG0000379	VQY17_RS01385	CIB43_RS02235
OG0000380	VQY17_RS01415	CIB43_RS02260
OG0000385	VQY17_RS00520	CIB43_RS01405
OG0000389	VQY17_RS00615	CIB43_RS01490
OG0000394	VQY17_RS02715	CIB43_RS03660
OG0000396	VQY17_RS02425	CIB43_RS03350
OG0000403	VQY17_RS03125	CIB43_RS00220
OG0000404	VQY17_RS03150	CIB43_RS00250
OG0000405	VQY17_RS03165	CIB43_RS00265
OG0000409	VQY17_RS03245	CIB43_RS00345
OG0000412	VQY17_RS03295	CIB43_RS00390
OG0000417	VQY17_RS02290	CIB43_RS03185
OG0000428	VQY17_RS00925	CIB43_RS01785
OG0000429	VQY17_RS01045	CIB43_RS01885
OG0000430	VQY17_RS01090	CIB43_RS01925
OG0000434	VQY17_RS01150	CIB43_RS01985
OG0000436	VQY17_RS01195	CIB43_RS02030
OG0000441	VQY17_RS02975	CIB43_RS03910
OG0000451	VQY17_RS00370	CIB43_RS01085
OG0000453	VQY17_RS00430	CIB43_RS01315
OG0000459	VQY17_RS02530	CIB43_RS03460
OG0000463	VQY17_RS02575	CIB43_RS03515
OG0000464	VQY17_RS02570	CIB43_RS03500
OG0000466	VQY17_RS00400	CIB43_RS01115
OG0000468	VQY17_RS02040	CIB43_RS02870
OG0000471	VQY17_RS00930	CIB43_RS01790
OG0000473	VQY17_RS03500	CIB43_RS00580
OG0000474	VQY17_RS03505	CIB43_RS00585
OG0000475	VQY17_RS03510	CIB43_RS00595
OG0000482	VQY17_RS01235	CIB43_RS02080
OG0000485	VQY17_RS01205	CIB43_RS02035
OG0000486	VQY17_RS02310	CIB43_RS03205
OG0000487	VQY17_RS02080	CIB43_RS02915
OG0000488	VQY17_RS02120	CIB43_RS02940
OG0000489	VQY17_RS00050	CIB43_RS00750
OG0000491	VQY17_RS01365	CIB43_RS02220
OG0000492	VQY17_RS01445	CIB43_RS02290
OG0000495	VQY17_RS02815	CIB43_RS03750
OG0000502	VQY17_RS01225	CIB43_RS02070
OG0000504	VQY17_RS00905	CIB43_RS01770
OG0000506	VQY17_RS00975	CIB43_RS01810
OG0000508	VQY17_RS00255	CIB43_RS00980
OG0000517	VQY17_RS00065	CIB43_RS00765
OG0000519	VQY17_RS00790	CIB43_RS01660
OG0000520	VQY17_RS00920	CIB43_RS01780
OG0000523	VQY17_RS03360	CIB43_RS00445
OG0000526	VQY17_RS01905	CIB43_RS02720
OG0000527	VQY17_RS01825	CIB43_RS02640
OG0000529	VQY17_RS02245	CIB43_RS03135
OG0000530	VQY17_RS02350	CIB43_RS03250
OG0000531	VQY17_RS01420	CIB43_RS02265
OG0000537	VQY17_RS00725	CIB43_RS01595
OG0000538	VQY17_RS01160	CIB43_RS01990
OG0000543	VQY17_RS01600	CIB43_RS01215
OG0000544	VQY17_RS01275	CIB43_RS02125
OG0000545	VQY17_RS01895	CIB43_RS02715
OG0000546	VQY17_RS02765	CIB43_RS03705
OG0000553	VQY17_RS02675	CIB43_RS03610
OG0000554	VQY17_RS02395	CIB43_RS03295
OG0000557	VQY17_RS01285	CIB43_RS02130
OG0000558	VQY17_RS01255	CIB43_RS02100
OG0000559	VQY17_RS01745	CIB43_RS02575
OG0000560	VQY17_RS01880	CIB43_RS02680
OG0000561	VQY17_RS01140	CIB43_RS01980
OG0000562	VQY17_RS01885	CIB43_RS02685
OG0000563	VQY17_RS01870	CIB43_RS02670
OG0000564	VQY17_RS01305	CIB43_RS02155
OG0000565	VQY17_RS01945	CIB43_RS02760
OG0000566	VQY17_RS01925	CIB43_RS02740
OG0000568	VQY17_RS00685	CIB43_RS01555
OG0000569	VQY17_RS01260	CIB43_RS02105
OG0000570	VQY17_RS01265	CIB43_RS02110
OG0000571	VQY17_RS01270	CIB43_RS02115
OG0000572	VQY17_RS01290	CIB43_RS02135
OG0000573	VQY17_RS01740	CIB43_RS02570
OG0000574	VQY17_RS01325	CIB43_RS02175
OG0000575	VQY17_RS01245	CIB43_RS02090
OG0000576	VQY17_RS01690	CIB43_RS02530
OG0000577	VQY17_RS02650	CIB43_RS03580
OG0000579	VQY17_RS01845	CIB43_RS02660
OG0000580	VQY17_RS02770	CIB43_RS03710
OG0000581	VQY17_RS01830	CIB43_RS02645
OG0000585	VQY17_RS02215	CIB43_RS03105
OG0000588	VQY17_RS01680	CIB43_RS02525
OG0000592	VQY17_RS02640	CIB43_RS03570
OG0000594	VQY17_RS01250	CIB43_RS02095
OG0000601	VQY17_RS01875	CIB43_RS02675
OG0000606	VQY17_RS01840	CIB43_RS02655
OG0000608	VQY17_RS01890	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	VQY17_RS01915	CIB43_RS02730
OG0000613	VQY17_RS01965	CIB43_RS02785
