HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N3.HOG0000010	OG0000002	n42									WP_011206279.1	WP_233417349.1	WP_228365388.1	WP_011206279.1	WP_020835777.1	WP_228366099.1	WP_258556557.1	WP_240536602.1	WP_240536333.1	WP_225972984.1	WP_237697206.1	WP_233688454.1	WP_258556709.1	WP_258555933.1	WP_258555710.1	WP_258555342.1	WP_258555582.1	WP_258555454.1	WP_258555342.1	WP_280996675.1	WP_258555342.1	WP_011206279.1		WP_252862184.1	WP_243216215.1	WP_243216215.1
N3.HOG0000011	OG0000003	n3																					WP_160601020.1													
N3.HOG0000012	OG0000003	n6														WP_044272432.1	WP_258556573.1		WP_135618783.1					WP_160615776.1					WP_160617502.1							
N3.HOG0000013	OG0000003	n12												WP_011206165.1														WP_160606771.1		WP_160585044.1						
N3.HOG0000014	OG0000003	n17																	WP_240536311.1		WP_044284653.1	WP_233688428.1													WP_243216180.1	WP_308704548.1
N3.HOG0000015	OG0000003	n27									WP_088172539.1	WP_044889040.1		WP_011206262.1	WP_020835762.1	WP_052269173.1		WP_240536594.1	WP_318026010.1	WP_225972977.1		WP_233688440.1	WP_258556712.1	WP_225972977.1	WP_258555731.1					WP_258555731.1		WP_129640577.1			WP_052269173.1	
N3.HOG0000016	OG0000003	n41													WP_041361655.1	WP_044272483.1	WP_308705287.1	WP_218833871.1						WP_258555974.1		WP_308507011.1		WP_258555508.1			WP_160588362.1					
N3.HOG0000017	OG0000003	n49									WP_206600680.1	WP_044889037.1		WP_011206233.1			WP_258556549.1	WP_094521686.1	WP_094521686.1	WP_225973037.1	WP_044284650.1	WP_094521686.1		WP_160615939.1						WP_094521686.1					WP_094521686.1	WP_094521686.1
N3.HOG0000018	OG0000003	n61									WP_088172555.1	WP_016340207.1						WP_157696714.1							WP_160590228.1		WP_258555591.1				WP_160588195.1	WP_088172555.1				WP_243234964.1
N3.HOG0000019	OG0000004	n2														WP_148174328.1										WP_220191209.1										
N3.HOG0000020	OG0000004	n4													WP_041361617.1								WP_258556713.1						WP_258555379.1		WP_258555379.1					
N3.HOG0000021	OG0000004	n12										WP_014579768.1	WP_014579768.1	WP_011206151.1		WP_044272707.1		WP_240536647.1			WP_237697238.1	WP_233688729.1			WP_258555683.1			WP_258555464.1				WP_011206151.1		WP_252862201.1		
N3.HOG0000022	OG0000004	n28									WP_241499462.1	WP_016340224.1	WP_014579856.1	WP_232039538.1	WP_020835760.1	WP_011290229.1	WP_179696025.1	WP_240536593.1	WP_240536339.1, WP_240536315.1	WP_011290229.1	WP_011284180.1	WP_233688439.1										WP_232039538.1		WP_088764629.1	WP_243216199.1	WP_243216199.1
N3.HOG0000023	OG0000004	n44									WP_241499463.1	WP_233417351.1	WP_014579887.1	WP_011206295.1	WP_228366102.1	WP_228366102.1	WP_258556542.1	WP_225972989.1	WP_240536338.1	WP_225972989.1	WP_237697210.1	WP_233688470.1	WP_258556714.1	WP_258555965.1	WP_160590314.1	WP_308507018.1	WP_258555633.1	WP_308704614.1	WP_308507071.1	WP_280996809.1	WP_308507071.1	WP_011206295.1		WP_252862214.1	WP_243216238.1	WP_243216238.1
N3.HOG0000024	OG0000005	n1																										WP_160606939.1	WP_308507068.1							
N3.HOG0000025	OG0000005	n3													WP_020835681.1, WP_318023952.1	WP_081420845.1	WP_308705289.1, WP_308705293.1	WP_179221294.1	WP_334199108.1	WP_146379582.1	WP_323749056.1			WP_334199374.1	WP_308704704.1	WP_160585691.1, WP_160585837.1	WP_308704676.1	WP_160606967.1		WP_308506991.1	WP_334199370.1					
N3.HOG0000026	OG0000005	n28									WP_129640575.1	WP_318023915.1	WP_014579857.1	WP_129640575.1	WP_148174330.1	WP_148174330.1		WP_318036674.1	WP_135618898.1	WP_225973050.1	WP_044284658.1	WP_318035154.1	WP_308704769.1	WP_240532016.1	WP_308704714.1					WP_308506999.1		WP_129640575.1		WP_088764626.1	WP_308705306.1	WP_243234982.1
N3.HOG0000027	OG0000005	n46																				WP_233688764.1	WP_233688764.1	WP_308507040.1											WP_243216097.1	WP_243234990.1
N3.HOG0000028	OG0000005	n58																									WP_160608120.1, WP_160608126.1		WP_160617531.1							
N3.HOG0000029	OG0000005	n60									WP_323749055.1	WP_233417365.1	WP_233417365.1	WP_323749055.1																		WP_323749055.1		WP_252862164.1		
N3.HOG0000030	OG0000006	n1																														WP_232039607.1				
N3.HOG0000031	OG0000006	n11									WP_011206109.1	WP_014579660.1	WP_014579660.1	WP_011206109.1	WP_020835563.1	WP_011290011.1		WP_179221018.1	WP_135618557.1		WP_011283913.1	WP_233688641.1, WP_233688640.1	WP_160601233.1	WP_160615935.1	WP_160590409.1	WP_160585811.1	WP_160608112.1		WP_160587966.1	WP_160584786.1	WP_160587966.1	WP_011206109.1		WP_252862202.1	WP_308705305.1	WP_243234957.1
N3.HOG0000032	OG0000006	n33									WP_088172531.1, WP_088172536.1	WP_014579661.1	WP_014579661.1	WP_011206019.1	WP_020835603.1, WP_041361548.1	WP_011290070.1	WP_179696116.1, WP_179695966.1	WP_179221016.1	WP_135618629.1, WP_135618555.1	WP_146379526.1, WP_146379490.1	WP_011283980.1	WP_233688670.1	WP_220200910.1	WP_160615933.1	WP_160590533.1	WP_220191212.1	WP_160608110.1	WP_160606965.1	WP_160587971.1	WP_160585335.1	WP_160587971.1	WP_129640618.1		WP_088764623.1	WP_243216008.1, WP_243215979.1	WP_308704542.1, WP_243234962.1
N3.HOG0000033	OG0000007	n6																	WP_240536415.1																	
N3.HOG0000034	OG0000007	n9																		WP_225973044.1																
N3.HOG0000035	OG0000007	n17																					WP_160601277.1, WP_160601261.1													
N3.HOG0000036	OG0000007	n18																									WP_160608104.1									
N3.HOG0000037	OG0000007	n22																				WP_233688769.1														
N3.HOG0000038	OG0000007	n24																WP_240536667.1, WP_240536668.1	WP_135618868.1	WP_225973043.1	WP_202793361.1	WP_233688767.1		WP_160615959.1	WP_160590517.1				WP_308507072.1	WP_160585134.1	WP_308507072.1					
N3.HOG0000039	OG0000007	n35													WP_269076337.1			WP_218833876.1	WP_240536413.1	WP_146379517.1	WP_011284151.1	WP_233688766.1, WP_233688768.1	WP_160601285.1, WP_308704771.1, WP_308704770.1	WP_308507049.1			WP_308704692.1, WP_220200664.1		WP_308507069.1		WP_308507069.1				WP_243216232.1, WP_243216171.1	WP_243216232.1, WP_243234976.1
N3.HOG0000040	OG0000008	n1																							WP_160590525.1, WP_160590535.1											
N3.HOG0000041	OG0000008	n3									WP_011206450.1	WP_014579984.1	WP_014579984.1	WP_011206450.1	WP_020835887.1	WP_020835887.1	WP_014579984.1	WP_179221234.1	WP_135619092.1	WP_020835887.1	WP_014579984.1	WP_233688544.1	WP_160601249.1			WP_160585635.1	WP_160585635.1	WP_160606858.1	WP_020835887.1	WP_160585323.1	WP_020835887.1	WP_011206450.1		WP_252862151.1	WP_233688544.1	WP_243234995.1
N3.HOG0000042	OG0000008	n26										WP_044889045.1				WP_044272630.1	WP_179695902.1		WP_135619088.1	WP_146379729.1	WP_044284713.1		WP_160601251.1							WP_160585331.1						
N3.HOG0000043	OG0000008	n33									WP_088172517.1, WP_088172515.1	WP_014579982.1	WP_014579982.1	WP_011206448.1	WP_020835883.1	WP_020835883.1	WP_179695903.1	WP_179221230.1, WP_179221232.1	WP_135619084.1, WP_014579982.1	WP_020835883.1	WP_044284710.1, WP_044284712.1	WP_233688542.1				WP_160585636.1	WP_135619084.1, WP_160585636.1			WP_160585337.1	WP_160588068.1	WP_011206448.1, WP_088172515.1			WP_243216334.1	WP_243216334.1
N3.HOG0000044	OG0000009	n1											WP_044278014.1																					WP_252862178.1		
N3.HOG0000045	OG0000009	n3									WP_088172546.1	WP_044889042.1, WP_044889041.1	WP_044278015.1	WP_011206281.1	WP_020835779.1	WP_044272522.1	WP_179695973.1	WP_179221153.1, WP_179221152.1	WP_135618932.1, WP_135618930.1	WP_146379651.1	WP_044284667.1, WP_044284666.1	WP_233688461.1	WP_160600719.1, WP_160600717.1	WP_160615971.1, WP_160615732.1, WP_160615730.1	WP_160590323.1, WP_160590450.1	WP_160585703.1, WP_160585704.1, WP_160585779.1	WP_160607995.1, WP_220200632.1	WP_160606823.1, WP_160606721.1	WP_160617508.1, WP_160617517.1	WP_160585151.1, WP_160585085.1	WP_160588297.1, WP_160588329.1	WP_129640581.1		WP_252862179.1, WP_252862177.1, WP_252862176.1, WP_189220795.1	WP_243216222.1, WP_243216220.1	WP_243234987.1, WP_243234986.1
N3.HOG0000046	OG0000010	n9									WP_011206342.1	WP_014579924.1	WP_014579924.1	WP_011206342.1	WP_020835822.1	WP_020835822.1	WP_258556577.1	WP_240536607.1	WP_240536341.1	WP_225972991.1	WP_011206342.1	WP_233688495.1	WP_011206342.1	WP_258555925.1	WP_258555714.1	WP_258555827.1	WP_011206342.1	WP_011206342.1	WP_258555237.1	WP_160585261.1	WP_258555237.1	WP_011206342.1		WP_014579924.1	WP_243216277.1	WP_243234992.1
N3.HOG0000047	OG0000010	n33									WP_232039579.1	WP_228365417.1	WP_228365417.1	WP_232039579.1	WP_020835629.1	WP_228366130.1	WP_258556582.1	WP_240536639.1	WP_237697234.1		WP_237697234.1	WP_233688699.1	WP_258556637.1	WP_258555625.1	WP_020835629.1		WP_258555625.1	WP_232039579.1		WP_280996374.1		WP_232039579.1		WP_228365417.1	WP_243216042.1	WP_243216042.1
N3.HOG0000048	OG0000011	n4											WP_014579958.1	WP_011206416.1		WP_011290357.1	WP_258556528.1					WP_233688521.1				WP_258555870.1	WP_258555634.1			WP_280996812.1, WP_280996811.1, WP_160585347.1					WP_243216351.1	WP_243235003.1
N3.HOG0000049	OG0000011	n17														WP_044272603.1, WP_044272600.1		WP_233688517.1	WP_135619049.1	WP_146379709.1, WP_146379712.1	WP_081430770.1	WP_233688517.1		WP_160615599.1	WP_160590527.1			WP_160606929.1	WP_160617521.1		WP_160588348.1	WP_129640589.1				
N3.HOG0000050	OG0000011	n32									WP_088172513.1	WP_016340245.1		WP_011206411.1							WP_044284697.1											WP_011206411.1				
N3.HOG0000051	OG0000011	n38											WP_014579959.1	WP_011206417.1		WP_044272594.1		WP_240536613.1	WP_135619053.1	WP_146379710.1		WP_233688523.1, WP_233688519.1	WP_258556650.1							WP_160585341.1						
N3.HOG0000052	OG0000012	n3									WP_011206371.1	WP_016340204.1, WP_014579691.1, WP_014580032.1	WP_014579746.1, WP_014579691.1, WP_014580032.1	WP_011206371.1	WP_020835561.1	WP_228366093.1	WP_258556564.1, WP_179695828.1	WP_240536643.1, WP_179221216.1	WP_240536383.1, WP_135618902.1	WP_225973030.1		WP_233688686.1	WP_160601171.1	WP_225973030.1	WP_258555620.1, WP_014579691.1	WP_160585705.1	WP_258555620.1, WP_160607700.1		WP_225973030.1	WP_160584959.1		WP_011206371.1, WP_232039627.1, WP_232039612.1		WP_252862197.1, WP_014579691.1, WP_014580032.1	WP_243216099.1	WP_243216099.1
N3.HOG0000053	OG0000012	n40													WP_041361615.1	WP_041361615.1																				
N3.HOG0000054	OG0000012	n41													WP_135618763.1	WP_135618763.1			WP_135618763.1			WP_135618763.1													WP_135618763.1	WP_135618763.1
N3.HOG0000055	OG0000013	n3									WP_232039545.1	WP_014579886.1	WP_014579886.1			WP_228366101.1		WP_233688469.1		WP_225972988.1	WP_237697209.1	WP_233688469.1	WP_228366101.1	WP_258555632.1	WP_258555632.1	WP_258555864.1	WP_258555632.1	WP_220200726.1	WP_225972988.1	WP_280996645.1	WP_225972988.1	WP_232039545.1		WP_014579886.1	WP_228366101.1	WP_228366101.1
N3.HOG0000056	OG0000013	n23									WP_088172547.1	WP_044278023.1, WP_044278021.1	WP_044278023.1, WP_044278021.1			WP_011290274.1	WP_179695976.1	WP_240536598.1, WP_011284212.1	WP_135618942.1		WP_044284675.1, WP_011284212.1	WP_233688468.1	WP_258556694.1	WP_258555963.1	WP_258555696.1	WP_258555865.1	WP_220200634.1	WP_160606807.1		WP_280996647.1, WP_258555696.1		WP_088172547.1		WP_044278023.1	WP_243216228.1	
N3.HOG0000057	OG0000014	n5									WP_232039548.1	WP_014579925.1	WP_014579925.1	WP_232039548.1	WP_228366104.1	WP_228366104.1	WP_258556578.1		WP_240536342.1	WP_225972992.1	WP_237697212.1		WP_258556621.1		WP_258555715.1		WP_228366104.1	WP_258555386.1	WP_228366104.1	WP_280996770.1	WP_228366104.1	WP_232039548.1		WP_014579925.1	WP_228366104.1	WP_228366104.1
N3.HOG0000058	OG0000014	n25									WP_011205979.1	WP_014579709.1	WP_014579709.1	WP_011205979.1		WP_187145661.1	WP_179696094.1		WP_193325079.1	WP_225973029.1	WP_193325079.1	WP_179696094.1		WP_187145661.1		WP_258555804.1	WP_187145661.1	WP_160606550.1	WP_225973029.1		WP_225973029.1	WP_011205979.1		WP_014579709.1	WP_243216044.1	WP_243216044.1
N3.HOG0000059	OG0000015	n1															WP_308705298.1	WP_240536665.1	WP_240536407.1			WP_233688763.1														
N3.HOG0000060	OG0000015	n5																		WP_225973046.1																
N3.HOG0000061	OG0000015	n8									WP_044284786.1			WP_044284786.1		WP_081420842.1	WP_179696122.1		WP_020835661.1	WP_020835661.1	WP_044284625.1		WP_220200907.1		WP_258555720.1	WP_160585794.1		WP_020835661.1	WP_020835661.1	WP_280996797.1	WP_020835661.1	WP_044284786.1				
N3.HOG0000062	OG0000015	n27											WP_014579778.1																					WP_252862199.1		
N3.HOG0000063	OG0000015	n29										WP_081632347.1				WP_081420841.1	WP_308705291.1	WP_179221292.1		WP_240536496.1		WP_233688762.1				WP_160585294.1			WP_308507066.1	WP_308506997.1	WP_308507101.1			WP_088764614.1		
N3.HOG0000064	OG0000015	n41																						WP_308507036.1	WP_258555721.1											
N3.HOG0000065	OG0000016	n0									WP_088172544.1	WP_016340229.1	WP_014579874.1	WP_011206280.1	WP_020835778.1	WP_044272519.1		WP_240536605.1, WP_240536604.1, WP_240536603.1	WP_240536336.1, WP_240536334.1	WP_225972986.1, WP_225972985.1	WP_011284201.1, WP_237697207.1	WP_233688460.1, WP_233688459.1, WP_233688456.1	WP_160600708.1	WP_160615728.1	WP_308704710.1	WP_160585780.1	WP_258555580.1, WP_258555581.1	WP_308704605.1, WP_308704607.1	WP_160617510.1	WP_160585083.1	WP_160588215.1	WP_129640579.1		WP_252862173.1	WP_243216218.1	WP_243234984.1
N3.HOG0000066	OG0000017	n1									WP_011206449.1	WP_014579983.1	WP_014579983.1	WP_011206449.1	WP_020835886.1	WP_044272631.1	WP_179695901.1		WP_135619090.1	WP_146379730.1	WP_044284714.1	WP_233688543.1	WP_160601253.1					WP_160606856.1	WP_160588344.1	WP_160585325.1	WP_160588344.1	WP_011206449.1		WP_014579983.1	WP_179695901.1	WP_179695901.1
N3.HOG0000067	OG0000017	n20									WP_011206447.1	WP_014579981.1	WP_014579981.1	WP_011206447.1	WP_020835882.1	WP_011290382.1	WP_179695904.1	WP_179221229.1, WP_179221231.1	WP_135619082.1, WP_135619086.1	WP_146379728.1	WP_044284709.1, WP_044284711.1	WP_233688541.1		WP_160615978.1		WP_258555816.1	WP_160607771.1, WP_160607769.1		WP_160588066.1		WP_160588066.1	WP_011206447.1		WP_014579981.1		
N3.HOG0000068	OG0000018	n0									WP_044284805.1	WP_016340243.1	WP_014579952.1	WP_044284805.1	WP_041361801.1	WP_044272729.1	WP_179695917.1	WP_179221198.1	WP_135619032.1	WP_146379699.1	WP_044284695.1	WP_233688512.1	WP_160600794.1	WP_160615609.1	WP_160590420.1	WP_160585626.1	WP_160608086.1	WP_160606883.1	WP_308507064.1	WP_160585225.1	WP_160588323.1	WP_044284805.1		WP_014579952.1	WP_243216302.1	WP_243216302.1
N3.HOG0000069	OG0000019	n2										WP_044889029.1	WP_228365402.1, WP_228365401.1				WP_308705297.1						WP_160601189.1		WP_160590475.1		WP_160607720.1							WP_228365401.1		
N3.HOG0000070	OG0000019	n10									WP_011205862.1			WP_011205862.1	WP_011289943.1	WP_011289943.1		WP_179220983.1	WP_135618454.1	WP_146379451.1	WP_011283841.1	WP_233688597.1		WP_160585747.1		WP_160585747.1			WP_160588334.1	WP_160584836.1	WP_160588334.1	WP_011205862.1			WP_243215926.1	WP_243215926.1
N3.HOG0000071	OG0000019	n26									WP_088172524.1			WP_011205865.1	WP_011289946.1	WP_011289946.1		WP_011289946.1	WP_135618458.1	WP_146379453.1		WP_233688600.1		WP_160615838.1		WP_160585745.1			WP_160588338.1	WP_160584830.1	WP_160588338.1	WP_011205865.1			WP_011289946.1	WP_011289946.1
N3.HOG0000072	OG0000020	n1									WP_011205920.1			WP_011205920.1		WP_011290084.1, WP_011290162.1, WP_011290446.1			WP_135619051.1	WP_146379586.1, WP_146379713.1, WP_146379527.1	WP_011284291.1, WP_011284262.1, WP_011284281.1, WP_011284084.1			WP_160615643.1	WP_160590177.1		WP_160608124.1	WP_160606969.1	WP_160617493.1	WP_160584990.1	WP_160587805.1	WP_011205920.1				
N3.HOG0000073	OG0000020	n23														WP_011290302.1			WP_135618900.1	WP_011284103.1	WP_011284103.1															
N3.HOG0000074	OG0000020	n26										WP_081632345.1, WP_081450695.1, WP_081450698.1	WP_081450695.1, WP_081450696.1, WP_081450698.1			WP_011284103.1	WP_179695970.1	WP_146379492.1		WP_146379492.1	WP_011284197.1	WP_233688671.1	WP_160601281.1											WP_143826173.1	WP_243216349.1	WP_243216349.1
N3.HOG0000075	OG0000021	n2									WP_044284803.1, WP_088172559.1	WP_044889034.1, WP_014580034.1	WP_014580034.1	WP_044284803.1	WP_236607968.1	WP_044272416.1	WP_258556507.1	WP_240536618.1	WP_240536319.1, WP_240536318.1, WP_240536320.1, WP_135618756.1			WP_233688684.1	WP_258556683.1, WP_160601275.1			WP_160585707.1	WP_258555522.1			WP_280996561.1		WP_197724688.1, WP_232039593.1, WP_232039511.1		WP_252862195.1, WP_088764608.1		
N3.HOG0000076	OG0000021	n33										WP_014579684.1	WP_014579684.1		WP_020835556.1	WP_020835556.1																		WP_014579684.1	WP_020835556.1	WP_020835556.1
N3.HOG0000077	OG0000022	n0									WP_232039541.1	WP_228365386.1, WP_228365387.1	WP_228365386.1, WP_228365387.1	WP_011206278.1	WP_236607951.1	WP_081420852.1	WP_258556556.1	WP_240536601.1	WP_240536332.1	WP_225972983.1	WP_237697205.1, WP_167513697.1	WP_233688453.1	WP_258556708.1, WP_258556707.1	WP_258555932.1	WP_258555711.1	WP_258555833.1	WP_258555583.1	WP_160606723.1	WP_258555344.1, WP_258555885.1	WP_280996671.1, WP_280996673.1	WP_258555344.1, WP_258555343.1	WP_232039541.1		WP_228365386.1, WP_228365387.1	WP_243216212.1	WP_243216212.1
N3.HOG0000078	OG0000023	n0									WP_011206462.1	WP_014579993.1	WP_014579993.1	WP_011206462.1	WP_020835895.1	WP_044272644.1	WP_179695895.1	WP_179221240.1	WP_135619110.1	WP_146379737.1	WP_044284720.1	WP_233688550.1	WP_160601121.1		WP_160590346.1	WP_160585830.1	WP_160607971.1	WP_160606805.1	WP_160588136.1	WP_160585223.1	WP_160588136.1	WP_011206462.1		WP_088764609.1	WP_044272644.1	WP_044272644.1
N3.HOG0000079	OG0000024	n1										WP_014579653.1	WP_014579653.1	WP_011206100.1	WP_041361566.1	WP_011290018.1	WP_011206100.1		WP_011206100.1, WP_135618648.1		WP_011206100.1		WP_160600866.1	WP_160584690.1		WP_160584690.1				WP_160584690.1		WP_011206100.1		WP_252862193.1	WP_011206100.1	WP_011206100.1
N3.HOG0000080	OG0000024	n17									WP_088172535.1	WP_233417360.1, WP_233417359.1	WP_228365411.1	WP_011206098.1	WP_011290021.1	WP_011290021.1	WP_179695839.1	WP_179221024.1	WP_135618567.1	WP_146379497.1	WP_011283921.1	WP_179221024.1	WP_094521581.1			WP_160585618.1		WP_011290021.1	WP_011290021.1	WP_160584797.1	WP_011290021.1	WP_011206098.1		WP_016340194.1	WP_243215989.1	WP_243215989.1
N3.HOG0000081	OG0000025	n0									WP_011206147.1	WP_228365422.1	WP_228365422.1	WP_011206147.1	WP_020835667.1	WP_020835667.1	WP_225973032.1	WP_240536645.1	WP_135618740.1	WP_225973032.1	WP_225973032.1	WP_020835667.1	WP_258555619.1	WP_258555923.1	WP_258555619.1	WP_160585827.1	WP_258555619.1	WP_160606615.1	WP_225973032.1	WP_160585319.1	WP_225973032.1	WP_011206147.1		WP_014579772.1	WP_243216072.1, WP_243216073.1	WP_243216072.1, WP_243216073.1
N3.HOG0000082	OG0000026	n0									WP_011206286.1	WP_016340231.1	WP_014579879.1	WP_011206286.1	WP_020835784.1	WP_044272534.1	WP_179695974.1	WP_179221157.1	WP_135618938.1	WP_146379653.1	WP_044284672.1	WP_233688465.1	WP_160600723.1	WP_160615890.1	WP_160590319.1	WP_160585700.1	WP_160607999.1	WP_160606815.1	WP_160588301.1	WP_160585157.1	WP_160588301.1	WP_232039639.1, WP_232039637.1, WP_232039631.1, WP_232039629.1, WP_232039635.1, WP_011206286.1		WP_014579879.1	WP_044272534.1	WP_243234988.1
N3.HOG0000083	OG0000027	n5										WP_233417354.1		WP_011206410.1							WP_237697214.1											WP_011206410.1				
N3.HOG0000084	OG0000027	n10												WP_011206415.1																		WP_011206415.1				
N3.HOG0000085	OG0000027	n12																	WP_240536350.1					WP_220191266.1				WP_220200743.1, WP_220200742.1								
N3.HOG0000086	OG0000027	n21														WP_228366110.1		WP_240536612.1		WP_225972999.1, WP_225973000.1		WP_233688518.1, WP_233688520.1														
N3.HOG0000087	OG0000027	n26														WP_228366111.1						WP_233688522.1														
N3.HOG0000088	OG0000027	n27									WP_241499456.1							WP_240536611.1	WP_240536349.1	WP_225972998.1		WP_233688516.1	WP_220200858.1		WP_160590529.1						WP_220191127.1					
N3.HOG0000089	OG0000028	n0									WP_011206173.1, WP_011206127.1	WP_014579781.1, WP_014579585.1, WP_014579767.1	WP_014579781.1, WP_014579585.1, WP_014579767.1	WP_011206173.1, WP_011206127.1	WP_041361759.1	WP_041361759.1	WP_179696103.1, WP_179696077.1, WP_160590103.1	WP_179221009.1	WP_135619178.1, WP_135618797.1		WP_044284635.1, WP_014579585.1	WP_014579781.1	WP_014579585.1	WP_160615961.1	WP_160590103.1	WP_044284635.1	WP_160607936.1, WP_160608102.1	WP_160606951.1	WP_044284635.1	WP_044284635.1	WP_044284635.1	WP_011206173.1, WP_011206127.1		WP_088764585.1	WP_014579781.1, WP_014579585.1	WP_014579781.1, WP_014579585.1
