HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N30.HOG0000042	OG0000022	n9									WP_232039541.1																					WP_232039541.1				
N30.HOG0000043	OG0000023	n0									WP_011206462.1																					WP_011206462.1				
N30.HOG0000044	OG0000024	n1																														WP_011206100.1				
N30.HOG0000045	OG0000024	n17									WP_088172535.1																					WP_011206098.1				
N30.HOG0000046	OG0000025	n0									WP_011206147.1																					WP_011206147.1				
N30.HOG0000047	OG0000026	n0									WP_011206286.1																					WP_232039639.1, WP_232039637.1, WP_232039631.1, WP_232039629.1, WP_232039635.1, WP_011206286.1				
N30.HOG0000048	OG0000027	n5																														WP_011206410.1				
N30.HOG0000049	OG0000027	n10																														WP_011206415.1				
N30.HOG0000050	OG0000027	n27									WP_241499456.1																									
N30.HOG0000051	OG0000028	n12									WP_011206173.1																					WP_011206173.1				
N30.HOG0000052	OG0000028	n34									WP_011206127.1																					WP_011206127.1				
N30.HOG0000053	OG0000029	n0									WP_241499465.1																					WP_232039515.1				
N30.HOG0000054	OG0000030	n0									WP_011206324.1																					WP_011206324.1				
N30.HOG0000055	OG0000031	n0									WP_011205867.1																					WP_011205867.1				
N30.HOG0000056	OG0000032	n8									WP_088172556.1																					WP_011206171.1				
N30.HOG0000057	OG0000032	n27									WP_011206130.1																					WP_011206130.1				
N30.HOG0000058	OG0000033	n21																														WP_081430780.1				
N30.HOG0000059	OG0000033	n22									WP_088172558.1, WP_011206179.1																					WP_011206179.1				
N30.HOG0000060	OG0000034	n0									WP_011206291.1																					WP_276315192.1, WP_011206291.1, WP_276315191.1				
N30.HOG0000061	OG0000035	n0									WP_088172554.1																					WP_011206157.1				
N30.HOG0000062	OG0000036	n0									WP_011206290.1																					WP_232039622.1, WP_232039621.1				
N30.HOG0000063	OG0000037	n19									WP_241499458.1																					WP_232039573.1				
N30.HOG0000064	OG0000037	n28									WP_011206364.1																					WP_232039604.1				
N30.HOG0000065	OG0000037	n30																														WP_232039575.1, WP_232039601.1				
N30.HOG0000066	OG0000038	n1																														WP_232039589.1				
N30.HOG0000067	OG0000039	n0									WP_011206214.1																					WP_011206214.1				
N30.HOG0000068	OG0000040	n0									WP_011206223.1																					WP_011206223.1				
N30.HOG0000069	OG0000041	n14									WP_011206517.1																					WP_011206517.1				
N30.HOG0000070	OG0000042	n0									WP_011206514.1																					WP_011206514.1				
N30.HOG0000071	OG0000043	n0									WP_011206511.1																					WP_011206511.1				
N30.HOG0000072	OG0000044	n0									WP_011206167.1																					WP_011206167.1				
N30.HOG0000073	OG0000045	n0									WP_011206245.1																					WP_232039533.1				
N30.HOG0000074	OG0000046	n0									WP_011206103.1																					WP_011206103.1				
N30.HOG0000075	OG0000047	n0									WP_173670097.1																					WP_173670097.1				
N30.HOG0000076	OG0000048	n0									WP_011206374.1																					WP_011206374.1				
N30.HOG0000077	OG0000049	n0									WP_011206373.1																					WP_011206373.1				
N30.HOG0000078	OG0000050	n0									WP_011206292.1																					WP_129640641.1, WP_011206292.1				
N30.HOG0000079	OG0000051	n0									WP_081430781.1																					WP_081430781.1				
N30.HOG0000080	OG0000052	n0									WP_011206284.1																					WP_011206284.1				
N30.HOG0000081	OG0000053	n0									WP_002557698.1																					WP_002557698.1				
N30.HOG0000082	OG0000054	n0									WP_011206420.1																					WP_011206420.1				
N30.HOG0000083	OG0000055	n0									WP_011206429.1																					WP_011206429.1				
N30.HOG0000084	OG0000056	n0									WP_011206460.1																					WP_011206460.1				
N30.HOG0000085	OG0000057	n0									WP_011206089.1																					WP_011206089.1				
N30.HOG0000086	OG0000058	n0									WP_011206059.1																					WP_011206059.1				
N30.HOG0000087	OG0000059	n0									WP_011206057.1																					WP_011206057.1				
N30.HOG0000088	OG0000060	n0									WP_011206046.1																					WP_011206046.1				
N30.HOG0000089	OG0000061	n0									WP_011206035.1																					WP_011206035.1				
N30.HOG0000090	OG0000062	n0									WP_011206012.1																					WP_011206012.1				
N30.HOG0000091	OG0000063	n0									WP_011205871.1																					WP_011205871.1				
N30.HOG0000092	OG0000064	n0									WP_011205872.1																					WP_011205872.1				
N30.HOG0000093	OG0000065	n0									WP_011205908.1																					WP_011205908.1				
N30.HOG0000094	OG0000066	n0									WP_011206132.1																					WP_011206132.1				
N30.HOG0000095	OG0000067	n0									WP_011206493.1																					WP_011206493.1				
N30.HOG0000096	OG0000068	n0									WP_044284849.1																					WP_044284849.1				
N30.HOG0000097	OG0000069	n0									WP_011206296.1																					WP_011206296.1				
N30.HOG0000098	OG0000070	n0									WP_011206305.1																					WP_011206305.1				
N30.HOG0000099	OG0000071	n0									WP_011206354.1																					WP_011206354.1				
N30.HOG0000100	OG0000072	n0									WP_011206471.1																					WP_011206471.1				
N30.HOG0000101	OG0000073	n0									WP_011206314.1																					WP_011206314.1				
N30.HOG0000102	OG0000074	n0									WP_232039550.1																					WP_232039550.1				
N30.HOG0000103	OG0000075	n0									WP_011205981.1																					WP_011205981.1				
N30.HOG0000104	OG0000076	n0									WP_241499460.1																					WP_232039586.1				
N30.HOG0000105	OG0000077	n0									WP_044284770.1																					WP_044284770.1				
N30.HOG0000106	OG0000078	n1									WP_011206477.1																					WP_011206477.1				
N30.HOG0000107	OG0000078	n27									WP_232039557.1																					WP_232039557.1				
N30.HOG0000108	OG0000079	n0									WP_220200502.1																					WP_129640567.1				
N30.HOG0000109	OG0000080	n0									WP_011206215.1																					WP_011206215.1				
N30.HOG0000110	OG0000081	n0									WP_011206216.1																					WP_011206216.1				
N30.HOG0000111	OG0000082	n0									WP_011206219.1																					WP_011206219.1				
N30.HOG0000112	OG0000083	n0									WP_011206221.1																					WP_011206221.1				
N30.HOG0000113	OG0000084	n0									WP_011206222.1																					WP_011206222.1				
N30.HOG0000114	OG0000085	n0									WP_011206224.1																					WP_011206224.1				
N30.HOG0000115	OG0000086	n0									WP_011206225.1																					WP_011206225.1				
N30.HOG0000116	OG0000087	n0									WP_044284794.1																					WP_044284794.1				
N30.HOG0000117	OG0000088	n0									WP_011206228.1																					WP_011206228.1				
N30.HOG0000118	OG0000089	n0									WP_011206229.1																					WP_011206229.1				
N30.HOG0000119	OG0000090	n0									WP_011206231.1																					WP_011206231.1				
N30.HOG0000120	OG0000091	n0									WP_011205854.1																					WP_011205854.1				
N30.HOG0000121	OG0000092	n0									WP_011205853.1																					WP_011205853.1				
N30.HOG0000122	OG0000093	n0									WP_011205851.1																					WP_011205851.1				
N30.HOG0000123	OG0000094	n0									WP_011205850.1																					WP_011205850.1				
N30.HOG0000124	OG0000095	n0									WP_011205849.1																					WP_011205849.1				
N30.HOG0000125	OG0000096	n0									WP_011205848.1																					WP_011205848.1				
N30.HOG0000126	OG0000097	n0									WP_011205847.1																					WP_011205847.1				
N30.HOG0000127	OG0000098	n0									WP_011205846.1																					WP_011205846.1				
N30.HOG0000128	OG0000099	n0									WP_044284766.1																					WP_044284766.1				
N30.HOG0000129	OG0000100	n0									WP_011205842.1																					WP_011205842.1				
N30.HOG0000130	OG0000101	n0									WP_011205841.1																					WP_011205841.1				
N30.HOG0000131	OG0000102	n0									WP_011205840.1																					WP_011205840.1				
N30.HOG0000132	OG0000103	n0									WP_011206529.1																					WP_011206529.1				
N30.HOG0000133	OG0000104	n0									WP_011206526.1																					WP_011206526.1				
N30.HOG0000134	OG0000105	n0									WP_011206525.1																					WP_011206525.1				
N30.HOG0000135	OG0000106	n0									WP_011206524.1																					WP_011206524.1				
N30.HOG0000136	OG0000107	n0									WP_011206523.1																					WP_011206523.1				
N30.HOG0000137	OG0000108	n0									WP_011206522.1																					WP_011206522.1				
N30.HOG0000138	OG0000109	n0									WP_011206521.1																					WP_011206521.1				
N30.HOG0000139	OG0000110	n0									WP_011206518.1																					WP_011206518.1				
N30.HOG0000140	OG0000111	n0									WP_011206510.1																					WP_011206510.1				
N30.HOG0000141	OG0000112	n0									WP_011206162.1																					WP_011206162.1				
N30.HOG0000142	OG0000113	n0									WP_011206163.1																					WP_011206163.1				
N30.HOG0000143	OG0000114	n0									WP_011206164.1																					WP_129640563.1				
N30.HOG0000144	OG0000115	n0									WP_011206238.1																					WP_011206238.1				
N30.HOG0000145	OG0000116	n0									WP_011206239.1																					WP_011206239.1				
N30.HOG0000146	OG0000117	n0									WP_011206240.1																					WP_011206240.1				
N30.HOG0000147	OG0000118	n0									WP_011206242.1																					WP_011206242.1				
N30.HOG0000148	OG0000119	n0									WP_011206243.1																					WP_011206243.1				
N30.HOG0000149	OG0000120	n0									WP_044284796.1																					WP_044284796.1				
N30.HOG0000150	OG0000121	n0									WP_011284169.1																					WP_011284169.1				
N30.HOG0000151	OG0000122	n0									WP_011206247.1																					WP_011206247.1				
N30.HOG0000152	OG0000123	n0									WP_088172542.1																					WP_011206275.1				
N30.HOG0000153	OG0000124	n0									WP_044284798.1																					WP_044284798.1				
N30.HOG0000154	OG0000125	n0									WP_011206273.1																					WP_011206273.1				
N30.HOG0000155	OG0000126	n0									WP_232039539.1																					WP_232039539.1				
N30.HOG0000156	OG0000127	n0									WP_011206271.1																					WP_011206271.1				
N30.HOG0000157	OG0000128	n0									WP_011206268.1																					WP_011206268.1				
N30.HOG0000158	OG0000129	n0									WP_011206266.1																					WP_011206266.1				
N30.HOG0000159	OG0000130	n0									WP_011206264.1																					WP_011206264.1				
N30.HOG0000160	OG0000131	n0									WP_011205977.1																					WP_011205977.1				
N30.HOG0000161	OG0000132	n0									WP_011205976.1																					WP_011205976.1				
N30.HOG0000162	OG0000133	n0									WP_044284776.1																					WP_044284776.1				
N30.HOG0000163	OG0000134	n0									WP_011205972.1																					WP_011205972.1				
N30.HOG0000164	OG0000135	n0									WP_011205971.1																					WP_011205971.1				
N30.HOG0000165	OG0000136	n0									WP_044284775.1																					WP_044284775.1				
N30.HOG0000166	OG0000137	n0									WP_011205967.1																					WP_011205967.1				
N30.HOG0000167	OG0000138	n0									WP_011205966.1																					WP_011205966.1				
N30.HOG0000168	OG0000139	n0									WP_011205965.1																					WP_011205965.1				
N30.HOG0000169	OG0000140	n0									WP_011205964.1																					WP_011205964.1				
N30.HOG0000170	OG0000141	n0									WP_044284614.1																					WP_044284614.1				
N30.HOG0000171	OG0000142	n0									WP_011205959.1																					WP_011205959.1				
N30.HOG0000172	OG0000143	n0									WP_011205958.1																					WP_011205958.1				
N30.HOG0000173	OG0000144	n0									WP_011205956.1																					WP_011205956.1				
N30.HOG0000174	OG0000145	n0									WP_011205954.1																					WP_011205954.1				
N30.HOG0000175	OG0000146	n0									WP_011205953.1																					WP_011205953.1				
N30.HOG0000176	OG0000147	n0									WP_011205952.1																					WP_011205952.1				
N30.HOG0000177	OG0000148	n0									WP_011205950.1																					WP_011205950.1				
N30.HOG0000178	OG0000149	n0									WP_011205949.1																					WP_011205949.1				
N30.HOG0000179	OG0000150	n0									WP_011205948.1																					WP_011205948.1				
N30.HOG0000180	OG0000151	n0									WP_011205946.1																					WP_011205946.1				
N30.HOG0000181	OG0000152	n0									WP_011205945.1																					WP_011205945.1				
N30.HOG0000182	OG0000153	n0									WP_011205944.1																					WP_011205944.1				
N30.HOG0000183	OG0000154	n0									WP_011205943.1																					WP_011205943.1				
N30.HOG0000184	OG0000155	n0									WP_011284046.1																					WP_011284046.1				
N30.HOG0000185	OG0000156	n0									WP_044284819.1																					WP_044284819.1				
N30.HOG0000186	OG0000157	n0									WP_011205941.1																					WP_011205941.1				
N30.HOG0000187	OG0000158	n0									WP_011205939.1																					WP_011205939.1				
N30.HOG0000188	OG0000159	n0									WP_044284784.1																					WP_044284784.1				
N30.HOG0000189	OG0000160	n0									WP_011206124.1																					WP_129640624.1				
N30.HOG0000190	OG0000161	n0									WP_011206123.1																					WP_011206123.1				
N30.HOG0000191	OG0000162	n0									WP_011206122.1																					WP_011206122.1				
N30.HOG0000192	OG0000163	n0									WP_011206121.1																					WP_011206121.1				
N30.HOG0000193	OG0000164	n0									WP_011206120.1																					WP_011206120.1				
N30.HOG0000194	OG0000165	n0									WP_011206119.1																					WP_011206119.1				
N30.HOG0000195	OG0000166	n0									WP_011206117.1																					WP_011206117.1				
N30.HOG0000196	OG0000167	n0									WP_011206116.1																					WP_011206116.1				
N30.HOG0000197	OG0000168	n0									WP_011206113.1																					WP_011206113.1				
N30.HOG0000198	OG0000169	n0									WP_011206107.1																					WP_011206107.1				
N30.HOG0000199	OG0000170	n0									WP_011206106.1																					WP_011206106.1				
N30.HOG0000200	OG0000171	n0									WP_011206102.1																					WP_011206102.1				
N30.HOG0000201	OG0000172	n0									WP_011206101.1																					WP_011206101.1				
N30.HOG0000202	OG0000173	n0									WP_044284804.1																					WP_044284804.1				
N30.HOG0000203	OG0000174	n0									WP_011206395.1																					WP_011206395.1				
N30.HOG0000204	OG0000175	n0									WP_011206392.1																					WP_011206392.1				
N30.HOG0000205	OG0000176	n0									WP_011206391.1																					WP_011206391.1				
N30.HOG0000206	OG0000177	n0									WP_011206390.1																					WP_011206390.1				
N30.HOG0000207	OG0000178	n0									WP_011206389.1																					WP_011206389.1				
N30.HOG0000208	OG0000179	n0									WP_011206388.1																					WP_011206388.1				
N30.HOG0000209	OG0000180	n0									WP_011206385.1																					WP_011206385.1				
N30.HOG0000210	OG0000181	n0									WP_011206384.1																					WP_011206384.1				
N30.HOG0000211	OG0000182	n0									WP_011206383.1																					WP_011284277.1				
N30.HOG0000212	OG0000183	n0									WP_011206381.1																					WP_011206381.1				
N30.HOG0000213	OG0000184	n0									WP_011206379.1																					WP_011206379.1				
N30.HOG0000214	OG0000185	n0									WP_011206378.1																					WP_011206378.1				
N30.HOG0000215	OG0000186	n0									WP_011206377.1																					WP_011206377.1				
N30.HOG0000216	OG0000187	n0									WP_011206376.1																					WP_011206376.1				
N30.HOG0000217	OG0000188	n0									WP_088172512.1																					WP_011206372.1				
N30.HOG0000218	OG0000189	n0									WP_011206349.1																					WP_011206349.1				
N30.HOG0000219	OG0000190	n0									WP_011206348.1																					WP_011206348.1				
N30.HOG0000220	OG0000191	n0									WP_011206347.1																					WP_011206347.1				
N30.HOG0000221	OG0000192	n0									WP_011206345.1																					WP_011206345.1				
N30.HOG0000222	OG0000193	n0									WP_011206338.1																					WP_011206338.1				
N30.HOG0000223	OG0000194	n0									WP_011206337.1																					WP_011206337.1				
N30.HOG0000224	OG0000195	n0									WP_011206336.1																					WP_011206336.1				
N30.HOG0000225	OG0000196	n0									WP_011206335.1																					WP_011206335.1				
N30.HOG0000226	OG0000197	n0									WP_011206334.1																					WP_011206334.1				
N30.HOG0000227	OG0000198	n0									WP_011206332.1																					WP_011206332.1				
N30.HOG0000228	OG0000199	n0									WP_011206289.1																					WP_011206289.1				
N30.HOG0000229	OG0000200	n0									WP_044284799.1																					WP_044284799.1				
N30.HOG0000230	OG0000201	n0									WP_011206287.1																					WP_011206287.1				
N30.HOG0000231	OG0000202	n0									WP_011206140.1																					WP_011206140.1				
N30.HOG0000232	OG0000203	n0									WP_011206142.1																					WP_011206142.1				
N30.HOG0000233	OG0000204	n0									WP_011206143.1																					WP_011206143.1				
N30.HOG0000234	OG0000205	n0									WP_011206195.1																					WP_011206195.1				
N30.HOG0000235	OG0000206	n0									WP_011206196.1																					WP_011206196.1				
N30.HOG0000236	OG0000207	n0									WP_011206197.1																					WP_011206197.1				
N30.HOG0000237	OG0000208	n0									WP_011206198.1																					WP_011206198.1				
N30.HOG0000238	OG0000209	n0									WP_011206200.1																					WP_011206200.1				
N30.HOG0000239	OG0000210	n0									WP_011206204.1																					WP_011206204.1				
N30.HOG0000240	OG0000211	n0									WP_011206206.1																					WP_011206206.1				
N30.HOG0000241	OG0000212	n0									WP_011206207.1																					WP_011206207.1				
N30.HOG0000242	OG0000213	n0									WP_044284793.1																					WP_044284793.1				
N30.HOG0000243	OG0000214	n0									WP_011206419.1																					WP_011206419.1				
N30.HOG0000244	OG0000215	n0									WP_011206422.1																					WP_011206422.1				
N30.HOG0000245	OG0000216	n0									WP_011206424.1																					WP_011206424.1				
N30.HOG0000246	OG0000217	n0									WP_011206425.1																					WP_011206425.1				
N30.HOG0000247	OG0000218	n0									WP_011206426.1																					WP_011206426.1				
N30.HOG0000248	OG0000219	n0									WP_011206430.1																					WP_011206430.1				
N30.HOG0000249	OG0000220	n0									WP_011206432.1																					WP_011206432.1				
N30.HOG0000250	OG0000221	n0									WP_088172514.1																					WP_088172514.1				
N30.HOG0000251	OG0000222	n0									WP_011206439.1																					WP_011206439.1				
N30.HOG0000252	OG0000223	n0									WP_011206440.1																					WP_011206440.1				
N30.HOG0000253	OG0000224	n0									WP_011206441.1																					WP_011206441.1				
N30.HOG0000254	OG0000225	n0									WP_011206442.1																					WP_011206442.1				
N30.HOG0000255	OG0000226	n0									WP_011206444.1																					WP_011206444.1				
N30.HOG0000256	OG0000227	n0									WP_011206445.1																					WP_011206445.1				
N30.HOG0000257	OG0000228	n0									WP_081430784.1																					WP_081430784.1				
N30.HOG0000258	OG0000229	n0									WP_020835888.1																					WP_020835888.1				
N30.HOG0000259	OG0000230	n0									WP_011206453.1																					WP_011206453.1				
N30.HOG0000260	OG0000231	n0									WP_088172518.1																					WP_088172518.1				
N30.HOG0000261	OG0000232	n0									WP_011206456.1																					WP_011206456.1				
N30.HOG0000262	OG0000233	n0									WP_011206457.1																					WP_011206457.1				
N30.HOG0000263	OG0000234	n0									WP_011206458.1																					WP_011206458.1				
N30.HOG0000264	OG0000235	n0									WP_011206459.1																					WP_011206459.1				
N30.HOG0000265	OG0000236	n0									WP_044284808.1																					WP_232039553.1				
N30.HOG0000266	OG0000237	n0									WP_011206469.1																					WP_011206469.1				
N30.HOG0000267	OG0000238	n0									WP_011206468.1																					WP_011206468.1				
N30.HOG0000268	OG0000239	n0									WP_011206467.1																					WP_011206467.1				
N30.HOG0000269	OG0000240	n0									WP_088172519.1																					WP_088172519.1				
N30.HOG0000270	OG0000241	n0									WP_011206465.1																					WP_011206465.1				
N30.HOG0000271	OG0000242	n0									WP_011206470.1																					WP_011206470.1				
N30.HOG0000272	OG0000243	n0									WP_011205938.1																					WP_011205938.1				
N30.HOG0000273	OG0000244	n0									WP_011205937.1																					WP_011205937.1				
N30.HOG0000274	OG0000245	n0									WP_011205936.1																					WP_011205936.1				
N30.HOG0000275	OG0000246	n0									WP_011205935.1																					WP_011205935.1				
N30.HOG0000276	OG0000247	n0									WP_011205934.1																					WP_011205934.1				
N30.HOG0000277	OG0000248	n0									WP_011205933.1																					WP_011205933.1				
N30.HOG0000278	OG0000249	n0									WP_011205932.1																					WP_011205932.1				
N30.HOG0000279	OG0000250	n0									WP_011206257.1																					WP_011206257.1				
N30.HOG0000280	OG0000251	n0									WP_011206256.1																					WP_011206256.1				
N30.HOG0000281	OG0000252	n0									WP_232039535.1																					WP_232039535.1				
N30.HOG0000282	OG0000253	n0									WP_011206251.1																					WP_011206251.1				
N30.HOG0000283	OG0000254	n0									WP_011205992.1																					WP_011205992.1				
N30.HOG0000284	OG0000255	n0									WP_011283999.1																					WP_011283999.1				
N30.HOG0000285	OG0000256	n0									WP_011205996.1																					WP_129640614.1				
N30.HOG0000286	OG0000257	n0									WP_011206096.1																					WP_011206096.1				
N30.HOG0000287	OG0000258	n0									WP_011206095.1																					WP_011206095.1				
N30.HOG0000288	OG0000259	n0									WP_011206093.1																					WP_011206093.1				
N30.HOG0000289	OG0000260	n0									WP_011206092.1																					WP_011206092.1				
N30.HOG0000290	OG0000261	n0									WP_011206091.1																					WP_011206091.1				
N30.HOG0000291	OG0000262	n0									WP_011206090.1																					WP_011206090.1				
N30.HOG0000292	OG0000263	n0									WP_011206087.1																					WP_011206087.1				
N30.HOG0000293	OG0000264	n0									WP_011206086.1																					WP_011206086.1				
N30.HOG0000294	OG0000265	n0									WP_011206085.1																					WP_011206085.1				
N30.HOG0000295	OG0000266	n0									WP_011206084.1																					WP_129640622.1				
N30.HOG0000296	OG0000267	n0									WP_011206083.1																					WP_011206083.1				
N30.HOG0000297	OG0000268	n0									WP_044284824.1																					WP_011283934.1				
N30.HOG0000298	OG0000269	n0									WP_011206080.1																					WP_011206080.1				
N30.HOG0000299	OG0000270	n0									WP_011206079.1																					WP_011206079.1				
N30.HOG0000300	OG0000271	n0									WP_011206078.1																					WP_011206078.1				
N30.HOG0000301	OG0000272	n0									WP_011206073.1																					WP_011206073.1				
N30.HOG0000302	OG0000273	n0									WP_088172533.1																					WP_011206072.1				
N30.HOG0000303	OG0000274	n0									WP_011206071.1																					WP_011206071.1				
N30.HOG0000304	OG0000275	n0									WP_011206070.1																					WP_011206070.1				
N30.HOG0000305	OG0000276	n0									WP_011206068.1																					WP_011206068.1				
N30.HOG0000306	OG0000277	n0									WP_011206067.1																					WP_011206067.1				
N30.HOG0000307	OG0000278	n0									WP_011206066.1																					WP_011206066.1				
N30.HOG0000308	OG0000279	n0									WP_011206065.1																					WP_011206065.1				
N30.HOG0000309	OG0000280	n0									WP_011206064.1																					WP_011206064.1				
N30.HOG0000310	OG0000281	n0									WP_011206063.1																					WP_011206063.1				
N30.HOG0000311	OG0000282	n0									WP_011206062.1																					WP_011206062.1				
N30.HOG0000312	OG0000283	n0									WP_011206061.1																					WP_011206061.1				
N30.HOG0000313	OG0000284	n0									WP_011206054.1																					WP_011206054.1				
N30.HOG0000314	OG0000285	n0									WP_011206052.1																					WP_011206052.1				
N30.HOG0000315	OG0000286	n0									WP_011206050.1																					WP_011206050.1				
N30.HOG0000316	OG0000287	n0									WP_011206049.1																					WP_011206049.1				
N30.HOG0000317	OG0000288	n0									WP_011206048.1																					WP_011206048.1				
N30.HOG0000318	OG0000289	n0									WP_011283963.1																					WP_011283963.1				
N30.HOG0000319	OG0000290	n0									WP_011206047.1																					WP_011206047.1				
N30.HOG0000320	OG0000291	n0									WP_011206045.1																					WP_011206045.1				
N30.HOG0000321	OG0000292	n0									WP_011206044.1																					WP_011206044.1				
N30.HOG0000322	OG0000293	n0									WP_011206042.1																					WP_011206042.1				
N30.HOG0000323	OG0000294	n0									WP_011206041.1																					WP_011206041.1				
N30.HOG0000324	OG0000295	n0									WP_011206040.1																					WP_011206040.1				
N30.HOG0000325	OG0000296	n0									WP_011206039.1																					WP_011206039.1				
N30.HOG0000326	OG0000297	n0									WP_011206038.1																					WP_011206038.1				
N30.HOG0000327	OG0000298	n0									WP_011206037.1																					WP_011206037.1				
N30.HOG0000328	OG0000299	n0									WP_011206033.1																					WP_011206033.1				
N30.HOG0000329	OG0000300	n0									WP_011206032.1																					WP_011206032.1				
N30.HOG0000330	OG0000301	n0									WP_011206031.1																					WP_011206031.1				
N30.HOG0000331	OG0000302	n0									WP_011206030.1																					WP_011206030.1				
N30.HOG0000332	OG0000303	n0									WP_011206028.1																					WP_011206028.1				
N30.HOG0000333	OG0000304	n0									WP_011206027.1																					WP_011206027.1				
N30.HOG0000334	OG0000305	n0									WP_011206026.1																					WP_011206026.1				
N30.HOG0000335	OG0000306	n0									WP_011206025.1																					WP_011206025.1				
N30.HOG0000336	OG0000307	n0									WP_011206024.1																					WP_011206024.1				
N30.HOG0000337	OG0000308	n0									WP_014579601.1																					WP_014579601.1				
