Orthogroup	MHP_168L_genes	MFC_MF11_genes
OG0000225	MHP168L_RS00635	DR093_RS01640
OG0000226	MHP168L_RS00630	DR093_RS01645
OG0000227	MHP168L_RS00625	DR093_RS01650
OG0000228	MHP168L_RS04125	DR093_RS04160
OG0000229	MHP168L_RS00615	DR093_RS01660
OG0000230	MHP168L_RS00610	DR093_RS01665
OG0000231	MHP168L_RS00600	DR093_RS01675
OG0000232	MHP168L_RS00590	DR093_RS01685
OG0000233	MHP168L_RS01075	DR093_RS01695
OG0000234	MHP168L_RS01110	DR093_RS01725
OG0000235	MHP168L_RS01120	DR093_RS01735
OG0000236	MHP168L_RS01125	DR093_RS01740
OG0000237	MHP168L_RS01130	DR093_RS01755
OG0000238	MHP168L_RS01140	DR093_RS01760
OG0000239	MHP168L_RS02975	DR093_RS01790
OG0000240	MHP168L_RS02980	DR093_RS01795
OG0000241	MHP168L_RS02990	DR093_RS01805
OG0000242	MHP168L_RS02995	DR093_RS01810
OG0000243	MHP168L_RS03000	DR093_RS01815
OG0000244	MHP168L_RS03010	DR093_RS01825
OG0000245	MHP168L_RS03020	DR093_RS01835
OG0000246	MHP168L_RS00120	DR093_RS00145
OG0000247	MHP168L_RS00130	DR093_RS00155
OG0000248	MHP168L_RS00140	DR093_RS00180
OG0000249	MHP168L_RS00145	DR093_RS00185
OG0000250	MHP168L_RS00160	DR093_RS00200
OG0000251	MHP168L_RS00185	DR093_RS00230
OG0000252	MHP168L_RS00195	DR093_RS00240
OG0000253	MHP168L_RS00200	DR093_RS00245
OG0000254	MHP168L_RS00210	DR093_RS00255
OG0000255	MHP168L_RS00220	DR093_RS00260
OG0000256	MHP168L_RS00225	DR093_RS00265
OG0000257	MHP168L_RS00250	DR093_RS00290
OG0000258	MHP168L_RS00260	DR093_RS00300
OG0000259	MHP168L_RS00290	DR093_RS00330
OG0000260	MHP168L_RS00300	DR093_RS00340
OG0000261	MHP168L_RS00310	DR093_RS03790
OG0000262	MHP168L_RS00325	DR093_RS00365
OG0000263	MHP168L_RS00340	DR093_RS00380
OG0000264	MHP168L_RS00355	DR093_RS00395
OG0000265	MHP168L_RS00365	DR093_RS00405
OG0000266	MHP168L_RS00380	DR093_RS00420
OG0000267	MHP168L_RS00395	DR093_RS00435
OG0000268	MHP168L_RS00400	DR093_RS00440
OG0000269	MHP168L_RS00415	DR093_RS00455
OG0000270	MHP168L_RS03475	DR093_RS03855
OG0000271	MHP168L_RS03470	DR093_RS01280
OG0000272	MHP168L_RS03465	DR093_RS01285
OG0000273	MHP168L_RS03460	DR093_RS01290
OG0000274	MHP168L_RS03440	DR093_RS01310
OG0000275	MHP168L_RS03435	DR093_RS03860
OG0000276	MHP168L_RS03430	DR093_RS01320
OG0000277	MHP168L_RS03420	DR093_RS03865
OG0000278	MHP168L_RS03415	DR093_RS01335
OG0000279	MHP168L_RS03405	DR093_RS01345
OG0000280	MHP168L_RS03400	DR093_RS01350
OG0000281	MHP168L_RS03780	DR093_RS01355
OG0000282	MHP168L_RS03375	DR093_RS01380
OG0000283	MHP168L_RS03370	DR093_RS01385
OG0000284	MHP168L_RS03365	DR093_RS01390
OG0000285	MHP168L_RS03360	DR093_RS03880
OG0000286	MHP168L_RS02450	DR093_RS01105
OG0000287	MHP168L_RS02550	DR093_RS01080
OG0000288	MHP168L_RS02560	DR093_RS01070
OG0000289	MHP168L_RS02565	DR093_RS01065
OG0000290	MHP168L_RS02675	DR093_RS03410
OG0000291	MHP168L_RS02665	DR093_RS00965
OG0000292	MHP168L_RS02660	DR093_RS00970
OG0000293	MHP168L_RS02655	DR093_RS00975
OG0000294	MHP168L_RS02645	DR093_RS00985
OG0000295	MHP168L_RS02640	DR093_RS00990
OG0000296	MHP168L_RS02600	DR093_RS01030
OG0000297	MHP168L_RS02595	DR093_RS01035
OG0000298	MHP168L_RS00155	DR093_RS00195
OG0000299	MHP168L_RS03690	DR093_RS00215
OG0000300	MHP168L_RS00350	DR093_RS00390
OG0000301	MHP168L_RS00385	DR093_RS00425
OG0000302	MHP168L_RS00390	DR093_RS00430
OG0000303	MHP168L_RS00545	DR093_RS00565
OG0000304	MHP168L_RS00585	DR093_RS00600
OG0000305	MHP168L_RS02910	DR093_RS00730
OG0000306	MHP168L_RS02835	DR093_RS00815
OG0000307	MHP168L_RS02800	DR093_RS00860
OG0000308	MHP168L_RS02700	DR093_RS00945
OG0000309	MHP168L_RS02630	DR093_RS01000
OG0000310	MHP168L_RS02555	DR093_RS01075
OG0000311	MHP168L_RS02510	DR093_RS01125
OG0000312	MHP168L_RS02495	DR093_RS01145
OG0000313	MHP168L_RS01835	DR093_RS02690
OG0000314	MHP168L_RS02045	DR093_RS02975
OG0000315	MHP168L_RS02075	DR093_RS02900
OG0000316	MHP168L_RS02085	DR093_RS02910
OG0000317	MHP168L_RS02225	DR093_RS02750
OG0000318	MHP168L_RS02090	DR093_RS04040
OG0000319	MHP168L_RS02160	DR093_RS01870
OG0000320	MHP168L_RS02385	DR093_RS01935
OG0000321	MHP168L_RS01425	DR093_RS02000
OG0000322	MHP168L_RS01470	DR093_RS02045
OG0000323	MHP168L_RS01600	DR093_RS02175
OG0000324	MHP168L_RS02290	DR093_RS02550
OG0000325	MHP168L_RS00960	DR093_RS02510
OG0000326	MHP168L_RS00870	DR093_RS02415
OG0000327	MHP168L_RS00865	DR093_RS02410
OG0000328	MHP168L_RS00780	DR093_RS01500
OG0000329	MHP168L_RS00755	DR093_RS01520
OG0000330	MHP168L_RS01085	DR093_RS01705
OG0000331	MHP168L_RS03005	DR093_RS01820
OG0000332	MHP168L_RS03110	DR093_RS02250
OG0000333	MHP168L_RS03120	DR093_RS02260
OG0000334	MHP168L_RS03220	DR093_RS02325
OG0000335	MHP168L_RS03230	DR093_RS03970
OG0000336	MHP168L_RS03390	DR093_RS03875
OG0000337	MHP168L_RS03620	DR093_RS00015
OG0000338	MHP168L_RS03660	DR093_RS00055
OG0000339	MHP168L_RS02355	DR093_RS01955
OG0000340	MHP168L_RS01400	DR093_RS01980
OG0000341	MHP168L_RS02310	DR093_RS02570
OG0000342	MHP168L_RS00930	DR093_RS02480
OG0000343	MHP168L_RS03130	DR093_RS02270
OG0000344	MHP168L_RS00560	DR093_RS00580
OG0000345	MHP168L_RS00640	DR093_RS01635
OG0000346	MHP168L_RS03395	DR093_RS03870
OG0000347	MHP168L_RS01495	DR093_RS02070
OG0000348	MHP168L_RS00860	DR093_RS03985
OG0000349	MHP168L_RS03450	DR093_RS01300
OG0000350	MHP168L_RS02790	DR093_RS00820
OG0000351	MHP168L_RS00475	DR093_RS00515
OG0000352	MHP168L_RS02025	DR093_RS02990
OG0000353	MHP168L_RS01465	DR093_RS02040
OG0000354	MHP168L_RS01015	DR093_RS00630
OG0000355	MHP168L_RS01995	DR093_RS04005
OG0000356	MHP168L_RS02080	DR093_RS04035
OG0000357	MHP168L_RS03090	DR093_RS03955
OG0000358	MHP168L_RS03095	DR093_RS02235
OG0000359	MHP168L_RS00890	DR093_RS03990
OG0000360	MHP168L_RS00255	DR093_RS00295
OG0000361	MHP168L_RS00285	DR093_RS00325
OG0000362	MHP168L_RS02575	DR093_RS01055
OG0000363	MHP168L_RS03960	DR093_RS02110
OG0000365	MHP168L_RS02280	DR093_RS04055
OG0000366	MHP168L_RS02255	DR093_RS02780
OG0000367	MHP168L_RS02245	DR093_RS02770
OG0000368	MHP168L_RS00060	DR093_RS00120
OG0000370	MHP168L_RS00020	DR093_RS04150
OG0000371	MHP168L_RS00015	DR093_RS00075
OG0000372	MHP168L_RS00010	DR093_RS00070
OG0000373	MHP168L_RS03650	DR093_RS00045
OG0000374	MHP168L_RS03640	DR093_RS00035
OG0000375	MHP168L_RS02165	DR093_RS01865
OG0000376	MHP168L_RS02400	DR093_RS01920
OG0000377	MHP168L_RS02390	DR093_RS01930
OG0000378	MHP168L_RS01380	DR093_RS01965
OG0000379	MHP168L_RS01460	DR093_RS02035
OG0000380	MHP168L_RS01485	DR093_RS02060
OG0000381	MHP168L_RS01525	DR093_RS02100
OG0000382	MHP168L_RS01555	DR093_RS02130
OG0000383	MHP168L_RS01595	DR093_RS02170
OG0000384	MHP168L_RS00500	DR093_RS00520
OG0000385	MHP168L_RS00505	DR093_RS00525
OG0000386	MHP168L_RS00525	DR093_RS00545
OG0000387	MHP168L_RS00550	DR093_RS00570
OG0000388	MHP168L_RS00555	DR093_RS03800
OG0000389	MHP168L_RS01035	DR093_RS00610
OG0000390	MHP168L_RS02930	DR093_RS00710
OG0000391	MHP168L_RS02920	DR093_RS00720
OG0000392	MHP168L_RS02895	DR093_RS00745
OG0000393	MHP168L_RS02840	DR093_RS00800
OG0000394	MHP168L_RS02765	DR093_RS00875
OG0000395	MHP168L_RS02760	DR093_RS00880
OG0000396	MHP168L_RS02455	DR093_RS02700
OG0000397	MHP168L_RS02010	DR093_RS02655
OG0000398	MHP168L_RS02015	DR093_RS02650
OG0000399	MHP168L_RS02060	DR093_RS02885
OG0000400	MHP168L_RS03055	DR093_RS02195
OG0000401	MHP168L_RS03115	DR093_RS02255
OG0000402	MHP168L_RS03125	DR093_RS02265
OG0000403	MHP168L_RS03135	DR093_RS02275
OG0000404	MHP168L_RS03165	DR093_RS03960
OG0000405	MHP168L_RS03180	DR093_RS02310
OG0000406	MHP168L_RS03235	DR093_RS02340
OG0000407	MHP168L_RS03240	DR093_RS03975
OG0000408	MHP168L_RS03245	DR093_RS02350
OG0000409	MHP168L_RS03250	DR093_RS02355
OG0000410	MHP168L_RS03305	DR093_RS02860
OG0000411	MHP168L_RS03295	DR093_RS02870
OG0000412	MHP168L_RS03290	DR093_RS02875
OG0000413	MHP168L_RS01610	DR093_RS04170
OG0000414	MHP168L_RS01620	DR093_RS02610
OG0000415	MHP168L_RS01625	DR093_RS02605
OG0000416	MHP168L_RS01635	DR093_RS02595
OG0000417	MHP168L_RS02305	DR093_RS02565
OG0000418	MHP168L_RS02300	DR093_RS02560
OG0000419	MHP168L_RS00950	DR093_RS02500
OG0000420	MHP168L_RS00915	DR093_RS02465
OG0000421	MHP168L_RS00885	DR093_RS02430
OG0000422	MHP168L_RS00875	DR093_RS02420
OG0000423	MHP168L_RS00820	DR093_RS01460
OG0000424	MHP168L_RS00815	DR093_RS01465
OG0000425	MHP168L_RS00805	DR093_RS01475
OG0000426	MHP168L_RS00800	DR093_RS03905
OG0000427	MHP168L_RS00775	DR093_RS03910
OG0000428	MHP168L_RS00745	DR093_RS01530
OG0000429	MHP168L_RS00650	DR093_RS01625
OG0000430	MHP168L_RS00605	DR093_RS01670
OG0000431	MHP168L_RS00595	DR093_RS01680
OG0000432	MHP168L_RS01080	DR093_RS01700
OG0000433	MHP168L_RS01095	DR093_RS01710
OG0000434	MHP168L_RS01100	DR093_RS01715
OG0000435	MHP168L_RS01115	DR093_RS01730
OG0000436	MHP168L_RS01145	DR093_RS01765
OG0000437	MHP168L_RS01155	DR093_RS01775
OG0000438	MHP168L_RS01160	DR093_RS03925
OG0000439	MHP168L_RS01165	DR093_RS01785
OG0000440	MHP168L_RS02985	DR093_RS01800
OG0000441	MHP168L_RS03025	DR093_RS01840
OG0000442	MHP168L_RS00125	DR093_RS00150
OG0000443	MHP168L_RS00170	DR093_RS00210
OG0000444	MHP168L_RS00180	DR093_RS00225
OG0000445	MHP168L_RS00205	DR093_RS00250
OG0000446	MHP168L_RS00235	DR093_RS00275
OG0000447	MHP168L_RS00240	DR093_RS00280
OG0000448	MHP168L_RS00270	DR093_RS00310
OG0000449	MHP168L_RS00295	DR093_RS00335
OG0000450	MHP168L_RS00305	DR093_RS00345
OG0000451	MHP168L_RS00345	DR093_RS00385
OG0000452	MHP168L_RS00370	DR093_RS00410
OG0000453	MHP168L_RS00405	DR093_RS00445
OG0000455	MHP168L_RS03495	DR093_RS03850
OG0000456	MHP168L_RS03380	DR093_RS01375
OG0000457	MHP168L_RS03355	DR093_RS01400
OG0000458	MHP168L_RS02545	DR093_RS01085
OG0000459	MHP168L_RS02570	DR093_RS01060
OG0000460	MHP168L_RS02580	DR093_RS01050
OG0000461	MHP168L_RS02625	DR093_RS01005
OG0000462	MHP168L_RS02620	DR093_RS01010
OG0000463	MHP168L_RS02615	DR093_RS01015
OG0000464	MHP168L_RS02610	DR093_RS01020
OG0000465	MHP168L_RS02605	DR093_RS01025
OG0000466	MHP168L_RS00375	DR093_RS00415
OG0000467	MHP168L_RS02710	DR093_RS03825
OG0000468	MHP168L_RS02055	DR093_RS02985
OG0000469	MHP168L_RS02115	DR093_RS02960
OG0000470	MHP168L_RS03850	DR093_RS01455
OG0000471	MHP168L_RS00740	DR093_RS01535
OG0000472	MHP168L_RS03315	DR093_RS01435
OG0000473	MHP168L_RS03485	DR093_RS01270
OG0000475	MHP168L_RS03490	DR093_RS01260
OG0000476	MHP168L_RS01645	DR093_RS01220
OG0000477	MHP168L_RS02650	DR093_RS00980
OG0000478	MHP168L_RS03425	DR093_RS01325
OG0000479	MHP168L_RS01420	DR093_RS01995
OG0000480	MHP168L_RS03885	DR093_RS03255
OG0000481	MHP168L_RS00850	DR093_RS02395
OG0000482	MHP168L_RS01295	DR093_RS02535
OG0000483	MHP168L_RS02240	DR093_RS02765
OG0000484	MHP168L_RS00175	DR093_RS03785
OG0000485	MHP168L_RS01150	DR093_RS01770
OG0000486	MHP168L_RS02325	DR093_RS02585
OG0000487	MHP168L_RS02095	DR093_RS04045
OG0000488	MHP168L_RS02270	DR093_RS02795
OG0000489	MHP168L_RS00050	DR093_RS00110
OG0000490	MHP168L_RS03655	DR093_RS00050
OG0000491	MHP168L_RS01440	DR093_RS02015
OG0000492	MHP168L_RS01515	DR093_RS02090
OG0000493	MHP168L_RS00565	DR093_RS00585
OG0000495	MHP168L_RS02865	DR093_RS00775
OG0000496	MHP168L_RS02855	DR093_RS00785
OG0000497	MHP168L_RS02850	DR093_RS00790
OG0000498	MHP168L_RS02770	DR093_RS00870
OG0000499	MHP168L_RS02735	DR093_RS00915
OG0000500	MHP168L_RS02020	DR093_RS02645
OG0000501	MHP168L_RS03065	DR093_RS02205
OG0000502	MHP168L_RS01285	DR093_RS02525
OG0000503	MHP168L_RS00905	DR093_RS02450
OG0000505	MHP168L_RS00725	DR093_RS01545
OG0000506	MHP168L_RS00715	DR093_RS01555
OG0000507	MHP168L_RS00685	DR093_RS01590
OG0000508	MHP168L_RS00230	DR093_RS00270
OG0000509	MHP168L_RS00265	DR093_RS00305
OG0000510	MHP168L_RS00275	DR093_RS00315
OG0000511	MHP168L_RS00410	DR093_RS00450
OG0000512	MHP168L_RS02585	DR093_RS01045
OG0000513	MHP168L_RS03410	DR093_RS01340
OG0000514	MHP168L_RS02890	DR093_RS00750
OG0000516	MHP168L_RS02100	DR093_RS02940
OG0000517	MHP168L_RS00065	DR093_RS00125
OG0000518	MHP168L_RS03105	DR093_RS02245
OG0000519	MHP168L_RS00880	DR093_RS02425
OG0000520	MHP168L_RS00750	DR093_RS01525
OG0000521	MHP168L_RS00245	DR093_RS00285
OG0000522	MHP168L_RS00280	DR093_RS00320
OG0000523	MHP168L_RS03350	DR093_RS01405
OG0000524	MHP168L_RS02705	DR093_RS00940
OG0000525	MHP168L_RS03320	DR093_RS03895
OG0000528	MHP168L_RS02105	DR093_RS02950
OG0000529	MHP168L_RS02150	DR093_RS01880
OG0000530	MHP168L_RS02370	DR093_RS01945
OG0000531	MHP168L_RS01490	DR093_RS02065
OG0000533	MHP168L_RS01060	DR093_RS01690
OG0000534	MHP168L_RS00360	DR093_RS00400
OG0000535	MHP168L_RS00045	DR093_RS00105
OG0000536	MHP168L_RS03525	DR093_RS01195
OG0000537	MHP168L_RS00935	DR093_RS02485
OG0000538	MHP168L_RS01105	DR093_RS01720
OG0000539	MHP168L_RS00190	DR093_RS00235
OG0000541	MHP168L_RS02750	DR093_RS00900
OG0000542	MHP168L_RS00330	DR093_RS00370
OG0000547	MHP168L_RS02940	DR093_RS00700
OG0000548	MHP168L_RS01840	DR093_RS02695
OG0000549	MHP168L_RS03310	DR093_RS01440
OG0000550	MHP168L_RS03445	DR093_RS01305
OG0000551	MHP168L_RS03015	DR093_RS01830
OG0000555	MHP168L_RS02945	DR093_RS03360
OG0000596	MHP168L_RS01705	DR093_RS00170
OG0000598	MHP168L_RS01700	DR093_RS00165
OG0000599	MHP168L_RS01695	DR093_RS00160
OG0000602	MHP168L_RS02275	DR093_RS02805
OG0000627	MHP168L_RS03585	DR093_RS01190
