Orthogroup	MHP_168L_genes	MHP_MHP699_genes
OG0000082	MHP168L_RS04020	DR100_RS02290
OG0000083	MHP168L_RS02110	DR100_RS02770
OG0000084	MHP168L_RS02265	DR100_RS02590
OG0000085	MHP168L_RS02260	DR100_RS02585
OG0000086	MHP168L_RS02250	DR100_RS02575
OG0000087	MHP168L_RS02235	DR100_RS02560
OG0000088	MHP168L_RS02230	DR100_RS02555
OG0000089	MHP168L_RS02215	DR100_RS02545
OG0000090	MHP168L_RS00070	DR100_RS01120
OG0000091	MHP168L_RS00055	DR100_RS01135
OG0000092	MHP168L_RS00040	DR100_RS01150
OG0000093	MHP168L_RS00035	DR100_RS01155
OG0000094	MHP168L_RS00030	DR100_RS01160
OG0000095	MHP168L_RS00005	DR100_RS01185
OG0000096	MHP168L_RS03665	DR100_RS01190
OG0000097	MHP168L_RS03645	DR100_RS01210
OG0000098	MHP168L_RS03635	DR100_RS01220
OG0000099	MHP168L_RS03520	DR100_RS03485
OG0000100	MHP168L_RS03505	DR100_RS01280
OG0000101	MHP168L_RS03500	DR100_RS01285
OG0000102	MHP168L_RS01735	DR100_RS02175
OG0000103	MHP168L_RS02175	DR100_RS02990
OG0000104	MHP168L_RS02170	DR100_RS02995
OG0000105	MHP168L_RS02155	DR100_RS03010
OG0000106	MHP168L_RS02145	DR100_RS03020
OG0000107	MHP168L_RS02135	DR100_RS03030
OG0000108	MHP168L_RS02130	DR100_RS03035
OG0000109	MHP168L_RS02125	DR100_RS00005
OG0000110	MHP168L_RS02410	DR100_RS02280
OG0000111	MHP168L_RS02405	DR100_RS02275
OG0000112	MHP168L_RS02395	DR100_RS02265
OG0000113	MHP168L_RS02375	DR100_RS04875
OG0000114	MHP168L_RS02365	DR100_RS03465
OG0000115	MHP168L_RS02350	DR100_RS03475
OG0000116	MHP168L_RS01385	DR100_RS00220
OG0000117	MHP168L_RS01390	DR100_RS00225
OG0000118	MHP168L_RS01430	DR100_RS00260
OG0000119	MHP168L_RS01435	DR100_RS00265
OG0000120	MHP168L_RS01450	DR100_RS00280
OG0000121	MHP168L_RS01475	DR100_RS00305
OG0000122	MHP168L_RS01480	DR100_RS00310
OG0000123	MHP168L_RS01500	DR100_RS00330
OG0000124	MHP168L_RS01505	DR100_RS00335
OG0000125	MHP168L_RS01510	DR100_RS00345
OG0000126	MHP168L_RS01520	DR100_RS02315
OG0000127	MHP168L_RS01530	DR100_RS02325
OG0000128	MHP168L_RS01545	DR100_RS02340
OG0000129	MHP168L_RS01550	DR100_RS02345
OG0000130	MHP168L_RS01560	DR100_RS02355
OG0000131	MHP168L_RS01590	DR100_RS02385
OG0000132	MHP168L_RS01605	DR100_RS04760
OG0000133	MHP168L_RS00515	DR100_RS02665
OG0000134	MHP168L_RS00520	DR100_RS02660
OG0000135	MHP168L_RS00535	DR100_RS02645
OG0000136	MHP168L_RS00540	DR100_RS02640
OG0000137	MHP168L_RS00575	DR100_RS02610
OG0000138	MHP168L_RS01030	DR100_RS00735
OG0000139	MHP168L_RS01005	DR100_RS00765
OG0000140	MHP168L_RS01000	DR100_RS00770
OG0000141	MHP168L_RS02965	DR100_RS01655
OG0000142	MHP168L_RS02960	DR100_RS04720
OG0000143	MHP168L_RS02935	DR100_RS01685
OG0000144	MHP168L_RS02925	DR100_RS01695
OG0000145	MHP168L_RS02915	DR100_RS01705
OG0000146	MHP168L_RS02905	DR100_RS01715
OG0000147	MHP168L_RS02900	DR100_RS01720
OG0000148	MHP168L_RS02885	DR100_RS01735
OG0000149	MHP168L_RS02875	DR100_RS01745
OG0000150	MHP168L_RS02860	DR100_RS01760
OG0000151	MHP168L_RS02815	DR100_RS03315
OG0000152	MHP168L_RS02810	DR100_RS03310
OG0000153	MHP168L_RS02805	DR100_RS03305
OG0000154	MHP168L_RS02795	DR100_RS03295
OG0000155	MHP168L_RS02755	DR100_RS02500
OG0000156	MHP168L_RS02745	DR100_RS02490
OG0000157	MHP168L_RS02740	DR100_RS04790
OG0000158	MHP168L_RS04120	DR100_RS04785
OG0000159	MHP168L_RS04145	DR100_RS02730
OG0000160	MHP168L_RS02485	DR100_RS02725
OG0000161	MHP168L_RS02480	DR100_RS02720
OG0000162	MHP168L_RS02470	DR100_RS02710
OG0000163	MHP168L_RS02465	DR100_RS02705
OG0000164	MHP168L_RS01825	DR100_RS03410
OG0000165	MHP168L_RS02030	DR100_RS01980
OG0000166	MHP168L_RS02050	DR100_RS01960
OG0000167	MHP168L_RS02065	DR100_RS02815
OG0000168	MHP168L_RS02070	DR100_RS02810
OG0000169	MHP168L_RS03045	DR100_RS01460
OG0000170	MHP168L_RS03060	DR100_RS01475
OG0000171	MHP168L_RS03070	DR100_RS01485
OG0000172	MHP168L_RS03075	DR100_RS01490
OG0000173	MHP168L_RS03080	DR100_RS01495
OG0000174	MHP168L_RS03085	DR100_RS01500
OG0000175	MHP168L_RS03100	DR100_RS01515
OG0000176	MHP168L_RS03150	DR100_RS03330
OG0000177	MHP168L_RS03155	DR100_RS03335
OG0000178	MHP168L_RS03160	DR100_RS03340
OG0000179	MHP168L_RS03170	DR100_RS03350
OG0000180	MHP168L_RS03175	DR100_RS03355
OG0000181	MHP168L_RS03215	DR100_RS04825
OG0000182	MHP168L_RS03225	DR100_RS03060
OG0000183	MHP168L_RS03260	DR100_RS03095
OG0000184	MHP168L_RS03300	DR100_RS03180
OG0000185	MHP168L_RS03285	DR100_RS03195
OG0000186	MHP168L_RS01615	DR100_RS04765
OG0000187	MHP168L_RS01630	DR100_RS02425
OG0000188	MHP168L_RS01640	DR100_RS02435
OG0000189	MHP168L_RS02320	DR100_RS04845
OG0000190	MHP168L_RS02315	DR100_RS03230
OG0000191	MHP168L_RS02295	DR100_RS03210
OG0000192	MHP168L_RS01300	DR100_RS00140
OG0000193	MHP168L_RS01290	DR100_RS00125
OG0000194	MHP168L_RS00970	DR100_RS00790
OG0000195	MHP168L_RS00965	DR100_RS00795
OG0000196	MHP168L_RS00945	DR100_RS00815
OG0000197	MHP168L_RS00940	DR100_RS00820
OG0000198	MHP168L_RS00925	DR100_RS00835
OG0000199	MHP168L_RS00920	DR100_RS00840
OG0000200	MHP168L_RS00910	DR100_RS00855
OG0000201	MHP168L_RS00900	DR100_RS00865
OG0000202	MHP168L_RS00845	DR100_RS00920
OG0000203	MHP168L_RS00840	DR100_RS00925
OG0000204	MHP168L_RS00835	DR100_RS00930
OG0000205	MHP168L_RS00830	DR100_RS00935
OG0000206	MHP168L_RS00810	DR100_RS00955
OG0000207	MHP168L_RS00795	DR100_RS00970
OG0000208	MHP168L_RS00790	DR100_RS00975
OG0000209	MHP168L_RS00785	DR100_RS00980
OG0000210	MHP168L_RS00735	DR100_RS01025
OG0000211	MHP168L_RS00720	DR100_RS02965
OG0000212	MHP168L_RS00710	DR100_RS02955
OG0000213	MHP168L_RS03705	DR100_RS02950
OG0000214	MHP168L_RS00705	DR100_RS02945
OG0000215	MHP168L_RS00700	DR100_RS02940
OG0000216	MHP168L_RS00695	DR100_RS02935
OG0000217	MHP168L_RS00690	DR100_RS02930
OG0000218	MHP168L_RS00680	DR100_RS02920
OG0000219	MHP168L_RS00675	DR100_RS02915
OG0000220	MHP168L_RS00670	DR100_RS02910
OG0000221	MHP168L_RS00665	DR100_RS02905
OG0000222	MHP168L_RS00660	DR100_RS02900
OG0000223	MHP168L_RS00655	DR100_RS02895
OG0000224	MHP168L_RS00645	DR100_RS02885
OG0000224	MHP168L_RS00645	DR100_RS03890
OG0000225	MHP168L_RS00635	DR100_RS02875
OG0000226	MHP168L_RS00630	DR100_RS02870
OG0000227	MHP168L_RS00625	DR100_RS02865
OG0000228	MHP168L_RS04125	DR100_RS04935
OG0000229	MHP168L_RS00615	DR100_RS02855
OG0000230	MHP168L_RS00610	DR100_RS02850
OG0000231	MHP168L_RS00600	DR100_RS02840
OG0000232	MHP168L_RS00590	DR100_RS02830
OG0000233	MHP168L_RS01075	DR100_RS00010
OG0000234	MHP168L_RS01110	DR100_RS00045
OG0000235	MHP168L_RS01120	DR100_RS00055
OG0000236	MHP168L_RS01125	DR100_RS00060
OG0000237	MHP168L_RS01130	DR100_RS00065
OG0000238	MHP168L_RS01140	DR100_RS00075
OG0000239	MHP168L_RS02975	DR100_RS03120
OG0000240	MHP168L_RS02980	DR100_RS03125
OG0000241	MHP168L_RS02990	DR100_RS03135
OG0000242	MHP168L_RS02995	DR100_RS03140
OG0000243	MHP168L_RS03000	DR100_RS03145
OG0000244	MHP168L_RS03010	DR100_RS03155
OG0000245	MHP168L_RS03020	DR100_RS03165
OG0000246	MHP168L_RS00120	DR100_RS01055
OG0000247	MHP168L_RS00130	DR100_RS00705
OG0000248	MHP168L_RS00140	DR100_RS00695
OG0000249	MHP168L_RS00145	DR100_RS00690
OG0000250	MHP168L_RS00160	DR100_RS00675
OG0000251	MHP168L_RS00185	DR100_RS00640
OG0000252	MHP168L_RS00195	DR100_RS00630
OG0000253	MHP168L_RS00200	DR100_RS00625
OG0000254	MHP168L_RS00210	DR100_RS00615
OG0000255	MHP168L_RS00220	DR100_RS00605
OG0000256	MHP168L_RS00225	DR100_RS00600
OG0000257	MHP168L_RS00250	DR100_RS00575
OG0000258	MHP168L_RS00260	DR100_RS00565
OG0000259	MHP168L_RS00290	DR100_RS00535
OG0000260	MHP168L_RS00300	DR100_RS00525
OG0000261	MHP168L_RS00310	DR100_RS04575
OG0000262	MHP168L_RS00325	DR100_RS00500
OG0000263	MHP168L_RS00340	DR100_RS00485
OG0000264	MHP168L_RS00355	DR100_RS00470
OG0000265	MHP168L_RS00365	DR100_RS00460
OG0000266	MHP168L_RS00380	DR100_RS00445
OG0000267	MHP168L_RS00395	DR100_RS00430
OG0000268	MHP168L_RS00400	DR100_RS00425
OG0000269	MHP168L_RS00415	DR100_RS00410
OG0000270	MHP168L_RS03475	DR100_RS04660
OG0000271	MHP168L_RS03470	DR100_RS01315
OG0000272	MHP168L_RS03465	DR100_RS01320
OG0000273	MHP168L_RS03460	DR100_RS01325
OG0000274	MHP168L_RS03440	DR100_RS01345
OG0000275	MHP168L_RS03435	DR100_RS04670
OG0000276	MHP168L_RS03430	DR100_RS01355
OG0000277	MHP168L_RS03420	DR100_RS01365
OG0000278	MHP168L_RS03415	DR100_RS01370
OG0000279	MHP168L_RS03405	DR100_RS01380
OG0000280	MHP168L_RS03400	DR100_RS01385
OG0000281	MHP168L_RS03780	DR100_RS01390
OG0000282	MHP168L_RS03375	DR100_RS04680
OG0000283	MHP168L_RS03370	DR100_RS01420
OG0000284	MHP168L_RS03365	DR100_RS01425
OG0000285	MHP168L_RS03360	DR100_RS04685
OG0000286	MHP168L_RS02450	DR100_RS02690
OG0000287	MHP168L_RS02550	DR100_RS01950
OG0000288	MHP168L_RS02560	DR100_RS01940
OG0000289	MHP168L_RS02565	DR100_RS01935
OG0000290	MHP168L_RS02675	DR100_RS01825
OG0000291	MHP168L_RS02665	DR100_RS01835
OG0000292	MHP168L_RS02660	DR100_RS01840
OG0000293	MHP168L_RS02655	DR100_RS01845
OG0000294	MHP168L_RS02645	DR100_RS01855
OG0000295	MHP168L_RS02640	DR100_RS01860
OG0000296	MHP168L_RS02600	DR100_RS01900
OG0000297	MHP168L_RS02595	DR100_RS01905
OG0000298	MHP168L_RS00155	DR100_RS00680
OG0000299	MHP168L_RS03690	DR100_RS00655
OG0000300	MHP168L_RS00350	DR100_RS00475
OG0000301	MHP168L_RS00385	DR100_RS00440
OG0000302	MHP168L_RS00390	DR100_RS00435
OG0000303	MHP168L_RS00545	DR100_RS02635
OG0000304	MHP168L_RS00585	DR100_RS03515
OG0000305	MHP168L_RS02910	DR100_RS01710
OG0000306	MHP168L_RS02835	DR100_RS01785
OG0000307	MHP168L_RS02800	DR100_RS03300
OG0000308	MHP168L_RS02700	DR100_RS01805
OG0000309	MHP168L_RS02630	DR100_RS01870
OG0000310	MHP168L_RS02555	DR100_RS01945
OG0000311	MHP168L_RS02510	DR100_RS02750
OG0000312	MHP168L_RS02495	DR100_RS02735
OG0000313	MHP168L_RS01835	DR100_RS03420
OG0000314	MHP168L_RS02045	DR100_RS01965
OG0000315	MHP168L_RS02075	DR100_RS02805
OG0000316	MHP168L_RS02085	DR100_RS02795
OG0000317	MHP168L_RS02225	DR100_RS02550
OG0000318	MHP168L_RS02090	DR100_RS04815
OG0000319	MHP168L_RS02160	DR100_RS03005
OG0000320	MHP168L_RS02385	DR100_RS02255
OG0000321	MHP168L_RS01425	DR100_RS00255
OG0000322	MHP168L_RS01470	DR100_RS00300
OG0000323	MHP168L_RS01600	DR100_RS02395
OG0000324	MHP168L_RS02290	DR100_RS03205
OG0000325	MHP168L_RS00960	DR100_RS00800
OG0000326	MHP168L_RS00870	DR100_RS00895
OG0000327	MHP168L_RS00865	DR100_RS00900
OG0000328	MHP168L_RS00780	DR100_RS00985
OG0000329	MHP168L_RS00755	DR100_RS01005
OG0000330	MHP168L_RS01085	DR100_RS00020
OG0000331	MHP168L_RS03005	DR100_RS03150
OG0000332	MHP168L_RS03110	DR100_RS01525
OG0000333	MHP168L_RS03120	DR100_RS01535
OG0000334	MHP168L_RS03220	DR100_RS03055
OG0000335	MHP168L_RS03230	DR100_RS03065
OG0000336	MHP168L_RS03390	DR100_RS04675
OG0000337	MHP168L_RS03620	DR100_RS01235
OG0000338	MHP168L_RS03660	DR100_RS01195
OG0000339	MHP168L_RS02355	DR100_RS03470
OG0000340	MHP168L_RS01400	DR100_RS00235
OG0000341	MHP168L_RS02310	DR100_RS03225
OG0000342	MHP168L_RS00930	DR100_RS00830
OG0000343	MHP168L_RS03130	DR100_RS01545
OG0000344	MHP168L_RS00560	DR100_RS02620
OG0000345	MHP168L_RS00640	DR100_RS02880
OG0000346	MHP168L_RS03395	DR100_RS01395
OG0000347	MHP168L_RS01495	DR100_RS00325
OG0000348	MHP168L_RS00860	DR100_RS00905
OG0000349	MHP168L_RS03450	DR100_RS04665
OG0000350	MHP168L_RS02790	DR100_RS03290
OG0000351	MHP168L_RS00475	DR100_RS00350
OG0000352	MHP168L_RS02025	DR100_RS01985
OG0000353	MHP168L_RS01465	DR100_RS00295
OG0000354	MHP168L_RS01015	DR100_RS00750
OG0000355	MHP168L_RS01995	DR100_RS04730
OG0000356	MHP168L_RS02080	DR100_RS04820
OG0000357	MHP168L_RS03090	DR100_RS04705
OG0000358	MHP168L_RS03095	DR100_RS01510
OG0000359	MHP168L_RS00890	DR100_RS04590
OG0000360	MHP168L_RS00255	DR100_RS00570
OG0000361	MHP168L_RS00285	DR100_RS00540
OG0000362	MHP168L_RS02575	DR100_RS01925
OG0000363	MHP168L_RS03960	DR100_RS02330
OG0000364	MHP168L_RS01970	DR100_RS02040
OG0000365	MHP168L_RS02280	DR100_RS04795
OG0000366	MHP168L_RS02255	DR100_RS02580
OG0000367	MHP168L_RS02245	DR100_RS02570
OG0000368	MHP168L_RS00060	DR100_RS01130
OG0000369	MHP168L_RS00025	DR100_RS04640
OG0000370	MHP168L_RS00020	DR100_RS01170
OG0000371	MHP168L_RS00015	DR100_RS01175
OG0000372	MHP168L_RS00010	DR100_RS01180
OG0000373	MHP168L_RS03650	DR100_RS01205
OG0000374	MHP168L_RS03640	DR100_RS01215
OG0000375	MHP168L_RS02165	DR100_RS03000
OG0000376	MHP168L_RS02400	DR100_RS02270
OG0000377	MHP168L_RS02390	DR100_RS02260
OG0000378	MHP168L_RS01380	DR100_RS00215
OG0000379	MHP168L_RS01460	DR100_RS00290
OG0000380	MHP168L_RS01485	DR100_RS00315
OG0000381	MHP168L_RS01525	DR100_RS02320
OG0000382	MHP168L_RS01555	DR100_RS02350
OG0000383	MHP168L_RS01595	DR100_RS02390
OG0000384	MHP168L_RS00500	DR100_RS02680
OG0000385	MHP168L_RS00505	DR100_RS02675
OG0000386	MHP168L_RS00525	DR100_RS02655
OG0000387	MHP168L_RS00550	DR100_RS02630
OG0000388	MHP168L_RS00555	DR100_RS04800
OG0000389	MHP168L_RS01035	DR100_RS00730
OG0000390	MHP168L_RS02930	DR100_RS01690
OG0000391	MHP168L_RS02920	DR100_RS01700
OG0000392	MHP168L_RS02895	DR100_RS01725
OG0000393	MHP168L_RS02840	DR100_RS04725
OG0000394	MHP168L_RS02765	DR100_RS02510
OG0000395	MHP168L_RS02760	DR100_RS02505
OG0000396	MHP168L_RS02455	DR100_RS02695
OG0000397	MHP168L_RS02010	DR100_RS02000
OG0000398	MHP168L_RS02015	DR100_RS01995
OG0000399	MHP168L_RS02060	DR100_RS02820
OG0000400	MHP168L_RS03055	DR100_RS01470
OG0000401	MHP168L_RS03115	DR100_RS01530
OG0000402	MHP168L_RS03125	DR100_RS01540
OG0000403	MHP168L_RS03135	DR100_RS01550
OG0000404	MHP168L_RS03165	DR100_RS03345
OG0000405	MHP168L_RS03180	DR100_RS03365
OG0000406	MHP168L_RS03235	DR100_RS03070
OG0000407	MHP168L_RS03240	DR100_RS04830
OG0000408	MHP168L_RS03245	DR100_RS03080
OG0000409	MHP168L_RS03250	DR100_RS03085
OG0000410	MHP168L_RS03305	DR100_RS03175
OG0000411	MHP168L_RS03295	DR100_RS03185
OG0000412	MHP168L_RS03290	DR100_RS03190
OG0000413	MHP168L_RS01610	DR100_RS02405
OG0000414	MHP168L_RS01620	DR100_RS02415
OG0000415	MHP168L_RS01625	DR100_RS02420
OG0000416	MHP168L_RS01635	DR100_RS02430
OG0000417	MHP168L_RS02305	DR100_RS03220
OG0000418	MHP168L_RS02300	DR100_RS03215
OG0000419	MHP168L_RS00950	DR100_RS00810
OG0000420	MHP168L_RS00915	DR100_RS00845
OG0000421	MHP168L_RS00885	DR100_RS00880
OG0000422	MHP168L_RS00875	DR100_RS00890
OG0000423	MHP168L_RS00820	DR100_RS00945
OG0000424	MHP168L_RS00815	DR100_RS00950
OG0000425	MHP168L_RS00805	DR100_RS00960
OG0000426	MHP168L_RS00800	DR100_RS04595
OG0000427	MHP168L_RS00775	DR100_RS04600
OG0000428	MHP168L_RS00745	DR100_RS01015
OG0000429	MHP168L_RS00650	DR100_RS02890
OG0000430	MHP168L_RS00605	DR100_RS02845
OG0000431	MHP168L_RS00595	DR100_RS02835
OG0000432	MHP168L_RS01080	DR100_RS00015
OG0000433	MHP168L_RS01095	DR100_RS00030
OG0000434	MHP168L_RS01100	DR100_RS00035
OG0000435	MHP168L_RS01115	DR100_RS00050
OG0000436	MHP168L_RS01145	DR100_RS00080
OG0000437	MHP168L_RS01155	DR100_RS00090
OG0000438	MHP168L_RS01160	DR100_RS00095
OG0000439	MHP168L_RS01165	DR100_RS04550
OG0000440	MHP168L_RS02985	DR100_RS03130
OG0000441	MHP168L_RS03025	DR100_RS03170
OG0000442	MHP168L_RS00125	DR100_RS01050
OG0000443	MHP168L_RS00170	DR100_RS00660
OG0000444	MHP168L_RS00180	DR100_RS00645
OG0000445	MHP168L_RS00205	DR100_RS00620
OG0000446	MHP168L_RS00235	DR100_RS00590
OG0000447	MHP168L_RS00240	DR100_RS00585
OG0000448	MHP168L_RS00270	DR100_RS00555
OG0000449	MHP168L_RS00295	DR100_RS00530
OG0000450	MHP168L_RS00305	DR100_RS00520
OG0000451	MHP168L_RS00345	DR100_RS00480
OG0000452	MHP168L_RS00370	DR100_RS00455
OG0000453	MHP168L_RS00405	DR100_RS00420
OG0000454	MHP168L_RS01670	DR100_RS01645
OG0000455	MHP168L_RS03495	DR100_RS01290
OG0000456	MHP168L_RS03380	DR100_RS01410
OG0000457	MHP168L_RS03355	DR100_RS01435
OG0000458	MHP168L_RS02545	DR100_RS01955
OG0000459	MHP168L_RS02570	DR100_RS01930
OG0000460	MHP168L_RS02580	DR100_RS01920
OG0000461	MHP168L_RS02625	DR100_RS01875
OG0000462	MHP168L_RS02620	DR100_RS01880
OG0000463	MHP168L_RS02615	DR100_RS01885
OG0000464	MHP168L_RS02610	DR100_RS01890
OG0000465	MHP168L_RS02605	DR100_RS01895
OG0000466	MHP168L_RS00375	DR100_RS00450
OG0000467	MHP168L_RS02710	DR100_RS04775
OG0000468	MHP168L_RS02055	DR100_RS02825
OG0000469	MHP168L_RS02115	DR100_RS02765
OG0000470	MHP168L_RS03850	DR100_RS03815
OG0000471	MHP168L_RS00740	DR100_RS01020
OG0000472	MHP168L_RS03315	DR100_RS03260
OG0000473	MHP168L_RS03485	DR100_RS01305
OG0000475	MHP168L_RS03490	DR100_RS01295
OG0000476	MHP168L_RS01645	DR100_RS02440
OG0000477	MHP168L_RS02650	DR100_RS01850
OG0000478	MHP168L_RS03425	DR100_RS01360
OG0000479	MHP168L_RS01420	DR100_RS00250
OG0000480	MHP168L_RS03885	DR100_RS03855
OG0000481	MHP168L_RS00850	DR100_RS00915
OG0000482	MHP168L_RS01295	DR100_RS00130
OG0000483	MHP168L_RS02240	DR100_RS02565
OG0000484	MHP168L_RS00175	DR100_RS04580
OG0000485	MHP168L_RS01150	DR100_RS00085
OG0000486	MHP168L_RS02325	DR100_RS03240
OG0000487	MHP168L_RS02095	DR100_RS04810
OG0000488	MHP168L_RS02270	DR100_RS02600
OG0000489	MHP168L_RS00050	DR100_RS01140
OG0000490	MHP168L_RS03655	DR100_RS01200
OG0000491	MHP168L_RS01440	DR100_RS00270
OG0000493	MHP168L_RS00565	DR100_RS02615
OG0000495	MHP168L_RS02865	DR100_RS01755
OG0000496	MHP168L_RS02855	DR100_RS01765
OG0000497	MHP168L_RS02850	DR100_RS01770
OG0000498	MHP168L_RS02770	DR100_RS03270
OG0000499	MHP168L_RS02735	DR100_RS02480
OG0000500	MHP168L_RS02020	DR100_RS01990
OG0000501	MHP168L_RS03065	DR100_RS01480
OG0000502	MHP168L_RS01285	DR100_RS00120
OG0000503	MHP168L_RS00905	DR100_RS00860
OG0000505	MHP168L_RS00725	DR100_RS02970
OG0000506	MHP168L_RS00715	DR100_RS02960
OG0000507	MHP168L_RS00685	DR100_RS02925
OG0000508	MHP168L_RS00230	DR100_RS00595
OG0000509	MHP168L_RS00265	DR100_RS00560
OG0000510	MHP168L_RS00275	DR100_RS00550
OG0000511	MHP168L_RS00410	DR100_RS00415
OG0000512	MHP168L_RS02585	DR100_RS01915
