Orthogroup	MHP_168L_genes	MHP_J_genes
OG0000021	MHP168L_RS00490	MHJ_RS00490
OG0000022	MHP168L_RS01775	MHJ_RS01610
OG0000022	MHP168L_RS01725	MHJ_RS01660
OG0000024	MHP168L_RS02775	MHJ_RS02705
OG0000024	MHP168L_RS03940	MHJ_RS01245
OG0000025	MHP168L_RS01770	MHJ_RS01615
OG0000025	MHP168L_RS01730	MHJ_RS01655
OG0000026	MHP168L_RS01455	MHJ_RS01335
OG0000026	MHP168L_RS01750	MHJ_RS01635
OG0000027	MHP168L_RS03825	MHJ_RS03750
OG0000027	MHP168L_RS03345	MHJ_RS03330
OG0000028	MHP168L_RS02445, MHP168L_RS02440	MHJ_RS02370
OG0000029	MHP168L_RS00580	MHJ_RS01055
OG0000029	MHP168L_RS01050	MHJ_RS00595
OG0000030	MHP168L_RS03325	MHJ_RS03310
OG0000030	MHP168L_RS03340	MHJ_RS03325
OG0000031	MHP168L_RS01830	MHJ_RS01560
OG0000032	MHP168L_RS03335	MHJ_RS03320
OG0000033	MHP168L_RS02435	MHJ_RS03905
OG0000035	MHP168L_RS03200	MHJ_RS03170
OG0000035	MHP168L_RS03185	MHJ_RS03160
OG0000036	MHP168L_RS00110	MHJ_RS00105
OG0000038	MHP168L_RS00480	MHJ_RS00480
OG0000038	MHP168L_RS01855	MHJ_RS01705
OG0000039	MHP168L_RS01815	MHJ_RS01575
OG0000040	MHP168L_RS03275	MHJ_RS03260
OG0000041	MHP168L_RS00985	MHJ_RS00655
OG0000041	MHP168L_RS03925	MHJ_RS01160
OG0000042	MHP168L_RS02970	MHJ_RS02920
OG0000043	MHP168L_RS02005	MHJ_RS01865
OG0000043	MHP168L_RS01210	MHJ_RS01865
OG0000044	MHP168L_RS04140	MHJ_RS04020
OG0000044	MHP168L_RS01900	MHJ_RS01745
OG0000045	MHP168L_RS01810	MHJ_RS01580
OG0000046	MHP168L_RS03280	MHJ_RS03960, MHJ_RS03265
OG0000048	MHP168L_RS02210	MHJ_RS02050
OG0000049	MHP168L_RS03050	MHJ_RS03025
OG0000050	MHP168L_RS02475	MHJ_RS02400
OG0000051	MHP168L_RS04035	MHJ_RS02615
OG0000052	MHP168L_RS00075	MHJ_RS00075
OG0000053	MHP168L_RS01540	MHJ_RS01420
OG0000054	MHP168L_RS02500	MHJ_RS02425
OG0000055	MHP168L_RS00115	MHJ_RS00110
OG0000056	MHP168L_RS03515	MHJ_RS03500
OG0000057	MHP168L_RS02955	MHJ_RS02900
OG0000061	MHP168L_RS01660	MHJ_RS01540
OG0000062	MHP168L_RS03630	MHJ_RS03545
OG0000063	MHP168L_RS03625	MHJ_RS03540
OG0000064	MHP168L_RS03615	MHJ_RS03530
OG0000065	MHP168L_RS04005, MHP168L_RS04000	MHJ_RS02200
OG0000066	MHP168L_RS01445	MHJ_RS01325
OG0000067	MHP168L_RS00510	MHJ_RS00510
OG0000068	MHP168L_RS04135	MHJ_RS00630
OG0000069	MHP168L_RS02845	MHJ_RS02785
OG0000070	MHP168L_RS02505	MHJ_RS02430
OG0000071	MHP168L_RS03265	MHJ_RS03250
OG0000072	MHP168L_RS03270	MHJ_RS03255
OG0000073	MHP168L_RS00955	MHJ_RS00685
OG0000074	MHP168L_RS00765	MHJ_RS00875
OG0000075	MHP168L_RS00320	MHJ_RS00320
OG0000076	MHP168L_RS00335	MHJ_RS00335
OG0000077	MHP168L_RS00425	MHJ_RS00425
OG0000078	MHP168L_RS01760	MHJ_RS01625
OG0000079	MHP168L_RS02590	MHJ_RS02515
OG0000080	MHP168L_RS03895	MHJ_RS03800
OG0000081	MHP168L_RS00315	MHJ_RS00315
OG0000082	MHP168L_RS04020	MHJ_RS03775
OG0000083	MHP168L_RS02110	MHJ_RS01975
OG0000084	MHP168L_RS02265	MHJ_RS02000
OG0000085	MHP168L_RS02260	MHJ_RS02005
OG0000086	MHP168L_RS02250	MHJ_RS02015
OG0000087	MHP168L_RS02235	MHJ_RS02030
OG0000088	MHP168L_RS02230	MHJ_RS02035
OG0000089	MHP168L_RS02215	MHJ_RS02045
OG0000090	MHP168L_RS00070	MHJ_RS00070
OG0000091	MHP168L_RS00055	MHJ_RS00055
OG0000092	MHP168L_RS00040	MHJ_RS00040
OG0000093	MHP168L_RS00035	MHJ_RS00035
OG0000094	MHP168L_RS00030	MHJ_RS00030
OG0000095	MHP168L_RS00005	MHJ_RS00005
OG0000096	MHP168L_RS03665	MHJ_RS03580
OG0000097	MHP168L_RS03645	MHJ_RS03560
OG0000098	MHP168L_RS03635	MHJ_RS03550
OG0000099	MHP168L_RS03520	MHJ_RS03505
OG0000100	MHP168L_RS03505	MHJ_RS03490
OG0000101	MHP168L_RS03500	MHJ_RS03485
OG0000102	MHP168L_RS01735	MHJ_RS01650
OG0000103	MHP168L_RS02175	MHJ_RS02165
OG0000104	MHP168L_RS02170	MHJ_RS02170
OG0000105	MHP168L_RS02155	MHJ_RS02185
OG0000106	MHP168L_RS02145	MHJ_RS02195
OG0000107	MHP168L_RS02135	MHJ_RS02205
OG0000108	MHP168L_RS02130	MHJ_RS02210
OG0000109	MHP168L_RS02125	MHJ_RS02215
OG0000110	MHP168L_RS02410	MHJ_RS02330
OG0000111	MHP168L_RS02405	MHJ_RS02325
OG0000112	MHP168L_RS02395	MHJ_RS02315
OG0000113	MHP168L_RS02375	MHJ_RS02295
OG0000114	MHP168L_RS02365	MHJ_RS02285
OG0000115	MHP168L_RS02350	MHJ_RS02275
OG0000116	MHP168L_RS01385	MHJ_RS01270
OG0000117	MHP168L_RS01390	MHJ_RS01275
OG0000118	MHP168L_RS01430	MHJ_RS01310
OG0000119	MHP168L_RS01435	MHJ_RS01315
OG0000120	MHP168L_RS01450	MHJ_RS01330
OG0000121	MHP168L_RS01475	MHJ_RS01355
OG0000122	MHP168L_RS01480	MHJ_RS01360
OG0000123	MHP168L_RS01500	MHJ_RS01380
OG0000124	MHP168L_RS01505	MHJ_RS01385
OG0000125	MHP168L_RS01510	MHJ_RS01390
OG0000126	MHP168L_RS01520	MHJ_RS01400
OG0000127	MHP168L_RS01530	MHJ_RS01410
OG0000128	MHP168L_RS01545	MHJ_RS01425
OG0000129	MHP168L_RS01550	MHJ_RS01430
OG0000130	MHP168L_RS01560	MHJ_RS01440
OG0000131	MHP168L_RS01590	MHJ_RS01470
OG0000132	MHP168L_RS01605	MHJ_RS01485
OG0000133	MHP168L_RS00515	MHJ_RS00515
OG0000134	MHP168L_RS00520	MHJ_RS00520
OG0000135	MHP168L_RS00535	MHJ_RS00535
OG0000136	MHP168L_RS00540	MHJ_RS00540
OG0000137	MHP168L_RS00575	MHJ_RS00575
OG0000138	MHP168L_RS01030	MHJ_RS00605
OG0000139	MHP168L_RS01005	MHJ_RS00635
OG0000140	MHP168L_RS01000	MHJ_RS00640
OG0000141	MHP168L_RS02965	MHJ_RS02910
OG0000142	MHP168L_RS02960	MHJ_RS02905
OG0000143	MHP168L_RS02935	MHJ_RS02880
OG0000144	MHP168L_RS02925	MHJ_RS02870
OG0000145	MHP168L_RS02915	MHJ_RS02855
OG0000146	MHP168L_RS02905	MHJ_RS02845
OG0000147	MHP168L_RS02900	MHJ_RS02840
OG0000148	MHP168L_RS02885	MHJ_RS02825
OG0000149	MHP168L_RS02875	MHJ_RS02815
OG0000150	MHP168L_RS02860	MHJ_RS02800
OG0000151	MHP168L_RS02815	MHJ_RS02745
OG0000152	MHP168L_RS02810	MHJ_RS02740
OG0000153	MHP168L_RS02805	MHJ_RS02735
OG0000154	MHP168L_RS02795	MHJ_RS02725
OG0000155	MHP168L_RS02755	MHJ_RS02685
OG0000156	MHP168L_RS02745	MHJ_RS02675
OG0000157	MHP168L_RS02740	MHJ_RS02670
OG0000158	MHP168L_RS04120	MHJ_RS04010
OG0000159	MHP168L_RS04145	MHJ_RS04030
OG0000160	MHP168L_RS02485	MHJ_RS02410
OG0000161	MHP168L_RS02480	MHJ_RS02405
OG0000162	MHP168L_RS02470	MHJ_RS02395
OG0000163	MHP168L_RS02465	MHJ_RS02390
OG0000164	MHP168L_RS01825	MHJ_RS01565
OG0000165	MHP168L_RS02030	MHJ_RS01890
OG0000166	MHP168L_RS02050	MHJ_RS01915
OG0000167	MHP168L_RS02065	MHJ_RS01930
OG0000168	MHP168L_RS02070	MHJ_RS01935
OG0000169	MHP168L_RS03045	MHJ_RS03005
OG0000170	MHP168L_RS03060	MHJ_RS03035
OG0000171	MHP168L_RS03070	MHJ_RS03045
OG0000172	MHP168L_RS03075	MHJ_RS03050
OG0000173	MHP168L_RS03080	MHJ_RS03055
OG0000174	MHP168L_RS03085	MHJ_RS03060
OG0000175	MHP168L_RS03100	MHJ_RS03075
OG0000176	MHP168L_RS03150	MHJ_RS03125
OG0000177	MHP168L_RS03155	MHJ_RS03130
OG0000178	MHP168L_RS03160	MHJ_RS03135
OG0000179	MHP168L_RS03170	MHJ_RS03145
OG0000180	MHP168L_RS03175	MHJ_RS03150
OG0000181	MHP168L_RS03215	MHJ_RS03200
OG0000182	MHP168L_RS03225	MHJ_RS03210
OG0000183	MHP168L_RS03260	MHJ_RS03245
OG0000184	MHP168L_RS03300	MHJ_RS03285
OG0000185	MHP168L_RS03285	MHJ_RS03270
OG0000186	MHP168L_RS01615	MHJ_RS01495
OG0000187	MHP168L_RS01630	MHJ_RS01510
OG0000188	MHP168L_RS01640	MHJ_RS01520
OG0000189	MHP168L_RS02320	MHJ_RS02250
OG0000190	MHP168L_RS02315	MHJ_RS02245
OG0000191	MHP168L_RS02295	MHJ_RS02225
OG0000192	MHP168L_RS01300	MHJ_RS01190
OG0000193	MHP168L_RS01290	MHJ_RS01180
OG0000194	MHP168L_RS00970	MHJ_RS00670
OG0000195	MHP168L_RS00965	MHJ_RS00675
OG0000196	MHP168L_RS00945	MHJ_RS00695
OG0000197	MHP168L_RS00940	MHJ_RS00700
OG0000198	MHP168L_RS00925	MHJ_RS00715
OG0000199	MHP168L_RS00920	MHJ_RS00720
OG0000200	MHP168L_RS00910	MHJ_RS00730
OG0000201	MHP168L_RS00900	MHJ_RS00740
OG0000202	MHP168L_RS00845	MHJ_RS00795
OG0000203	MHP168L_RS00840	MHJ_RS00800
OG0000204	MHP168L_RS00835	MHJ_RS00805
OG0000205	MHP168L_RS00830	MHJ_RS00810
OG0000206	MHP168L_RS00810	MHJ_RS00830
OG0000207	MHP168L_RS00795	MHJ_RS00845
OG0000208	MHP168L_RS00790	MHJ_RS00850
OG0000209	MHP168L_RS00785	MHJ_RS00855
OG0000210	MHP168L_RS00735	MHJ_RS00900
OG0000211	MHP168L_RS00720	MHJ_RS00910
OG0000212	MHP168L_RS00710	MHJ_RS00920
OG0000213	MHP168L_RS03705	MHJ_RS00925
OG0000214	MHP168L_RS00705	MHJ_RS00930
OG0000215	MHP168L_RS00700	MHJ_RS00935
OG0000216	MHP168L_RS00695	MHJ_RS00940
OG0000217	MHP168L_RS00690	MHJ_RS00945
OG0000218	MHP168L_RS00680	MHJ_RS00955
OG0000219	MHP168L_RS00675	MHJ_RS00960
OG0000220	MHP168L_RS00670	MHJ_RS00965
OG0000221	MHP168L_RS00665	MHJ_RS00970
OG0000222	MHP168L_RS00660	MHJ_RS00975
OG0000223	MHP168L_RS00655	MHJ_RS00980
OG0000224	MHP168L_RS00645	MHJ_RS00990
OG0000225	MHP168L_RS00635	MHJ_RS01000
OG0000226	MHP168L_RS00630	MHJ_RS01005
OG0000227	MHP168L_RS00625	MHJ_RS01010
OG0000228	MHP168L_RS04125	MHJ_RS04015
OG0000229	MHP168L_RS00615	MHJ_RS01020
OG0000230	MHP168L_RS00610	MHJ_RS01025
OG0000231	MHP168L_RS00600	MHJ_RS01035
OG0000232	MHP168L_RS00590	MHJ_RS01045
OG0000233	MHP168L_RS01075	MHJ_RS01065
OG0000234	MHP168L_RS01110	MHJ_RS01100
OG0000235	MHP168L_RS01120	MHJ_RS01110
OG0000236	MHP168L_RS01125	MHJ_RS01115
OG0000237	MHP168L_RS01130	MHJ_RS01120
OG0000238	MHP168L_RS01140	MHJ_RS01130
OG0000239	MHP168L_RS02975	MHJ_RS02925
OG0000240	MHP168L_RS02980	MHJ_RS02930
OG0000241	MHP168L_RS02990	MHJ_RS02940
OG0000242	MHP168L_RS02995	MHJ_RS02945
OG0000243	MHP168L_RS03000	MHJ_RS02950
OG0000244	MHP168L_RS03010	MHJ_RS02960
OG0000245	MHP168L_RS03020	MHJ_RS02970
OG0000246	MHP168L_RS00120	MHJ_RS00115
OG0000247	MHP168L_RS00130	MHJ_RS00125
OG0000248	MHP168L_RS00140	MHJ_RS00135
OG0000249	MHP168L_RS00145	MHJ_RS00140
OG0000250	MHP168L_RS00160	MHJ_RS00155
OG0000251	MHP168L_RS00185	MHJ_RS00185
OG0000252	MHP168L_RS00195	MHJ_RS00195
OG0000253	MHP168L_RS00200	MHJ_RS00200
OG0000254	MHP168L_RS00210	MHJ_RS00210
OG0000255	MHP168L_RS00220	MHJ_RS00220
OG0000256	MHP168L_RS00225	MHJ_RS00225
OG0000257	MHP168L_RS00250	MHJ_RS00250
OG0000258	MHP168L_RS00260	MHJ_RS00260
OG0000259	MHP168L_RS00290	MHJ_RS00290
OG0000260	MHP168L_RS00300	MHJ_RS00300
OG0000261	MHP168L_RS00310	MHJ_RS00310
OG0000262	MHP168L_RS00325	MHJ_RS00325
OG0000263	MHP168L_RS00340	MHJ_RS00340
OG0000264	MHP168L_RS00355	MHJ_RS00355
OG0000265	MHP168L_RS00365	MHJ_RS00365
OG0000266	MHP168L_RS00380	MHJ_RS00380
OG0000267	MHP168L_RS00395	MHJ_RS00395
OG0000268	MHP168L_RS00400	MHJ_RS00400
OG0000269	MHP168L_RS00415	MHJ_RS00415
OG0000270	MHP168L_RS03475	MHJ_RS03460
OG0000271	MHP168L_RS03470	MHJ_RS03455
OG0000272	MHP168L_RS03465	MHJ_RS03450
OG0000273	MHP168L_RS03460	MHJ_RS03445
OG0000274	MHP168L_RS03440	MHJ_RS03425
OG0000275	MHP168L_RS03435	MHJ_RS03420
OG0000276	MHP168L_RS03430	MHJ_RS03415
OG0000277	MHP168L_RS03420	MHJ_RS03405
OG0000278	MHP168L_RS03415	MHJ_RS03400
OG0000279	MHP168L_RS03405	MHJ_RS03390
OG0000280	MHP168L_RS03400	MHJ_RS03385
OG0000281	MHP168L_RS03780	MHJ_RS03705
OG0000282	MHP168L_RS03375	MHJ_RS03360
OG0000283	MHP168L_RS03370	MHJ_RS03355
OG0000284	MHP168L_RS03365	MHJ_RS03350
OG0000285	MHP168L_RS03360	MHJ_RS03345
OG0000286	MHP168L_RS02450	MHJ_RS02375
OG0000287	MHP168L_RS02550	MHJ_RS02475
OG0000288	MHP168L_RS02560	MHJ_RS02485
OG0000289	MHP168L_RS02565	MHJ_RS02495
OG0000290	MHP168L_RS02675	MHJ_RS02605
OG0000291	MHP168L_RS02665	MHJ_RS02595
OG0000292	MHP168L_RS02660	MHJ_RS02590
OG0000293	MHP168L_RS02655	MHJ_RS02585
OG0000294	MHP168L_RS02645	MHJ_RS02570
OG0000295	MHP168L_RS02640	MHJ_RS02565
OG0000296	MHP168L_RS02600	MHJ_RS02525
OG0000297	MHP168L_RS02595	MHJ_RS02520
OG0000298	MHP168L_RS00155	MHJ_RS00150
OG0000299	MHP168L_RS03690	MHJ_RS00170
OG0000300	MHP168L_RS00350	MHJ_RS00350
OG0000301	MHP168L_RS00385	MHJ_RS00385
OG0000302	MHP168L_RS00390	MHJ_RS00390
OG0000303	MHP168L_RS00545	MHJ_RS00545
OG0000304	MHP168L_RS00585	MHJ_RS01050
OG0000305	MHP168L_RS02910	MHJ_RS02850
OG0000306	MHP168L_RS02835	MHJ_RS02775
OG0000307	MHP168L_RS02800	MHJ_RS02730
OG0000308	MHP168L_RS02700	MHJ_RS02625
OG0000309	MHP168L_RS02630	MHJ_RS02555
OG0000310	MHP168L_RS02555	MHJ_RS02480
OG0000311	MHP168L_RS02510	MHJ_RS02435
OG0000312	MHP168L_RS02495	MHJ_RS02420
OG0000313	MHP168L_RS01835	MHJ_RS01555
OG0000314	MHP168L_RS02045	MHJ_RS01910
OG0000315	MHP168L_RS02075	MHJ_RS01940
OG0000316	MHP168L_RS02085	MHJ_RS01950
OG0000317	MHP168L_RS02225	MHJ_RS02040
OG0000318	MHP168L_RS02090	MHJ_RS01955
OG0000319	MHP168L_RS02160	MHJ_RS02180
OG0000320	MHP168L_RS02385	MHJ_RS02305
OG0000321	MHP168L_RS01425	MHJ_RS01305
OG0000322	MHP168L_RS01470	MHJ_RS01350
OG0000323	MHP168L_RS01600	MHJ_RS01480
OG0000324	MHP168L_RS02290	MHJ_RS02220
OG0000325	MHP168L_RS00960	MHJ_RS00680
OG0000326	MHP168L_RS00870	MHJ_RS00770
OG0000327	MHP168L_RS00865	MHJ_RS00775
OG0000328	MHP168L_RS00780	MHJ_RS00860
OG0000329	MHP168L_RS00755	MHJ_RS00880
OG0000330	MHP168L_RS01085	MHJ_RS01075
OG0000331	MHP168L_RS03005	MHJ_RS02955
OG0000332	MHP168L_RS03110	MHJ_RS03085
OG0000333	MHP168L_RS03120	MHJ_RS03095
OG0000334	MHP168L_RS03220	MHJ_RS03205
OG0000335	MHP168L_RS03230	MHJ_RS03215
OG0000336	MHP168L_RS03390	MHJ_RS03375
OG0000337	MHP168L_RS03620	MHJ_RS03535
OG0000338	MHP168L_RS03660	MHJ_RS03575
OG0000339	MHP168L_RS02355	MHJ_RS02280
OG0000340	MHP168L_RS01400	MHJ_RS01285
OG0000341	MHP168L_RS02310	MHJ_RS02240
OG0000342	MHP168L_RS00930	MHJ_RS00710
OG0000343	MHP168L_RS03130	MHJ_RS03105
OG0000344	MHP168L_RS00560	MHJ_RS00560
OG0000345	MHP168L_RS00640	MHJ_RS00995
OG0000346	MHP168L_RS03395	MHJ_RS03380
OG0000347	MHP168L_RS01495	MHJ_RS01375
OG0000348	MHP168L_RS00860	MHJ_RS00780
OG0000349	MHP168L_RS03450	MHJ_RS03435
OG0000350	MHP168L_RS02790	MHJ_RS02720
OG0000351	MHP168L_RS00475	MHJ_RS00475
OG0000352	MHP168L_RS02025	MHJ_RS01885
OG0000353	MHP168L_RS01465	MHJ_RS01345
OG0000354	MHP168L_RS01015	MHJ_RS00620
OG0000355	MHP168L_RS01995	MHJ_RS01855
OG0000356	MHP168L_RS02080	MHJ_RS01945
OG0000357	MHP168L_RS03090	MHJ_RS03065
OG0000358	MHP168L_RS03095	MHJ_RS03070
OG0000359	MHP168L_RS00890	MHJ_RS00750
OG0000360	MHP168L_RS00255	MHJ_RS00255
OG0000361	MHP168L_RS00285	MHJ_RS00285
OG0000362	MHP168L_RS02575	MHJ_RS02500
OG0000363	MHP168L_RS03960	MHJ_RS03840
OG0000364	MHP168L_RS01970	MHJ_RS03765, MHJ_RS01830
OG0000365	MHP168L_RS02280	MHJ_RS01985
OG0000366	MHP168L_RS02255	MHJ_RS02010
OG0000367	MHP168L_RS02245	MHJ_RS02020
OG0000368	MHP168L_RS00060	MHJ_RS00060
OG0000369	MHP168L_RS00025	MHJ_RS00025
OG0000370	MHP168L_RS00020	MHJ_RS00020
OG0000371	MHP168L_RS00015	MHJ_RS00015
OG0000372	MHP168L_RS00010	MHJ_RS00010
OG0000373	MHP168L_RS03650	MHJ_RS03565
OG0000374	MHP168L_RS03640	MHJ_RS03555
OG0000375	MHP168L_RS02165	MHJ_RS02175
OG0000376	MHP168L_RS02400	MHJ_RS02320
OG0000377	MHP168L_RS02390	MHJ_RS02310
OG0000378	MHP168L_RS01380	MHJ_RS01265
OG0000379	MHP168L_RS01460	MHJ_RS01340
OG0000380	MHP168L_RS01485	MHJ_RS01365
OG0000381	MHP168L_RS01525	MHJ_RS01405
OG0000382	MHP168L_RS01555	MHJ_RS01435
OG0000383	MHP168L_RS01595	MHJ_RS01475
OG0000384	MHP168L_RS00500	MHJ_RS00500
OG0000385	MHP168L_RS00505	MHJ_RS00505
OG0000386	MHP168L_RS00525	MHJ_RS00525
OG0000387	MHP168L_RS00550	MHJ_RS00550
OG0000388	MHP168L_RS00555	MHJ_RS00555
OG0000389	MHP168L_RS01035	MHJ_RS00600
OG0000390	MHP168L_RS02930	MHJ_RS02875
OG0000391	MHP168L_RS02920	MHJ_RS02865
OG0000392	MHP168L_RS02895	MHJ_RS02835
OG0000393	MHP168L_RS02840	MHJ_RS02780
OG0000394	MHP168L_RS02765	MHJ_RS02695
OG0000395	MHP168L_RS02760	MHJ_RS02690
OG0000396	MHP168L_RS02455	MHJ_RS02380
OG0000397	MHP168L_RS02010	MHJ_RS01870
OG0000398	MHP168L_RS02015	MHJ_RS01875
OG0000399	MHP168L_RS02060	MHJ_RS01925
OG0000400	MHP168L_RS03055	MHJ_RS03030
OG0000401	MHP168L_RS03115	MHJ_RS03090
OG0000402	MHP168L_RS03125	MHJ_RS03100
OG0000403	MHP168L_RS03135	MHJ_RS03110
OG0000404	MHP168L_RS03165	MHJ_RS03140
OG0000405	MHP168L_RS03180	MHJ_RS03155
OG0000406	MHP168L_RS03235	MHJ_RS03220
OG0000407	MHP168L_RS03240	MHJ_RS03225
OG0000408	MHP168L_RS03245	MHJ_RS03230
OG0000409	MHP168L_RS03250	MHJ_RS03235
OG0000410	MHP168L_RS03305	MHJ_RS03290
OG0000411	MHP168L_RS03295	MHJ_RS03280
OG0000412	MHP168L_RS03290	MHJ_RS03275
OG0000413	MHP168L_RS01610	MHJ_RS01490
OG0000414	MHP168L_RS01620	MHJ_RS01500
OG0000415	MHP168L_RS01625	MHJ_RS01505
OG0000416	MHP168L_RS01635	MHJ_RS01515
OG0000417	MHP168L_RS02305	MHJ_RS02235
OG0000418	MHP168L_RS02300	MHJ_RS02230
OG0000419	MHP168L_RS00950	MHJ_RS00690
OG0000420	MHP168L_RS00915	MHJ_RS00725
OG0000421	MHP168L_RS00885	MHJ_RS00755
OG0000422	MHP168L_RS00875	MHJ_RS00765
OG0000423	MHP168L_RS00820	MHJ_RS00820
OG0000424	MHP168L_RS00815	MHJ_RS00825
OG0000425	MHP168L_RS00805	MHJ_RS00835
OG0000426	MHP168L_RS00800	MHJ_RS00840
OG0000427	MHP168L_RS00775	MHJ_RS00865
OG0000428	MHP168L_RS00745	MHJ_RS00890
OG0000429	MHP168L_RS00650	MHJ_RS00985
OG0000430	MHP168L_RS00605	MHJ_RS01030
OG0000431	MHP168L_RS00595	MHJ_RS01040
OG0000432	MHP168L_RS01080	MHJ_RS01070
OG0000433	MHP168L_RS01095	MHJ_RS01085
OG0000434	MHP168L_RS01100	MHJ_RS01090
OG0000435	MHP168L_RS01115	MHJ_RS01105
OG0000436	MHP168L_RS01145	MHJ_RS01135
OG0000437	MHP168L_RS01155	MHJ_RS01145
OG0000438	MHP168L_RS01160	MHJ_RS01150
OG0000439	MHP168L_RS01165	MHJ_RS01155
OG0000440	MHP168L_RS02985	MHJ_RS02935
OG0000441	MHP168L_RS03025	MHJ_RS02975
OG0000442	MHP168L_RS00125	MHJ_RS00120
OG0000443	MHP168L_RS00170	MHJ_RS00165
OG0000444	MHP168L_RS00180	MHJ_RS00180
OG0000445	MHP168L_RS00205	MHJ_RS00205
OG0000446	MHP168L_RS00235	MHJ_RS00235
OG0000447	MHP168L_RS00240	MHJ_RS00240
OG0000448	MHP168L_RS00270	MHJ_RS00270
OG0000449	MHP168L_RS00295	MHJ_RS00295
OG0000450	MHP168L_RS00305	MHJ_RS00305
OG0000451	MHP168L_RS00345	MHJ_RS00345
OG0000452	MHP168L_RS00370	MHJ_RS00370
OG0000453	MHP168L_RS00405	MHJ_RS00405
OG0000454	MHP168L_RS01670, MHP168L_RS01800	MHJ_RS01590
OG0000455	MHP168L_RS03495	MHJ_RS03480
OG0000456	MHP168L_RS03380	MHJ_RS03365
OG0000457	MHP168L_RS03355	MHJ_RS03340
OG0000458	MHP168L_RS02545	MHJ_RS02470
OG0000460	MHP168L_RS02580	MHJ_RS02505
OG0000461	MHP168L_RS02625	MHJ_RS02550
OG0000462	MHP168L_RS02620	MHJ_RS02545
OG0000463	MHP168L_RS02615	MHJ_RS02540
OG0000464	MHP168L_RS02610	MHJ_RS02535
OG0000465	MHP168L_RS02605	MHJ_RS02530
OG0000466	MHP168L_RS00375	MHJ_RS00375
OG0000467	MHP168L_RS02710	MHJ_RS02640
OG0000468	MHP168L_RS02055	MHJ_RS01920
OG0000469	MHP168L_RS02115	MHJ_RS01980
OG0000470	MHP168L_RS03850	MHJ_RS03785
OG0000471	MHP168L_RS00740	MHJ_RS00895
OG0000472	MHP168L_RS03315	MHJ_RS03300
OG0000473	MHP168L_RS03485	MHJ_RS03465
OG0000475	MHP168L_RS03490	MHJ_RS03475
OG0000476	MHP168L_RS01645	MHJ_RS01525
OG0000477	MHP168L_RS02650	MHJ_RS02580
OG0000478	MHP168L_RS03425	MHJ_RS03410
OG0000479	MHP168L_RS01420	MHJ_RS01300
