Orthogroup	MHP_168L_genes	MHP_111A_genes
OG0000096	MHP168L_RS03665	NB623_RS03810
OG0000097	MHP168L_RS03645	NB623_RS03790
OG0000098	MHP168L_RS03635	NB623_RS03780
OG0000099	MHP168L_RS03520	NB623_RS03730
OG0000100	MHP168L_RS03505	NB623_RS03715
OG0000101	MHP168L_RS03500	NB623_RS03710
OG0000102	MHP168L_RS01735	NB623_RS01830
OG0000103	MHP168L_RS02175	NB623_RS02355
OG0000104	MHP168L_RS02170	NB623_RS02360
OG0000105	MHP168L_RS02155	NB623_RS02380
OG0000106	MHP168L_RS02145	NB623_RS02385
OG0000107	MHP168L_RS02135	NB623_RS02395
OG0000108	MHP168L_RS02130	NB623_RS02400
OG0000109	MHP168L_RS02125	NB623_RS02405
OG0000110	MHP168L_RS02410	NB623_RS02525
OG0000111	MHP168L_RS02405	NB623_RS02520
OG0000112	MHP168L_RS02395	NB623_RS02510
OG0000113	MHP168L_RS02375	NB623_RS02490
OG0000114	MHP168L_RS02365	NB623_RS02485
OG0000115	MHP168L_RS02350	NB623_RS02470
OG0000116	MHP168L_RS01385	NB623_RS01415
OG0000117	MHP168L_RS01390	NB623_RS01420
OG0000118	MHP168L_RS01430	NB623_RS01455
OG0000119	MHP168L_RS01435	NB623_RS01465
OG0000120	MHP168L_RS01450	NB623_RS01475
OG0000121	MHP168L_RS01475	NB623_RS01505
OG0000122	MHP168L_RS01480	NB623_RS01510
OG0000123	MHP168L_RS01500	NB623_RS01530
OG0000124	MHP168L_RS01505	NB623_RS01535
OG0000125	MHP168L_RS01510	NB623_RS01545
OG0000126	MHP168L_RS01520	NB623_RS01550
OG0000127	MHP168L_RS01530	NB623_RS01560
OG0000128	MHP168L_RS01545	NB623_RS01575
OG0000129	MHP168L_RS01550	NB623_RS01580
OG0000130	MHP168L_RS01560	NB623_RS01590
OG0000131	MHP168L_RS01590	NB623_RS01620
OG0000132	MHP168L_RS01605	NB623_RS01635
OG0000133	MHP168L_RS00515	NB623_RS00525
OG0000134	MHP168L_RS00520	NB623_RS00530
OG0000135	MHP168L_RS00535	NB623_RS00545
OG0000136	MHP168L_RS00540	NB623_RS00550
OG0000137	MHP168L_RS00575	NB623_RS00590
OG0000138	MHP168L_RS01030	NB623_RS00615
OG0000139	MHP168L_RS01005	NB623_RS00645
OG0000140	MHP168L_RS01000	NB623_RS00650
OG0000141	MHP168L_RS02965	NB623_RS03095
OG0000142	MHP168L_RS02960	NB623_RS03090
OG0000143	MHP168L_RS02935	NB623_RS03075
OG0000144	MHP168L_RS02925	NB623_RS03060
OG0000145	MHP168L_RS02915	NB623_RS03050
OG0000146	MHP168L_RS02905	NB623_RS03040
OG0000147	MHP168L_RS02900	NB623_RS03035
OG0000148	MHP168L_RS02885	NB623_RS03020
OG0000149	MHP168L_RS02875	NB623_RS03010
OG0000150	MHP168L_RS02860	NB623_RS02995
OG0000151	MHP168L_RS02815	NB623_RS02945
OG0000152	MHP168L_RS02810	NB623_RS02940
OG0000153	MHP168L_RS02805	NB623_RS02935
OG0000154	MHP168L_RS02795	NB623_RS02925
OG0000155	MHP168L_RS02755	NB623_RS02885
OG0000156	MHP168L_RS02745	NB623_RS02875
OG0000157	MHP168L_RS02740	NB623_RS02870
OG0000158	MHP168L_RS04120	NB623_RS02860
OG0000159	MHP168L_RS04145	NB623_RS02615
OG0000160	MHP168L_RS02485	NB623_RS02610
OG0000161	MHP168L_RS02480	NB623_RS02605
OG0000162	MHP168L_RS02470	NB623_RS02595
OG0000163	MHP168L_RS02465	NB623_RS02590
OG0000164	MHP168L_RS01825	NB623_RS01725
OG0000165	MHP168L_RS02030	NB623_RS02155
OG0000166	MHP168L_RS02050	NB623_RS02135
OG0000167	MHP168L_RS02065	NB623_RS02120
OG0000168	MHP168L_RS02070	NB623_RS02115
OG0000169	MHP168L_RS03045	NB623_RS03200
OG0000170	MHP168L_RS03060	NB623_RS03215
OG0000171	MHP168L_RS03070	NB623_RS03225
OG0000172	MHP168L_RS03075	NB623_RS03230
OG0000173	MHP168L_RS03080	NB623_RS03235
OG0000174	MHP168L_RS03085	NB623_RS03240
OG0000175	MHP168L_RS03100	NB623_RS03265
OG0000176	MHP168L_RS03150	NB623_RS03310
OG0000177	MHP168L_RS03155	NB623_RS03315
OG0000178	MHP168L_RS03160	NB623_RS03320
OG0000179	MHP168L_RS03170	NB623_RS03330
OG0000180	MHP168L_RS03175	NB623_RS03335
OG0000181	MHP168L_RS03215	NB623_RS03375
OG0000182	MHP168L_RS03225	NB623_RS03385
OG0000183	MHP168L_RS03260	NB623_RS03420
OG0000184	MHP168L_RS03300	NB623_RS03485
OG0000185	MHP168L_RS03285	NB623_RS03475
OG0000186	MHP168L_RS01615	NB623_RS01645
OG0000187	MHP168L_RS01630	NB623_RS01660
OG0000188	MHP168L_RS01640	NB623_RS01670
OG0000189	MHP168L_RS02320	NB623_RS02445
OG0000190	MHP168L_RS02315	NB623_RS02440
OG0000191	MHP168L_RS02295	NB623_RS02415
OG0000192	MHP168L_RS01300	NB623_RS01340
OG0000193	MHP168L_RS01290	NB623_RS01325
OG0000194	MHP168L_RS00970	NB623_RS00690
OG0000195	MHP168L_RS00965	NB623_RS00695
OG0000196	MHP168L_RS00945	NB623_RS00720
OG0000197	MHP168L_RS00940	NB623_RS00730
OG0000198	MHP168L_RS00925	NB623_RS00740
OG0000199	MHP168L_RS00920	NB623_RS00745
OG0000200	MHP168L_RS00910	NB623_RS00760
OG0000201	MHP168L_RS00900	NB623_RS00770
OG0000202	MHP168L_RS00845	NB623_RS00830
OG0000203	MHP168L_RS00840	NB623_RS00835
OG0000204	MHP168L_RS00835	NB623_RS00840
OG0000205	MHP168L_RS00830	NB623_RS00845
OG0000206	MHP168L_RS00810	NB623_RS00865
OG0000207	MHP168L_RS00795	NB623_RS00880
OG0000208	MHP168L_RS00790	NB623_RS00885
OG0000209	MHP168L_RS00785	NB623_RS00890
OG0000210	MHP168L_RS00735	NB623_RS00935
OG0000211	MHP168L_RS00720	NB623_RS01070
OG0000212	MHP168L_RS00710	NB623_RS01080
OG0000213	MHP168L_RS03705	NB623_RS01085
OG0000214	MHP168L_RS00705	NB623_RS01090
OG0000215	MHP168L_RS00700	NB623_RS01095
OG0000216	MHP168L_RS00695	NB623_RS01100
OG0000217	MHP168L_RS00690	NB623_RS01105
OG0000218	MHP168L_RS00680	NB623_RS01115
OG0000219	MHP168L_RS00675	NB623_RS01120
OG0000220	MHP168L_RS00670	NB623_RS01125
OG0000221	MHP168L_RS00665	NB623_RS01130
OG0000222	MHP168L_RS00660	NB623_RS01135
OG0000223	MHP168L_RS00655	NB623_RS01140
OG0000224	MHP168L_RS00645	NB623_RS01150
OG0000225	MHP168L_RS00635	NB623_RS01160
OG0000226	MHP168L_RS00630	NB623_RS01165
OG0000227	MHP168L_RS00625	NB623_RS01170
OG0000228	MHP168L_RS04125	NB623_RS01175
OG0000229	MHP168L_RS00615	NB623_RS01180
OG0000230	MHP168L_RS00610	NB623_RS01185
OG0000231	MHP168L_RS00600	NB623_RS01195
OG0000232	MHP168L_RS00590	NB623_RS01205
OG0000233	MHP168L_RS01075	NB623_RS01225
OG0000234	MHP168L_RS01110	NB623_RS01260
OG0000235	MHP168L_RS01120	NB623_RS01270
OG0000236	MHP168L_RS01125	NB623_RS01275
OG0000237	MHP168L_RS01130	NB623_RS01280
OG0000238	MHP168L_RS01140	NB623_RS01285
OG0000239	MHP168L_RS02975	NB623_RS03105
OG0000240	MHP168L_RS02980	NB623_RS03110
OG0000241	MHP168L_RS02990	NB623_RS03120
OG0000242	MHP168L_RS02995	NB623_RS03125
OG0000243	MHP168L_RS03000	NB623_RS03130
OG0000244	MHP168L_RS03010	NB623_RS03140
OG0000245	MHP168L_RS03020	NB623_RS03145
OG0000246	MHP168L_RS00120	NB623_RS00130
OG0000247	MHP168L_RS00130	NB623_RS00140
OG0000248	MHP168L_RS00140	NB623_RS00150
OG0000249	MHP168L_RS00145	NB623_RS00155
OG0000250	MHP168L_RS00160	NB623_RS00175
OG0000251	MHP168L_RS00185	NB623_RS00205
OG0000252	MHP168L_RS00195	NB623_RS00210
OG0000253	MHP168L_RS00200	NB623_RS00215
OG0000254	MHP168L_RS00210	NB623_RS00225
OG0000255	MHP168L_RS00220	NB623_RS00230
OG0000256	MHP168L_RS00225	NB623_RS00240
OG0000257	MHP168L_RS00250	NB623_RS00260
OG0000258	MHP168L_RS00260	NB623_RS00270
OG0000259	MHP168L_RS00290	NB623_RS00300
OG0000260	MHP168L_RS00300	NB623_RS00310
OG0000261	MHP168L_RS00310	NB623_RS00320
OG0000262	MHP168L_RS00325	NB623_RS00340
OG0000263	MHP168L_RS00340	NB623_RS00350
OG0000264	MHP168L_RS00355	NB623_RS00365
OG0000265	MHP168L_RS00365	NB623_RS00375
OG0000266	MHP168L_RS00380	NB623_RS00390
OG0000267	MHP168L_RS00395	NB623_RS00405
OG0000268	MHP168L_RS00400	NB623_RS00410
OG0000269	MHP168L_RS00415	NB623_RS00425
OG0000270	MHP168L_RS03475	NB623_RS03685
OG0000271	MHP168L_RS03470	NB623_RS03675
OG0000272	MHP168L_RS03465	NB623_RS03670
OG0000273	MHP168L_RS03460	NB623_RS03665
OG0000274	MHP168L_RS03440	NB623_RS03650
OG0000275	MHP168L_RS03435	NB623_RS03640
OG0000276	MHP168L_RS03430	NB623_RS03635
OG0000277	MHP168L_RS03420	NB623_RS03625
OG0000278	MHP168L_RS03415	NB623_RS03620
OG0000279	MHP168L_RS03405	NB623_RS03615
OG0000280	MHP168L_RS03400	NB623_RS03605
OG0000281	MHP168L_RS03780	NB623_RS03600
OG0000282	MHP168L_RS03375	NB623_RS03570
OG0000283	MHP168L_RS03370	NB623_RS03565
OG0000284	MHP168L_RS03365	NB623_RS03560
OG0000285	MHP168L_RS03360	NB623_RS03555
OG0000286	MHP168L_RS02450	NB623_RS02575
OG0000287	MHP168L_RS02550	NB623_RS02675
OG0000288	MHP168L_RS02560	NB623_RS02685
OG0000289	MHP168L_RS02565	NB623_RS02690
OG0000290	MHP168L_RS02675	NB623_RS02810
OG0000291	MHP168L_RS02665	NB623_RS02800
OG0000292	MHP168L_RS02660	NB623_RS02795
OG0000293	MHP168L_RS02655	NB623_RS02790
OG0000294	MHP168L_RS02645	NB623_RS02780
OG0000295	MHP168L_RS02640	NB623_RS02775
OG0000296	MHP168L_RS02600	NB623_RS02730
OG0000297	MHP168L_RS02595	NB623_RS02725
OG0000298	MHP168L_RS00155	NB623_RS00165
OG0000299	MHP168L_RS03690	NB623_RS00185
OG0000300	MHP168L_RS00350	NB623_RS00360
OG0000301	MHP168L_RS00385	NB623_RS00395
OG0000302	MHP168L_RS00390	NB623_RS00400
OG0000303	MHP168L_RS00545	NB623_RS00555
OG0000304	MHP168L_RS00585	NB623_RS01210
OG0000305	MHP168L_RS02910	NB623_RS03045
OG0000306	MHP168L_RS02835	NB623_RS02970
OG0000307	MHP168L_RS02800	NB623_RS02930
OG0000308	MHP168L_RS02700	NB623_RS02835
OG0000309	MHP168L_RS02630	NB623_RS02765
OG0000310	MHP168L_RS02555	NB623_RS02680
OG0000311	MHP168L_RS02510	NB623_RS02635
OG0000312	MHP168L_RS02495	NB623_RS02620
OG0000313	MHP168L_RS01835	NB623_RS01715
OG0000314	MHP168L_RS02045	NB623_RS02140
OG0000315	MHP168L_RS02075	NB623_RS02110
OG0000316	MHP168L_RS02085	NB623_RS02100
OG0000317	MHP168L_RS02225	NB623_RS02005
OG0000318	MHP168L_RS02090	NB623_RS02095
OG0000319	MHP168L_RS02160	NB623_RS02370
OG0000320	MHP168L_RS02385	NB623_RS02500
OG0000321	MHP168L_RS01425	NB623_RS01450
OG0000322	MHP168L_RS01470	NB623_RS01500
OG0000323	MHP168L_RS01600	NB623_RS01630
OG0000324	MHP168L_RS02290	NB623_RS02410
OG0000325	MHP168L_RS00960	NB623_RS00705
OG0000326	MHP168L_RS00870	NB623_RS00805
OG0000327	MHP168L_RS00865	NB623_RS00810
OG0000328	MHP168L_RS00780	NB623_RS00895
OG0000329	MHP168L_RS00755	NB623_RS00915
OG0000330	MHP168L_RS01085	NB623_RS01235
OG0000331	MHP168L_RS03005	NB623_RS03135
OG0000332	MHP168L_RS03110	NB623_RS03270
OG0000333	MHP168L_RS03120	NB623_RS03280
OG0000334	MHP168L_RS03220	NB623_RS03380
OG0000335	MHP168L_RS03230	NB623_RS03390
OG0000336	MHP168L_RS03390	NB623_RS03590
OG0000337	MHP168L_RS03620	NB623_RS03765
OG0000338	MHP168L_RS03660	NB623_RS03805
OG0000339	MHP168L_RS02355	NB623_RS02475
OG0000340	MHP168L_RS01400	NB623_RS01430
OG0000341	MHP168L_RS02310	NB623_RS02435
OG0000342	MHP168L_RS00930	NB623_RS00735
OG0000343	MHP168L_RS03130	NB623_RS03290
OG0000344	MHP168L_RS00560	NB623_RS00570
OG0000345	MHP168L_RS00640	NB623_RS01155
OG0000346	MHP168L_RS03395	NB623_RS03595
OG0000347	MHP168L_RS01495	NB623_RS01525
OG0000348	MHP168L_RS00860	NB623_RS00815
OG0000349	MHP168L_RS03450	NB623_RS03655
OG0000350	MHP168L_RS02790	NB623_RS02920
OG0000351	MHP168L_RS00475	NB623_RS00480
OG0000352	MHP168L_RS02025	NB623_RS02160
OG0000353	MHP168L_RS01465	NB623_RS01490
OG0000354	MHP168L_RS01015	NB623_RS00630
OG0000355	MHP168L_RS01995	NB623_RS02185
OG0000356	MHP168L_RS02080	NB623_RS02105
OG0000357	MHP168L_RS03090	NB623_RS03245
OG0000358	MHP168L_RS03095	NB623_RS03250
OG0000359	MHP168L_RS00890	NB623_RS00780
OG0000360	MHP168L_RS00255	NB623_RS00265
OG0000361	MHP168L_RS00285	NB623_RS00295
OG0000362	MHP168L_RS02575	NB623_RS02705
OG0000363	MHP168L_RS03960	NB623_RS01565
OG0000364	MHP168L_RS01970	NB623_RS02210
OG0000365	MHP168L_RS02280	NB623_RS02060
OG0000366	MHP168L_RS02255	NB623_RS02035
OG0000367	MHP168L_RS02245	NB623_RS02025
OG0000368	MHP168L_RS00060	NB623_RS00060
OG0000369	MHP168L_RS00025	NB623_RS00025
OG0000370	MHP168L_RS00020	NB623_RS00020
OG0000371	MHP168L_RS00015	NB623_RS00015
OG0000372	MHP168L_RS00010	NB623_RS00010
OG0000373	MHP168L_RS03650	NB623_RS03795
OG0000374	MHP168L_RS03640	NB623_RS03785
OG0000375	MHP168L_RS02165	NB623_RS02365
OG0000376	MHP168L_RS02400	NB623_RS02515
OG0000377	MHP168L_RS02390	NB623_RS02505
OG0000378	MHP168L_RS01380	NB623_RS01410
OG0000379	MHP168L_RS01460	NB623_RS01485
OG0000380	MHP168L_RS01485	NB623_RS01515
OG0000381	MHP168L_RS01525	NB623_RS01555
OG0000382	MHP168L_RS01555	NB623_RS01585
OG0000383	MHP168L_RS01595	NB623_RS01625
OG0000384	MHP168L_RS00500	NB623_RS00510
OG0000385	MHP168L_RS00505	NB623_RS00520
OG0000386	MHP168L_RS00525	NB623_RS00535
OG0000387	MHP168L_RS00550	NB623_RS00560
OG0000388	MHP168L_RS00555	NB623_RS00565
OG0000389	MHP168L_RS01035	NB623_RS00610
OG0000390	MHP168L_RS02930	NB623_RS03065
OG0000391	MHP168L_RS02920	NB623_RS03055
OG0000392	MHP168L_RS02895	NB623_RS03030
OG0000393	MHP168L_RS02840	NB623_RS02975
OG0000394	MHP168L_RS02765	NB623_RS02895
OG0000395	MHP168L_RS02760	NB623_RS02890
OG0000396	MHP168L_RS02455	NB623_RS02580
OG0000397	MHP168L_RS02010	NB623_RS02175
OG0000398	MHP168L_RS02015	NB623_RS02170
OG0000399	MHP168L_RS02060	NB623_RS02125
OG0000400	MHP168L_RS03055	NB623_RS03210
OG0000401	MHP168L_RS03115	NB623_RS03275
OG0000402	MHP168L_RS03125	NB623_RS03285
OG0000403	MHP168L_RS03135	NB623_RS03295
OG0000404	MHP168L_RS03165	NB623_RS03325
OG0000405	MHP168L_RS03180	NB623_RS03340
OG0000406	MHP168L_RS03235	NB623_RS03395
OG0000407	MHP168L_RS03240	NB623_RS03400
OG0000408	MHP168L_RS03245	NB623_RS03405
OG0000409	MHP168L_RS03250	NB623_RS03410
OG0000410	MHP168L_RS03305	NB623_RS03495
OG0000411	MHP168L_RS03295	NB623_RS03480
OG0000413	MHP168L_RS01610	NB623_RS01640
OG0000414	MHP168L_RS01620	NB623_RS01650
OG0000415	MHP168L_RS01625	NB623_RS01655
OG0000416	MHP168L_RS01635	NB623_RS01665
OG0000417	MHP168L_RS02305	NB623_RS02430
OG0000418	MHP168L_RS02300	NB623_RS02420
OG0000419	MHP168L_RS00950	NB623_RS00715
OG0000420	MHP168L_RS00915	NB623_RS00750
OG0000421	MHP168L_RS00885	NB623_RS00790
OG0000422	MHP168L_RS00875	NB623_RS00800
OG0000423	MHP168L_RS00820	NB623_RS00855
OG0000424	MHP168L_RS00815	NB623_RS00860
OG0000425	MHP168L_RS00805	NB623_RS00870
OG0000426	MHP168L_RS00800	NB623_RS00875
OG0000427	MHP168L_RS00775	NB623_RS00900
OG0000428	MHP168L_RS00745	NB623_RS00925
OG0000429	MHP168L_RS00650	NB623_RS01145
OG0000430	MHP168L_RS00605	NB623_RS01190
OG0000431	MHP168L_RS00595	NB623_RS01200
OG0000432	MHP168L_RS01080	NB623_RS01230
OG0000433	MHP168L_RS01095	NB623_RS01245
OG0000434	MHP168L_RS01100	NB623_RS01255
OG0000435	MHP168L_RS01115	NB623_RS01265
OG0000436	MHP168L_RS01145	NB623_RS01290
OG0000437	MHP168L_RS01155	NB623_RS01300
OG0000438	MHP168L_RS01160	NB623_RS01305
OG0000439	MHP168L_RS01165	NB623_RS01310
OG0000440	MHP168L_RS02985	NB623_RS03115
OG0000441	MHP168L_RS03025	NB623_RS03150
OG0000442	MHP168L_RS00125	NB623_RS00135
OG0000443	MHP168L_RS00170	NB623_RS00180
OG0000444	MHP168L_RS00180	NB623_RS00195
OG0000445	MHP168L_RS00205	NB623_RS00220
OG0000446	MHP168L_RS00235	NB623_RS00245
OG0000447	MHP168L_RS00240	NB623_RS00255
OG0000448	MHP168L_RS00270	NB623_RS00280
OG0000449	MHP168L_RS00295	NB623_RS00305
OG0000450	MHP168L_RS00305	NB623_RS00315
OG0000451	MHP168L_RS00345	NB623_RS00355
OG0000452	MHP168L_RS00370	NB623_RS00380
OG0000453	MHP168L_RS00405	NB623_RS00415
OG0000454	MHP168L_RS01800	NB623_RS01755
OG0000455	MHP168L_RS03495	NB623_RS03705
OG0000456	MHP168L_RS03380	NB623_RS03580
OG0000457	MHP168L_RS03355	NB623_RS03545
OG0000458	MHP168L_RS02545	NB623_RS02670
OG0000459	MHP168L_RS02570	NB623_RS02700
OG0000460	MHP168L_RS02580	NB623_RS02710
OG0000461	MHP168L_RS02625	NB623_RS02755
OG0000462	MHP168L_RS02620	NB623_RS02750
OG0000463	MHP168L_RS02615	NB623_RS02745
OG0000464	MHP168L_RS02610	NB623_RS02740
OG0000465	MHP168L_RS02605	NB623_RS02735
OG0000466	MHP168L_RS00375	NB623_RS00385
OG0000467	MHP168L_RS02710	NB623_RS02845
OG0000468	MHP168L_RS02055	NB623_RS02130
OG0000469	MHP168L_RS02115	NB623_RS02070
OG0000470	MHP168L_RS03850	NB623_RS00850
OG0000471	MHP168L_RS00740	NB623_RS00930
OG0000472	MHP168L_RS03315	NB623_RS03500
OG0000473	MHP168L_RS03485	NB623_RS03690
OG0000475	MHP168L_RS03490	NB623_RS03700
OG0000476	MHP168L_RS01645	NB623_RS01675
OG0000477	MHP168L_RS02650	NB623_RS02785
OG0000478	MHP168L_RS03425	NB623_RS03630
OG0000479	MHP168L_RS01420	NB623_RS01445
OG0000480	MHP168L_RS03885	NB623_RS02065
OG0000481	MHP168L_RS00850	NB623_RS00825
OG0000482	MHP168L_RS01295	NB623_RS01330
OG0000483	MHP168L_RS02240	NB623_RS02020
OG0000484	MHP168L_RS00175	NB623_RS00190
OG0000485	MHP168L_RS01150	NB623_RS01295
OG0000486	MHP168L_RS02325	NB623_RS02450
OG0000488	MHP168L_RS02270	NB623_RS02055
OG0000490	MHP168L_RS03655	NB623_RS03800
OG0000493	MHP168L_RS00565	NB623_RS00575
OG0000495	MHP168L_RS02865	NB623_RS03005
OG0000496	MHP168L_RS02855	NB623_RS02990
OG0000497	MHP168L_RS02850	NB623_RS02985
OG0000498	MHP168L_RS02770	NB623_RS02900
OG0000499	MHP168L_RS02735	NB623_RS02865
OG0000500	MHP168L_RS02020	NB623_RS02165
OG0000501	MHP168L_RS03065	NB623_RS03220
OG0000502	MHP168L_RS01285	NB623_RS01320
OG0000503	MHP168L_RS00905	NB623_RS00765
OG0000505	MHP168L_RS00725	NB623_RS01065
OG0000506	MHP168L_RS00715	NB623_RS01075
OG0000507	MHP168L_RS00685	NB623_RS01110
OG0000509	MHP168L_RS00265	NB623_RS00275
OG0000510	MHP168L_RS00275	NB623_RS00285
OG0000511	MHP168L_RS00410	NB623_RS00420
OG0000512	MHP168L_RS02585	NB623_RS02715
OG0000514	MHP168L_RS02890	NB623_RS03025
OG0000516	MHP168L_RS02100	NB623_RS02090
OG0000517	MHP168L_RS00065	NB623_RS00065
OG0000519	MHP168L_RS00880	NB623_RS00795
OG0000520	MHP168L_RS00750	NB623_RS00920
OG0000522	MHP168L_RS00280	NB623_RS00290
OG0000523	MHP168L_RS03350	NB623_RS03540
OG0000524	MHP168L_RS02705	NB623_RS02840
OG0000525	MHP168L_RS03320	NB623_RS03505
OG0000526	MHP168L_RS03980	NB623_RS02260
OG0000527	MHP168L_RS03975	NB623_RS02315
OG0000528	MHP168L_RS02105	NB623_RS02080
