Orthogroup	MHP_1257_proteins	MHP_ES2_proteins
OG0000065	WP_225972975.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_348571959.1	WP_135618544.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_135619002.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_135619103.1
OG0000072	WP_348571849.1	WP_135619105.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_348571983.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_135618517.1
OG0000076	WP_146379475.1	WP_135618521.1
OG0000077	WP_014579581.1	WP_135618533.1
OG0000078	WP_348572093.1	WP_135618771.1
OG0000079	WP_146379663.1	WP_135618951.1
OG0000080	WP_011206314.1	WP_179695988.1
OG0000081	WP_348571946.1	WP_135618515.1
OG0000082	WP_348571719.1	WP_240536332.1
OG0000083	WP_160590043.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_348571632.1	WP_135618860.1
OG0000087	WP_011206228.1	WP_044272477.1
OG0000088	WP_146379590.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_044278048.1
OG0000091	WP_011205850.1	WP_011205850.1
OG0000092	WP_348572163.1	WP_011205847.1
OG0000093	WP_348571911.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_348571902.1	WP_135619172.1
OG0000098	WP_348571899.1	WP_135619170.1
OG0000099	WP_348571889.1	WP_135619164.1
OG0000100	WP_160585575.1	WP_135619158.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_020835678.1	WP_135619192.1
OG0000103	WP_348571656.1	WP_135618876.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_135618882.1
OG0000106	WP_146379631.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_348571653.1	WP_014579826.1
OG0000110	WP_348571715.1	WP_135618926.1
OG0000111	WP_348571713.1	WP_240536331.1
OG0000112	WP_348571709.1	WP_240536330.1
OG0000113	WP_348571700.1	WP_011206268.1
OG0000114	WP_348571697.1	WP_225972979.1
OG0000115	WP_348571692.1	WP_011206264.1
OG0000116	WP_348572051.1	WP_135618674.1
OG0000117	WP_348572053.1	WP_135618676.1
OG0000118	WP_348572057.1	WP_228729171.1
OG0000119	WP_160585678.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_135618690.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_011205950.1
OG0000127	WP_011290122.1	WP_135618701.1
OG0000128	WP_348572065.1	WP_135618707.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_348572069.1	WP_135618710.1
OG0000132	WP_348572073.1	WP_135618714.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_308704690.1	WP_233688635.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_135618546.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_348571999.1	WP_135618563.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160584795.1	WP_011206101.1
OG0000141	WP_348571817.1	WP_011284290.1
OG0000142	WP_348571815.1	WP_135619030.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_348571809.1	WP_135619022.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_135619018.1
OG0000148	WP_135619012.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_160584978.1	WP_135619006.1
OG0000151	WP_020835828.1	WP_135618994.1
OG0000152	WP_020835827.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_135618992.1
OG0000154	WP_011206345.1	WP_094521730.1
OG0000155	WP_020835820.1	WP_135618984.1
OG0000156	WP_348571792.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_014579918.1
OG0000158	WP_348571790.1	WP_135618980.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_348571739.1	WP_011284209.1
OG0000161	WP_348571736.1	WP_011206287.1
OG0000162	WP_348572151.1	WP_135619210.1
OG0000163	WP_348571730.1	WP_135618936.1
OG0000164	WP_348572081.1	WP_135618732.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160590029.1	WP_135618840.1
OG0000167	WP_011206207.1	WP_135618846.1
OG0000168	WP_135618848.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_011206420.1
OG0000171	WP_011290367.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_348571830.1	WP_135619059.1
OG0000174	WP_160600929.1	WP_011290369.1
OG0000175	WP_160585645.1	WP_135619064.1
OG0000176	WP_160607777.1	WP_135619075.1
OG0000177	WP_160585273.1	WP_135619077.1
OG0000178	WP_020835878.1	WP_011206441.1
OG0000179	WP_020835880.1	WP_011206444.1
OG0000180	WP_081642895.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_135619094.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_348571845.1	WP_135619099.1
OG0000184	WP_160585238.1	WP_135619119.1
OG0000185	WP_020835897.1	WP_135619116.1
OG0000186	WP_348572074.1	WP_135618718.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_348571642.1	WP_135618893.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_348571650.1	WP_135619204.1
OG0000192	WP_348572133.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_014579644.1	WP_014579644.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011206073.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_348571987.1	WP_011206071.1
OG0000205	WP_160585610.1	WP_135618583.1
OG0000206	WP_011290044.1	WP_135618589.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_135618610.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_011283965.1
OG0000217	WP_011206044.1	WP_135618612.1
OG0000218	WP_011290058.1	WP_011206042.1
OG0000219	WP_348571970.1	WP_228729170.1
OG0000220	WP_020835592.1	WP_135618616.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_050195484.1	WP_135618620.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011290064.1
OG0000228	WP_160608021.1	WP_135618622.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_348572008.1	WP_011290071.1
OG0000234	WP_348572012.1	WP_135618635.1
OG0000235	WP_348572016.1	WP_135618637.1
OG0000236	WP_011283989.1	WP_135618639.1
OG0000237	WP_348572018.1	WP_135618641.1
OG0000238	WP_348572020.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_135619034.1
OG0000241	WP_160585231.1	WP_135619036.1
OG0000242	WP_348571822.1	WP_135619038.1
OG0000243	WP_348571824.1	WP_011290352.1
OG0000244	WP_041361690.1	WP_011206406.1
OG0000245	WP_011206408.1	WP_135619044.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_348571925.1	WP_135618468.1
OG0000248	WP_052259122.1	WP_052259122.1
OG0000249	WP_348571927.1	WP_135618470.1
OG0000250	WP_160584772.1	WP_135618476.1
OG0000251	WP_318023737.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_135618489.1
OG0000254	WP_348571935.1	WP_020835510.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_135618501.1
OG0000258	WP_011289974.1	WP_135618503.1
OG0000259	WP_348571940.1	WP_020835520.1
OG0000260	WP_094521550.1	WP_135618509.1
OG0000261	WP_348571945.1	WP_135618513.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_160585532.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_179695949.1	WP_135618527.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_014579577.1
OG0000268	WP_011283894.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_014579579.1
OG0000270	WP_348571879.1	WP_011206505.1
OG0000271	WP_348571877.1	WP_135619152.1
OG0000272	WP_011284373.1	WP_011206503.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_160590207.1	WP_135619148.1
OG0000275	WP_228366117.1	WP_238374142.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_135619144.1
OG0000279	WP_011290418.1	WP_014580014.1
OG0000280	WP_094521520.1	WP_135619140.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_348571870.1	WP_240536356.1
OG0000283	WP_014580009.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_011290413.1
OG0000286	WP_348571727.1	WP_135618934.1
OG0000287	WP_011206297.1	WP_135618946.1
OG0000288	WP_348571747.1	WP_011284218.1
OG0000289	WP_348571749.1	WP_020835793.1
OG0000290	WP_014579908.1	WP_135618967.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_011206319.1
OG0000293	WP_348571776.1	WP_135618964.1
OG0000294	WP_348571770.1	WP_135618960.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_348571761.1	WP_041361673.1
OG0000297	WP_348571759.1	WP_020835798.1
OG0000298	WP_160606533.1	WP_135618474.1
OG0000299	WP_135618482.1	WP_135618482.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_011206118.1
OG0000304	WP_220190741.1	WP_011283978.1
OG0000305	WP_348571807.1	WP_135619020.1
OG0000306	WP_348571801.1	WP_135618998.1
OG0000307	WP_348571795.1	WP_135618990.1
OG0000308	WP_044284683.1	WP_020835811.1
OG0000309	WP_146379668.1	WP_135618958.1
OG0000310	WP_011206298.1	WP_135618948.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_348571741.1	WP_014579882.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_348572130.1	WP_135618838.1
OG0000315	WP_011290197.1	WP_135618850.1
OG0000316	WP_348571614.1	WP_014579818.1
OG0000317	WP_146379589.1	WP_135618864.1
OG0000318	WP_348571617.1	WP_240536307.1
OG0000319	WP_135618880.1	WP_135618880.1
OG0000320	WP_348571706.1	WP_135618919.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_348572071.1	WP_135618712.1
OG0000324	WP_094521693.1	WP_135618886.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_348571989.1	WP_135618577.1
OG0000327	WP_011206076.1	WP_135618579.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_348571982.1	WP_135618597.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_135619040.1
OG0000332	WP_011290372.1	WP_135619068.1
OG0000333	WP_011206433.1	WP_135619072.1
OG0000334	WP_020835889.1	WP_135619225.1
OG0000335	WP_348571841.1	WP_135619096.1
OG0000336	WP_011206488.1	WP_135619138.1
OG0000337	WP_050195472.1	WP_050195472.1
OG0000338	WP_014580051.1	WP_011284394.1
OG0000339	WP_348571695.1	WP_135618913.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_135618892.1
OG0000342	WP_348571995.1	WP_135618571.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_348571964.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_014580011.1
OG0000347	WP_011205955.1	WP_135618695.1
OG0000348	WP_225973015.1	WP_240536364.1
OG0000349	WP_348571875.1	WP_135619151.1
OG0000350	WP_160608078.1	WP_044284839.1
OG0000351	WP_348571953.1	WP_240536362.1
OG0000352	WP_160585020.1	WP_135618830.1
OG0000353	WP_160607804.1	WP_135618688.1
OG0000354	WP_348571997.1	WP_233417361.1
OG0000355	WP_020835708.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_240536306.1
OG0000357	WP_348571833.1	WP_240536352.1
OG0000358	WP_348571835.1	WP_135619062.1
OG0000359	WP_348571992.1	WP_240536363.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_348571938.1	WP_011289979.1
OG0000362	WP_160600961.1	WP_094521719.1
OG0000363	WP_348572138.1	WP_276310470.1
OG0000364	WP_348572126.1	WP_135618822.1
OG0000365	WP_348571628.1	WP_135618854.1
OG0000366	WP_011206224.1	WP_135618858.1
OG0000367	WP_044272474.1	WP_220190703.1
OG0000368	WP_348571915.1	WP_135618446.1
OG0000369	WP_011289930.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_135618444.1
OG0000371	WP_348571909.1	WP_135618442.1
OG0000372	WP_348571907.1	WP_135618439.1
OG0000373	WP_348571904.1	WP_135619174.1
OG0000374	WP_348571901.1	WP_014580047.1
OG0000375	WP_135618878.1	WP_135618878.1
OG0000376	WP_348571711.1	WP_011206273.1
OG0000377	WP_160606733.1	WP_135618921.1
OG0000378	WP_348572050.1	WP_135618672.1
OG0000379	WP_348572059.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_135618693.1
OG0000381	WP_348572061.1	WP_135618699.1
OG0000382	WP_348572067.1	WP_135618709.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_014579586.1
OG0000385	WP_348571958.1	WP_135618542.1
OG0000386	WP_348572169.1	WP_011206121.1
OG0000387	WP_348571961.1	WP_135618548.1
OG0000388	WP_348571963.1	WP_135618550.1
OG0000389	WP_011290013.1	WP_135618561.1
OG0000390	WP_160584967.1	WP_135619024.1
OG0000391	WP_044284693.1	WP_240536347.1
OG0000392	WP_160607852.1	WP_135619016.1
OG0000393	WP_348571802.1	WP_135619000.1
OG0000394	WP_011290313.1	WP_011290313.1
OG0000395	WP_348571794.1	WP_135618986.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_020835709.1	WP_011290187.1
OG0000399	WP_348571612.1	WP_135618843.1
OG0000400	WP_044272610.1	WP_135619057.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_020835872.1	WP_135619073.1
OG0000403	WP_220200714.1	WP_187145658.1
OG0000404	WP_348571837.1	WP_135619079.1
OG0000405	WP_348571838.1	WP_135619081.1
OG0000406	WP_348572160.1	WP_135619227.1
OG0000407	WP_348571843.1	WP_135619098.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_011290400.1	WP_011290400.1
OG0000412	WP_146379741.1	WP_135619118.1
OG0000413	WP_243216061.1	WP_135618716.1
OG0000414	WP_348572075.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_135618720.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_348571645.1	WP_135618890.1
OG0000418	WP_348571647.1	WP_240536314.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_135618575.1
OG0000423	WP_135618585.1	WP_135618585.1
OG0000424	WP_348571985.1	WP_135618587.1
OG0000425	WP_011206065.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_348571979.1	WP_135618601.1
OG0000429	WP_011206036.1	WP_135618618.1
OG0000430	WP_348571968.1	WP_014579604.1
OG0000431	WP_146379524.1	WP_011290067.1
OG0000432	WP_348572010.1	WP_135618631.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_020835607.1
OG0000435	WP_348572014.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_014579672.1
OG0000438	WP_348572022.1	WP_135618644.1
OG0000439	WP_020835619.1	WP_020835619.1
OG0000440	WP_160588325.1	WP_020835852.1
OG0000441	WP_011284299.1	WP_135619046.1
OG0000442	WP_160607726.1	WP_135618466.1
OG0000443	WP_044272282.1	WP_135618480.1
OG0000444	WP_348571931.1	WP_011205880.1
OG0000445	WP_348571933.1	WP_135618491.1
OG0000446	WP_146379467.1	WP_135618497.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_011289976.1	WP_011289976.1
OG0000449	WP_348571941.1	WP_135618507.1
OG0000450	WP_348571943.1	WP_135618511.1
OG0000451	WP_011205913.1	WP_135618523.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_348571949.1	WP_135618531.1
OG0000454	WP_348572077.1	WP_135618759.1, WP_135618904.1
OG0000455	WP_348571882.1	WP_135619156.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_348571868.1	WP_135619136.1
OG0000458	WP_179695977.1	WP_135618944.1
OG0000459	WP_348571752.1	WP_011206301.1
OG0000460	WP_348571755.1	WP_011206303.1
OG0000461	WP_348571769.1	WP_135618956.1
OG0000462	WP_348571766.1	WP_011284228.1
OG0000463	WP_135618955.1	WP_135618955.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_348571763.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_348571786.1	WP_135618974.1
OG0000468	WP_348571610.1	WP_135618841.1
OG0000469	WP_348571626.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_348571977.1	WP_135618603.1
OG0000472	WP_348571858.1	WP_135619124.1
OG0000473	WP_044272671.1	WP_011206506.1
OG0000474	WP_348571881.1	WP_011284377.1
OG0000475	WP_160584892.1	WP_135619154.1
OG0000476	WP_014579742.1	WP_135618722.1
OG0000477	WP_348571773.1	WP_135618962.1
OG0000478	WP_146379753.1	WP_135619146.1
OG0000479	WP_348572056.1	WP_135618682.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_228729169.1
OG0000482	WP_348572032.1	WP_014579695.1
OG0000483	WP_348571634.1	WP_011206227.1
OG0000484	WP_348571929.1	WP_225973007.1
OG0000485	WP_011206004.1	WP_135618643.1
OG0000486	WP_160588293.1	WP_135618895.1
OG0000487	WP_348571619.1	WP_220200502.1
OG0000488	WP_348571630.1	WP_135618856.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_160606487.1	WP_011206527.1
OG0000491	WP_348572058.1	WP_011205966.1
OG0000492	WP_348572060.1	WP_135618697.1
OG0000493	WP_348571965.1	WP_135618552.1
OG0000494	WP_020835567.1	WP_052259108.1
OG0000495	WP_160607844.1	WP_135619008.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_348571803.1	WP_135619004.1
OG0000500	WP_348572127.1	WP_135618828.1
OG0000501	WP_220190663.1	WP_318026019.1, WP_318026018.1
OG0000502	WP_348572030.1	WP_135618652.1
OG0000503	WP_348571993.1	WP_020835576.1
OG0000504	WP_146379513.1	WP_135618595.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000508	WP_020835512.1	WP_135618495.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_348571757.1	WP_135618950.1
OG0000513	WP_348571873.1	WP_135619142.1
OG0000514	WP_348571805.1	WP_135619014.1
OG0000516	WP_348571621.1	WP_240536308.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_044272613.1	WP_135619066.1
OG0000519	WP_020835579.1	WP_135618573.1
OG0000520	WP_348571981.1	WP_135618599.1
OG0000521	WP_348571936.1	WP_135618499.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_348571866.1	WP_240536355.1
OG0000525	WP_011290405.1	WP_135619126.1
OG0000526	WP_348572119.1	WP_240536396.1
OG0000527	WP_225972972.1	WP_240536391.1
OG0000528	WP_348571624.1	WP_135618852.1
OG0000529	WP_014579831.1	WP_011206243.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_348572085.1	WP_135618761.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_348571947.1	WP_135618525.1
OG0000535	WP_348571913.1	WP_011205848.1
OG0000536	WP_348571891.1	WP_135619166.1
OG0000537	WP_011290028.1	WP_011206089.1
OG0000538	WP_020835608.1	WP_135618633.1
OG0000539	WP_160585545.1	WP_135618487.1
OG0000540	WP_348571778.1	WP_135618965.1
OG0000541	WP_348572155.1	WP_135618982.1
OG0000544	WP_348572038.1	WP_240536368.1
OG0000545	WP_348572116.1	WP_014579790.1
OG0000546	WP_348571799.1	WP_240536343.1
OG0000547	WP_348571811.1	WP_135619028.1
OG0000548	WP_347952439.1	WP_135618730.1
OG0000549	WP_348571855.1	WP_135619122.1
OG0000550	WP_220191147.1	WP_228729166.1
OG0000552	WP_348572158.1	WP_094521504.1
OG0000553	WP_348571788.1	WP_135618976.1
OG0000554	WP_348571717.1	WP_135618928.1
