Orthogroup	MHP_111A_genes	MHP_Ue273_genes
OG0000104	NB623_RS02360	VQY17_RS02225
OG0000105	NB623_RS02380	VQY17_RS02240
OG0000106	NB623_RS02385	VQY17_RS02250
OG0000107	NB623_RS02395	VQY17_RS02260
OG0000108	NB623_RS02400	VQY17_RS02265
OG0000109	NB623_RS02405	VQY17_RS02270
OG0000110	NB623_RS02525	VQY17_RS02390
OG0000111	NB623_RS02520	VQY17_RS02385
OG0000112	NB623_RS02510	VQY17_RS02375
OG0000113	NB623_RS02490	VQY17_RS02355
OG0000114	NB623_RS02485	VQY17_RS02345
OG0000115	NB623_RS02470	VQY17_RS02335
OG0000116	NB623_RS01415	VQY17_RS01315
OG0000117	NB623_RS01420	VQY17_RS01320
OG0000118	NB623_RS01455	VQY17_RS01355
OG0000119	NB623_RS01465	VQY17_RS01360
OG0000120	NB623_RS01475	VQY17_RS01375
OG0000121	NB623_RS01505	VQY17_RS01405
OG0000122	NB623_RS01510	VQY17_RS01410
OG0000123	NB623_RS01530	VQY17_RS01430
OG0000124	NB623_RS01535	VQY17_RS01435
OG0000125	NB623_RS01545	VQY17_RS01440
OG0000126	NB623_RS01550	VQY17_RS01455
OG0000127	NB623_RS01560	VQY17_RS01460
OG0000128	NB623_RS01575	VQY17_RS01475
OG0000129	NB623_RS01580	VQY17_RS01480
OG0000130	NB623_RS01590	VQY17_RS01490
OG0000131	NB623_RS01620	VQY17_RS01520
OG0000132	NB623_RS01635	VQY17_RS01535
OG0000133	NB623_RS00525	VQY17_RS00530
OG0000134	NB623_RS00530	VQY17_RS00535
OG0000135	NB623_RS00545	VQY17_RS00550
OG0000136	NB623_RS00550	VQY17_RS00555
OG0000137	NB623_RS00590	VQY17_RS00595
OG0000138	NB623_RS00615	VQY17_RS00620
OG0000139	NB623_RS00645	VQY17_RS00650
OG0000140	NB623_RS00650	VQY17_RS00655
OG0000141	NB623_RS03095	VQY17_RS02915
OG0000142	NB623_RS03090	VQY17_RS02910
OG0000143	NB623_RS03075	VQY17_RS02885
OG0000144	NB623_RS03060	VQY17_RS02875
OG0000145	NB623_RS03050	VQY17_RS02865
OG0000146	NB623_RS03040	VQY17_RS02855
OG0000147	NB623_RS03035	VQY17_RS02850
OG0000148	NB623_RS03020	VQY17_RS02835
OG0000149	NB623_RS03010	VQY17_RS02825
OG0000150	NB623_RS02995	VQY17_RS02810
OG0000151	NB623_RS02945	VQY17_RS02760
OG0000152	NB623_RS02940	VQY17_RS02755
OG0000153	NB623_RS02935	VQY17_RS02750
OG0000154	NB623_RS02925	VQY17_RS02740
OG0000155	NB623_RS02885	VQY17_RS02705
OG0000156	NB623_RS02875	VQY17_RS02695
OG0000157	NB623_RS02870	VQY17_RS02690
OG0000158	NB623_RS02860	VQY17_RS02680
OG0000159	NB623_RS02615	VQY17_RS02460
OG0000160	NB623_RS02610	VQY17_RS02455
OG0000161	NB623_RS02605	VQY17_RS02450
OG0000162	NB623_RS02595	VQY17_RS02440
OG0000163	NB623_RS02590	VQY17_RS02435
OG0000164	NB623_RS01725	VQY17_RS01640
OG0000165	NB623_RS02155	VQY17_RS02015
OG0000166	NB623_RS02135	VQY17_RS02035
OG0000167	NB623_RS02120	VQY17_RS02050
OG0000168	NB623_RS02115	VQY17_RS02055
OG0000169	NB623_RS03200	VQY17_RS03035
OG0000170	NB623_RS03215	VQY17_RS03050
OG0000171	NB623_RS03225	VQY17_RS03060
OG0000172	NB623_RS03230	VQY17_RS03065
OG0000173	NB623_RS03235	VQY17_RS03070
OG0000174	NB623_RS03240	VQY17_RS03075
OG0000175	NB623_RS03265	VQY17_RS03090
OG0000176	NB623_RS03310	VQY17_RS03135
OG0000177	NB623_RS03315	VQY17_RS03140
OG0000178	NB623_RS03320	VQY17_RS03145
OG0000179	NB623_RS03330	VQY17_RS03155
OG0000180	NB623_RS03335	VQY17_RS03160
OG0000181	NB623_RS03375	VQY17_RS03210
OG0000182	NB623_RS03385	VQY17_RS03220
OG0000183	NB623_RS03420	VQY17_RS03255
OG0000184	NB623_RS03485	VQY17_RS03305
OG0000185	NB623_RS03475	VQY17_RS03290
OG0000186	NB623_RS01645	VQY17_RS01545
OG0000187	NB623_RS01660	VQY17_RS01560
OG0000188	NB623_RS01670	VQY17_RS01570
OG0000189	NB623_RS02445	VQY17_RS02305
OG0000190	NB623_RS02440	VQY17_RS02300
OG0000191	NB623_RS02415	VQY17_RS02280
OG0000192	NB623_RS01340	VQY17_RS01240
OG0000193	NB623_RS01325	VQY17_RS01230
OG0000194	NB623_RS00690	VQY17_RS00690
OG0000195	NB623_RS00695	VQY17_RS00695
OG0000196	NB623_RS00720	VQY17_RS00715
OG0000197	NB623_RS00730	VQY17_RS00720
OG0000198	NB623_RS00740	VQY17_RS00735
OG0000199	NB623_RS00745	VQY17_RS00740
OG0000200	NB623_RS00760	VQY17_RS00755
OG0000201	NB623_RS00770	VQY17_RS00765
OG0000202	NB623_RS00830	VQY17_RS00825
OG0000203	NB623_RS00835	VQY17_RS00830
OG0000204	NB623_RS00840	VQY17_RS00835
OG0000205	NB623_RS00845	VQY17_RS00840
OG0000206	NB623_RS00865	VQY17_RS00860
OG0000207	NB623_RS00880	VQY17_RS00875
OG0000208	NB623_RS00885	VQY17_RS00880
OG0000209	NB623_RS00890	VQY17_RS00885
OG0000210	NB623_RS00935	VQY17_RS00935
OG0000211	NB623_RS01070	VQY17_RS00970
OG0000212	NB623_RS01080	VQY17_RS00980
OG0000213	NB623_RS01085	VQY17_RS00985
OG0000214	NB623_RS01090	VQY17_RS00990
OG0000215	NB623_RS01095	VQY17_RS00995
OG0000216	NB623_RS01100	VQY17_RS01000
OG0000217	NB623_RS01105	VQY17_RS01005
OG0000218	NB623_RS01115	VQY17_RS01015
OG0000219	NB623_RS01120	VQY17_RS01020
OG0000220	NB623_RS01125	VQY17_RS01025
OG0000221	NB623_RS01130	VQY17_RS01030
OG0000222	NB623_RS01135	VQY17_RS01035
OG0000223	NB623_RS01140	VQY17_RS01040
OG0000224	NB623_RS01150	VQY17_RS01050
OG0000225	NB623_RS01160	VQY17_RS01060
OG0000226	NB623_RS01165	VQY17_RS01065
OG0000227	NB623_RS01170	VQY17_RS01070
OG0000228	NB623_RS01175	VQY17_RS01075
OG0000229	NB623_RS01180	VQY17_RS01080
OG0000230	NB623_RS01185	VQY17_RS01085
OG0000231	NB623_RS01195	VQY17_RS01095
OG0000232	NB623_RS01205	VQY17_RS01105
OG0000233	NB623_RS01225	VQY17_RS01125
OG0000234	NB623_RS01260	VQY17_RS01165
OG0000235	NB623_RS01270	VQY17_RS01175
OG0000236	NB623_RS01275	VQY17_RS01180
OG0000237	NB623_RS01280	VQY17_RS01185
OG0000238	NB623_RS01285	VQY17_RS01190
OG0000239	NB623_RS03105	VQY17_RS02930
OG0000240	NB623_RS03110	VQY17_RS02935
OG0000241	NB623_RS03120	VQY17_RS02945
OG0000242	NB623_RS03125	VQY17_RS02950
OG0000243	NB623_RS03130	VQY17_RS02955
OG0000244	NB623_RS03140	VQY17_RS02965
OG0000245	NB623_RS03145	VQY17_RS02970
OG0000246	NB623_RS00130	VQY17_RS00140
OG0000247	NB623_RS00140	VQY17_RS00150
OG0000248	NB623_RS00150	VQY17_RS00160
OG0000249	NB623_RS00155	VQY17_RS00165
OG0000250	NB623_RS00175	VQY17_RS00180
OG0000251	NB623_RS00205	VQY17_RS00210
OG0000252	NB623_RS00210	VQY17_RS00220
OG0000253	NB623_RS00215	VQY17_RS00225
OG0000254	NB623_RS00225	VQY17_RS00235
OG0000255	NB623_RS00230	VQY17_RS00245
OG0000256	NB623_RS00240	VQY17_RS00250
OG0000257	NB623_RS00260	VQY17_RS00275
OG0000258	NB623_RS00270	VQY17_RS00285
OG0000259	NB623_RS00300	VQY17_RS00315
OG0000260	NB623_RS00310	VQY17_RS00325
OG0000261	NB623_RS00320	VQY17_RS00335
OG0000262	NB623_RS00340	VQY17_RS00350
OG0000263	NB623_RS00350	VQY17_RS00365
OG0000264	NB623_RS00365	VQY17_RS00380
OG0000265	NB623_RS00375	VQY17_RS00390
OG0000266	NB623_RS00390	VQY17_RS00405
OG0000267	NB623_RS00405	VQY17_RS00420
OG0000268	NB623_RS00410	VQY17_RS00425
OG0000269	NB623_RS00425	VQY17_RS00440
OG0000270	NB623_RS03685	VQY17_RS03495
OG0000271	NB623_RS03675	VQY17_RS03490
OG0000272	NB623_RS03670	VQY17_RS03485
OG0000273	NB623_RS03665	VQY17_RS03480
OG0000274	NB623_RS03650	VQY17_RS03460
OG0000275	NB623_RS03640	VQY17_RS03455
OG0000276	NB623_RS03635	VQY17_RS03450
OG0000277	NB623_RS03625	VQY17_RS03435
OG0000278	NB623_RS03620	VQY17_RS03430
OG0000279	NB623_RS03615	VQY17_RS03420
OG0000280	NB623_RS03605	VQY17_RS03415
OG0000281	NB623_RS03600	VQY17_RS03410
OG0000282	NB623_RS03570	VQY17_RS03380
OG0000283	NB623_RS03565	VQY17_RS03375
OG0000284	NB623_RS03560	VQY17_RS03370
OG0000285	NB623_RS03555	VQY17_RS03365
OG0000286	NB623_RS02575	VQY17_RS02420
OG0000287	NB623_RS02675	VQY17_RS02510
OG0000288	NB623_RS02685	VQY17_RS02520
OG0000289	NB623_RS02690	VQY17_RS02525
OG0000290	NB623_RS02810	VQY17_RS02635
OG0000291	NB623_RS02800	VQY17_RS02625
OG0000292	NB623_RS02795	VQY17_RS02620
OG0000293	NB623_RS02790	VQY17_RS02615
OG0000294	NB623_RS02780	VQY17_RS02605
OG0000295	NB623_RS02775	VQY17_RS02600
OG0000296	NB623_RS02730	VQY17_RS02560
OG0000297	NB623_RS02725	VQY17_RS02555
OG0000298	NB623_RS00165	VQY17_RS00175
OG0000299	NB623_RS00185	VQY17_RS00195
OG0000300	NB623_RS00360	VQY17_RS00375
OG0000301	NB623_RS00395	VQY17_RS00410
OG0000302	NB623_RS00400	VQY17_RS00415
OG0000303	NB623_RS00555	VQY17_RS00560
OG0000304	NB623_RS01210	VQY17_RS01110
OG0000305	NB623_RS03045	VQY17_RS02860
OG0000306	NB623_RS02970	VQY17_RS02785
OG0000307	NB623_RS02930	VQY17_RS02745
OG0000308	NB623_RS02835	VQY17_RS02655
OG0000309	NB623_RS02765	VQY17_RS02590
OG0000310	NB623_RS02680	VQY17_RS02515
OG0000311	NB623_RS02635	VQY17_RS02480
OG0000312	NB623_RS02620	VQY17_RS02465
OG0000313	NB623_RS01715	VQY17_RS01630
OG0000314	NB623_RS02140	VQY17_RS02030
OG0000315	NB623_RS02110	VQY17_RS02060
OG0000316	NB623_RS02100	VQY17_RS02070
OG0000317	NB623_RS02005	VQY17_RS02170
OG0000318	NB623_RS02095	VQY17_RS02075
OG0000319	NB623_RS02370	VQY17_RS02235
OG0000320	NB623_RS02500	VQY17_RS02365
OG0000321	NB623_RS01450	VQY17_RS01350
OG0000322	NB623_RS01500	VQY17_RS01400
OG0000323	NB623_RS01630	VQY17_RS01530
OG0000324	NB623_RS02410	VQY17_RS02275
OG0000325	NB623_RS00705	VQY17_RS00700
OG0000326	NB623_RS00805	VQY17_RS00800
OG0000327	NB623_RS00810	VQY17_RS00805
OG0000328	NB623_RS00895	VQY17_RS00890
OG0000329	NB623_RS00915	VQY17_RS00915
OG0000330	NB623_RS01235	VQY17_RS01135
OG0000331	NB623_RS03135	VQY17_RS02960
OG0000332	NB623_RS03270	VQY17_RS03100
OG0000333	NB623_RS03280	VQY17_RS03110
OG0000334	NB623_RS03380	VQY17_RS03215
OG0000335	NB623_RS03390	VQY17_RS03225
OG0000336	NB623_RS03590	VQY17_RS03400
OG0000337	NB623_RS03765	VQY17_RS03575
OG0000338	NB623_RS03805	VQY17_RS03615
OG0000339	NB623_RS02475	VQY17_RS02340
OG0000340	NB623_RS01430	VQY17_RS01330
OG0000341	NB623_RS02435	VQY17_RS02295
OG0000342	NB623_RS00735	VQY17_RS00730
OG0000343	NB623_RS03290	VQY17_RS03120
OG0000344	NB623_RS00570	VQY17_RS00575
OG0000345	NB623_RS01155	VQY17_RS01055
OG0000346	NB623_RS03595	VQY17_RS03405
OG0000347	NB623_RS01525	VQY17_RS01425
OG0000348	NB623_RS00815	VQY17_RS00810
OG0000349	NB623_RS03655	VQY17_RS03470
OG0000350	NB623_RS02920	VQY17_RS02735
OG0000351	NB623_RS00480	VQY17_RS00495
OG0000352	NB623_RS02160	VQY17_RS02010
OG0000353	NB623_RS01490	VQY17_RS01390
OG0000354	NB623_RS00630	VQY17_RS00635
OG0000355	NB623_RS02185	VQY17_RS01985
OG0000356	NB623_RS02105	VQY17_RS02065
OG0000357	NB623_RS03245	VQY17_RS03080
OG0000358	NB623_RS03250	VQY17_RS03085
OG0000359	NB623_RS00780	VQY17_RS00780
OG0000360	NB623_RS00265	VQY17_RS00280
OG0000361	NB623_RS00295	VQY17_RS00310
OG0000362	NB623_RS02705	VQY17_RS02535
OG0000363	NB623_RS01565	VQY17_RS01465
OG0000364	NB623_RS02210	VQY17_RS01955
OG0000365	NB623_RS02060	VQY17_RS02110
OG0000366	NB623_RS02035	VQY17_RS02140
OG0000367	NB623_RS02025	VQY17_RS02150
OG0000368	NB623_RS00060	VQY17_RS00060
OG0000369	NB623_RS00025	VQY17_RS00025
OG0000370	NB623_RS00020	VQY17_RS00020
OG0000371	NB623_RS00015	VQY17_RS00015
OG0000372	NB623_RS00010	VQY17_RS00010
OG0000373	NB623_RS03795	VQY17_RS03605
OG0000374	NB623_RS03785	VQY17_RS03595
OG0000375	NB623_RS02365	VQY17_RS02230
OG0000376	NB623_RS02515	VQY17_RS02380
OG0000377	NB623_RS02505	VQY17_RS02370
OG0000378	NB623_RS01410	VQY17_RS01310
OG0000379	NB623_RS01485	VQY17_RS01385
OG0000380	NB623_RS01515	VQY17_RS01415
OG0000382	NB623_RS01585	VQY17_RS01485
OG0000383	NB623_RS01625	VQY17_RS01525
OG0000384	NB623_RS00510	VQY17_RS00515
OG0000385	NB623_RS00520	VQY17_RS00520
OG0000386	NB623_RS00535	VQY17_RS00540
OG0000387	NB623_RS00560	VQY17_RS00565
OG0000388	NB623_RS00565	VQY17_RS00570
OG0000389	NB623_RS00610	VQY17_RS00615
OG0000390	NB623_RS03065	VQY17_RS02880
OG0000391	NB623_RS03055	VQY17_RS02870
OG0000392	NB623_RS03030	VQY17_RS02845
OG0000393	NB623_RS02975	VQY17_RS02790
OG0000394	NB623_RS02895	VQY17_RS02715
OG0000395	NB623_RS02890	VQY17_RS02710
OG0000396	NB623_RS02580	VQY17_RS02425
OG0000397	NB623_RS02175	VQY17_RS01995
OG0000398	NB623_RS02170	VQY17_RS02000
OG0000399	NB623_RS02125	VQY17_RS02045
OG0000400	NB623_RS03210	VQY17_RS03045
OG0000401	NB623_RS03275	VQY17_RS03105
OG0000402	NB623_RS03285	VQY17_RS03115
OG0000403	NB623_RS03295	VQY17_RS03125
OG0000404	NB623_RS03325	VQY17_RS03150
OG0000405	NB623_RS03340	VQY17_RS03165
OG0000406	NB623_RS03395	VQY17_RS03230
OG0000407	NB623_RS03400	VQY17_RS03235
OG0000408	NB623_RS03405	VQY17_RS03240
OG0000409	NB623_RS03410	VQY17_RS03245
OG0000410	NB623_RS03495	VQY17_RS03310
OG0000411	NB623_RS03480	VQY17_RS03300
OG0000413	NB623_RS01640	VQY17_RS01540
OG0000414	NB623_RS01650	VQY17_RS01550
OG0000415	NB623_RS01655	VQY17_RS01555
OG0000416	NB623_RS01665	VQY17_RS01565
OG0000417	NB623_RS02430	VQY17_RS02290
OG0000418	NB623_RS02420	VQY17_RS02285
OG0000419	NB623_RS00715	VQY17_RS00710
OG0000420	NB623_RS00750	VQY17_RS00745
OG0000421	NB623_RS00790	VQY17_RS00785
OG0000422	NB623_RS00800	VQY17_RS00795
OG0000423	NB623_RS00855	VQY17_RS00850
OG0000424	NB623_RS00860	VQY17_RS00855
OG0000425	NB623_RS00870	VQY17_RS00865
OG0000426	NB623_RS00875	VQY17_RS00870
OG0000427	NB623_RS00900	VQY17_RS00900
OG0000428	NB623_RS00925	VQY17_RS00925
OG0000429	NB623_RS01145	VQY17_RS01045
OG0000430	NB623_RS01190	VQY17_RS01090
OG0000431	NB623_RS01200	VQY17_RS01100
OG0000432	NB623_RS01230	VQY17_RS01130
OG0000433	NB623_RS01245	VQY17_RS01145
OG0000434	NB623_RS01255	VQY17_RS01150
OG0000435	NB623_RS01265	VQY17_RS01170
OG0000436	NB623_RS01290	VQY17_RS01195
OG0000438	NB623_RS01305	VQY17_RS01210
OG0000439	NB623_RS01310	VQY17_RS01215
OG0000440	NB623_RS03115	VQY17_RS02940
OG0000441	NB623_RS03150	VQY17_RS02975
OG0000442	NB623_RS00135	VQY17_RS00145
OG0000443	NB623_RS00180	VQY17_RS00190
OG0000444	NB623_RS00195	VQY17_RS00205
OG0000445	NB623_RS00220	VQY17_RS00230
OG0000446	NB623_RS00245	VQY17_RS00260
OG0000447	NB623_RS00255	VQY17_RS00265
OG0000448	NB623_RS00280	VQY17_RS00295
OG0000449	NB623_RS00305	VQY17_RS00320
OG0000450	NB623_RS00315	VQY17_RS00330
OG0000451	NB623_RS00355	VQY17_RS00370
OG0000452	NB623_RS00380	VQY17_RS00395
OG0000453	NB623_RS00415	VQY17_RS00430
OG0000455	NB623_RS03705	VQY17_RS03515
OG0000456	NB623_RS03580	VQY17_RS03390
OG0000458	NB623_RS02670	VQY17_RS02505
OG0000459	NB623_RS02700	VQY17_RS02530
OG0000460	NB623_RS02710	VQY17_RS02540
OG0000461	NB623_RS02755	VQY17_RS02585
OG0000462	NB623_RS02750	VQY17_RS02580
OG0000463	NB623_RS02745	VQY17_RS02575
OG0000464	NB623_RS02740	VQY17_RS02570
OG0000465	NB623_RS02735	VQY17_RS02565
OG0000466	NB623_RS00385	VQY17_RS00400
OG0000467	NB623_RS02845	VQY17_RS02665
OG0000468	NB623_RS02130	VQY17_RS02040
OG0000469	NB623_RS02070	VQY17_RS02100
OG0000470	NB623_RS00850	VQY17_RS00845
OG0000471	NB623_RS00930	VQY17_RS00930
OG0000472	NB623_RS03500	VQY17_RS03320
OG0000473	NB623_RS03690	VQY17_RS03500
OG0000474	NB623_RS03695	VQY17_RS03505
OG0000475	NB623_RS03700	VQY17_RS03510
OG0000476	NB623_RS01675	VQY17_RS01575
OG0000477	NB623_RS02785	VQY17_RS02610
OG0000478	NB623_RS03630	VQY17_RS03445
OG0000479	NB623_RS01445	VQY17_RS01345
OG0000480	NB623_RS02065	VQY17_RS02105
OG0000481	NB623_RS00825	VQY17_RS00820
OG0000482	NB623_RS01330	VQY17_RS01235
OG0000483	NB623_RS02020	VQY17_RS02155
OG0000484	NB623_RS00190	VQY17_RS00200
OG0000485	NB623_RS01295	VQY17_RS01205
OG0000486	NB623_RS02450	VQY17_RS02310
OG0000488	NB623_RS02055	VQY17_RS02120
OG0000490	NB623_RS03800	VQY17_RS03610
OG0000493	NB623_RS00575	VQY17_RS00580
OG0000494	NB623_RS00635	VQY17_RS00640
OG0000495	NB623_RS03005	VQY17_RS02815
OG0000496	NB623_RS02990	VQY17_RS02805
OG0000497	NB623_RS02985	VQY17_RS02800
OG0000498	NB623_RS02900	VQY17_RS02720
OG0000499	NB623_RS02865	VQY17_RS02685
OG0000500	NB623_RS02165	VQY17_RS02005
OG0000501	NB623_RS03220	VQY17_RS03055
OG0000502	NB623_RS01320	VQY17_RS01225
OG0000503	NB623_RS00765	VQY17_RS00760
OG0000504	NB623_RS00905	VQY17_RS00905
OG0000505	NB623_RS01065	VQY17_RS00965
OG0000506	NB623_RS01075	VQY17_RS00975
OG0000507	NB623_RS01110	VQY17_RS01010
OG0000509	NB623_RS00275	VQY17_RS00290
OG0000510	NB623_RS00285	VQY17_RS00305
OG0000511	NB623_RS00420	VQY17_RS00435
OG0000512	NB623_RS02715	VQY17_RS02545
OG0000514	NB623_RS03025	VQY17_RS02840
OG0000516	NB623_RS02090	VQY17_RS02085
OG0000517	NB623_RS00065	VQY17_RS00065
OG0000519	NB623_RS00795	VQY17_RS00790
OG0000520	NB623_RS00920	VQY17_RS00920
OG0000523	NB623_RS03540	VQY17_RS03360
OG0000524	NB623_RS02840	VQY17_RS02660
OG0000525	NB623_RS03505	VQY17_RS03325
OG0000526	NB623_RS02260	VQY17_RS01905
OG0000527	NB623_RS02315	VQY17_RS01825
OG0000528	NB623_RS02080	VQY17_RS02090
OG0000531	NB623_RS01520	VQY17_RS01420
OG0000532	NB623_RS01745	VQY17_RS01660
OG0000533	NB623_RS00595	VQY17_RS00600
OG0000534	NB623_RS00370	VQY17_RS00385
OG0000536	NB623_RS03735	VQY17_RS03545
OG0000540	NB623_RS02805	VQY17_RS02630
OG0000541	NB623_RS02880	VQY17_RS02700
OG0000543	NB623_RS01930	VQY17_RS01600
OG0000544	NB623_RS01375	VQY17_RS01275
OG0000545	NB623_RS02270	VQY17_RS01895
OG0000546	NB623_RS02950	VQY17_RS02765
OG0000552	NB623_RS03300	VQY17_RS03130
OG0000553	NB623_RS02855	VQY17_RS02675
OG0000554	NB623_RS02535	VQY17_RS02395
OG0000557	NB623_RS01385	VQY17_RS01285
OG0000558	NB623_RS01355	VQY17_RS01255
OG0000559	NB623_RS01825	VQY17_RS01745
