Orthogroup	MHP_111A_genes	MFC_ATCC27716_genes
OG0000360	NB623_RS00265	MFC_RS02500
OG0000361	NB623_RS00295	MFC_RS02530
OG0000362	NB623_RS02705	MFC_RS02915
OG0000363	NB623_RS01565	MFC_RS00660
OG0000365	NB623_RS02060	MFC_RS00050
OG0000366	NB623_RS02035	MFC_RS00080
OG0000367	NB623_RS02025	MFC_RS00090
OG0000368	NB623_RS00060	MFC_RS00175
OG0000369	NB623_RS00025	MFC_RS00210
OG0000370	NB623_RS00020	MFC_RS00215
OG0000371	NB623_RS00015	MFC_RS00220
OG0000372	NB623_RS00010	MFC_RS00225
OG0000373	NB623_RS03795	MFC_RS00250
OG0000374	NB623_RS03785	MFC_RS00260
OG0000375	NB623_RS02365	MFC_RS00415
OG0000376	NB623_RS02515	MFC_RS00470
OG0000377	NB623_RS02505	MFC_RS00480
OG0000378	NB623_RS01410	MFC_RS00515
OG0000379	NB623_RS01485	MFC_RS00585
OG0000380	NB623_RS01515	MFC_RS00610
OG0000381	NB623_RS01555	MFC_RS00650
OG0000382	NB623_RS01585	MFC_RS00680
OG0000383	NB623_RS01625	MFC_RS00720
OG0000384	NB623_RS00510	MFC_RS00790
OG0000385	NB623_RS00520	MFC_RS00795
OG0000386	NB623_RS00535	MFC_RS00815
OG0000387	NB623_RS00560	MFC_RS00840
OG0000388	NB623_RS00565	MFC_RS00845
OG0000389	NB623_RS00610	MFC_RS00880
OG0000390	NB623_RS03065	MFC_RS00990
OG0000391	NB623_RS03055	MFC_RS01000
OG0000392	NB623_RS03030	MFC_RS01030
OG0000393	NB623_RS02975	MFC_RS01080
OG0000394	NB623_RS02895	MFC_RS01145
OG0000395	NB623_RS02890	MFC_RS01150
OG0000396	NB623_RS02580	MFC_RS01280
OG0000397	NB623_RS02175	MFC_RS01325
OG0000398	NB623_RS02170	MFC_RS01330
OG0000399	NB623_RS02125	MFC_RS01375
OG0000400	NB623_RS03210	MFC_RS01450
OG0000401	NB623_RS03275	MFC_RS01510
OG0000402	NB623_RS03285	MFC_RS01520
OG0000403	NB623_RS03295	MFC_RS01530
OG0000404	NB623_RS03325	MFC_RS03375, MFC_RS01555
OG0000405	NB623_RS03340	MFC_RS01570
OG0000406	NB623_RS03395	MFC_RS01600
OG0000407	NB623_RS03400	MFC_RS01605
OG0000408	NB623_RS03405	MFC_RS01610
OG0000409	NB623_RS03410	MFC_RS01615
OG0000410	NB623_RS03495	MFC_RS01650
OG0000411	NB623_RS03480	MFC_RS01660
OG0000413	NB623_RS01640	MFC_RS01705
OG0000414	NB623_RS01650	MFC_RS01715
OG0000415	NB623_RS01655	MFC_RS01720
OG0000416	NB623_RS01665	MFC_RS01730
OG0000417	NB623_RS02430	MFC_RS01760
OG0000418	NB623_RS02420	MFC_RS01765
OG0000419	NB623_RS00715	MFC_RS01825
OG0000420	NB623_RS00750	MFC_RS01860
OG0000421	NB623_RS00790	MFC_RS01890
OG0000422	NB623_RS00800	MFC_RS01900
OG0000423	NB623_RS00855	MFC_RS01955
OG0000424	NB623_RS00860	MFC_RS01960
OG0000425	NB623_RS00870	MFC_RS01970
OG0000426	NB623_RS00875	MFC_RS01975
OG0000427	NB623_RS00900	MFC_RS02000
OG0000428	NB623_RS00925	MFC_RS02030
OG0000429	NB623_RS01145	MFC_RS02120
OG0000430	NB623_RS01190	MFC_RS02165
OG0000431	NB623_RS01200	MFC_RS02175
OG0000432	NB623_RS01230	MFC_RS02195
OG0000433	NB623_RS01245	MFC_RS02205
OG0000434	NB623_RS01255	MFC_RS02210
OG0000435	NB623_RS01265	MFC_RS02225
OG0000436	NB623_RS01290	MFC_RS03535
OG0000437	NB623_RS01300	MFC_RS02270
OG0000438	NB623_RS01305	MFC_RS02275
OG0000439	NB623_RS01310	MFC_RS02280
OG0000440	NB623_RS03115	MFC_RS02295
OG0000441	NB623_RS03150	MFC_RS02335
OG0000442	NB623_RS00135	MFC_RS02350
OG0000443	NB623_RS00180	MFC_RS02410
OG0000444	NB623_RS00195	MFC_RS02425
OG0000445	NB623_RS00220	MFC_RS02450
OG0000446	NB623_RS00245	MFC_RS02480
OG0000447	NB623_RS00255	MFC_RS02485
OG0000448	NB623_RS00280	MFC_RS02515
OG0000449	NB623_RS00305	MFC_RS02540
OG0000450	NB623_RS00315	MFC_RS02550
OG0000451	NB623_RS00355	MFC_RS02590
OG0000452	NB623_RS00380	MFC_RS02615
OG0000453	NB623_RS00415	MFC_RS02650
OG0000455	NB623_RS03705	MFC_RS02700
OG0000456	NB623_RS03580	MFC_RS02815
OG0000457	NB623_RS03545	MFC_RS02840
OG0000458	NB623_RS02670	MFC_RS02885
OG0000459	NB623_RS02700	MFC_RS02910
OG0000460	NB623_RS02710	MFC_RS02920
OG0000461	NB623_RS02755	MFC_RS03080
OG0000462	NB623_RS02750	MFC_RS03085
OG0000463	NB623_RS02745	MFC_RS03090
OG0000464	NB623_RS02740	MFC_RS03100
OG0000465	NB623_RS02735	MFC_RS03105
OG0000466	NB623_RS00385	MFC_RS02620
OG0000467	NB623_RS02845	MFC_RS03500
OG0000468	NB623_RS02130	MFC_RS01370
OG0000469	NB623_RS02070	MFC_RS00045
OG0000470	NB623_RS00850	MFC_RS01950
OG0000471	NB623_RS00930	MFC_RS02035
OG0000472	NB623_RS03500	MFC_RS01680
OG0000473	NB623_RS03690	MFC_RS02715
OG0000474	NB623_RS03695	MFC_RS02710
OG0000475	NB623_RS03700	MFC_RS02705
OG0000476	NB623_RS01675	MFC_RS00345
OG0000477	NB623_RS02785	MFC_RS03055
OG0000478	NB623_RS03630	MFC_RS02770
OG0000479	NB623_RS01445	MFC_RS00545
OG0000480	NB623_RS02065	MFC_RS03300
OG0000481	NB623_RS00825	MFC_RS01925
OG0000482	NB623_RS01330	MFC_RS01790
OG0000483	NB623_RS02020	MFC_RS00095
OG0000484	NB623_RS00190	MFC_RS02420
OG0000488	NB623_RS02055	MFC_RS00065
OG0000490	NB623_RS03800	MFC_RS00245
OG0000493	NB623_RS00575	MFC_RS00855
OG0000494	NB623_RS00635	MFC_RS00905
OG0000495	NB623_RS03005	MFC_RS01055
OG0000496	NB623_RS02990	MFC_RS01065
OG0000497	NB623_RS02985	MFC_RS01070
OG0000498	NB623_RS02900	MFC_RS01140
OG0000499	NB623_RS02865	MFC_RS01185
OG0000500	NB623_RS02165	MFC_RS01335
OG0000501	NB623_RS03220	MFC_RS01460
OG0000502	NB623_RS01320	MFC_RS01800
OG0000503	NB623_RS00765	MFC_RS01870
OG0000504	NB623_RS00905	MFC_RS02005
OG0000505	NB623_RS01065	MFC_RS02045
OG0000506	NB623_RS01075	MFC_RS02055
OG0000507	NB623_RS01110	MFC_RS02090
OG0000509	NB623_RS00275	MFC_RS02510
OG0000510	NB623_RS00285	MFC_RS02520
OG0000511	NB623_RS00420	MFC_RS02655
OG0000512	NB623_RS02715	MFC_RS02925
OG0000516	NB623_RS02090	MFC_RS00030
OG0000517	NB623_RS00065	MFC_RS00170
OG0000519	NB623_RS00795	MFC_RS01895
OG0000520	NB623_RS00920	MFC_RS02025
OG0000522	NB623_RS00290	MFC_RS02525
OG0000523	NB623_RS03540	MFC_RS02845
OG0000524	NB623_RS02840	MFC_RS03015
OG0000525	NB623_RS03505	MFC_RS01685
OG0000528	NB623_RS02080	MFC_RS00035
OG0000531	NB623_RS01520	MFC_RS00615
OG0000532	NB623_RS01745	MFC_RS00940
OG0000533	NB623_RS00595	MFC_RS02185
OG0000534	NB623_RS00370	MFC_RS02605
OG0000536	NB623_RS03735	MFC_RS00315
OG0000540	NB623_RS02805	MFC_RS03035
OG0000541	NB623_RS02880	MFC_RS01170
OG0000555	NB623_RS03080	MFC_RS03340
OG0000589	NB623_RS01010	MFC_RS03260
OG0000596	NB623_RS01870	MFC_RS02370
OG0000598	NB623_RS01875	MFC_RS02365
OG0000599	NB623_RS01880	MFC_RS02360
