Orthogroup	MHP_111A_genes	MHP_116_genes
OG0000083	NB623_RS02075	ABJ972_RS01985
OG0000084	NB623_RS02045	ABJ972_RS02015
OG0000085	NB623_RS02040	ABJ972_RS02020
OG0000086	NB623_RS02030	ABJ972_RS02030
OG0000087	NB623_RS02015	ABJ972_RS02045
OG0000088	NB623_RS02010	ABJ972_RS02050
OG0000089	NB623_RS02000	ABJ972_RS02060
OG0000090	NB623_RS00070	ABJ972_RS00070
OG0000091	NB623_RS00055	ABJ972_RS00055
OG0000092	NB623_RS00050	ABJ972_RS00040
OG0000093	NB623_RS00035	ABJ972_RS00035
OG0000094	NB623_RS00030	ABJ972_RS00030
OG0000095	NB623_RS00005	ABJ972_RS00005
OG0000096	NB623_RS03810	ABJ972_RS03550
OG0000097	NB623_RS03790	ABJ972_RS03530
OG0000098	NB623_RS03780	ABJ972_RS03520
OG0000099	NB623_RS03730	ABJ972_RS03440
OG0000100	NB623_RS03715	ABJ972_RS03425
OG0000101	NB623_RS03710	ABJ972_RS03420
OG0000102	NB623_RS01830	ABJ972_RS01680
OG0000103	NB623_RS02355	ABJ972_RS02165
OG0000104	NB623_RS02360	ABJ972_RS02170
OG0000105	NB623_RS02380	ABJ972_RS02185
OG0000106	NB623_RS02385	ABJ972_RS02195
OG0000107	NB623_RS02395	ABJ972_RS02205
OG0000108	NB623_RS02400	ABJ972_RS02210
OG0000109	NB623_RS02405	ABJ972_RS02215
OG0000110	NB623_RS02525	ABJ972_RS02335
OG0000111	NB623_RS02520	ABJ972_RS02330
OG0000112	NB623_RS02510	ABJ972_RS02320
OG0000113	NB623_RS02490	ABJ972_RS02300
OG0000114	NB623_RS02485	ABJ972_RS02290
OG0000115	NB623_RS02470	ABJ972_RS02280
OG0000116	NB623_RS01415	ABJ972_RS01285
OG0000117	NB623_RS01420	ABJ972_RS01290
OG0000118	NB623_RS01455	ABJ972_RS01325
OG0000119	NB623_RS01465	ABJ972_RS01330
OG0000120	NB623_RS01475	ABJ972_RS01345
OG0000121	NB623_RS01505	ABJ972_RS01370
OG0000122	NB623_RS01510	ABJ972_RS01375
OG0000123	NB623_RS01530	ABJ972_RS01395
OG0000124	NB623_RS01535	ABJ972_RS01400
OG0000125	NB623_RS01545	ABJ972_RS01405
OG0000126	NB623_RS01550	ABJ972_RS01415
OG0000127	NB623_RS01560	ABJ972_RS01425
OG0000128	NB623_RS01575	ABJ972_RS01440
OG0000129	NB623_RS01580	ABJ972_RS01445
OG0000130	NB623_RS01590	ABJ972_RS01455
OG0000131	NB623_RS01620	ABJ972_RS01485
OG0000132	NB623_RS01635	ABJ972_RS01500
OG0000133	NB623_RS00525	ABJ972_RS00515
OG0000134	NB623_RS00530	ABJ972_RS00520
OG0000135	NB623_RS00545	ABJ972_RS00535
OG0000136	NB623_RS00550	ABJ972_RS00540
OG0000137	NB623_RS00590	ABJ972_RS00570
OG0000138	NB623_RS00615	ABJ972_RS01050
OG0000139	NB623_RS00645	ABJ972_RS01020
OG0000140	NB623_RS00650	ABJ972_RS01015
OG0000141	NB623_RS03095	ABJ972_RS02855
OG0000142	NB623_RS03090	ABJ972_RS02850
OG0000143	NB623_RS03075	ABJ972_RS02830
OG0000144	NB623_RS03060	ABJ972_RS02820
OG0000145	NB623_RS03050	ABJ972_RS02810
OG0000146	NB623_RS03040	ABJ972_RS02800
OG0000147	NB623_RS03035	ABJ972_RS02795
OG0000148	NB623_RS03020	ABJ972_RS02780
OG0000149	NB623_RS03010	ABJ972_RS02770
OG0000150	NB623_RS02995	ABJ972_RS02755
OG0000151	NB623_RS02945	ABJ972_RS02705
OG0000152	NB623_RS02940	ABJ972_RS02700
OG0000153	NB623_RS02935	ABJ972_RS02695
OG0000154	NB623_RS02925	ABJ972_RS02685
OG0000155	NB623_RS02885	ABJ972_RS02650
OG0000156	NB623_RS02875	ABJ972_RS02645
OG0000157	NB623_RS02870	ABJ972_RS02635
OG0000158	NB623_RS02860	ABJ972_RS02625
OG0000159	NB623_RS02615	ABJ972_RS02405
OG0000160	NB623_RS02610	ABJ972_RS02400
OG0000161	NB623_RS02605	ABJ972_RS02395
OG0000162	NB623_RS02595	ABJ972_RS02385
OG0000163	NB623_RS02590	ABJ972_RS02380
OG0000164	NB623_RS01725	ABJ972_RS01585
OG0000165	NB623_RS02155	ABJ972_RS01905
OG0000166	NB623_RS02135	ABJ972_RS01925
OG0000167	NB623_RS02120	ABJ972_RS01940
OG0000168	NB623_RS02115	ABJ972_RS01945
OG0000169	NB623_RS03200	ABJ972_RS02955
OG0000170	NB623_RS03215	ABJ972_RS02970
OG0000171	NB623_RS03225	ABJ972_RS02980
OG0000172	NB623_RS03230	ABJ972_RS02985
OG0000173	NB623_RS03235	ABJ972_RS02990
OG0000174	NB623_RS03240	ABJ972_RS02995
OG0000175	NB623_RS03265	ABJ972_RS03010
OG0000176	NB623_RS03310	ABJ972_RS03055
OG0000177	NB623_RS03315	ABJ972_RS03060
OG0000178	NB623_RS03320	ABJ972_RS03065
OG0000179	NB623_RS03330	ABJ972_RS03075
OG0000180	NB623_RS03335	ABJ972_RS03080
OG0000181	NB623_RS03375	ABJ972_RS03130
OG0000182	NB623_RS03385	ABJ972_RS03140
OG0000183	NB623_RS03420	ABJ972_RS03175
OG0000184	NB623_RS03485	ABJ972_RS03220
OG0000185	NB623_RS03475	ABJ972_RS03205
OG0000186	NB623_RS01645	ABJ972_RS01510
OG0000187	NB623_RS01660	ABJ972_RS01525
OG0000188	NB623_RS01670	ABJ972_RS01535
OG0000189	NB623_RS02445	ABJ972_RS02250
OG0000190	NB623_RS02440	ABJ972_RS02245
OG0000191	NB623_RS02415	ABJ972_RS02225
OG0000192	NB623_RS01340	ABJ972_RS01205
OG0000193	NB623_RS01325	ABJ972_RS01195
OG0000194	NB623_RS00690	ABJ972_RS00980
OG0000195	NB623_RS00695	ABJ972_RS00975
OG0000196	NB623_RS00720	ABJ972_RS00955
OG0000197	NB623_RS00730	ABJ972_RS00950
OG0000198	NB623_RS00740	ABJ972_RS00930
OG0000199	NB623_RS00745	ABJ972_RS00925
OG0000200	NB623_RS00760	ABJ972_RS00910
OG0000201	NB623_RS00770	ABJ972_RS00900
OG0000202	NB623_RS00830	ABJ972_RS00845
OG0000203	NB623_RS00835	ABJ972_RS00840
OG0000204	NB623_RS00840	ABJ972_RS00835
OG0000205	NB623_RS00845	ABJ972_RS00830
OG0000206	NB623_RS00865	ABJ972_RS00810
OG0000207	NB623_RS00880	ABJ972_RS00795
OG0000208	NB623_RS00885	ABJ972_RS00790
OG0000209	NB623_RS00890	ABJ972_RS00785
OG0000210	NB623_RS00935	ABJ972_RS00740
OG0000211	NB623_RS01070	ABJ972_RS00730
OG0000212	NB623_RS01080	ABJ972_RS00720
OG0000213	NB623_RS01085	ABJ972_RS00715
OG0000214	NB623_RS01090	ABJ972_RS00710
OG0000215	NB623_RS01095	ABJ972_RS00705
OG0000216	NB623_RS01100	ABJ972_RS00700
OG0000217	NB623_RS01105	ABJ972_RS00695
OG0000218	NB623_RS01115	ABJ972_RS00685
OG0000219	NB623_RS01120	ABJ972_RS00680
OG0000220	NB623_RS01125	ABJ972_RS00675
OG0000221	NB623_RS01130	ABJ972_RS00670
OG0000222	NB623_RS01135	ABJ972_RS00665
OG0000223	NB623_RS01140	ABJ972_RS00660
OG0000224	NB623_RS01150	ABJ972_RS00650
OG0000225	NB623_RS01160	ABJ972_RS00640
OG0000226	NB623_RS01165	ABJ972_RS00635
OG0000227	NB623_RS01170	ABJ972_RS00630
OG0000228	NB623_RS01175	ABJ972_RS00625
OG0000229	NB623_RS01180	ABJ972_RS00620
OG0000230	NB623_RS01185	ABJ972_RS00615
OG0000231	NB623_RS01195	ABJ972_RS00605
OG0000232	NB623_RS01205	ABJ972_RS00595
OG0000233	NB623_RS01225	ABJ972_RS01080
OG0000234	NB623_RS01260	ABJ972_RS01115
OG0000235	NB623_RS01270	ABJ972_RS01125
OG0000236	NB623_RS01275	ABJ972_RS01130
OG0000237	NB623_RS01280	ABJ972_RS01135
OG0000238	NB623_RS01285	ABJ972_RS01140
OG0000239	NB623_RS03105	ABJ972_RS02865
OG0000240	NB623_RS03110	ABJ972_RS02870
OG0000241	NB623_RS03120	ABJ972_RS02880
OG0000242	NB623_RS03125	ABJ972_RS02885
OG0000243	NB623_RS03130	ABJ972_RS02890
OG0000244	NB623_RS03140	ABJ972_RS02900
OG0000245	NB623_RS03145	ABJ972_RS02910
OG0000246	NB623_RS00130	ABJ972_RS00125
OG0000247	NB623_RS00140	ABJ972_RS00135
OG0000248	NB623_RS00150	ABJ972_RS00145
OG0000249	NB623_RS00155	ABJ972_RS00150
OG0000250	NB623_RS00175	ABJ972_RS00165
OG0000251	NB623_RS00205	ABJ972_RS00195
OG0000252	NB623_RS00210	ABJ972_RS00205
OG0000253	NB623_RS00215	ABJ972_RS00210
OG0000254	NB623_RS00225	ABJ972_RS00220
OG0000255	NB623_RS00230	ABJ972_RS00225
OG0000256	NB623_RS00240	ABJ972_RS00230
OG0000257	NB623_RS00260	ABJ972_RS00255
OG0000258	NB623_RS00270	ABJ972_RS00265
OG0000259	NB623_RS00300	ABJ972_RS00295
OG0000260	NB623_RS00310	ABJ972_RS00305
OG0000261	NB623_RS00320	ABJ972_RS00315
OG0000262	NB623_RS00340	ABJ972_RS00330
OG0000263	NB623_RS00350	ABJ972_RS00345
OG0000264	NB623_RS00365	ABJ972_RS00360
OG0000265	NB623_RS00375	ABJ972_RS00370
OG0000266	NB623_RS00390	ABJ972_RS00385
OG0000267	NB623_RS00405	ABJ972_RS00400
OG0000268	NB623_RS00410	ABJ972_RS00405
OG0000269	NB623_RS00425	ABJ972_RS00420
OG0000270	NB623_RS03685	ABJ972_RS03395
OG0000271	NB623_RS03675	ABJ972_RS03390
OG0000272	NB623_RS03670	ABJ972_RS03385
OG0000273	NB623_RS03665	ABJ972_RS03380
OG0000274	NB623_RS03650	ABJ972_RS03360
OG0000275	NB623_RS03640	ABJ972_RS03355
OG0000276	NB623_RS03635	ABJ972_RS03350
OG0000277	NB623_RS03625	ABJ972_RS03340
OG0000278	NB623_RS03620	ABJ972_RS03335
OG0000279	NB623_RS03615	ABJ972_RS03325
OG0000280	NB623_RS03605	ABJ972_RS03320
OG0000281	NB623_RS03600	ABJ972_RS03315
OG0000282	NB623_RS03570	ABJ972_RS03290
OG0000283	NB623_RS03565	ABJ972_RS03285
OG0000284	NB623_RS03560	ABJ972_RS03280
OG0000285	NB623_RS03555	ABJ972_RS03275
OG0000286	NB623_RS02575	ABJ972_RS02365
OG0000287	NB623_RS02675	ABJ972_RS02455
OG0000288	NB623_RS02685	ABJ972_RS02465
OG0000289	NB623_RS02690	ABJ972_RS02470
OG0000290	NB623_RS02810	ABJ972_RS02580
OG0000291	NB623_RS02800	ABJ972_RS02570
OG0000292	NB623_RS02795	ABJ972_RS02565
OG0000293	NB623_RS02790	ABJ972_RS02560
OG0000294	NB623_RS02780	ABJ972_RS02550
OG0000295	NB623_RS02775	ABJ972_RS02545
OG0000296	NB623_RS02730	ABJ972_RS02505
OG0000297	NB623_RS02725	ABJ972_RS02500
OG0000298	NB623_RS00165	ABJ972_RS00160
OG0000299	NB623_RS00185	ABJ972_RS00180
OG0000300	NB623_RS00360	ABJ972_RS00355
OG0000301	NB623_RS00395	ABJ972_RS00390
OG0000302	NB623_RS00400	ABJ972_RS00395
OG0000303	NB623_RS00555	ABJ972_RS00545
OG0000304	NB623_RS01210	ABJ972_RS00590
OG0000305	NB623_RS03045	ABJ972_RS02805
OG0000306	NB623_RS02970	ABJ972_RS02730
OG0000307	NB623_RS02930	ABJ972_RS02690
OG0000308	NB623_RS02835	ABJ972_RS02600
OG0000309	NB623_RS02765	ABJ972_RS02535
OG0000310	NB623_RS02680	ABJ972_RS02460
OG0000311	NB623_RS02635	ABJ972_RS02425
OG0000312	NB623_RS02620	ABJ972_RS02410
OG0000313	NB623_RS01715	ABJ972_RS01575
OG0000314	NB623_RS02140	ABJ972_RS01920
OG0000315	NB623_RS02110	ABJ972_RS01950
OG0000316	NB623_RS02100	ABJ972_RS01960
OG0000317	NB623_RS02005	ABJ972_RS02055
OG0000318	NB623_RS02095	ABJ972_RS01965
OG0000319	NB623_RS02370	ABJ972_RS02180
OG0000320	NB623_RS02500	ABJ972_RS02310
OG0000321	NB623_RS01450	ABJ972_RS01320
OG0000322	NB623_RS01500	ABJ972_RS01365
OG0000323	NB623_RS01630	ABJ972_RS01495
OG0000324	NB623_RS02410	ABJ972_RS02220
OG0000325	NB623_RS00705	ABJ972_RS00970
OG0000326	NB623_RS00805	ABJ972_RS00870
OG0000327	NB623_RS00810	ABJ972_RS00865
OG0000328	NB623_RS00895	ABJ972_RS00780
OG0000329	NB623_RS00915	ABJ972_RS00760
OG0000330	NB623_RS01235	ABJ972_RS01090
OG0000331	NB623_RS03135	ABJ972_RS02895
OG0000332	NB623_RS03270	ABJ972_RS03020
OG0000333	NB623_RS03280	ABJ972_RS03030
OG0000334	NB623_RS03380	ABJ972_RS03135
OG0000335	NB623_RS03390	ABJ972_RS03145
OG0000336	NB623_RS03590	ABJ972_RS03305
OG0000337	NB623_RS03765	ABJ972_RS03505
OG0000338	NB623_RS03805	ABJ972_RS03545
OG0000339	NB623_RS02475	ABJ972_RS02285
OG0000340	NB623_RS01430	ABJ972_RS01300
OG0000341	NB623_RS02435	ABJ972_RS02240
OG0000342	NB623_RS00735	ABJ972_RS00935
OG0000343	NB623_RS03290	ABJ972_RS03040
OG0000344	NB623_RS00570	ABJ972_RS00560
OG0000345	NB623_RS01155	ABJ972_RS00645
OG0000346	NB623_RS03595	ABJ972_RS03310
OG0000347	NB623_RS01525	ABJ972_RS01390
OG0000348	NB623_RS00815	ABJ972_RS00860
OG0000349	NB623_RS03655	ABJ972_RS03370
OG0000350	NB623_RS02920	ABJ972_RS02680
OG0000351	NB623_RS00480	ABJ972_RS00480
OG0000352	NB623_RS02160	ABJ972_RS01900
OG0000353	NB623_RS01490	ABJ972_RS01360
OG0000354	NB623_RS00630	ABJ972_RS01035
OG0000355	NB623_RS02185	ABJ972_RS01875
OG0000356	NB623_RS02105	ABJ972_RS01955
OG0000357	NB623_RS03245	ABJ972_RS03000
OG0000358	NB623_RS03250	ABJ972_RS03005
OG0000359	NB623_RS00780	ABJ972_RS00890
OG0000360	NB623_RS00265	ABJ972_RS00260
OG0000361	NB623_RS00295	ABJ972_RS00290
OG0000362	NB623_RS02705	ABJ972_RS02480
OG0000363	NB623_RS01565	ABJ972_RS01430
OG0000364	NB623_RS02210	ABJ972_RS01855
OG0000365	NB623_RS02060	ABJ972_RS02005
OG0000366	NB623_RS02035	ABJ972_RS02025
OG0000367	NB623_RS02025	ABJ972_RS02035
OG0000368	NB623_RS00060	ABJ972_RS00060
OG0000369	NB623_RS00025	ABJ972_RS00025
OG0000370	NB623_RS00020	ABJ972_RS00020
OG0000371	NB623_RS00015	ABJ972_RS00015
OG0000372	NB623_RS00010	ABJ972_RS00010
OG0000373	NB623_RS03795	ABJ972_RS03535
OG0000374	NB623_RS03785	ABJ972_RS03525
OG0000375	NB623_RS02365	ABJ972_RS02175
OG0000376	NB623_RS02515	ABJ972_RS02325
OG0000377	NB623_RS02505	ABJ972_RS02315
OG0000378	NB623_RS01410	ABJ972_RS01280
OG0000379	NB623_RS01485	ABJ972_RS01355
OG0000380	NB623_RS01515	ABJ972_RS01380
OG0000381	NB623_RS01555	ABJ972_RS01420
OG0000382	NB623_RS01585	ABJ972_RS01450
OG0000383	NB623_RS01625	ABJ972_RS01490
OG0000384	NB623_RS00510	ABJ972_RS00500
OG0000385	NB623_RS00520	ABJ972_RS00505
OG0000386	NB623_RS00535	ABJ972_RS00525
OG0000387	NB623_RS00560	ABJ972_RS00550
OG0000388	NB623_RS00565	ABJ972_RS00555
OG0000389	NB623_RS00610	ABJ972_RS01055
OG0000390	NB623_RS03065	ABJ972_RS02825
OG0000391	NB623_RS03055	ABJ972_RS02815
OG0000392	NB623_RS03030	ABJ972_RS02790
OG0000393	NB623_RS02975	ABJ972_RS02735
OG0000394	NB623_RS02895	ABJ972_RS02660
OG0000395	NB623_RS02890	ABJ972_RS02655
OG0000396	NB623_RS02580	ABJ972_RS02370
OG0000397	NB623_RS02175	ABJ972_RS01885
OG0000398	NB623_RS02170	ABJ972_RS01890
OG0000399	NB623_RS02125	ABJ972_RS01935
OG0000400	NB623_RS03210	ABJ972_RS02965
OG0000401	NB623_RS03275	ABJ972_RS03025
OG0000402	NB623_RS03285	ABJ972_RS03035
OG0000403	NB623_RS03295	ABJ972_RS03045
OG0000404	NB623_RS03325	ABJ972_RS03070
OG0000405	NB623_RS03340	ABJ972_RS03090
OG0000406	NB623_RS03395	ABJ972_RS03150
OG0000407	NB623_RS03400	ABJ972_RS03155
OG0000408	NB623_RS03405	ABJ972_RS03160
OG0000409	NB623_RS03410	ABJ972_RS03165
OG0000410	NB623_RS03495	ABJ972_RS03225
OG0000411	NB623_RS03480	ABJ972_RS03215
OG0000413	NB623_RS01640	ABJ972_RS01505
OG0000414	NB623_RS01650	ABJ972_RS01515
OG0000415	NB623_RS01655	ABJ972_RS01520
OG0000416	NB623_RS01665	ABJ972_RS01530
OG0000417	NB623_RS02430	ABJ972_RS02235
OG0000418	NB623_RS02420	ABJ972_RS02230
OG0000419	NB623_RS00715	ABJ972_RS00960
OG0000420	NB623_RS00750	ABJ972_RS00920
OG0000421	NB623_RS00790	ABJ972_RS00885
OG0000422	NB623_RS00800	ABJ972_RS00875
OG0000423	NB623_RS00855	ABJ972_RS00820
OG0000424	NB623_RS00860	ABJ972_RS00815
OG0000425	NB623_RS00870	ABJ972_RS00805
OG0000426	NB623_RS00875	ABJ972_RS00800
OG0000427	NB623_RS00900	ABJ972_RS00775
OG0000428	NB623_RS00925	ABJ972_RS00750
OG0000429	NB623_RS01145	ABJ972_RS00655
OG0000430	NB623_RS01190	ABJ972_RS00610
OG0000431	NB623_RS01200	ABJ972_RS00600
OG0000432	NB623_RS01230	ABJ972_RS01085
OG0000433	NB623_RS01245	ABJ972_RS01100
OG0000434	NB623_RS01255	ABJ972_RS01105
OG0000435	NB623_RS01265	ABJ972_RS01120
OG0000436	NB623_RS01290	ABJ972_RS01145
OG0000437	NB623_RS01300	ABJ972_RS01155
OG0000438	NB623_RS01305	ABJ972_RS01160
OG0000439	NB623_RS01310	ABJ972_RS01165
OG0000440	NB623_RS03115	ABJ972_RS02875
OG0000441	NB623_RS03150	ABJ972_RS02915
OG0000442	NB623_RS00135	ABJ972_RS00130
OG0000443	NB623_RS00180	ABJ972_RS00175
OG0000444	NB623_RS00195	ABJ972_RS00190
OG0000445	NB623_RS00220	ABJ972_RS00215
OG0000446	NB623_RS00245	ABJ972_RS00240
OG0000447	NB623_RS00255	ABJ972_RS00245
OG0000448	NB623_RS00280	ABJ972_RS00275
OG0000449	NB623_RS00305	ABJ972_RS00300
OG0000450	NB623_RS00315	ABJ972_RS00310
OG0000451	NB623_RS00355	ABJ972_RS00350
OG0000452	NB623_RS00380	ABJ972_RS00375
OG0000453	NB623_RS00415	ABJ972_RS00410
OG0000455	NB623_RS03705	ABJ972_RS03415
OG0000456	NB623_RS03580	ABJ972_RS03295
OG0000457	NB623_RS03545	ABJ972_RS03270
OG0000458	NB623_RS02670	ABJ972_RS02450
OG0000459	NB623_RS02700	ABJ972_RS02475
OG0000460	NB623_RS02710	ABJ972_RS02485
OG0000461	NB623_RS02755	ABJ972_RS02530
OG0000462	NB623_RS02750	ABJ972_RS02525
OG0000463	NB623_RS02745	ABJ972_RS02520
OG0000464	NB623_RS02740	ABJ972_RS02515
OG0000465	NB623_RS02735	ABJ972_RS02510
OG0000466	NB623_RS00385	ABJ972_RS00380
OG0000467	NB623_RS02845	ABJ972_RS02610
OG0000468	NB623_RS02130	ABJ972_RS01930
OG0000469	NB623_RS02070	ABJ972_RS01990
OG0000470	NB623_RS00850	ABJ972_RS00825
OG0000471	NB623_RS00930	ABJ972_RS00745
OG0000472	NB623_RS03500	ABJ972_RS03235
OG0000473	NB623_RS03690	ABJ972_RS03400
OG0000474	NB623_RS03695	ABJ972_RS03405
OG0000475	NB623_RS03700	ABJ972_RS03410
OG0000476	NB623_RS01675	ABJ972_RS01540
OG0000477	NB623_RS02785	ABJ972_RS02555
OG0000478	NB623_RS03630	ABJ972_RS03345
OG0000479	NB623_RS01445	ABJ972_RS01315
OG0000480	NB623_RS02065	ABJ972_RS01995
OG0000481	NB623_RS00825	ABJ972_RS00850
OG0000482	NB623_RS01330	ABJ972_RS01200
OG0000483	NB623_RS02020	ABJ972_RS02040
OG0000484	NB623_RS00190	ABJ972_RS00185
OG0000485	NB623_RS01295	ABJ972_RS01150
OG0000486	NB623_RS02450	ABJ972_RS02255
OG0000488	NB623_RS02055	ABJ972_RS02010
OG0000490	NB623_RS03800	ABJ972_RS03540
OG0000493	NB623_RS00575	ABJ972_RS00565
OG0000494	NB623_RS00635	ABJ972_RS01030
OG0000495	NB623_RS03005	ABJ972_RS02760
OG0000496	NB623_RS02990	ABJ972_RS02750
OG0000497	NB623_RS02985	ABJ972_RS02745
OG0000498	NB623_RS02900	ABJ972_RS02665
OG0000499	NB623_RS02865	ABJ972_RS02630
OG0000500	NB623_RS02165	ABJ972_RS01895
OG0000501	NB623_RS03220	ABJ972_RS02975
OG0000502	NB623_RS01320	ABJ972_RS01190
OG0000503	NB623_RS00765	ABJ972_RS00905
OG0000504	NB623_RS00905	ABJ972_RS00770
OG0000505	NB623_RS01065	ABJ972_RS00735
OG0000506	NB623_RS01075	ABJ972_RS00725
OG0000507	NB623_RS01110	ABJ972_RS00690
OG0000509	NB623_RS00275	ABJ972_RS00270
OG0000510	NB623_RS00285	ABJ972_RS00280
OG0000511	NB623_RS00420	ABJ972_RS00415
OG0000512	NB623_RS02715	ABJ972_RS02490
OG0000514	NB623_RS03025	ABJ972_RS02785
OG0000516	NB623_RS02090	ABJ972_RS01975
OG0000517	NB623_RS00065	ABJ972_RS00065
OG0000519	NB623_RS00795	ABJ972_RS00880
OG0000520	NB623_RS00920	ABJ972_RS00755
OG0000522	NB623_RS00290	ABJ972_RS00285
OG0000523	NB623_RS03540	ABJ972_RS03265
OG0000524	NB623_RS02840	ABJ972_RS02605
OG0000525	NB623_RS03505	ABJ972_RS03240
