Orthogroup	MHP_111A_genes	MHP_112B_genes
OG0000276	NB623_RS03635	NBX26_RS03645
OG0000277	NB623_RS03625	NBX26_RS03635
OG0000278	NB623_RS03620	NBX26_RS03630
OG0000279	NB623_RS03615	NBX26_RS03620
OG0000280	NB623_RS03605	NBX26_RS03615
OG0000281	NB623_RS03600	NBX26_RS03610
OG0000282	NB623_RS03570, NB623_RS03575	NBX26_RS03585
OG0000283	NB623_RS03565	NBX26_RS03580
OG0000284	NB623_RS03560	NBX26_RS03575
OG0000285	NB623_RS03555	NBX26_RS03570
OG0000286	NB623_RS02575	NBX26_RS02585
OG0000287	NB623_RS02675	NBX26_RS02680
OG0000288	NB623_RS02685	NBX26_RS02690
OG0000289	NB623_RS02690	NBX26_RS02695
OG0000290	NB623_RS02810	NBX26_RS02815
OG0000291	NB623_RS02800	NBX26_RS02800
OG0000292	NB623_RS02795	NBX26_RS02795
OG0000293	NB623_RS02790	NBX26_RS02785
OG0000294	NB623_RS02780	NBX26_RS02775
OG0000295	NB623_RS02775	NBX26_RS02770
OG0000296	NB623_RS02730	NBX26_RS02730
OG0000297	NB623_RS02725	NBX26_RS02725
OG0000298	NB623_RS00165	NBX26_RS00165
OG0000299	NB623_RS00185	NBX26_RS00190
OG0000300	NB623_RS00360	NBX26_RS00365
OG0000301	NB623_RS00395	NBX26_RS00400
OG0000302	NB623_RS00400	NBX26_RS00405
OG0000303	NB623_RS00555	NBX26_RS00560
OG0000304	NB623_RS01210	NBX26_RS01215
OG0000305	NB623_RS03045	NBX26_RS03055
OG0000306	NB623_RS02970	NBX26_RS02980
OG0000307	NB623_RS02930	NBX26_RS02940
OG0000308	NB623_RS02835	NBX26_RS02850
OG0000309	NB623_RS02765	NBX26_RS02760
OG0000310	NB623_RS02680	NBX26_RS02685
OG0000311	NB623_RS02635	NBX26_RS02645
OG0000312	NB623_RS02620	NBX26_RS02630
OG0000313	NB623_RS01715	NBX26_RS01720
OG0000314	NB623_RS02140	NBX26_RS02145
OG0000315	NB623_RS02110	NBX26_RS02115
OG0000316	NB623_RS02100	NBX26_RS02105
OG0000317	NB623_RS02005	NBX26_RS02005
OG0000318	NB623_RS02095	NBX26_RS02100
OG0000319	NB623_RS02370	NBX26_RS02380
OG0000320	NB623_RS02500	NBX26_RS02510
OG0000321	NB623_RS01450	NBX26_RS01455
OG0000322	NB623_RS01500	NBX26_RS01510
OG0000323	NB623_RS01630	NBX26_RS01640
OG0000324	NB623_RS02410	NBX26_RS02420
OG0000325	NB623_RS00705	NBX26_RS00710
OG0000326	NB623_RS00805	NBX26_RS00805
OG0000327	NB623_RS00810	NBX26_RS00810
OG0000328	NB623_RS00895	NBX26_RS00895
OG0000329	NB623_RS00915	NBX26_RS00920
OG0000330	NB623_RS01235	NBX26_RS01240
OG0000331	NB623_RS03135	NBX26_RS03145
OG0000332	NB623_RS03270	NBX26_RS03285
OG0000333	NB623_RS03280	NBX26_RS03295
OG0000334	NB623_RS03380	NBX26_RS03400
OG0000335	NB623_RS03390	NBX26_RS03410
OG0000336	NB623_RS03590	NBX26_RS03600
OG0000337	NB623_RS03765	NBX26_RS03765
OG0000338	NB623_RS03805	NBX26_RS03805
OG0000339	NB623_RS02475	NBX26_RS02485
OG0000340	NB623_RS01430	NBX26_RS01435
OG0000341	NB623_RS02435	NBX26_RS02445
OG0000342	NB623_RS00735	NBX26_RS00740
OG0000343	NB623_RS03290	NBX26_RS03305
OG0000344	NB623_RS00570	NBX26_RS00575
OG0000345	NB623_RS01155	NBX26_RS01160
OG0000346	NB623_RS03595	NBX26_RS03605
OG0000347	NB623_RS01525	NBX26_RS01535
OG0000348	NB623_RS00815	NBX26_RS00815
OG0000349	NB623_RS03655	NBX26_RS03665
OG0000350	NB623_RS02920	NBX26_RS02930
OG0000351	NB623_RS00480	NBX26_RS00485
OG0000352	NB623_RS02160	NBX26_RS02165
OG0000353	NB623_RS01490	NBX26_RS01500
OG0000354	NB623_RS00630	NBX26_RS00635
OG0000355	NB623_RS02185	NBX26_RS02190
OG0000356	NB623_RS02105	NBX26_RS02110
OG0000357	NB623_RS03245	NBX26_RS03260
OG0000358	NB623_RS03250	NBX26_RS03265
OG0000359	NB623_RS00780	NBX26_RS00785
OG0000360	NB623_RS00265	NBX26_RS00270
OG0000361	NB623_RS00295	NBX26_RS00300
OG0000362	NB623_RS02705	NBX26_RS02705
OG0000363	NB623_RS01565	NBX26_RS01575
OG0000364	NB623_RS02210	NBX26_RS02215
OG0000365	NB623_RS02060	NBX26_RS02065
OG0000366	NB623_RS02035	NBX26_RS02040
OG0000367	NB623_RS02025	NBX26_RS02025
OG0000368	NB623_RS00060	NBX26_RS00060
OG0000369	NB623_RS00025	NBX26_RS00025
OG0000370	NB623_RS00020	NBX26_RS00020
OG0000371	NB623_RS00015	NBX26_RS00015
OG0000372	NB623_RS00010	NBX26_RS00010
OG0000373	NB623_RS03795	NBX26_RS03795
OG0000374	NB623_RS03785	NBX26_RS03785
OG0000375	NB623_RS02365	NBX26_RS02375
OG0000376	NB623_RS02515	NBX26_RS02525
OG0000377	NB623_RS02505	NBX26_RS02515
OG0000378	NB623_RS01410	NBX26_RS01415
OG0000379	NB623_RS01485	NBX26_RS01495
OG0000380	NB623_RS01515	NBX26_RS01530
OG0000381	NB623_RS01555	NBX26_RS01565
OG0000382	NB623_RS01585	NBX26_RS01595
OG0000383	NB623_RS01625	NBX26_RS01635
OG0000384	NB623_RS00510	NBX26_RS00515
OG0000385	NB623_RS00520	NBX26_RS00525
OG0000386	NB623_RS00535	NBX26_RS00540
OG0000387	NB623_RS00560	NBX26_RS00565
OG0000388	NB623_RS00565	NBX26_RS00570
OG0000389	NB623_RS00610	NBX26_RS00615
OG0000390	NB623_RS03065	NBX26_RS03075
OG0000391	NB623_RS03055	NBX26_RS03065
OG0000392	NB623_RS03030	NBX26_RS03040
OG0000393	NB623_RS02975	NBX26_RS02985
OG0000394	NB623_RS02895	NBX26_RS02905
OG0000395	NB623_RS02890	NBX26_RS02900
OG0000396	NB623_RS02580	NBX26_RS02590
OG0000397	NB623_RS02175	NBX26_RS02180
OG0000398	NB623_RS02170	NBX26_RS02175
OG0000399	NB623_RS02125	NBX26_RS02130
OG0000400	NB623_RS03210	NBX26_RS03225
OG0000401	NB623_RS03275	NBX26_RS03290
OG0000402	NB623_RS03285	NBX26_RS03300
OG0000403	NB623_RS03295	NBX26_RS03310
OG0000404	NB623_RS03325	NBX26_RS03345
OG0000405	NB623_RS03340	NBX26_RS03360
OG0000406	NB623_RS03395	NBX26_RS03415
OG0000407	NB623_RS03400	NBX26_RS03420
OG0000408	NB623_RS03405	NBX26_RS03425
OG0000409	NB623_RS03410	NBX26_RS03430
OG0000410	NB623_RS03495	NBX26_RS03505
OG0000411	NB623_RS03480	NBX26_RS03490
OG0000413	NB623_RS01640	NBX26_RS01650
OG0000414	NB623_RS01650	NBX26_RS01660
OG0000415	NB623_RS01655	NBX26_RS01665
OG0000416	NB623_RS01665	NBX26_RS01675
OG0000417	NB623_RS02430	NBX26_RS02440
OG0000418	NB623_RS02420	NBX26_RS02430
OG0000419	NB623_RS00715	NBX26_RS00720
OG0000420	NB623_RS00750	NBX26_RS00755
OG0000421	NB623_RS00790	NBX26_RS00795
OG0000422	NB623_RS00800	NBX26_RS00800
OG0000423	NB623_RS00855	NBX26_RS00855
OG0000424	NB623_RS00860	NBX26_RS00860
OG0000425	NB623_RS00870	NBX26_RS00870
OG0000426	NB623_RS00875	NBX26_RS00875
OG0000427	NB623_RS00900	NBX26_RS00900
OG0000428	NB623_RS00925	NBX26_RS00925
OG0000429	NB623_RS01145	NBX26_RS01150
OG0000430	NB623_RS01190	NBX26_RS01195
OG0000431	NB623_RS01200	NBX26_RS01205
OG0000432	NB623_RS01230	NBX26_RS01235
OG0000433	NB623_RS01245	NBX26_RS01260
OG0000435	NB623_RS01265	NBX26_RS01270
OG0000437	NB623_RS01300	NBX26_RS01305
OG0000438	NB623_RS01305	NBX26_RS01310
OG0000439	NB623_RS01310	NBX26_RS01315
OG0000440	NB623_RS03115	NBX26_RS03125
OG0000441	NB623_RS03150	NBX26_RS03165
OG0000442	NB623_RS00135	NBX26_RS00135
OG0000443	NB623_RS00180	NBX26_RS00185
OG0000444	NB623_RS00195	NBX26_RS00200
OG0000445	NB623_RS00220	NBX26_RS00225
OG0000446	NB623_RS00245	NBX26_RS00250
OG0000447	NB623_RS00255	NBX26_RS00255
OG0000448	NB623_RS00280	NBX26_RS00290
OG0000449	NB623_RS00305	NBX26_RS00310
OG0000450	NB623_RS00315	NBX26_RS00320
OG0000451	NB623_RS00355	NBX26_RS00360
OG0000452	NB623_RS00380	NBX26_RS00385
OG0000453	NB623_RS00415	NBX26_RS00420
OG0000454	NB623_RS01755	NBX26_RS01760
OG0000455	NB623_RS03705	NBX26_RS03710
OG0000456	NB623_RS03580	NBX26_RS03590
OG0000457	NB623_RS03545	NBX26_RS03565
OG0000458	NB623_RS02670	NBX26_RS02675
OG0000459	NB623_RS02700	NBX26_RS02700
OG0000460	NB623_RS02710	NBX26_RS02710
OG0000461	NB623_RS02755	NBX26_RS02755
OG0000462	NB623_RS02750	NBX26_RS02750
OG0000463	NB623_RS02745	NBX26_RS02745
OG0000464	NB623_RS02740	NBX26_RS02740
OG0000465	NB623_RS02735	NBX26_RS02735
OG0000466	NB623_RS00385	NBX26_RS00390
OG0000467	NB623_RS02845	NBX26_RS02855
OG0000468	NB623_RS02130	NBX26_RS02135
OG0000469	NB623_RS02070	NBX26_RS02075
OG0000470	NB623_RS00850	NBX26_RS00850
OG0000471	NB623_RS00930	NBX26_RS00930
OG0000472	NB623_RS03500	NBX26_RS03515
OG0000473	NB623_RS03690	NBX26_RS03695
OG0000474	NB623_RS03695	NBX26_RS03700
OG0000475	NB623_RS03700	NBX26_RS03705
OG0000476	NB623_RS01675	NBX26_RS01685
OG0000477	NB623_RS02785	NBX26_RS02780
OG0000478	NB623_RS03630	NBX26_RS03640
OG0000479	NB623_RS01445	NBX26_RS01450
OG0000480	NB623_RS02065	NBX26_RS02070
OG0000481	NB623_RS00825	NBX26_RS00825
OG0000482	NB623_RS01330	NBX26_RS01335
OG0000483	NB623_RS02020	NBX26_RS02020
OG0000484	NB623_RS00190	NBX26_RS00195
OG0000485	NB623_RS01295	NBX26_RS01300
OG0000486	NB623_RS02450	NBX26_RS02460
OG0000488	NB623_RS02055	NBX26_RS02055
OG0000490	NB623_RS03800	NBX26_RS03800
OG0000493	NB623_RS00575	NBX26_RS00580
OG0000494	NB623_RS00635	NBX26_RS00640
OG0000495	NB623_RS03005	NBX26_RS03015
OG0000496	NB623_RS02990	NBX26_RS03000
OG0000497	NB623_RS02985	NBX26_RS02995
OG0000498	NB623_RS02900	NBX26_RS02910
