Orthogroup	MHP_111A_genes	MHP_UFV02_genes
OG0000193	NB623_RS01325	FEF31_RS00860
OG0000194	NB623_RS00690	FEF31_RS00345
OG0000195	NB623_RS00695	FEF31_RS00350
OG0000196	NB623_RS00720	FEF31_RS00370
OG0000197	NB623_RS00730	FEF31_RS00375
OG0000198	NB623_RS00740	FEF31_RS00390
OG0000199	NB623_RS00745	FEF31_RS00395
OG0000200	NB623_RS00760	FEF31_RS00410
OG0000201	NB623_RS00770	FEF31_RS00420
OG0000202	NB623_RS00830	FEF31_RS00475
OG0000203	NB623_RS00835	FEF31_RS00480
OG0000204	NB623_RS00840	FEF31_RS00485
OG0000205	NB623_RS00845	FEF31_RS00490
OG0000206	NB623_RS00865	FEF31_RS00510
OG0000207	NB623_RS00880	FEF31_RS00525
OG0000208	NB623_RS00885	FEF31_RS00530
OG0000209	NB623_RS00890	FEF31_RS00535
OG0000210	NB623_RS00935	FEF31_RS00580
OG0000211	NB623_RS01070	FEF31_RS00590
OG0000212	NB623_RS01080	FEF31_RS00600
OG0000213	NB623_RS01085	FEF31_RS00605
OG0000214	NB623_RS01090	FEF31_RS00610
OG0000215	NB623_RS01095	FEF31_RS00615
OG0000216	NB623_RS01100	FEF31_RS00620
OG0000217	NB623_RS01105	FEF31_RS00625
OG0000218	NB623_RS01115	FEF31_RS00635
OG0000219	NB623_RS01120	FEF31_RS00640
OG0000220	NB623_RS01125	FEF31_RS00645
OG0000221	NB623_RS01130	FEF31_RS00650
OG0000222	NB623_RS01135	FEF31_RS00655
OG0000223	NB623_RS01140	FEF31_RS00660
OG0000224	NB623_RS01150	FEF31_RS00670
OG0000225	NB623_RS01160	FEF31_RS00680
OG0000226	NB623_RS01165	FEF31_RS00685
OG0000227	NB623_RS01170	FEF31_RS00690
OG0000228	NB623_RS01175	FEF31_RS04770
OG0000229	NB623_RS01180	FEF31_RS00700
OG0000230	NB623_RS01185	FEF31_RS00705
OG0000231	NB623_RS01195	FEF31_RS00715
OG0000232	NB623_RS01205	FEF31_RS00725
OG0000233	NB623_RS01225	FEF31_RS00750
OG0000234	NB623_RS01260	FEF31_RS00785
OG0000235	NB623_RS01270	FEF31_RS00795
OG0000236	NB623_RS01275	FEF31_RS00800
OG0000237	NB623_RS01280	FEF31_RS00805
OG0000238	NB623_RS01285	FEF31_RS00810
OG0000239	NB623_RS03105	FEF31_RS02680
OG0000240	NB623_RS03110	FEF31_RS02685
OG0000241	NB623_RS03120	FEF31_RS02695
OG0000242	NB623_RS03125	FEF31_RS02700
OG0000243	NB623_RS03130	FEF31_RS02705
OG0000244	NB623_RS03140	FEF31_RS02715
OG0000245	NB623_RS03145	FEF31_RS02720
OG0000246	NB623_RS00130	FEF31_RS03410
OG0000247	NB623_RS00140	FEF31_RS03420
OG0000248	NB623_RS00150	FEF31_RS03430
OG0000249	NB623_RS00155	FEF31_RS03435
OG0000250	NB623_RS00175	FEF31_RS03450
OG0000251	NB623_RS00205	FEF31_RS03480
OG0000252	NB623_RS00210	FEF31_RS03490
OG0000253	NB623_RS00215	FEF31_RS03495
OG0000254	NB623_RS00225	FEF31_RS03505
OG0000255	NB623_RS00230	FEF31_RS03510
OG0000256	NB623_RS00240	FEF31_RS03515
OG0000257	NB623_RS00260	FEF31_RS03540
OG0000258	NB623_RS00270	FEF31_RS03550
OG0000259	NB623_RS00300	FEF31_RS03580
OG0000260	NB623_RS00310	FEF31_RS03590
OG0000261	NB623_RS00320	FEF31_RS04680
OG0000262	NB623_RS00340	FEF31_RS00010
OG0000263	NB623_RS00350	FEF31_RS00025
OG0000264	NB623_RS00365	FEF31_RS00040
OG0000265	NB623_RS00375	FEF31_RS00050
OG0000266	NB623_RS00390	FEF31_RS00065
OG0000267	NB623_RS00405	FEF31_RS00080
OG0000268	NB623_RS00410	FEF31_RS00085
OG0000269	NB623_RS00425	FEF31_RS00100
OG0000270	NB623_RS03685	FEF31_RS04635
OG0000271	NB623_RS03675	FEF31_RS03160
OG0000272	NB623_RS03670	FEF31_RS03155
OG0000273	NB623_RS03665	FEF31_RS03150
OG0000274	NB623_RS03650	FEF31_RS03130
OG0000275	NB623_RS03640	FEF31_RS04625
OG0000276	NB623_RS03635	FEF31_RS03120
OG0000277	NB623_RS03625	FEF31_RS03110
OG0000278	NB623_RS03620	FEF31_RS03105
OG0000279	NB623_RS03615	FEF31_RS03095
OG0000280	NB623_RS03605	FEF31_RS03090
OG0000281	NB623_RS03600	FEF31_RS03085
OG0000282	NB623_RS03570	FEF31_RS04615
OG0000283	NB623_RS03565	FEF31_RS03055
OG0000284	NB623_RS03560	FEF31_RS03050
OG0000285	NB623_RS03555	FEF31_RS04610
OG0000286	NB623_RS02575	FEF31_RS02155
OG0000287	NB623_RS02675	FEF31_RS02260
OG0000288	NB623_RS02685	FEF31_RS02270
OG0000289	NB623_RS02690	FEF31_RS02275
OG0000290	NB623_RS02810	FEF31_RS02385
OG0000291	NB623_RS02800	FEF31_RS02375
OG0000292	NB623_RS02795	FEF31_RS02370
OG0000293	NB623_RS02790	FEF31_RS02365
OG0000294	NB623_RS02780	FEF31_RS02355
OG0000295	NB623_RS02775	FEF31_RS02350
OG0000296	NB623_RS02730	FEF31_RS02310
OG0000297	NB623_RS02725	FEF31_RS02305
OG0000298	NB623_RS00165	FEF31_RS03445
OG0000299	NB623_RS00185	FEF31_RS03465
OG0000300	NB623_RS00360	FEF31_RS00035
OG0000301	NB623_RS00395	FEF31_RS00070
OG0000302	NB623_RS00400	FEF31_RS00075
OG0000303	NB623_RS00555	FEF31_RS00220
OG0000304	NB623_RS01210	FEF31_RS00730
OG0000305	NB623_RS03045	FEF31_RS02620
OG0000306	NB623_RS02970	FEF31_RS02545
OG0000307	NB623_RS02930	FEF31_RS02510
OG0000308	NB623_RS02835	FEF31_RS02405
OG0000309	NB623_RS02765	FEF31_RS02340
OG0000310	NB623_RS02680	FEF31_RS02265
OG0000311	NB623_RS02635	FEF31_RS02215
OG0000312	NB623_RS02620	FEF31_RS02200
OG0000313	NB623_RS01715	FEF31_RS01260
OG0000314	NB623_RS02140	FEF31_RS01700
OG0000315	NB623_RS02110	FEF31_RS01730
OG0000316	NB623_RS02100	FEF31_RS01740
OG0000317	NB623_RS02005	FEF31_RS01835
OG0000318	NB623_RS02095	FEF31_RS04480
OG0000319	NB623_RS02370	FEF31_RS01970
OG0000320	NB623_RS02500	FEF31_RS02095
OG0000321	NB623_RS01450	FEF31_RS00990
OG0000322	NB623_RS01500	FEF31_RS01040
OG0000323	NB623_RS01630	FEF31_RS01170
OG0000324	NB623_RS02410	FEF31_RS02010
OG0000325	NB623_RS00705	FEF31_RS00355
OG0000326	NB623_RS00805	FEF31_RS00450
OG0000327	NB623_RS00810	FEF31_RS00455
OG0000328	NB623_RS00895	FEF31_RS00540
OG0000329	NB623_RS00915	FEF31_RS00560
OG0000330	NB623_RS01235	FEF31_RS00760
OG0000331	NB623_RS03135	FEF31_RS02710
OG0000332	NB623_RS03270	FEF31_RS03680
OG0000333	NB623_RS03280	FEF31_RS03690
OG0000334	NB623_RS03380	FEF31_RS03790
OG0000335	NB623_RS03390	FEF31_RS03800
OG0000336	NB623_RS03590	FEF31_RS04620
OG0000337	NB623_RS03765	FEF31_RS03240
OG0000338	NB623_RS03805	FEF31_RS03280
OG0000339	NB623_RS02475	FEF31_RS02070
OG0000340	NB623_RS01430	FEF31_RS00970
OG0000341	NB623_RS02435	FEF31_RS02030
OG0000342	NB623_RS00735	FEF31_RS00385
OG0000343	NB623_RS03290	FEF31_RS03700
OG0000344	NB623_RS00570	FEF31_RS00235
OG0000345	NB623_RS01155	FEF31_RS00675
OG0000346	NB623_RS03595	FEF31_RS03080
OG0000347	NB623_RS01525	FEF31_RS01065
OG0000348	NB623_RS00815	FEF31_RS00460
OG0000349	NB623_RS03655	FEF31_RS04630
OG0000350	NB623_RS02920	FEF31_RS02500
OG0000351	NB623_RS00480	FEF31_RS00155
OG0000352	NB623_RS02160	FEF31_RS01680
OG0000353	NB623_RS01490	FEF31_RS01035
OG0000354	NB623_RS00630	FEF31_RS00295
OG0000355	NB623_RS02185	FEF31_RS04470
OG0000356	NB623_RS02105	FEF31_RS04475
OG0000357	NB623_RS03245	FEF31_RS04685
OG0000358	NB623_RS03250	FEF31_RS03665
OG0000359	NB623_RS00780	FEF31_RS04380
OG0000360	NB623_RS00265	FEF31_RS03545
OG0000361	NB623_RS00295	FEF31_RS03575
OG0000362	NB623_RS02705	FEF31_RS02285
OG0000363	NB623_RS01565	FEF31_RS01105
OG0000365	NB623_RS02060	FEF31_RS01785
OG0000366	NB623_RS02035	FEF31_RS01805
OG0000367	NB623_RS02025	FEF31_RS01815
OG0000368	NB623_RS00060	FEF31_RS03345
OG0000369	NB623_RS00025	FEF31_RS04650
OG0000370	NB623_RS00020	FEF31_RS03305
OG0000371	NB623_RS00015	FEF31_RS03300
OG0000372	NB623_RS00010	FEF31_RS03295
OG0000373	NB623_RS03795	FEF31_RS03270
OG0000374	NB623_RS03785	FEF31_RS03260
OG0000375	NB623_RS02365	FEF31_RS01965
OG0000376	NB623_RS02515	FEF31_RS02110
OG0000377	NB623_RS02505	FEF31_RS02100
OG0000378	NB623_RS01410	FEF31_RS00950
OG0000379	NB623_RS01485	FEF31_RS01030
OG0000380	NB623_RS01515	FEF31_RS01055
OG0000381	NB623_RS01555	FEF31_RS01095
OG0000382	NB623_RS01585	FEF31_RS01125
OG0000383	NB623_RS01625	FEF31_RS01165
OG0000384	NB623_RS00510	FEF31_RS00175
OG0000385	NB623_RS00520	FEF31_RS00180
OG0000386	NB623_RS00535	FEF31_RS00200
OG0000387	NB623_RS00560	FEF31_RS00225
OG0000388	NB623_RS00565	FEF31_RS04370
OG0000389	NB623_RS00610	FEF31_RS00275
OG0000390	NB623_RS03065	FEF31_RS02640
OG0000391	NB623_RS03055	FEF31_RS02630
OG0000392	NB623_RS03030	FEF31_RS02605
OG0000393	NB623_RS02975	FEF31_RS04550
OG0000394	NB623_RS02895	FEF31_RS02475
OG0000395	NB623_RS02890	FEF31_RS02470
OG0000396	NB623_RS02580	FEF31_RS02160
OG0000397	NB623_RS02175	FEF31_RS01665
OG0000398	NB623_RS02170	FEF31_RS01670
OG0000399	NB623_RS02125	FEF31_RS01715
OG0000400	NB623_RS03210	FEF31_RS03625
OG0000401	NB623_RS03275	FEF31_RS03685
OG0000402	NB623_RS03285	FEF31_RS03695
OG0000403	NB623_RS03295	FEF31_RS03705
OG0000404	NB623_RS03325	FEF31_RS03730
OG0000405	NB623_RS03340	FEF31_RS04800
OG0000406	NB623_RS03395	FEF31_RS03805
OG0000407	NB623_RS03400	FEF31_RS04695
OG0000408	NB623_RS03405	FEF31_RS03815
OG0000409	NB623_RS03410	FEF31_RS03820
OG0000410	NB623_RS03495	FEF31_RS02985
OG0000411	NB623_RS03480	FEF31_RS02975
OG0000413	NB623_RS01640	FEF31_RS01180
OG0000414	NB623_RS01650	FEF31_RS01190
OG0000415	NB623_RS01655	FEF31_RS01195
OG0000416	NB623_RS01665	FEF31_RS01205
OG0000417	NB623_RS02430	FEF31_RS02025
OG0000418	NB623_RS02420	FEF31_RS02020
OG0000419	NB623_RS00715	FEF31_RS00365
OG0000420	NB623_RS00750	FEF31_RS00400
OG0000421	NB623_RS00790	FEF31_RS00435
OG0000422	NB623_RS00800	FEF31_RS00445
OG0000423	NB623_RS00855	FEF31_RS00500
OG0000424	NB623_RS00860	FEF31_RS00505
OG0000425	NB623_RS00870	FEF31_RS00515
OG0000426	NB623_RS00875	FEF31_RS04385
OG0000427	NB623_RS00900	FEF31_RS04390
OG0000428	NB623_RS00925	FEF31_RS00570
OG0000429	NB623_RS01145	FEF31_RS00665
OG0000430	NB623_RS01190	FEF31_RS00710
OG0000431	NB623_RS01200	FEF31_RS00720
OG0000432	NB623_RS01230	FEF31_RS00755
OG0000433	NB623_RS01245	FEF31_RS00770
OG0000434	NB623_RS01255	FEF31_RS00775
OG0000435	NB623_RS01265	FEF31_RS00790
OG0000436	NB623_RS01290	FEF31_RS00815
OG0000437	NB623_RS01300	FEF31_RS00825
OG0000438	NB623_RS01305	FEF31_RS00830
OG0000439	NB623_RS01310	FEF31_RS04400
OG0000440	NB623_RS03115	FEF31_RS02690
OG0000441	NB623_RS03150	FEF31_RS02725
OG0000442	NB623_RS00135	FEF31_RS03415
OG0000443	NB623_RS00180	FEF31_RS03460
OG0000444	NB623_RS00195	FEF31_RS03475
OG0000445	NB623_RS00220	FEF31_RS03500
OG0000446	NB623_RS00245	FEF31_RS03525
OG0000447	NB623_RS00255	FEF31_RS03530
OG0000448	NB623_RS00280	FEF31_RS03560
OG0000449	NB623_RS00305	FEF31_RS03585
OG0000450	NB623_RS00315	FEF31_RS03595
OG0000451	NB623_RS00355	FEF31_RS00030
OG0000452	NB623_RS00380	FEF31_RS00055
OG0000453	NB623_RS00415	FEF31_RS00090
OG0000455	NB623_RS03705	FEF31_RS03185
OG0000456	NB623_RS03580	FEF31_RS03065
OG0000457	NB623_RS03545	FEF31_RS03040
OG0000458	NB623_RS02670	FEF31_RS02255
OG0000459	NB623_RS02700	FEF31_RS02280
OG0000460	NB623_RS02710	FEF31_RS02290
OG0000461	NB623_RS02755	FEF31_RS02335
OG0000462	NB623_RS02750	FEF31_RS02330
OG0000463	NB623_RS02745	FEF31_RS02325
OG0000464	NB623_RS02740	FEF31_RS02320
OG0000465	NB623_RS02735	FEF31_RS02315
OG0000466	NB623_RS00385	FEF31_RS00060
OG0000467	NB623_RS02845	FEF31_RS04530
OG0000468	NB623_RS02130	FEF31_RS01710
OG0000469	NB623_RS02070	FEF31_RS01770
OG0000470	NB623_RS00850	FEF31_RS00495
OG0000471	NB623_RS00930	FEF31_RS00575
OG0000472	NB623_RS03500	FEF31_RS02995
OG0000473	NB623_RS03690	FEF31_RS03170
OG0000474	NB623_RS03695	FEF31_RS03175
OG0000475	NB623_RS03700	FEF31_RS03180
OG0000476	NB623_RS01675	FEF31_RS01215
OG0000477	NB623_RS02785	FEF31_RS02360
OG0000478	NB623_RS03630	FEF31_RS03115
OG0000479	NB623_RS01445	FEF31_RS00985
OG0000480	NB623_RS02065	FEF31_RS01775
OG0000481	NB623_RS00825	FEF31_RS00470
OG0000482	NB623_RS01330	FEF31_RS00865
OG0000483	NB623_RS02020	FEF31_RS01820
OG0000484	NB623_RS00190	FEF31_RS04675
OG0000485	NB623_RS01295	FEF31_RS00820
OG0000486	NB623_RS02450	FEF31_RS02045
OG0000488	NB623_RS02055	FEF31_RS01790
OG0000490	NB623_RS03800	FEF31_RS03275
OG0000493	NB623_RS00575	FEF31_RS00240
OG0000494	NB623_RS00635	FEF31_RS00300
OG0000495	NB623_RS03005	FEF31_RS02575
OG0000496	NB623_RS02990	FEF31_RS02565
OG0000497	NB623_RS02985	FEF31_RS02560
OG0000498	NB623_RS02900	FEF31_RS02480
OG0000499	NB623_RS02865	FEF31_RS02445
OG0000500	NB623_RS02165	FEF31_RS01675
OG0000502	NB623_RS01320	FEF31_RS00855
OG0000503	NB623_RS00765	FEF31_RS00415
OG0000504	NB623_RS00905	FEF31_RS00550
OG0000505	NB623_RS01065	FEF31_RS00585
OG0000506	NB623_RS01075	FEF31_RS00595
OG0000507	NB623_RS01110	FEF31_RS00630
OG0000509	NB623_RS00275	FEF31_RS03555
OG0000510	NB623_RS00285	FEF31_RS03565
OG0000511	NB623_RS00420	FEF31_RS00095
OG0000512	NB623_RS02715	FEF31_RS02295
OG0000514	NB623_RS03025	FEF31_RS02600
OG0000516	NB623_RS02090	FEF31_RS04490
OG0000517	NB623_RS00065	FEF31_RS03350
OG0000519	NB623_RS00795	FEF31_RS00440
OG0000520	NB623_RS00920	FEF31_RS00565
OG0000522	NB623_RS00290	FEF31_RS03570
OG0000523	NB623_RS03540	FEF31_RS03035
OG0000524	NB623_RS02840	FEF31_RS02410
OG0000525	NB623_RS03505	FEF31_RS04585
OG0000526	NB623_RS02260	FEF31_RS01585
OG0000527	NB623_RS02315	FEF31_RS01525
OG0000528	NB623_RS02080	FEF31_RS01760
OG0000531	NB623_RS01520	FEF31_RS01060
OG0000532	NB623_RS01745	FEF31_RS01290
OG0000533	NB623_RS00595	FEF31_RS00260
OG0000534	NB623_RS00370	FEF31_RS00045
OG0000536	NB623_RS03735	FEF31_RS03215
OG0000540	NB623_RS02805	FEF31_RS02380
OG0000541	NB623_RS02880	FEF31_RS02460
OG0000544	NB623_RS01375	FEF31_RS04410
OG0000545	NB623_RS02270	FEF31_RS01575, FEF31_RS01570
OG0000546	NB623_RS02950	FEF31_RS02530
OG0000552	NB623_RS03300	FEF31_RS03710
OG0000553	NB623_RS02855	FEF31_RS04535
OG0000554	NB623_RS02535	FEF31_RS02125
OG0000555	NB623_RS03080	FEF31_RS02655
OG0000557	NB623_RS01385	FEF31_RS00920
OG0000558	NB623_RS01355	FEF31_RS00890
OG0000559	NB623_RS01825	FEF31_RS01360
OG0000560	NB623_RS02290	FEF31_RS01560
OG0000561	NB623_RS01240	FEF31_RS00765
OG0000562	NB623_RS02280	FEF31_RS01565
OG0000563	NB623_RS02295	FEF31_RS01550
