Orthogroup	MHP_111A_genes	MHP_KM014_genes
OG0000205	NB623_RS00845	CIB43_RS01705
OG0000206	NB623_RS00865	CIB43_RS01735
OG0000207	NB623_RS00880	CIB43_RS01740
OG0000208	NB623_RS00885	CIB43_RS01745
OG0000209	NB623_RS00890	CIB43_RS01750
OG0000210	NB623_RS00935	CIB43_RS01800
OG0000211	NB623_RS01070	CIB43_RS01805
OG0000212	NB623_RS01080	CIB43_RS01815
OG0000213	NB623_RS01085	CIB43_RS01820
OG0000214	NB623_RS01090	CIB43_RS01825
OG0000215	NB623_RS01095	CIB43_RS01830
OG0000216	NB623_RS01100	CIB43_RS01835
OG0000217	NB623_RS01105	CIB43_RS01845
OG0000218	NB623_RS01115	CIB43_RS01850
OG0000219	NB623_RS01120	CIB43_RS01855
OG0000220	NB623_RS01125	CIB43_RS01860
OG0000221	NB623_RS01130	CIB43_RS01865
OG0000222	NB623_RS01135	CIB43_RS01870
OG0000223	NB623_RS01140	CIB43_RS01875
OG0000225	NB623_RS01160	CIB43_RS01895
OG0000226	NB623_RS01165	CIB43_RS01900
OG0000227	NB623_RS01170	CIB43_RS01905
OG0000228	NB623_RS01175	CIB43_RS01910
OG0000229	NB623_RS01180	CIB43_RS01915
OG0000230	NB623_RS01185	CIB43_RS01920
OG0000231	NB623_RS01195	CIB43_RS01935
OG0000232	NB623_RS01205	CIB43_RS01940
OG0000233	NB623_RS01225	CIB43_RS01965
OG0000234	NB623_RS01260	CIB43_RS02000
OG0000235	NB623_RS01270	CIB43_RS02005
OG0000236	NB623_RS01275	CIB43_RS02010
OG0000237	NB623_RS01280	CIB43_RS02015
OG0000238	NB623_RS01285	CIB43_RS02025
OG0000239	NB623_RS03105	CIB43_RS03860
OG0000240	NB623_RS03110	CIB43_RS03870
OG0000241	NB623_RS03120	CIB43_RS03875
OG0000242	NB623_RS03125	CIB43_RS03880
OG0000243	NB623_RS03130	CIB43_RS03885
OG0000244	NB623_RS03140	CIB43_RS03900
OG0000245	NB623_RS03145	CIB43_RS03905
OG0000246	NB623_RS00130	CIB43_RS00845
OG0000247	NB623_RS00140	CIB43_RS00850
OG0000248	NB623_RS00150	CIB43_RS00875
OG0000250	NB623_RS00175	CIB43_RS00885
OG0000251	NB623_RS00205	CIB43_RS00925
OG0000252	NB623_RS00210	CIB43_RS00930
OG0000253	NB623_RS00215	CIB43_RS00940
OG0000254	NB623_RS00225	CIB43_RS00950
OG0000255	NB623_RS00230	CIB43_RS00955
OG0000256	NB623_RS00240	CIB43_RS00960
OG0000257	NB623_RS00260	CIB43_RS00985
OG0000258	NB623_RS00270	CIB43_RS01015
OG0000259	NB623_RS00300	CIB43_RS01030
OG0000260	NB623_RS00310	CIB43_RS01045
OG0000262	NB623_RS00340	CIB43_RS01075
OG0000263	NB623_RS00350	CIB43_RS01080
OG0000264	NB623_RS00365	CIB43_RS01100
OG0000265	NB623_RS00375	CIB43_RS01110
OG0000266	NB623_RS00390	CIB43_RS01120
OG0000267	NB623_RS00405	CIB43_RS01135
OG0000268	NB623_RS00410	CIB43_RS01305
OG0000269	NB623_RS00425	CIB43_RS01320
OG0000270	NB623_RS03685	CIB43_RS00575
OG0000271	NB623_RS03675	CIB43_RS00570
OG0000272	NB623_RS03670	CIB43_RS00565
OG0000273	NB623_RS03665	CIB43_RS00560
OG0000274	NB623_RS03650	CIB43_RS00545
OG0000275	NB623_RS03640	CIB43_RS00535
OG0000276	NB623_RS03635	CIB43_RS00530
OG0000277	NB623_RS03625	CIB43_RS00525
OG0000278	NB623_RS03620	CIB43_RS00515
OG0000279	NB623_RS03615	CIB43_RS00510
OG0000280	NB623_RS03605	CIB43_RS00500
OG0000281	NB623_RS03600	CIB43_RS00495
OG0000283	NB623_RS03565	CIB43_RS00475
OG0000284	NB623_RS03560	CIB43_RS00460
OG0000285	NB623_RS03555	CIB43_RS00455
OG0000286	NB623_RS02575	CIB43_RS03345
OG0000287	NB623_RS02675	CIB43_RS03440
OG0000288	NB623_RS02685	CIB43_RS03450
OG0000289	NB623_RS02690	CIB43_RS03455
OG0000290	NB623_RS02810	CIB43_RS03565
OG0000291	NB623_RS02800	CIB43_RS03560
OG0000292	NB623_RS02795	CIB43_RS03550
OG0000293	NB623_RS02790	CIB43_RS03545
OG0000294	NB623_RS02780	CIB43_RS03540
OG0000295	NB623_RS02775	CIB43_RS03530
OG0000296	NB623_RS02730	CIB43_RS03495
OG0000297	NB623_RS02725	CIB43_RS03485
OG0000298	NB623_RS00165	CIB43_RS00880
OG0000299	NB623_RS00185	CIB43_RS00915
OG0000300	NB623_RS00360	CIB43_RS01090
OG0000301	NB623_RS00395	CIB43_RS01125
OG0000302	NB623_RS00400	CIB43_RS01130
OG0000303	NB623_RS00555	CIB43_RS01455
OG0000304	NB623_RS01210	CIB43_RS01950
OG0000305	NB623_RS03045	CIB43_RS03795
OG0000306	NB623_RS02970	CIB43_RS03725
OG0000307	NB623_RS02930	CIB43_RS03685
OG0000308	NB623_RS02835	CIB43_RS03600
OG0000309	NB623_RS02765	CIB43_RS03520
OG0000310	NB623_RS02680	CIB43_RS03445
OG0000311	NB623_RS02635	CIB43_RS03405
OG0000312	NB623_RS02620	CIB43_RS03390
OG0000313	NB623_RS01715	CIB43_RS02485
OG0000314	NB623_RS02140	CIB43_RS02855
OG0000315	NB623_RS02110	CIB43_RS02885
OG0000316	NB623_RS02100	CIB43_RS02895
OG0000317	NB623_RS02005	CIB43_RS02985
OG0000318	NB623_RS02095	CIB43_RS02900
OG0000319	NB623_RS02370	CIB43_RS03125
OG0000320	NB623_RS02500	CIB43_RS03270
OG0000321	NB623_RS01450	CIB43_RS02200
OG0000322	NB623_RS01500	CIB43_RS02245
OG0000323	NB623_RS01630	CIB43_RS02375
OG0000324	NB623_RS02410	CIB43_RS03170
OG0000325	NB623_RS00705	CIB43_RS01570
OG0000326	NB623_RS00805	CIB43_RS01665
OG0000327	NB623_RS00810	CIB43_RS01670
OG0000328	NB623_RS00895	CIB43_RS01760
OG0000329	NB623_RS00915	CIB43_RS01775
OG0000330	NB623_RS01235	CIB43_RS01970
OG0000331	NB623_RS03135	CIB43_RS03890
OG0000332	NB623_RS03270	CIB43_RS00200
OG0000333	NB623_RS03280	CIB43_RS00210
OG0000334	NB623_RS03380	CIB43_RS00315
OG0000335	NB623_RS03390	CIB43_RS00340
OG0000336	NB623_RS03590	CIB43_RS00485
OG0000337	NB623_RS03765	CIB43_RS00655
OG0000338	NB623_RS03805	CIB43_RS00695
OG0000339	NB623_RS02475	CIB43_RS03235
OG0000340	NB623_RS01430	CIB43_RS02185
OG0000341	NB623_RS02435	CIB43_RS03190
OG0000342	NB623_RS00735	CIB43_RS01600
OG0000343	NB623_RS03290	CIB43_RS00215
OG0000344	NB623_RS00570	CIB43_RS01465
OG0000345	NB623_RS01155	CIB43_RS01890
OG0000346	NB623_RS03595	CIB43_RS00490
OG0000347	NB623_RS01525	CIB43_RS02270
OG0000348	NB623_RS00815	CIB43_RS01685
OG0000349	NB623_RS03655	CIB43_RS00550
OG0000350	NB623_RS02920	CIB43_RS03675
OG0000351	NB623_RS00480	CIB43_RS01385
OG0000352	NB623_RS02160	CIB43_RS02830
OG0000353	NB623_RS01490	CIB43_RS02240
OG0000354	NB623_RS00630	CIB43_RS01515
OG0000355	NB623_RS02185	CIB43_RS02805
OG0000356	NB623_RS02105	CIB43_RS02890
OG0000357	NB623_RS03245	CIB43_RS00175
OG0000358	NB623_RS03250	CIB43_RS00180
OG0000359	NB623_RS00780	CIB43_RS01650
OG0000360	NB623_RS00265	CIB43_RS00990
OG0000361	NB623_RS00295	CIB43_RS01020
OG0000362	NB623_RS02705	CIB43_RS03475
OG0000363	NB623_RS01565	CIB43_RS02310
OG0000369	NB623_RS00025	CIB43_RS00725
OG0000370	NB623_RS00020	CIB43_RS00720
OG0000378	NB623_RS01410	CIB43_RS02160
OG0000379	NB623_RS01485	CIB43_RS02235
OG0000380	NB623_RS01515	CIB43_RS02260
OG0000381	NB623_RS01555	CIB43_RS02300
OG0000385	NB623_RS00520	CIB43_RS01405
OG0000389	NB623_RS00610	CIB43_RS01490
OG0000394	NB623_RS02895	CIB43_RS03660
OG0000396	NB623_RS02580	CIB43_RS03350
OG0000403	NB623_RS03295	CIB43_RS00220
OG0000404	NB623_RS03325	CIB43_RS00250
OG0000405	NB623_RS03340	CIB43_RS00265
OG0000409	NB623_RS03410	CIB43_RS00345
OG0000417	NB623_RS02430	CIB43_RS03185
OG0000428	NB623_RS00925	CIB43_RS01785
OG0000429	NB623_RS01145	CIB43_RS01885
OG0000430	NB623_RS01190	CIB43_RS01925
OG0000434	NB623_RS01255	CIB43_RS01985
OG0000436	NB623_RS01290	CIB43_RS02030
OG0000437	NB623_RS01300	CIB43_RS02065
OG0000441	NB623_RS03150	CIB43_RS03910
OG0000451	NB623_RS00355	CIB43_RS01085
OG0000453	NB623_RS00415	CIB43_RS01315
OG0000457	NB623_RS03545	CIB43_RS00450
OG0000459	NB623_RS02700	CIB43_RS03460
OG0000463	NB623_RS02745	CIB43_RS03515
OG0000464	NB623_RS02740	CIB43_RS03500
OG0000466	NB623_RS00385	CIB43_RS01115
OG0000468	NB623_RS02130	CIB43_RS02870
OG0000471	NB623_RS00930	CIB43_RS01790
OG0000473	NB623_RS03690	CIB43_RS00580
OG0000474	NB623_RS03695	CIB43_RS00585
OG0000475	NB623_RS03700	CIB43_RS00595
OG0000482	NB623_RS01330	CIB43_RS02080
OG0000485	NB623_RS01295	CIB43_RS02035
OG0000486	NB623_RS02450	CIB43_RS03205
OG0000488	NB623_RS02055	CIB43_RS02940
OG0000495	NB623_RS03005	CIB43_RS03750
OG0000502	NB623_RS01320	CIB43_RS02070
OG0000504	NB623_RS00905	CIB43_RS01770
OG0000506	NB623_RS01075	CIB43_RS01810
OG0000517	NB623_RS00065	CIB43_RS00765
OG0000519	NB623_RS00795	CIB43_RS01660
OG0000520	NB623_RS00920	CIB43_RS01780
OG0000523	NB623_RS03540	CIB43_RS00445
OG0000526	NB623_RS02260	CIB43_RS02720
OG0000527	NB623_RS02315	CIB43_RS02640
OG0000531	NB623_RS01520	CIB43_RS02265
OG0000543	NB623_RS01930	CIB43_RS01215
OG0000544	NB623_RS01375	CIB43_RS02125
OG0000545	NB623_RS02270	CIB43_RS02715
OG0000546	NB623_RS02950	CIB43_RS03705
OG0000552	NB623_RS03300	CIB43_RS00225
OG0000553	NB623_RS02855	CIB43_RS03610
OG0000554	NB623_RS02535	CIB43_RS03295
OG0000557	NB623_RS01385	CIB43_RS02130
OG0000558	NB623_RS01355	CIB43_RS02100
OG0000559	NB623_RS01825	CIB43_RS02575
OG0000560	NB623_RS02290	CIB43_RS02680
OG0000561	NB623_RS01240	CIB43_RS01980
OG0000562	NB623_RS02280	CIB43_RS02685
OG0000563	NB623_RS02295	CIB43_RS02670
OG0000564	NB623_RS01405	CIB43_RS02155
OG0000565	NB623_RS02220	CIB43_RS02760
OG0000566	NB623_RS02240	CIB43_RS02740
OG0000568	NB623_RS00685	CIB43_RS01555
OG0000569	NB623_RS01360	CIB43_RS02105
OG0000570	NB623_RS01365	CIB43_RS02110
OG0000571	NB623_RS01370	CIB43_RS02115
OG0000572	NB623_RS01390	CIB43_RS02135
OG0000573	NB623_RS01820	CIB43_RS02570
OG0000574	NB623_RS01425	CIB43_RS02175
OG0000575	NB623_RS01350	CIB43_RS02090
OG0000576	NB623_RS01775	CIB43_RS02530
OG0000577	NB623_RS02825	CIB43_RS03580
OG0000579	NB623_RS02305	CIB43_RS02660
OG0000580	NB623_RS02955	CIB43_RS03710
OG0000581	NB623_RS02310	CIB43_RS02645
OG0000584	NB623_RS01955	CIB43_RS01180, CIB43_RS00035, CIB43_RS01255
OG0000585	NB623_RS02350	CIB43_RS03105
OG0000588	NB623_RS01765	CIB43_RS02525
OG0000589	NB623_RS01010	CIB43_RS03055
OG0000590	NB623_RS01945	CIB43_RS01190
OG0000592	NB623_RS02815	CIB43_RS03570
OG0000595	NB623_RS03160	CIB43_RS03920
OG0000597	NB623_RS03155	CIB43_RS03915
OG0000600	NB623_RS01960	CIB43_RS01175, CIB43_RS00040, CIB43_RS01260
OG0000603	NB623_RS01965	CIB43_RS01270
OG0000608	NB623_RS02275	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	NB623_RS02250	CIB43_RS02730
OG0000613	NB623_RS02205	CIB43_RS02785
OG0000614	NB623_RS00975	CIB43_RS03070
OG0000616	NB623_RS01975	CIB43_RS01280
OG0000624	NB623_RS03305	CIB43_RS00230
