Orthogroup	MHP_168L_protein	MHP_UFV01_protein
OG0000111	WP_011206510.1	WP_243215891.1
OG0000112	WP_016340208.1	WP_243216094.1
OG0000113	WP_014579756.1	WP_243216095.1
OG0000114	WP_014579755.1	WP_243216096.1
OG0000115	WP_014579835.1	WP_243216182.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_014579834.1	WP_135618878.1
OG0000118	WP_014579832.1	WP_135618882.1
OG0000119	WP_014579831.1	WP_011206243.1
OG0000120	WP_014579830.1	WP_243216184.1
OG0000121	WP_016340218.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_179696020.1
OG0000123	WP_014579870.1	WP_243216208.1
OG0000124	WP_044278012.1	WP_243216207.1
OG0000125	WP_014579868.1	WP_243216206.1
OG0000126	WP_228365385.1	WP_243216205.1
OG0000127	WP_011206271.1	WP_011206271.1
OG0000128	WP_014579864.1	WP_020835765.1
OG0000129	WP_044278010.1	WP_243216202.1
OG0000130	WP_014579859.1	WP_014579859.1
OG0000131	WP_014579711.1	WP_179221065.1
OG0000132	WP_014579712.1	WP_243216047.1
OG0000133	WP_014579713.1	WP_243216048.1
OG0000134	WP_014579716.1	WP_243216049.1
OG0000135	WP_014579717.1	WP_233688705.1
OG0000136	WP_011284023.1	WP_228729171.1
OG0000137	WP_044277984.1	WP_179696055.1
OG0000138	WP_014579721.1	WP_011205966.1
OG0000139	WP_011205965.1	WP_243216052.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011290114.1	WP_011284032.1
OG0000143	WP_014579725.1	WP_011205958.1
OG0000144	WP_011205956.1	WP_011205956.1
OG0000145	WP_016340201.1	WP_243216054.1
OG0000146	WP_014579726.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_011205950.1
OG0000149	WP_016340202.1	WP_243216055.1
OG0000150	WP_011284040.1	WP_011290122.1
OG0000151	WP_014579730.1	WP_243216057.1
OG0000152	WP_014579731.1	WP_243216059.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_014579733.1	WP_243216060.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_014579734.1	WP_160588225.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_014579737.1	WP_135618714.1
OG0000159	WP_014579586.1	WP_041361727.1
OG0000160	WP_014579588.1	WP_243215973.1
OG0000161	WP_014579589.1	WP_014579589.1
OG0000162	WP_228365407.1	WP_020835541.1
OG0000163	WP_014579591.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_014579592.1	WP_011206119.1
OG0000166	WP_016340187.1	WP_243215975.1
OG0000167	WP_014579595.1	WP_243215976.1
OG0000168	WP_014579598.1	WP_011206113.1
OG0000169	WP_014579657.1	WP_243215983.1
OG0000170	WP_014579656.1	WP_135618563.1
OG0000171	WP_016340195.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_243215985.1
OG0000173	WP_016340242.1	WP_011284290.1
OG0000174	WP_016340241.1	WP_011284289.1
OG0000175	WP_014579948.1	WP_020835845.1
OG0000176	WP_011206391.1	WP_135619026.1
OG0000177	WP_011206390.1	WP_011290340.1
OG0000178	WP_014579946.1	WP_044272582.1
OG0000179	WP_014579945.1	WP_044272578.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_014579942.1	WP_243216301.1
OG0000183	WP_016340240.1	WP_243216296.1
OG0000184	WP_011290331.1	WP_011206379.1
OG0000185	WP_014579937.1	WP_243216292.1
OG0000186	WP_011284272.1	WP_243216290.1
OG0000187	WP_011206376.1	WP_243216288.1
OG0000188	WP_016340239.1	WP_243216285.1
OG0000189	WP_014579931.1	WP_020835828.1
OG0000190	WP_014579930.1	WP_020835827.1
OG0000191	WP_014579929.1	WP_011206347.1
OG0000192	WP_044278028.1	WP_243216280.1
OG0000193	WP_014579920.1	WP_243216274.1
OG0000194	WP_011206337.1	WP_011290311.1
OG0000195	WP_014579919.1	WP_243216273.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_014579918.1	WP_011290309.1
OG0000198	WP_014579917.1	WP_308704549.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_044278019.1	WP_011290271.1
OG0000201	WP_014579880.1	WP_011206287.1
OG0000202	WP_014579777.1	WP_243216071.1
OG0000203	WP_011284063.1	WP_011290137.1
OG0000204	WP_014579775.1	WP_160601269.1
OG0000205	WP_014579804.1	WP_243216144.1
OG0000206	WP_014579805.1	WP_243216145.1
OG0000207	WP_011206197.1	WP_243216146.1
OG0000208	WP_016340211.1	WP_243216147.1
OG0000209	WP_016340213.1	WP_011206200.1
OG0000210	WP_014579811.1	WP_011290193.1
OG0000211	WP_016340214.1	WP_160600914.1
OG0000212	WP_014579814.1	WP_011206207.1
OG0000213	WP_014579815.1	WP_233688406.1
OG0000214	WP_014579962.1	WP_243216310.1
OG0000215	WP_014579966.1	WP_011290367.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_011206425.1	WP_243216312.1
OG0000218	WP_014579967.1	WP_011290369.1
OG0000219	WP_014579970.1	WP_243216317.1
OG0000220	WP_014579971.1	WP_135619070.1
OG0000221	WP_014579972.1	WP_243216318.1
OG0000222	WP_014579976.1	WP_243216326.1
OG0000223	WP_014579977.1	WP_233688536.1
OG0000224	WP_011206441.1	WP_011206441.1
OG0000225	WP_016340247.1	WP_243216329.1
OG0000226	WP_014579979.1	WP_179221227.1
OG0000227	WP_011206445.1	WP_160590181.1
OG0000228	WP_014579980.1	WP_243216331.1
OG0000229	WP_014579985.1	WP_020835888.1
OG0000230	WP_014579987.1	WP_011206453.1
OG0000231	WP_014579989.1	WP_014579989.1
OG0000232	WP_014579990.1	WP_243216339.1
OG0000233	WP_011206457.1	WP_044284717.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_014579992.1	WP_243216342.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_011206468.1	WP_160585238.1
OG0000239	WP_014579996.1	WP_146379742.1
OG0000240	WP_014579995.1	WP_011290399.1
OG0000241	WP_011206465.1	WP_011206465.1
OG0000242	WP_014579997.1	WP_243215852.1
OG0000243	WP_014579738.1	WP_243216061.1
OG0000244	WP_014579739.1	WP_020835656.1
OG0000245	WP_011284053.1	WP_011290131.1
OG0000246	WP_014579740.1	WP_020835657.1
OG0000247	WP_014579741.1	WP_243216062.1
OG0000248	WP_011284056.1	WP_160601243.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_014579854.1	WP_243216195.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_228365384.1	WP_243216189.1
OG0000253	WP_014579850.1	WP_011206251.1
OG0000254	WP_011284001.1	WP_011205992.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_014579694.1	WP_243216028.1
OG0000257	WP_011283923.1	WP_243215993.1
OG0000258	WP_011283924.1	WP_011283924.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_014579649.1	WP_011206092.1
OG0000261	WP_014579648.1	WP_228729168.1
OG0000262	WP_014579647.1	WP_011206090.1
OG0000263	WP_014579645.1	WP_243215996.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_011206085.1	WP_020835574.1
OG0000266	WP_014579644.1	WP_020835575.1
OG0000267	WP_016340193.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_044277971.1	WP_011290034.1
OG0000270	WP_014579639.1	WP_135618573.1
OG0000271	WP_014579638.1	WP_243215999.1
OG0000272	WP_014579634.1	WP_011283943.1
OG0000273	WP_011206072.1	WP_011283944.1
OG0000274	WP_014579633.1	WP_014579633.1
OG0000275	WP_014579632.1	WP_243216001.1
OG0000276	WP_016340192.1	WP_011206068.1
OG0000277	WP_011206067.1	WP_011206067.1
OG0000278	WP_011206066.1	WP_011206066.1
OG0000279	WP_044277967.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_011283950.1
OG0000281	WP_014579629.1	WP_011283951.1
OG0000282	WP_011206062.1	WP_011206062.1
OG0000283	WP_014579628.1	WP_011206061.1
OG0000284	WP_014579623.1	WP_243216004.1
OG0000285	WP_014579621.1	WP_243216005.1
OG0000286	WP_011206050.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_014579618.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_014579616.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_014579615.1	WP_011290058.1
OG0000294	WP_020835591.1	WP_011206041.1
OG0000295	WP_011206040.1	WP_020835592.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_014579610.1	WP_020835596.1
OG0000300	WP_014579609.1	WP_011206032.1
OG0000301	WP_014579608.1	WP_011290064.1
OG0000302	WP_014579607.1	WP_160608021.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_014579605.1
OG0000305	WP_014579604.1	WP_243216006.1
OG0000306	WP_014579603.1	WP_011206025.1
OG0000307	WP_014579602.1	WP_146379524.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_014579662.1	WP_243216010.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_011206013.1	WP_233688674.1
OG0000313	WP_014579664.1	WP_044284822.1
OG0000314	WP_011283987.1	WP_020835610.1
OG0000315	WP_014579665.1	WP_243216014.1
OG0000316	WP_016340197.1	WP_011283989.1
OG0000317	WP_014579667.1	WP_243216016.1
OG0000318	WP_011206006.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_014579672.1	WP_233688689.1
OG0000321	WP_014579673.1	WP_243216021.1
OG0000322	WP_014579674.1	WP_243216023.1
OG0000323	WP_011206399.1	WP_011290347.1
OG0000324	WP_011206400.1	WP_020835851.1
OG0000325	WP_014579953.1	WP_243216303.1
OG0000326	WP_011206402.1	WP_135619036.1
OG0000327	WP_044278032.1	WP_243216305.1
OG0000328	WP_014579955.1	WP_011290352.1
OG0000329	WP_014579956.1	WP_041361690.1
OG0000330	WP_011206408.1	WP_020835856.1
OG0000331	WP_044278034.1	WP_020835857.1
OG0000332	WP_014579532.1	WP_232039502.1
OG0000333	WP_014579533.1	WP_243215931.1
OG0000334	WP_014579534.1	WP_243215932.1
OG0000335	WP_228365403.1	WP_243215933.1
OG0000336	WP_044889030.1	WP_243215935.1
OG0000337	WP_011289957.1	WP_243215937.1
OG0000338	WP_014579542.1	WP_243215940.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_014579544.1
OG0000341	WP_011205882.1	WP_160600661.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_014579546.1	WP_011283860.1
OG0000344	WP_014579547.1	WP_044284571.1
OG0000345	WP_014579548.1	WP_014579548.1
OG0000346	WP_014579550.1	WP_044284572.1
OG0000347	WP_011283865.1	WP_011283865.1
OG0000348	WP_044277952.1	WP_233688611.1
OG0000349	WP_014579552.1	WP_233688612.1
OG0000350	WP_014579553.1	WP_243215941.1
OG0000351	WP_014579554.1	WP_243215942.1
OG0000352	WP_014579555.1	WP_011205894.1
OG0000353	WP_011283871.1	WP_011283871.1
OG0000354	WP_187286314.1	WP_193325077.1
OG0000355	WP_044277955.1	WP_011283873.1
OG0000356	WP_014579560.1	WP_011289977.1
OG0000357	WP_011205899.1	WP_243215943.1
OG0000358	WP_014579562.1	WP_243215945.1
OG0000359	WP_014579563.1	WP_243215947.1
OG0000360	WP_011205903.1	WP_243215948.1
OG0000361	WP_044277956.1	WP_160600685.1
OG0000362	WP_016340180.1	WP_243215950.1
OG0000363	WP_014579569.1	WP_135618519.1
OG0000364	WP_011289987.1	WP_243215957.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011283887.1	WP_011205916.1
OG0000367	WP_014579574.1	WP_243215961.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_044277957.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_016340183.1	WP_011289993.1
OG0000372	WP_016340185.1	WP_011206135.1
OG0000373	WP_014579579.1	WP_011206134.1
OG0000374	WP_014580026.1	WP_243215890.1
OG0000375	WP_014580022.1	WP_243215887.1
OG0000376	WP_014580021.1	WP_135619152.1
OG0000377	WP_011284373.1	WP_243215885.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_187286326.1	WP_243215880.1
OG0000380	WP_014580018.1	WP_243215879.1
OG0000381	WP_233417356.1	WP_238374142.1
OG0000382	WP_011284368.1	WP_243215878.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_243215875.1
OG0000385	WP_014580013.1	WP_044284728.1
OG0000386	WP_014580012.1	WP_081430772.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_014580010.1	WP_243215874.1
OG0000389	WP_014580009.1	WP_243215873.1
OG0000390	WP_014580008.1	WP_011206484.1
OG0000391	WP_014580007.1	WP_243215870.1
OG0000392	WP_016340251.1	WP_243215868.1
OG0000393	WP_014579875.1	WP_146379652.1
OG0000394	WP_011206297.1	WP_243216240.1
OG0000395	WP_011284218.1	WP_160600959.1
OG0000396	WP_014579889.1	WP_243216242.1
OG0000397	WP_014579891.1	WP_011206303.1
OG0000398	WP_014579908.1	WP_243216258.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_014579905.1	WP_243216256.1
OG0000401	WP_014579904.1	WP_243216254.1
OG0000402	WP_014579902.1	WP_243216251.1
OG0000403	WP_014579901.1	WP_243216250.1
OG0000404	WP_016340234.1	WP_243216245.1
OG0000405	WP_014579898.1	WP_011284228.1
OG0000406	WP_014579895.1	WP_233688477.1
OG0000407	WP_014579894.1	WP_233688476.1
OG0000408	WP_014579893.1	WP_011206306.1
OG0000409	WP_014579538.1	WP_243215936.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_014579572.1	WP_014579572.1
OG0000412	WP_011283891.1	WP_011283891.1
OG0000413	WP_014579576.1	WP_014579576.1
OG0000414	WP_014579593.1	WP_011206118.1
OG0000415	WP_044277963.1	WP_011283978.1
OG0000416	WP_014579943.1	WP_044272575.1
OG0000417	WP_014579928.1	WP_044284687.1
OG0000418	WP_016340236.1	WP_243216269.1
OG0000419	WP_014579911.1	WP_243216263.1
OG0000420	WP_011206313.1	WP_243216248.1
OG0000421	WP_011206298.1	WP_160606445.1
OG0000422	WP_014579885.1	WP_011206293.1
OG0000423	WP_014579776.1	WP_011206141.1
OG0000424	WP_014579810.1	WP_094521675.1
OG0000425	WP_014579816.1	WP_243216153.1
OG0000426	WP_014579818.1	WP_014579818.1
OG0000427	WP_016340221.1	WP_011290211.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_233417345.1	WP_243216157.1
OG0000430	WP_014579833.1	WP_146379629.1
OG0000431	WP_016340226.1	WP_243216204.1
OG0000432	WP_011205969.1	WP_243216051.1
OG0000433	WP_014579724.1	WP_020835642.1
OG0000434	WP_014579736.1	WP_135618712.1
OG0000435	WP_014579849.1	WP_243216187.1
OG0000436	WP_011206094.1	WP_243215994.1
OG0000437	WP_014579637.1	WP_243216000.1
OG0000438	WP_011206076.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_243216002.1
OG0000440	WP_014579627.1	WP_011206060.1
OG0000441	WP_011206056.1	WP_011206056.1
OG0000442	WP_014579622.1	WP_094521595.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_014579986.1	WP_160601134.1
OG0000448	WP_016340248.1	WP_243216335.1
OG0000449	WP_011206488.1	WP_011284361.1
OG0000450	WP_014580015.1	WP_243215876.1
OG0000451	WP_014580023.1	WP_243215889.1
OG0000452	WP_014579742.1	WP_243216064.1
OG0000453	WP_011206520.1	WP_011206520.1
OG0000454	WP_014580051.1	WP_243215903.1
OG0000455	WP_014579903.1	WP_243216252.1
OG0000456	WP_014579838.1	WP_243216169.1
OG0000457	WP_014579860.1	WP_243216236.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_014579853.1	WP_243216193.1
OG0000460	WP_014579646.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011284367.1	WP_243215877.1
OG0000463	WP_014579718.1	WP_243216050.1
OG0000464	WP_014579596.1	WP_243215977.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_014580011.1	WP_041361706.1
OG0000467	WP_143826159.1	WP_243215894.1
OG0000468	WP_011205955.1	WP_243216053.1
OG0000469	WP_225973015.1	WP_160600882.1
OG0000470	WP_014579938.1	WP_243216293.1
OG0000471	WP_014580020.1	WP_243215882.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_044277969.1	WP_160600884.1
OG0000474	WP_228365390.1	WP_228366105.1
OG0000475	WP_014579582.1	WP_233688626.1
OG0000476	WP_016340212.1	WP_243216148.1
OG0000477	WP_014579841.1	WP_011206227.1
OG0000478	WP_014579723.1	WP_044284615.1
OG0000479	WP_233417361.1	WP_237697228.1
OG0000480	WP_011206194.1	WP_243216143.1
OG0000481	WP_233417344.1	WP_243216155.1
OG0000482	WP_228366113.1	WP_228366113.1
OG0000483	WP_014579968.1	WP_243216314.1
OG0000484	WP_228365405.1	WP_233688609.1
OG0000485	WP_228365406.1	WP_228365406.1
OG0000486	WP_014579561.1	WP_243215944.1
OG0000487	WP_011206302.1	WP_011206302.1
OG0000488	WP_014579961.1	WP_011290363.1
OG0000489	WP_233417364.1	WP_269076322.1
OG0000490	WP_228365415.1	WP_243216026.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011205844.1	WP_243215913.1
OG0000493	WP_011205843.1	WP_135618444.1
OG0000494	WP_014580050.1	WP_243215902.1
OG0000495	WP_014580041.1	WP_243215897.1
OG0000496	WP_011284186.1	WP_011284186.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_011205957.1	WP_233688710.1
OG0000499	WP_014579727.1	WP_160607802.1
OG0000500	WP_014579587.1	WP_243215971.1
OG0000501	WP_044277961.1	WP_243215978.1
OG0000503	WP_014579949.1	WP_228366107.1
OG0000504	WP_011206375.1	WP_011284271.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_014579921.1	WP_011290313.1
OG0000507	WP_011206333.1	WP_011206333.1
OG0000508	WP_014579876.1	WP_160585153.1
OG0000510	WP_200859210.1	WP_243216321.1
OG0000511	WP_228365414.1	WP_243216102.1
OG0000512	WP_044889038.1	WP_243216192.1
OG0000513	WP_011283957.1	WP_243216003.1
OG0000514	WP_044277964.1	WP_011290053.1
OG0000515	WP_016340190.1	WP_020835590.1
OG0000516	WP_011290062.1	WP_011206036.1
OG0000517	WP_011289986.1	WP_044284771.1
OG0000518	WP_014579571.1	WP_243215959.1
OG0000519	WP_014579573.1	WP_160600697.1
OG0000520	WP_016340184.1	WP_243215963.1
OG0000522	WP_014580004.1	WP_179221251.1
OG0000523	WP_014580003.1	WP_243215862.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_016340233.1	WP_011206304.1
OG0000526	WP_014579897.1	WP_011206310.1
OG0000527	WP_044278026.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_016340235.1	WP_243216266.1
OG0000530	WP_014579812.1	WP_243216151.1
OG0000532	WP_044889046.1	WP_044889046.1
OG0000533	WP_014579695.1	WP_014579695.1
OG0000534	WP_014579671.1	WP_243216018.1
OG0000535	WP_014579941.1	WP_243216299.1
OG0000536	WP_044278009.1	WP_243216198.1
OG0000537	WP_014579659.1	WP_243215981.1
OG0000538	WP_011206235.1	WP_081430767.1
OG0000540	WP_014579999.1	WP_243215854.1
OG0000541	WP_014579678.1, WP_014580039.1	WP_243216113.1
OG0000542	WP_016340256.1	WP_243215896.1
OG0000543	WP_011206110.1	WP_179221017.1
OG0000545	WP_014579771.1	WP_243216074.1
OG0000546	WP_016340244.1	WP_011206407.1
OG0000548	WP_014579907.1	WP_243216257.1
OG0000549	WP_318023914.1	WP_243216234.1
OG0000550	WP_016340222.1	WP_243216231.1
OG0000552	WP_014579790.1	WP_243216121.1
OG0000553	WP_081632350.1	WP_243216203.1
OG0000554	WP_228365426.1	WP_243216125.1
OG0000555	WP_014579752.1	WP_243216115.1
OG0000556	WP_014579750.1	WP_011206170.1
OG0000557	WP_014579530.1	WP_011205863.1
OG0000558	WP_014579871.1	WP_243216210.1
OG0000559	WP_014579915.1	WP_243216271.1
OG0000560	WP_014579932.1	WP_020835829.1
OG0000561	WP_016340246.1	WP_243216323.1
OG0000562	WP_233417362.1	WP_243216069.1, WP_243216068.1
OG0000563	WP_020835684.1	WP_243216116.1
OG0000564	WP_228365397.1, WP_016340199.1	WP_011290233.1
OG0000565	WP_014579527.1	WP_233688595.1
OG0000566	WP_014579529.1	WP_243215923.1
OG0000567	WP_014579705.1	WP_243216038.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_228365416.1	WP_243216036.1
OG0000570	WP_014579702.1	WP_243216034.1
OG0000571	WP_014579701.1	WP_014579701.1
OG0000572	WP_014579700.1	WP_243216033.1
OG0000573	WP_014579699.1	WP_243216031.1
